Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Total Operating Expenses,1.473B,1.296B,1.387B,1.363B,1.524B,1.524B,1.528B,1.475B,1.684B,1.524B,1.456B,1.422B,1.598B,1.367B,1.329B,1.28B,1.332B,1.202B,1.242B,1.23B,1.46B,1.344B,1.375B,1.339B,1.438B,1.242B,1.281B,1.229B,1.523B,1.238B,1.226B,1.231B,1.616B,1.303B,1.248B,1.232B,1.289B,1.129B,1.11B,1.111B,1.173B,1.034B,1.084B,1.152B,1.179B,1.309B,1.29B,1.255B,1.205B,1.144B,1.127B,1.089B,1.085B,1.037B,1.086B,1.002B,936.00M,982.00M,935.00M,854.00M,865.00M,820.00M,823.00M,808.00M,756.00M,729.00M,762.00M,703.00M,782.00M,698.00M,660.00M,617.00M,656.00M,803.00M,837.00M,768.00M,822.00M,791.00M,763.00M,758.00M,1.073B,699.00M,745.00M,699.00M,1.808B,396.00M,406.00M,398.00M,1.795B,394.00M,386.00M,365.00M,365.00M,379.00M,-289.00M,401.00M,446.00M,369.00M,374.00M,358.00M,381.00M,325.00M,346.00M,314.00M,-52.00M,456.00M,472.00M,446.00M,860.00M,449.00M,469.00M,455.00M,473.00M,1.274B,498.00M,469.00M,477.00M,449.00M,462.00M,459.00M,442.00M,429.00M,,,,,,,,,,,,,,,,,,,,,,
Operating Income,1.695B,1.752B,1.762B,1.642B,1.52B,1.682B,1.777B,1.726B,1.619B,1.543B,1.598B,1.541B,981.00M,1.534B,1.841B,1.695B,1.733B,1.755B,1.719B,1.621B,1.24B,1.636B,1.582B,1.373B,1.337B,1.463B,1.385B,1.316B,377.00M,1.296B,1.287B,1.196B,-578.00M,962.00M,1.174B,1.016B,543.00M,840.00M,849.00M,807.00M,122.00M,869.00M,800.00M,662.00M,1.01B,490.00M,1.061B,968.00M,1.057B,945.00M,920.00M,802.00M,833.00M,804.00M,785.00M,639.00M,703.00M,616.00M,590.00M,513.00M,260.00M,488.00M,337.00M,440.00M,459.00M,530.00M,473.00M,456.00M,241.00M,635.00M,560.00M,466.00M,176.00M,-382.00M,162.00M,203.00M,508.00M,580.00M,875.00M,836.00M,-18.00M,763.00M,588.00M,691.00M,1.398B,507.00M,514.00M,439.00M,907.00M,423.00M,428.00M,357.00M,372.00M,371.00M,401.00M,365.00M,262.00M,330.00M,354.00M,314.00M,300.00M,282.00M,300.00M,270.00M,229.00M,230.00M,258.00M,237.00M,-221.00M,217.00M,223.00M,196.00M,171.00M,-672.00M,123.00M,87.00M,129.00M,164.00M,213.00M,224.00M,222.00M,231.00M,3.115B,2.942B,-8.199B,2.864B,3.096B,2.942B,-7.412B,2.679B,2.846B,2.637B,-7.707B,2.907B,2.943B,2.909B,-5.605B,1.631B,2.41B,2.459B,-5.818B,2.275B,2.43B,2.454B
Non-Operating Interest Income,61.00M,64.00M,63.00M,67.00M,63.00M,55.00M,49.00M,50.00M,45.00M,39.00M,36.00M,31.00M,,,,,,,,,,,,,22.00M,15.00M,15.00M,17.00M,16.00M,14.00M,14.00M,14.00M,16.00M,15.00M,14.00M,13.00M,9.00M,14.00M,,9.00M,,7.00M,6.00M,12.00M,27.00M,21.00M,29.00M,25.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,91.00M,96.00M,85.00M,85.00M,90.00M,99.00M,95.00M,83.00M,81.00M,81.00M,79.00M,75.00M,86.00M,82.00M,85.00M,85.00M,84.00M,72.00M,77.00M,77.00M,82.00M,77.00M,80.00M,79.00M,83.00M,80.00M,80.00M,84.00M,87.00M,88.00M,87.00M,89.00M,91.00M,90.00M,96.00M,99.00M,92.00M,96.00M,91.00M,107.00M,109.00M,110.00M,123.00M,117.00M,114.00M,112.00M,115.00M,115.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-30.00M,-32.00M,-22.00M,-18.00M,-27.00M,-44.00M,-46.00M,-33.00M,-36.00M,-42.00M,-43.00M,-44.00M,20.00M,-82.00M,-85.00M,-85.00M,20.00M,-72.00M,-77.00M,-77.00M,20.00M,-77.00M,-80.00M,-79.00M,-61.00M,-65.00M,-65.00M,-67.00M,-71.00M,-74.00M,-73.00M,-75.00M,-75.00M,-75.00M,-82.00M,-86.00M,-83.00M,-82.00M,-91.00M,-98.00M,-134.00M,-103.00M,-117.00M,-105.00M,-87.00M,-91.00M,-86.00M,-90.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,103.00M,247.00M,242.00M,218.00M,227.00M,220.00M,267.00M,218.00M,84.00M,277.00M,223.00M,227.00M,436.00M,180.00M,-1.00M,18.00M,-100.00M,24.00M,20.00M,20.00M,44.00M,21.00M,21.00M,117.00M,163.00M,-14.00M,9.00M,11.00M,0.00,2.00M,9.00M,1.00M,-4.00M,6.00M,8.00M,16.00M,117.00M,-64.00M,9.00M,-7.00M,94.00M,32.00M,-57.00M,-14.00M,-9.00M,639.00M,14.00M,1.00M,-20.00M,5.00M,4.00M,-8.00M,22.00M,-10.00M,-1.00M,6.00M,27.00M,43.00M,14.00M,63.00M,-67.00M,79.00M,268.00M,49.00M,-10.00M,5.00M,61.00M,1.00M,-2.565B,11.00M,-157.00M,148.00M,-15.00M,-17.00M,-71.00M,-99.00M,-75.00M,-33.00M,129.00M,14.00M,44.00M,120.00M,267.00M,28.00M,96.00M,11.00M,29.00M,33.00M,319.00M,58.00M,69.00M,75.00M,-9.00M,57.00M,734.00M,27.00M,24.00M,35.00M,37.00M,30.00M,31.00M,28.00M,27.00M,17.00M,34.00M,23.00M,22.00M,-29.00M,406.00M,26.00M,33.00M,42.00M,27.00M,-25.00M,91.00M,65.00M,49.00M,33.00M,31.00M,37.00M,8.00M,29.00M,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-30.00M,-32.00M,-22.00M,-18.00M,-27.00M,-44.00M,-46.00M,-33.00M,-36.00M,-42.00M,-43.00M,-44.00M,20.00M,-82.00M,-85.00M,-85.00M,20.00M,-72.00M,-77.00M,-77.00M,20.00M,-77.00M,-80.00M,-79.00M,-61.00M,-65.00M,-65.00M,-67.00M,-71.00M,-74.00M,-73.00M,-75.00M,-75.00M,-75.00M,-82.00M,-86.00M,-83.00M,-82.00M,-91.00M,-98.00M,-134.00M,-103.00M,-117.00M,-105.00M,-87.00M,-91.00M,-86.00M,-90.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,1.768B,1.967B,1.982B,1.842B,1.72B,1.858B,1.998B,1.911B,1.667B,1.778B,1.778B,1.724B,1.437B,1.632B,1.755B,1.628B,1.653B,1.707B,1.662B,1.564B,1.304B,1.58B,1.523B,1.411B,1.439B,1.384B,1.329B,1.26B,306.00M,1.224B,1.223B,1.122B,-657.00M,893.00M,1.10B,946.00M,459.00M,822.00M,767.00M,702.00M,82.00M,798.00M,626.00M,543.00M,914.00M,1.038B,989.00M,879.00M,938.00M,837.00M,830.00M,716.00M,781.00M,734.00M,708.00M,575.00M,717.00M,576.00M,518.00M,486.00M,209.00M,486.00M,523.00M,405.00M,367.00M,453.00M,447.00M,373.00M,-2.347B,560.00M,315.00M,527.00M,95.00M,-498.00M,-12.00M,-7.00M,362.00M,422.00M,875.00M,739.00M,-17.00M,823.00M,796.00M,646.00M,1.343B,480.00M,511.00M,438.00M,1.14B,431.00M,458.00M,390.00M,397.00M,381.00M,433.00M,342.00M,291.00M,322.00M,345.00M,303.00M,296.00M,276.00M,289.00M,250.00M,248.00M,217.00M,237.00M,208.00M,134.00M,190.00M,204.00M,174.00M,140.00M,-759.00M,148.00M,81.00M,109.00M,128.00M,174.00M,191.00M,161.00M,177.00M,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,178.00M,319.00M,426.00M,406.00M,-20.00M,-498.00M,718.00M,459.00M,4.174B,416.00M,378.00M,392.00M,389.00M,384.00M,428.00M,402.00M,450.00M,431.00M,440.00M,418.00M,329.00M,388.00M,397.00M,375.00M,475.00M,377.00M,307.00M,291.00M,51.00M,278.00M,318.00M,297.00M,-350.00M,207.00M,304.00M,256.00M,115.00M,245.00M,209.00M,206.00M,-24.00M,179.00M,166.00M,144.00M,201.00M,315.00M,261.00M,232.00M,249.00M,219.00M,219.00M,190.00M,196.00M,193.00M,187.00M,144.00M,212.00M,149.00M,244.00M,127.00M,-9.00M,114.00M,162.00M,110.00M,-40.00M,109.00M,128.00M,99.00M,-880.00M,148.00M,-144.00M,151.00M,-23.00M,-190.00M,-62.00M,-48.00M,108.00M,140.00M,258.00M,233.00M,-24.00M,269.00M,256.00M,206.00M,419.00M,151.00M,161.00M,138.00M,355.00M,139.00M,153.00M,131.00M,127.00M,128.00M,161.00M,117.00M,58.00M,105.00M,118.00M,105.00M,91.00M,87.00M,93.00M,81.00M,79.00M,49.00M,67.00M,59.00M,11.00M,50.00M,59.00M,47.00M,25.00M,-219.00M,59.00M,18.00M,2.00M,23.00M,53.00M,62.00M,46.00M,56.00M,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,1.59B,1.648B,1.556B,1.436B,1.74B,2.356B,1.28B,1.452B,-2.507B,1.362B,1.40B,1.332B,1.048B,1.248B,1.327B,1.226B,1.203B,1.276B,1.222B,1.146B,975.00M,1.192B,1.126B,1.036B,964.00M,1.007B,1.022B,969.00M,255.00M,946.00M,905.00M,825.00M,-307.00M,686.00M,796.00M,690.00M,344.00M,577.00M,558.00M,496.00M,106.00M,619.00M,460.00M,399.00M,713.00M,723.00M,728.00M,647.00M,689.00M,618.00M,611.00M,526.00M,585.00M,541.00M,521.00M,431.00M,505.00M,427.00M,274.00M,358.00M,218.00M,372.00M,361.00M,295.00M,407.00M,344.00M,319.00M,274.00M,-1.467B,412.00M,459.00M,376.00M,118.00M,-308.00M,50.00M,41.00M,254.00M,282.00M,617.00M,506.00M,7.00M,554.00M,540.00M,440.00M,924.00M,329.00M,350.00M,300.00M,785.00M,292.00M,305.00M,259.00M,270.00M,253.00M,272.00M,225.00M,233.00M,217.00M,227.00M,198.00M,205.00M,189.00M,196.00M,169.00M,169.00M,168.00M,170.00M,149.00M,123.00M,140.00M,145.00M,127.00M,115.00M,-540.00M,89.00M,63.00M,107.00M,105.00M,121.00M,129.00M,115.00M,121.00M,166.00M,126.00M,104.00M,119.00M,128.00M,112.00M,77.00M,174.00M,111.00M,153.00M,69.00M,164.00M,186.00M,186.00M,-660.00M,95.00M,152.00M,134.00M,98.00M,126.00M,130.00M,133.00M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,177.00M,14.00M,18.00M,25.00M,19.00M,16.00M,,,,,,,,,,,,,,0.00,,,5.00M,30.00M,37.00M,28.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,3.00M,,,,,,,,,0.00,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-20.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,-28.00M,-24.00M,-15.00M,-20.00M,-19.00M,-18.00M,-13.00M,-13.00M,-12.00M,-17.00M,-8.00M,-6.00M,-11.00M,-8.00M,-8.00M,-10.00M,-9.00M,-12.00M,-28.00M,-30.00M,-19.00M,-25.00M,-27.00M,-19.00M,-17.00M,-17.00M,-1.00M,-3.00M,-4.00M,4.00M,-3.00M,-2.00M,-3.00M,-1.00M,0.00,-3.00M,0.00,2.00M,-8.00M,-7.00M,-13.00M,-11.00M,-10.00M,-2.00M,-6.00M,-4.00M,-5.00M,-4.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,1.562B,1.624B,1.541B,1.416B,1.721B,2.338B,1.267B,1.439B,-2.519B,1.345B,1.392B,1.326B,1.037B,1.24B,1.319B,1.216B,1.194B,1.264B,1.194B,1.116B,956.00M,1.167B,1.099B,1.017B,947.00M,990.00M,1.021B,966.00M,251.00M,950.00M,902.00M,823.00M,-310.00M,862.00M,810.00M,705.00M,369.00M,598.00M,566.00M,489.00M,93.00M,608.00M,450.00M,397.00M,707.00M,719.00M,723.00M,643.00M,689.00M,618.00M,611.00M,526.00M,585.00M,541.00M,521.00M,436.00M,514.00M,464.00M,302.00M,358.00M,218.00M,372.00M,361.00M,295.00M,407.00M,344.00M,319.00M,254.00M,-1.467B,412.00M,459.00M,376.00M,118.00M,-308.00M,50.00M,41.00M,254.00M,282.00M,617.00M,506.00M,7.00M,554.00M,540.00M,440.00M,924.00M,329.00M,350.00M,300.00M,785.00M,292.00M,305.00M,259.00M,270.00M,253.00M,272.00M,225.00M,233.00M,217.00M,227.00M,198.00M,205.00M,189.00M,196.00M,169.00M,-76.00M,168.00M,170.00M,149.00M,-1.124B,140.00M,145.00M,127.00M,115.00M,-540.00M,89.00M,63.00M,107.00M,105.00M,121.00M,129.00M,115.00M,121.00M,166.00M,126.00M,104.00M,119.00M,128.00M,112.00M,77.00M,174.00M,111.00M,156.00M,69.00M,164.00M,186.00M,186.00M,-660.00M,95.00M,152.00M,134.00M,98.00M,126.00M,130.00M,133.00M
