Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Inventories,4.421B,4.601B,4.60B,4.548B,4.326B,5.061B,4.792B,4.766B,4.613B,4.751B,4.651B,4.652B,4.366B,4.587B,4.678B,4.743B,4.42B,4.441B,4.447B,4.507B,4.405B,4.485B,4.511B,4.407B,4.293B,4.455B,4.295B,4.297B,4.235B,4.314B,4.117B,4.368B,4.264B,4.369B,4.197B,4.29B,3.958B,4.027B,3.596B,3.568B,3.446B,3.576B,3.593B,3.797B,3.848B,4.082B,3.995B,4.149B,3.861B,3.919B,3.807B,3.749B,3.588B,3.734B,3.68B,3.63B,3.401B,3.398B,3.376B,3.391B,3.16B,3.074B,3.003B,3.09B,3.04B,2.93B,3.055B,3.049B,2.953B,3.132B,3.215B,3.351B,3.355B,3.812B,3.74B,3.83B,3.734B,3.848B,3.744B,3.744B,3.436B,2.326B,2.345B,2.344B,3.456B,2.446B,2.409B,2.33B,2.093B,2.191B,2.129B,2.05B,1.946B,2.041B,1.998B,2.123B,1.991B,1.997B,1.921B,1.877B,1.743B,1.693B,1.694B,1.744B,1.745B,1.846B,1.85B,1.859B,1.871B,1.953B,1.899B,1.975B,1.996B,2.015B,2.093B,2.187B,2.168B,2.194B,2.201B,2.18B,2.063B,2.086B,2.061B,2.06B,2.451B,2.125B,1.172B
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,739.00M,659.00M,656.00M,722.00M,794.00M,803.00M,840.00M,849.00M,707.00M,670.00M,672.00M,669.00M,573.00M,269.00M,428.00M,460.00M,867.00M,926.00M,882.00M,877.00M,987.00M,922.00M,1.024B,1.034B,900.00M,945.00M,934.00M,922.00M,1.294B,1.328B,1.338B,1.241B,1.127B,1.197B,1.197B,1.215B,1.101B,1.151B,1.20B,1.243B,1.161B,1.236B,1.269B,1.289B,1.231B,1.311B,1.386B,1.526B,1.424B,1.592B,1.297B,1.301B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,1.973B,1.64B,1.818B,1.795B,1.618B,1.346B,1.537B,1.763B,1.706B,1.136B,1.15B,1.178B,1.152B,2.189B,1.927B,1.919B,2.103B,3.80B,3.883B,2.376B,2.145B,2.336B,2.207B,1.531B,1.671B,693.00M,680.00M,588.00M,631.00M,711.00M,562.00M,501.00M,484.00M,607.00M,545.00M,582.00M,458.00M,,,,381.00M,342.00M,289.00M,331.00M,299.00M,378.00M,885.00M,418.00M,367.00M,362.00M,354.00M,499.00M,537.00M,562.00M,532.00M,731.00M,1.067B,1.786B,1.77B,1.733B,542.00M,543.00M,566.00M,479.00M,465.00M,645.00M,490.00M,887.00M,661.00M,1.366B,1.462B,1.364B,1.526B,1.352B,1.224B,1.234B,1.108B,1.111B,1.109B,1.08B,1.099B,576.00M,552.00M,561.00M,981.00M,589.00M,565.00M,560.00M,553.00M,449.00M,450.00M,444.00M,466.00M,581.00M,604.00M,608.00M,608.00M,663.00M,679.00M,653.00M,637.00M,610.00M,616.00M,588.00M,587.00M,581.00M,591.00M,592.00M,588.00M,706.00M,418.00M,433.00M,450.00M,405.00M,317.00M,299.00M,314.00M,111.00M,110.00M,101.00M,110.00M,125.00M,167.00M,182.00M,461.00M,303.00M,227.00M
Total Current Assets,24.30B,26.19B,23.77B,24.33B,24.36B,26.63B,24.78B,25.59B,26.00B,24.64B,24.06B,23.58B,23.06B,21.83B,20.38B,19.53B,20.05B,23.48B,23.18B,22.27B,22.19B,22.36B,22.45B,21.53B,21.16B,19.30B,17.85B,17.68B,17.60B,17.75B,16.64B,16.55B,16.13B,17.04B,17.39B,16.03B,15.01B,15.16B,14.92B,14.33B,13.94B,13.89B,13.72B,12.78B,13.26B,15.00B,15.46B,14.74B,13.68B,13.66B,13.11B,12.70B,12.30B,12.54B,12.21B,12.18B,11.96B,12.57B,12.87B,14.91B,12.82B,12.36B,12.02B,12.04B,11.62B,11.22B,11.12B,10.82B,10.20B,9.976B,10.25B,9.737B,9.894B,10.47B,10.32B,10.29B,10.66B,11.19B,9.851B,9.75B,10.42B,5.867B,5.383B,5.517B,9.354B,5.308B,5.312B,5.369B,5.573B,5.228B,5.638B,5.795B,5.839B,6.148B,6.263B,5.121B,4.89B,4.985B,5.022B,4.903B,4.585B,4.632B,4.529B,4.594B,4.567B,4.578B,4.83B,4.785B,4.919B,4.827B,4.369B,4.283B,4.129B,4.211B,4.254B,4.298B,4.316B,4.181B,4.216B,4.174B,4.141B,4.124B,4.117B,4.084B,4.606B,4.96B,2.555B
Properties,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
Land and Improvements,251.00M,,,,262.00M,,,,287.00M,,,,363.00M,380.00M,,,367.00M,,,,343.00M,,,,376.00M,,,,367.00M,,,,376.00M,,,,525.00M,,,,513.00M,,,,475.00M,,,,409.00M,,,,408.00M,,,,352.00M,,,,356.00M,,,,335.00M,,,,297.00M,,,,316.00M,,,,337.00M,,,,371.00M,,,,407.00M,,,,330.00M,,,,331.00M,,,,370.00M,,,,333.00M,,,,321.00M,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,3.152B,,,,3.125B,,,,3.463B,,,,3.248B,3.391B,,,3.188B,,,,3.119B,,,,3.157B,,,,3.045B,,,,2.897B,,,,2.669B,,,,2.621B,,,,2.429B,,,,2.244B,,,,2.056B,,,,2.12B,,,,2.027B,,,,1.964B,,,,1.836B,,,,1.968B,,,,2.134B,,,,2.192B,,,,2.174B,,,,1.455B,,,,1.415B,,,,1.545B,,,,1.371B,,,,1.241B,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",9.586B,,,,9.435B,,,,10.76B,,,,9.956B,9.872B,,,10.50B,,,,10.31B,,,,10.44B,,,,10.02B,,,,9.937B,,,,10.20B,,,,9.982B,,,,10.08B,,,,10.24B,,,,9.888B,,,,9.381B,,,,8.935B,,,,9.011B,,,,8.646B,,,,8.874B,,,,9.484B,,,,9.574B,,,,9.471B,,,,6.994B,,,,6.781B,,,,7.482B,,,,6.709B,,,,6.075B,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,724.00M,,,,588.00M,,,,675.00M,,,,940.00M,965.00M,,,848.00M,,,,727.00M,,,,647.00M,,,,592.00M,,,,513.00M,,,,403.00M,,,,405.00M,,,,407.00M,,,,466.00M,,,,447.00M,,,,433.00M,,,,344.00M,,,,435.00M,,,,378.00M,,,,523.00M,,,,505.00M,,,,566.00M,,,,605.00M,,,,410.00M,,,,449.00M,,,,388.00M,,,,379.00M,,,,531.00M,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,13.71B,,,,13.41B,,,,15.19B,,,,14.51B,14.61B,,,14.91B,,,,14.50B,,,,14.62B,,,,14.03B,,,,13.72B,,,,13.80B,,,,13.52B,,,,13.39B,13.36B,13.43B,13.39B,13.36B,12.77B,12.69B,12.71B,12.80B,12.34B,12.31B,12.26B,12.29B,11.67B,11.68B,11.72B,11.66B,11.64B,11.64B,11.70B,11.74B,11.27B,11.32B,11.18B,11.16B,11.44B,11.52B,11.56B,11.68B,12.39B,12.34B,12.36B,12.46B,12.32B,12.71B,12.77B,12.70B,9.317B,9.189B,9.262B,12.66B,9.359B,9.106B,9.173B,9.189B,9.253B,9.118B,8.996B,8.976B,8.826B,8.758B,9.876B,9.785B,9.408B,9.285B,9.01B,8.792B,8.502B,8.342B,8.274B,8.168B,7.903B,7.817B,7.705B,7.629B,7.324B,7.042B,6.928B,6.862B,6.619B,6.574B,6.546B,6.435B,6.085B,6.086B,5.966B,5.803B,5.576B,5.34B,5.226B,5.146B,4.397B,5.78B
Accumulated D&A,-8.388B,,,,-8.114B,,,,-9.261B,,,,-8.714B,-8.883B,,,-9.119B,,,,-9.119B,,,,-9.339B,,,,-9.026B,,,,-8.919B,,,,-8.961B,,,,-8.674B,,,,-8.452B,-8.377B,-8.377B,-8.377B,-8.377B,-8.002B,-8.002B,-8.002B,-8.002B,-7.628B,-7.628B,-7.628B,-7.628B,-7.331B,-7.331B,-7.331B,-7.331B,-7.45B,-7.45B,-7.45B,-7.45B,-7.102B,-7.102B,-7.102B,-7.102B,-6.748B,-6.748B,-6.748B,-6.748B,-7.23B,-7.23B,-7.23B,-7.23B,-7.127B,-7.208B,-7.13B,-7.073B,-4.965B,-4.974B,-4.969B,-7.057B,-5.072B,-4.909B,-4.965B,-4.938B,-5.005B,-4.918B,-4.833B,-4.757B,-4.729B,-4.712B,-5.187B,-5.043B,-4.945B,-4.851B,-4.718B,-4.532B,-4.398B,-4.273B,-4.187B,-4.074B,-3.994B,-3.907B,-3.833B,-3.732B,-3.595B,-3.411B,-3.315B,-3.224B,-3.099B,-3.004B,-2.945B,-2.851B,-2.683B,-2.687B,-2.591B,-2.482B,-2.351B,-2.126B,-1.896B,-1.632B,-1.244B,-2.43B
Net PP&E,5.325B,5.24B,5.26B,5.276B,5.296B,5.966B,5.968B,6.083B,5.926B,5.757B,5.718B,5.816B,5.793B,5.725B,6.086B,6.027B,5.789B,5.451B,5.381B,5.30B,5.383B,5.189B,5.316B,5.284B,5.278B,5.107B,4.997B,4.948B,5.001B,4.83B,4.735B,4.814B,4.804B,4.725B,4.718B,4.832B,4.84B,4.738B,4.535B,4.697B,4.847B,4.828B,4.795B,4.777B,4.934B,4.986B,5.051B,5.012B,4.985B,4.77B,4.692B,4.71B,4.797B,4.713B,4.679B,4.633B,4.658B,4.335B,4.353B,4.386B,4.331B,4.186B,4.185B,4.248B,4.295B,4.168B,4.222B,4.08B,4.055B,4.689B,4.769B,4.812B,4.933B,5.157B,5.111B,5.128B,5.23B,5.194B,5.502B,5.637B,5.63B,4.352B,4.215B,4.293B,5.60B,4.287B,4.197B,4.208B,4.251B,4.248B,4.20B,4.163B,4.219B,4.097B,4.046B,4.689B,4.742B,4.463B,4.434B,4.292B,4.26B,4.104B,4.069B,4.087B,4.094B,3.909B,3.91B,3.872B,3.897B,3.729B,3.631B,3.613B,3.638B,3.52B,3.57B,3.601B,3.584B,3.402B,3.399B,3.375B,3.321B,3.225B,3.214B,3.33B,3.514B,3.153B,3.35B
Goodwill,15.56B,15.43B,15.57B,15.56B,15.55B,18.19B,18.14B,18.52B,18.28B,18.27B,18.04B,17.83B,17.71B,17.85B,16.69B,16.71B,15.90B,12.68B,12.76B,12.68B,12.79B,12.92B,13.05B,13.03B,13.05B,13.23B,12.64B,12.39B,12.42B,11.92B,11.84B,11.91B,11.86B,11.64B,11.49B,11.80B,11.60B,11.53B,10.32B,10.36B,10.49B,10.52B,10.24B,10.14B,10.18B,10.18B,9.673B,9.251B,9.175B,8.784B,8.457B,8.40B,8.403B,8.335B,8.277B,,1.173B,,,,,,,,,,,,,,,,,,,,,,,,4.66B,3.094B,2.91B,2.975B,4.365B,2.988B,2.881B,2.58B,2.426B,2.092B,1.657B,1.40B,1.418B,1.383B,1.395B,1.556B,1.572B,1.387B,1.398B,1.347B,1.349B,1.114B,1.108B,1.084B,1.087B,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,3.734B,3.787B,3.933B,4.039B,4.139B,4.202B,4.261B,4.462B,4.496B,4.587B,4.566B,4.592B,4.634B,4.847B,4.557B,4.706B,4.577B,2.071B,2.141B,2.19B,2.208B,2.288B,2.378B,2.445B,2.514B,2.59B,2.393B,2.384B,2.449B,2.281B,2.325B,2.42B,2.477B,2.376B,2.347B,2.456B,2.574B,2.711B,2.057B,2.114B,2.174B,2.265B,2.141B,2.183B,2.267B,2.334B,2.123B,1.492B,1.498B,1.336B,1.213B,1.223B,1.247B,1.313B,1.331B,9.424B,7.66B,9.008B,8.913B,8.817B,7.254B,7.039B,6.947B,6.998B,6.887B,6.813B,6.804B,6.832B,6.772B,6.40B,6.394B,6.362B,6.356B,5.831B,5.874B,5.921B,5.898B,6.12B,6.232B,6.204B,,,,,,,,,,,,,,,,,,,,,,,,,,1.035B,1.033B,1.045B,1.048B,1.087B,1.084B,1.09B,1.099B,1.107B,1.114B,1.129B,1.107B,1.309B,1.316B,1.325B,1.318B,1.335B,1.378B,1.547B,1.99B,1.416B,533.00M
Goodwill and Intangibles,19.30B,19.21B,19.51B,19.59B,19.68B,22.39B,22.40B,22.98B,22.77B,22.86B,22.60B,22.42B,22.34B,22.69B,21.24B,21.41B,20.47B,14.76B,14.90B,14.88B,15.00B,15.21B,15.43B,15.47B,15.56B,15.82B,15.03B,14.77B,14.87B,14.20B,14.16B,14.33B,14.34B,14.02B,13.84B,14.26B,14.17B,14.24B,12.37B,12.48B,12.67B,12.78B,12.38B,12.32B,12.45B,12.51B,11.80B,10.74B,10.67B,10.12B,9.67B,9.623B,9.65B,9.648B,9.608B,9.424B,8.833B,9.008B,8.913B,8.817B,7.254B,7.039B,6.947B,6.998B,6.887B,6.813B,6.804B,6.832B,6.772B,6.40B,6.394B,6.362B,6.356B,5.831B,5.874B,5.921B,5.898B,6.12B,6.232B,6.204B,4.66B,3.094B,2.91B,2.975B,4.365B,2.988B,2.881B,2.58B,2.426B,2.092B,1.657B,1.40B,1.418B,1.383B,1.395B,1.556B,1.572B,1.387B,1.398B,1.347B,1.349B,1.114B,1.108B,1.084B,1.087B,1.035B,1.033B,1.045B,1.048B,1.087B,1.084B,1.09B,1.099B,1.107B,1.114B,1.129B,1.107B,1.309B,1.316B,1.325B,1.318B,1.335B,1.378B,1.547B,1.99B,1.416B,533.00M
Long Term Investments,588.00M,631.00M,747.00M,747.00M,742.00M,754.00M,897.00M,737.00M,667.00M,643.00M,570.00M,533.00M,587.00M,639.00M,561.00M,592.00M,517.00M,471.00M,491.00M,464.00M,465.00M,447.00M,488.00M,465.00M,393.00M,830.00M,756.00M,738.00M,424.00M,600.00M,566.00M,533.00M,362.00M,465.00M,516.00M,476.00M,616.00M,601.00M,544.00M,586.00M,579.00M,471.00M,463.00M,622.00M,670.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,392.00M,412.00M,422.00M,429.00M,437.00M,465.00M,409.00M,404.00M,479.00M,411.00M,401.00M,407.00M,417.00M,433.00M,428.00M,431.00M,426.00M,414.00M,433.00M,445.00M,454.00M,466.00M,432.00M,584.00M,595.00M,653.00M,658.00M,654.00M,862.00M,,,,841.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,86.00M,241.00M,259.00M,362.00M,382.00M,376.00M,355.00M,402.00M,251.00M,264.00M,357.00M,337.00M,347.00M,335.00M,328.00M,318.00M,283.00M,329.00M,365.00M,329.00M,404.00M,195.00M,176.00M,217.00M,368.00M,1.457B,1.701B,1.842B,1.889B,1.766B,2.164B,2.061B,2.132B,1.056B,1.115B,1.232B,1.218B,1.411B,1.776B,1.973B,2.006B,1.698B,1.715B,1.842B,2.135B,617.00M,646.00M,676.00M,637.00M,997.00M,925.00M,1.002B,1.075B,622.00M,819.00M,746.00M,730.00M,738.00M,718.00M,611.00M,613.00M,476.00M,447.00M,395.00M,342.00M,321.00M,303.00M,511.00M,533.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
