Change in Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.00M,17.00M,-22.00M,32.00M,-62.00M,-554.00M,328.00M,103.00M,52.00M,-153.00M,100.00M,173.00M,-202.00M,-15.00M,24.00M,-80.00M,35.00M,0.00,8.00M,-14.00M,494.00M,,128.00M,-128.00M,-209.00M,179.00M,-413.00M,206.00M,-342.00M,-131.00M,-5.00M,5.00M,63.00M,1.994B,-2.123B,,632.00M,-771.00M,-3.00M,142.00M,-150.00M,0.00,-3.00M,21.00M,,,,,,,33.80M,-33.80M,
Change in Other Current Liabilities,0.00,-100.00M,0.00,-14.00M,11.43B,-66.00M,2.417B,-118.00M,-141.00M,128.00M,-116.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.00M,174.00M,166.00M,-390.00M,158.00M,11.00M,-147.00M,68.00M,-11.00M,65.00M,346.00M,-392.00M,-524.00M,376.00M,-126.00M,41.00M,355.00M,-565.00M,733.00M,-168.00M,-590.00M,440.00M,-387.00M,-53.00M,151.00M,-480.00M,51.00M,-51.00M,1.158B,-1.181B,-125.00M,125.00M,,,,,,,,,305.00M,60.00M,-60.00M,,537.00M,-5.00M,-7.00M,12.00M,78.00M,38.00M,132.00M,9.00M,45.80M
Change in Other Working Cap,4.228B,2.565B,2.83B,1.479B,-779.00M,-193.00M,-171.00M,-112.00M,-324.00M,533.00M,-72.00M,-265.00M,-541.00M,147.00M,-861.00M,-100.00M,-626.00M,-55.00M,-140.00M,-23.00M,-873.00M,80.00M,138.00M,-460.00M,-720.00M,326.00M,-279.00M,-281.00M,218.00M,148.00M,437.00M,-139.00M,-157.00M,712.00M,-342.00M,-44.00M,-353.00M,242.00M,235.00M,-836.00M,-1.047B,-407.00M,113.00M,-180.00M,-609.00M,83.00M,,,-507.00M,563.00M,-625.00M,58.00M,453.00M,43.00M,-190.00M,147.00M,-849.00M,907.00M,-506.00M,495.00M,337.00M,-591.00M,512.00M,332.00M,-408.00M,323.00M,331.00M,-163.00M,-1.213B,392.00M,-215.00M,439.00M,-553.00M,1.438B,667.00M,-217.00M,-1.136B,-433.00M,252.00M,189.00M,-445.00M,77.00M,353.00M,304.00M,-324.00M,370.00M,-80.00M,110.00M,-387.00M,308.00M,-100.90M,40.90M,73.10M
Changes in Working Capital,4.521B,2.44B,3.097B,1.297B,9.086B,-53.00M,1.755B,139.00M,-81.00M,332.00M,-349.00M,42.00M,-669.00M,-87.00M,-832.00M,31.00M,-599.00M,-134.00M,-531.00M,225.00M,-666.00M,-59.00M,-414.00M,-46.00M,-637.00M,219.00M,-512.00M,-73.00M,565.00M,-160.00M,272.00M,-81.00M,-219.00M,341.00M,-511.00M,272.00M,-350.00M,-198.00M,304.00M,-507.00M,-931.00M,213.00M,-135.00M,22.00M,-424.00M,-560.00M,-100.00M,118.00M,-197.00M,75.00M,-497.00M,63.00M,-150.00M,259.00M,-416.00M,433.00M,-388.00M,396.00M,-82.00M,457.00M,358.00M,-259.00M,243.00M,328.00M,-828.00M,-178.00M,-242.00M,546.00M,-326.00M,-817.00M,-939.00M,1.461B,50.00M,3.068B,-2.858B,3.442B,1.152B,-1.394B,454.00M,563.00M,-632.00M,-153.00M,547.00M,800.00M,-1.236B,1.204B,-180.00M,535.00M,-229.00M,236.00M,-317.30M,318.30M,555.80M
Cash from Operations,749.00M,1.31B,513.00M,2.244B,516.00M,1.483B,1.241B,1.512B,1.24B,1.981B,1.182B,1.574B,1.126B,1.468B,727.00M,1.088B,838.00M,1.083B,779.00M,1.08B,733.00M,1.677B,509.00M,771.00M,594.00M,1.374B,590.00M,869.00M,1.43B,1.278B,1.243B,931.00M,507.00M,1.327B,817.00M,1.088B,886.00M,947.00M,978.00M,395.00M,232.00M,1.053B,864.00M,890.00M,581.00M,-66.00M,1.21B,1.038B,468.00M,842.00M,260.00M,976.00M,474.00M,700.00M,446.00M,1.094B,292.00M,534.00M,631.00M,952.00M,1.01B,722.00M,-269.00M,887.00M,-414.00M,1.307B,676.00M,933.00M,-437.00M,839.00M,-778.00M,1.19B,507.00M,4.077B,-1.255B,1.952B,-505.00M,-465.00M,613.00M,1.062B,132.00M,368.00M,630.00M,1.025B,-232.00M,1.265B,398.00M,852.00M,450.00M,1.025B,173.60M,969.40M,1.347B
Net Change in Capital Expenditures,-2.121B,-1.782B,-1.186B,-1.224B,-1.922B,-1.695B,-1.427B,-1.47B,-1.703B,-1.464B,-1.258B,-1.216B,-1.581B,-1.477B,-1.422B,-1.229B,-1.511B,-1.252B,-1.219B,-1.191B,-1.269B,-1.244B,-1.123B,-1.197B,-1.326B,-1.36B,-1.272B,-1.249B,-1.263B,-1.142B,-1.125B,-1.094B,-1.07B,-1.071B,-952.00M,-945.00M,-1.008B,-1.008B,-931.00M,-855.00M,-936.00M,-945.00M,-998.00M,-1.079B,-937.00M,-979.00M,-859.00M,-853.00M,-734.00M,-715.00M,-647.00M,-673.00M,-673.00M,-551.00M,-602.00M,-576.00M,-486.00M,-515.00M,-454.00M,-349.00M,-449.00M,-373.00M,-395.00M,-342.00M,-515.00M,-273.00M,-539.00M,-371.00M,-391.00M,524.00M,-969.00M,-711.00M,-955.00M,-1.00B,-280.00M,-538.00M,-1.126B,-550.00M,-349.00M,-321.00M,-526.00M,-318.00M,-368.00M,-372.00M,-357.00M,-337.00M,-419.00M,-506.00M,-641.00M,-411.00M,-441.80M,-328.20M,-231.70M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.00M,21.00M,,,6.00M,7.00M,4.00M,4.00M,6.00M,4.00M,4.00M,3.00M,20.00M,2.00M,6.00M,11.00M,7.00M,3.00M,7.00M,18.00M,35.00M,3.00M,6.00M,5.00M,3.00M,8.00M,,,,,,,312.00M,103.00M,,,0.00,0.00,1.014B,,1.048B,58.00M,,,146.00M,-137.10M,137.10M,,
Net Change in PP&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67B,-2.67B,,,-728.00M,-708.00M,-643.00M,-669.00M,-667.00M,-547.00M,-598.00M,-573.00M,-466.00M,-513.00M,-448.00M,-338.00M,-442.00M,-370.00M,-388.00M,-324.00M,-480.00M,-270.00M,-533.00M,-366.00M,-388.00M,532.00M,-969.00M,-711.00M,-955.00M,-1.00B,-280.00M,-538.00M,-814.00M,-447.00M,-349.00M,-321.00M,-526.00M,-318.00M,646.00M,-372.00M,691.00M,-279.00M,-419.00M,-506.00M,-495.00M,-548.10M,-304.70M,-328.20M,-231.70M
Net Divestitures (Acquisitions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.354B,-425.00M,,,0.00,0.00,-0.30M,-40.70M,
Total Net Change in Investments,-10.00M,-36.00M,-4.00M,-26.00M,-29.00M,-31.00M,-2.00M,-11.00M,-4.00M,-5.00M,0.00,-23.00M,-26.00M,10.00M,-17.00M,-24.00M,-23.00M,-1.00M,-12.00M,-88.00M,8.00M,-10.00M,10.00M,-6.00M,13.00M,-7.00M,10.00M,-1.00M,5.00M,-11.00M,-31.00M,-19.00M,-5.00M,-68.00M,47.00M,-9.00M,-12.00M,-28.00M,-5.00M,-6.00M,-21.00M,-11.00M,-6.00M,-25.00M,-49.00M,29.00M,-76.00M,47.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.00M,39.00M,-15.00M,-7.00M,90.00M,-68.00M,-97.00M,,
Net Other Investing Changes,3.00M,2.00M,3.00M,3.00M,4.00M,4.00M,9.00M,6.00M,7.00M,8.00M,4.00M,4.00M,-63.00M,70.00M,3.00M,3.00M,57.00M,5.00M,17.00M,7.00M,8.00M,86.00M,9.00M,14.00M,19.00M,25.00M,-2.00M,43.00M,91.00M,0.00,43.00M,20.00M,19.00M,-86.00M,83.00M,71.00M,-40.00M,-18.00M,41.00M,13.00M,-61.00M,719.00M,9.00M,18.00M,130.00M,-110.00M,-3.00M,8.00M,216.00M,-63.00M,-42.00M,-29.00M,-2.00M,-46.00M,-15.00M,21.00M,-89.00M,123.00M,185.00M,148.00M,-232.00M,139.00M,5.187B,-6.982B,-88.00M,-171.00M,138.00M,9.00M,10.00M,-447.00M,468.00M,-6.00M,132.00M,12.00M,-100.00M,-147.00M,557.00M,-306.00M,-91.00M,81.00M,345.00M,108.00M,-17.00M,17.00M,-152.00M,182.00M,39.00M,-3.00M,-132.00M,185.10M,15.00M,-47.10M,-46.10M
Cash from Investing,-2.128B,-1.816B,-1.187B,-1.247B,-1.947B,-1.722B,-1.42B,-1.475B,-1.70B,-1.461B,-1.254B,-1.235B,-1.67B,-1.397B,-1.436B,-1.25B,-1.477B,-1.248B,-1.214B,-1.272B,-1.253B,-1.168B,-1.104B,-1.189B,-1.294B,-1.342B,-1.264B,-1.207B,-1.167B,-1.153B,-1.113B,-1.093B,-1.056B,-1.225B,-822.00M,-883.00M,-1.06B,-1.054B,-895.00M,-848.00M,-1.018B,-237.00M,-995.00M,-1.086B,-877.00M,-1.039B,-938.00M,-798.00M,-512.00M,-771.00M,-685.00M,-698.00M,-669.00M,-593.00M,-613.00M,-552.00M,-555.00M,-390.00M,-263.00M,-190.00M,-674.00M,-231.00M,4.799B,-7.306B,-568.00M,-441.00M,-395.00M,-357.00M,-378.00M,85.00M,-501.00M,-717.00M,-823.00M,-988.00M,-380.00M,-685.00M,-257.00M,-753.00M,-440.00M,-240.00M,-181.00M,-210.00M,629.00M,-355.00M,-832.00M,-483.00M,-395.00M,-516.00M,-537.00M,-431.00M,-387.00M,-416.00M,-277.80M
Net Change in Long Term Debt,1.00M,-3.00M,1.15B,239.00M,2.79B,93.00M,700.00M,-400.00M,879.00M,0.00,-201.00M,590.00M,229.00M,0.00,0.00,594.00M,637.00M,0.00,486.00M,0.00,489.00M,583.00M,-1.00M,88.00M,391.00M,-1.00M,421.00M,0.00,7.00M,633.00M,246.00M,-102.00M,143.00M,-62.00M,204.00M,-597.00M,388.00M,345.00M,206.00M,-93.00M,440.00M,-99.00M,-85.00M,195.00M,1.377B,271.00M,-236.00M,-35.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in Short Term Debt,0.00,0.00,0.00,0.00,-150.00M,0.00,-218.00M,36.00M,62.00M,-313.00M,416.00M,-755.00M,369.00M,-385.00M,834.00M,-327.00M,138.00M,-136.00M,158.00M,223.00M,206.00M,-1.026B,522.00M,15.00M,220.00M,1.00M,323.00M,-2.00M,-24.00M,-681.00M,-321.00M,-245.00M,707.00M,-265.00M,-75.00M,415.00M,26.00M,-233.00M,-195.00M,418.00M,333.00M,556.00M,-443.00M,96.00M,-244.00M,114.00M,84.00M,-198.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,1.00M,-3.00M,1.15B,239.00M,2.64B,93.00M,482.00M,-364.00M,941.00M,-313.00M,215.00M,-165.00M,598.00M,-385.00M,834.00M,267.00M,775.00M,-136.00M,644.00M,223.00M,695.00M,-443.00M,521.00M,103.00M,611.00M,0.00,744.00M,-2.00M,-17.00M,-48.00M,-75.00M,-347.00M,850.00M,-327.00M,129.00M,-182.00M,414.00M,112.00M,11.00M,325.00M,773.00M,457.00M,-528.00M,291.00M,347.00M,1.171B,-152.00M,-233.00M,-318.00M,417.00M,89.00M,107.00M,310.00M,-100.00M,72.00M,-390.00M,958.00M,-336.00M,-84.00M,598.00M,-882.00M,-214.00M,-6.369B,6.163B,-79.00M,-756.00M,132.00M,-74.00M,206.00M,-1.369B,628.00M,-149.00M,244.00M,197.00M,385.00M,-124.00M,2.906B,1.293B,-26.00M,-748.00M,350.00M,-35.00M,-1.136B,-122.00M,1.212B,-677.00M,238.00M,-210.00M,1.149B,16.00M,689.50M,-135.50M,-531.50M
Common Stock Issuance,0.00,0.00,0.00,85.00M,63.00M,55.00M,47.00M,35.00M,50.00M,98.00M,101.00M,146.00M,95.00M,438.00M,143.00M,146.00M,91.00M,437.00M,101.00M,151.00M,59.00M,154.00M,287.00M,302.00M,321.00M,162.00M,136.00M,426.00M,49.00M,141.00M,174.00M,387.00M,271.00M,134.00M,175.00M,82.00M,162.00M,52.00M,79.00M,10.00M,8.00M,29.00M,86.00M,96.00M,75.00M,68.00M,43.00M,39.00M,55.00M,31.00M,63.00M,26.00M,23.00M,31.00M,77.00M,,12.00M,41.00M,70.00M,120.00M,41.00M,24.00M,39.00M,58.00M,46.00M,66.00M,33.00M,21.00M,27.00M,129.00M,40.00M,21.00M,,,,,13.00M,30.00M,12.00M,10.00M,10.00M,12.00M,12.00M,20.00M,15.00M,15.00M,16.00M,17.00M,14.00M,13.00M,13.50M,13.50M,66.90M
Common Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,-114.00M,,-1.102B,-58.00M,-1.185B,-2.00M,-378.00M,-4.00M,-11.00M,,,,,,,,,,,,,,,,,,-159.00M,-31.00M,0.00,-503.00M,-2.00M,-78.00M,-57.00M,-1.129B,-93.00M,-131.00M,-259.80M,-320.20M,-110.30M
Net Common Equity Issued (Purchased),0.00,0.00,0.00,85.00M,63.00M,55.00M,47.00M,35.00M,50.00M,98.00M,101.00M,146.00M,95.00M,438.00M,143.00M,146.00M,91.00M,437.00M,101.00M,151.00M,59.00M,154.00M,287.00M,302.00M,321.00M,162.00M,136.00M,426.00M,49.00M,141.00M,174.00M,387.00M,271.00M,134.00M,175.00M,82.00M,162.00M,52.00M,79.00M,10.00M,8.00M,29.00M,86.00M,96.00M,75.00M,68.00M,43.00M,39.00M,55.00M,31.00M,63.00M,26.00M,23.00M,31.00M,-37.00M,,-1.09B,-17.00M,-1.115B,118.00M,-337.00M,20.00M,28.00M,58.00M,46.00M,66.00M,33.00M,21.00M,27.00M,129.00M,40.00M,21.00M,,,,,11.00M,30.00M,12.00M,10.00M,-149.00M,-19.00M,12.00M,-483.00M,13.00M,-63.00M,-41.00M,-1.112B,-79.00M,-118.00M,-246.30M,-306.70M,-43.40M
Total Common Dividends Paid,,,,,,,,,-267.00M,-266.00M,-245.00M,-243.00M,-243.00M,-238.00M,-221.00M,-219.00M,-218.00M,-214.00M,-213.00M,-211.00M,-211.00M,-209.00M,-206.00M,-202.00M,-199.00M,-197.00M,-195.00M,-191.00M,-190.00M,-188.00M,-186.00M,-182.00M,-179.00M,-176.00M,-175.00M,-174.00M,-170.00M,-172.00M,-163.00M,-157.00M,-155.00M,-149.00M,-148.00M,-138.00M,-546.00M,267.00M,-138.00M,-129.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,,,,,,,,,-267.00M,-266.00M,-245.00M,-243.00M,-243.00M,-238.00M,-221.00M,-219.00M,-218.00M,-214.00M,-213.00M,-211.00M,-211.00M,-209.00M,-206.00M,-202.00M,-199.00M,-197.00M,-195.00M,-191.00M,-190.00M,-188.00M,-186.00M,-182.00M,-179.00M,-176.00M,-175.00M,-174.00M,-170.00M,-172.00M,-163.00M,-157.00M,-155.00M,-149.00M,-148.00M,-138.00M,-140.00M,-139.00M,-138.00M,-129.00M,-129.00M,-125.00M,-119.00M,-123.00M,-114.00M,-114.00M,-110.00M,-118.00M,-115.00M,-116.00M,950.00M,-1.069B,-2.00M,0.00,-88.00M,,,,,,,,,,0.00,0.00,0.00,-109.00M,-111.00M,-108.00M,-109.00M,-108.00M,-130.00M,-110.00M,-110.00M,-115.00M,-93.00M,-122.00M,-121.00M,-134.00M,-135.00M,-127.00M,-131.30M,-130.70M,-225.90M
Cash from Other Financing Activities,-22.00M,20.00M,18.00M,-24.00M,-34.00M,4.00M,23.00M,-13.00M,-6.00M,-26.00M,15.00M,-90.00M,-27.00M,-4.00M,0.00,-13.00M,-40.00M,-17.00M,7.00M,23.00M,-11.00M,-4.00M,17.00M,27.00M,-18.00M,3.00M,-8.00M,-18.00M,0.00,-26.00M,-8.00M,48.00M,-157.00M,194.00M,-14.00M,18.00M,-288.00M,197.00M,-3.00M,6.00M,-13.00M,-791.00M,788.00M,-1.00M,-18.00M,-41.00M,19.00M,-9.00M,-3.00M,24.00M,288.00M,-274.00M,10.00M,77.00M,-191.00M,107.00M,-10.00M,64.00M,-6.00M,,1.00M,139.00M,-141.00M,,-2.00M,-2.00M,,,,37.00M,-17.00M,-20.00M,,,,,23.00M,,-3.00M,3.00M,-10.00M,-9.00M,14.00M,9.00M,-38.00M,41.00M,8.00M,-14.00M,-19.00M,-5.00M,-11.50M,-3.50M,-12.90M
Cash from Financing,-21.00M,17.00M,1.168B,300.00M,2.669B,152.00M,552.00M,-342.00M,718.00M,-507.00M,86.00M,-352.00M,423.00M,-189.00M,756.00M,181.00M,608.00M,70.00M,539.00M,186.00M,532.00M,-502.00M,619.00M,230.00M,715.00M,-32.00M,677.00M,215.00M,-158.00M,-121.00M,-95.00M,-94.00M,785.00M,-175.00M,115.00M,-256.00M,118.00M,189.00M,-76.00M,184.00M,613.00M,-454.00M,198.00M,248.00M,264.00M,1.059B,-228.00M,-332.00M,-395.00M,347.00M,321.00M,-264.00M,229.00M,-106.00M,-266.00M,-401.00M,-257.00M,-405.00M,-255.00M,-353.00M,-1.22B,-55.00M,-6.57B,6.221B,-35.00M,-692.00M,165.00M,-53.00M,233.00M,-1.203B,651.00M,-148.00M,218.00M,197.00M,385.00M,-233.00M,2.829B,1.215B,-126.00M,-843.00M,61.00M,-173.00M,-1.22B,-711.00M,1.094B,-821.00M,84.00M,-1.47B,916.00M,-234.00M,300.40M,-576.40M,-813.70M
Beginning Cash,2.97B,3.459B,2.964B,1.675B,430.00M,517.00M,144.00M,456.00M,191.00M,178.00M,164.00M,177.00M,71.00M,189.00M,142.00M,123.00M,154.00M,249.00M,145.00M,151.00M,139.00M,132.00M,108.00M,296.00M,281.00M,281.00M,278.00M,401.00M,296.00M,292.00M,257.00M,513.00M,277.00M,350.00M,240.00M,291.00M,347.00M,265.00M,258.00M,527.00M,700.00M,338.00M,271.00M,219.00M,251.00M,297.00M,253.00M,345.00M,784.00M,366.00M,470.00M,456.00M,422.00M,421.00M,604.00M,463.00M,1.233B,1.494B,1.381B,972.00M,1.856B,1.42B,3.46B,3.658B,4.675B,4.864B,4.055B,3.532B,4.114B,5.052B,5.68B,5.355B,5.50B,683.00M,3.464B,2.43B,304.00M,307.00M,260.00M,281.00M,269.00M,284.00M,245.00M,286.00M,311.00M,350.00M,263.00M,1.397B,567.00M,207.20M,120.30M,143.40M,136.90M
