Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Non-Operating Interest Expense,719.00M,52.00M,60.00M,103.00M,251.00M,232.00M,226.00M,220.00M,225.00M,220.00M,225.00M,218.00M,208.00M,211.00M,207.00M,203.00M,198.00M,194.00M,192.00M,189.00M,187.00M,174.00M,188.00M,185.00M,183.00M,179.00M,177.00M,176.00M,175.00M,178.00M,176.00M,174.00M,173.00M,176.00M,174.00M,177.00M,174.00M,167.00M,175.00M,168.00M,172.00M,174.00M,178.00M,181.00M,,,185.00M,187.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-699.00M,-34.00M,-38.00M,-81.00M,-210.00M,-218.00M,-214.00M,-211.00M,-216.00M,-211.00M,-217.00M,-213.00M,-202.00M,-203.00M,-202.00M,-199.00M,-195.00M,-192.00M,-189.00M,-188.00M,-185.00M,-172.00M,-186.00M,-182.00M,-180.00M,-177.00M,-175.00M,-174.00M,-174.00M,-176.00M,-173.00M,-173.00M,-173.00M,-174.00M,-171.00M,-175.00M,-172.00M,-164.00M,-173.00M,-166.00M,-166.00M,-173.00M,-161.00M,-172.00M,,,-152.00M,-161.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-5.026B,-2.559B,-3.89B,-56.00M,-9.557B,114.00M,-2.019B,115.00M,25.00M,-15.00M,72.00M,34.00M,-11.00M,24.00M,23.00M,27.00M,17.00M,24.00M,18.00M,58.00M,-28.00M,36.00M,43.00M,19.00M,-38.00M,26.00M,24.00M,28.00M,-14.00M,26.00M,32.00M,26.00M,-7.00M,18.00M,21.00M,17.00M,2.00M,29.00M,2.00M,-6.00M,4.00M,23.00M,22.00M,18.00M,10.00M,-17.00M,5.00M,5.00M,7.00M,7.00M,10.00M,4.00M,-19.00M,-22.00M,28.00M,,-3.00M,-14.00M,,-1.00M,,4.00M,-14.00M,-27.00M,-30.00M,7.00M,,8.00M,-9.00M,60.00M,-17.00M,20.00M,0.00,-38.00M,4.00M,-9.00M,14.00M,-14.00M,-14.00M,15.00M,-44.00M,20.00M,40.00M,21.00M,41.00M,8.00M,,,98.00M,9.40M,71.70M,20.00M,,,,,,,,16.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-699.00M,-34.00M,-38.00M,-81.00M,-210.00M,-218.00M,-214.00M,-211.00M,-216.00M,-211.00M,-217.00M,-213.00M,-202.00M,-203.00M,-202.00M,-199.00M,-195.00M,-192.00M,-189.00M,-188.00M,-185.00M,-172.00M,-186.00M,-182.00M,-180.00M,-177.00M,-175.00M,-174.00M,-174.00M,-176.00M,-173.00M,-173.00M,-173.00M,-174.00M,-171.00M,-175.00M,-172.00M,-164.00M,-173.00M,-166.00M,-166.00M,-173.00M,-161.00M,-172.00M,,,-152.00M,-161.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,-5.081B,-2.345B,-3.668B,52.00M,-9.634B,582.00M,-1.573B,496.00M,226.00M,713.00M,544.00M,688.00M,856.00M,461.00M,222.00M,-77.00M,27.00M,377.00M,516.00M,-59.00M,170.00M,929.00M,375.00M,321.00M,115.00M,140.00M,485.00M,356.00M,-63.00M,464.00M,326.00M,340.00M,178.00M,252.00M,542.00M,326.00M,322.00M,368.00M,524.00M,446.00M,361.00M,457.00M,517.00M,359.00M,389.00M,467.00M,437.00M,337.00M,304.00M,429.00M,417.00M,395.00M,236.00M,601.00M,370.00M,338.00M,288.00M,378.00M,423.00M,360.00M,,369.00M,507.00M,5.109B,41.00M,841.00M,364.00M,-173.00M,300.00M,778.00M,438.00M,1.019B,719.00M,1.258B,1.213B,-1.561B,-6.969B,483.00M,452.00M,508.00M,-694.00M,346.00M,328.00M,281.00M,395.00M,351.00M,,,230.00M,474.20M,282.20M,324.00M,,,,,,,,594.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,-1.468B,-729.00M,-1.119B,-84.00M,-2.765B,15.00M,-593.00M,51.00M,108.00M,160.00M,134.00M,109.00M,160.00M,70.00M,12.00M,-187.00M,-111.00M,67.00M,110.00M,-93.00M,35.00M,115.00M,104.00M,91.00M,25.00M,-24.00M,153.00M,114.00M,-54.00M,100.00M,87.00M,104.00M,91.00M,49.00M,176.00M,124.00M,68.00M,107.00M,187.00M,185.00M,84.00M,136.00M,125.00M,115.00M,12.00M,163.00M,140.00M,110.00M,101.00M,151.00M,148.00M,139.00M,84.00M,208.00M,138.00M,124.00M,108.00M,139.00M,156.00M,142.00M,,141.00M,135.00M,2.076B,4.00M,333.00M,145.00M,-90.00M,109.00M,299.00M,159.00M,396.00M,268.00M,487.00M,463.00M,-610.00M,-2.774B,239.00M,204.00M,228.00M,-147.00M,149.00M,132.00M,114.00M,147.00M,141.00M,,,107.00M,217.60M,89.30M,151.00M,,,,,,,,265.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,-3.613B,-1.616B,-2.549B,136.00M,-6.869B,567.00M,-980.00M,445.00M,118.00M,553.00M,410.00M,579.00M,696.00M,391.00M,210.00M,110.00M,138.00M,310.00M,406.00M,34.00M,135.00M,814.00M,271.00M,230.00M,90.00M,164.00M,332.00M,242.00M,-9.00M,364.00M,239.00M,236.00M,87.00M,203.00M,366.00M,202.00M,254.00M,261.00M,337.00M,261.00M,277.00M,321.00M,392.00M,244.00M,377.00M,304.00M,297.00M,227.00M,203.00M,278.00M,269.00M,256.00M,152.00M,393.00M,232.00M,214.00M,180.00M,239.00M,267.00M,218.00M,187.00M,228.00M,372.00M,3.033B,37.00M,508.00M,219.00M,-83.00M,191.00M,479.00M,279.00M,623.00M,451.00M,771.00M,750.00M,-951.00M,-4.195B,244.00M,248.00M,280.00M,-547.00M,197.00M,196.00M,167.00M,248.00M,210.00M,174.00M,139.00M,123.00M,256.60M,192.90M,173.00M,173.90M,225.40M,111.80M,260.70M,227.10M,377.60M,405.50M,328.70M,103.50M,425.60M,241.40M,237.00M,208.40M,356.10M,245.40M,255.70M,205.80M,351.90M,336.40M,276.40M,246.90M,334.60M,305.50M,139.40M,216.40M,394.20M,166.20M,210.40M,103.00M,317.00M,236.20M,244.40M,-461.70M,240.60M,146.50M,136.70M,148.90M,204.50M,153.50M,90.30M,236.00M,299.60M,265.30M,280.30M,234.30M,278.20M,266.10M,252.20M,241.30M,232.40M,248.70M,252.50M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,13.00M,,,,,,,0.00,2.00M,8.00M,-265.00M,-2.38B,-13.00M,,8.00M,,,,,78.00M,-19.00M,,,-64.00M,-12.00M,-14.00M,-8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-6.00M,0.00,,-61.00M,,,,,,,,,,0.00,,,12.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,4.00M,3.00M,,,4.00M,3.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,-3.613B,-1.616B,-2.549B,136.00M,-6.869B,567.00M,-980.00M,445.00M,118.00M,553.00M,410.00M,579.00M,696.00M,391.00M,210.00M,110.00M,138.00M,310.00M,406.00M,34.00M,135.00M,814.00M,271.00M,230.00M,90.00M,164.00M,332.00M,242.00M,-9.00M,364.00M,239.00M,236.00M,87.00M,203.00M,366.00M,202.00M,254.00M,261.00M,337.00M,261.00M,277.00M,321.00M,392.00M,244.00M,531.00M,304.00M,297.00M,227.00M,203.00M,278.00M,269.00M,256.00M,152.00M,393.00M,232.00M,214.00M,180.00M,252.00M,267.00M,218.00M,871.00M,228.00M,372.00M,3.033B,37.00M,510.00M,227.00M,-354.00M,-2.189B,466.00M,218.00M,631.00M,529.00M,771.00M,750.00M,-951.00M,-4.117B,225.00M,248.00M,280.00M,-611.00M,185.00M,182.00M,171.00M,196.00M,210.00M,174.00M,139.00M,94.00M,256.60M,192.90M,173.00M,173.90M,225.40M,111.80M,260.70M,227.10M,377.60M,405.50M,328.70M,103.50M,425.60M,241.40M,237.00M,208.40M,356.10M,245.40M,255.70M,205.80M,351.90M,336.40M,276.40M,246.90M,334.60M,305.50M,139.40M,216.40M,394.20M,166.20M,210.40M,103.00M,317.00M,236.20M,244.40M,-461.70M,240.60M,146.50M,136.70M,148.90M,204.50M,153.50M,90.30M,236.00M,299.60M,265.30M,280.30M,234.30M,278.20M,266.10M,252.20M,241.30M,232.40M,248.70M,252.50M
Normalized Income,-2.844M,190.20M,200.14M,228.71M,20.68M,557.26M,343.90M,438.72M,118.00M,594.11M,375.55M,579.00M,696.00M,391.00M,210.00M,110.00M,138.00M,310.00M,406.00M,34.00M,135.00M,814.00M,271.00M,230.00M,90.00M,164.00M,332.00M,242.00M,-9.00M,364.00M,239.00M,236.00M,87.00M,188.50M,351.82M,191.47M,254.00M,240.43M,335.71M,264.90M,273.93M,304.84M,375.32M,231.77M,367.31M,315.07M,293.60M,223.63M,198.33M,273.46M,262.55M,253.41M,164.24M,407.39M,214.44M,214.00M,181.88M,247.85M,267.00M,218.61M,187.00M,225.53M,382.27M,3.049B,64.07M,503.77M,219.00M,-87.80M,196.73M,442.06M,289.83M,610.77M,451.00M,794.29M,747.53M,-945.52M,-4.203B,252.40M,256.40M,271.00M,-512.32M,185.00M,172.00M,154.40M,222.26M,205.20M,174.00M,139.00M,64.20M,250.96M,143.89M,161.00M,173.90M,225.40M,111.80M,260.70M,227.10M,377.60M,405.50M,318.56M,103.50M,425.60M,241.40M,237.00M,208.40M,356.10M,245.40M,255.70M,205.80M,351.90M,336.40M,276.40M,246.90M,334.60M,305.50M,139.40M,216.40M,394.20M,166.20M,210.40M,103.00M,317.00M,236.20M,,,,,,,,,,,,,,,,,,,,,
EBITDA,-3.561B,-1.453B,-2.812B,952.00M,-8.604B,1.573B,-601.00M,1.468B,1.171B,1.643B,1.481B,1.618B,1.729B,1.366B,1.128B,823.00M,902.00M,1.224B,1.359B,761.00M,1.024B,1.774B,1.12B,1.044B,833.00M,842.00M,1.178B,1.035B,577.00M,1.259B,1.108B,1.098B,918.00M,994.00M,1.307B,994.00M,981.00M,1.036B,1.231B,1.12B,1.025B,1.142B,1.176B,1.003B,1.161B,1.074B,1.087B,961.00M,925.00M,1.087B,1.015B,983.00M,857.00M,1.21B,932.00M,883.00M,831.00M,996.00M,992.00M,886.00M,4.971B,915.00M,1.025B,5.666B,624.00M,1.482B,1.106B,372.00M,799.00M,1.40B,1.15B,1.621B,1.108B,1.854B,1.706B,-1.085B,-5.465B,2.481B,691.00M,1.023B,-475.00M,1.202B,1.04B,899.00M,531.00M,1.135B,4.787B,4.353B,661.00M,1.124B,828.40M,957.00M,-5.032B,2.522B,2.139B,2.249B,-4.637B,2.645B,2.448B,1.116B,2.638B,2.855B,2.440B,2.514B,2.707B,2.947B,2.464B,2.464B,2.558B,2.799B,2.520B,2.420B,2.635B,2.520B,2.352B,2.271B,2.452B,2.598B,2.173B,2.248B,2.147B,2.246B,2.086B,2.109B,2.044B,1.966B,1.767B,1.870B,1.831B,1.828B,1.775B,1.752B,1.928B,2.001B,1.877B,2.012B,2.067B,2.167B,2.024B,2.172B,2.105B,2.027B,1.813B,1.885B
