Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1995-12,1995-03
Other Current Assets,961.00M,991.00M,747.00M,844.00M,681.00M,927.00M,609.00M,1.166B,1.079B,852.00M,771.00M,760.00M,713.00M,676.00M,748.00M,831.00M,855.00M,802.00M,721.00M,873.00M,887.00M,690.00M,764.00M,946.00M,1.059B,865.00M,739.00M,673.00M,736.00M,1.21B,1.531B,1.619B,1.308B,1.394B,1.781B,2.355B,1.897B,1.118B,,,1.776B,,,,,3.022B,1.843B,1.80B,1.613B,404.00M,610.00M,477.00M,2.131B,753.00M,362.00M,1.75B,1.754B,1.77B,1.73B,1.913B,2.026B,2.422B,2.186B,585.00M,511.00M,625.00M,1.918B,1.999B,3.667B,969.00M,1.316B,990.00M,576.00M,5.00B,6.86B,7.27B,3.815B,1.595B,131.00M,590.00M,842.00M,744.00M,753.00M,2.472B,1.471B,33.00M,39.00M,49.00M,1.66B,-0.10M,67.50M,58.20M,54.00M,47.00M,36.90M
Total Current Assets,10.16B,11.58B,11.58B,10.69B,9.195B,6.349B,6.367B,5.855B,6.281B,6.383B,6.071B,5.98B,6.164B,5.749B,6.135B,5.634B,5.813B,6.131B,6.446B,6.026B,6.389B,6.071B,6.197B,5.892B,5.977B,5.522B,5.442B,4.892B,5.121B,5.593B,5.54B,6.166B,6.48B,5.877B,6.122B,5.471B,5.542B,5.751B,5.612B,5.621B,5.657B,5.61B,6.428B,6.197B,6.403B,6.308B,6.342B,5.756B,5.449B,6.081B,5.843B,5.631B,5.867B,5.696B,5.603B,5.991B,5.98B,6.007B,6.425B,6.392B,6.408B,7.438B,6.744B,6.869B,7.148B,7.72B,9.343B,9.24B,9.493B,9.781B,10.11B,9.779B,9.877B,9.65B,10.98B,11.33B,11.20B,5.714B,4.62B,3.399B,3.574B,4.213B,3.947B,5.622B,4.791B,3.838B,3.822B,3.97B,5.325B,3.886B,2.939B,2.816B,2.711B,3.342B,3.321B
Other Properties,2.306B,2.455B,2.682B,2.758B,2.00M,2.00M,2.00M,2.00M,3.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,1.00M,15.00M,15.00M,15.00M,14.00M,15.00M,14.00M,14.57B,14.38B,14.00M,15.00M,24.30B,13.73B,17.00M,13.42B,13.30B,13.12B,12.93B,12.79B,12.73B,12.53B,12.43B,12.44B,12.38B,12.25B,12.08B,11.91B,11.89B,11.73B,11.52B,11.40B,11.25B,11.24B,11.12B,12.83B,13.46B,13.22B,13.53B,14.36B,14.30B,14.08B,13.83B,12.52B,12.35B,12.07B,13.02B,11.48B,11.74B,11.57B,11.29B,11.18B,11.04B,12.31B,12.03B,11.79B,12.20B,16.65B,11.62B,15.62B,15.23B,14.75B,14.30B,13.31B,12.59B
Construction in Progress,2.675B,2.689B,2.563B,2.525B,2.564B,2.855B,2.643B,2.562B,2.471B,2.421B,2.311B,2.446B,2.184B,2.117B,2.096B,2.148B,2.059B,2.259B,2.075B,2.115B,2.22B,2.305B,1.981B,1.888B,1.834B,1.996B,2.03B,2.10B,1.894B,2.095B,1.858B,2.011B,1.77B,1.623B,1.547B,1.369B,1.384B,2.18B,2.149B,1.993B,1.888B,1.767B,1.523B,1.644B,2.023B,1.668B,1.432B,1.664B,1.348B,1.398B,1.288B,1.203B,1.047B,749.00M,718.00M,897.00M,738.00M,679.00M,533.00M,518.00M,449.00M,417.00M,388.00M,417.00M,379.00M,370.00M,1.332B,1.315B,427.00M,3.121B,2.867B,2.50B,2.402B,983.00M,617.00M,1.034B,1.605B,686.00M,469.00M,458.00M,436.00M,425.00M,398.00M,424.00M,407.00M,,,,,483.20M,478.40M,433.90M,414.20M,333.40M,526.60M
Gross PP&E,90.38B,89.68B,88.64B,87.20B,83.27B,80.52B,79.44B,78.15B,77.25B,75.51B,74.56B,73.57B,72.60B,71.04B,70.09B,69.11B,67.34B,65.82B,64.97B,63.98B,63.06B,61.89B,61.01B,60.03B,59.10B,57.32B,56.42B,55.24B,54.17B,52.01B,51.35B,50.36B,49.57B,48.46B,47.69B,46.93B,46.29B,45.35B,44.54B,43.75B,43.08B,42.18B,41.50B,40.63B,39.83B,38.85B,38.00B,37.34B,36.58B,35.82B,35.27B,34.68B,34.21B,33.80B,32.98B,32.50B,32.03B,31.46B,31.19B,30.80B,30.51B,30.10B,29.80B,29.53B,29.22B,28.85B,32.43B,32.09B,27.49B,34.72B,34.20B,33.65B,32.92B,30.06B,29.31B,28.81B,30.31B,28.54B,28.58B,28.22B,28.07B,28.68B,28.51B,30.17B,30.01B,30.00B,28.48B,36.96B,27.73B,35.97B,34.31B,33.88B,33.31B,32.23B,31.87B
Accumulated D&A,-26.46B,-25.92B,-25.73B,-25.22B,-24.72B,-24.31B,-24.29B,-23.81B,-23.46B,-22.99B,-22.92B,-22.49B,-22.01B,-21.60B,-21.50B,-21.06B,-20.62B,-20.17B,-19.96B,-19.53B,-19.12B,-18.72B,-18.53B,-18.21B,-17.84B,-17.56B,-17.35B,-16.96B,-16.64B,-16.36B,-16.45B,-16.11B,-15.91B,-15.63B,-15.56B,-15.06B,-14.84B,-14.67B,-14.56B,-14.37B,-14.19B,-14.00B,-13.90B,-13.71B,-13.57B,-13.42B,-13.30B,-13.12B,-12.93B,-12.79B,-12.73B,-12.53B,-12.43B,-12.44B,-12.38B,-12.25B,-12.08B,-11.91B,-11.89B,-11.73B,-11.52B,-11.40B,-11.25B,-11.24B,-11.12B,-12.83B,-13.46B,-13.22B,-13.53B,-14.36B,-14.30B,-14.08B,-13.83B,-12.52B,-12.35B,-12.07B,-13.02B,-11.48B,-11.74B,-11.57B,-11.29B,-11.18B,-11.04B,-12.31B,-12.03B,-11.79B,-12.20B,-16.65B,-11.62B,-15.62B,-15.23B,-14.75B,-14.30B,-13.31B,-12.59B
Net PP&E,63.92B,63.76B,62.91B,61.98B,58.56B,56.20B,55.15B,54.34B,53.79B,52.52B,51.64B,51.08B,50.58B,49.43B,48.60B,48.04B,46.72B,45.65B,45.01B,44.44B,43.94B,43.17B,42.48B,41.82B,41.25B,39.76B,39.07B,38.28B,37.52B,35.65B,34.90B,34.25B,33.66B,32.83B,32.13B,31.87B,31.45B,30.68B,29.98B,29.38B,28.89B,28.18B,27.60B,26.92B,26.26B,25.42B,24.70B,24.22B,23.66B,23.03B,22.54B,22.14B,21.78B,21.36B,20.60B,20.25B,19.96B,19.55B,19.30B,19.07B,18.99B,18.70B,18.54B,18.30B,18.11B,16.03B,18.97B,18.87B,13.96B,20.36B,19.90B,19.58B,19.09B,17.54B,16.96B,16.74B,17.30B,17.05B,16.84B,16.64B,16.78B,17.50B,17.48B,17.86B,17.98B,18.21B,16.29B,20.32B,16.11B,20.35B,19.08B,19.13B,19.01B,18.92B,19.29B
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98B,4.236B,,7.591B,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,3.173B,3.061B,3.016B,2.932B,2.73B,2.917B,2.828B,2.842B,2.863B,2.793B,2.733B,2.701B,2.606B,2.597B,2.546B,2.516B,2.47B,2.417B,2.504B,2.526B,2.421B,2.399B,2.428B,2.351B,2.342B,2.272B,2.214B,2.233B,2.161B,2.155B,2.106B,2.134B,2.041B,1.964B,2.069B,2.054B,2.009B,1.977B,1.854B,1.929B,1.899B,1.87B,1.74B,1.634B,1.718B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.00M,,,,,,,,624.00M,693.00M,596.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,67.00M,67.00M,67.00M,69.00M,69.00M,67.00M,66.00M,65.00M,65.00M,52.00M,70.00M,70.00M,70.00M,70.00M,147.00M,153.00M,135.00M,97.00M,94.00M,94.00M,91.00M,93.00M,88.00M,87.00M,85.00M,163.00M,126.00M,202.00M,176.00M,,385.00M,412.00M,386.00M,457.00M,489.00M,566.00M,565.00M,,,,596.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.691B,2.638B,2.660B,2.684B,2.821B,2.879B
Other Long Term Assets,1.804B,1.538B,1.465B,1.467B,1.48B,1.418B,1.353B,1.327B,1.221B,1.229B,1.234B,1.244B,1.226B,1.185B,1.187B,1.173B,1.064B,1.113B,1.101B,1.048B,963.00M,932.00M,1.008B,1.017B,1.036B,673.00M,689.00M,675.00M,659.00M,610.00M,648.00M,662.00M,682.00M,673.00M,606.00M,641.00M,614.00M,524.00M,466.00M,415.00M,379.00M,956.00M,461.00M,494.00M,482.00M,2.913B,3.265B,3.119B,3.068B,2.436B,2.422B,2.283B,2.249B,2.524B,2.471B,2.468B,2.561B,2.605B,2.461B,2.565B,2.617B,2.597B,2.986B,9.981B,2.919B,,,5.203B,,4.401B,4.568B,4.684B,4.676B,4.557B,5.579B,5.097B,5.884B,4.40B,4.433B,9.153B,4.163B,9.77B,10.00B,10.62B,10.46B,9.594B,9.18B,5.049B,9.681B,2.485B,2.020B,2.026B,1.834B,1.769B,1.990B
Total Long Term Assets,75.03B,74.14B,72.81B,71.59B,67.80B,65.04B,63.52B,62.30B,61.73B,65.14B,63.98B,63.18B,62.43B,60.82B,59.79B,59.02B,57.42B,55.86B,55.18B,54.52B,53.74B,51.81B,50.83B,50.10B,49.63B,49.69B,48.88B,48.17B,47.33B,45.28B,44.58B,44.02B,43.27B,41.64B,41.20B,40.79B,40.48B,39.50B,38.61B,37.92B,37.29B,36.94B,35.77B,35.14B,34.46B,32.57B,32.27B,31.69B,31.18B,30.00B,29.59B,29.15B,28.94B,29.13B,28.38B,28.08B,28.09B,28.15B,27.99B,28.04B,28.13B,27.93B,28.34B,35.27B,23.03B,20.04B,25.16B,26.05B,23.57B,26.85B,26.67B,26.52B,26.09B,24.03B,24.41B,23.66B,24.95B,28.18B,26.61B,25.80B,25.90B,27.27B,27.48B,28.49B,28.44B,27.80B,25.47B,25.37B,25.79B,25.53B,23.74B,23.82B,23.53B,23.51B,24.15B
Total Assets,85.20B,85.71B,84.39B,82.29B,77.00B,71.38B,69.89B,68.15B,68.01B,71.53B,70.06B,69.16B,68.60B,66.56B,65.93B,64.65B,63.23B,61.99B,61.63B,60.55B,60.13B,57.88B,57.02B,55.99B,55.60B,55.21B,54.32B,53.06B,52.45B,50.87B,50.12B,50.19B,49.75B,47.52B,47.32B,46.26B,46.02B,45.25B,44.22B,43.54B,42.94B,42.55B,42.20B,41.34B,40.86B,38.88B,38.61B,37.45B,36.63B,36.08B,35.43B,34.78B,34.80B,34.83B,33.98B,34.07B,34.07B,34.16B,34.42B,34.44B,34.54B,35.37B,35.08B,42.14B,30.18B,27.76B,34.51B,35.29B,33.06B,36.64B,36.78B,36.30B,35.96B,33.68B,35.40B,34.99B,36.15B,33.89B,31.23B,29.20B,29.47B,31.49B,31.43B,34.11B,33.23B,31.64B,29.29B,29.34B,31.12B,29.41B,26.67B,26.64B,26.24B,26.85B,27.47B
Accounts Payable,1.954B,1.844B,1.679B,867.00M,1.975B,1.699B,1.477B,1.231B,1.646B,1.419B,1.389B,1.117B,1.495B,1.37B,1.313B,1.062B,1.414B,1.286B,1.178B,1.007B,1.244B,1.192B,1.161B,1.072B,1.293B,1.303B,1.155B,1.043B,1.241B,2.10B,2.194B,2.666B,1.177B,2.628B,2.732B,2.716B,2.509B,2.424B,2.459B,2.447B,2.387B,2.679B,3.393B,3.526B,3.749B,3.841B,4.033B,3.929B,3.763B,3.546B,3.646B,4.023B,4.234B,3.988B,3.935B,4.018B,3.994B,3.972B,3.868B,3.715B,3.625B,3.535B,2.676B,1.406B,1.245B,956.00M,1.728B,2.385B,1.165B,2.866B,2.944B,2.597B,2.179B,1.989B,2.085B,7.39B,6.551B,3.575B,3.188B,2.218B,2.131B,2.911B,2.478B,2.202B,1.904B,1.812B,1.79B,1.998B,1.978B,1.756B,1.197B,1.292B,1.239B,801.70M,714.50M
Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.30M,133.50M,123.30M,205.50M,225.60M
Current Tax Payable,,,,,,,,,,,,,,,,,,,,,,,,,,39.00M,17.00M,10.00M,,15.00M,112.00M,110.00M,110.00M,107.00M,149.00M,128.00M,77.00M,260.00M,634.00M,268.00M,214.00M,589.00M,,134.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,2.363B,2.213B,1.963B,1.798B,1.54B,2.003B,2.059B,2.219B,1.88B,2.051B,1.532B,1.776B,1.314B,1.493B,1.642B,1.759B,1.567B,1.69B,1.782B,2.03B,2.00B,2.085B,1.627B,1.757B,1.633B,1.546B,1.614B,1.746B,1.235B,,,,1.467B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,4.317B,4.057B,3.642B,2.665B,3.515B,3.702B,3.536B,3.45B,3.526B,3.47B,2.921B,2.893B,2.809B,2.863B,2.955B,2.821B,2.981B,2.976B,2.96B,3.037B,3.244B,3.277B,2.788B,2.829B,2.926B,2.888B,2.786B,2.799B,2.476B,2.115B,2.306B,2.776B,2.754B,2.735B,2.881B,2.844B,2.586B,2.684B,3.093B,2.715B,2.601B,3.268B,3.393B,3.66B,3.749B,3.841B,4.033B,3.929B,3.763B,3.546B,3.646B,4.023B,4.234B,3.988B,3.935B,4.018B,3.994B,3.972B,3.868B,3.715B,3.625B,3.535B,2.676B,1.406B,1.245B,956.00M,1.728B,2.385B,1.165B,2.866B,2.944B,2.597B,2.179B,1.989B,2.085B,7.39B,6.551B,3.575B,3.188B,2.218B,2.131B,2.911B,2.478B,2.202B,1.904B,1.812B,1.79B,1.998B,1.978B,1.756B,1.325B,1.425B,1.362B,1.007B,940.10M
Accrued Expenses,4.00M,5.00M,5.00M,1.00M,228.00M,151.00M,209.00M,145.00M,217.00M,163.00M,220.00M,168.00M,216.00M,144.00M,214.00M,145.00M,206.00M,140.00M,203.00M,150.00M,197.00M,149.00M,865.00M,862.00M,892.00M,852.00M,877.00M,831.00M,870.00M,821.00M,851.00M,798.00M,843.00M,789.00M,827.00M,784.00M,862.00M,787.00M,839.00M,795.00M,818.00M,794.00M,842.00M,778.00M,802.00M,2.355B,2.91B,2.549B,2.071B,2.357B,2.237B,2.058B,2.346B,2.371B,2.009B,2.42B,2.07B,1.923B,1.979B,2.56B,1.945B,1.827B,2.692B,1.596B,1.293B,1.523B,1.879B,1.874B,7.537B,2.737B,2.877B,2.37B,1.785B,1.606B,3.361B,5.266B,3.569B,1.828B,2.36B,1.917B,1.592B,2.154B,2.319B,3.65B,2.579B,1.802B,1.112B,1.166B,1.631B,1.440B,1.172B,1.436B,1.027B,1.077B,1.569B
Payables and Accrued Expenses,4.321B,4.062B,3.647B,2.666B,3.743B,3.853B,3.745B,3.595B,3.743B,3.633B,3.141B,3.061B,3.025B,3.007B,3.169B,2.966B,3.187B,3.116B,3.163B,3.187B,3.441B,3.426B,3.653B,3.691B,3.818B,3.74B,3.663B,3.63B,3.346B,2.936B,3.157B,3.574B,3.597B,3.524B,3.708B,3.628B,3.448B,3.471B,3.932B,3.51B,3.419B,4.062B,4.235B,4.438B,4.551B,6.196B,6.943B,6.478B,5.834B,5.903B,5.883B,6.081B,6.58B,6.359B,5.944B,6.438B,6.064B,5.895B,5.847B,6.275B,5.57B,5.362B,5.368B,3.002B,2.538B,2.479B,3.607B,4.259B,8.702B,5.603B,5.821B,4.967B,3.964B,3.595B,5.446B,12.66B,10.12B,5.403B,5.548B,4.135B,3.723B,5.065B,4.797B,5.852B,4.483B,3.614B,2.902B,3.164B,3.609B,3.196B,2.497B,2.862B,2.389B,2.084B,2.509B
Other Current Borrowings,1.50B,,,,21.99B,943.00M,1.643B,1.361B,1.376B,1.569B,1.88B,1.463B,2.216B,1.305B,1.689B,853.00M,1.179B,,,,633.00M,426.00M,1.452B,930.00M,2.063B,2.241B,2.24B,1.888B,892.00M,,,,2.12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.50B,,,,21.99B,943.00M,1.643B,1.361B,1.376B,1.569B,1.88B,1.463B,2.216B,1.305B,1.689B,853.00M,1.179B,881.00M,1.016B,856.00M,633.00M,426.00M,1.452B,930.00M,2.063B,2.241B,2.24B,1.888B,892.00M,507.00M,1.302B,1.772B,2.12B,1.605B,1.673B,2.619B,2.066B,1.975B,2.047B,2.483B,1.561B,1.224B,1.373B,759.00M,1.257B,2.301B,1.118B,1.186B,873.00M,1.588B,1.067B,875.00M,1.67B,1.195B,1.131B,635.00M,868.00M,520.00M,724.00M,457.00M,1.348B,747.00M,748.00M,294.00M,600.00M,600.00M,5.583B,5.264B,571.00M,1.775B,682.00M,744.00M,1.001B,657.00M,745.00M,6.185B,7.211B,3.275B,1.886B,1.914B,2.347B,1.785B,1.708B,2.435B,2.272B,2.492B,1.373B,820.00M,1.052B,1.976B,1.556B,815.50M,890.80M,1.134B,636.10M
Current Capital Lease Obligation,556.00M,553.00M,546.00M,539.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,2.056B,553.00M,546.00M,539.00M,21.99B,943.00M,1.643B,1.361B,1.376B,1.569B,1.88B,1.463B,2.216B,1.305B,1.689B,853.00M,1.179B,881.00M,1.016B,856.00M,633.00M,426.00M,1.452B,930.00M,2.063B,2.241B,2.24B,1.888B,892.00M,507.00M,1.302B,1.772B,2.12B,1.605B,1.673B,2.619B,2.066B,1.975B,2.047B,2.483B,1.561B,1.224B,1.373B,759.00M,1.257B,2.301B,1.118B,1.186B,873.00M,1.588B,1.067B,875.00M,1.67B,1.195B,1.131B,635.00M,868.00M,520.00M,724.00M,457.00M,1.348B,747.00M,748.00M,294.00M,600.00M,600.00M,5.583B,5.264B,571.00M,1.775B,682.00M,744.00M,1.001B,657.00M,745.00M,6.185B,7.211B,3.275B,1.886B,1.914B,2.347B,1.785B,1.708B,2.435B,2.272B,2.492B,1.373B,820.00M,1.052B,1.976B,1.556B,815.50M,890.80M,1.134B,636.10M
