Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.00M,354.00M,391.00M,,410.00M,392.00M,393.00M,647.00M,420.00M,440.00M,434.00M,426.00M,308.00M,309.00M,321.00M,308.00M,333.00M,372.00M,369.00M,332.00M,266.00M,500.00M,286.00M,257.00M,236.00M,255.00M,378.00M,256.00M,166.00M,178.00M,183.00M,202.00M,130.00M,133.00M,140.00M,127.00M,161.00M,161.00M,165.00M,157.00M,148.00M,148.00M,151.00M,153.00M,168.00M,172.00M,175.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,480.00M,454.00M,,,0.00,,,,,,,,,,0.00,0.00,1.193B,1.765B,2.382B,3.265B,4.019B,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,1.323B,1.75B,819.00M,724.00M,746.00M,1.149B,1.096B,712.00M,733.00M,483.00M,466.00M,1.261B,1.34B,1.083B,1.202B,1.284B,911.00M,890.00M,777.00M,815.00M,807.00M,1.291B,1.246B,1.201B,1.056B,1.186B,1.229B,1.713B,1.64B,,,,1.297B,,,,2.861B,,,,2.792B,,,,,,,33.00M,,,22.00M,22.00M,184.00M,37.00M,325.00M,1.502B,426.00M,,,17.00M,,,,,,,,,150.00M,47.00M,,,131.00M,,,,159.00M,165.00M,176.00M,188.00M,197.00M,168.00M,240.00M,210.00M,181.00M,1.598B,1.602B,1.61B,386.00M,292.00M,311.00M,342.00M,313.00M,328.00M,365.00M,419.00M,461.00M,323.00M,387.00M,381.00M,416.00M,258.00M,286.00M,305.00M,319.00M,226.00M,272.00M,352.00M,356.00M,100.00M,227.00M,164.00M,255.00M,133.00M,229.00M,245.00M,279.00M,292.00M,320.00M,400.00M,362.00M,375.00M,191.00M,108.00M,148.00M,277.90M,50.50M
Total Current Assets,18.68B,20.94B,9.425B,9.27B,9.932B,11.11B,10.99B,8.894B,8.27B,7.045B,8.075B,8.238B,8.428B,8.711B,8.972B,8.237B,9.402B,10.54B,11.01B,10.43B,13.87B,10.51B,10.79B,10.90B,11.32B,11.94B,10.86B,10.15B,9.492B,11.91B,12.13B,11.99B,11.54B,11.38B,9.943B,10.59B,13.06B,8.922B,9.189B,9.088B,10.61B,7.00B,6.658B,5.936B,7.172B,9.62B,10.12B,8.781B,8.595B,6.853B,6.84B,6.322B,6.169B,5.942B,6.548B,8.082B,6.937B,5.892B,4.51B,4.654B,4.431B,3.805B,2.96B,2.472B,2.474B,2.273B,1.789B,2.043B,1.873B,1.874B,1.884B,1.608B,1.557B,2.199B,1.994B,2.315B,2.067B,2.299B,1.979B,1.547B,1.688B,1.491B,1.758B,1.684B,2.795B,2.826B,2.819B,3.23B,1.925B,1.914B,2.099B,2.026B,1.91B,2.011B,2.059B,2.112B,2.519B,2.16B,2.41B,2.287B,2.258B,1.986B,1.81B,1.86B,1.934B,1.955B,1.984B,2.125B,2.245B,2.987B,2.833B,2.711B,2.968B,3.362B,3.827B,4.091B,4.451B,4.264B,3.878B,3.965B,3.974B,3.856B,3.953B,3.36B,3.711B,2.973B,3.352B
Other Properties,123.73B,138.00B,77.68B,76.50B,74.42B,,,,70.25B,,,,71.29B,,,,71.06B,,,,74.52B,,,,89.05B,,,,80.10B,,,,69.37B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,123.73B,138.00B,77.68B,76.50B,74.42B,72.98B,71.21B,71.26B,70.25B,70.32B,68.80B,69.61B,71.29B,72.50B,72.25B,71.64B,71.06B,73.45B,77.38B,75.98B,74.52B,94.77B,92.14B,89.79B,89.05B,86.87B,84.48B,82.25B,80.10B,77.90B,75.20B,71.65B,69.37B,66.02B,63.90B,61.89B,57.17B,58.02B,55.72B,54.21B,48.81B,51.44B,50.81B,34.30B,48.73B,46.25B,44.34B,42.28B,39.92B,38.40B,37.32B,36.76B,35.48B,34.61B,33.07B,32.68B,26.94B,26.86B,26.32B,24.07B,23.26B,22.84B,22.43B,21.93B,21.47B,21.00B,20.77B,19.74B,19.43B,19.07B,19.08B,18.88B,18.44B,18.43B,19.64B,19.58B,19.51B,20.31B,20.36B,17.81B,16.62B,17.72B,17.35B,16.75B,16.68B,16.57B,16.54B,19.79B,16.56B,23.35B,23.45B,23.39B,15.89B,23.06B,23.00B,22.84B,22.70B,23.18B,22.90B,23.38B,23.39B,22.88B,22.86B,22.74B,22.43B,22.10B,21.91B,21.67B,21.59B,18.68B,18.59B,18.48B,18.41B,18.46B,21.46B,21.34B,21.20B,22.23B,22.00B,21.88B,21.71B,21.44B,21.33B,17.63B,17.15B,12.07B,11.58B
Accumulated D&A,-41.88B,-46.80B,-44.89B,-43.91B,-42.98B,-41.82B,-40.78B,-39.92B,-39.07B,-38.25B,-37.33B,-37.61B,-38.96B,-42.08B,-41.21B,-40.14B,-39.42B,-36.61B,-36.90B,-35.87B,-34.78B,-36.31B,-35.00B,-33.75B,-33.23B,-31.84B,-30.54B,-29.27B,-28.03B,-26.93B,-25.80B,-24.74B,-23.69B,-23.00B,-22.10B,-21.30B,-20.63B,-22.05B,-21.20B,-20.34B,-17.67B,-18.54B,-17.90B,-1.72B,-16.46B,-15.40B,-14.87B,-14.29B,-13.64B,-12.86B,-12.24B,-12.35B,-11.34B,-11.18B,-10.69B,-10.56B,-9.774B,-9.723B,-9.39B,-8.962B,-8.626B,-8.391B,-8.089B,-7.782B,-7.467B,-7.187B,-6.973B,-6.611B,-6.395B,-6.20B,-6.148B,-6.03B,-5.653B,-5.724B,-6.158B,-6.139B,-6.041B,-6.828B,-6.814B,-7.856B,-6.59B,-7.496B,-7.325B,-6.954B,-6.774B,-6.672B,-6.534B,-7.935B,-7.967B,-9.327B,-9.551B,-9.579B,-7.69B,-9.268B,-9.107B,-8.967B,-8.837B,-9.219B,-9.021B,-9.007B,-8.884B,-8.654B,-8.527B,-8.34B,-8.144B,-7.978B,-7.797B,-7.704B,-7.541B,-6.866B,-6.727B,-6.597B,-6.473B,-6.551B,-7.576B,-7.45B,-7.316B,-7.195B,-7.02B,-6.933B,-6.726B,-6.457B,-6.301B,-5.718B,-4.971B,-4.643B,-4.139B
Net PP&E,81.85B,91.20B,32.80B,32.58B,31.44B,31.16B,30.43B,31.34B,31.17B,32.06B,31.47B,32.00B,32.34B,30.42B,31.04B,31.50B,31.64B,36.84B,40.48B,40.11B,39.73B,58.46B,57.13B,56.04B,55.82B,55.03B,53.95B,52.98B,52.06B,50.96B,49.40B,46.90B,45.68B,43.02B,41.80B,40.60B,36.54B,35.97B,34.51B,33.86B,31.14B,32.90B,32.91B,32.58B,32.27B,30.85B,29.47B,27.99B,26.28B,25.54B,25.08B,24.41B,24.14B,23.43B,22.38B,22.12B,17.17B,17.13B,16.93B,15.10B,14.63B,14.45B,14.34B,14.15B,14.00B,13.82B,13.80B,13.12B,13.04B,12.87B,12.94B,12.85B,12.79B,12.71B,13.48B,13.44B,13.47B,13.48B,13.55B,9.953B,10.03B,10.23B,10.03B,9.796B,9.905B,9.899B,10.01B,11.85B,8.59B,14.02B,13.90B,13.81B,8.196B,13.79B,13.89B,13.87B,13.87B,13.96B,13.88B,14.37B,14.50B,14.23B,14.33B,14.40B,14.28B,14.12B,14.12B,13.96B,14.05B,11.82B,11.86B,11.88B,11.94B,11.91B,13.88B,13.89B,13.89B,15.04B,14.98B,14.95B,14.98B,14.99B,15.03B,11.91B,12.18B,7.430B,7.437B
Goodwill,,6.074B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,2.387B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.30M,286.90M,295.10M
Goodwill and Intangibles,,8.461B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.30M,286.90M,295.10M
Long Term Investments,6.389B,3.684B,1.777B,1.725B,1.68B,1.568B,1.551B,1.509B,1.515B,1.526B,1.572B,1.436B,1.401B,1.42B,1.36B,1.301B,1.434B,1.614B,1.762B,1.765B,1.565B,1.544B,1.547B,1.511B,1.459B,1.713B,1.808B,1.917B,1.894B,1.982B,1.972B,1.965B,2.072B,2.105B,2.084B,2.093B,2.039B,1.777B,1.786B,1.776B,1.732B,1.45B,1.35B,1.296B,1.263B,,,,783.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.00M,770.00M,803.00M,,859.00M,918.00M,812.00M,836.00M,,,,863.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,2.406B,1.155B,772.00M,801.00M,805.00M,1.122B,1.094B,1.061B,1.067B,807.00M,869.00M,786.00M,943.00M,1.08B,1.025B,975.00M,934.00M,1.10B,1.121B,1.081B,1.091B,994.00M,826.00M,821.00M,840.00M,759.00M,806.00M,772.00M,760.00M,771.00M,781.00M,767.00M,746.00M,738.00M,773.00M,783.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.00M,,,,753.00M,,,,,2.115B,1.853B,1.717B,,1.628B,1.751B,2.152B,2.124B,2.327B,2.233B,1.996B,2.00B,2.071B,2.521B,2.518B,2.327B,2.119B,2.046B,2.044B,1.689B,1.618B,1.593B,1.77B,1.639B,1.594B,1.66B,3.253B,3.502B,3.856B,4.01B,4.125B,3.876B,3.992B,4.03B,2.843B,2.408B,2.416B,2.507B,2.508B,2.552B,2.619B,2.708B,1.544B,4.776B,1.633B,1.674B,1.70B,4.875B,1.529B,1.542B,1.485B,1.429B,1.324B,1.35B,1.244B,1.229B,1.079B,1.083B,976.00M,905.00M,1.015B,1.568B,1.631B,1.581B,1.137B,1.098B,1.106B,1.21B,1.339B,1.45B,1.467B,1.405B,1.785B,1.757B,1.771B,1.782B,1.869B,1.762B,1.47B,1.293B,895.80M,1.189B
Total Long Term Assets,90.65B,104.50B,35.34B,35.11B,33.92B,33.84B,33.08B,33.91B,33.76B,34.40B,33.91B,34.23B,34.68B,32.92B,33.42B,33.78B,34.01B,39.55B,43.36B,42.96B,42.39B,61.00B,59.51B,58.38B,58.12B,57.50B,56.56B,55.67B,54.72B,53.72B,52.15B,49.64B,48.50B,45.87B,44.65B,43.47B,39.37B,38.58B,37.07B,36.44B,33.62B,35.21B,35.18B,34.68B,34.36B,32.97B,31.32B,29.70B,27.92B,27.17B,26.83B,26.56B,26.26B,25.76B,24.62B,24.12B,19.17B,19.20B,19.45B,17.62B,16.96B,16.57B,16.38B,16.19B,15.69B,15.43B,15.39B,14.89B,14.68B,14.46B,14.60B,16.11B,16.29B,16.56B,17.49B,17.57B,17.35B,17.48B,17.58B,12.80B,12.44B,12.64B,12.53B,12.30B,12.46B,12.52B,12.72B,13.40B,13.37B,15.66B,15.58B,15.51B,13.07B,15.32B,15.43B,15.36B,15.30B,15.29B,15.22B,15.62B,15.73B,15.31B,15.41B,15.37B,15.19B,15.13B,15.68B,15.59B,15.63B,12.96B,12.96B,12.99B,13.15B,13.25B,15.33B,15.36B,15.29B,16.82B,16.73B,16.72B,16.77B,16.86B,16.79B,13.38B,13.76B,8.613B,8.921B
Total Assets,109.33B,125.44B,44.77B,44.38B,43.85B,44.96B,44.07B,42.81B,42.03B,41.44B,41.98B,42.46B,43.11B,41.63B,42.40B,42.02B,43.41B,50.09B,54.37B,53.39B,56.26B,71.51B,70.29B,69.28B,69.44B,69.44B,67.42B,65.82B,64.21B,65.62B,64.28B,61.62B,60.04B,57.24B,54.60B,54.06B,52.43B,47.50B,46.26B,45.53B,44.23B,42.21B,41.84B,40.62B,41.54B,42.59B,41.44B,38.49B,36.52B,34.02B,33.67B,32.88B,32.43B,31.70B,31.16B,32.20B,26.11B,25.10B,23.96B,22.28B,21.39B,20.38B,19.34B,18.67B,18.17B,17.71B,17.18B,16.94B,16.55B,16.34B,16.48B,17.71B,17.85B,18.76B,19.49B,19.88B,19.41B,19.77B,19.56B,14.34B,14.12B,14.14B,14.29B,13.99B,15.25B,15.34B,15.54B,16.63B,15.29B,17.57B,17.68B,17.53B,14.98B,17.33B,17.49B,17.47B,17.82B,17.45B,17.64B,17.90B,17.99B,17.30B,17.22B,17.23B,17.12B,17.09B,17.67B,17.72B,17.88B,15.94B,15.79B,15.70B,16.12B,16.61B,19.16B,19.45B,19.74B,21.08B,20.61B,20.69B,20.74B,20.71B,20.75B,16.74B,17.47B,11.59B,12.27B
Accounts Payable,7.017B,6.789B,5.445B,5.261B,4.885B,5.443B,5.412B,5.059B,4.408B,3.734B,3.825B,4.071B,3.926B,3.392B,3.126B,2.801B,3.069B,3.727B,4.145B,3.867B,5.229B,5.511B,6.097B,5.423B,5.52B,5.671B,5.274B,4.889B,4.708B,5.504B,5.453B,5.522B,5.304B,4.595B,5.03B,5.076B,4.646B,3.832B,3.952B,4.071B,3.282B,2.999B,2.574B,2.531B,3.306B,4.907B,5.226B,4.516B,4.263B,3.068B,2.837B,2.74B,2.263B,2.281B,2.498B,2.335B,2.046B,2.122B,1.912B,1.545B,1.557B,1.417B,1.279B,1.199B,909.00M,884.00M,784.00M,896.00M,785.00M,808.00M,807.00M,736.00M,715.00M,814.00M,842.00M,931.00M,1.091B,1.20B,944.00M,706.00M,812.00M,619.00M,702.00M,417.00M,613.00M,512.00M,495.00M,545.00M,717.00M,902.00M,960.00M,857.00M,617.00M,888.00M,849.00M,869.00M,859.00M,841.00M,844.00M,860.00M,847.00M,817.00M,786.00M,752.00M,870.00M,832.00M,821.00M,902.00M,976.00M,998.00M,921.00M,854.00M,1.33B,946.00M,1.292B,1.423B,1.777B,1.395B,1.285B,1.292B,1.477B,1.142B,,,,,
Current Tax Payable,,1.036B,,,,,,,,,,,,,,,,25.00M,0.00,196.00M,414.00M,74.00M,440.00M,326.00M,358.00M,83.00M,29.00M,94.00M,16.00M,48.00M,0.00,248.00M,110.00M,140.00M,237.00M,361.00M,170.00M,203.00M,72.00M,223.00M,24.00M,79.00M,110.00M,158.00M,158.00M,,,,227.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
