Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,20.65M,19.58M,20.59M,14.79M,8.316M,8.266M,24.29M,24.79M,28.74M,32.86M,31.97M,34.28M,35.79M,36.71M,36.60M,30.47M,23.47M,25.79M,26.30M,28.82M,28.83M,27.84M,29.48M,34.47M,17.53M,17.61M,18.51M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,26.86M,36.11M,44.87M,48.52M,57.40M,56.68M,49.92M,65.68M,53.82M,68.25M,76.38M,70.37M,60.99M,53.82M,54.98M,60.00M,47.88M,55.92M,64.89M,59.70M,74.71M,40.24M,38.11M,44.53M,68.54M,60.12M,62.52M,53.68M,59.72M,73.04M,90.05M,106.18M,118.91M,87.34M,65.74M,63.72M,31.48M,144.25M,113.16M,49.28M,23.64M,41.75M,78.63M,67.54M,185.54M,213.26M,246.18M,180.34M,175.85M,205.42M,240.81M,841.39M,675.46M,707.48M,724.78M,776.95M,1.187B,1.840B,566.98M,641.76M,462.52M,421.88M,477.95M,387.28M,379.98M,301.55M,401.07M,411.82M,444.81M,368.26M,510.51M,385.79M,551.94M,934.00M,1.580B,7.925B,8.075B,2.270B,4.182B,769.48M,614.90M,598.80M,565.20M,625.00M,396.80M,238.20M,352.50M,243.40M,127.20M,47.80M,45.60M,39.00M,39.80M,33.90M,33.90M,41.70M,38.40M,34.60M,31.00M,35.10M,35.50M,34.90M,5.00M,23.30M
Total Current Assets,305.13M,247.65M,269.77M,364.80M,346.92M,245.51M,259.98M,309.75M,337.53M,316.63M,320.74M,357.29M,351.34M,284.38M,268.72M,279.22M,306.05M,257.98M,289.33M,310.50M,395.35M,265.20M,442.27M,504.39M,549.68M,485.84M,468.69M,507.01M,505.79M,516.32M,555.36M,607.20M,614.56M,548.25M,455.35M,465.16M,579.56M,458.63M,407.05M,426.67M,418.92M,358.42M,356.96M,429.98M,482.23M,392.17M,447.04M,438.58M,332.18M,362.22M,561.19M,1.203B,1.032B,982.20M,1.030B,1.264B,1.770B,2.288B,928.63M,1.001B,908.14M,787.13M,887.31M,800.76M,849.38M,776.78M,884.89M,999.36M,973.66M,883.63M,966.71M,931.66M,1.133B,1.505B,2.270B,8.690B,9.152B,3.353B,4.946B,1.224B,1.214B,1.350B,1.252B,1.187B,968.60M,762.20M,659.30M,500.80M,376.80M,194.40M,227.40M,205.80M,228.40M,175.50M,169.20M,193.00M,184.00M,130.60M,133.30M,138.10M,136.60M,108.70M,92.30M,111.60M
Other Properties,147.88M,149.18M,151.68M,154.10M,31.36M,121.91M,116.93M,91.54M,28.34M,80.02M,79.49M,76.52M,72.22M,55.80M,64.34M,54.06M,59.73M,43.59M,42.51M,41.41M,42.02M,41.33M,36.03M,48.17M,58.56M,66.49M,64.02M,52.18M,46.54M,,,,45.69M,,,,,1.053B,1.038B,1.022B,,985.48M,966.17M,946.34M,928.83M,931.14M,914.01M,895.39M,880.68M,872.24M,856.07M,842.90M,826.64M,829.18M,813.23M,800.15M,784.92M,780.03M,792.46M,778.27M,761.64M,776.53M,762.14M,745.60M,741.63M,875.01M,857.15M,840.55M,639.28M,811.48M,795.80M,780.03M,767.10M,760.75M,748.19M,733.86M,720.45M,707.86M,696.37M,725.72M,714.80M,706.10M,693.90M,682.40M,669.80M,668.80M,659.90M,648.00M,635.30M,630.50M,617.70M,605.20M,592.40M,581.90M,570.00M,558.10M,546.20M,539.40M,522.00M,511.10M,500.60M,490.80M,486.20M,478.70M
Construction in Progress,164.94M,185.17M,191.84M,165.72M,160.60M,180.24M,185.65M,165.11M,157.84M,194.68M,169.00M,158.27M,150.47M,165.56M,187.95M,174.88M,202.68M,193.00M,174.48M,148.29M,227.76M,205.57M,191.61M,157.33M,160.32M,137.56M,133.17M,134.74M,143.10M,116.62M,92.65M,80.02M,79.32M,67.39M,74.11M,66.59M,62.05M,58.61M,59.51M,60.58M,60.06M,60.58M,47.37M,78.36M,77.49M,128.49M,108.88M,115.28M,100.11M,115.31M,133.03M,115.92M,103.23M,97.24M,83.42M,60.79M,64.29M,83.11M,67.92M,63.41M,51.26M,49.82M,39.27M,47.59M,49.62M,36.84M,137.78M,131.28M,17.58M,23.02M,26.81M,60.46M,54.96M,65.06M,47.76M,39.54M,33.54M,45.33M,32.25M,32.66M,30.90M,51.30M,46.50M,43.00M,45.40M,41.80M,36.00M,34.20M,37.40M,42.50M,35.10M,32.00M,38.70M,33.40M,28.80M,24.40M,73.10M,28.00M,28.30M,23.50M,,23.90M,64.50M,62.60M
Gross PP&E,6.776B,6.670B,6.606B,6.523B,6.402B,6.363B,6.268B,6.139B,6.039B,5.961B,5.866B,5.779B,5.729B,5.608B,5.556B,5.448B,5.392B,5.244B,5.158B,5.049B,4.988B,4.902B,4.613B,4.547B,4.509B,4.456B,4.383B,4.302B,4.244B,4.111B,4.057B,4.001B,4.012B,3.900B,3.841B,3.792B,3.776B,3.728B,3.681B,3.650B,3.610B,3.548B,3.497B,3.450B,3.421B,3.370B,3.313B,3.267B,3.232B,3.178B,3.124B,3.183B,3.042B,3.011B,2.970B,2.929B,2.911B,2.860B,2.835B,2.805B,2.718B,2.721B,2.691B,2.669B,2.656B,2.560B,2.533B,2.511B,2.990B,2.376B,2.362B,2.348B,2.333B,2.324B,2.291B,2.257B,2.239B,2.209B,2.186B,2.229B,2.216B,2.194B,2.176B,2.155B,2.141B,2.126B,2.106B,2.087B,2.068B,2.051B,2.027B,2.006B,1.990B,1.962B,1.938B,1.918B,1.904B,1.882B,1.86B,1.844B,1.830B,1.773B,1.766B,1.743B
Accumulated D&A,-1.831B,-1.794B,-1.770B,-1.743B,-1.722B,-1.685B,-1.666B,-1.629B,-1.612B,-1.578B,-1.559B,-1.533B,-1.509B,-1.496B,-1.501B,-1.466B,-1.433B,-1.416B,-1.389B,-1.356B,-1.326B,-1.323B,-1.295B,-1.271B,-1.248B,-1.233B,-1.215B,-1.197B,-1.174B,-1.171B,-1.146B,-1.128B,-1.106B,-1.099B,-1.077B,-1.061B,-1.062B,-1.053B,-1.038B,-1.022B,-1.003B,-985.48M,-966.17M,-946.34M,-928.83M,-931.14M,-914.01M,-895.39M,-880.68M,-872.24M,-856.07M,-842.90M,-826.64M,-829.18M,-813.23M,-800.15M,-784.92M,-780.03M,-792.46M,-778.27M,-761.64M,-776.53M,-762.14M,-745.60M,-741.63M,-875.01M,-857.15M,-840.55M,-639.28M,-811.48M,-795.80M,-780.03M,-767.10M,-760.75M,-748.19M,-733.86M,-720.45M,-707.86M,-696.37M,-725.72M,-714.80M,-706.10M,-693.90M,-682.40M,-669.80M,-668.80M,-659.90M,-648.00M,-635.30M,-630.50M,-617.70M,-605.20M,-592.40M,-581.90M,-570.00M,-558.10M,-546.20M,-539.40M,-522.00M,-511.10M,-500.60M,-490.80M,-486.20M,-478.70M
Net PP&E,4.945B,4.876B,4.836B,4.780B,4.680B,4.677B,4.603B,4.510B,4.427B,4.383B,4.307B,4.245B,4.220B,4.112B,4.055B,3.982B,3.958B,3.828B,3.769B,3.692B,3.662B,3.579B,3.318B,3.276B,3.261B,3.224B,3.168B,3.106B,3.070B,2.941B,2.910B,2.873B,2.906B,2.802B,2.764B,2.731B,2.714B,2.675B,2.643B,2.628B,2.607B,2.563B,2.531B,2.504B,2.492B,2.439B,2.399B,2.371B,2.351B,2.306B,2.268B,2.340B,2.215B,2.181B,2.157B,2.129B,2.126B,2.080B,2.042B,2.027B,1.956B,1.944B,1.929B,1.923B,1.914B,1.685B,1.676B,1.671B,2.351B,1.564B,1.567B,1.568B,1.566B,1.564B,1.543B,1.523B,1.518B,1.501B,1.490B,1.504B,1.501B,1.488B,1.482B,1.473B,1.471B,1.457B,1.446B,1.439B,1.433B,1.421B,1.409B,1.401B,1.398B,1.38B,1.368B,1.360B,1.357B,1.342B,1.338B,1.333B,1.329B,1.282B,1.28B,1.265B
Goodwill,52.43M,52.43M,52.43M,52.43M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.98M,57.98M,55.88M,5.246M,76.26M,76.26M,76.76M,76.76M,76.76M,75.96M,73.78M,73.78M,73.78M,39.04M,26.11M,26.11M,25.96M,25.94M,24.79M,24.79M,24.79M,24.72M,24.82M,20.51M,20.51M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,38.61M,39.58M,41.15M,42.46M,43.88M,46.26M,92.96M,,,34.62M,,,,74.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,52.43M,52.43M,52.43M,52.43M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.67M,57.98M,57.98M,55.88M,5.246M,114.87M,115.83M,117.92M,119.22M,120.65M,122.22M,166.74M,73.78M,73.78M,73.67M,26.11M,26.11M,25.96M,100.49M,24.79M,24.79M,24.79M,24.72M,24.82M,20.51M,20.51M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,62.80M,53.16M,48.47M,44.51M,40.80M,,,11.55M,33.68M,11.55M,11.55M,11.55M,11.55M,18.69M,19.30M,19.92M,11.55M,21.14M,21.76M,22.37M,22.98M,23.59M,24.20M,24.82M,25.43M,26.04M,26.66M,27.27M,27.88M,28.49M,29.10M,29.72M,30.33M,30.94M,31.56M,11.55M,32.78M,107.02M,108.38M,111.85M,11.55M,11.55M,116.75M,115.02M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,14.06M,15.75M,11.38M,11.16M,11.07M,,,,9.56M,,,,,,,,,,,,,,,,,,,,,54.74M,57.39M,59.98M,,65.01M,67.45M,69.84M,,65.01M,67.45M,69.83M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,,,,,,,,,,,,,,3.79M,7.502M,11.14M,14.69M,18.18M,21.59M,24.93M,28.20M,31.40M,34.54M,37.61M,40.62M,43.56M,46.45M,49.27M,52.03M,,,,62.52M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,,,,,,,,9.094M,,,,,,,,,,,,,,1.693M,0.275M,3.545M,0.854M,0.293M,0.135M,0.925M,1.093M,1.073M,0.464M,2.183M,0.185M,5.595M,13.06M,17.79M,15.26M,5.751M,,23.98M,45.48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,8.948M,8.852M,8.557M,8.675M,8.40M,,,9.714M,8.458M,13.19M,5.432M,6.064M,5.326M,7.731M,6.674M,5.894M,5.928M,18.22M,16.55M,16.84M,4.852M,28.39M,29.97M,13.30M,13.95M,14.15M,13.89M,18.19M,18.93M,24.57M,25.42M,21.10M,21.79M,21.67M,29.92M,31.84M,37.68M,49.13M,410.63M,46.21M,49.15M,495.18M,472.69M,474.21M,5.134M,7.25M,8.625M,5.826M,4.902M,92.45M,91.22M,97.06M,183.69M,19.08M,18.96M,195.32M,17.11M,23.04M,23.38M,285.88M,21.11M,314.39M,303.82M,288.14M,290.10M,308.75M,321.64M,312.88M,306.47M,343.01M,365.96M,427.00M,518.30M,584.30M,495.65M,428.05M,141.80M,152.06M,124.91M,122.88M,117.90M,111.80M,108.40M,112.90M,111.10M,114.00M,116.00M,121.10M,127.90M,132.70M,137.30M,143.90M,138.50M,141.30M,145.90M,161.40M,160.60M,153.50M,149.20M,148.20M,151.50M,134.80M,130.30M,117.80M
Other Long Term Assets,23.39M,21.94M,20.55M,22.75M,23.06M,,,,21.28M,,,,,,,,,,,,,,,,,,,,,,92.12M,99.82M,,64.58M,65.93M,96.27M,62.52M,,,,101.27M,105.33M,,,278.80M,345.30M,344.20M,298.50M,289.90M,198.28M,194.41M,74.72M,433.63M,629.00M,722.30M,580.00M,893.83M,1.025B,835.12M,497.59M,659.72M,394.55M,423.89M,408.76M,401.24M,431.84M,500.92M,453.46M,,600.31M,606.66M,633.72M,671.23M,861.63M,1.071B,1.965B,1.608B,1.119B,1.149B,795.56M,714.20M,723.70M,731.60M,494.40M,532.00M,358.90M,674.90M,328.00M,297.30M,287.20M,249.90M,245.90M,247.70M,251.80M,264.00M,258.80M,227.50M,203.70M,215.20M,205.30M,202.90M,183.60M,188.90M,183.40M
Total Long Term Assets,5.777B,5.717B,5.608B,5.525B,5.436B,5.312B,5.242B,5.175B,5.177B,5.136B,5.052B,4.983B,4.958B,4.931B,4.800B,4.677B,4.601B,4.481B,4.391B,4.379B,4.306B,4.071B,3.760B,3.812B,3.812B,3.916B,3.879B,3.825B,3.807B,3.674B,3.661B,3.647B,3.600B,3.420B,3.388B,3.359B,3.361B,3.294B,3.254B,3.244B,3.188B,3.200B,3.141B,3.114B,3.149B,2.993B,2.953B,2.884B,2.858B,2.798B,2.744B,2.702B,3.024B,2.967B,3.037B,3.042B,3.178B,3.271B,3.067B,2.976B,2.803B,2.817B,2.824B,2.793B,2.781B,2.585B,2.633B,2.574B,2.826B,2.649B,2.684B,2.775B,2.904B,3.162B,3.263B,4.074B,3.425B,2.931B,2.924B,2.585B,2.499B,2.492B,2.491B,2.250B,2.285B,2.102B,2.410B,2.064B,2.035B,2.012B,1.967B,1.962B,1.949B,1.939B,1.946B,1.949B,1.915B,1.870B,1.874B,1.860B,1.858B,1.775B,1.775B,1.742B
Total Assets,6.082B,5.965B,5.878B,5.890B,5.783B,5.557B,5.502B,5.485B,5.515B,5.452B,5.373B,5.340B,5.310B,5.215B,5.069B,4.956B,4.907B,4.739B,4.680B,4.689B,4.701B,4.336B,4.202B,4.316B,4.362B,4.402B,4.348B,4.332B,4.313B,4.190B,4.216B,4.254B,4.215B,3.969B,3.843B,3.824B,3.940B,3.753B,3.661B,3.670B,3.607B,3.558B,3.498B,3.544B,3.631B,3.385B,3.400B,3.323B,3.190B,3.160B,3.305B,3.905B,4.057B,3.950B,4.067B,4.306B,4.948B,5.559B,3.996B,3.977B,3.712B,3.604B,3.711B,3.594B,3.631B,3.361B,3.518B,3.573B,3.800B,3.533B,3.650B,3.707B,4.037B,4.668B,5.534B,12.76B,12.58B,6.285B,7.870B,3.809B,3.714B,3.841B,3.742B,3.437B,3.254B,2.864B,3.070B,2.565B,2.412B,2.206B,2.195B,2.167B,2.177B,2.114B,2.115B,2.142B,2.099B,2.001B,2.008B,1.998B,1.994B,1.883B,1.867B,1.854B
Accounts Payable,110.22M,91.36M,80.62M,109.92M,108.37M,80.89M,76.56M,67.17M,107.29M,72.78M,69.16M,72.35M,115.54M,81.90M,63.06M,59.14M,114.35M,63.17M,70.09M,62.85M,112.97M,82.37M,73.35M,163.66M,182.09M,158.36M,153.42M,161.50M,198.91M,140.54M,148.73M,134.26M,166.95M,154.25M,128.85M,150.65M,171.71M,148.91M,123.45M,146.87M,160.86M,133.14M,104.42M,136.65M,176.12M,102.92M,86.74M,139.47M,117.55M,75.08M,179.59M,243.91M,286.10M,201.93M,230.10M,336.32M,511.43M,358.76M,252.03M,295.17M,325.19M,231.81M,252.35M,244.94M,298.28M,281.64M,247.42M,403.50M,339.64M,307.40M,304.77M,305.75M,367.90M,457.19M,503.27M,622.39M,886.27M,1.014B,735.19M,431.86M,522.50M,608.70M,611.00M,424.40M,406.50M,487.60M,231.10M,174.50M,154.30M,85.00M,88.80M,72.30M,95.30M,59.10M,45.50M,50.00M,64.80M,36.30M,25.60M,35.00M,46.20M,33.50M,27.40M,37.30M
Current Tax Payable,36.96M,35.62M,35.50M,69.57M,36.86M,37.72M,34.95M,60.95M,33.80M,34.52M,33.17M,42.85M,33.37M,,,,30.98M,,,20.34M,,7.581M,98.31M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,147.18M,126.98M,116.12M,179.50M,145.23M,118.62M,111.51M,128.12M,141.09M,107.30M,102.33M,115.21M,148.92M,81.90M,63.06M,59.14M,145.33M,63.17M,70.09M,83.19M,112.97M,89.95M,171.66M,163.66M,182.09M,158.36M,153.42M,161.50M,198.91M,140.54M,148.73M,134.26M,166.95M,154.25M,128.85M,150.65M,171.71M,148.91M,123.45M,146.87M,160.86M,133.14M,104.42M,136.65M,176.12M,102.92M,86.74M,139.47M,117.55M,75.08M,179.59M,243.91M,286.10M,201.93M,230.10M,336.32M,511.43M,358.76M,252.03M,295.17M,325.19M,231.81M,252.35M,244.94M,298.28M,281.64M,247.42M,403.50M,339.64M,307.40M,304.77M,305.75M,367.90M,457.19M,503.27M,622.39M,886.27M,1.014B,735.19M,431.86M,522.50M,608.70M,611.00M,424.40M,406.50M,487.60M,231.10M,174.50M,154.30M,85.00M,88.80M,72.30M,95.30M,59.10M,45.50M,50.00M,64.80M,36.30M,25.60M,35.00M,46.20M,33.50M,27.40M,37.30M
Accrued Expenses,38.83M,51.85M,38.63M,52.13M,37.70M,50.99M,37.20M,30.19M,36.68M,29.08M,16.13M,28.69M,15.87M,,,,15.38M,,,,,,,,,,,,,,,,,,,,,,,,,17.22M,11.25M,18.94M,243.02M,296.79M,370.40M,292.13M,218.76M,248.36M,281.04M,849.57M,628.50M,658.57M,652.72M,752.38M,1.115B,1.806B,520.36M,599.43M,402.70M,390.37M,500.97M,446.50M,428.08M,394.29M,527.96M,498.55M,500.99M,407.13M,489.16M,388.35M,483.65M,744.20M,1.526B,7.927B,8.000B,2.220B,4.151B,822.49M,664.50M,609.40M,606.00M,660.30M,457.80M,283.80M,384.90M,300.80M,185.40M,97.10M,95.60M,112.30M,108.20M,112.10M,140.70M,148.20M,104.10M,101.30M,102.60M,112.40M,86.40M,91.30M,87.50M,98.70M
