Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Inventories,7.013B,6.376B,6.281B,6.554B,6.532B,7.501B,6.42B,6.555B,6.384B,6.137B,5.674B,6.025B,5.709B,5.979B,6.137B,6.056B,5.898B,6.557B,6.618B,6.666B,6.623B,6.86B,6.526B,7.106B,5.758B,7.063B,6.446B,6.937B,5.973B,5.787B,5.443B,6.145B,5.623B,5.164B,3.988B,4.338B,4.947B,4.804B,4.767B,4.724B,4.578B,4.576B,4.561B,4.669B,4.62B,4.859B,4.904B,4.643B,4.184B,4.616B,4.578B,4.835B,3.979B,4.666B,4.626B,4.381B,4.039B,4.475B,3.088B,2.801B,2.318B,2.737B,2.642B,2.444B,1.913B,2.092B,1.692B,1.605B,1.436B,1.467B,1.451B,1.466B,1.453B,704.17M,773.38M,581.41M,539.88M,495.99M,492.31M,436.20M,303.39M,418.70M,329.60M,299.50M,316.40M,430.90M,312.10M,334.30M,369.40M,347.30M,494.50M,200.70M,159.90M,203.40M,165.40M,164.40M,140.80M,169.20M,145.80M,120.70M,182.10M,170.90M,,101.20M,113.40M,157.90M,146.90M,121.10M,146.40M,176.70M,145.20M,152.40M,184.90M,140.80M,104.60M,120.40M,169.50M,171.70M,138.50M,118.10M,126.60M,84.10M,89.20M,95.10M,160.20M,177.10M
Prepaid Expenses,469.00M,526.00M,447.00M,860.00M,816.00M,590.00M,542.00M,233.00M,156.00M,170.00M,277.00M,316.00M,374.00M,228.00M,190.00M,335.00M,204.00M,173.00M,157.00M,154.00M,164.00M,132.00M,124.00M,134.00M,138.00M,131.00M,136.00M,384.00M,154.00M,148.00M,138.00M,118.00M,124.00M,109.00M,162.00M,149.00M,121.00M,172.00M,170.00M,181.00M,384.00M,386.00M,472.00M,625.00M,550.00M,192.00M,160.00M,119.00M,175.00M,238.00M,133.00M,113.00M,145.00M,177.00M,170.00M,74.00M,65.00M,257.00M,91.00M,43.00M,44.00M,49.80M,28.50M,58.70M,44.90M,64.20M,76.30M,57.30M,37.60M,77.00M,139.30M,125.50M,85.60M,26.54M,44.49M,41.32M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00M,129.00M,,144.00M,141.00M,139.00M,131.00M,121.00M,100.00M,41.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,31.00M,30.00M,30.00M,90.00M,24.00M,24.00M,24.00M,24.80M,24.80M,34.50M,43.70M,25.50M,28.90M,29.90M,30.30M,30.40M,30.30M,84.10M,76.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,98.00M,141.00M,121.00M,162.00M,229.00M,275.00M,256.00M,266.00M,257.00M,246.00M,280.00M,274.00M,292.00M,246.00M,358.00M,283.00M,254.00M,285.00M,262.00M,190.00M,184.00M,171.00M,175.00M,180.00M,150.00M,132.00M,78.00M,98.00M,306.00M,388.00M,271.00M,247.00M,197.00M,183.00M,147.00M,143.00M,156.00M,176.00M,145.00M,142.00M,,106.00M,149.00M,175.00M,130.90M,161.90M,211.90M,118.70M,87.50M,,61.30M,95.30M,81.10M,135.40M,,,68.05M,66.80M,92.14M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00M,25.00M,219.00M,289.00M,,,,19.00M,,335.00M,,,,1.613B,,1.527B,,,,,,,,,,,,,,,,,,,1.027B,1.304B,,,,144.70M,88.39M,111.62M,112.07M,92.84M,83.50M,100.30M,83.40M,28.60M,38.10M,61.00M,71.30M,43.40M,25.30M,29.00M,46.10M,29.40M,72.90M,48.70M,32.60M,113.40M,66.90M,95.20M,82.70M,92.30M,52.60M,434.00M,41.90M,50.30M,55.20M,53.80M,37.80M,50.40M,41.70M,38.40M,23.50M,33.20M,26.40M,27.60M,20.80M,23.90M,27.70M,19.10M,24.30M,23.90M,13.40M,9.10M,19.10M,22.10M,15.20M
Total Current Assets,18.97B,17.03B,17.81B,18.48B,17.68B,19.89B,18.95B,18.26B,19.31B,17.44B,15.73B,15.91B,16.80B,16.88B,16.18B,14.86B,14.90B,16.83B,18.49B,16.79B,16.61B,19.67B,18.45B,19.03B,19.28B,18.59B,16.77B,17.21B,16.46B,16.27B,14.03B,15.82B,15.97B,15.87B,14.69B,15.06B,13.52B,11.88B,11.35B,11.32B,10.92B,10.86B,11.17B,10.47B,9.45B,14.83B,15.25B,12.51B,14.79B,14.65B,13.57B,11.00B,11.83B,9.731B,10.17B,8.181B,8.346B,9.112B,6.898B,5.856B,5.264B,5.762B,5.129B,4.668B,3.817B,3.762B,3.564B,4.191B,3.536B,3.009B,3.087B,4.026B,4.136B,1.670B,1.604B,1.427B,1.285B,1.249B,1.266B,960.33M,828.86M,862.20M,738.10M,693.10M,639.70M,749.80M,703.70M,687.20M,789.00M,746.90M,905.60M,607.80M,351.80M,587.00M,562.80M,522.20M,621.50M,486.50M,460.20M,420.30M,532.90M,435.20M,482.00M,346.50M,235.50M,335.50M,307.50M,279.00M,304.80M,332.20M,324.40M,270.40M,288.30M,315.20M,339.60M,386.40M,315.00M,312.00M,226.80M,226.30M,247.10M,165.60M,168.50M,312.10M,502.80M,460.20M
Properties,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land and Improvements,476.00M,,,,416.00M,,,,411.00M,,,,400.00M,,,,400.00M,,,,396.00M,,,,404.00M,,,,802.00M,,,,722.00M,,,,624.00M,,,,604.00M,,,,602.00M,,,,577.00M,,,,,,,,461.00M,,,,436.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,1.015B,,,,953.00M,,,,910.00M,,,,838.00M,,,,789.00M,,,,789.00M,,,,800.00M,,,,734.00M,,,,712.00M,,,,1.067B,,,,1.01B,,,,872.00M,,,,782.00M,,,,,,,,17.08B,,,,10.67B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",38.43B,,,,36.87B,,,,35.35B,,,,34.30B,,,,33.12B,,,,30.79B,,,,29.49B,,,,28.51B,,,,26.20B,,,,23.70B,,,,21.42B,,,,20.92B,,,,,,,,,,,,,,,,,,,,,,,,,,,8.346B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,2.645B,,,,2.276B,,,,2.068B,,,,1.464B,,,,1.423B,,,,2.607B,,,,2.109B,,,,1.457B,,,,1.29B,,,,1.224B,,,,1.155B,,,,1.098B,,,,23.17B,,,,,,,,592.00M,,,,446.00M,,,,,,,,,,,,,3.943B,3.782B,3.340B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,1.731B,,,,1.96B,,,,1.274B,,,,730.00M,,,,1.173B,,,,1.353B,,,,1.128B,,,,2.629B,,,,3.332B,,,,2.303B,,,,2.694B,,,,2.632B,,,,1.255B,,,,,,,,2.257B,,,,739.00M,,,,,,,,,,,,,213.80M,261.40M,210.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,44.29B,43.54B,43.11B,42.39B,42.47B,41.84B,41.27B,40.54B,40.01B,39.53B,38.98B,38.57B,37.73B,37.56B,37.36B,37.28B,36.91B,36.64B,36.44B,36.02B,35.93B,35.43B,34.87B,34.24B,33.93B,33.65B,33.09B,34.47B,34.13B,33.45B,32.83B,32.25B,32.25B,31.07B,29.87B,29.40B,28.92B,29.93B,29.44B,29.19B,26.88B,29.86B,29.69B,28.64B,26.12B,27.45B,26.77B,26.29B,25.79B,25.08B,24.45B,24.79B,23.42B,23.67B,22.89B,21.13B,20.39B,19.51B,13.05B,12.68B,12.30B,11.77B,11.41B,11.00B,9.748B,9.232B,8.642B,8.23B,8.641B,8.564B,8.545B,8.346B,8.155B,4.156B,4.043B,3.550B,3.481B,3.418B,3.363B,2.712B,2.687B,2.662B,2.628B,2.608B,2.572B,2.523B,2.206B,2.164B,2.132B,2.083B,2.076B,2.825B,1.708B,2.769B,2.750B,2.732B,2.698B,2.695B,2.698B,2.684B,2.673B,2.576B,2.444B,1.656B,1.640B,1.590B,1.614B,1.586B,1.543B,1.502B,1.452B,1.327B,1.265B,1.186B,1.126B,1.086B,1.038B,968.40M,932.50M,911.80M,904.20M,869.20M,857.50M,1.744B,1.739B,1.718B
Accumulated D&A,-15.03B,-14.65B,-14.33B,-13.98B,-13.62B,-13.41B,-13.09B,-12.81B,-12.53B,-12.25B,-11.92B,-11.58B,-11.26B,-11.04B,-10.77B,-10.53B,-10.20B,-9.957B,-9.71B,-9.425B,-9.198B,-8.983B,-8.748B,-8.469B,-8.226B,-8.01B,-7.701B,-8.072B,-7.832B,-7.581B,-7.311B,-7.098B,-7.076B,-6.847B,-6.66B,-6.509B,-6.252B,-6.34B,-6.076B,-5.851B,-5.27B,-5.632B,-5.404B,-5.112B,-4.698B,-4.711B,-4.493B,-4.305B,-4.078B,-3.853B,-3.667B,-3.499B,-3.241B,-3.102B,-2.905B,-2.707B,-2.532B,-2.359B,-2.208B,-2.095B,-1.978B,-1.867B,-1.751B,-1.648B,-1.553B,-1.437B,-1.353B,-1.261B,-1.229B,-1.160B,-1.095B,-1.019B,-937.30M,-905.29M,-869.70M,-836.24M,-804.44M,-773.65M,-743.36M,-726.72M,-702.17M,-678.60M,-655.60M,-633.70M,-612.80M,-595.00M,-576.20M,-557.40M,-540.00M,-524.80M,-507.10M,-733.10M,-479.30M,-687.60M,-665.60M,-653.50M,-622.10M,-600.60M,-579.70M,-555.80M,-531.50M,-507.30M,-361.90M,-361.90M,-346.60M,-331.80M,-336.80M,-323.90M,-311.30M,-300.20M,-288.90M,-276.10M,-266.90M,-258.30M,-249.10M,-240.10M,-231.80M,-223.20M,-214.70M,-206.30M,-197.90M,-165.20M,-132.50M,-407.60M,-275.60M,-224.60M
Net PP&E,29.26B,28.89B,28.78B,28.41B,28.85B,28.43B,28.18B,27.73B,27.48B,27.27B,27.05B,26.99B,26.47B,26.52B,26.59B,26.74B,26.70B,26.69B,26.73B,26.60B,26.74B,26.45B,26.12B,25.77B,25.71B,25.64B,25.39B,26.40B,26.30B,25.87B,25.52B,25.16B,25.18B,24.22B,23.21B,22.90B,22.67B,23.59B,23.36B,23.34B,21.62B,24.23B,24.28B,23.53B,21.42B,22.74B,22.28B,21.98B,21.71B,21.22B,20.78B,21.29B,20.18B,20.56B,19.99B,18.42B,17.86B,17.15B,10.84B,10.58B,10.32B,9.903B,9.663B,9.357B,8.195B,7.795B,7.288B,6.969B,7.412B,7.404B,7.450B,7.327B,7.217B,3.251B,3.173B,2.714B,2.677B,2.644B,2.620B,1.985B,1.985B,1.984B,1.973B,1.975B,1.959B,1.928B,1.630B,1.607B,1.592B,1.558B,1.569B,2.092B,1.229B,2.082B,2.084B,2.078B,2.075B,2.095B,2.118B,2.128B,2.141B,2.068B,2.082B,1.294B,1.294B,1.258B,1.278B,1.262B,1.232B,1.202B,1.163B,1.050B,998.20M,928.00M,876.80M,845.60M,806.00M,745.20M,717.80M,705.50M,706.30M,704.00M,725.00M,1.337B,1.463B,1.494B
Goodwill,260.00M,,,,260.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.057B,4.039B,4.06B,4.061B,4.061B,4.092B,4.209B,4.103B,4.263B,4.311B,4.924B,,,,,,,,,,,,,,,2.459B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,283.00M,,,,307.00M,,,,142.00M,,,,,,,,,,,,,,,,,,,,,216.00M,218.00M,227.00M,,251.00M,222.00M,225.00M,224.00M,224.00M,223.00M,226.00M,227.00M,229.00M,221.00M,213.00M,224.00M,252.00M,268.00M,275.00M,290.00M,298.00M,293.00M,293.00M,303.00M,309.00M,293.00M,289.00M,5.224B,5.27B,2.728B,2.704B,2.712B,2.734B,2.737B,2.712B,2.722B,2.795B,2.797B,2.798B,2.921B,2.973B,366.90M,2.633B,2.544B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,543.00M,,,,567.00M,,,,142.00M,,,,148.00M,,,,156.00M,,,,154.00M,,,,,160.00M,159.00M,203.00M,213.00M,216.00M,218.00M,227.00M,227.00M,251.00M,222.00M,225.00M,224.00M,224.00M,223.00M,226.00M,227.00M,229.00M,221.00M,213.00M,224.00M,4.309B,4.307B,4.335B,4.351B,4.359B,4.385B,4.502B,4.406B,4.572B,4.604B,5.213B,5.224B,5.27B,2.728B,2.704B,2.712B,2.734B,2.737B,2.712B,2.722B,2.795B,2.797B,2.798B,2.921B,2.973B,2.826B,2.633B,2.544B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,2.271B,,,,542.00M,,,,530.00M,,,,201.00M,,,,201.00M,,,,78.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,525.00M,,,,343.00M,,,,673.00M,,,,447.00M,,,,266.00M,,,,182.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,1.778B,5.306B,5.427B,5.207B,1.749B,3.575B,3.55B,3.385B,1.52B,3.272B,3.189B,3.148B,1.614B,2.869B,2.683B,2.653B,1.484B,2.31B,2.373B,2.357B,1.359B,2.34B,2.441B,2.303B,2.276B,1.898B,1.864B,1.694B,1.504B,1.436B,1.416B,1.428B,1.407B,1.343B,1.411B,1.416B,1.21B,1.585B,1.543B,1.584B,1.347B,1.48B,1.543B,1.563B,1.436B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,514.00M,,,,431.00M,,,,501.00M,,,,491.00M,,,,519.00M,,,,428.00M,,,,,,,,,,,,,,,,,,,,1.461B,,,,1.886B,1.929B,1.822B,1.836B,1.87B,1.624B,1.613B,1.396B,1.336B,1.775B,1.758B,1.485B,1.372B,1.24B,1.176B,1.169B,1.099B,1.039B,1.028B,1.043B,929.90M,896.00M,818.00M,683.80M,595.70M,572.10M,629.30M,523.10M,502.30M,407.71M,436.82M,418.82M,345.96M,318.00M,327.30M,175.66M,165.90M,153.10M,159.00M,146.50M,126.70M,125.60M,135.80M,137.20M,111.50M,113.50M,466.00M,164.50M,405.00M,188.90M,161.30M,169.70M,179.80M,179.50M,174.30M,181.80M,157.30M,144.60M,147.60M,227.30M,235.30M,225.50M,236.80M,236.30M,222.20M,208.90M,192.00M,191.80M,194.40M,158.50M,149.70M,149.50M,133.00M,86.90M,63.10M,61.90M,64.20M,56.90M,71.20M,48.50M,29.00M,44.20M
Total Long Term Assets,34.90B,34.20B,34.21B,33.62B,32.48B,32.00B,31.73B,31.12B,30.85B,30.55B,30.24B,30.14B,29.37B,29.39B,29.27B,29.40B,29.33B,29.00B,29.11B,28.95B,28.94B,28.79B,28.56B,28.07B,27.98B,27.70B,27.41B,28.30B,28.02B,27.52B,27.16B,26.81B,26.81B,25.81B,24.84B,24.54B,24.10B,25.40B,25.13B,25.14B,24.65B,25.94B,26.05B,25.31B,24.97B,28.98B,28.40B,28.16B,27.93B,27.21B,26.78B,27.19B,25.92B,26.91B,26.35B,25.12B,24.45B,23.66B,14.74B,14.46B,14.13B,13.68B,13.43B,13.11B,11.85B,11.49B,10.90B,10.45B,10.93B,10.95B,10.90B,10.48B,10.26B,3.659B,3.610B,3.132B,3.023B,2.962B,2.947B,2.161B,2.150B,2.137B,2.132B,2.121B,2.086B,2.054B,1.766B,1.744B,1.704B,1.672B,2.035B,2.257B,1.634B,2.271B,2.245B,2.248B,2.255B,2.274B,2.292B,2.310B,2.298B,2.213B,2.230B,1.522B,1.529B,1.484B,1.514B,1.499B,1.454B,1.411B,1.355B,1.242B,1.193B,1.086B,1.026B,995.10M,939.00M,832.10M,780.90M,767.40M,770.50M,760.90M,796.20M,1.385B,1.492B,1.538B
