Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Other Current Assets,3.106B,2.656B,3.304B,2.194B,2.335B,2.398B,2.396B,2.481B,2.417B,,,,,,,,,,,,,,,,,,,,,318.00M,344.00M,372.00M,,294.00M,260.00M,252.00M,285.00M,316.00M,274.00M,368.00M,341.00M,463.00M,353.00M,425.00M,193.00M,198.00M,226.00M,328.00M,396.00M,450.00M,460.00M,370.00M,364.00M,353.00M,354.00M,367.00M,454.00M,464.00M,565.00M,616.00M,922.00M,1.303B,847.00M,857.00M,788.00M,909.00M,1.324B,1.289B,1.256B,1.241B,1.107B,1.053B,1.605B,1.409B,926.00M,995.00M,314.00M,319.00M,351.00M,799.00M,595.00M,609.00M,630.00M,781.00M,126.00M,227.00M,212.00M,261.00M,354.00M,193.00M,159.00M,774.00M,47.00M,143.00M,75.00M,205.00M,78.00M,70.00M,121.00M,250.00M,246.00M,390.00M,249.00M,1.784B,1.494B,1.03B,902.00M,1.247B,942.00M,719.00M,804.00M,529.00M,35.00M,133.00M,121.00M,68.00M,46.00M,44.00M,40.00M,46.00M,47.00M,47.00M,92.00M,823.00M,,,
Total Current Assets,102.23B,101.66B,95.11B,89.51B,87.83B,87.69B,86.40B,86.54B,85.19B,64.14B,62.83B,62.37B,62.49B,62.24B,63.51B,65.59B,68.23B,67.58B,66.81B,66.42B,67.77B,65.22B,65.53B,64.78B,65.07B,64.16B,61.31B,59.49B,57.31B,53.78B,51.61B,50.13B,49.81B,46.35B,44.35B,41.01B,40.57B,38.33B,36.80B,35.28B,30.23B,30.12B,27.80B,25.96B,24.34B,25.94B,28.20B,27.28B,26.63B,25.52B,22.51B,22.98B,22.38B,23.17B,22.76B,21.91B,19.16B,18.24B,17.44B,17.36B,16.48B,18.07B,16.68B,19.29B,15.62B,16.45B,16.71B,16.86B,16.61B,15.76B,16.07B,16.84B,17.93B,17.19B,17.17B,16.51B,18.10B,16.84B,16.18B,15.71B,16.72B,17.44B,17.28B,16.61B,18.30B,18.82B,19.19B,19.26B,21.15B,16.50B,15.77B,20.51B,13.70B,14.00B,14.00B,13.18B,12.30B,11.58B,10.74B,10.41B,9.927B,10.31B,9.757B,9.175B,8.699B,8.187B,8.508B,8.087B,9.977B,9.22B,9.385B,8.829B,9.538B,8.916B,9.007B,8.77B,8.608B,8.895B,8.921B,8.66B,8.363B,8.631B,8.561B,9.313B,8.478B,6.766B,6.17B
Properties,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land and Improvements,527.00M,,,,546.00M,,,,530.00M,,,,535.00M,,,,536.00M,,,,560.00M,,,,562.00M,,,,531.00M,,,,526.00M,,,,542.00M,,,539.00M,,,,540.00M,,,,544.00M,,,,524.00M,,,,481.00M,,,,470.00M,465.00M,451.00M,455.00M,457.00M,455.00M,446.00M,452.00M,461.00M,479.00M,482.00M,,489.00M,,,,460.00M,,,,430.00M,,,,499.00M,,,,530.00M,,,,539.00M,,,,404.00M,,,,400.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,14.29B,,,,14.11B,,,,14.12B,,,,13.80B,,,,12.40B,,,,11.77B,,,,11.07B,,,,10.70B,,,,10.28B,,,,9.695B,,,9.548B,,,,9.133B,,,,8.868B,,,,8.571B,,,,9.287B,,,,9.677B,9.555B,9.41B,9.284B,9.381B,9.087B,9.006B,8.992B,9.081B,8.939B,8.995B,,8.598B,,,,9.241B,,,,8.148B,,,,8.244B,,,,8.133B,,,,7.883B,,,,5.791B,,,,5.662B,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",15.72B,,,,15.22B,,,,14.58B,,,,13.57B,,,,13.19B,,,,12.87B,,,,12.38B,,,,11.85B,,,,11.35B,,,,11.00B,,,10.38B,,,,9.99B,,,,9.308B,,,,8.614B,,,,8.75B,,,,10.32B,10.37B,10.58B,10.72B,10.77B,10.96B,10.95B,11.00B,11.10B,10.63B,10.60B,,10.64B,,,,10.38B,,,,10.41B,,,,10.52B,,,,9.94B,,,,9.778B,,,,7.251B,,,,7.09B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,1.306B,,,,1.337B,,,,1.081B,,,,1.79B,,,,2.242B,,,,1.502B,,,,1.288B,,,,1.231B,,,,1.142B,,,,1.014B,,,1.109B,,,,1.379B,,,,1.46B,,,,1.601B,,,,1.174B,,,,940.00M,1.001B,1.026B,1.059B,943.00M,1.008B,1.014B,958.00M,837.00M,968.00M,916.00M,,1.099B,,,,891.00M,,,,1.13B,,,,977.00M,,,,691.00M,,,,525.00M,,,,298.00M,,,,436.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,31.84B,31.65B,31.46B,31.42B,31.21B,30.90B,30.74B,30.52B,30.31B,30.11B,30.20B,30.00B,29.69B,29.46B,29.17B,28.74B,28.36B,27.80B,27.34B,27.05B,26.70B,26.35B,25.87B,25.54B,25.29B,24.92B,24.53B,24.45B,24.30B,24.05B,23.84B,23.60B,23.31B,22.97B,22.61B,22.49B,22.25B,21.76B,21.72B,21.58B,21.65B,21.34B,21.20B,21.04B,,20.90B,20.51B,20.18B,20.29B,19.79B,19.54B,19.31B,20.53B,20.85B,20.47B,19.69B,19.73B,19.54B,21.44B,21.40B,21.39B,21.47B,21.52B,21.55B,21.51B,21.42B,21.40B,21.48B,21.02B,20.99B,20.96B,20.83B,20.85B,20.86B,20.87B,20.97B,19.95B,20.09B,20.16B,20.12B,20.36B,20.48B,20.38B,20.24B,20.09B,19.86B,19.61B,19.29B,19.16B,14.84B,14.87B,18.72B,14.07B,13.98B,13.86B,13.74B,13.83B,13.74B,13.72B,13.59B,13.55B,13.46B,13.33B,13.23B,13.11B,12.96B,12.61B,12.29B,11.99B,11.53B,11.04B,10.60B,10.10B,9.666B,9.326B,8.991B,8.603B,8.228B,7.927B,7.59B,7.155B,6.798B,6.385B,5.813B,5.156B,4.381B,3.916B
Accumulated D&A,-19.34B,-19.12B,-18.86B,-18.82B,-18.57B,-18.33B,-18.14B,-17.89B,-17.64B,-17.40B,-17.38B,-17.16B,-16.88B,-16.75B,-16.64B,-16.48B,-16.29B,-16.19B,-16.00B,-15.88B,-15.69B,-15.64B,-15.42B,-15.28B,-15.07B,-14.94B,-14.72B,-14.71B,-14.64B,-14.55B,-14.38B,-14.20B,-13.99B,-13.78B,-13.57B,-13.52B,-13.32B,-13.17B,-13.03B,-12.80B,-12.74B,-12.53B,-12.40B,-12.28B,,-12.31B,-12.13B,-11.92B,-12.11B,-11.80B,-11.71B,-11.64B,-11.86B,-11.80B,-11.58B,-11.27B,-11.46B,-11.42B,-12.97B,-12.96B,-13.06B,-13.22B,-13.14B,-12.95B,-13.06B,-12.90B,-12.79B,-12.72B,-12.69B,-12.57B,-12.51B,-12.37B,-12.16B,-12.16B,-12.16B,-12.16B,-12.02B,-12.02B,-12.02B,-11.87B,-11.93B,-11.88B,-11.79B,-11.65B,-11.54B,-11.34B,-11.08B,-10.90B,-10.84B,-8.031B,-8.018B,-10.46B,-7.777B,-7.628B,-7.465B,-7.288B,-7.254B,-7.069B,-6.94B,-6.786B,-6.638B,-6.462B,-6.275B,-6.144B,-6.039B,-5.913B,-5.705B,-5.569B,-5.452B,-5.328B,-5.18B,-5.07B,-4.961B,-4.808B,-4.683B,-4.543B,-4.45B,-4.315B,-4.217B,-4.109B,-3.967B,-3.859B,-3.682B,-3.259B,-2.875B,-2.515B,-2.245B
Net PP&E,12.50B,12.53B,12.60B,12.59B,12.64B,12.57B,12.60B,12.63B,12.67B,12.71B,12.82B,12.84B,12.81B,12.71B,12.53B,12.27B,12.08B,11.61B,11.34B,11.17B,11.01B,10.71B,10.45B,10.26B,10.22B,9.987B,9.814B,9.736B,9.66B,9.496B,9.453B,9.399B,9.313B,9.19B,9.044B,8.973B,8.931B,8.584B,8.693B,8.784B,8.912B,8.808B,8.798B,8.762B,8.686B,8.585B,8.376B,8.265B,8.182B,7.985B,7.837B,7.675B,8.67B,9.042B,8.891B,8.42B,8.268B,8.121B,8.467B,8.443B,8.333B,8.252B,8.383B,8.597B,8.451B,8.521B,8.614B,8.765B,8.325B,8.415B,8.444B,8.459B,8.695B,8.701B,8.712B,8.814B,7.93B,8.07B,8.142B,8.245B,8.435B,8.601B,8.584B,8.589B,8.552B,8.528B,8.528B,8.391B,8.314B,6.814B,6.848B,8.266B,6.294B,6.351B,6.39B,6.456B,6.574B,6.671B,6.775B,6.802B,6.914B,6.997B,7.056B,7.088B,7.072B,7.046B,6.904B,6.724B,6.537B,6.205B,5.86B,5.53B,5.144B,4.858B,4.643B,4.448B,4.153B,3.913B,3.71B,3.481B,3.188B,2.939B,2.703B,2.554B,2.281B,1.866B,1.671B
Goodwill,8.06B,8.063B,8.051B,7.967B,7.84B,5.722B,5.55B,5.558B,5.559B,5.344B,5.347B,5.342B,5.324B,5.128B,5.128B,5.132B,5.126B,5.122B,5.126B,5.105B,5.119B,5.131B,5.139B,5.046B,5.043B,5.047B,5.043B,5.049B,5.035B,4.961B,4.955B,4.95B,4.945B,4.939B,4.949B,4.944B,4.937B,4.302B,4.317B,4.319B,4.293B,3.688B,3.654B,3.647B,3.53B,3.232B,3.135B,3.081B,3.096B,3.092B,3.091B,3.047B,3.208B,2.037B,,1.924B,,,,1.948B,,,,1.913B,,,,2.76B,,,,5.127B,,,,,,,,,,,,2.312B,2.333B,2.353B,2.374B,2.395B,2.418B,2.437B,2.458B,2.478B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,3.338B,3.587B,3.761B,3.498B,3.429B,2.53B,2.494B,2.525B,2.573B,2.523B,2.567B,2.496B,2.54B,2.488B,2.544B,2.594B,2.657B,2.706B,2.763B,2.809B,2.869B,2.954B,3.004B,2.996B,3.052B,2.962B,3.011B,3.075B,3.111B,2.93B,2.98B,2.993B,3.044B,3.095B,3.141B,2.933B,2.979B,2.821B,2.878B,2.877B,2.92B,2.727B,2.627B,2.685B,2.208B,2.223B,2.236B,2.093B,1.75B,1.754B,1.72B,1.698B,1.471B,841.00M,2.772B,875.00M,2.811B,2.825B,2.86B,955.00M,2.928B,2.929B,2.927B,1.035B,2.968B,2.991B,3.015B,1.128B,3.852B,3.874B,3.895B,1.32B,6.536B,5.223B,5.247B,,2.434B,2.191B,2.212B,2.233B,2.25B,2.27B,2.291B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,11.40B,11.65B,11.81B,11.46B,11.27B,8.252B,8.044B,8.083B,8.132B,7.867B,7.914B,7.838B,7.864B,7.616B,7.672B,7.726B,7.783B,7.828B,7.889B,7.914B,7.988B,8.085B,8.143B,8.042B,8.095B,8.009B,8.054B,8.124B,8.146B,7.891B,7.935B,7.943B,7.989B,8.034B,8.09B,7.877B,7.916B,7.123B,7.195B,7.196B,7.213B,6.415B,6.281B,6.332B,5.738B,5.455B,5.371B,5.174B,4.846B,4.846B,4.811B,4.745B,4.679B,2.878B,2.772B,2.799B,2.811B,2.825B,2.86B,2.903B,2.928B,2.929B,2.927B,2.948B,2.968B,2.991B,3.015B,3.888B,3.852B,3.874B,3.895B,6.447B,6.536B,5.223B,5.247B,5.214B,2.434B,2.191B,2.212B,2.233B,2.25B,2.27B,2.291B,2.312B,2.333B,2.353B,2.374B,2.395B,2.418B,2.437B,2.458B,2.478B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,1.092B,1.117B,1.142B,1.183B,1.087B,1.19B,1.203B,1.248B,1.26B,1.27B,1.278B,1.319B,1.317B,1.303B,1.312B,1.297B,1.284B,1.277B,1.256B,1.154B,1.154B,1.203B,1.196B,1.208B,1.204B,1.168B,1.166B,1.177B,1.18B,1.195B,1.004B,1.037B,1.043B,1.109B,1.117B,1.091B,1.111B,1.008B,1.03B,1.03B,1.12B,1.188B,1.261B,1.328B,3.717B,,,4.111B,,,,4.085B,,,,2.852B,,,,3.05B,,,,646.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,2.136B,2.077B,2.139B,2.236B,2.418B,2.785B,2.817B,2.753B,2.756B,3.039B,3.398B,3.527B,3.773B,3.401B,2.909B,2.98B,3.358B,3.231B,3.175B,3.301B,3.371B,3.347B,3.18B,3.28B,3.627B,3.903B,3.991B,3.91B,4.056B,,,,4.296B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
