Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1987-12,1986-12,1985-12,1984-12
Properties,5.672B,5.446B,5.228B,5.082B,4.96B,4.769B,4.626B,4.506B,4.399B,4.219B,4.085B,3.908B,3.779B,3.60B,3.435B,3.308B,3.219B,3.066B,2.972B,2.899B,2.853B,2.866B,2.792B,2.716B,2.666B,2.963B,2.883B,2.754B,2.383B,,2.57B,2.507B,2.423B,,2.286B,2.153B,,,2.024B,1.965B,,,,,,1.655B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.671B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,1.513B,1.524B,1.568B,1.628B,1.768B,1.718B,1.664B,1.607B,1.543B,1.46B,1.404B,1.319B,1.22B,1.15B,1.067B,986.00M,915.00M,823.00M,745.00M,686.00M,621.00M,570.00M,515.00M,478.00M,453.00M,,,,331.00M,,,,,2.303B,,172.00M,2.122B,,14.16B,14.06B,,,,,,14.24B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,29.06B,29.64B,29.32B,29.16B,29.26B,28.72B,28.23B,28.17B,28.23B,27.80B,27.20B,26.78B,26.46B,25.84B,25.66B,25.23B,24.68B,23.82B,23.52B,23.06B,22.51B,22.06B,21.59B,21.06B,20.82B,20.44B,20.22B,19.99B,19.50B,19.29B,18.94B,18.55B,18.42B,17.98B,17.77B,16.42B,16.34B,16.25B,16.18B,16.02B,15.89B,15.86B,15.74B,15.78B,15.87B,15.89B,15.72B,15.50B,15.16B,14.81B,14.49B,14.18B,13.86B,13.52B,13.14B,12.75B,12.51B,12.71B,12.44B,12.22B,11.92B,11.69B,11.27B,10.83B,,10.24B,9.951B,9.64B,9.456B,9.240B,9.124B,8.988B,8.902B,8.605B,8.424B,8.219B,,7.636B,7.340B,7.036B,6.849B,6.602B,6.271B,5.994B,5.739B,5.468B,5.271B,5.038B,4.811B,4.704B,4.537B,4.270B,4.158B,3.995B,4.006B,3.917B,3.784B,3.639B,3.544B,3.545B,3.343B,3.177B,3.203B,2.951B,2.830B,2.661B,2.490B,2.374B,2.343B,2.362B,2.266B,2.088B,1.953B,1.867B,1.802B,1.734B,1.717B,1.669B,1.703B,1.614B,1.557B,1.508B,1.476B,1.400B,1.361B,1.100B,1.16B,1.055B,705.80M
Accumulated D&A,-10.69B,-10.44B,-10.16B,-9.875B,-9.731B,-9.437B,-9.166B,-9.396B,-9.69B,-9.645B,-9.523B,-9.497B,-9.42B,-9.295B,-9.364B,-9.267B,-9.084B,-8.896B,-8.663B,-8.455B,-8.221B,-8.091B,-7.86B,-7.643B,-7.431B,-7.235B,-7.059B,-6.861B,-6.731B,-6.722B,-6.60B,-6.456B,-6.294B,-6.149B,-6.046B,-5.919B,-5.765B,-5.682B,-5.555B,-5.402B,-5.254B,-5.166B,-5.082B,-4.968B,-4.831B,-4.692B,-4.551B,-4.413B,-4.286B,-4.144B,-4.007B,-3.897B,-3.765B,-3.64B,-3.517B,-3.403B,-3.296B,-3.364B,-3.262B,-3.21B,-3.198B,-3.242B,-3.198B,-3.15B,,-3.066B,-3.001B,-2.906B,-2.81B,-2.720B,-2.618B,-2.529B,-2.456B,-2.397B,-2.319B,-2.232B,,-2.067B,-1.993B,-1.914B,-1.841B,-1.782B,-1.712B,-1.650B,-1.601B,-1.545B,-1.484B,-1.424B,-1.376B,-1.323B,-1.265B,-1.240B,-1.188B,-1.153B,-1.103B,-1.054B,-1.005B,-958.30M,-921.40M,-878.80M,-837.80M,-799.80M,-762.10M,-724.40M,-688.30M,-651.80M,-619.10M,-588.00M,-559.10M,-531.60M,-486.80M,-460.40M,-458.80M,-436.70M,-428.70M,-414.40M,-406.10M,-387.00M,-391.10M,-371.70M,-353.10M,-336.00M,-338.90M,-321.10M,-325.10M,-275.50M,-234.80M,-173.50M,-125.70M
Net PP&E,18.37B,19.19B,19.16B,19.28B,19.52B,19.28B,19.07B,18.77B,18.54B,18.16B,17.68B,17.29B,17.04B,16.55B,16.29B,15.96B,15.60B,14.93B,14.86B,14.61B,14.29B,13.96B,13.73B,13.42B,13.39B,13.20B,13.16B,13.13B,12.77B,12.57B,12.34B,12.10B,12.13B,11.83B,11.72B,10.50B,10.58B,10.57B,10.63B,10.62B,10.63B,10.70B,10.66B,10.81B,11.04B,11.20B,11.17B,11.09B,10.87B,10.67B,10.49B,10.28B,10.09B,9.875B,9.624B,9.351B,9.212B,9.345B,9.178B,9.01B,8.723B,8.444B,8.072B,7.683B,,7.175B,6.95B,6.734B,6.646B,6.520B,6.506B,6.459B,6.445B,6.208B,6.105B,5.987B,,5.568B,5.347B,5.122B,5.008B,4.821B,4.559B,4.345B,4.138B,3.923B,3.787B,3.614B,3.436B,3.381B,3.273B,3.03B,2.969B,2.842B,2.904B,2.863B,2.779B,2.681B,2.622B,2.667B,2.505B,2.377B,2.441B,2.227B,2.141B,2.009B,1.871B,1.786B,1.784B,1.830B,1.780B,1.628B,1.494B,1.431B,1.374B,1.32B,1.310B,1.282B,1.312B,1.242B,1.204B,1.172B,1.137B,1.079B,1.036B,824.40M,925.20M,881.50M,580.10M
Goodwill,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,970.00M,971.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,296.00M,,,313.00M,399.00M,403.00M,406.00M,410.00M,413.00M,416.00M,419.00M,423.00M,426.00M,430.00M,434.00M,460.00M,464.00M,469.00M,474.00M,479.00M,363.00M,366.00M,369.00M,372.00M,166.00M,123.00M,127.00M,132.00M,138.00M,144.00M,151.00M,147.00M,155.00M,,184.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80M,20.00M,
Goodwill and Intangibles,1.266B,970.00M,970.00M,1.283B,1.369B,1.373B,1.376B,1.38B,1.383B,1.386B,1.389B,1.393B,1.396B,1.40B,1.404B,1.43B,1.434B,1.439B,1.444B,1.449B,1.333B,1.336B,1.339B,1.342B,1.136B,1.093B,1.097B,1.102B,1.108B,1.114B,1.121B,1.117B,1.125B,970.00M,1.155B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80M,20.00M,
Long Term Investments,,,,,,,,,,,,,,35.00M,45.00M,41.00M,,40.00M,40.00M,31.00M,35.00M,36.00M,39.00M,37.00M,44.00M,44.00M,41.00M,43.00M,41.00M,42.00M,59.00M,73.00M,97.00M,,89.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,,,54.00M,65.00M,61.00M,65.00M,68.00M,72.00M,76.00M,79.00M,83.00M,86.00M,90.00M,,,,94.00M,,,,,,,,,14.00M,27.00M,54.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,49.00M,,432.00M,150.00M,95.00M,333.00M,275.00M,175.00M,136.00M,84.00M,92.00M,77.00M,120.00M,,,,9.00M,6.00M,1.00M,4.00M,,86.00M,271.00M,183.00M,145.00M,80.00M,31.00M,201.00M,306.00M,294.00M,154.00M,264.00M,253.00M,,312.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,232.00M,653.00M,207.00M,197.00M,164.00M,174.00M,178.00M,172.00M,161.00M,151.00M,149.00M,131.00M,138.00M,225.00M,235.00M,232.00M,150.00M,172.00M,134.00M,109.00M,136.00M,131.00M,198.00M,180.00M,175.00M,157.00M,158.00M,153.00M,148.00M,139.00M,149.00M,157.00M,121.00M,487.00M,247.00M,589.00M,606.00M,535.00M,389.00M,288.00M,277.00M,275.00M,272.00M,370.00M,375.00M,1.676B,3.163B,1.89B,1.455B,987.00M,1.06B,954.00M,765.00M,911.00M,1.362B,1.28B,1.171B,1.292B,1.119B,1.009B,442.00M,415.00M,270.00M,188.00M,,99.00M,107.00M,94.00M,76.00M,73.87M,69.50M,64.61M,31.44M,34.60M,34.58M,34.94M,,19.29M,12.92M,13.04M,13.24M,8.20M,4.40M,4.50M,4.231M,4.00M,4.10M,4.20M,4.051M,4.10M,4.20M,4.10M,3.266M,3.30M,3.40M,3.50M,3.70M,3.60M,3.10M,3.80M,3.20M,3.30M,2.20M,2.20M,2.60M,2.40M,2.40M,2.60M,2.60M,2.50M,2.50M,2.50M,3.00M,3.10M,3.00M,2.80M,2.80M,2.60M,2.60M,6.90M,6.90M,7.00M,7.10M,7.30M,7.40M,17.10M,8.20M,3.00M,3.30M
Total Long Term Assets,19.92B,20.82B,20.82B,20.98B,21.21B,21.28B,21.06B,20.70B,20.30B,19.97B,19.58B,19.10B,18.79B,18.21B,17.98B,17.67B,17.29B,16.59B,16.48B,16.20B,15.80B,15.55B,15.57B,15.16B,14.89B,14.59B,14.52B,14.68B,14.37B,14.16B,13.82B,13.71B,13.72B,13.29B,13.52B,11.08B,11.18B,11.10B,11.02B,10.91B,10.91B,10.97B,10.93B,11.18B,11.42B,12.87B,14.33B,12.98B,12.33B,11.65B,11.55B,11.24B,10.86B,10.79B,10.99B,10.63B,10.38B,10.64B,10.30B,10.02B,9.165B,8.859B,8.342B,7.871B,,7.274B,7.057B,6.828B,6.722B,6.594B,6.575B,6.523B,6.477B,6.242B,6.139B,6.021B,,5.588B,5.360B,5.135B,5.021B,4.829B,4.563B,4.350B,4.142B,3.927B,3.792B,3.618B,3.440B,3.385B,3.277B,3.034B,2.972B,2.846B,2.907B,2.866B,2.783B,2.684B,2.625B,2.670B,2.508B,2.380B,2.443B,2.229B,2.144B,2.012B,1.874B,1.788B,1.787B,1.833B,1.782B,1.630B,1.497B,1.434B,1.377B,1.323B,1.313B,1.284B,1.314B,1.249B,1.211B,1.178B,1.144B,1.086B,1.043B,841.50M,950.20M,904.50M,583.40M
Total Assets,25.90B,26.47B,26.37B,26.46B,26.24B,26.88B,26.46B,25.50B,25.11B,24.25B,23.92B,23.76B,23.29B,23.04B,22.45B,22.24B,21.31B,21.16B,21.08B,21.16B,19.72B,20.54B,20.89B,19.98B,19.34B,19.36B,19.38B,19.20B,18.60B,18.81B,18.52B,18.83B,18.07B,17.88B,18.94B,16.41B,15.46B,15.14B,14.99B,14.53B,14.27B,14.10B,14.03B,14.18B,14.07B,18.18B,23.26B,18.03B,16.77B,14.52B,14.85B,14.24B,13.46B,14.09B,15.34B,14.72B,14.00B,14.75B,13.78B,13.25B,11.34B,11.73B,10.81B,10.27B,9.693B,9.699B,9.638B,9.104B,8.954B,8.954B,9.048B,8.969B,8.997B,7.995B,7.469B,7.066B,6.67B,6.448B,6.259B,5.940B,5.654B,5.318B,5.282B,4.969B,4.716B,4.586B,4.569B,4.339B,4.246B,4.142B,4.036B,3.857B,3.723B,3.620B,3.572B,3.369B,3.256B,3.248B,3.192B,3.008B,2.823B,2.824B,2.714B,2.629B,2.576B,2.389B,2.348B,2.272B,2.293B,2.222B,2.100B,2.040B,1.837B,1.736B,1.595B,1.552B,1.471B,1.488B,1.447B,1.418B,1.415B,1.419B,1.372B,1.336B,1.308B,1.043B,1.078B,1.022B,646.20M
Accounts Payable,304.00M,1.274B,260.00M,256.00M,263.00M,266.00M,280.00M,189.00M,186.00M,165.00M,171.00M,181.00M,138.00M,148.00M,227.00M,191.00M,178.00M,170.00M,170.00M,181.00M,123.00M,189.00M,221.00M,187.00M,189.00M,1.134B,1.232B,1.25B,174.00M,1.14B,1.153B,1.208B,1.057B,1.083B,1.049B,916.00M,739.00M,707.00M,787.00M,690.00M,746.00M,694.00M,732.00M,693.00M,668.00M,701.00M,903.00M,787.00M,759.00M,735.00M,746.00M,643.00M,643.00M,568.00M,609.00M,585.00M,524.00M,495.00M,462.00M,471.00M,420.00M,418.00M,464.00M,443.00M,,323.00M,341.00M,367.00M,362.00M,371.25M,383.75M,410.46M,504.83M,397.31M,336.03M,316.11M,,213.06M,199.44M,209.08M,266.74M,170.10M,176.70M,161.00M,157.42M,197.40M,165.50M,149.70M,160.89M,164.50M,142.30M,143.70M,214.23M,133.10M,107.50M,125.90M,116.50M,148.10M,141.80M,137.80M,117.60M,132.50M,123.90M,108.30M,94.00M,90.00M,86.90M,82.90M,78.40M,73.50M,71.40M,64.50M,55.00M,47.90M,51.60M,46.90M,51.20M,41.30M,45.70M,55.70M,48.00M,35.80M,40.30M,33.10M,,,,,
Current Tax Payable,306.00M,70.00M,342.00M,456.00M,288.00M,257.00M,349.00M,338.00M,260.00M,259.00M,400.00M,425.00M,252.00M,228.00M,379.00M,478.00M,241.00M,286.00M,355.00M,429.00M,244.00M,192.00M,592.00M,278.00M,211.00M,116.00M,119.00M,58.00M,195.00M,,138.00M,,69.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00M,11.00M,,,,,,,35.22M,40.20M,19.57M,,40.53M,54.76M,45.77M,,51.10M,68.80M,32.30M,,33.70M,42.40M,32.00M,,6.50M,37.70M,,,,,,,3.20M,,1.60M,,27.00M,13.40M,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,1.043B,,801.00M,865.00M,933.00M,762.00M,781.00M,772.00M,931.00M,779.00M,780.00M,753.00M,856.00M,708.00M,781.00M,716.00M,831.00M,908.00M,730.00M,735.00M,917.00M,854.00M,857.00M,894.00M,912.00M,,,,805.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
