Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03
Unrealized Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-274.00M,393.00M,-129.00M,10.00M,-171.00M,-16.00M,166.00M,21.00M,14.00M,,-70.00M,70.00M,189.00M,17.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.00M,3.00M,-7.00M,16.00M,4.00M,5.00M,37.00M,-26.00M,26.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess Tax Benefit from Stock Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.00M,3.00M,0.00,-3.00M,3.00M,,-28.00M,29.00M,-29.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,21.00M,-43.00M,-44.00M,-17.00M,-183.00M,83.00M,74.00M,25.00M,-2.00M,205.00M,62.00M,-7.00M,268.00M,71.00M,313.00M,-282.00M,-423.00M,-128.00M,-429.00M,-52.00M,-477.00M,-124.00M,97.00M,-6.00M,-5.00M,160.00M,-52.00M,28.00M,-19.00M,432.00M,-346.00M,287.00M,293.00M,-210.00M,-325.00M,199.00M,148.00M,30.00M,-280.00M,-8.00M,-11.00M,39.00M,56.00M,-41.00M,49.00M,47.00M,-731.00M,325.00M,-18.00M,-6.00M,26.00M,-153.00M,68.00M,89.00M,16.00M,-67.00M,-60.00M,-948.00M,1.003B,-28.00M,123.00M,-109.00M,27.00M,-27.00M,33.00M,16.00M,27.00M,7.00M,337.00M,51.00M,175.00M,163.00M,-392.97M,-101.07M,685.83M,-77.69M,-328.91M,-138.11M,184.02M,319.92M,-57.20M,46.20M,264.10M,271.70M,-514.29M,113.90M,213.70M,197.30M,-336.91M,84.20M,174.30M,91.00M,-232.64M,67.30M,183.00M,152.70M,-23.30M,20.80M,172.30M,129.90M,-32.00M,59.80M,104.80M,113.30M,-8.10M,131.30M,32.90M,61.70M,8.50M,49.10M,70.00M,48.90M,59.00M,38.70M,57.30M,18.50M,41.60M,23.30M,67.00M,26.40M,12.70M,38.00M,44.50M,34.30M
Change in Receivables,198.00M,-88.00M,18.00M,-222.00M,226.00M,-13.00M,-81.00M,-15.00M,-79.00M,0.00,12.00M,-35.00M,305.00M,-320.00M,-14.00M,-21.00M,-2.00M,4.00M,40.00M,-130.00M,137.00M,-22.00M,11.00M,-72.00M,57.00M,73.00M,-50.00M,-97.00M,74.00M,-2.00M,-37.00M,-68.00M,70.00M,11.00M,-20.00M,-87.00M,40.00M,42.00M,-41.00M,-67.00M,56.00M,12.00M,-6.00M,-22.00M,176.00M,62.00M,-97.00M,-70.00M,47.00M,-5.00M,-43.00M,-37.00M,24.00M,2.00M,-18.00M,-13.00M,76.00M,-42.00M,42.00M,-85.00M,-1.00M,-24.00M,-3.00M,-47.00M,11.00M,-15.00M,31.00M,16.00M,-49.00M,4.00M,4.00M,-62.00M,24.00M,42.78M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Payables and Accrued Expense,538.00M,106.00M,-89.00M,-257.00M,465.00M,160.00M,421.00M,-501.00M,390.00M,86.00M,-335.00M,92.00M,-51.00M,247.00M,-288.00M,313.00M,537.00M,381.00M,-134.00M,177.00M,122.00M,-534.00M,424.00M,24.00M,158.00M,-97.00M,162.00M,120.00M,72.00M,-187.00M,76.00M,225.00M,-13.00M,-39.00M,67.00M,238.00M,4.00M,-6.00M,280.00M,-85.00M,101.00M,-146.00M,104.00M,0.00,-52.00M,-379.00M,287.00M,46.00M,923.00M,-144.00M,447.00M,383.00M,-50.00M,-744.00M,254.00M,317.00M,-151.00M,215.00M,198.00M,593.00M,-162.00M,111.00M,159.00M,123.00M,149.00M,-72.00M,59.00M,-7.00M,-11.00M,-129.00M,77.00M,-86.00M,135.47M,67.03M,,,129.44M,-21.33M,21.33M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Current Assets,44.00M,80.00M,86.00M,29.00M,16.00M,-30.00M,-35.00M,-178.00M,2.00M,-64.00M,-119.00M,-81.00M,-58.00M,-16.00M,-49.00M,4.00M,63.00M,34.00M,-7.00M,13.00M,149.00M,7.00M,-21.00M,7.00M,37.00M,-64.00M,6.00M,-25.00M,60.00M,-74.00M,-39.00M,-51.00M,-196.00M,138.00M,-46.00M,-92.00M,-2.00M,8.00M,4.00M,-18.00M,-20.00M,11.00M,-28.00M,10.00M,77.00M,-48.00M,-270.00M,220.00M,-11.00M,-70.00M,-92.00M,-56.00M,40.00M,120.00M,-87.00M,14.00M,34.00M,-84.00M,3.00M,-12.00M,-11.00M,-22.00M,4.00M,-15.00M,-4.00M,-7.00M,-7.00M,-1.00M,5.00M,-21.00M,-11.00M,17.00M,-11.31M,2.279M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Current Liabilities,-67.00M,-87.00M,-54.00M,-69.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,-485.00M,-91.00M,64.00M,512.00M,-379.00M,-63.00M,86.00M,356.00M,-170.00M,7.00M,-44.00M,288.00M,-312.00M,-28.00M,105.00M,267.00M,-165.00M,-26.00M,322.00M,,,,,,-246.00M,28.00M,218.00M,,68.00M,,-238.00M,238.00M,-111.00M,-13.00M,174.00M,,-85.00M,-34.00M,-30.00M,111.00M,-180.24M,180.24M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Working Cap,-457.00M,-17.00M,-30.00M,944.00M,-512.00M,52.00M,100.00M,866.00M,-459.00M,-118.00M,2.00M,918.00M,-459.00M,-78.00M,79.00M,685.00M,-523.00M,-301.00M,201.00M,717.00M,-480.00M,-108.00M,153.00M,761.00M,-411.00M,-96.00M,200.00M,707.00M,-354.00M,-5.00M,-27.00M,720.00M,442.00M,-251.00M,71.00M,,,,,,,,60.00M,-60.00M,-2.735B,-1.94B,2.435B,,,,-210.00M,210.00M,-169.00M,10.00M,29.00M,280.00M,143.00M,946.00M,-1.164B,195.00M,-182.00M,-15.00M,197.00M,,,,-123.00M,123.00M,-118.00M,118.00M,,,73.35M,,-299.55M,299.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Working Capital,256.00M,-6.00M,-69.00M,425.00M,195.00M,169.00M,405.00M,172.00M,-146.00M,-96.00M,-440.00M,894.00M,-263.00M,-167.00M,-272.00M,981.00M,75.00M,118.00M,100.00M,777.00M,-72.00M,-657.00M,567.00M,720.00M,-159.00M,-184.00M,318.00M,705.00M,-148.00M,-268.00M,-27.00M,826.00M,-182.00M,-232.00M,136.00M,571.00M,-184.00M,-19.00M,329.00M,186.00M,-33.00M,-116.00M,86.00M,216.00M,-2.846B,-2.333B,2.46B,463.00M,794.00M,-245.00M,424.00M,500.00M,-155.00M,-612.00M,178.00M,598.00M,-144.00M,1.063B,-703.00M,691.00M,-288.00M,50.00M,119.00M,299.00M,45.00M,-107.00M,134.00M,131.00M,-258.00M,-62.00M,40.00M,-20.00M,41.27M,292.34M,-299.55M,299.55M,161.87M,-21.33M,21.33M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operations,824.00M,1.092B,966.00M,1.105B,989.00M,1.272B,1.63B,1.002B,563.00M,996.00M,745.00M,1.625B,709.00M,856.00M,1.112B,1.616B,324.00M,835.00M,627.00M,1.452B,204.00M,240.00M,1.339B,1.119B,289.00M,428.00M,777.00M,983.00M,231.00M,463.00M,145.00M,1.225B,371.00M,-217.00M,237.00M,965.00M,269.00M,379.00M,540.00M,373.00M,492.00M,73.00M,134.00M,286.00M,-2.545B,-2.276B,2.336B,964.00M,1.094B,154.00M,980.00M,617.00M,143.00M,-320.00M,832.00M,751.00M,31.00M,577.00M,646.00M,864.00M,-49.00M,359.00M,430.00M,417.00M,290.00M,141.00M,638.00M,267.00M,114.00M,20.00M,293.00M,93.00M,234.45M,345.34M,484.22M,420.60M,255.15M,231.60M,395.97M,415.56M,219.20M,109.40M,362.40M,310.70M,193.84M,183.90M,293.10M,215.30M,169.69M,126.80M,220.60M,93.50M,169.33M,82.00M,222.20M,141.70M,108.50M,49.70M,193.80M,104.40M,78.40M,82.10M,129.60M,122.60M,141.50M,145.60M,47.40M,58.20M,106.70M,48.80M,68.90M,40.10M,33.40M,32.70M,47.10M,-10.00M,2.60M,26.30M,70.60M,12.40M,41.10M,43.80M,46.10M,37.00M
Net Change in Capital Expenditures,-261.00M,-376.00M,-230.00M,-160.00M,-543.00M,-463.00M,-537.00M,-433.00M,-533.00M,-654.00M,-599.00M,-463.00M,-713.00M,-497.00M,-488.00M,-449.00M,-836.00M,-262.00M,-450.00M,-595.00M,-488.00M,-433.00M,-500.00M,-407.00M,-452.00M,-268.00M,-193.00M,-534.00M,-399.00M,-406.00M,-416.00M,-127.00M,-420.00M,-276.00M,-215.00M,-57.00M,-95.00M,-100.00M,-159.00M,-139.00M,-114.00M,-199.00M,-187.00M,-85.00M,-158.00M,-178.00M,-223.00M,-364.00M,-350.00M,-318.00M,-338.00M,-325.00M,-353.00M,-381.00M,-403.00M,-262.00M,-204.00M,-255.00M,-280.00M,-407.00M,-409.00M,-496.00M,-510.00M,-360.00M,-383.00M,-337.00M,-325.00M,-193.00M,-231.00M,-119.00M,-144.00M,-109.00M,-331.05M,-206.03M,-206.43M,-254.33M,-335.14M,-303.49M,-304.21M,-191.81M,-265.40M,-333.60M,-279.70M,-289.10M,-274.10M,-201.20M,-235.80M,-236.00M,-111.43M,-165.00M,-296.60M,-115.90M,-182.13M,-161.60M,-201.30M,-132.40M,-156.50M,-213.80M,-157.00M,-201.30M,-174.70M,-240.40M,-252.20M,-121.30M,-128.00M,-280.90M,-5.40M,-109.90M,-74.20M,-78.00M,-174.20M,-82.80M,-80.10M,-146.70M,-78.10M,-36.20M,-111.10M,-60.10M,-89.70M,-56.80M,-50.10M,-65.00M,-75.50M,-71.30M
Net Change in PP&E,0.00,0.00,0.00,0.00,-5.00M,-8.00M,-17.00M,-24.00M,-13.00M,-16.00M,-48.00M,-49.00M,-39.00M,-33.00M,-26.00M,-11.00M,-26.00M,-32.00M,-22.00M,-22.00M,-22.00M,-27.00M,-19.00M,-12.00M,,,,,949.00M,-406.00M,-416.00M,-127.00M,-420.00M,-276.00M,-215.00M,-57.00M,-95.00M,-100.00M,-159.00M,-139.00M,-114.00M,-199.00M,-187.00M,-85.00M,-158.00M,-178.00M,-223.00M,-364.00M,-350.00M,-318.00M,-338.00M,-325.00M,-353.00M,-381.00M,-403.00M,-262.00M,-204.00M,-255.00M,-280.00M,-407.00M,-409.00M,-496.00M,-510.00M,-360.00M,-383.00M,-337.00M,-325.00M,-193.00M,-231.00M,-119.00M,-144.00M,-109.00M,-331.05M,-206.03M,-206.43M,-254.33M,-335.14M,-303.49M,-304.21M,-191.81M,-265.40M,-333.60M,-279.70M,-289.10M,-274.10M,-201.20M,-235.80M,-236.00M,-111.43M,-165.00M,-296.60M,-115.90M,-182.13M,-161.60M,-201.30M,-132.40M,-156.50M,-213.80M,-157.00M,-201.30M,-174.70M,-240.40M,-252.20M,-121.30M,-128.00M,-280.90M,-5.40M,-109.90M,-73.90M,-78.00M,-174.20M,-82.80M,-80.00M,-146.70M,-78.10M,-36.20M,-108.60M,-60.10M,-89.70M,-56.80M,-49.50M,-65.00M,-75.50M,-71.30M
Net Divestitures (Acquisitions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,-35.00M,,0.00,0.00,0.00,,,,,,,,,,,,,,,-20.00M,0.00,20.00M,6.00M,-6.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,5.00M,16.00M,-21.00M,324.00M,-125.00M,-146.00M,-156.00M,360.00M,-202.00M,34.00M,16.00M,-7.00M,-126.00M,-92.00M,-181.00M,274.00M,-112.00M,3.00M,53.00M,293.00M,22.00M,390.00M,-356.00M,49.00M,198.00M,-91.00M,-106.00M,62.00M,210.00M,136.00M,54.00M,115.00M,355.00M,139.00M,-339.00M,-174.00M,75.00M,-213.00M,-451.00M,-183.00M,-144.00M,-99.00M,-190.00M,-553.00M,616.00M,131.00M,-1.04B,238.00M,-60.00M,3.00M,-195.00M,54.00M,-14.00M,42.00M,-77.00M,-68.00M,-66.00M,-185.00M,0.00,257.00M,-36.00M,16.00M,-19.00M,39.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Other Investing Changes,,,,,0.00,5.00M,,,,,,,,5.00M,-5.00M,,2.00M,0.00,-9.00M,,-2.00M,-1.00M,-1.00M,,,,,,,-6.00M,6.00M,,,,,,,,,,1.00M,0.00,1.00M,,,,,,,,,,0.00,20.00M,0.00,1.00M,-6.00M,6.00M,0.00,-6.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing,144.00M,-360.00M,-251.00M,164.00M,-668.00M,-604.00M,-693.00M,-73.00M,-735.00M,-620.00M,-583.00M,-470.00M,-839.00M,-584.00M,-674.00M,-175.00M,-946.00M,-259.00M,-406.00M,-302.00M,-468.00M,-44.00M,-857.00M,-358.00M,-254.00M,-359.00M,-299.00M,-472.00M,-189.00M,-276.00M,-356.00M,-12.00M,-65.00M,-137.00M,-589.00M,-231.00M,-20.00M,-313.00M,-610.00M,-322.00M,-257.00M,-298.00M,-376.00M,-638.00M,458.00M,-47.00M,-1.263B,-126.00M,-410.00M,-315.00M,-533.00M,-271.00M,-367.00M,-339.00M,-480.00M,-309.00M,-270.00M,-440.00M,-280.00M,-156.00M,-520.00M,-480.00M,-529.00M,-321.00M,-383.00M,-337.00M,-325.00M,-193.00M,-231.00M,-119.00M,-144.00M,-109.00M,-331.05M,-206.03M,-206.43M,-254.33M,-335.14M,-303.49M,-304.21M,-191.81M,-265.40M,-333.60M,-279.70M,-289.10M,-274.10M,-201.20M,-235.80M,-236.00M,-111.43M,-165.00M,-296.60M,-115.90M,-182.13M,-161.60M,-201.30M,-132.40M,-156.50M,-213.80M,-157.00M,-201.30M,-174.70M,-240.40M,-252.20M,-121.30M,-128.00M,-280.90M,-5.40M,-109.90M,-73.90M,-78.00M,-174.20M,-82.80M,-80.00M,-146.70M,-78.10M,-36.20M,-108.70M,-60.10M,-89.70M,-56.80M,-49.50M,-65.00M,-75.50M,-71.30M
Net Change in Long Term Debt,-370.00M,-70.00M,-76.00M,-99.00M,-87.00M,-98.00M,-75.00M,-82.00M,542.00M,-106.00M,-59.00M,-369.00M,95.00M,-68.00M,-47.00M,-56.00M,457.00M,-78.00M,-41.00M,-51.00M,-94.00M,-48.00M,-73.00M,-46.00M,-46.00M,-51.00M,-52.00M,-164.00M,-61.00M,-48.00M,-38.00M,-431.00M,-430.00M,-48.00M,-113.00M,-30.00M,-76.00M,-38.00M,-25.00M,-60.00M,-520.00M,501.00M,-74.00M,-35.00M,786.00M,-16.00M,594.00M,-19.00M,494.00M,-101.00M,-6.00M,-9.00M,-170.00M,-1.00M,-99.00M,-37.00M,-13.00M,-1.00M,-27.00M,192.00M,-73.00M,349.00M,15.00M,22.00M,-109.00M,-1.00M,-14.00M,-6.00M,-9.00M,-1.00M,-50.00M,-95.00M,136.44M,374.04M,-1.815M,-5.019M,-1.62M,-0.828M,-3.379M,-4.411M,254.80M,-0.70M,-3.20M,-7.40M,-1.959M,-4.90M,-1.90M,-110.10M,-2.501M,-3.60M,-1.70M,93.90M,-1.595M,-3.00M,-1.50M,-6.60M,-2.60M,-2.80M,-1.60M,95.40M,-0.70M,-2.90M,-1.60M,-57.90M,-84.20M,-15.50M,10.30M,-12.90M,-2.50M,96.10M,-2.60M,-1.90M,-35.20M,197.10M,8.30M,112.60M,70.10M,106.30M,2.60M,-4.60M,-39.20M,-2.50M,-1.10M,-4.60M
Net Change in Short Term Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00M,0.00,-44.00M,,491.00M,-317.00M,-91.00M,,91.00M,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
