Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.00M,771.00M,693.00M,,712.00M,752.00M,659.00M,677.00M,682.00M,672.00M,618.00M,601.00M,633.00M,651.00M,642.00M,659.00M,582.00M,561.00M,516.00M,633.00M,512.00M,584.00M,474.00M,493.00M,469.00M,411.00M,415.00M,478.00M,435.00M,407.00M,398.00M,458.00M,383.00M,391.00M,393.00M,485.00M,580.00M,335.00M,346.00M,396.00M,306.00M,313.00M,341.00M,417.00M,314.00M,308.00M,285.00M,155.00M,309.00M,503.00M,126.00M,339.00M,327.00M,319.00M,299.00M,373.00M,290.00M,298.00M,269.00M,340.20M,264.20M,304.50M,280.00M,358.60M,297.20M,295.20M,255.00M,374.60M,263.30M,376.10M,290.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,1.513B,1.848B,1.597B,1.168B,1.454B,1.541B,1.202B,1.222B,1.376B,1.467B,1.263B,973.00M,1.139B,1.357B,1.097B,870.00M,1.092B,1.175B,1.087B,873.00M,1.042B,1.153B,937.00M,783.00M,942.00M,953.00M,826.00M,724.00M,658.00M,799.00M,636.00M,611.00M,-1.536B,1.56B,1.446B,1.302B,-1.384B,1.575B,1.427B,1.334B,1.466B,1.46B,1.409B,1.311B,1.303B,1.323B,1.308B,1.265B,1.292B,1.232B,1.159B,1.105B,1.246B,1.166B,1.20B,1.058B,1.073B,1.119B,1.002B,965.00M,994.00M,972.00M,919.00M,911.00M,961.00M,892.00M,863.00M,844.00M,884.00M,1.004B,750.00M,783.00M,819.00M,747.00M,732.00M,750.00M,835.00M,731.00M,718.00M,689.00M,580.00M,729.00M,891.00M,549.00M,852.00M,812.00M,817.00M,684.00M,783.00M,721.00M,706.00M,676.00M,693.80M,682.00M,674.70M,684.70M,734.90M,658.20M,696.10M,583.70M,685.00M,614.50M,680.60M,578.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,956.00M,1.595B,1.399B,1.125B,1.118B,962.00M,1.119B,1.045B,677.00M,1.348B,1.279B,1.262B,600.00M,1.398B,917.00M,1.238B,885.00M,1.488B,1.155B,1.133B,1.504B,1.163B,951.00M,738.00M,640.00M,1.185B,981.00M,734.00M,731.00M,742.00M,1.00B,803.00M,1.015B,911.00M,958.00M,428.00M,473.00M,1.125B,709.00M,939.00M,557.00M,849.00M,605.00M,583.00M,706.00M,1.336B,313.00M,443.00M,421.00M,900.00M,664.00M,298.00M,317.00M,872.00M,435.00M,473.00M,378.00M,559.00M,346.00M,234.00M,267.00M,523.00M,457.00M,261.00M,260.00M,565.00M,414.00M,294.00M,245.00M,267.00M,409.00M,256.00M,250.00M,540.00M,380.00M,240.00M,146.00M,511.00M,347.00M,237.00M,363.00M,470.00M,135.00M,357.00M,187.00M,528.00M,317.00M,218.00M,217.00M,464.00M,321.00M,225.00M,189.10M,459.10M,299.20M,223.30M,188.20M,447.90M,312.20M,248.80M,198.20M,427.50M,288.20M,234.60M,1.232B,1.603B,1.350B,1.132B,1.271B,1.569B,1.262B,1.093B,1.181B,1.518B,1.387B,1.163B,1.582B,1.774B,1.575B,1.358B,1.471B,1.812B,1.530B,1.366B,2.222B,1.385B,1.174B,1.072B,1.100B,1.308B,1.062B,968.30M,979.10M,1.170B,999.10M,943.00M,1.032B,1.263B,1.062B,991.00M,904.10M,1.217B,967.60M,852.20M
Non-Operating Interest Income,13.00M,16.00M,13.00M,12.00M,12.00M,11.00M,10.00M,18.00M,22.00M,20.00M,19.00M,19.00M,21.00M,23.00M,20.00M,18.00M,21.00M,22.00M,22.00M,21.00M,20.00M,18.00M,21.00M,22.00M,20.00M,20.00M,19.00M,19.00M,24.00M,20.00M,22.00M,20.00M,21.00M,21.00M,16.00M,21.00M,22.00M,22.00M,28.00M,18.00M,20.00M,15.00M,17.00M,27.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,188.00M,746.00M,601.00M,714.00M,710.00M,168.00M,394.00M,226.00M,387.00M,381.00M,430.00M,360.00M,-382.00M,369.00M,602.00M,509.00M,299.00M,311.00M,280.00M,321.00M,321.00M,316.00M,305.00M,319.00M,296.00M,288.00M,266.00M,272.00M,243.00M,259.00M,270.00M,265.00M,260.00M,265.00M,256.00M,254.00M,247.00M,247.00M,247.00M,238.00M,218.00M,204.00M,215.00M,211.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-175.00M,-730.00M,-588.00M,-702.00M,-698.00M,-157.00M,-384.00M,-208.00M,-365.00M,-361.00M,-411.00M,-341.00M,403.00M,-346.00M,-582.00M,-491.00M,-278.00M,-289.00M,-258.00M,-300.00M,-301.00M,-298.00M,-284.00M,-297.00M,-276.00M,-268.00M,-247.00M,-253.00M,-219.00M,-239.00M,-248.00M,-245.00M,-239.00M,-244.00M,-240.00M,-233.00M,-225.00M,-225.00M,-219.00M,-220.00M,-198.00M,-189.00M,-198.00M,-184.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,255.00M,-9.00M,452.00M,257.00M,-132.00M,261.00M,178.00M,4.247B,-230.00M,233.00M,225.00M,1.345B,508.00M,155.00M,428.00M,149.00M,150.00M,103.00M,97.00M,103.00M,134.00M,78.00M,117.00M,142.00M,87.00M,78.00M,87.00M,-296.00M,56.00M,66.00M,98.00M,60.00M,147.00M,-102.00M,9.00M,41.00M,15.00M,60.00M,4.00M,51.00M,44.00M,55.00M,34.00M,-16.00M,24.00M,-20.00M,13.00M,15.00M,-74.00M,50.00M,41.00M,15.00M,123.00M,49.00M,49.00M,12.00M,0.00,81.00M,39.00M,38.00M,5.00M,52.00M,10.00M,20.00M,-6.00M,35.00M,24.00M,40.00M,10.00M,18.00M,47.00M,13.00M,-4.00M,46.00M,34.00M,15.00M,13.00M,46.00M,26.00M,7.00M,-148.00M,39.00M,32.00M,9.00M,-14.00M,21.00M,16.00M,7.00M,-25.00M,17.00M,4.00M,8.00M,-1.60M,4.40M,-8.50M,-1.40M,3.50M,9.20M,0.90M,5.40M,4.70M,17.90M,4.90M,8.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-175.00M,-730.00M,-588.00M,-702.00M,-698.00M,-157.00M,-384.00M,-208.00M,-365.00M,-361.00M,-411.00M,-341.00M,403.00M,-346.00M,-582.00M,-491.00M,-278.00M,-289.00M,-258.00M,-300.00M,-301.00M,-298.00M,-284.00M,-297.00M,-276.00M,-268.00M,-247.00M,-253.00M,-219.00M,-239.00M,-248.00M,-245.00M,-239.00M,-244.00M,-240.00M,-233.00M,-225.00M,-225.00M,-219.00M,-220.00M,-198.00M,-189.00M,-198.00M,-184.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,1.036B,856.00M,1.263B,680.00M,288.00M,1.066B,913.00M,5.084B,82.00M,1.22B,1.093B,2.266B,1.511B,1.207B,763.00M,896.00M,757.00M,1.302B,994.00M,936.00M,1.337B,943.00M,784.00M,583.00M,451.00M,995.00M,821.00M,185.00M,568.00M,569.00M,850.00M,618.00M,923.00M,565.00M,727.00M,236.00M,263.00M,960.00M,494.00M,770.00M,403.00M,715.00M,441.00M,383.00M,515.00M,1.135B,160.00M,279.00M,232.00M,760.00M,532.00M,156.00M,282.00M,758.00M,311.00M,328.00M,275.00M,492.00M,257.00M,159.00M,187.00M,463.00M,352.00M,166.00M,164.00M,494.00M,350.00M,253.00M,174.00M,207.00M,373.00M,185.00M,167.00M,499.00M,328.00M,166.00M,78.00M,479.00M,305.00M,178.00M,152.00M,447.00M,105.00M,315.00M,75.00M,444.00M,265.00M,158.00M,112.00M,406.00M,247.00M,156.00M,117.30M,392.20M,217.10M,146.30M,109.60M,377.60M,229.70M,165.00M,115.00M,356.00M,203.50M,151.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,192.00M,58.00M,124.00M,74.00M,-26.00M,125.00M,226.00M,1.25B,-1.989B,364.00M,289.00M,675.00M,500.00M,418.00M,219.00M,242.00M,247.00M,421.00M,274.00M,286.00M,453.00M,279.00M,292.00M,153.00M,124.00M,297.00M,211.00M,144.00M,139.00M,154.00M,243.00M,157.00M,256.00M,158.00M,147.00M,-32.00M,0.00,240.00M,77.00M,214.00M,55.00M,182.00M,71.00M,19.00M,108.00M,361.00M,-49.00M,30.00M,8.00M,227.00M,127.00M,6.00M,14.00M,231.00M,75.00M,77.00M,53.00M,153.00M,54.00M,22.00M,6.00M,143.00M,95.00M,28.00M,19.00M,160.00M,111.00M,78.00M,45.00M,57.00M,123.00M,19.00M,49.00M,165.00M,109.00M,56.00M,13.00M,165.00M,101.00M,57.00M,32.00M,156.00M,28.00M,106.00M,-18.00M,157.00M,89.00M,50.00M,22.00M,144.00M,83.00M,55.00M,32.40M,142.10M,66.80M,52.60M,35.20M,137.20M,91.40M,65.20M,38.80M,133.80M,77.70M,57.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,844.00M,798.00M,1.139B,606.00M,314.00M,941.00M,687.00M,3.834B,2.071B,856.00M,804.00M,1.591B,1.011B,789.00M,544.00M,654.00M,510.00M,881.00M,720.00M,650.00M,884.00M,664.00M,492.00M,430.00M,327.00M,698.00M,610.00M,41.00M,429.00M,415.00M,607.00M,461.00M,667.00M,407.00M,580.00M,268.00M,263.00M,720.00M,417.00M,556.00M,348.00M,533.00M,370.00M,364.00M,407.00M,774.00M,209.00M,249.00M,224.00M,533.00M,405.00M,150.00M,268.00M,527.00M,236.00M,251.00M,222.00M,339.00M,203.00M,137.00M,181.00M,320.00M,257.00M,138.00M,145.00M,334.00M,239.00M,175.00M,129.00M,150.00M,250.00M,166.00M,118.00M,334.00M,219.00M,110.00M,65.00M,314.00M,204.00M,121.00M,120.00M,291.00M,77.00M,209.00M,93.00M,287.00M,176.00M,108.00M,90.00M,262.00M,164.00M,101.00M,84.90M,250.10M,150.30M,93.70M,74.40M,240.40M,138.30M,99.80M,76.20M,222.20M,125.80M,94.40M,85.70M,140.50M,110.50M,92.00M,101.20M,187.80M,103.50M,74.40M,42.30M,187.70M,74.70M,71.40M,41.40M,-568.50M,96.70M,39.40M,70.20M,158.60M,111.10M,70.60M,91.60M,174.90M,90.60M,90.70M,71.50M,151.40M,89.50M,90.50M,61.30M,152.40M,75.80M,75.90M,48.90M,137.60M,93.50M,92.30M,67.00M,127.00M,55.60M,53.10M
Income from Discontinued Operations,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.00,0.00,0.00,231.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-135.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-3.00M,,,0.00,,,-222.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,131.00M,81.00M,95.00M,74.00M,108.00M,64.00M,94.00M,597.00M,86.00M,-9.00M,-11.00M,-8.00M,-51.00M,-36.00M,-4.00M,-1.00M,-3.00M,-2.00M,-4.00M,0.00,0.00,-4.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-4.00M,-5.00M,-4.00M,-6.00M,-6.00M,-5.80M,-5.80M,-6.40M,-12.80M,-9.00M,-9.00M,-12.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,975.00M,879.00M,1.234B,680.00M,422.00M,1.005B,781.00M,4.431B,2.157B,847.00M,793.00M,1.583B,960.00M,753.00M,540.00M,653.00M,507.00M,879.00M,716.00M,650.00M,884.00M,660.00M,492.00M,430.00M,327.00M,698.00M,610.00M,272.00M,429.00M,415.00M,607.00M,461.00M,667.00M,407.00M,580.00M,268.00M,263.00M,720.00M,417.00M,556.00M,348.00M,533.00M,370.00M,364.00M,407.00M,774.00M,209.00M,249.00M,224.00M,533.00M,405.00M,150.00M,268.00M,527.00M,236.00M,251.00M,222.00M,339.00M,203.00M,137.00M,181.00M,320.00M,257.00M,138.00M,145.00M,331.00M,239.00M,175.00M,129.00M,150.00M,250.00M,-56.00M,118.00M,334.00M,219.00M,110.00M,65.00M,314.00M,204.00M,121.00M,120.00M,291.00M,77.00M,209.00M,93.00M,287.00M,176.00M,108.00M,90.00M,262.00M,164.00M,101.00M,84.90M,250.10M,150.30M,93.70M,74.40M,240.40M,138.30M,99.80M,76.20M,222.20M,125.80M,94.40M,85.70M,140.50M,110.50M,92.00M,101.20M,187.80M,103.50M,74.40M,42.30M,187.70M,74.70M,-64.20M,41.40M,-568.50M,96.70M,39.40M,70.20M,158.60M,111.10M,70.60M,91.60M,174.90M,90.60M,90.70M,71.50M,151.40M,89.50M,90.50M,61.30M,152.40M,75.80M,75.90M,48.90M,137.60M,93.50M,92.30M,67.00M,127.00M,55.60M,53.10M
