Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Other Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.26B,54.43B,53.37B,,51.64B,52.46B,50.79B,50.38B,48.98B,48.60B,47.99B,47.74B,44.96B,43.58B,43.21B,42.90B,41.18B,40.78B,39.94B,39.33B,38.21B,35.90B,35.09B,34.76B,34.36B,33.80B,33.08B,32.41B,32.21B,31.92B,30.55B,30.22B,29.22B,29.23B,29.10B,28.91B,,25.76B,,23.87B,,,,21.40B,,,,,,,,18.63B,,,,17.74B,,,,,,,,16.78B,,,,16.41B,,,,16.10B,15.95B,15.96B,15.47B
Construction in Progress,9.33B,8.891B,7.236B,7.198B,8.357B,8.708B,7.347B,6.67B,6.679B,6.492B,5.349B,5.388B,4.732B,7.15B,6.585B,6.519B,5.657B,6.218B,5.55B,3.939B,3.591B,4.538B,4.366B,4.773B,4.69B,4.562B,4.181B,5.905B,5.968B,7.174B,6.517B,5.887B,4.989B,4.587B,3.678B,4.511B,3.841B,4.382B,3.58B,3.275B,2.425B,4.27B,4.276B,3.252B,2.63B,3.061B,2.40B,1.998B,1.713B,1.699B,1.905B,1.888B,1.393B,1.345B,1.383B,1.342B,945.00M,805.00M,703.00M,1.576B,1.495B,1.912B,1.771B,1.559B,1.364B,,2.498B,,2.639B,,,,1.983B,,,,,,,,923.00M,,,,214.00M,,,,,,,,258.00M,,,,317.70M,,,,292.60M,274.10M,242.20M,480.70M
Gross PP&E,107.18B,103.74B,100.05B,98.16B,92.08B,90.32B,89.75B,88.12B,93.56B,92.55B,90.70B,89.17B,87.01B,85.86B,83.74B,82.32B,80.33B,79.20B,77.26B,74.68B,73.64B,72.91B,71.43B,70.37B,69.45B,67.86B,66.41B,65.49B,64.92B,63.43B,60.95B,59.26B,57.55B,56.22B,56.14B,55.30B,54.22B,53.36B,52.18B,51.27B,50.17B,49.22B,47.86B,46.46B,45.53B,44.25B,43.18B,41.94B,41.04B,39.90B,37.80B,36.98B,36.15B,35.70B,35.18B,34.42B,33.35B,33.02B,32.62B,32.12B,31.72B,31.14B,31.00B,30.66B,30.27B,29.59B,28.26B,27.53B,26.50B,25.16B,24.87B,24.22B,23.39B,22.75B,22.14B,21.43B,21.02B,20.58B,20.22B,19.87B,19.55B,19.17B,19.00B,18.35B,17.95B,17.99B,17.96B,17.91B,17.82B,17.63B,17.65B,17.52B,17.03B,16.90B,16.90B,16.81B,16.73B,26.54B,16.61B,16.49B,16.39B,16.23B,16.20B,15.95B
Accumulated D&A,-25.17B,-24.75B,-23.92B,-23.36B,-21.75B,-21.75B,-21.09B,-20.92B,-21.28B,-21.46B,-21.05B,-20.77B,-20.10B,-20.25B,-19.58B,-19.43B,-18.94B,-19.37B,-18.95B,-18.44B,-17.93B,-17.84B,-17.40B,-17.06B,-16.73B,-16.46B,-15.95B,-15.67B,-15.50B,-15.74B,-15.45B,-15.29B,-15.06B,-15.11B,-15.29B,-15.37B,-15.15B,-15.06B,-14.60B,-14.41B,-14.09B,-14.01B,-13.66B,-13.41B,-13.12B,-12.90B,-12.68B,-12.49B,-12.39B,-12.19B,-11.98B,-11.81B,-11.65B,-11.45B,-11.30B,-11.13B,-10.89B,-10.88B,-10.82B,-10.65B,-10.49B,-10.39B,-10.34B,-10.19B,-9.975B,-11.66B,-11.29B,-11.07B,-8.805B,-11.98B,-11.90B,-11.95B,-11.73B,-11.46B,-11.51B,-11.29B,-11.09B,-10.94B,-10.76B,-10.55B,-10.29B,-10.03B,-9.917B,-9.672B,-9.397B,-9.153B,-9.049B,-8.704B,-8.466B,-8.241B,-8.122B,-7.906B,-7.649B,-7.444B,-7.310B,-7.114B,-6.873B,-16.60B,-6.587B,-6.354B,-6.187B,-6.051B,-5.909B,-5.760B
Net PP&E,82.01B,79.00B,76.14B,74.79B,70.33B,68.57B,68.66B,67.20B,72.29B,71.09B,69.66B,68.40B,66.91B,65.62B,64.16B,62.89B,61.39B,59.84B,58.31B,56.23B,55.70B,55.07B,54.03B,53.31B,52.72B,51.40B,50.46B,49.82B,49.41B,47.69B,45.50B,43.97B,42.49B,41.12B,40.85B,39.94B,39.08B,38.30B,37.58B,36.85B,36.08B,35.22B,34.20B,33.05B,32.41B,31.34B,30.50B,29.45B,28.65B,27.71B,25.82B,25.17B,24.50B,24.25B,23.88B,23.28B,22.46B,22.14B,21.80B,21.47B,21.23B,20.74B,20.66B,20.47B,20.30B,17.92B,16.97B,16.46B,17.70B,13.17B,12.96B,12.27B,11.66B,11.28B,10.64B,10.14B,9.934B,9.642B,9.456B,9.316B,9.264B,9.142B,9.083B,8.674B,8.555B,8.838B,8.906B,9.204B,9.354B,9.392B,9.529B,9.615B,9.384B,9.457B,9.589B,9.699B,9.852B,9.937B,10.03B,10.13B,10.20B,10.18B,10.29B,10.19B
Goodwill,4.204B,4.129B,3.496B,3.488B,891.00M,,,,764.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,552.00M,,,,708.00M,,,,1.287B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,4.756B,4.129B,3.496B,3.488B,1.599B,,,,2.051B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,14.41B,13.81B,13.75B,13.10B,12.63B,12.85B,12.35B,12.81B,8.324B,8.877B,8.706B,8.384B,7.916B,7.83B,7.404B,7.058B,6.924B,6.805B,6.823B,6.772B,6.565B,6.414B,6.296B,6.014B,5.901B,5.659B,5.466B,5.394B,5.166B,5.194B,5.028B,5.041B,4.774B,4.599B,4.859B,4.818B,4.713B,4.618B,4.315B,4.479B,4.325B,979.00M,946.00M,939.00M,3.87B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,1.624B,1.649B,1.626B,1.339B,1.355B,1.375B,1.46B,1.441B,1.315B,1.546B,1.428B,1.462B,1.35B,1.394B,1.246B,1.391B,1.202B,1.304B,1.307B,1.222B,1.009B,842.00M,894.00M,984.00M,1.163B,1.011B,845.00M,902.00M,920.00M,944.00M,1.158B,1.067B,973.00M,499.00M,462.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.90M,110.90M,110.90M
Other Long Term Assets,2.762B,3.22B,3.187B,3.036B,6.813B,3.548B,3.142B,3.17B,2.907B,3.736B,3.74B,3.632B,3.335B,3.279B,3.069B,3.285B,3.239B,2.333B,2.239B,2.224B,2.187B,1.938B,1.919B,1.612B,1.426B,1.502B,1.514B,1.554B,1.629B,2.688B,2.795B,2.996B,1.92B,2.801B,2.271B,2.705B,2.689B,2.807B,2.59B,2.848B,2.534B,5.809B,5.437B,5.223B,2.234B,7.825B,7.766B,7.60B,7.692B,7.473B,6.817B,6.423B,6.493B,5.786B,5.519B,5.529B,5.554B,5.471B,4.777B,4.713B,4.58B,4.486B,4.183B,4.343B,4.168B,3.973B,3.912B,3.679B,3.577B,3.302B,3.362B,3.642B,4.199B,4.065B,4.059B,3.73B,3.585B,3.452B,3.13B,2.968B,2.804B,2.76B,2.626B,2.194B,2.208B,2.235B,2.309B,2.225B,1.994B,1.917B,1.902B,1.722B,1.662B,1.648B,1.613B,1.639B,1.622B,1.547B,1.551B,1.462B,1.465B,1.437B,1.368B,1.487B
Total Long Term Assets,110.28B,106.54B,103.08B,100.81B,97.31B,90.25B,89.60B,88.67B,90.78B,89.75B,86.94B,85.38B,82.58B,81.12B,78.91B,77.54B,75.68B,73.31B,70.86B,68.63B,67.66B,66.56B,65.49B,64.19B,63.46B,61.69B,60.48B,59.80B,59.20B,57.61B,55.54B,54.11B,52.32B,50.33B,49.74B,48.74B,47.74B,46.96B,45.91B,45.38B,44.12B,42.98B,41.54B,40.15B,39.43B,39.17B,38.26B,37.05B,36.34B,35.19B,32.64B,31.59B,30.99B,30.04B,29.40B,28.81B,28.02B,27.61B,26.58B,26.18B,25.81B,25.23B,24.84B,24.81B,24.46B,21.90B,20.88B,20.13B,21.28B,16.47B,16.33B,15.91B,15.86B,15.35B,14.70B,13.87B,13.52B,13.09B,12.59B,12.28B,12.07B,11.90B,11.71B,10.87B,10.76B,11.07B,11.22B,11.43B,11.35B,11.31B,11.43B,11.34B,11.05B,11.11B,11.20B,11.34B,11.47B,11.48B,11.58B,11.60B,11.67B,11.72B,11.77B,11.79B
Total Assets,117.69B,114.22B,110.55B,109.03B,103.70B,98.60B,95.49B,94.28B,97.96B,96.78B,92.89B,91.20B,89.99B,87.86B,85.42B,84.64B,82.48B,79.96B,77.20B,74.93B,74.60B,72.19B,71.59B,70.33B,69.31B,67.17B,65.22B,63.84B,64.44B,62.05B,60.39B,59.21B,57.19B,56.58B,54.56B,53.26B,52.99B,52.73B,51.21B,50.94B,48.46B,47.16B,46.40B,45.30B,44.82B,45.48B,43.75B,41.33B,40.12B,39.57B,37.34B,35.54B,35.82B,34.87B,33.76B,32.84B,33.00B,33.64B,29.97B,29.34B,28.33B,28.52B,27.21B,27.08B,26.94B,25.16B,23.42B,22.40B,23.18B,18.69B,18.15B,17.47B,17.46B,17.36B,16.56B,15.66B,15.30B,14.94B,14.20B,13.36B,13.44B,13.52B,13.31B,12.30B,12.03B,12.84B,12.84B,12.47B,12.45B,12.88B,12.75B,12.67B,12.22B,12.38B,12.25B,12.27B,12.46B,12.63B,12.62B,12.60B,12.62B,12.97B,12.87B,12.87B
Accounts Payable,3.631B,2.838B,2.598B,2.398B,2.386B,3.00B,2.298B,1.748B,3.235B,2.256B,1.814B,1.237B,3.447B,2.80B,1.774B,1.139B,2.529B,1.87B,1.517B,1.104B,1.354B,1.496B,1.475B,1.45B,1.20B,1.244B,1.279B,1.094B,1.281B,1.194B,1.134B,1.073B,1.191B,1.336B,1.28B,1.075B,1.124B,1.099B,1.316B,937.00M,992.00M,1.057B,1.255B,1.058B,1.062B,1.423B,1.912B,1.328B,1.204B,1.279B,1.247B,995.00M,1.06B,1.065B,1.061B,926.00M,1.245B,1.341B,1.074B,684.00M,762.00M,679.00M,793.00M,566.00M,542.00M,608.00M,728.00M,746.00M,458.00M,628.00M,619.00M,432.00M,473.00M,464.00M,622.00M,525.00M,564.00M,613.00M,547.00M,448.00M,407.00M,462.00M,369.00M,322.00M,338.00M,401.00M,353.00M,297.00M,368.00M,386.70M,362.50M,340.90M,308.00M,327.10M,300.80M,274.30M,305.10M,337.30M,302.30M,243.40M,311.30M,276.30M,271.70M,250.20M
Total Payables,3.631B,2.838B,2.598B,2.398B,2.386B,3.00B,2.298B,1.748B,3.235B,2.256B,1.814B,1.237B,3.447B,2.80B,1.774B,1.139B,2.529B,1.87B,1.517B,1.104B,1.354B,1.496B,1.475B,1.45B,1.20B,1.244B,1.279B,1.094B,1.281B,1.194B,1.134B,1.073B,1.191B,1.336B,1.28B,1.075B,1.124B,1.099B,1.316B,937.00M,992.00M,1.057B,1.255B,1.058B,1.062B,1.423B,1.912B,1.328B,1.204B,1.279B,1.247B,995.00M,1.06B,1.065B,1.061B,926.00M,1.245B,1.341B,1.074B,684.00M,762.00M,679.00M,793.00M,566.00M,542.00M,608.00M,728.00M,746.00M,458.00M,628.00M,619.00M,432.00M,473.00M,464.00M,622.00M,525.00M,564.00M,613.00M,547.00M,448.00M,407.00M,462.00M,369.00M,322.00M,338.00M,401.00M,353.00M,297.00M,368.00M,386.70M,362.50M,340.90M,308.00M,327.10M,300.80M,274.30M,305.10M,337.30M,302.30M,243.40M,311.30M,276.30M,271.70M,250.20M
Accrued Expenses,1.71B,2.153B,1.715B,1.328B,1.672B,1.836B,1.423B,1.493B,1.654B,1.794B,1.29B,1.337B,1.60B,1.642B,1.671B,1.473B,1.37B,1.812B,1.41B,1.006B,1.15B,1.587B,1.409B,1.013B,1.312B,1.233B,1.047B,850.00M,841.00M,1.215B,1.122B,985.00M,982.00M,1.105B,1.01B,742.00M,833.00M,712.00M,606.00M,461.00M,942.00M,605.00M,534.00M,438.00M,374.00M,2.858B,3.832B,2.817B,2.136B,2.625B,2.44B,2.272B,2.524B,2.828B,2.199B,1.945B,3.459B,4.677B,1.795B,1.962B,1.769B,2.248B,1.432B,1.41B,1.524B,1.538B,1.376B,1.297B,1.151B,1.471B,1.232B,1.424B,1.184B,1.51B,1.127B,1.063B,976.00M,1.162B,1.058B,1.003B,999.00M,1.276B,1.091B,995.00M,834.00M,1.131B,1.075B,837.00M,799.00M,1.140B,973.80M,850.00M,811.00M,952.00M,862.80M,839.30M,808.60M,975.80M,958.80M,775.90M,728.30M,879.20M,853.20M,851.10M
Payables and Accrued Expenses,5.341B,4.991B,4.313B,3.726B,4.058B,4.836B,3.721B,3.241B,4.889B,4.05B,3.104B,2.574B,5.047B,4.442B,3.445B,2.612B,3.899B,3.682B,2.927B,2.11B,2.504B,3.083B,2.884B,2.463B,2.512B,2.477B,2.326B,1.944B,2.122B,2.409B,2.256B,2.058B,2.173B,2.441B,2.29B,1.817B,1.957B,1.811B,1.922B,1.398B,1.934B,1.662B,1.789B,1.496B,1.436B,4.281B,5.744B,4.145B,3.34B,3.904B,3.687B,3.267B,3.584B,3.893B,3.26B,2.871B,4.704B,6.018B,2.869B,2.646B,2.531B,2.927B,2.225B,1.976B,2.066B,2.146B,2.104B,2.043B,1.609B,2.099B,1.851B,1.856B,1.657B,1.974B,1.749B,1.588B,1.54B,1.775B,1.605B,1.451B,1.406B,1.738B,1.46B,1.317B,1.172B,1.532B,1.428B,1.134B,1.167B,1.527B,1.336B,1.191B,1.119B,1.279B,1.164B,1.114B,1.114B,1.313B,1.261B,1.019B,1.040B,1.156B,1.125B,1.101B
Notes Payable,,,,,,,,,,,,,,490.00M,800.00M,912.00M,,1.137B,950.00M,625.00M,0.00,,,,,,,,,,,,,,,,,,250.00M,418.00M,,0.00,0.00,0.00,30.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,2.516B,2.515B,4.382B,2.301B,2.749B,2.46B,2.392B,2.964B,1.687B,2.074B,2.115B,2.309B,268.00M,628.00M,1.382B,1.56B,374.00M,1.026B,821.00M,1.12B,1.142B,685.00M,1.116B,1.869B,691.00M,915.00M,666.00M,1.501B,1.211B,1.053B,1.327B,1.739B,1.349B,1.835B,1.05B,1.378B,889.00M,1.085B,1.716B,2.517B,2.02B,1.581B,1.122B,646.00M,1.835B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,2.524B,3.128B,3.388B,8.029B,8.181B,3.079B,1.818B,1.173B,1.928B,2.54B,2.017B,3.016B,2.754B,2.364B,3.125B,2.145B,2.632B,2.497B,2.768B,3.457B,3.515B,3.885B,3.785B,3.822B,3.766B,3.933B,4.052B,3.557B,2.971B,2.583B,1.943B,1.649B,808.00M,597.00M,1.168B,1.588B,1.92B,1.703B,1.056B,977.00M,569.00M,662.00M,660.00M,1.294B,1.388B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,5.04B,5.643B,7.77B,10.33B,10.93B,5.539B,4.21B,4.137B,3.615B,4.614B,4.132B,5.325B,3.022B,3.482B,5.307B,4.617B,3.006B,4.66B,4.539B,5.202B,4.657B,4.57B,4.901B,5.691B,4.457B,4.848B,4.718B,5.058B,4.182B,3.636B,3.27B,3.388B,2.157B,2.432B,2.218B,2.966B,2.809B,2.788B,3.022B,3.912B,2.589B,2.243B,1.782B,1.94B,3.253B,4.22B,2.603B,1.734B,2.418B,2.968B,2.506B,2.686B,2.742B,2.27B,3.57B,3.619B,2.563B,1.945B,1.743B,1.327B,1.717B,1.169B,984.00M,1.269B,1.287B,1.885B,2.071B,2.469B,2.302B,1.27B,1.129B,1.547B,1.982B,1.563B,1.562B,1.385B,1.223B,1.178B,823.00M,246.00M,464.00M,519.00M,1.387B,616.00M,469.00M,287.00M,456.00M,310.00M,332.00M,345.90M,360.20M,387.80M,155.00M,4.70M,170.70M,155.70M,390.40M,216.00M,326.00M,419.90M,122.10M,270.80M,294.10M,357.30M
