Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12
Total Current Assets,28.33B,33.99B,33.09B,33.67B,34.02B,35.58B,34.26B,31.73B,28.56B,29.40B,26.63B,29.57B,29.62B,28.87B,32.47B,31.71B,34.43B,39.82B,40.74B,41.27B,42.23B,47.08B,48.92B,49.75B,50.25B,53.50B,56.10B,54.70B,55.72B,58.46B,56.01B,55.22B,53.23B,53.02B,54.01B,50.85B,48.84B,44.48B,42.39B,40.83B,37.22B,35.54B,34.72B,34.07B,36.47B,47.35B,49.71B,41.49B,39.38B,37.51B,39.82B,38.00B,36.30B,38.42B,36.55B,35.26B,34.34B,34.98B,33.94B,31.16B,28.50B,28.82B,26.04B,22.84B,19.43B,19.15B,18.36B,19.52B,17.78B,17.78B,17.70B,18.51B,18.33B,9.937B,9.657B,9.211B,17.91B,8.671B,8.566B,8.517B,17.04B,7.335B,7.157B,6.459B,6.297B,6.839B,6.879B,7.064B,7.006B,7.241B,7.425B,7.701B,7.942B,8.249B,8.298B,7.92B,7.867B,7.587B,7.971B,7.248B,7.591B,8.711B,8.997B,8.277B,8.682B
Gross PP&E,326.72B,338.70B,335.78B,336.70B,340.24B,344.95B,343.54B,344.98B,344.48B,343.07B,337.55B,336.15B,336.08B,341.07B,339.08B,344.90B,340.28B,340.56B,336.62B,333.82B,327.29B,318.75B,312.92B,304.56B,296.43B,287.55B,279.02B,271.24B,263.48B,252.28B,246.08B,238.06B,233.43B,226.54B,220.11B,215.56B,207.37B,202.11B,196.03B,191.98B,188.29B,183.55B,180.07B,176.41B,173.30B,165.37B,161.45B,157.61B,154.08B,146.69B,143.05B,140.39B,137.75B,134.69B,132.10B,129.24B,127.45B,126.20B,106.36B,104.74B,103.95B,100.63B,100.30B,99.60B,100.56B,107.59B,107.85B,107.07B,105.23B,103.79B,102.41B,101.13B,99.94B,53.74B,53.15B,52.49B,95.57B,51.98B,54.70B,54.29B,100.99B,54.25B,52.67B,52.16B,51.34B,50.95B,50.25B,49.61B,49.23B,48.94B,48.17B,47.45B,46.94B,48.32B,48.85B,48.39B,48.03B,48.09B,47.57B,47.24B,46.81B,46.08B,45.65B,45.23B,44.81B
Accumulated D&A,-176.23B,-174.34B,-170.36B,-169.97B,-171.04B,-173.30B,-169.30B,-169.13B,-166.77B,-164.63B,-159.38B,-155.85B,-153.89B,-157.63B,-154.40B,-154.96B,-151.88B,-153.15B,-151.35B,-147.70B,-144.12B,-140.66B,-138.87B,-135.34B,-131.60B,-130.62B,-128.43B,-125.27B,-122.13B,-119.52B,-117.03B,-113.27B,-110.82B,-108.16B,-105.35B,-104.48B,-102.86B,-100.38B,-97.49B,-94.63B,-91.82B,-89.29B,-86.40B,-83.86B,-81.52B,-79.68B,-79.06B,-77.22B,-75.47B,-73.79B,-71.93B,-70.49B,-68.89B,-67.80B,-66.50B,-64.94B,-63.76B,-62.22B,-61.69B,-60.52B,-59.50B,-56.75B,-56.11B,-55.37B,-56.02B,-61.67B,-61.44B,-60.47B,-61.08B,-59.93B,-58.63B,-57.68B,-56.71B,-30.70B,-30.13B,-29.63B,-51.25B,-29.04B,-29.61B,-29.11B,-54.50B,-28.56B,-28.24B,-27.76B,-27.61B,-27.44B,-27.14B,-26.79B,-26.56B,-26.56B,-26.13B,-25.77B,-25.44B,-26.86B,-27.08B,-26.73B,-26.34B,-25.63B,-25.19B,-25.04B,-24.64B,-24.36B,-23.82B,-23.40B,-22.94B
Net PP&E,150.49B,164.36B,165.41B,166.73B,169.21B,171.64B,174.24B,175.85B,177.71B,178.44B,178.18B,180.30B,182.19B,183.44B,184.68B,189.94B,188.40B,187.40B,185.27B,186.12B,183.17B,178.10B,174.05B,169.23B,164.83B,156.93B,150.59B,145.97B,141.35B,132.75B,129.05B,124.80B,122.61B,118.38B,114.75B,111.08B,104.50B,101.73B,98.54B,97.35B,96.47B,94.26B,93.67B,92.55B,91.78B,85.69B,82.39B,80.39B,78.61B,72.90B,71.12B,69.90B,68.86B,66.89B,65.60B,64.30B,63.69B,63.98B,44.67B,44.22B,44.46B,43.88B,44.19B,44.23B,44.54B,45.92B,46.41B,46.60B,44.16B,43.86B,43.78B,43.45B,43.23B,23.04B,23.02B,22.86B,44.32B,22.94B,25.09B,25.18B,46.49B,25.69B,24.43B,24.40B,23.73B,23.52B,23.10B,22.81B,22.67B,22.38B,22.04B,21.68B,21.50B,21.46B,21.77B,21.66B,21.70B,22.46B,22.38B,22.20B,22.17B,21.72B,21.83B,21.83B,21.86B
Goodwill,4.463B,4.507B,4.507B,4.507B,4.518B,4.518B,4.518B,4.531B,4.531B,4.531B,4.543B,4.543B,4.581B,4.581B,4.581B,4.588B,4.588B,4.588B,4.588B,4.588B,4.593B,4.621B,4.621B,4.639B,4.639B,4.64B,4.64B,4.64B,4.64B,4.64B,4.641B,4.641B,4.642B,4.654B,4.654B,4.655B,4.617B,4.618B,4.618B,4.618B,4.618B,4.619B,4.619B,4.619B,4.619B,4.60B,4.629B,4.63B,4.637B,4.679B,4.681B,4.691B,4.623B,4.659B,4.70B,4.644B,4.636B,3.591B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,4.463B,4.507B,4.507B,4.507B,4.518B,4.518B,4.518B,4.531B,4.531B,4.531B,4.543B,4.543B,4.581B,4.581B,4.581B,4.588B,4.588B,4.588B,4.588B,4.588B,4.593B,4.621B,4.621B,4.639B,4.639B,4.64B,4.64B,4.64B,4.64B,4.64B,4.641B,4.641B,4.642B,4.654B,4.654B,4.655B,4.617B,4.618B,4.618B,4.618B,4.618B,4.619B,4.619B,4.619B,4.619B,4.60B,4.629B,4.63B,4.637B,4.679B,4.681B,4.691B,4.623B,4.659B,4.70B,4.644B,4.636B,3.591B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,38.69B,38.33B,37.42B,36.36B,35.55B,34.67B,34.24B,33.47B,32.50B,32.40B,31.71B,30.92B,30.25B,30.00B,27.74B,27.51B,27.11B,26.71B,26.21B,28.24B,26.91B,26.68B,25.92B,25.99B,25.50B,25.01B,25.13B,24.50B,23.72B,23.50B,23.07B,23.23B,22.87B,22.41B,21.72B,22.00B,21.52B,21.76B,21.68B,21.29B,21.16B,21.56B,21.55B,21.44B,20.92B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.524B,9.368B,8.735B,,8.004B,5.775B,5.643B,,5.105B,4.916B,4.794B,4.604B,4.612B,4.733B,4.618B,4.496B,4.552B,4.379B,4.524B,4.463B,4.471B,3.912B,4.111B,4.087B,4.138B,4.288B,4.252B,3.991B,3.961B,3.942B,3.846B,3.623B
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.00M,733.00M,732.00M,,835.00M,830.00M,824.00M,,860.00M,863.00M,945.00M,872.00M,684.00M,577.00M,510.00M,471.00M,,,,261.00M,269.00M,147.00M,137.00M,149.00M,145.00M,133.00M,138.00M,138.00M,101.00M,104.00M,101.00M,
Long Term Receivables,1.511B,1.584B,1.784B,2.019B,1.942B,2.46B,2.573B,2.723B,2.849B,3.016B,2.403B,2.457B,2.485B,2.444B,2.469B,2.492B,2.412B,2.436B,2.88B,2.82B,2.817B,2.903B,3.034B,2.875B,2.833B,3.118B,3.017B,3.121B,3.053B,3.036B,2.36B,2.254B,2.233B,2.125B,2.114B,2.071B,2.077B,2.147B,2.208B,2.399B,2.282B,2.394B,2.389B,2.20B,2.413B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.00M,348.00M,270.00M,,,,,,,,,,,,,94.00M
Long Term Deferred Assets,10.53B,10.72B,10.69B,10.87B,6.766B,6.745B,6.859B,6.946B,7.017B,6.793B,7.352B,6.98B,6.838B,6.631B,6.316B,6.514B,6.155B,6.593B,6.389B,6.565B,6.299B,5.844B,5.493B,5.118B,5.12B,4.635B,4.562B,4.476B,4.503B,4.466B,4.25B,4.749B,3.889B,3.026B,3.109B,3.203B,3.21B,2.455B,2.305B,2.452B,2.879B,3.87B,4.156B,4.451B,4.711B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.294B,1.277B,1.282B,,1.191B,1.114B,1.083B,,1.162B,1.036B,1.169B,,920.00M,883.00M,845.00M,,881.00M,760.00M,738.00M,,632.00M,529.00M,539.00M,,519.00M,513.00M,510.00M,,504.00M,502.00M,464.00M,472.00M
Other Long Term Assets,3.411B,3.052B,2.985B,2.654B,1.863B,983.00M,1.239B,1.20B,640.00M,584.00M,3.793B,4.352B,4.119B,3.893B,3.216B,1.085B,1.449B,898.00M,387.00M,,,201.00M,,644.00M,580.00M,,,,,,,,,482.00M,1.356B,878.00M,,,,,,316.00M,100.00M,92.00M,252.00M,28.07B,26.33B,26.34B,26.16B,24.47B,23.98B,23.42B,22.84B,24.15B,24.33B,23.53B,23.17B,22.26B,20.43B,20.43B,20.25B,18.32B,18.32B,18.03B,17.51B,16.24B,15.82B,15.18B,15.43B,14.81B,16.16B,16.71B,16.01B,,,,15.39B,,,,11.85B,,,,1.038B,,,,829.00M,,,,692.00M,,,,531.00M,,,,514.00M,,,,
Total Long Term Assets,209.10B,222.55B,222.79B,223.14B,219.84B,221.02B,223.67B,224.72B,225.25B,225.76B,227.97B,229.54B,230.46B,230.99B,229.01B,232.13B,230.11B,228.63B,225.72B,228.33B,223.79B,218.35B,213.12B,208.49B,203.50B,194.34B,187.94B,182.71B,177.26B,168.40B,163.37B,159.67B,156.24B,151.07B,147.71B,143.88B,135.93B,132.72B,129.35B,128.11B,127.40B,127.02B,126.48B,125.35B,124.70B,118.36B,113.36B,111.36B,109.41B,102.04B,99.78B,98.01B,96.32B,95.70B,94.63B,92.48B,91.50B,89.83B,65.10B,64.64B,64.70B,62.20B,62.52B,62.26B,62.04B,62.16B,62.23B,61.78B,59.58B,58.67B,59.94B,60.16B,59.24B,34.59B,34.40B,33.61B,59.71B,32.98B,32.81B,32.73B,58.34B,32.82B,31.24B,31.31B,30.24B,29.73B,29.30B,28.79B,28.47B,28.23B,27.53B,27.22B,26.91B,26.83B,26.36B,26.45B,26.46B,27.26B,27.32B,27.10B,26.82B,26.28B,26.38B,26.24B,26.05B
Total Assets,237.43B,256.54B,255.88B,256.81B,253.86B,256.61B,257.93B,256.44B,253.81B,255.16B,254.60B,259.11B,260.08B,259.86B,261.48B,263.84B,264.54B,268.45B,266.46B,269.60B,266.03B,265.43B,262.04B,258.24B,253.75B,247.84B,244.05B,237.41B,232.98B,226.86B,219.38B,214.89B,209.47B,204.10B,201.72B,194.74B,184.77B,177.20B,171.75B,168.93B,164.62B,162.56B,161.20B,159.43B,161.16B,165.71B,163.07B,152.85B,148.79B,139.55B,139.61B,136.01B,132.63B,134.12B,131.18B,127.73B,125.83B,124.81B,99.04B,95.80B,93.21B,91.02B,88.56B,85.11B,81.47B,81.31B,80.59B,81.30B,77.36B,76.45B,77.64B,78.67B,77.57B,44.53B,44.06B,42.82B,77.62B,41.65B,41.38B,41.25B,75.38B,40.15B,38.40B,37.77B,36.54B,36.57B,36.18B,35.85B,35.47B,35.47B,34.96B,34.92B,34.85B,35.08B,34.66B,34.37B,34.33B,34.85B,35.29B,34.34B,34.41B,34.99B,35.38B,34.52B,34.74B
Accounts Payable,14.10B,13.23B,14.80B,14.23B,13.95B,15.34B,15.72B,14.48B,14.56B,13.08B,12.06B,13.08B,13.99B,12.20B,13.42B,12.70B,13.52B,15.31B,17.38B,16.64B,19.00B,21.82B,23.62B,23.33B,22.82B,23.15B,21.61B,21.62B,22.78B,22.99B,21.96B,22.95B,22.15B,20.75B,22.76B,21.01B,19.26B,17.24B,16.37B,16.79B,16.44B,15.72B,15.58B,13.64B,16.58B,22.11B,29.24B,23.49B,21.76B,19.81B,18.34B,16.57B,16.68B,17.06B,17.07B,15.66B,16.07B,15.15B,12.42B,11.82B,10.75B,10.98B,10.03B,9.691B,8.675B,8.067B,8.434B,8.53B,8.455B,7.527B,7.01B,7.375B,6.427B,2.84B,3.124B,3.10B,7.563B,3.35B,3.382B,3.064B,6.812B,2.79B,2.384B,2.282B,2.17B,2.187B,2.207B,2.319B,2.735B,2.795B,2.614B,2.817B,3.502B,3.057B,3.256B,3.212B,3.294B,2.695B,3.098B,2.696B,2.99B,3.04B,3.274B,3.049B,3.325B
Current Tax Payable,2.556B,2.685B,2.239B,2.818B,2.565B,2.698B,2.72B,2.963B,2.713B,2.157B,2.422B,2.394B,2.077B,2.041B,1.523B,1.932B,2.191B,3.195B,3.243B,4.29B,3.808B,4.206B,4.166B,4.312B,4.427B,4.514B,4.711B,5.93B,5.571B,5.318B,5.212B,6.29B,5.826B,5.981B,5.648B,5.569B,4.242B,4.038B,4.182B,5.268B,4.015B,3.937B,3.484B,4.305B,4.548B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.477B,2.314B,2.115B,,2.079B,1.806B,1.449B,,1.443B,975.00M,745.00M,629.00M,1.486B,1.089B,1.057B,1.124B,1.438B,1.395B,1.299B,1.279B,1.457B,1.254B,1.217B,1.088B,1.212B,1.16B,990.00M,1.114B,1.072B,1.431B,1.287B,1.287B
Total Payables,16.66B,15.92B,17.04B,17.05B,16.52B,18.03B,18.44B,17.44B,17.28B,15.24B,14.48B,15.47B,16.06B,14.25B,14.94B,14.63B,15.71B,18.50B,20.62B,20.93B,22.81B,26.03B,27.79B,27.64B,27.24B,27.66B,26.32B,27.55B,28.35B,28.31B,27.17B,29.24B,27.97B,26.73B,28.41B,26.58B,23.50B,21.28B,20.55B,22.06B,20.45B,19.65B,19.07B,17.94B,21.13B,22.11B,29.24B,23.49B,21.76B,19.81B,18.34B,16.57B,16.68B,17.06B,17.07B,15.66B,16.07B,15.15B,12.42B,11.82B,10.75B,10.98B,10.03B,9.691B,8.675B,8.067B,8.434B,8.53B,8.455B,7.527B,7.01B,7.375B,6.427B,5.317B,5.438B,5.215B,7.563B,5.429B,5.188B,4.513B,6.812B,4.233B,3.359B,3.027B,2.799B,3.673B,3.296B,3.376B,3.859B,4.233B,4.009B,4.116B,4.781B,4.514B,4.51B,4.429B,4.382B,3.907B,4.258B,3.686B,4.104B,4.112B,4.705B,4.336B,4.612B
Accrued Expenses,6.589B,6.523B,6.197B,5.88B,4.927B,5.029B,4.822B,4.587B,5.267B,5.085B,4.695B,4.657B,4.882B,4.441B,4.458B,4.904B,4.833B,5.062B,5.024B,4.607B,5.328B,5.396B,5.041B,5.00B,5.402B,5.28B,5.18B,5.048B,5.738B,5.19B,5.127B,4.62B,5.287B,5.366B,4.906B,4.916B,5.324B,5.405B,5.086B,5.209B,5.375B,5.501B,5.428B,5.935B,8.077B,9.211B,5.196B,5.198B,5.275B,4.185B,4.022B,4.042B,4.546B,3.94B,3.858B,3.36B,3.69B,3.898B,2.788B,2.805B,3.41B,3.064B,2.901B,3.007B,3.172B,2.891B,2.876B,3.075B,3.364B,2.934B,3.064B,2.979B,3.399B,1.308B,1.322B,1.372B,3.014B,1.117B,1.031B,1.058B,2.582B,2.148B,2.187B,1.169B,1.202B,1.124B,1.095B,1.147B,1.45B,1.339B,1.373B,1.371B,1.42B,1.277B,1.281B,1.176B,1.257B,1.133B,1.111B,1.107B,1.274B,1.519B,2.313B,2.357B,2.538B
