Other Noncash Items,-1.714B,-632.00M,-389.00M,-174.00M,-86.00M,-211.00M,-292.00M,-365.00M,24.00M,-1.579B,-210.00M,-961.00M,-299.00M,227.00M,-385.00M,-401.00M,1.019B,-437.00M,-1.662B,-495.00M,-2.257B,-542.00M,-221.00M,-415.00M,516.00M,152.00M,-666.00M,91.00M,-2.063B,-874.00M,-1.067B,955.00M,-2.804B,101.00M,134.00M,320.00M,-2.324B,548.00M,74.00M,436.00M,497.00M,4.00M,497.00M,224.00M,-309.00M,495.00M,237.00M,-38.00M,1.161B,-3.781B,512.00M,180.00M,140.00M,-53.00M,404.00M,-232.00M,-669.00M,,-176.00M,176.00M,2.00M,-2.00M,381.00M,-381.00M,-194.00M,-169.00M,363.00M,,-118.00M,560.00M,-166.00M,-276.00M,19.00M,-11.00M,5.00M,-13.00M,-47.00M,65.00M,-48.00M,30.00M,662.00M,34.00M,-639.00M,-59.00M,676.00M,-98.00M,35.00M,2.00M,-1.002B,-222.00M,-45.00M,-38.00M,-2.067B,518.00M,930.00M,593.00M,147.00M,-19.00M,-143.00M,-3.00M,75.00M,407.00M,-89.00M,42.00M,-111.00M,59.00M,304.00M,-24.00M
Change in Receivables,-402.00M,1.344B,437.00M,473.00M,2.178B,-362.00M,-1.044B,-335.00M,-1.18B,-662.00M,610.00M,317.00M,-1.666B,403.00M,-1.326B,468.00M,1.294B,2.041B,-911.00M,1.207B,3.103B,1.243B,-1.228B,1.373B,-197.00M,-1.408B,1.498B,-994.00M,396.00M,-620.00M,1.53B,-153.00M,-941.00M,1.541B,-1.539B,-1.217B,-2.754B,111.00M,238.00M,-362.00M,-569.00M,-620.00M,-2.231B,1.686B,8.649B,5.38B,-6.649B,-1.511B,-2.202B,-201.00M,-1.464B,,1.147B,-93.00M,-707.00M,-330.00M,3.543B,-1.257B,-1.183B,-1.294B,327.00M,-904.00M,-506.00M,-1.432B,-69.00M,4.00M,500.00M,-700.00M,-203.00M,-220.00M,99.00M,-811.00M,1.762B,433.00M,-124.00M,401.00M,-1.589B,-89.00M,-159.00M,-325.00M,-1.582B,-259.00M,-257.00M,41.00M,-331.00M,-69.00M,133.00M,267.00M,-131.00M,570.00M,,,30.00M,310.00M,-55.00M,-255.00M,,,,,,,,,,,,
Change in Inventories,27.00M,858.00M,220.00M,-1.098B,325.00M,326.00M,-532.00M,-543.00M,169.00M,268.00M,-154.00M,-550.00M,371.00M,451.00M,-43.00M,-176.00M,530.00M,166.00M,-279.00M,-332.00M,785.00M,-96.00M,263.00M,-1.098B,512.00M,530.00M,-759.00M,-520.00M,1.835B,-709.00M,488.00M,-1.847B,515.00M,904.00M,-1.057B,-766.00M,623.00M,-226.00M,167.00M,-549.00M,857.00M,132.00M,-84.00M,308.00M,-566.00M,83.00M,-719.00M,-343.00M,350.00M,-509.00M,-590.00M,,551.00M,-375.00M,-604.00M,-108.00M,402.00M,-32.00M,-257.00M,-113.00M,8.00M,257.00M,-309.00M,-254.00M,66.00M,213.00M,-96.00M,-68.00M,254.00M,-73.00M,85.00M,-81.00M,-313.00M,-11.00M,91.00M,-61.00M,179.00M,51.00M,-64.00M,-46.00M,30.00M,-45.00M,13.00M,34.00M,-5.00M,72.00M,-6.00M,-61.00M,-38.00M,27.00M,,,60.00M,-19.00M,-196.00M,215.00M,,,,,,,,,,,,
Change in Prepaid Assets,-37.00M,17.00M,364.00M,-667.00M,161.00M,123.00M,175.00M,-608.00M,-62.00M,-173.00M,382.00M,26.00M,-15.00M,821.00M,264.00M,-241.00M,546.00M,-608.00M,1.143B,-368.00M,-644.00M,421.00M,-48.00M,-136.00M,536.00M,-207.00M,942.00M,-437.00M,370.00M,-466.00M,-256.00M,-119.00M,51.00M,-988.00M,382.00M,-298.00M,104.00M,-317.00M,274.00M,-603.00M,-48.00M,-40.00M,-229.00M,53.00M,-160.00M,-245.00M,-536.00M,320.00M,-38.00M,152.00M,-484.00M,,-51.00M,-21.00M,-19.00M,60.00M,144.00M,-92.00M,129.00M,-181.00M,99.00M,-211.00M,58.00M,-22.00M,22.00M,198.00M,126.00M,-85.00M,141.00M,81.00M,-123.00M,-7.00M,-170.00M,-13.00M,170.00M,-198.00M,171.00M,-81.00M,70.00M,-87.00M,82.00M,-32.00M,42.00M,-153.00M,100.00M,88.00M,-19.00M,-169.00M,35.00M,24.00M,,,15.00M,49.00M,-43.00M,-6.00M,,,,,,,,,,,,
Change in Payables and Accrued Expense,780.00M,-814.00M,-90.00M,82.00M,-1.50B,318.00M,1.218B,-618.00M,2.141B,1.273B,-1.04B,-845.00M,2.249B,-850.00M,7.00M,-1.044B,-2.028B,-1.895B,7.00M,-2.492B,-3.408B,-1.203B,-110.00M,243.00M,-94.00M,1.512B,-836.00M,-1.409B,710.00M,1.044B,-1.164B,-676.00M,1.189B,226.00M,1.925B,2.391B,2.235B,667.00M,-980.00M,1.448B,482.00M,757.00M,552.00M,-3.565B,-8.823B,-5.65B,6.977B,1.959B,2.292B,1.624B,1.014B,,141.00M,88.00M,1.867B,-850.00M,-3.155B,1.904B,631.00M,620.00M,-111.00M,1.224B,176.00M,886.00M,862.00M,-356.00M,38.00M,-302.00M,1.10B,409.00M,-231.00M,567.00M,-797.00M,-119.00M,159.00M,15.00M,-155.00M,689.00M,660.00M,133.00M,-596.00M,780.00M,1.366B,168.00M,548.00M,423.00M,-174.00M,-797.00M,-44.00M,-641.00M,,,369.00M,-179.00M,177.00M,2.00M,,,,,,,,,,,,
Change in Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.00M,49.00M,,,110.00M,-110.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012B,-1.307B,1.036B,,-692.00M,-182.00M,326.00M,896.00M,-924.00M,-113.00M,407.00M,630.00M,-721.00M,198.00M,636.00M,1.031B,-1.112B,-6.00M,-274.00M,1.201B,-532.00M,200.00M,367.00M,103.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Working Cap,151.00M,147.00M,131.00M,4.00M,115.00M,65.00M,122.00M,116.00M,-3.00M,-645.00M,39.00M,-13.00M,98.00M,-70.00M,84.00M,-65.00M,-34.00M,47.00M,-51.00M,4.00M,388.00M,141.00M,-230.00M,-45.00M,15.00M,-165.00M,189.00M,-177.00M,295.00M,141.00M,374.00M,68.00M,,,,,36.00M,59.00M,-73.00M,14.00M,70.00M,63.00M,-35.00M,103.00M,-14.00M,-420.00M,352.00M,-2.00M,-403.00M,-107.00M,24.00M,-126.00M,-668.00M,936.00M,-936.00M,,,-234.00M,234.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Working Capital,519.00M,1.552B,1.062B,-1.206B,1.279B,470.00M,-61.00M,-1.988B,1.065B,61.00M,-163.00M,-1.065B,1.037B,755.00M,-1.014B,-1.058B,308.00M,-249.00M,-91.00M,-1.981B,224.00M,506.00M,-1.353B,337.00M,772.00M,262.00M,1.034B,-3.537B,3.606B,-610.00M,972.00M,-2.727B,1.005B,1.683B,-289.00M,110.00M,244.00M,294.00M,-374.00M,-52.00M,792.00M,292.00M,-2.027B,-1.415B,-914.00M,-852.00M,-575.00M,423.00M,1.011B,-348.00M,-464.00M,-126.00M,428.00M,353.00M,-73.00M,-332.00M,678.00M,176.00M,-39.00M,-338.00M,-398.00M,564.00M,55.00M,209.00M,-280.00M,102.00M,294.00M,46.00M,870.00M,287.00M,197.00M,-229.00M,-100.00M,290.00M,296.00M,157.00M,-661.00M,570.00M,507.00M,-325.00M,-1.432B,444.00M,1.164B,90.00M,-497.00M,514.00M,-66.00M,-760.00M,-268.00M,183.00M,112.00M,-315.00M,807.00M,-5.00M,-117.00M,-44.00M,444.00M,28.00M,4.00M,-436.00M,47.00M,-991.00M,-315.00M,-514.00M,837.00M,-119.00M,210.00M,-465.00M
Cash from Operations,5.657B,7.817B,8.783B,5.057B,9.151B,9.569B,6.855B,5.043B,6.093B,5.497B,4.971B,3.777B,3.707B,5.311B,2.531B,1.141B,4.557B,5.36B,7.22B,2.319B,6.497B,8.68B,7.881B,8.417B,10.45B,10.32B,8.52B,5.714B,12.78B,7.73B,9.915B,8.387B,9.069B,11.52B,10.69B,9.814B,8.252B,7.982B,7.603B,7.517B,7.02B,6.665B,3.284B,2.404B,5.208B,9.113B,7.204B,8.107B,7.083B,5.705B,6.499B,5.69B,5.744B,6.726B,6.083B,5.77B,5.947B,5.545B,4.873B,3.74B,3.541B,3.218B,4.454B,3.477B,2.552B,2.658B,3.773B,3.332B,3.199B,3.064B,2.607B,1.073B,4.622B,1.98B,2.352B,2.503B,6.915B,2.714B,2.511B,1.327B,4.137B,1.644B,1.199B,791.00M,651.00M,1.618B,1.085B,377.00M,1.056B,1.25B,1.247B,1.03B,2.01B,1.02B,1.664B,1.103B,1.344B,960.00M,1.207B,564.00M,1.296B,587.00M,513.00M,500.00M,1.811B,1.019B,866.00M,525.00M
Net Change in Capital Expenditures,-4.21B,-3.369B,-3.584B,-2.953B,-3.991B,-3.578B,-3.226B,-2.997B,-3.641B,-3.224B,-3.224B,-3.315B,-4.009B,-4.065B,-4.469B,-5.566B,-7.449B,-6.81B,-7.643B,-7.602B,-9.668B,-8.264B,-8.931B,-8.544B,-11.61B,-9.607B,-8.573B,-8.192B,-10.49B,-7.49B,-7.067B,-5.895B,-7.307B,-6.775B,-7.773B,-4.645B,-5.504B,-5.589B,-4.552B,-3.967B,-5.355B,-4.074B,-4.43B,-5.984B,-6.034B,-4.661B,-4.519B,-4.452B,-5.297B,-4.424B,-3.697B,-3.26B,-4.146B,-3.441B,-3.659B,-2.567B,-3.173B,-2.354B,-1.87B,-1.304B,-1.944B,-1.392B,-1.62B,-1.354B,-1.714B,-1.289B,-1.321B,-1.301B,-2.039B,-1.977B,-1.736B,-1.845B,-6.497B,-882.00M,-998.00M,-1.336B,-4.731B,-1.02B,-966.00M,-912.00M,-4.406B,-1.848B,-844.00M,-797.00M,-1.101B,-1.074B,-975.00M,-730.00M,-1.23B,-1.009B,-948.00M,-712.00M,-1.06B,-831.00M,-877.00M,-656.00M,-1.101B,-844.00M,-852.00M,-732.00M,-1.296B,-702.00M,-738.00M,-669.00M,-1.096B,-817.00M,-793.00M,-617.00M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.676B,2.05B,342.00M,284.00M,-543.00M,150.00M,393.00M,,,,,,,,,,322.00M,604.00M,1.248B,1.164B,349.00M,169.00M,417.00M,54.00M,191.00M,1.897B,9.00M,584.00M,578.00M,1.593B,1.119B,381.00M,616.00M,326.00M,94.00M,71.00M,38.00M,105.00M,21.00M,2.177B,101.00M,130.00M,22.00M,45.00M,848.00M,100.00M,135.00M,146.00M,995.00M,222.00M,216.00M,145.00M,-210.00M,116.00M,82.00M,12.00M,-379.00M,81.00M,240.00M,58.00M,-514.00M,175.00M,149.00M,190.00M,-515.00M,161.00M,111.00M,243.00M,-324.00M,184.00M,69.00M,71.00M,189.00M,77.00M,558.00M,84.00M
Net Change in PP&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.676B,2.05B,342.00M,284.00M,-543.00M,150.00M,393.00M,,,,,,,,,,-4.975B,-3.82B,-2.449B,-2.096B,-3.797B,-3.272B,-3.242B,-2.513B,-2.982B,-457.00M,-1.861B,-720.00M,-1.366B,201.00M,-501.00M,-973.00M,-1.098B,-963.00M,-1.227B,-1.23B,-2.001B,-1.872B,-1.715B,332.00M,-9.612B,130.00M,22.00M,45.00M,-6.781B,100.00M,135.00M,146.00M,-6.90B,222.00M,216.00M,145.00M,-210.00M,116.00M,82.00M,12.00M,-379.00M,81.00M,240.00M,58.00M,-514.00M,175.00M,149.00M,190.00M,-515.00M,161.00M,111.00M,243.00M,-324.00M,184.00M,69.00M,71.00M,189.00M,77.00M,558.00M,84.00M
Net Divestitures (Acquisitions),75.00M,67.00M,,,148.00M,244.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00M,0.00,0.00,-3.014B,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00,-5.934B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,0.00,0.00,0.00,952.00M,-950.00M,-2.00M,-20.00M,-29.00M,4.00M,0.00,-2.00M,2.00M,140.00M,0.00,90.00M,67.00M,-20.00M,51.00M,55.00M,88.00M,-289.00M,-40.00M,294.00M,-320.00M,1.344B,84.00M,-165.00M,-344.00M,-853.00M,-269.00M,665.00M,3.494B,-1.708B,116.00M,3.00M,156.00M,-3.783B,-148.00M,207.00M,88.00M,105.00M,-52.00M,137.00M,181.00M,205.00M,152.00M,161.00M,397.00M,-737.00M,86.00M,-14.00M,51.00M,-306.00M,14.00M,401.00M,33.00M,73.00M,-23.00M,286.00M,,-446.00M,-7.00M,25.00M,-22.00M,-386.00M,236.00M,-83.00M,386.00M,-15.00M,-42.00M,44.00M,222.00M,803.00M,-151.00M,-52.00M,-727.00M,536.00M,-612.00M,-3.00M,75.00M,525.00M,193.00M,-19.00M,-102.00M,-230.00M,-83.00M,-23.00M,153.00M,21.00M,-125.00M,-22.00M,328.00M,-247.00M,1.00M,8.00M,326.00M,51.00M,-285.00M,121.00M,257.00M,-532.00M,-11.00M,-3.00M,1.00M,30.00M,-3.00M,3.00M,0.00
Net Other Investing Changes,1.513B,-266.00M,344.00M,-27.00M,161.00M,1.109B,704.00M,137.00M,185.00M,2.291B,598.00M,1.84B,1.106B,-1.198B,1.222B,-10.00M,261.00M,480.00M,3.873B,908.00M,3.215B,931.00M,1.439B,284.00M,438.00M,216.00M,726.00M,77.00M,1.264B,517.00M,896.00M,428.00M,6.678B,-1.451B,-646.00M,-1.128B,5.806B,280.00M,-297.00M,-3.456B,601.00M,604.00M,501.00M,1.194B,117.00M,973.00M,323.00M,257.00M,10.00M,1.00M,10.00M,,410.00M,0.00,41.00M,12.00M,-52.00M,19.00M,53.00M,37.00M,-569.00M,84.00M,61.00M,14.00M,239.00M,54.00M,,,,,,,-4.00M,-5.00M,9.00M,,-95.00M,857.00M,5.00M,-5.00M,70.00M,-14.00M,76.00M,-22.00M,291.00M,39.00M,-69.00M,-57.00M,,,,,,,,,,,,,,,,,,,,
Cash from Investing,-2.622B,-3.568B,-3.24B,-2.028B,-4.632B,-2.227B,-2.542B,-2.889B,-3.286B,-933.00M,-2.628B,-1.473B,-2.441B,-5.263B,-3.157B,-5.509B,-7.208B,-6.279B,-3.715B,-6.606B,-6.742B,-7.373B,-7.198B,-8.58B,-9.831B,-9.307B,-8.012B,-8.459B,-10.08B,-7.242B,-5.506B,-1.973B,-5.008B,-6.06B,-8.074B,-8.347B,-4.024B,-5.307B,-4.249B,-7.335B,-4.649B,-3.522B,-3.792B,-4.609B,-5.712B,-3.536B,-4.035B,-3.798B,-5.702B,-3.733B,-2.453B,-2.045B,-3.693B,-3.258B,-2.80B,-2.468B,-2.961B,-6.395B,-1.522B,-683.00M,-2.381B,278.00M,-415.00M,-981.00M,-1.245B,-673.00M,-1.31B,-844.00M,-2.016B,-1.914B,-1.671B,554.00M,-5.597B,-908.00M,-1.019B,-2.018B,-3.442B,-675.00M,-829.00M,-696.00M,-2.816B,-1.447B,-571.00M,-776.00M,-1.25B,-1.002B,-985.00M,-622.00M,-454.00M,-1.053B,-730.00M,-326.00M,-1.087B,-655.00M,-720.00M,-140.00M,-984.00M,-968.00M,-620.00M,-232.00M,-1.421B,-529.00M,-672.00M,-597.00M,-877.00M,-743.00M,-232.00M,-533.00M
Net Change in Long Term Debt,-1.157B,-5.00M,-1.357B,-2.506B,-1.513B,58.00M,-2.81B,-2.258B,-5.282B,-30.00M,-35.00M,3.028B,-772.00M,-34.00M,6.16B,-14.00M,5.092B,-7.00M,-11.00M,5.985B,3.984B,-7.00M,-8.00M,-12.00M,-10.00M,-12.00M,5.992B,-102.00M,1.995B,-184.00M,-13.00M,-15.00M,363.00M,-1.524B,-162.00M,-1.069B,851.00M,320.00M,-52.00M,-25.00M,-27.00M,327.00M,-21.00M,4.572B,-39.00M,-49.00M,-61.00M,-816.00M,,,,,,,,,,,,,,,,,,,,,,,,,699.00M,-135.00M,-57.00M,-507.00M,102.00M,-4.00M,-37.00M,-61.00M,-259.00M,644.00M,-183.00M,-202.00M,13.00M,-11.00M,-168.00M,2.00M,-29.00M,-172.00M,-43.00M,-151.00M,-39.00M,-28.00M,-247.00M,-67.00M,51.00M,26.00M,383.00M,-27.00M,38.00M,268.00M,-93.00M,-365.00M,-135.00M,-58.00M,-334.00M,-128.00M
Net Change in Short Term Debt,-4.794B,2.162B,-1.125B,936.00M,-178.00M,-2.502B,1.487B,3.214B,2.043B,-880.00M,-2.377B,-3.928B,1.261B,510.00M,-3.443B,3.802B,-2.384B,3.969B,-2.037B,117.00M,-1.863B,2.171B,487.00M,2.636B,1.844B,-1.369B,-166.00M,2.069B,-2.142B,2.284B,974.00M,-852.00M,18.00M,-248.00M,102.00M,151.00M,-43.00M,-205.00M,108.00M,-72.00M,66.00M,-1.837B,-184.00M,-1.237B,1.986B,353.00M,-78.00M,386.00M,,,,,,,,,,,,,,,,,,,,,,,,,-938.00M,13.00M,80.00M,845.00M,1.722B,-454.00M,-1.336B,68.00M,-127.00M,-504.00M,147.00M,484.00M,,,,,-163.00M,-8.00M,-296.00M,304.00M,-764.00M,86.00M,-296.00M,-205.00M,50.00M,-277.00M,-191.00M,191.00M,-466.00M,52.00M,561.00M,319.00M,-190.00M,61.00M,155.00M,267.00M
Net Debt Issuance,-5.951B,2.157B,-2.482B,-1.57B,-1.691B,-2.444B,-1.323B,956.00M,-3.239B,-910.00M,-2.412B,-900.00M,489.00M,476.00M,2.717B,3.788B,2.708B,3.962B,-2.048B,6.102B,2.121B,2.164B,479.00M,2.624B,1.834B,-1.381B,5.826B,1.967B,-147.00M,2.10B,961.00M,-867.00M,381.00M,-1.772B,-60.00M,-918.00M,808.00M,115.00M,56.00M,-97.00M,39.00M,-1.51B,-205.00M,3.335B,1.947B,304.00M,-139.00M,-430.00M,1.187B,-2.161B,-1.995B,-69.00M,-552.00M,34.00M,-1.657B,-726.00M,-971.00M,-97.00M,97.00M,-84.00M,-575.00M,-323.00M,-242.00M,-144.00M,-705.00M,165.00M,-2.47B,-931.00M,-255.00M,-311.00M,-1.07B,515.00M,1.147B,-122.00M,23.00M,338.00M,-1.378B,-458.00M,-1.373B,7.00M,1.048B,140.00M,-36.00M,282.00M,1.726B,-11.00M,-168.00M,2.00M,-192.00M,-180.00M,-339.00M,153.00M,-803.00M,58.00M,-543.00M,-272.00M,101.00M,-251.00M,192.00M,164.00M,-428.00M,320.00M,468.00M,-46.00M,-325.00M,3.00M,-179.00M,139.00M
