Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Other Current Assets,2.423B,2.49B,2.412B,2.597B,2.428B,2.517B,2.653B,2.74B,2.527B,2.699B,2.893B,2.551B,2.272B,2.474B,2.66B,2.67B,1.511B,1.957B,1.439B,1.597B,1.712B,1.796B,1.507B,1.669B,1.412B,1.576B,1.494B,1.487B,1.324B,2.999B,2.302B,2.404B,732.00M,524.00M,634.00M,523.00M,335.00M,862.00M,209.00M,834.00M,1.163B,1.258B,209.00M,1.106B,2.074B,1.625B,427.00M,1.391B,1.588B,1.356B,1.828B,1.358B,1.439B,1.36B,1.64B,1.875B,1.056B,1.229B,781.00M,926.00M,1.226B,3.121B,1.303B,856.00M,1.356B,957.00M,776.00M,692.00M,828.00M,719.00M,667.00M,715.00M,969.00M,664.00M,338.00M,180.00M,172.00M,204.00M,83.00M,70.80M,116.70M,189.50M,49.00M,194.80M,328.10M,467.20M,480.30M,135.20M,190.60M,208.70M,93.20M,196.10M,234.80M,255.90M,116.70M,230.20M,231.90M,196.00M,42.60M,204.80M,209.80M,212.10M
Total Current Assets,12.04B,12.21B,11.66B,12.48B,13.33B,13.47B,11.49B,11.53B,11.90B,12.72B,12.23B,12.19B,12.41B,12.21B,11.50B,11.36B,15.33B,16.87B,15.42B,11.36B,11.85B,11.84B,9.823B,9.675B,10.14B,9.951B,9.409B,9.274B,10.14B,11.33B,11.75B,11.82B,5.713B,6.287B,4.987B,4.659B,6.398B,6.384B,5.441B,5.895B,5.825B,6.343B,5.13B,4.371B,5.607B,4.84B,4.58B,5.193B,4.959B,4.811B,4.992B,4.322B,4.258B,4.037B,4.637B,4.723B,4.038B,4.342B,3.88B,4.054B,4.551B,5.98B,4.561B,4.169B,4.45B,4.324B,4.125B,3.911B,4.336B,3.907B,3.735B,5.213B,5.036B,4.363B,4.184B,1.357B,1.371B,1.084B,1.221B,1.525B,1.777B,3.506B,582.00M,877.70M,1.001B,968.70M,1.003B,589.30M,581.80M,526.60M,420.40M,561.50M,564.60M,660.80M,486.20M,829.40M,683.30M,565.80M,427.40M,642.70M,605.00M,635.90M
Other Properties,799.00M,,,,858.00M,,,,999.00M,,,,1.027B,,,,1.181B,,,,1.056B,,,,1.017B,,,,912.00M,,,,439.00M,,,,4.146B,,3.798B,,,,33.02B,,,,30.85B,,,,,,,,,,,,,,,,,,,,24.06B,,,,20.23B,,,,18.70B,,,,9.184B,7.512B,7.471B,7.406B,7.423B,6.896B,6.824B,6.809B,6.750B,15.62B,15.55B,15.48B,15.33B,15.25B,15.17B,15.11B,15.07B,14.95B,14.80B,14.83B,14.77B,14.61B,14.57B,14.57B
Construction in Progress,3.055B,,,,3.377B,,,,2.825B,,,,4.306B,,,,3.075B,,,,2.167B,,,,1.89B,,,,1.926B,,,,1.11B,,,,1.29B,,1.263B,,,,1.038B,,,,1.115B,,,,,,,,,,,,,,,,,,,,2.772B,,,,1.294B,,,,1.189B,,,,232.00M,396.80M,375.00M,290.10M,273.00M,702.40M,699.80M,644.20M,611.20M,609.60M,613.60M,589.60M,661.80M,611.20M,505.10M,487.60M,494.20M,417.00M,449.00M,477.30M,472.50M,482.30M,428.70M,386.20M
Gross PP&E,104.21B,102.18B,102.30B,101.16B,99.61B,,,,95.27B,,,,90.72B,,,,73.81B,,,,66.91B,,,,61.04B,,,,57.37B,55.80B,53.98B,53.35B,43.53B,50.87B,41.35B,40.96B,40.00B,36.86B,36.36B,35.49B,26.78B,34.33B,34.06B,33.15B,32.88B,32.55B,31.96B,31.33B,30.87B,30.38B,30.02B,29.62B,29.99B,30.17B,29.85B,28.84B,28.62B,28.64B,28.71B,27.46B,26.45B,26.35B,27.58B,28.25B,29.09B,29.01B,26.84B,22.71B,22.44B,21.84B,21.53B,20.22B,20.05B,19.93B,19.89B,9.563B,9.522B,9.447B,9.416B,7.908B,7.846B,7.696B,7.696B,7.599B,7.524B,7.453B,7.362B,16.23B,16.17B,16.07B,15.99B,15.86B,15.68B,15.60B,15.56B,15.37B,15.25B,15.31B,15.25B,15.09B,15.00B,14.96B
Accumulated D&A,-23.98B,-23.59B,-24.27B,-23.70B,-22.90B,,,,-21.06B,,,,-19.17B,,,,-16.38B,,,,-14.74B,,,,-13.71B,,,,-12.18B,-11.89B,-11.37B,-11.24B,-10.96B,-18.98B,-10.49B,-10.41B,-10.06B,-9.119B,-9.023B,-8.836B,-475.00M,-8.398B,-8.242B,-7.811B,-7.811B,-7.811B,-7.811B,-7.676B,-7.442B,-7.25B,-7.25B,-7.201B,-7.872B,-7.872B,-7.872B,-7.229B,-7.229B,-7.229B,-7.229B,-6.732B,-6.221B,-6.221B,-6.948B,-8.77B,-8.77B,-8.77B,-8.88B,-7.784B,-7.784B,-7.784B,-7.735B,-6.95B,-6.95B,-6.95B,-6.95B,-4.367B,-4.367B,-4.367B,-4.412B,-3.063B,-3.008B,-2.951B,-2.891B,-2.834B,-2.786B,-2.738B,-2.691B,-5.404B,-5.309B,-5.177B,-5.047B,-4.976B,-4.844B,-4.741B,-4.624B,-4.504B,-4.393B,-4.321B,-4.243B,-4.200B,-4.100B,-4.040B
Net PP&E,80.23B,78.59B,78.03B,77.46B,76.71B,75.84B,75.28B,74.71B,74.20B,73.07B,72.75B,72.63B,71.56B,71.21B,70.69B,69.41B,57.44B,55.81B,53.94B,53.00B,52.17B,51.63B,51.75B,47.74B,47.33B,46.50B,45.99B,45.78B,45.19B,43.91B,42.61B,42.10B,32.57B,31.88B,30.86B,30.55B,29.94B,27.74B,27.34B,26.65B,26.30B,25.93B,25.81B,25.34B,25.07B,24.74B,24.15B,23.65B,23.43B,23.13B,22.78B,22.42B,22.12B,22.30B,21.98B,21.61B,21.39B,21.41B,21.48B,20.72B,20.23B,20.13B,20.63B,19.48B,20.32B,20.24B,17.96B,14.93B,14.65B,14.06B,13.79B,13.27B,13.10B,12.98B,12.94B,5.196B,5.155B,5.08B,5.004B,4.846B,4.838B,4.745B,4.805B,4.765B,4.738B,4.715B,4.671B,10.83B,10.86B,10.89B,10.94B,10.88B,10.83B,10.86B,10.94B,10.86B,10.86B,10.99B,11.00B,10.89B,10.90B,10.92B
Goodwill,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.677B,6.672B,6.696B,6.688B,2.672B,2.672B,2.672B,2.672B,2.672B,2.672B,2.674B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,,,,2.625B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,174.00M,,,,118.00M,,,,-27.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,6.851B,6.677B,6.677B,6.677B,6.795B,6.677B,6.677B,6.677B,6.65B,6.677B,6.677B,6.677B,6.677B,6.672B,6.696B,6.688B,2.672B,2.672B,2.672B,2.672B,2.672B,2.672B,2.674B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.625B,2.641B,2.641B,2.641B,2.694B,2.694B,3.476B,3.475B,3.475B,4.696B,4.696B,4.696B,4.705B,4.707B,4.714B,4.714B,4.719B,4.734B,4.735B,4.788B,4.992B,4.964B,4.971B,4.971B,5.335B,5.509B,5.531B,5.521B,5.186B,192.00M,194.00M,117.00M,121.00M,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,13.65B,13.18B,13.13B,12.92B,12.29B,13.11B,13.75B,13.79B,13.91B,13.60B,13.28B,13.01B,11.69B,11.67B,11.24B,10.98B,10.98B,10.72B,11.21B,11.28B,11.08B,10.94B,11.30B,10.97B,11.18B,10.89B,10.53B,10.64B,10.30B,10.26B,9.975B,10.16B,7.273B,6.98B,7.45B,7.365B,7.14B,7.609B,7.393B,7.234B,6.573B,6.013B,6.215B,,,,7.554B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,336.00M,353.00M,362.00M,365.00M,372.00M,371.00M,379.00M,385.00M,395.00M,407.00M,419.00M,432.00M,447.00M,473.00M,461.00M,474.00M,484.00M,513.00M,526.00M,558.00M,549.00M,571.00M,593.00M,657.00M,710.00M,803.00M,856.00M,968.00M,1.073B,,,,424.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,508.00M,487.00M,537.00M,454.00M,452.00M,449.00M,457.00M,527.00M,337.00M,426.00M,464.00M,539.00M,492.00M,669.00M,546.00M,841.00M,758.00M,801.00M,811.00M,913.00M,773.00M,524.00M,482.00M,571.00M,607.00M,779.00M,772.00M,706.00M,937.00M,1.039B,1.241B,1.389B,650.00M,300.00M,324.00M,425.00M,409.00M,867.00M,649.00M,482.00M,663.00M,819.00M,679.00M,,,,55.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,2.00M,2.00M,,,,,,,,,,58.00M,1.822B,1.967B,2.238B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.00M,,721.00M,,6.792B,6.731B,6.720B,705.00M,6.705B,6.650B,6.674B,6.683B,3.950B,3.951B,3.940B,3.899B,611.30M,3.479B,3.555B,638.50M,3.522B,3.540B,3.627B,3.635B,,,
Other Long Term Assets,3.023B,3.123B,3.038B,3.017B,1.457B,1.56B,1.194B,1.333B,1.357B,1.334B,1.34B,1.535B,1.585B,1.609B,1.527B,1.581B,1.651B,1.736B,1.652B,1.542B,1.242B,1.504B,1.494B,1.363B,1.422B,1.607B,1.713B,1.72B,1.742B,1.176B,1.156B,1.126B,1.222B,1.701B,1.555B,1.575B,1.587B,5.519B,859.00M,6.613B,6.988B,7.135B,7.084B,12.88B,13.50B,13.65B,6.394B,14.23B,14.27B,14.13B,13.86B,12.22B,12.43B,12.49B,12.70B,12.12B,11.96B,11.96B,12.66B,12.57B,12.61B,12.73B,12.03B,10.76B,10.78B,10.55B,10.80B,11.44B,11.66B,11.97B,11.88B,11.69B,11.69B,11.73B,12.29B,6.204B,6.795B,6.029B,6.741B,,,,5.956B,,,,0.10M,,,,,2.846B,,,2.898B,,,,-0.10M,3.668B,3.665B,3.634B
Total Long Term Assets,112.94B,110.53B,109.94B,109.12B,106.31B,106.01B,105.76B,105.48B,104.87B,105.75B,104.87B,104.87B,102.49B,102.33B,101.28B,100.38B,80.05B,78.26B,76.79B,76.03B,74.56B,73.43B,73.83B,69.79B,69.79B,69.71B,69.01B,68.97B,68.42B,67.02B,65.68B,65.81B,49.28B,47.87B,47.00B,46.72B,45.84B,44.36B,43.74B,43.61B,43.15B,42.52B,42.42B,40.84B,41.19B,41.01B,40.78B,40.53B,40.35B,39.90B,39.33B,37.33B,38.03B,38.26B,38.16B,38.43B,38.04B,38.07B,38.84B,38.00B,37.55B,37.58B,37.38B,34.98B,35.84B,35.58B,33.74B,31.32B,31.28B,31.00B,31.01B,30.47B,30.32B,30.23B,30.41B,12.31B,12.14B,11.95B,11.87B,11.64B,11.57B,11.47B,11.47B,11.47B,11.39B,11.39B,11.35B,14.78B,14.81B,14.83B,14.84B,14.34B,14.31B,14.42B,14.47B,14.39B,14.40B,14.61B,14.64B,14.56B,14.56B,14.55B
Total Assets,124.98B,122.74B,121.60B,121.59B,119.63B,119.48B,117.25B,117.02B,116.77B,118.47B,117.10B,117.07B,114.90B,114.54B,112.78B,111.74B,95.38B,95.13B,92.21B,87.39B,86.42B,85.26B,83.66B,79.47B,79.92B,79.66B,78.42B,78.24B,78.56B,78.35B,77.43B,77.63B,55.00B,54.16B,51.99B,51.38B,52.24B,50.74B,49.18B,49.50B,48.98B,48.86B,47.55B,45.21B,46.80B,45.85B,45.36B,45.72B,45.30B,44.71B,44.32B,41.65B,42.29B,42.29B,42.80B,43.15B,42.08B,42.41B,42.72B,42.06B,42.10B,43.56B,41.94B,39.14B,40.29B,39.90B,37.87B,35.24B,35.62B,34.90B,34.74B,35.68B,35.36B,34.59B,34.60B,13.67B,13.52B,13.03B,13.09B,13.16B,13.35B,14.97B,12.05B,12.35B,12.39B,12.36B,12.36B,15.37B,15.39B,15.36B,15.26B,14.90B,14.88B,15.08B,14.96B,15.22B,15.08B,15.18B,15.07B,15.20B,15.16B,15.19B
Accounts Payable,3.56B,3.348B,3.248B,3.327B,3.80B,3.348B,3.113B,3.207B,3.532B,3.132B,3.134B,3.011B,3.441B,3.044B,2.826B,2.874B,2.883B,2.987B,2.727B,2.839B,3.048B,2.502B,2.633B,2.761B,2.484B,2.477B,2.357B,2.386B,2.58B,2.491B,2.302B,2.263B,1.444B,1.388B,1.297B,1.331B,1.373B,1.143B,1.345B,1.075B,1.144B,1.121B,1.416B,1.278B,1.458B,1.308B,1.45B,1.326B,1.289B,1.251B,1.382B,1.147B,1.195B,1.153B,1.467B,1.434B,1.237B,1.235B,1.255B,1.136B,1.221B,1.125B,1.238B,1.692B,1.762B,1.815B,1.607B,1.304B,1.164B,1.078B,964.00M,1.052B,1.178B,1.158B,1.193B,308.00M,290.00M,251.00M,270.00M,373.40M,357.50M,276.90M,316.00M,288.10M,295.60M,233.40M,323.80M,217.00M,164.50M,126.30M,213.00M,179.80M,178.90M,240.10M,299.70M,232.80M,205.20M,210.70M,308.80M,292.10M,199.40M,181.70M
Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00M,,4.00M,4.00M,472.00M,349.00M,,,,1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.00M,,,,,,,,,,,,,,20.20M,21.00M,16.10M,,27.70M,28.90M,29.80M,22.40M,30.30M,30.50M,31.00M,20.70M,27.50M,27.80M,28.10M,15.10M,27.10M,31.10M,31.60M
Current Tax Payable,414.00M,,,,412.00M,,,,373.00M,,,,723.00M,,,,293.00M,,,,305.00M,,,,315.00M,,,,,,,,,,,,,,264.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,3.979B,3.353B,3.253B,3.332B,4.217B,3.353B,3.118B,3.212B,3.91B,3.137B,3.142B,3.019B,4.172B,3.052B,2.834B,2.882B,3.184B,2.995B,2.735B,2.847B,3.361B,2.524B,2.671B,2.855B,2.915B,2.477B,2.357B,2.387B,2.692B,2.495B,2.306B,2.735B,1.793B,1.388B,1.297B,1.331B,1.374B,1.143B,1.609B,1.075B,1.144B,1.121B,1.416B,1.278B,1.458B,1.308B,1.45B,1.326B,1.289B,1.251B,1.382B,1.147B,1.195B,1.153B,1.467B,1.434B,1.237B,1.235B,1.255B,1.136B,1.221B,1.125B,1.238B,1.692B,1.762B,1.815B,1.607B,1.304B,1.164B,1.577B,964.00M,1.052B,1.178B,1.158B,1.193B,308.00M,290.00M,251.00M,270.00M,373.40M,357.50M,276.90M,316.00M,308.30M,316.60M,249.50M,323.80M,244.70M,193.40M,156.10M,235.40M,210.10M,209.40M,271.10M,320.40M,260.30M,233.00M,238.80M,323.90M,319.20M,230.50M,213.30M
Accrued Expenses,515.00M,1.877B,1.706B,1.725B,509.00M,1.964B,1.665B,1.569B,486.00M,3.08B,2.878B,3.007B,1.538B,3.236B,2.757B,2.26B,1.069B,1.576B,1.366B,1.23B,402.00M,1.462B,1.382B,1.364B,635.00M,1.54B,1.382B,1.43B,1.796B,1.502B,1.452B,1.492B,1.255B,1.053B,878.00M,852.00M,1.04B,1.191B,258.00M,888.00M,1.045B,1.177B,1.151B,2.30B,3.07B,2.495B,1.24B,2.216B,1.974B,2.555B,3.279B,2.658B,2.793B,2.677B,2.892B,3.332B,2.099B,2.268B,2.178B,2.053B,2.192B,3.699B,2.211B,1.586B,1.569B,1.663B,1.65B,1.437B,1.866B,1.133B,1.64B,2.061B,1.701B,1.042B,1.177B,632.00M,651.00M,639.00M,725.00M,536.80M,554.20M,649.70M,533.00M,620.10M,512.70M,607.50M,590.50M,338.70M,279.80M,380.70M,247.80M,303.20M,267.60M,362.70M,295.50M,458.40M,394.90M,400.00M,254.00M,372.80M,274.40M,366.20M
Payables and Accrued Expenses,4.494B,5.23B,4.959B,5.057B,4.726B,5.317B,4.783B,4.781B,4.396B,6.217B,6.02B,6.026B,5.71B,6.288B,5.591B,5.142B,4.253B,4.571B,4.101B,4.077B,3.763B,3.986B,4.053B,4.219B,3.55B,4.017B,3.739B,3.817B,4.488B,3.997B,3.758B,4.227B,3.048B,2.441B,2.175B,2.183B,2.414B,2.334B,1.867B,1.963B,2.189B,2.298B,2.567B,3.578B,4.528B,3.803B,2.69B,3.542B,3.263B,3.806B,4.661B,3.805B,3.988B,3.83B,4.359B,4.766B,3.336B,3.503B,3.433B,3.189B,3.413B,4.824B,3.449B,3.278B,3.331B,3.478B,3.257B,2.741B,3.03B,2.71B,2.604B,3.113B,2.879B,2.20B,2.37B,940.00M,941.00M,890.00M,995.00M,910.20M,911.70M,926.60M,849.00M,928.40M,829.30M,857.00M,914.30M,583.40M,473.20M,536.80M,483.20M,513.30M,477.00M,633.80M,615.90M,718.70M,627.90M,638.80M,577.90M,692.00M,504.90M,579.50M
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,210.00M,210.00M,210.00M,225.00M,225.00M,225.00M,225.00M,225.00M,225.00M,225.00M,225.00M,225.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,6.08B,5.267B,4.835B,3.762B,2.063B,1.605B,2.41B,2.857B,3.017B,3.874B,5.376B,5.693B,3.697B,3.079B,3.644B,5.698B,2.033B,1.572B,769.00M,1.569B,2.262B,2.626B,2.668B,1.353B,1.85B,1.857B,2.693B,2.397B,1.047B,1.179B,967.00M,1.074B,991.00M,1.701B,1.188B,1.099B,599.00M,1.487B,1.209B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
