Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12
Other Current Assets,187.00M,180.00M,197.00M,183.00M,197.00M,155.00M,176.00M,214.00M,242.00M,171.00M,192.00M,223.00M,262.00M,183.00M,214.00M,278.00M,348.00M,266.00M,318.00M,356.00M,381.00M,265.00M,270.00M,290.00M,241.00M,281.00M,296.00M,256.00M,345.00M,348.00M,335.00M,381.00M,327.00M,316.00M,288.00M,315.00M,376.00M,394.00M,358.00M,208.00M,273.00M,251.00M,353.00M,209.00M,617.00M,924.00M,587.00M,461.00M,202.00M,178.00M,130.00M,203.00M,263.00M,110.00M,112.00M,185.00M,59.00M,70.00M,98.00M,90.00M,159.00M,82.00M,117.00M,172.00M,188.00M,44.00M,103.00M,83.00M,42.00M,29.00M,32.00M,42.00M,35.15M,32.16M,30.89M,37.21M,39.68M,36.85M,272.06M,39.79M,53.30M,27.70M,19.20M,22.90M,252.00M,28.90M,39.20M,54.90M
Total Current Assets,1.431B,1.495B,1.514B,1.422B,1.533B,1.64B,1.685B,1.567B,1.612B,1.581B,1.571B,1.45B,1.593B,1.599B,1.594B,1.458B,1.917B,1.983B,1.991B,1.993B,1.694B,1.942B,1.965B,1.84B,1.972B,3.273B,3.408B,3.296B,3.596B,2.406B,2.154B,2.124B,2.295B,2.68B,2.603B,2.715B,2.89B,2.83B,2.658B,2.842B,2.78B,2.664B,2.757B,2.608B,2.547B,2.766B,2.303B,2.48B,2.341B,2.565B,1.86B,1.874B,1.737B,1.545B,1.463B,1.818B,1.983B,1.565B,1.438B,1.472B,2.142B,1.652B,1.687B,1.317B,1.31B,1.177B,1.291B,1.452B,1.46B,976.00M,784.00M,864.00M,983.08M,911.33M,772.08M,921.18M,1.006B,779.56M,864.54M,879.01M,1.150B,841.40M,755.70M,771.20M,1.076B,798.90M,684.50M,711.20M
Other Properties,2.402B,,,,2.101B,,,,1.921B,,,,1.837B,,,,1.701B,,,,,,,,,,,,,,,,,,,,26.15B,,,22.89B,,,,23.13B,,,,22.32B,,,,21.44B,,,,,,,,19.56B,,,,17.01B,,17.20B,16.57B,15.20B,14.94B,14.78B,14.41B,14.30B,13.95B,13.77B,13.36B,13.29B,13.23B,12.96B,12.74B,12.64B,12.48B,12.42B,12.34B,12.28B,12.22B,12.17B,12.07B,12.01B
Construction in Progress,730.00M,,,,1.081B,,,,1.072B,,,,956.00M,,,,1.543B,,,,985.00M,,,,1.148B,,,,898.00M,,,,1.088B,,,,893.00M,,,1.922B,,,,1.936B,,,,1.165B,,,,572.00M,,,,,,,,731.00M,,,,507.00M,,71.00M,583.00M,474.00M,557.00M,551.00M,693.00M,661.00M,731.90M,649.88M,743.89M,618.71M,461.22M,530.76M,518.66M,418.71M,353.40M,310.80M,262.50M,255.70M,227.90M,216.60M,250.10M,266.30M
Gross PP&E,37.38B,,,,35.08B,,,,33.10B,,,,31.07B,,,,29.15B,,,,27.18B,,,,24.85B,,,,23.69B,,,,27.56B,,,,27.05B,,,26.40B,,,,25.07B,24.39B,23.98B,23.71B,23.48B,22.46B,22.26B,22.08B,22.01B,21.26B,21.15B,,20.81B,20.40B,20.39B,20.33B,20.29B,19.65B,17.65B,17.56B,17.51B,17.23B,17.27B,17.16B,15.67B,15.50B,15.33B,15.11B,14.96B,14.68B,14.42B,14.11B,13.91B,13.69B,13.49B,13.26B,13.06B,12.84B,12.73B,12.60B,12.53B,12.45B,12.39B,12.32B,12.27B
Accumulated D&A,-13.01B,,,,-12.27B,,,,-11.63B,,,,-10.96B,,,,-10.35B,,,,-9.759B,,,,-8.644B,,,,-8.346B,,,,-9.429B,,,,-9.194B,,,-8.787B,,,,-8.499B,-8.415B,-8.415B,-8.415B,-8.415B,-7.727B,-7.727B,-7.727B,-7.727B,-7.228B,-7.228B,,-7.228B,-6.994B,-6.994B,-6.994B,-6.994B,-6.594B,-6.594B,-6.594B,-6.594B,-7.075B,-7.075B,-6.974B,-6.179B,-6.808B,-6.708B,-6.628B,-6.536B,-6.455B,-6.363B,-6.290B,-6.204B,-6.159B,-6.060B,-5.967B,-5.891B,-5.840B,-5.771B,-5.689B,-5.603B,-5.528B,-5.440B,-5.362B,-5.285B
Net PP&E,24.38B,23.89B,23.48B,23.04B,22.81B,22.38B,22.00B,21.67B,21.47B,20.91B,20.59B,20.30B,20.11B,19.65B,19.32B,19.00B,18.80B,18.31B,17.99B,17.70B,17.42B,16.99B,16.73B,16.42B,16.20B,15.83B,15.60B,15.41B,15.35B,17.83B,17.69B,17.54B,18.13B,17.87B,17.94B,17.89B,17.85B,17.75B,17.67B,17.61B,17.27B,17.01B,16.78B,16.57B,15.98B,15.57B,15.29B,15.07B,14.73B,14.54B,14.35B,14.29B,14.03B,13.92B,13.85B,13.58B,13.40B,13.40B,13.33B,13.30B,13.05B,11.05B,10.96B,10.92B,10.15B,10.20B,10.18B,9.492B,8.689B,8.624B,8.478B,8.427B,8.225B,8.058B,7.817B,7.706B,7.528B,7.427B,7.295B,7.165B,6.996B,6.957B,6.911B,6.928B,6.924B,6.950B,6.961B,6.987B
Goodwill,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,831.00M,831.00M,831.00M,831.00M,831.00M,831.00M,831.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,20.00M,19.00M,17.00M,,19.00M,18.00M,16.00M,14.00M,14.00M,12.00M,9.00M,7.00M,6.00M,4.00M,7.00M,7.00M,113.00M,124.00M,129.00M,138.00M,150.00M,160.00M,167.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,411.00M,431.00M,430.00M,428.00M,411.00M,430.00M,429.00M,427.00M,425.00M,425.00M,423.00M,420.00M,418.00M,417.00M,415.00M,418.00M,418.00M,944.00M,955.00M,960.00M,969.00M,981.00M,991.00M,998.00M,998.00M,1.008B,1.02B,1.029B,1.028B,1.037B,1.041B,1.047B,1.204B,1.226B,1.24B,1.299B,957.00M,934.00M,927.00M,1.066B,979.00M,565.00M,565.00M,574.00M,630.00M,620.00M,621.00M,,,,,,,336.88M,,,,,,,,,,,,,,
Long Term Investments,847.00M,798.00M,783.00M,754.00M,684.00M,752.00M,714.00M,698.00M,704.00M,672.00M,651.00M,635.00M,607.00M,599.00M,582.00M,567.00M,556.00M,534.00M,555.00M,558.00M,549.00M,529.00M,523.00M,503.00M,494.00M,459.00M,442.00M,437.00M,408.00M,407.00M,386.00M,390.00M,357.00M,330.00M,356.00M,353.00M,337.00M,289.00M,307.00M,293.00M,280.00M,249.00M,223.00M,239.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,876.00M,780.00M,741.00M,744.00M,650.00M,647.00M,626.00M,532.00M,522.00M,538.00M,526.00M,532.00M,538.00M,566.00M,552.00M,573.00M,575.00M,646.00M,649.00M,645.00M,629.00M,724.00M,731.00M,719.00M,720.00M,660.00M,654.00M,665.00M,667.00M,772.00M,776.00M,773.00M,845.00M,843.00M,848.00M,738.00M,750.00M,2.105B,2.097B,655.00M,2.293B,2.29B,2.319B,2.259B,1.957B,2.305B,2.141B,2.15B,2.307B,2.391B,2.372B,2.371B,1.861B,1.759B,1.757B,1.473B,1.748B,1.595B,1.636B,1.615B,1.591B,1.408B,1.424B,1.425B,1.445B,1.463B,1.495B,1.207B,1.065B,1.11B,1.143B,1.11B,1.069B,757.41M,1.078B,1.088B,1.087B,1.106B,1.156B,1.133B,1.112B,1.138B,1.147B,1.148B,1.122B,1.132B,1.152B,1.129B
Total Long Term Assets,27.50B,27.05B,26.59B,26.09B,25.68B,25.32B,24.95B,24.51B,24.33B,24.04B,23.68B,23.36B,23.11B,22.54B,22.20B,21.93B,21.72B,21.48B,21.16B,20.89B,20.60B,19.93B,19.62B,19.33B,19.07B,19.11B,18.87B,18.66B,18.63B,21.09B,20.83B,20.78B,21.35B,20.68B,20.79B,20.61B,20.62B,21.08B,21.03B,20.86B,20.81B,20.53B,20.31B,20.06B,18.93B,18.88B,18.46B,18.25B,18.06B,17.97B,17.77B,17.70B,17.09B,16.90B,16.85B,16.35B,16.11B,15.93B,15.90B,15.98B,15.62B,13.02B,12.95B,12.92B,12.23B,12.28B,12.30B,10.70B,9.754B,9.734B,9.621B,9.537B,9.295B,9.152B,8.895B,8.793B,8.616B,8.533B,8.451B,8.299B,8.108B,8.096B,8.057B,8.076B,8.047B,8.082B,8.113B,8.116B
Total Assets,28.93B,28.55B,28.10B,27.51B,27.22B,26.96B,26.64B,26.08B,25.94B,25.62B,25.25B,24.81B,24.70B,24.13B,23.79B,23.38B,23.64B,23.46B,23.15B,22.88B,22.29B,21.88B,21.59B,21.17B,21.04B,22.38B,22.28B,21.95B,22.23B,23.50B,22.98B,22.90B,23.64B,23.36B,23.39B,23.33B,23.51B,23.92B,23.69B,23.70B,23.59B,23.19B,23.07B,22.67B,21.48B,21.64B,20.76B,20.73B,20.40B,20.53B,19.63B,19.58B,18.83B,18.45B,18.31B,18.17B,18.09B,17.49B,17.33B,17.45B,17.76B,14.68B,14.64B,14.24B,13.54B,13.46B,13.59B,12.15B,11.21B,10.71B,10.40B,10.40B,10.28B,10.06B,9.667B,9.714B,9.622B,9.312B,9.315B,9.178B,9.259B,8.937B,8.813B,8.847B,9.122B,8.880B,8.797B,8.828B
Accounts Payable,874.00M,598.00M,593.00M,522.00M,817.00M,591.00M,565.00M,497.00M,902.00M,548.00M,522.00M,460.00M,805.00M,513.00M,499.00M,429.00M,777.00M,525.00M,486.00M,434.00M,711.00M,466.00M,575.00M,559.00M,806.00M,414.00M,428.00M,341.00M,533.00M,458.00M,479.00M,366.00M,693.00M,410.00M,482.00M,401.00M,651.00M,465.00M,427.00M,694.00M,443.00M,523.00M,519.00M,813.00M,509.00M,527.00M,443.00M,687.00M,415.00M,455.00M,454.00M,671.00M,382.00M,404.00M,338.00M,706.00M,461.00M,370.00M,365.00M,567.00M,320.00M,273.00M,249.00M,480.00M,275.00M,297.00M,295.00M,369.00M,175.00M,253.00M,174.00M,392.00M,287.06M,314.61M,251.34M,462.92M,254.98M,244.67M,179.89M,341.27M,262.60M,250.90M,181.00M,297.20M,203.20M,163.30M,148.60M,293.40M
Current Tax Payable,,164.00M,,81.00M,,154.00M,139.00M,91.00M,52.00M,159.00M,122.00M,77.00M,46.00M,159.00M,124.00M,77.00M,43.00M,160.00M,126.00M,79.00M,46.00M,161.00M,132.00M,89.00M,55.00M,159.00M,123.00M,91.00M,49.00M,163.00M,141.00M,101.00M,65.00M,161.00M,139.00M,134.00M,63.00M,129.00M,94.00M,54.00M,135.00M,131.00M,83.00M,54.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,874.00M,762.00M,593.00M,603.00M,817.00M,745.00M,704.00M,588.00M,954.00M,707.00M,644.00M,537.00M,851.00M,672.00M,623.00M,506.00M,820.00M,685.00M,612.00M,513.00M,757.00M,627.00M,707.00M,648.00M,861.00M,573.00M,551.00M,432.00M,582.00M,621.00M,620.00M,467.00M,758.00M,571.00M,621.00M,535.00M,714.00M,594.00M,521.00M,748.00M,578.00M,654.00M,602.00M,867.00M,509.00M,527.00M,443.00M,687.00M,415.00M,455.00M,454.00M,671.00M,382.00M,404.00M,338.00M,706.00M,461.00M,370.00M,365.00M,567.00M,320.00M,273.00M,249.00M,480.00M,275.00M,297.00M,295.00M,369.00M,175.00M,253.00M,174.00M,392.00M,287.06M,314.61M,251.34M,462.92M,254.98M,244.67M,179.89M,341.27M,262.60M,250.90M,181.00M,297.20M,203.20M,163.30M,148.60M,293.40M
Accrued Expenses,,,,81.00M,,108.00M,109.00M,97.00M,99.00M,106.00M,104.00M,100.00M,93.00M,110.00M,102.00M,99.00M,89.00M,103.00M,98.00M,94.00M,85.00M,105.00M,92.00M,104.00M,86.00M,120.00M,100.00M,111.00M,89.00M,145.00M,113.00M,149.00M,101.00M,159.00M,107.00M,153.00M,107.00M,123.00M,165.00M,110.00M,183.00M,126.00M,167.00M,107.00M,733.00M,816.00M,627.00M,522.00M,684.00M,543.00M,539.00M,463.00M,682.00M,483.00M,547.00M,492.00M,565.00M,499.00M,538.00M,388.00M,760.00M,435.00M,434.00M,318.00M,472.00M,379.00M,404.00M,222.00M,594.00M,547.00M,503.00M,409.00M,692.93M,499.47M,577.65M,475.33M,680.98M,550.32M,632.69M,526.86M,698.60M,523.70M,512.80M,397.30M,553.40M,461.00M,414.70M,315.10M
Payables and Accrued Expenses,874.00M,762.00M,593.00M,684.00M,817.00M,853.00M,813.00M,685.00M,1.053B,813.00M,748.00M,637.00M,944.00M,782.00M,725.00M,605.00M,909.00M,788.00M,710.00M,607.00M,842.00M,732.00M,799.00M,752.00M,947.00M,693.00M,651.00M,543.00M,671.00M,766.00M,733.00M,616.00M,859.00M,730.00M,728.00M,688.00M,821.00M,717.00M,686.00M,858.00M,761.00M,780.00M,769.00M,974.00M,1.242B,1.343B,1.07B,1.209B,1.099B,998.00M,993.00M,1.134B,1.064B,887.00M,885.00M,1.198B,1.026B,869.00M,903.00M,955.00M,1.08B,708.00M,683.00M,798.00M,747.00M,676.00M,699.00M,591.00M,769.00M,800.00M,677.00M,801.00M,979.99M,814.08M,828.98M,938.26M,935.96M,794.99M,812.58M,868.14M,961.20M,774.60M,693.80M,694.50M,756.60M,624.30M,563.30M,608.50M
Commercial Paper Liability,440.00M,544.00M,999.00M,799.00M,597.00M,521.00M,506.00M,960.00M,484.00M,446.00M,892.00M,914.00M,558.00M,608.00M,778.00M,581.00M,301.00M,783.00M,886.00M,955.00M,714.00M,753.00M,793.00M,700.00M,368.00M,,25.00M,,0.00,,,,148.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,442.00M,336.00M,336.00M,336.00M,580.00M,649.00M,847.00M,1.17B,841.00M,777.00M,578.00M,681.00M,681.00M,431.00M,431.00M,135.00M,395.00M,395.00M,395.00M,380.00M,120.00M,119.00M,119.00M,648.00M,534.00M,884.00M,884.00M,355.00M,355.00M,211.00M,209.00M,305.00M,179.00M,528.00M,342.00M,489.00M,424.00M,,,224.00M,,,,1.554B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,882.00M,880.00M,1.335B,1.135B,1.177B,1.17B,1.353B,2.13B,1.325B,1.223B,1.47B,1.595B,1.239B,1.039B,1.209B,716.00M,696.00M,1.178B,1.281B,1.335B,834.00M,872.00M,912.00M,1.348B,902.00M,884.00M,909.00M,355.00M,355.00M,211.00M,209.00M,305.00M,327.00M,528.00M,342.00M,489.00M,424.00M,354.00M,204.00M,224.00M,563.00M,1.094B,1.377B,1.554B,1.676B,1.735B,2.44B,1.693B,1.405B,1.822B,1.256B,1.068B,776.00M,521.00M,614.00M,289.00M,370.00M,511.00M,772.00M,840.00M,294.00M,326.00M,333.00M,659.00M,502.00M,587.00M,358.00M,610.00M,261.00M,189.00M,242.00M,780.00M,506.54M,471.43M,318.26M,247.70M,529.44M,393.28M,532.88M,209.03M,237.20M,211.10M,247.20M,260.20M,320.90M,159.70M,157.30M,138.50M
Current Debt & Capital Lease Obligation,882.00M,880.00M,1.335B,1.135B,1.177B,1.17B,1.353B,2.13B,1.325B,1.223B,1.47B,1.595B,1.239B,1.039B,1.209B,716.00M,696.00M,1.178B,1.281B,1.335B,834.00M,872.00M,912.00M,1.348B,902.00M,884.00M,909.00M,355.00M,355.00M,211.00M,209.00M,305.00M,327.00M,528.00M,342.00M,489.00M,424.00M,354.00M,204.00M,224.00M,563.00M,1.094B,1.377B,1.554B,1.676B,1.735B,2.44B,1.693B,1.405B,1.822B,1.256B,1.068B,776.00M,521.00M,614.00M,289.00M,370.00M,511.00M,772.00M,840.00M,294.00M,326.00M,333.00M,659.00M,502.00M,587.00M,358.00M,610.00M,261.00M,189.00M,242.00M,780.00M,506.54M,471.43M,318.26M,247.70M,529.44M,393.28M,532.88M,209.03M,237.20M,211.10M,247.20M,260.20M,320.90M,159.70M,157.30M,138.50M
Current Deferred Revenue,,,,111.00M,,126.00M,114.00M,115.00M,108.00M,108.00M,108.00M,106.00M,107.00M,104.00M,100.00M,98.00M,100.00M,,,,,,,,,106.00M,110.00M,110.00M,107.00M,96.00M,97.00M,98.00M,98.00M,98.00M,100.00M,100.00M,100.00M,,,101.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,,,,111.00M,,126.00M,114.00M,115.00M,108.00M,108.00M,108.00M,106.00M,107.00M,104.00M,100.00M,98.00M,100.00M,,,,,,,,,106.00M,110.00M,110.00M,107.00M,96.00M,97.00M,98.00M,98.00M,98.00M,100.00M,100.00M,100.00M,,93.00M,101.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,749.00M,643.00M,824.00M,462.00M,693.00M,431.00M,431.00M,415.00M,454.00M,437.00M,439.00M,424.00M,384.00M,366.00M,396.00M,420.00M,388.00M,523.00M,565.00M,578.00M,573.00M,515.00M,601.00M,625.00M,612.00M,1.545B,1.616B,1.569B,1.553B,473.00M,564.00M,595.00M,501.00M,492.00M,557.00M,560.00M,543.00M,689.00M,657.00M,528.00M,602.00M,671.00M,735.00M,549.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10M,,,,0.10M,-0.10M,,
Total Current Liabilities,2.505B,2.285B,2.752B,2.392B,2.687B,2.58B,2.711B,3.345B,2.94B,2.581B,2.765B,2.762B,2.674B,2.291B,2.43B,1.839B,2.093B,2.489B,2.556B,2.52B,2.249B,2.119B,2.312B,2.725B,2.461B,3.228B,3.286B,2.577B,2.686B,1.546B,1.603B,1.614B,1.785B,1.848B,1.727B,1.837B,1.888B,1.76B,1.64B,1.711B,1.926B,2.545B,2.881B,3.077B,2.918B,3.078B,3.51B,2.902B,2.504B,2.82B,2.249B,2.202B,1.84B,1.408B,1.499B,1.487B,1.396B,1.38B,1.675B,1.795B,1.374B,1.034B,1.016B,1.457B,1.249B,1.263B,1.057B,1.201B,1.03B,989.00M,919.00M,1.581B,1.487B,1.286B,1.147B,1.186B,1.465B,1.188B,1.345B,1.077B,1.198B,985.70M,941.00M,954.70M,1.078B,783.90M,720.60M,747.00M
Long Term Provisions - Legal & Other,638.00M,671.00M,667.00M,630.00M,627.00M,640.00M,641.00M,636.00M,638.00M,631.00M,634.00M,641.00M,635.00M,636.00M,629.00M,625.00M,618.00M,597.00M,589.00M,500.00M,396.00M,385.00M,380.00M,373.00M,369.00M,392.00M,385.00M,380.00M,349.00M,429.00M,440.00M,434.00M,428.00M,439.00M,487.00M,482.00M,475.00M,,,429.00M,,,,406.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
