Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.00M,22.00M,24.00M,22.00M,-55.00M,24.00M,9.00M,22.00M,62.00M,9.00M,3.00M,4.00M,43.00M,6.00M,3.00M,5.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Impairment Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126.00M,124.00M,2.00M,0.00,0.00,589.00M,,,7.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.00M,15.00M,16.00M,-16.00M,,,31.00M,-31.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,5.00M,5.00M,4.00M,6.00M,5.00M,5.00M,4.00M,6.00M,5.00M,4.00M,4.00M,4.00M,0.00,5.00M,6.00M,6.00M,4.00M,6.00M,6.00M,8.00M,5.00M,5.00M,6.00M,9.00M,8.00M,5.00M,5.00M,9.00M,6.00M,11.00M,4.00M,8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-6.00M,-8.00M,0.00,-9.00M,16.00M,4.00M,6.00M,2.00M,-5.00M,-3.00M,0.00,-4.00M,11.00M,-3.00M,-4.00M,-5.00M,-7.00M,2.00M,-2.00M,-11.00M,-17.00M,-6.00M,-10.00M,-3.00M,4.00M,-8.00M,19.00M,-5.00M,-4.00M,-142.00M,-5.00M,-10.00M,95.00M,-8.00M,-9.00M,-6.00M,19.00M,-6.00M,-13.00M,-8.00M,-24.00M,-6.00M,12.00M,-1.00M,-12.00M,54.00M,-55.00M,-1.00M,-33.00M,33.00M,,,-38.00M,89.00M,-13.00M,13.00M,,,,,,,,,,,,,,,,,,,,,,,,,-290.40M,290.50M,-0.08M,-0.02M,-278.40M,94.50M,89.90M,94.10M
Change in Receivables,69.00M,56.00M,-50.00M,4.00M,105.00M,41.00M,-144.00M,-26.00M,6.00M,-5.00M,-98.00M,44.00M,63.00M,-23.00M,-166.00M,55.00M,154.00M,9.00M,-32.00M,-48.00M,15.00M,78.00M,24.00M,-86.00M,28.00M,4.00M,3.00M,-95.00M,51.00M,-5.00M,-109.00M,93.00M,70.00M,107.00M,-71.00M,94.00M,-43.00M,-118.00M,-76.00M,40.00M,-263.00M,168.00M,-14.00M,130.00M,-132.00M,129.00M,67.00M,-52.00M,-100.00M,-25.00M,-2.00M,-193.00M,-66.00M,-11.00M,64.00M,104.00M,-159.00M,7.00M,-28.00M,20.00M,-39.00M,44.00M,-60.00M,37.00M,-11.00M,11.00M,-7.00M,13.00M,23.00M,25.00M,-100.00M,26.00M,99.00M,-20.57M,-93.02M,85.59M,-51.59M,-22.28M,-128.30M,62.32M,117.10M,-4.20M,-84.22M,5.821M,97.20M,-33.70M,-122.50M,52.30M
Change in Inventories,-6.00M,-54.00M,-31.00M,81.00M,43.00M,-50.00M,-22.00M,68.00M,37.00M,-34.00M,-46.00M,60.00M,24.00M,-36.00M,-32.00M,55.00M,9.00M,-48.00M,-50.00M,75.00M,37.00M,-69.00M,-67.00M,102.00M,53.00M,-70.00M,-50.00M,127.00M,29.00M,-76.00M,-60.00M,79.00M,5.00M,-89.00M,-80.00M,135.00M,34.00M,-69.00M,-40.00M,148.00M,78.00M,-120.00M,-76.00M,185.00M,116.00M,-232.00M,-163.00M,179.00M,22.00M,-145.00M,-123.00M,158.00M,61.00M,-161.00M,-126.00M,151.00M,59.00M,-180.00M,-14.00M,60.00M,7.00M,-61.00M,-46.00M,75.00M,22.00M,-55.00M,-58.00M,44.00M,-19.00M,-17.00M,-5.00M,37.00M,-18.00M,-8.792M,-63.90M,22.69M,22.28M,-12.60M,-12.73M,29.22M,4.70M,-2.20M,-13.20M,3.301M,-7.30M,-4.70M,-0.90M,-5.30M
Change in Payables and Accrued Expense,76.00M,35.00M,63.00M,-185.00M,74.00M,-2.00M,96.00M,-200.00M,132.00M,55.00M,95.00M,-195.00M,109.00M,43.00M,96.00M,-216.00M,32.00M,41.00M,83.00M,-180.00M,53.00M,25.00M,53.00M,-165.00M,-116.00M,10.00M,78.00M,-86.00M,24.00M,10.00M,114.00M,-186.00M,65.00M,-40.00M,84.00M,-142.00M,101.00M,-21.00M,91.00M,-141.00M,118.00M,-33.00M,89.00M,-216.00M,57.00M,66.00M,-20.00M,-76.00M,133.00M,-51.00M,19.00M,-81.00M,175.00M,-46.00M,68.00M,-282.00M,201.00M,91.00M,5.00M,-168.00M,221.00M,-30.00M,19.00M,-181.00M,155.00M,-22.00M,37.00M,-186.00M,137.00M,-78.00M,79.00M,-218.00M,105.00M,-27.68M,63.27M,-211.59M,207.94M,10.31M,64.78M,-161.38M,91.10M,11.70M,69.86M,-116.16M,94.00M,39.90M,14.70M,-144.80M
Change in Other Current Assets,-3.00M,-45.00M,3.00M,-14.00M,4.00M,-10.00M,7.00M,1.00M,16.00M,-4.00M,15.00M,7.00M,-30.00M,-15.00M,17.00M,7.00M,29.00M,-10.00M,13.00M,14.00M,-14.00M,-10.00M,44.00M,10.00M,0.00,-29.00M,-3.00M,52.00M,64.00M,-36.00M,-7.00M,19.00M,,,,,,,,,,,,,,,,,,,-19.00M,19.00M,,,,,,,,,,,,,-7.00M,-25.00M,17.00M,,16.00M,-4.00M,-12.00M,,-5.00M,5.00M,,,,,,,,,,,,,,
Change in Other Current Liabilities,-44.00M,-52.00M,74.00M,-11.00M,-72.00M,5.00M,7.00M,-57.00M,-19.00M,-9.00M,18.00M,3.00M,12.00M,-15.00M,12.00M,-26.00M,-18.00M,-11.00M,6.00M,-21.00M,7.00M,0.00,-10.00M,-11.00M,10.00M,-33.00M,-20.00M,29.00M,-56.00M,25.00M,13.00M,23.00M,,,,,,,,,,,,,,,,,,,-37.00M,37.00M,,,,,,,,,,,,,-10.00M,32.00M,-44.00M,71.00M,-116.00M,17.00M,,,33.00M,-33.00M,,,23.48M,24.75M,-62.24M,14.01M,-75.70M,50.80M,1.492M,23.41M,-48.80M,2.70M,46.10M,
Change in Other Working Cap,13.00M,122.00M,-32.00M,22.00M,-35.00M,124.00M,56.00M,31.00M,-43.00M,56.00M,-14.00M,16.00M,79.00M,8.00M,22.00M,90.00M,-18.00M,10.00M,6.00M,87.00M,-46.00M,-161.00M,-62.00M,,42.00M,-71.00M,42.00M,29.00M,-5.00M,15.00M,-10.00M,32.00M,-97.00M,-100.00M,-95.00M,228.00M,-27.00M,82.00M,-63.00M,-16.00M,-34.00M,116.00M,-68.00M,100.00M,-102.00M,250.00M,-62.00M,-71.00M,-141.00M,115.00M,9.00M,98.00M,-102.00M,76.00M,-44.00M,130.00M,-125.00M,-38.00M,-4.00M,182.00M,-329.00M,-34.00M,-19.00M,63.00M,-128.00M,68.00M,31.00M,68.00M,-177.00M,67.00M,43.00M,104.00M,-357.00M,224.66M,-92.93M,133.27M,-223.69M,161.58M,-49.08M,113.41M,-142.90M,112.70M,32.95M,114.65M,-81.70M,99.90M,-21.90M,114.40M
Changes in Working Capital,105.00M,62.00M,27.00M,-103.00M,119.00M,108.00M,0.00,-183.00M,129.00M,59.00M,-30.00M,-65.00M,257.00M,-38.00M,-51.00M,-35.00M,188.00M,-9.00M,26.00M,-73.00M,52.00M,-137.00M,-18.00M,-150.00M,17.00M,-189.00M,50.00M,56.00M,107.00M,-67.00M,-59.00M,60.00M,17.00M,-122.00M,-162.00M,315.00M,89.00M,-126.00M,-88.00M,31.00M,-101.00M,131.00M,-69.00M,199.00M,-61.00M,213.00M,-178.00M,-20.00M,-86.00M,-106.00M,-153.00M,38.00M,68.00M,-142.00M,-38.00M,103.00M,-24.00M,-120.00M,-41.00M,94.00M,-140.00M,-81.00M,-106.00M,-6.00M,21.00M,9.00M,-24.00M,10.00M,-136.00M,10.00M,5.00M,-51.00M,-143.00M,139.62M,-186.58M,29.96M,-21.58M,161.78M,-187.58M,57.58M,-5.70M,168.80M,6.888M,31.01M,53.40M,104.10M,-84.50M,16.60M
Other Cash from Operations,,,,,,,,,,,,,,,,,1.00M,-4.00M,-2.00M,1.00M,-1.00M,-1.00M,-4.00M,0.00,-42.00M,60.00M,2.00M,37.00M,64.00M,125.00M,18.00M,79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operations,502.00M,789.00M,492.00M,387.00M,484.00M,866.00M,562.00M,258.00M,471.00M,784.00M,532.00M,331.00M,558.00M,796.00M,414.00M,349.00M,489.00M,761.00M,469.00M,312.00M,362.00M,549.00M,415.00M,239.00M,379.00M,546.00M,389.00M,379.00M,378.00M,551.00M,378.00M,383.00M,313.00M,666.00M,339.00M,560.00M,327.00M,725.00M,391.00M,380.00M,281.00M,825.00M,355.00M,516.00M,271.00M,752.00M,172.00M,329.00M,182.00M,377.00M,185.00M,358.00M,210.00M,450.00M,246.00M,373.00M,162.00M,340.00M,392.00M,357.00M,393.00M,300.00M,192.00M,244.00M,170.00M,422.00M,204.00M,226.00M,100.00M,387.00M,236.00M,110.00M,15.00M,511.05M,25.40M,186.54M,93.66M,507.67M,46.24M,208.01M,63.70M,504.30M,181.64M,167.96M,161.30M,425.90M,77.70M,138.30M
Net Change in Capital Expenditures,-655.00M,-637.00M,-585.00M,-565.00M,-619.00M,-591.00M,-537.00M,-591.00M,-620.00M,-527.00M,-517.00M,-531.00M,-594.00M,-513.00M,-507.00M,-517.00M,-607.00M,-488.00M,-440.00M,-434.00M,-521.00M,-429.00M,-457.00M,-452.00M,-447.00M,-377.00M,-314.00M,-286.00M,-336.00M,-281.00M,-254.00M,-283.00M,-140.00M,-263.00M,-287.00M,-253.00M,-329.00M,-212.00M,-257.00M,-312.00M,-442.00M,-457.00M,-458.00M,-427.00M,-592.00M,-556.00M,-399.00M,-522.00M,-402.00M,-299.00M,-368.00M,-380.00M,-301.00M,-218.00M,-230.00M,-282.00M,-292.00M,-205.00M,-245.00M,-210.00M,-259.00M,-168.00M,-214.00M,-165.00M,-225.00M,-125.00M,-188.00M,-144.00M,-225.00M,-173.00M,-253.00M,-164.00M,-300.00M,-287.85M,-327.69M,-211.46M,-280.94M,-204.15M,-235.56M,-229.60M,-230.70M,-119.70M,-162.82M,-79.48M,-122.50M,-74.60M,-78.80M,-69.40M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.00M,1.00M,49.00M,0.00,7.00M,0.00,20.00M,,,0.00,0.00,,,,,,8.00M,2.00M,3.00M,,45.00M,-4.00M,11.00M,4.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in PP&E,-5.00M,-1.00M,-4.00M,-21.00M,-22.00M,-14.00M,-4.00M,-12.00M,-11.00M,-2.00M,-23.00M,-27.00M,-14.00M,-17.00M,-3.00M,-21.00M,-22.00M,-2.00M,-11.00M,-17.00M,-46.00M,-2.00M,-16.00M,-10.00M,-11.00M,-9.00M,-14.00M,-11.00M,-35.00M,-4.00M,-14.00M,-38.00M,-67.00M,-11.00M,38.00M,-22.00M,-37.00M,-2.00M,21.00M,-23.00M,-33.00M,-12.00M,-32.00M,-3.00M,-12.00M,-38.00M,-21.00M,-102.00M,-394.00M,-297.00M,-365.00M,-380.00M,-256.00M,-222.00M,-219.00M,-278.00M,-238.00M,-205.00M,-245.00M,-210.00M,-259.00M,-168.00M,-214.00M,-165.00M,-225.00M,-125.00M,-188.00M,-144.00M,-225.00M,-173.00M,-253.00M,-164.00M,-300.00M,-287.85M,-327.69M,-211.46M,-280.94M,-204.15M,-235.56M,-229.60M,-230.70M,-119.70M,-162.82M,-79.48M,-122.50M,-74.60M,-78.80M,-69.40M
Net Change in Intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00M,-4.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Divestitures (Acquisitions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,-292.00M,,,,,8.00M,-451.00M,,,10.00M,0.00,-1.00M,-488.00M,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,12.00M,-7.00M,2.00M,-3.00M,-3.00M,-6.00M,-3.00M,-4.00M,-4.00M,-3.00M,-3.00M,-6.00M,-5.00M,-4.00M,-4.00M,-5.00M,-3.00M,-4.00M,-2.00M,-5.00M,-3.00M,-4.00M,-3.00M,-4.00M,-5.00M,-5.00M,-5.00M,-3.00M,-4.00M,-4.00M,-4.00M,-7.00M,-5.00M,-4.00M,-8.00M,-4.00M,-3.00M,-4.00M,-4.00M,-4.00M,1.00M,-7.00M,8.00M,-5.00M,3.00M,-10.00M,-11.00M,-5.00M,12.00M,-12.00M,4.00M,-4.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Other Investing Changes,6.00M,0.00,-4.00M,1.00M,5.00M,7.00M,8.00M,-2.00M,4.00M,5.00M,0.00,-2.00M,-8.00M,1.00M,-14.00M,12.00M,21.00M,5.00M,6.00M,,19.00M,4.00M,3.00M,-9.00M,3.00M,-3.00M,4.00M,-2.00M,26.00M,-5.00M,1.00M,-2.00M,-3.00M,9.00M,8.00M,1.00M,5.00M,0.00,-2.00M,-1.00M,-3.00M,1.00M,,,-7.00M,0.00,2.00M,,7.00M,-30.00M,-7.00M,-2.00M,51.00M,-27.00M,-3.00M,-3.00M,-87.00M,88.00M,-84.00M,8.00M,-38.00M,9.00M,8.00M,4.00M,-28.00M,3.00M,2.00M,3.00M,4.00M,2.00M,2.00M,4.00M,8.00M,18.87M,-8.307M,3.437M,3.51M,30.99M,30.60M,-25.26M,-0.70M,14.80M,7.363M,13.04M,2.10M,2.30M,10.30M,7.80M
Cash from Investing,-637.00M,-644.00M,-587.00M,-567.00M,-617.00M,-590.00M,-532.00M,-597.00M,-620.00M,-525.00M,-520.00M,-539.00M,-607.00M,-516.00M,-525.00M,-510.00M,-614.00M,-487.00M,-436.00M,-439.00M,-505.00M,-442.00M,-457.00M,-313.00M,-690.00M,-396.00M,-334.00M,-303.00M,-348.00M,-349.00M,-302.00M,-311.00M,-297.00M,-257.00M,-238.00M,-256.00M,-320.00M,-216.00M,-243.00M,-317.00M,-444.00M,-463.00M,-450.00M,-432.00M,-596.00M,-566.00M,-408.00M,-527.00M,-375.00M,-339.00M,-368.00M,-386.00M,-222.00M,-249.00M,-222.00M,-573.00M,-313.00M,-117.00M,-329.00M,-202.00M,-289.00M,-610.00M,-206.00M,-161.00M,-243.00M,-122.00M,-187.00M,-629.00M,-221.00M,-171.00M,-251.00M,-160.00M,-292.00M,-268.98M,-336.00M,-208.02M,-277.43M,-173.16M,-204.96M,-254.86M,-231.40M,-104.90M,-155.45M,-66.45M,-120.40M,-72.30M,-68.50M,-61.60M
Net Change in Long Term Debt,376.00M,450.00M,0.00,121.00M,180.00M,-199.00M,530.00M,0.00,240.00M,300.00M,124.00M,,241.00M,0.00,20.00M,-260.00M,942.00M,0.00,135.00M,0.00,295.00M,0.00,69.00M,-163.00M,-121.00M,0.00,0.00,0.00,-6.00M,128.00M,,,-5.00M,0.00,-150.00M,,-186.00M,-124.00M,0.00,,-132.00M,0.00,173.00M,349.00M,525.00M,-15.00M,546.00M,-19.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in Short Term Debt,-104.00M,-454.00M,199.00M,202.00M,76.00M,15.00M,-454.00M,475.00M,38.00M,-446.00M,-22.00M,356.00M,-50.00M,-170.00M,197.00M,280.00M,-482.00M,-103.00M,-69.00M,241.00M,-39.00M,-40.00M,93.00M,332.00M,368.00M,-25.00M,25.00M,0.00,-5.00M,-25.00M,-96.00M,-22.00M,-102.00M,-187.00M,-67.00M,-125.00M,204.00M,-165.00M,60.00M,-220.00M,415.00M,-739.00M,177.00M,-177.00M,-233.00M,-34.00M,-176.00M,145.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,272.00M,-4.00M,199.00M,323.00M,256.00M,-184.00M,76.00M,475.00M,278.00M,-146.00M,102.00M,356.00M,191.00M,-170.00M,217.00M,20.00M,460.00M,-103.00M,66.00M,241.00M,256.00M,-40.00M,162.00M,169.00M,247.00M,-25.00M,25.00M,0.00,-11.00M,103.00M,-96.00M,-22.00M,-107.00M,-187.00M,-217.00M,-125.00M,18.00M,-289.00M,60.00M,-220.00M,283.00M,-530.00M,141.00M,172.00M,292.00M,-49.00M,370.00M,126.00M,496.00M,-439.00M,822.00M,167.00M,235.00M,-98.00M,107.00M,243.00M,75.00M,134.00M,-308.00M,-100.00M,-574.00M,38.00M,44.00M,-326.00M,183.00M,-223.00M,-129.00M,-104.00M,145.00M,47.00M,176.00M,-92.00M,298.00M,-127.90M,378.79M,74.11M,159.33M,-58.74M,17.47M,216.39M,118.80M,-35.10M,40.63M,-17.03M,-4.90M,-188.80M,49.60M,46.60M
Common Stock Issuance,14.00M,17.00M,18.00M,19.00M,18.00M,16.00M,23.00M,17.00M,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,16.00M,17.00M,15.00M,17.00M,20.00M,17.00M,23.00M,20.00M,17.00M,570.00M,19.00M,28.00M,47.00M,32.00M,29.00M,46.00M,20.00M,23.00M,27.00M,21.00M,18.00M,21.00M,30.00M,27.00M,24.00M,28.00M,372.00M,30.00M,23.00M,483.00M,32.00M,903.00M,25.00M,28.00M,23.00M,285.00M,23.00M,366.00M,23.00M,246.00M,21.00M,12.00M,,,,,,,,,,,,,,
Common Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00M,-15.00M,,,,,3.00M,-3.00M,,,,,0.00,-1.00M,,,0.00,-1.00M,,,0.00,-1.00M,,,0.00,22.00M,-1.00M,-22.00M,-30.00M,-1.00M,,,-1.00M,-41.00M,,,,,,,,,,,,,,,,,,
Net Common Equity Issued (Purchased),14.00M,17.00M,18.00M,19.00M,18.00M,16.00M,23.00M,17.00M,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,16.00M,17.00M,15.00M,17.00M,35.00M,2.00M,23.00M,20.00M,17.00M,570.00M,22.00M,25.00M,47.00M,32.00M,29.00M,46.00M,20.00M,22.00M,27.00M,21.00M,18.00M,20.00M,30.00M,27.00M,24.00M,27.00M,372.00M,30.00M,23.00M,505.00M,31.00M,881.00M,-5.00M,27.00M,23.00M,285.00M,22.00M,325.00M,23.00M,246.00M,21.00M,12.00M,,,,,,,,,,,,,,
Preferred Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-52.00M,,,0.00,0.00,,,0.00,-16.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Preferred Equity Issued (Purchased),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-52.00M,,,0.00,0.00,,,0.00,-16.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Dividends Paid,-122.00M,-117.00M,-117.00M,-116.00M,-117.00M,-111.00M,-112.00M,-111.00M,-111.00M,-106.00M,-107.00M,-107.00M,-107.00M,-103.00M,-103.00M,-103.00M,-104.00M,-99.00M,-100.00M,-99.00M,-99.00M,-97.00M,-97.00M,-97.00M,-97.00M,-97.00M,-97.00M,-97.00M,-98.00M,-97.00M,-97.00M,-90.00M,-96.00M,-93.00M,-93.00M,-93.00M,-92.00M,-93.00M,-92.00M,-91.00M,-72.00M,-102.00M,-74.00M,-90.00M,-104.00M,-143.00M,-144.00M,-143.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-122.00M,-117.00M,-117.00M,-116.00M,-117.00M,-111.00M,-112.00M,-111.00M,-111.00M,-106.00M,-107.00M,-107.00M,-107.00M,-103.00M,-103.00M,-103.00M,-104.00M,-99.00M,-100.00M,-99.00M,-99.00M,-97.00M,-97.00M,-97.00M,-97.00M,-97.00M,-97.00M,-97.00M,-98.00M,-97.00M,-97.00M,-90.00M,-96.00M,-93.00M,-93.00M,-93.00M,-92.00M,-93.00M,-92.00M,-91.00M,-72.00M,-102.00M,-74.00M,-90.00M,-104.00M,-143.00M,-144.00M,-143.00M,-153.00M,-132.00M,-132.00M,-131.00M,-131.00M,-131.00M,-130.00M,-130.00M,-128.00M,-130.00M,-129.00M,-124.00M,-123.00M,-124.00M,-116.00M,-116.00M,-102.00M,-103.00M,-103.00M,-102.00M,-97.00M,-97.00M,-91.00M,-91.00M,-88.00M,-86.74M,-87.13M,-87.13M,-87.13M,-87.13M,-87.13M,-87.13M,-87.10M,-87.10M,-87.17M,-87.13M,-87.10M,-87.10M,-174.30M,
Proceeds from Stock Option Exercised,,,,,,,,,0.00,0.00,0.00,-24.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
