Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03
Operating Income,179.00M,520.00M,280.00M,288.00M,166.00M,533.00M,385.00M,273.00M,212.00M,569.00M,387.00M,242.00M,86.00M,691.00M,325.00M,220.00M,140.00M,626.00M,237.00M,256.00M,125.00M,561.00M,322.00M,246.00M,171.00M,567.00M,261.00M,185.00M,108.00M,578.00M,344.00M,158.00M,-97.00M,674.00M,318.00M,227.00M,198.00M,678.00M,331.00M,298.00M,252.00M,485.00M,365.00M,321.00M,183.00M,428.00M,443.00M,321.00M,243.00M,482.00M,326.00M,293.00M,154.00M,547.00M,276.00M,196.00M,144.00M,510.00M,366.00M,262.00M,203.00M,413.00M,246.00M,216.00M,139.00M,500.00M,250.00M,201.00M,6.00M,441.00M,277.00M,149.00M,107.00M,487.00M,1.057B,165.42M,80.84M,469.39M,238.44M,152.83M,-1.968B,1.194B,192.28M,134.92M,94.31M,437.20M,187.10M,120.30M,731.90M,1.043B,791.80M,759.70M
Non-Operating Interest Income,8.00M,8.00M,9.00M,8.00M,8.00M,8.00M,9.00M,8.00M,9.00M,7.00M,9.00M,9.00M,9.00M,10.00M,10.00M,11.00M,9.00M,11.00M,10.00M,11.00M,9.00M,9.00M,9.00M,9.00M,6.00M,9.00M,8.00M,7.00M,7.00M,7.00M,11.00M,7.00M,,,,,,,,,,,,8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,91.00M,96.00M,97.00M,97.00M,99.00M,101.00M,100.00M,101.00M,96.00M,97.00M,99.00M,99.00M,95.00M,97.00M,95.00M,95.00M,91.00M,87.00M,89.00M,88.00M,75.00M,85.00M,89.00M,92.00M,109.00M,88.00M,100.00M,101.00M,97.00M,99.00M,98.00M,98.00M,51.00M,113.00M,104.00M,119.00M,120.00M,130.00M,115.00M,132.00M,132.00M,134.00M,124.00M,118.00M,109.00M,113.00M,118.00M,100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-83.00M,-88.00M,-88.00M,-89.00M,-91.00M,-93.00M,-91.00M,-93.00M,-87.00M,-90.00M,-90.00M,-90.00M,-86.00M,-87.00M,-85.00M,-84.00M,-82.00M,-76.00M,-79.00M,-77.00M,-66.00M,-76.00M,-80.00M,-83.00M,-103.00M,-79.00M,-92.00M,-94.00M,-90.00M,-92.00M,-87.00M,-91.00M,-20.00M,-113.00M,-104.00M,-119.00M,-87.00M,-130.00M,-115.00M,-132.00M,-132.00M,-134.00M,-124.00M,-110.00M,-109.00M,-113.00M,-118.00M,-100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,23.00M,26.00M,27.00M,21.00M,10.00M,24.00M,20.00M,15.00M,16.00M,16.00M,11.00M,9.00M,59.00M,,,2.00M,,3.00M,,-3.00M,8.00M,5.00M,8.00M,,4.00M,6.00M,3.00M,,,4.00M,1.00M,-5.00M,15.00M,-111.00M,10.00M,11.00M,-27.00M,-575.00M,22.00M,15.00M,6.00M,13.00M,10.00M,4.00M,-3.00M,13.00M,11.00M,15.00M,76.00M,-7.00M,12.00M,-3.00M,37.00M,2.00M,2.00M,4.00M,23.00M,-2.00M,-4.00M,1.00M,25.00M,-7.00M,-2.00M,2.00M,8.00M,-1.00M,1.00M,3.00M,1.00M,3.00M,-34.00M,-1.00M,16.00M,7.00M,,-4.685M,9.081M,-5.481M,-6.119M,-4.922M,,,-1.70M,-2.265M,2.70M,-0.50M,-1.60M,-3.10M,,,,
Net Interest Income,-83.00M,-88.00M,-88.00M,-89.00M,-91.00M,-93.00M,-91.00M,-93.00M,-87.00M,-90.00M,-90.00M,-90.00M,-86.00M,-87.00M,-85.00M,-84.00M,-82.00M,-76.00M,-79.00M,-77.00M,-66.00M,-76.00M,-80.00M,-83.00M,-103.00M,-79.00M,-92.00M,-94.00M,-90.00M,-92.00M,-87.00M,-91.00M,-20.00M,-113.00M,-104.00M,-119.00M,-87.00M,-130.00M,-115.00M,-132.00M,-132.00M,-134.00M,-124.00M,-110.00M,-109.00M,-113.00M,-118.00M,-100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,119.00M,458.00M,219.00M,220.00M,85.00M,464.00M,314.00M,195.00M,141.00M,495.00M,308.00M,161.00M,59.00M,604.00M,240.00M,138.00M,61.00M,553.00M,158.00M,176.00M,67.00M,490.00M,250.00M,163.00M,72.00M,494.00M,172.00M,91.00M,19.00M,490.00M,258.00M,62.00M,-102.00M,450.00M,224.00M,119.00M,84.00M,-27.00M,238.00M,181.00M,126.00M,364.00M,251.00M,215.00M,71.00M,328.00M,336.00M,236.00M,159.00M,374.00M,221.00M,194.00M,72.00M,454.00M,191.00M,114.00M,68.00M,439.00M,285.00M,192.00M,123.00M,355.00M,178.00M,156.00M,66.00M,429.00M,177.00M,135.00M,-51.00M,385.00M,188.00M,97.00M,64.00M,447.00M,,114.66M,39.98M,419.84M,192.82M,105.64M,,,148.30M,89.59M,51.70M,390.30M,142.40M,69.80M,,,,
Provision for Income Taxes,24.00M,92.00M,39.00M,27.00M,16.00M,105.00M,74.00M,42.00M,200.00M,205.00M,114.00M,57.00M,26.00M,233.00M,92.00M,31.00M,30.00M,208.00M,59.00M,66.00M,20.00M,194.00M,99.00M,64.00M,23.00M,187.00M,66.00M,35.00M,9.00M,179.00M,96.00M,23.00M,-39.00M,163.00M,85.00M,45.00M,30.00M,137.00M,83.00M,75.00M,44.00M,135.00M,83.00M,70.00M,8.00M,113.00M,119.00M,87.00M,51.00M,130.00M,78.00M,71.00M,11.00M,161.00M,68.00M,44.00M,26.00M,159.00M,100.00M,71.00M,40.00M,123.00M,60.00M,59.00M,28.00M,154.00M,67.00M,52.00M,-19.00M,145.00M,73.00M,38.00M,15.00M,180.00M,,49.33M,14.00M,163.71M,79.24M,44.25M,,,61.80M,35.23M,25.40M,153.60M,58.80M,29.90M,,,,
Income from Continuing Operations,95.00M,366.00M,180.00M,193.00M,69.00M,359.00M,240.00M,153.00M,-59.00M,290.00M,194.00M,104.00M,33.00M,371.00M,148.00M,107.00M,31.00M,345.00M,99.00M,110.00M,47.00M,296.00M,151.00M,99.00M,49.00M,307.00M,106.00M,56.00M,10.00M,311.00M,162.00M,39.00M,-63.00M,287.00M,139.00M,74.00M,54.00M,-164.00M,155.00M,106.00M,82.00M,229.00M,168.00M,145.00M,63.00M,215.00M,217.00M,149.00M,108.00M,244.00M,143.00M,123.00M,61.00M,293.00M,123.00M,70.00M,42.00M,280.00M,185.00M,121.00M,83.00M,232.00M,118.00M,97.00M,38.00M,275.00M,110.00M,83.00M,-32.00M,240.00M,115.00M,59.00M,49.00M,267.00M,95.00M,65.33M,25.98M,256.14M,113.58M,61.39M,-5.60M,249.80M,86.50M,54.36M,26.30M,236.70M,83.60M,39.90M,46.40M,215.40M,79.70M,45.00M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,-1.00M,0.00,52.00M,,2.00M,-1.00M,-1.00M,-1.00M,-11.00M,-3.00M,-10.00M,-199.00M,-1.165B,63.00M,48.00M,-442.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,18.00M,,,,,0.00,,,-6.841M,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,-2.00M,-1.00M,0.00,1.00M,0.00,-1.00M,-2.00M,-1.00M,-3.00M,-2.00M,-3.00M,-3.00M,-4.00M,-3.00M,-2.00M,-3.00M,-4.00M,-6.00M,-11.00M,-11.00M,-11.00M,-10.00M,-9.00M,-9.00M,-10.00M,-7.00M,-13.00M,-8.00M,-10.00M,-4.00M,-5.00M,-4.00M,-3.00M,-3.00M,-4.00M,-2.00M,-3.00M,,-2.00M,-4.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,94.00M,364.00M,179.00M,191.00M,68.00M,357.00M,239.00M,151.00M,-60.00M,288.00M,193.00M,102.00M,32.00M,369.00M,147.00M,105.00M,29.00M,343.00M,150.00M,108.00M,48.00M,293.00M,149.00M,96.00M,37.00M,302.00M,95.00M,-145.00M,-1.156B,374.00M,211.00M,-403.00M,25.00M,285.00M,138.00M,71.00M,52.00M,-167.00M,152.00M,102.00M,79.00M,227.00M,165.00M,141.00M,57.00M,204.00M,206.00M,138.00M,108.00M,244.00M,143.00M,123.00M,61.00M,293.00M,123.00M,70.00M,20.00M,280.00M,185.00M,121.00M,83.00M,232.00M,118.00M,97.00M,38.00M,275.00M,110.00M,101.00M,-32.00M,240.00M,115.00M,59.00M,49.00M,267.00M,95.00M,58.49M,25.98M,256.14M,113.58M,61.39M,-5.60M,249.80M,86.50M,54.36M,26.30M,236.70M,83.60M,39.90M,-5.40M,215.40M,79.70M,45.00M
Normalized Income,90.81M,359.21M,173.25M,191.00M,73.68M,351.58M,236.71M,151.00M,-64.20M,284.40M,191.74M,101.35M,32.60M,365.34M,145.14M,102.66M,26.40M,338.04M,95.48M,109.86M,41.09M,289.80M,145.20M,95.78M,43.92M,300.04M,100.66M,51.52M,6.40M,307.22M,159.85M,40.89M,-80.68M,355.79M,131.79M,64.16M,63.57M,206.75M,137.67M,92.25M,75.10M,218.82M,158.31M,138.30M,59.66M,195.48M,198.90M,128.53M,56.38M,248.57M,135.24M,124.90M,29.65M,291.71M,121.71M,67.54M,27.79M,281.28M,187.60M,120.37M,66.13M,236.57M,119.33M,95.76M,33.20M,275.64M,109.38M,81.16M,-32.63M,238.13M,135.80M,59.61M,36.75M,262.80M,95.00M,68.14M,20.08M,259.48M,117.26M,64.35M,-5.60M,249.80M,87.52M,55.73M,24.68M,237.00M,84.56M,41.76M,46.40M,215.40M,79.70M,45.00M
EBITDA,490.00M,828.00M,575.00M,585.00M,447.00M,824.00M,671.00M,550.00M,465.00M,835.00M,647.00M,501.00M,389.00M,932.00M,558.00M,467.00M,373.00M,859.00M,463.00M,482.00M,337.00M,775.00M,535.00M,455.00M,372.00M,765.00M,450.00M,378.00M,303.00M,763.00M,534.00M,337.00M,54.00M,759.00M,522.00M,433.00M,416.00M,304.00M,550.00M,503.00M,442.00M,706.00M,576.00M,521.00M,352.00M,630.00M,633.00M,527.00M,477.00M,658.00M,512.00M,489.00M,326.00M,729.00M,470.00M,365.00M,360.00M,670.00M,554.00M,419.00M,377.00M,560.00M,385.00M,357.00M,280.00M,644.00M,403.00M,325.00M,123.00M,560.00M,399.00M,260.00M,210.00M,609.59M,1.158B,269.64M,179.87M,572.21M,337.82M,252.18M,-1.968B,1.194B,287.68M,232.36M,191.21M,531.60M,277.10M,214.40M,731.90M,1.043B,791.80M,759.70M
Reconciled Depreciation,280.00M,274.00M,259.00M,268.00M,263.00M,259.00M,257.00M,254.00M,228.00M,243.00M,240.00M,241.00M,235.00M,231.00M,223.00M,234.00M,221.00M,219.00M,216.00M,218.00M,195.00M,200.00M,196.00M,200.00M,191.00M,183.00M,177.00M,186.00M,187.00M,174.00M,178.00M,177.00M,105.00M,185.00M,186.00M,187.00M,212.00M,201.00M,197.00M,190.00M,151.00M,208.00M,201.00M,188.00M,146.00M,189.00M,179.00M,191.00M,234.00M,175.00M,186.00M,196.00M,111.00M,182.00M,194.00M,169.00M,216.00M,160.00M,188.00M,135.00M,174.00M,147.00M,139.00M,141.00M,141.00M,144.00M,153.00M,124.00M,117.00M,119.00M,122.00M,111.00M,94.00M,122.59M,101.18M,104.23M,68.24M,102.82M,99.38M,99.35M,,,95.36M,97.44M,,,,,,,,
EBIT,210.00M,554.00M,316.00M,317.00M,184.00M,565.00M,414.00M,296.00M,237.00M,592.00M,407.00M,260.00M,154.00M,701.00M,335.00M,233.00M,152.00M,640.00M,247.00M,264.00M,142.00M,575.00M,339.00M,255.00M,181.00M,582.00M,272.00M,192.00M,116.00M,589.00M,356.00M,160.00M,-51.00M,563.00M,328.00M,238.00M,204.00M,103.00M,353.00M,313.00M,258.00M,498.00M,375.00M,333.00M,180.00M,441.00M,454.00M,336.00M,243.00M,482.00M,326.00M,293.00M,154.00M,547.00M,276.00M,196.00M,144.00M,510.00M,366.00M,262.00M,203.00M,413.00M,246.00M,216.00M,139.00M,500.00M,250.00M,201.00M,6.00M,441.00M,277.00M,149.00M,107.00M,487.00M,1.057B,165.42M,80.84M,469.39M,238.44M,152.83M,-1.968B,1.194B,192.28M,134.92M,94.31M,437.20M,187.10M,120.30M,731.90M,1.043B,791.80M,759.70M
EPS Basic from Continuing Operations,0.38,1.48,0.73,0.78,0.28,1.46,0.98,0.62,-0.24,1.19,0.79,0.42,0.13,1.52,0.61,0.43,0.12,1.42,0.40,0.45,0.19,1.21,0.62,0.40,0.19,1.26,0.44,0.22,-4.76,1.28,0.66,0.15,-0.26,1.18,0.57,0.29,0.21,-0.70,0.64,0.43,0.30,1.04,0.77,0.66,0.27,0.97,0.98,0.66,0.52,1.18,0.69,0.59,0.29,1.42,0.60,0.34,0.19,1.37,0.93,0.62,0.40,1.20,0.65,0.55,0.34,1.70,0.68,0.52,-0.27,1.64,0.80,0.42,0.35,1.94,0.69,0.48,0.19,1.87,0.83,0.45,-0.04,1.82,0.63,0.40,0.19,1.73,0.61,0.29,0.34,1.57,0.58,0.33
EPS Basic from Discontinued Operations,,,,,,,,,,,,,0.00,,,,0.00,0.00,0.21,0.00,0.01,0.00,-0.01,0.00,-0.04,-0.01,-0.05,-0.82,-4.80,0.26,0.21,-1.81,0.36,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.3670,1.461,0.7066,0.78,0.3032,1.438,0.9706,0.62,-0.2573,1.175,0.7848,0.4173,0.1325,1.505,0.6023,0.4204,0.1052,1.400,0.3896,0.4577,0.1698,1.193,0.6002,0.3950,0.1732,1.240,0.4221,0.2098,-4.771,1.264,0.6470,0.1578,-0.3288,1.473,0.5443,0.2616,0.2582,0.8618,0.5799,0.3890,0.2835,1.003,0.7387,0.6473,0.2826,0.9295,0.9461,0.6146,0.2722,1.202,0.6525,0.5992,0.1380,1.414,0.5937,0.3280,0.1205,1.376,0.9430,0.6168,0.3139,1.224,0.6573,0.5429,0.3105,1.704,0.6761,0.5084,-0.2741,1.627,0.9440,0.4244,0.2609,1.909,0.69,0.5005,0.1471,1.894,0.8568,0.4715,-0.04,1.82,0.6374,0.4100,0.1783,1.732,0.6170,0.3035,0.34,1.57,0.58,0.33
EPS Basic,0.38,1.48,0.73,0.78,0.28,1.46,0.98,0.62,-0.24,1.19,0.79,0.42,0.13,1.52,0.61,0.43,0.12,1.42,0.61,0.45,0.20,1.21,0.61,0.40,0.15,1.25,0.39,-0.60,-4.76,1.54,0.87,-1.66,0.10,1.18,0.57,0.29,0.21,-0.70,0.64,0.43,0.30,1.04,0.77,0.66,0.27,0.97,0.98,0.66,0.52,1.18,0.69,0.59,0.29,1.42,0.60,0.34,0.08,1.37,0.93,0.62,0.40,1.20,0.65,0.55,0.23,1.70,0.68,0.63,-0.27,1.64,0.80,0.42,0.35,1.94,0.69,0.43,0.19,1.87,0.83,0.45,-0.04,1.82,0.63,0.40,0.19,1.73,0.61,0.29,-0.04,1.57,0.58,0.33
EPS Diluted from Continuing Operations,0.38,1.47,0.72,0.78,0.28,1.45,0.97,0.62,-0.24,1.18,0.79,0.42,0.13,1.52,0.61,0.43,0.12,1.41,0.40,0.45,0.19,1.20,0.62,0.40,0.19,1.25,0.44,0.22,-4.76,1.28,0.66,0.15,-0.26,1.18,0.57,0.29,0.21,-0.70,0.64,0.43,0.30,1.04,0.77,0.66,0.27,0.97,0.98,0.66,0.52,1.18,0.69,0.59,0.29,1.42,0.60,0.34,0.0977,1.37,0.93,0.62,0.40,1.20,0.65,0.55,0.2333,1.70,0.68,0.52,-0.27,1.63,0.80,0.42,0.34,1.94,0.69,0.48,0.19,1.87,0.83,0.45,-0.04,1.82,0.63,0.40,0.19,1.73,0.61,0.29,0.34,1.57,0.58,0.33
