Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,464.00M,576.00M,524.00M,,376.00M,486.00M,389.00M,402.00M,512.00M,778.00M,1.054B,560.00M,369.00M,320.00M,434.00M,458.00M,522.00M,557.00M,757.00M,1.033B,656.00M,1.701B,822.00M,638.00M,950.00M,937.00M,823.00M,225.00M,753.00M,1.056B,985.00M,844.00M,924.00M,850.00M,838.00M,718.00M,743.00M,725.00M,725.00M,764.00M,889.00M,939.00M,820.00M,879.00M,154.00M,194.00M,547.00M,1.309B,348.00M,439.00M,211.00M,191.00M,180.00M,208.00M,208.00M,179.00M,226.00M,225.00M,238.00M,-134.00M,192.00M,219.00M,226.00M,221.00M,210.00M,235.00M,257.00M,240.00M,177.00M,189.00M,166.00M,-131.00M,499.00M,520.00M,495.00M,132.00M,516.00M,526.00M,539.00M,1.029B,1.51B,1.475B,1.564B,1.191B,1.202B,1.626B,1.741B,1.289B,1.361B,916.20M,1.254B,984.40M,1.009B,807.30M,747.90M,594.40M,1.106B,1.046B,119.70M,105.40M,73.20M,57.60M,42.10M
Total Current Assets,8.206B,9.572B,9.85B,8.654B,8.637B,9.498B,9.176B,9.673B,9.146B,10.00B,11.02B,10.63B,10.32B,11.05B,11.18B,10.80B,9.985B,13.71B,14.11B,14.13B,11.75B,13.45B,14.97B,15.19B,14.32B,10.24B,9.635B,7.525B,7.072B,7.303B,7.984B,7.778B,6.757B,6.838B,7.997B,8.825B,6.838B,6.837B,7.344B,6.834B,6.642B,6.453B,5.14B,5.362B,5.935B,7.507B,9.072B,7.513B,7.229B,8.062B,8.588B,7.833B,6.902B,7.473B,7.84B,6.82B,6.164B,5.987B,5.789B,5.42B,4.971B,5.30B,5.513B,5.406B,4.682B,5.076B,4.247B,3.634B,4.937B,5.987B,5.848B,6.252B,6.571B,6.081B,5.174B,4.573B,5.179B,5.352B,5.377B,4.999B,4.424B,5.112B,4.613B,4.24B,3.969B,5.189B,5.261B,5.045B,4.986B,5.706B,4.975B,4.511B,4.47B,3.945B,3.536B,3.342B,3.137B,3.863B,3.492B,3.133B,3.118B,3.362B,2.879B,3.039B,2.69B,3.284B,3.326B,3.476B,2.868B,2.952B,3.253B,3.515B,2.806B,3.083B,2.967B,3.066B,2.658B,3.056B,2.686B,2.541B,2.091B,2.720B,2.619B,2.615B,2.146B,2.109B,2.271B,2.181B
Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.066B,2.076B,2.114B,,2.117B,2.13B,,5.173B,,,,5.158B,,,,5.132B,,,,5.238B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",1.674B,1.567B,1.372B,1.211B,1.278B,1.33B,1.392B,1.231B,1.217B,1.28B,1.212B,1.247B,1.209B,1.149B,1.136B,1.058B,1.067B,1.073B,1.124B,1.265B,1.23B,1.172B,1.043B,1.045B,1.077B,,,,710.00M,,,,,,,2.142B,,2.222B,,2.252B,,,,2.361B,,2.376B,2.39B,2.397B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,18.18B,18.07B,18.11B,18.06B,17.92B,9.187B,8.903B,8.599B,8.267B,7.902B,7.58B,7.332B,7.116B,6.915B,6.726B,6.561B,6.402B,6.262B,6.132B,6.013B,5.90B,5.812B,5.712B,5.663B,5.585B,2.127B,2.142B,2.156B,5.302B,11.26B,11.40B,11.48B,5.331B,12.62B,12.62B,12.62B,21.54B,12.82B,,12.86B,21.15B,,,13.01B,20.27B,13.21B,13.18B,14.19B,23.25B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.00M,510.00M,322.00M,,400.00M,403.00M,359.00M,,255.00M,,286.00M,,,,207.00M,776.00M,339.00M,407.00M,758.00M,1.915B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,62.39B,61.96B,61.92B,61.28B,60.69B,51.50B,51.15B,50.49B,49.80B,48.73B,48.12B,46.93B,45.35B,44.32B,43.42B,42.03B,40.65B,39.21B,38.08B,36.55B,35.34B,34.20B,32.87B,31.40B,30.39B,13.47B,13.55B,13.30B,24.23B,13.82B,13.98B,13.92B,24.85B,15.14B,15.16B,15.12B,26.72B,15.30B,15.27B,15.39B,26.31B,15.60B,15.57B,15.57B,26.18B,15.93B,15.98B,17.34B,30.40B,29.76B,29.91B,30.03B,30.15B,28.44B,28.62B,18.36B,32.13B,23.88B,24.07B,24.09B,29.71B,29.55B,29.33B,29.15B,29.00B,27.74B,27.80B,27.70B,29.07B,28.25B,28.56B,28.45B,29.66B,27.63B,28.16B,27.37B,28.16B,25.58B,24.74B,23.69B,25.04B,25.67B,24.89B,23.93B,21.62B,22.45B,22.01B,21.47B,21.07B,20.61B,20.47B,20.30B,20.35B,20.62B,20.47B,20.21B,20.22B,20.64B,20.65B,20.58B,20.26B,20.32B,20.12B,19.75B,17.18B,19.52B,18.81B,19.04B,15.91B,15.30B,14.79B,14.02B,13.47B,12.76B,12.40B,11.93B,10.55B,10.87B,10.65B,10.29B,11.49B,10.76B,10.34B,9.381B,8.222B,7.016B,5.868B,4.759B
Accumulated D&A,-18.66B,-18.50B,-18.11B,-17.75B,-17.44B,-17.28B,-16.72B,-16.16B,-15.65B,-15.42B,-15.13B,-14.64B,-14.19B,-14.02B,-13.80B,-13.39B,-13.14B,-12.92B,-12.80B,-12.51B,-12.26B,-12.03B,-11.63B,-11.45B,-11.13B,,,,-10.83B,-198.00M,-197.00M,,-10.55B,,,,-11.64B,,,,-10.83B,,,,-10.44B,,,,-13.01B,-12.21B,-12.21B,-12.21B,-12.21B,-10.40B,-10.40B,,-11.46B,-4.971B,-4.971B,-4.971B,-10.57B,-10.30B,-10.00B,-9.80B,-9.543B,-9.379B,-9.379B,-9.379B,-9.379B,-10.00B,-10.00B,-10.10B,-10.00B,-9.521B,-10.00B,-9.80B,-9.521B,-9.307B,-9.097B,-8.88B,-8.75B,-9.308B,-9.057B,-8.841B,-7.875B,-8.419B,-8.292B,-8.084B,-7.911B,-7.697B,-7.453B,-7.247B,-7.043B,-7.155B,-7.092B,-6.88B,-6.659B,-6.781B,-6.638B,-6.517B,-6.363B,-6.252B,-5.983B,-5.674B,-4.914B,-5.543B,-4.90B,-5.377B,-4.529B,-4.30B,-4.40B,-4.20B,-3.991B,-3.80B,-3.70B,-3.50B,-2.698B,-3.20B,-3.20B,-3.30B,-3.670B,-3.512B,-3.373B,-3.108B,-2.634B,-2.274B,-2.219B,-1.946B
Net PP&E,43.73B,43.46B,43.80B,43.53B,43.25B,34.22B,34.42B,34.33B,34.16B,33.31B,32.99B,32.29B,31.16B,30.30B,29.61B,28.63B,27.51B,26.29B,25.29B,24.04B,23.08B,22.16B,21.24B,19.94B,19.26B,13.47B,13.55B,13.30B,13.40B,13.62B,13.78B,13.92B,14.31B,15.14B,15.16B,15.12B,15.08B,15.30B,15.27B,15.39B,15.48B,15.60B,15.57B,15.57B,15.74B,15.93B,15.98B,17.34B,17.39B,17.55B,17.70B,17.82B,17.94B,18.04B,18.22B,18.36B,20.67B,18.91B,19.10B,19.12B,19.14B,19.25B,19.33B,19.35B,19.46B,18.36B,18.42B,18.32B,19.69B,18.25B,18.56B,18.35B,19.66B,18.10B,18.16B,17.57B,18.64B,16.27B,15.64B,14.81B,16.29B,16.36B,15.83B,15.09B,13.74B,14.04B,13.72B,13.38B,13.16B,12.91B,13.02B,13.05B,13.30B,13.47B,13.38B,13.33B,13.56B,13.86B,14.01B,14.06B,13.90B,14.06B,14.14B,14.07B,12.26B,13.98B,13.91B,13.66B,11.38B,11.00B,10.39B,9.825B,9.481B,8.962B,8.701B,8.432B,7.853B,7.669B,7.450B,6.989B,7.820B,7.250B,6.967B,6.272B,5.588B,4.741B,3.649B,2.814B
Goodwill,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.091B,4.089B,4.089B,4.089B,4.086B,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.351B,,1.392B,,,,385.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,2.084B,2.095B,2.105B,2.115B,2.137B,2.147B,2.157B,2.193B,2.203B,2.214B,2.224B,2.236B,2.173B,2.189B,2.213B,2.236B,2.249B,2.261B,2.274B,2.281B,2.24B,2.305B,2.33B,2.319B,2.311B,853.00M,859.00M,863.00M,869.00M,875.00M,881.00M,887.00M,894.00M,204.00M,211.00M,217.00M,932.00M,967.00M,,,988.00M,,,,281.00M,,,,1.156B,1.163B,1.17B,1.16B,1.167B,1.174B,1.181B,1.188B,1.194B,1.202B,1.209B,1.216B,1.223B,1.231B,1.238B,1.245B,1.253B,1.263B,1.27B,1.277B,1.292B,470.00M,,487.00M,1.325B,1.35B,1.411B,1.131B,1.143B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,6.175B,6.186B,6.196B,6.206B,6.228B,6.238B,6.248B,6.284B,6.294B,6.305B,6.315B,6.327B,6.264B,6.28B,6.304B,6.327B,6.34B,6.352B,6.365B,6.372B,6.331B,6.394B,6.419B,6.408B,6.397B,853.00M,859.00M,863.00M,869.00M,875.00M,881.00M,887.00M,894.00M,204.00M,211.00M,217.00M,932.00M,967.00M,239.00M,246.00M,988.00M,1.091B,1.098B,1.102B,281.00M,1.116B,1.123B,1.148B,1.156B,1.163B,1.17B,1.16B,1.167B,1.174B,1.181B,1.188B,1.194B,1.202B,1.209B,1.216B,1.223B,1.231B,1.238B,1.245B,1.253B,1.263B,1.27B,1.277B,1.292B,470.00M,1.351B,487.00M,2.717B,1.35B,1.411B,1.131B,1.528B,,,,1.191B,,,,1.228B,,,,,,,,,,,,1.367B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,645.00M,666.00M,792.00M,1.007B,1.145B,1.293B,1.399B,1.581B,1.816B,538.00M,905.00M,1.379B,1.498B,1.524B,1.965B,2.072B,2.477B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,1.237B,1.29B,1.325B,1.386B,1.321B,1.383B,1.375B,1.409B,1.373B,2.245B,2.107B,2.004B,2.029B,1.952B,1.987B,2.075B,2.103B,2.365B,2.106B,2.211B,2.06B,2.166B,2.19B,2.192B,2.299B,2.214B,2.172B,2.159B,2.167B,2.129B,2.077B,1.928B,1.891B,2.535B,2.424B,2.955B,2.236B,2.257B,3.035B,3.052B,2.332B,2.614B,2.328B,2.48B,3.224B,2.399B,2.748B,2.76B,2.792B,2.821B,2.952B,3.069B,3.135B,3.441B,3.513B,3.548B,1.469B,3.336B,3.40B,3.415B,3.442B,3.476B,3.918B,3.946B,3.935B,5.241B,5.282B,5.859B,4.344B,6.796B,7.131B,7.877B,3.898B,6.304B,4.261B,3.257B,870.00M,4.277B,4.457B,4.505B,2.472B,2.888B,3.064B,2.895B,2.517B,2.97B,2.967B,2.867B,2.714B,2.719B,2.71B,2.758B,2.722B,2.737B,2.747B,2.812B,1.487B,2.348B,2.448B,2.478B,2.47B,2.862B,2.851B,2.661B,4.375B,2.614B,2.65B,2.622B,4.459B,4.442B,4.122B,4.031B,3.921B,3.750B,3.679B,3.052B,2.843B,2.616B,2.386B,2.175B,966.60M,809.50M,886.20M,835.10M,689.10M,677.20M,501.60M,266.70M
Total Long Term Assets,51.79B,51.60B,52.12B,52.13B,51.94B,43.14B,43.45B,43.61B,43.64B,42.40B,42.32B,42.00B,40.95B,40.06B,39.87B,39.11B,38.43B,35.01B,33.76B,32.62B,31.48B,30.72B,29.84B,28.54B,27.96B,16.54B,16.58B,16.33B,16.44B,16.62B,16.74B,16.73B,17.09B,17.88B,17.79B,18.29B,18.25B,18.52B,18.54B,18.69B,18.80B,19.30B,19.00B,19.16B,19.24B,19.44B,19.85B,21.25B,21.34B,21.54B,21.82B,22.05B,22.24B,22.66B,22.91B,23.10B,23.33B,23.45B,23.70B,23.75B,23.80B,23.96B,24.49B,24.54B,24.65B,24.87B,24.97B,25.45B,25.33B,25.52B,27.04B,26.71B,26.27B,25.76B,23.83B,21.96B,21.03B,20.55B,20.10B,19.32B,19.95B,19.25B,18.90B,17.98B,17.49B,17.00B,16.68B,16.25B,15.87B,15.63B,15.73B,15.81B,16.03B,16.20B,16.13B,16.14B,16.42B,16.20B,16.46B,16.54B,16.37B,16.93B,16.99B,16.74B,16.64B,16.59B,16.56B,16.28B,15.84B,15.44B,14.51B,13.86B,13.40B,12.71B,12.38B,11.48B,10.70B,10.29B,9.836B,9.164B,8.786B,8.060B,7.853B,7.107B,6.277B,5.419B,4.150B,3.080B
Total Assets,60.00B,61.18B,61.97B,60.79B,60.58B,52.64B,52.62B,53.28B,52.78B,52.40B,53.34B,52.63B,51.27B,51.11B,51.05B,49.91B,48.42B,48.72B,47.87B,46.75B,43.22B,44.17B,44.81B,43.74B,42.28B,26.78B,26.22B,23.85B,23.51B,23.93B,24.73B,24.51B,23.85B,24.72B,25.79B,27.11B,25.09B,25.36B,25.88B,25.52B,25.44B,25.75B,24.14B,24.52B,25.18B,26.95B,28.92B,28.77B,28.57B,29.60B,30.41B,29.88B,29.14B,30.13B,30.75B,29.92B,29.50B,29.44B,29.49B,29.17B,28.77B,29.26B,30.00B,29.95B,29.33B,29.94B,29.22B,29.09B,30.27B,31.50B,32.89B,32.96B,32.84B,31.84B,29.00B,26.53B,26.21B,25.90B,25.47B,24.31B,24.37B,24.36B,23.51B,22.22B,21.46B,22.19B,21.94B,21.29B,20.86B,21.34B,20.70B,20.32B,20.50B,20.15B,19.66B,19.48B,19.56B,20.07B,19.95B,19.67B,19.49B,20.29B,19.87B,19.77B,19.33B,19.87B,19.88B,19.76B,18.71B,18.39B,17.77B,17.37B,16.21B,15.79B,15.35B,14.55B,13.35B,13.34B,12.52B,11.70B,10.88B,10.78B,10.47B,9.722B,8.423B,7.528B,6.421B,5.261B
