Net Change in Capital Expenditures,-1.139B,-806.00M,-1.018B,-1.305B,-1.009B,-1.005B,-952.00M,-779.00M,-1.408B,-1.369B,-1.48B,-1.714B,-1.46B,-1.208B,-1.506B,-1.557B,-1.53B,-1.482B,-1.73B,-1.409B,-1.305B,-1.328B,-1.631B,-1.047B,-714.00M,-596.00M,-919.00M,-885.00M,-735.00M,-420.00M,-495.00M,-238.00M,-372.00M,-481.00M,-396.00M,-365.00M,-550.00M,-680.00M,-415.00M,-317.00M,-418.00M,-501.00M,-433.00M,-169.00M,-189.00M,-214.00M,-256.00M,-217.00M,-199.00M,-151.00M,-182.00M,-182.00M,-182.00M,-103.00M,-141.00M,-104.00M,-95.00M,-102.00M,-242.00M,-242.00M,-254.00M,-259.00M,-301.00M,-213.00M,-212.00M,-140.00M,-99.00M,-229.00M,-344.00M,-424.00M,-494.00M,-619.00M,-581.00M,-935.00M,-1.277B,-847.00M,-886.00M,-875.00M,-1.136B,-781.00M,-788.00M,-774.00M,-1.012B,-965.00M,-392.00M,-726.00M,-719.00M,-505.00M,-469.00M,-209.00M,-316.00M,-145.00M,-134.00M,-156.00M,-126.00M,-107.00M,-115.00M,-130.00M,-225.00M,-458.00M,-369.00M,-133.00M,-271.00M,-341.00M,-378.00M,-418.00M,-565.00M,-719.00M,-586.00M,-1.017B,-1.021B,-675.00M,-933.00M,-1.108B,-555.30M,-940.10M,-735.50M,-861.80M,-761.30M,-542.70M
Sale of PPE,233.00M,134.00M,178.00M,359.00M,347.00M,602.00M,236.00M,22.00M,116.00M,518.00M,281.00M,32.00M,65.00M,28.00M,28.00M,4.00M,12.00M,1.00M,18.00M,4.00M,9.00M,15.00M,6.00M,3.00M,101.00M,1.00M,0.00,26.00M,65.00M,1.00M,45.00M,12.00M,,,,,,,,,63.00M,8.00M,2.00M,3.00M,462.00M,9.00M,7.00M,2.00M,201.00M,4.00M,10.00M,13.00M,38.00M,-1.00M,6.00M,6.00M,110.00M,109.00M,257.00M,245.00M,206.00M,-495.00M,536.00M,18.00M,557.00M,482.00M,7.00M,29.00M,-1.51B,1.568B,149.00M,13.00M,656.00M,3.179B,79.00M,127.00M,3.771B,-1.837B,1.996B,80.00M,3.304B,15.00M,22.00M,277.00M,2.38B,28.00M,106.00M,90.00M,109.00M,5.00M,92.00M,85.00M,25.00M,76.00M,83.00M,73.00M,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in PP&E,233.00M,134.00M,178.00M,359.00M,347.00M,602.00M,236.00M,22.00M,116.00M,518.00M,281.00M,32.00M,65.00M,28.00M,28.00M,4.00M,12.00M,1.00M,18.00M,4.00M,9.00M,15.00M,6.00M,3.00M,101.00M,1.00M,0.00,26.00M,65.00M,1.00M,45.00M,12.00M,4.00M,5.00M,-7.00M,-6.00M,-8.00M,15.00M,314.00M,-317.00M,-1.458B,8.00M,2.00M,3.00M,-414.00M,9.00M,7.00M,2.00M,-513.00M,4.00M,10.00M,13.00M,-492.00M,-1.00M,6.00M,6.00M,15.00M,7.00M,15.00M,3.00M,-821.00M,19.00M,22.00M,18.00M,345.00M,14.00M,7.00M,29.00M,-1.854B,1.144B,-345.00M,-606.00M,75.00M,2.244B,-1.198B,-720.00M,2.885B,-2.712B,860.00M,-701.00M,2.516B,-759.00M,-990.00M,-688.00M,1.988B,-698.00M,-613.00M,-415.00M,-360.00M,-204.00M,-224.00M,-60.00M,-109.00M,-80.00M,-43.00M,-34.00M,-115.00M,-130.00M,-225.00M,-458.00M,-369.00M,-133.00M,-271.00M,-341.00M,-378.00M,-418.00M,-565.00M,-719.00M,-586.00M,-1.017B,-1.021B,-675.00M,-933.00M,-1.108B,-555.30M,-940.10M,-735.50M,-861.80M,-761.30M,-542.70M
Net Change in Intangibles,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,307.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Divestitures (Acquisitions),,,,,,,,,0.00,-203.00M,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-442.00M,442.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,0.00,-742.00M,,41.00M,0.00,-41.00M,,259.00M,0.00,-44.00M,-55.00M,3.00M,0.00,-1.00M,-139.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,1.313B,236.00M,-1.072B,480.00M,274.00M,-140.00M,637.00M,-199.00M,735.00M,1.239B,-195.00M,-188.00M,395.00M,304.00M,-230.00M,-565.00M,1.941B,107.00M,209.00M,-1.814B,409.00M,1.528B,156.00M,-294.00M,1.453B,-440.00M,-1.968B,-226.00M,391.00M,805.00M,-164.00M,-726.00M,298.00M,849.00M,653.00M,-1.19B,14.00M,546.00M,-531.00M,-111.00M,-306.00M,-1.323B,62.00M,236.00M,1.429B,412.00M,-474.00M,73.00M,861.00M,-614.00M,644.00M,-644.00M,388.00M,46.00M,-862.00M,-448.00M,-391.00M,-52.00M,-321.00M,-103.00M,209.00M,150.00M,-94.00M,-588.00M,80.00M,-896.00M,-555.00M,731.00M,127.00M,-339.00M,-236.00M,740.00M,-141.00M,-1.023B,164.00M,758.00M,19.00M,12.00M,-282.00M,-187.00M,-154.00M,-288.00M,-340.00M,614.00M,158.00M,-56.00M,-67.00M,313.00M,668.00M,-714.00M,-520.00M,86.00M,-434.00M,-501.00M,-12.00M,23.00M,263.00M,-272.00M,-326.00M,270.00M,264.00M,-459.00M,102.00M,-146.00M,612.00M,-50.00M,77.00M,-349.00M,214.00M,422.00M,134.00M,-428.00M,59.60M,-468.60M,353.50M,-263.50M,-36.30M,-206.80M,-48.50M,-63.30M
Net Other Investing Changes,232.00M,-33.00M,-21.00M,-14.00M,-2.00M,-5.00M,,,,,,,-60.00M,5.00M,51.00M,4.00M,15.00M,37.00M,10.00M,17.00M,101.00M,7.00M,65.00M,88.00M,232.00M,-72.00M,-10.00M,-3.00M,-88.00M,10.00M,-1.00M,-33.00M,,,,,,,,,1.00M,5.00M,2.00M,45.00M,3.00M,0.00,7.00M,1.00M,-2.00M,1.095B,-1.083B,-5.00M,-46.00M,62.00M,-24.00M,,-105.00M,-109.00M,-253.00M,-245.00M,3.00M,520.00M,-500.00M,14.00M,-377.00M,-461.00M,182.00M,256.00M,1.604B,-1.663B,35.00M,,-1.116B,-3.035B,306.00M,-312.00M,-3.822B,2.011B,-1.917B,559.00M,-3.57B,0.00,18.00M,31.00M,,,,,,,,,,,,,1.00M,2.00M,5.00M,60.00M,49.00M,11.00M,-173.00M,3.00M,38.00M,-8.00M,3.00M,3.00M,-10.00M,-20.00M,17.00M,16.00M,-14.10M,-10.50M,-437.70M,-253.70M,-14.10M,-251.90M,-214.60M,-1.20M
Cash from Investing,639.00M,-469.00M,-1.933B,-480.00M,-390.00M,-548.00M,-79.00M,-956.00M,-557.00M,185.00M,-1.394B,-1.87B,-1.06B,-871.00M,-1.657B,-2.114B,438.00M,-1.337B,-1.493B,-3.202B,-786.00M,222.00M,-1.404B,-943.00M,1.278B,-1.107B,-2.897B,-1.088B,-367.00M,396.00M,-615.00M,-985.00M,-362.00M,368.00M,257.00M,-1.555B,-534.00M,-122.00M,-946.00M,-428.00M,-660.00M,-1.811B,-367.00M,115.00M,1.263B,649.00M,-716.00M,-141.00M,861.00M,334.00M,-611.00M,-818.00M,198.00M,4.00M,-1.021B,-546.00M,-481.00M,-154.00M,-559.00M,-345.00M,164.00M,-84.00M,-359.00M,-769.00M,48.00M,-1.015B,-465.00M,787.00M,-123.00M,-858.00M,-546.00M,134.00M,-1.182B,-1.814B,-1.47B,-274.00M,-877.00M,-689.00M,-1.38B,-329.00M,-949.00M,-1.047B,-1.356B,-98.00M,-193.00M,-754.00M,-681.00M,-241.00M,308.00M,-918.00M,-744.00M,26.00M,-543.00M,-581.00M,-55.00M,-11.00M,149.00M,-400.00M,-546.00M,-128.00M,-56.00M,-581.00M,-342.00M,-484.00M,272.00M,-476.00M,-485.00M,-1.065B,-382.00M,-615.00M,-870.00M,-1.087B,-887.50M,-1.587B,-639.50M,-1.457B,-785.90M,-1.320B,-1.024B,-607.20M
Net Change in Long Term Debt,-945.00M,-93.00M,1.257B,-449.00M,-296.00M,701.00M,-660.00M,-332.00M,379.00M,-177.00M,311.00M,213.00M,1.016B,499.00M,1.169B,1.19B,171.00M,1.796B,-131.00M,1.02B,823.00M,358.00M,-88.00M,-112.00M,382.00M,1.261B,1.734B,531.00M,627.00M,-104.00M,-44.00M,10.00M,470.00M,-276.00M,-308.00M,841.00M,1.243B,-219.00M,-74.00M,-154.00M,73.00M,1.188B,-108.00M,-579.00M,-183.00M,74.00M,96.00M,-254.00M,-865.00M,-594.00M,-216.00M,-646.00M,-535.00M,-220.00M,-247.00M,-364.00M,305.00M,-58.00M,-33.00M,-93.00M,-76.00M,-66.00M,38.00M,428.00M,-95.00M,591.00M,-190.00M,-247.00M,670.00M,1.344B,65.00M,333.00M,1.768B,1.053B,688.00M,313.00M,347.00M,-199.00M,131.00M,-209.00M,223.00M,541.00M,649.00M,263.00M,-117.00M,-140.00M,49.00M,-93.00M,-330.00M,-57.00M,-21.00M,-240.00M,-726.00M,-322.00M,-703.00M,-379.00M,-646.00M,-390.00M,-279.00M,-86.00M,-153.00M,-117.00M,-443.00M,310.00M,-387.00M,19.00M,-112.00M,-239.00M,241.00M,306.00M,128.00M,302.00M,378.20M,204.20M,91.50M,1.151B,340.10M,347.20M,289.70M,710.40M
Net Debt Issuance,-945.00M,-93.00M,1.257B,-449.00M,-296.00M,701.00M,-660.00M,-332.00M,379.00M,-177.00M,311.00M,213.00M,1.016B,499.00M,1.169B,1.19B,171.00M,1.796B,-131.00M,1.02B,823.00M,358.00M,-88.00M,-112.00M,382.00M,1.261B,1.734B,531.00M,627.00M,-104.00M,-44.00M,10.00M,470.00M,-276.00M,-308.00M,841.00M,1.243B,-219.00M,-74.00M,-154.00M,73.00M,1.188B,-108.00M,-579.00M,-183.00M,74.00M,96.00M,-254.00M,-865.00M,-594.00M,-216.00M,-646.00M,-535.00M,-220.00M,-247.00M,-364.00M,305.00M,-58.00M,-33.00M,-93.00M,-76.00M,-66.00M,38.00M,428.00M,-95.00M,591.00M,-190.00M,-247.00M,670.00M,1.344B,65.00M,333.00M,1.768B,1.053B,688.00M,313.00M,347.00M,-199.00M,131.00M,-209.00M,223.00M,541.00M,649.00M,263.00M,-117.00M,-140.00M,49.00M,-93.00M,-330.00M,-57.00M,-21.00M,-240.00M,-726.00M,-322.00M,-703.00M,-379.00M,-646.00M,-390.00M,-279.00M,-86.00M,-153.00M,-117.00M,-443.00M,310.00M,-387.00M,19.00M,-112.00M,-239.00M,241.00M,306.00M,128.00M,302.00M,378.20M,204.20M,91.50M,1.151B,340.10M,347.20M,289.70M,710.40M
Common Stock Issuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00M,1.00M,30.00M,382.00M,,,0.00,294.00M,,,0.00,0.00,0.00,497.00M,-134.00M,13.00M,442.00M,79.00M,260.00M,7.00M,11.00M,1.00M,1.00M,1.00M,3.00M,2.00M,1.00M,0.00,0.00,,0.00,0.00,1.00M,2.00M,0.00,3.00M,9.00M,25.00M,38.00M,8.00M,13.00M,8.00M,7.00M,3.00M,11.00M,4.00M,5.00M,5.00M,17.00M,58.00M,74.00M,126.00M,,,,,,,,,,,,,,,0.00,0.00,0.00,1.081B,0.00,0.00,0.00,454.00M,4.50M,0.00,-4.40M,299.90M,,,,
Common Stock Payments,-272.00M,-200.00M,-17.00M,-608.00M,0.00,0.00,-376.00M,-461.00M,-243.00M,-359.00M,-529.00M,-484.00M,-569.00M,-695.00M,-1.711B,-1.525B,-1.435B,-1.48B,-750.00M,-181.00M,-907.00M,-127.00M,56.00M,-84.00M,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,-207.00M,-259.00M,-405.00M,-56.00M,-523.00M,-202.00M,-164.00M,-148.00M,-434.00M,-158.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Common Equity Issued (Purchased),-272.00M,-200.00M,-17.00M,-608.00M,0.00,0.00,-376.00M,-461.00M,-243.00M,-359.00M,-529.00M,-484.00M,-569.00M,-695.00M,-1.711B,-1.525B,-1.435B,-1.48B,-750.00M,-181.00M,-907.00M,-127.00M,56.00M,-84.00M,0.00,0.00,0.00,,,,,,,,,,,,-1.00M,1.00M,30.00M,382.00M,,,0.00,294.00M,,,0.00,0.00,0.00,497.00M,-134.00M,13.00M,442.00M,79.00M,260.00M,7.00M,11.00M,1.00M,1.00M,1.00M,3.00M,2.00M,1.00M,0.00,0.00,,0.00,0.00,1.00M,2.00M,0.00,3.00M,9.00M,25.00M,38.00M,8.00M,13.00M,8.00M,7.00M,-204.00M,-248.00M,-401.00M,-51.00M,-518.00M,-185.00M,-106.00M,-74.00M,-308.00M,-158.00M,,,,,,,,,,,,,,0.00,0.00,0.00,1.081B,0.00,0.00,0.00,454.00M,4.50M,0.00,-4.40M,299.90M,,,,
Total Common Dividends Paid,-43.00M,-45.00M,-44.00M,-46.00M,-46.00M,-46.00M,-46.00M,-48.00M,-48.00M,-48.00M,-51.00M,-51.00M,-52.00M,-53.00M,-58.00M,-61.00M,-72.00M,-66.00M,-70.00M,-70.00M,-72.00M,-72.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-43.00M,-45.00M,-44.00M,-46.00M,-46.00M,-46.00M,-46.00M,-48.00M,-48.00M,-48.00M,-51.00M,-51.00M,-52.00M,-53.00M,-58.00M,-61.00M,-72.00M,-66.00M,-70.00M,-70.00M,-72.00M,-72.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00M,-2.00M,-1.00M,-1.00M,-17.00M,-16.00M,-17.00M,-16.00M,-17.00M,-16.00M,-16.00M,,,,,,,,,,,,,
Proceeds from Stock Option Exercised,,,,,,,,,,,,,,,,,,,,,1.00M,0.00,0.00,9.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1.00M,,,0.00,0.00,1.00M,,,2.00M,2.00M,39.00M,47.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Other Financing Activities,-12.00M,-28.00M,-17.00M,-6.00M,-12.00M,-21.00M,-28.00M,-1.00M,-13.00M,-15.00M,-3.00M,-27.00M,-25.00M,-9.00M,-5.00M,-5.00M,44.00M,-29.00M,1.00M,-7.00M,-47.00M,-52.00M,6.00M,-7.00M,-25.00M,-58.00M,-9.00M,-17.00M,,,,,-526.00M,201.00M,138.00M,124.00M,-895.00M,429.00M,312.00M,161.00M,534.00M,233.00M,0.00,1.00M,202.00M,152.00M,-1.00M,1.00M,-2.00M,2.00M,17.00M,42.00M,38.00M,32.00M,27.00M,48.00M,-65.00M,198.00M,,,,,,,,,-50.00M,50.00M,,,,,211.00M,141.00M,,,,,,,300.00M,0.00,0.00,54.00M,162.00M,108.00M,,,,-32.00M,29.00M,3.00M,-20.00M,2.00M,-3.00M,21.00M,,,,,281.00M,0.00,2.00M,,78.00M,0.00,4.00M,,30.00M,183.00M,258.00M,160.00M,317.20M,878.60M,175.30M,310.90M,511.50M,614.30M,232.20M,
Cash from Financing,-1.272B,-366.00M,1.179B,-1.109B,-354.00M,634.00M,-1.11B,-842.00M,75.00M,-599.00M,-272.00M,-349.00M,370.00M,-258.00M,-605.00M,-401.00M,-1.292B,221.00M,-950.00M,762.00M,-202.00M,107.00M,-26.00M,-194.00M,357.00M,1.203B,1.725B,514.00M,621.00M,-104.00M,-44.00M,10.00M,-56.00M,-75.00M,-170.00M,965.00M,349.00M,210.00M,237.00M,8.00M,638.00M,1.803B,-108.00M,-578.00M,19.00M,521.00M,95.00M,-253.00M,-865.00M,-590.00M,-160.00M,-60.00M,-401.00M,-175.00M,222.00M,-237.00M,500.00M,147.00M,-22.00M,-92.00M,-75.00M,-65.00M,41.00M,430.00M,-94.00M,591.00M,-240.00M,-197.00M,761.00M,1.344B,66.00M,335.00M,1.979B,1.197B,697.00M,338.00M,385.00M,-191.00M,144.00M,-201.00M,530.00M,337.00M,401.00M,-84.00M,-6.00M,-550.00M,-136.00M,-199.00M,-404.00M,-397.00M,-150.00M,-237.00M,-132.00M,-320.00M,-706.00M,-358.00M,-442.00M,-392.00M,-280.00M,-87.00M,111.00M,-133.00M,-458.00M,294.00M,-326.00M,3.00M,-124.00M,842.00M,271.00M,489.00M,386.00M,916.00M,699.90M,1.083B,262.40M,1.762B,851.60M,961.50M,521.90M,710.40M
Beginning Cash,323.00M,330.00M,348.00M,286.00M,314.00M,305.00M,400.00M,398.00M,444.00M,489.00M,467.00M,436.00M,381.00M,446.00M,495.00M,390.00M,1.016B,952.00M,1.048B,994.00M,1.178B,1.21B,1.259B,1.14B,717.00M,604.00M,606.00M,480.00M,508.00M,371.00M,375.00M,283.00M,304.00M,318.00M,286.00M,168.00M,202.00M,197.00M,189.00M,153.00M,171.00M,191.00M,187.00M,191.00M,273.00M,287.00M,203.00M,148.00M,161.00M,215.00M,145.00M,121.00M,114.00M,167.00M,144.00M,138.00M,127.00M,166.00M,148.00M,120.00M,117.00M,196.00M,152.00M,120.00M,158.00M,157.00M,157.00M,104.00M,123.00M,195.00M,124.00M,102.00M,69.00M,265.00M,172.00M,89.00M,171.00M,128.00M,76.00M,85.00M,86.00M,66.00M,57.00M,87.00M,72.00M,102.00M,124.00M,64.00M,23.00M,22.00M,89.00M,68.00M,39.00M,80.00M,38.00M,82.00M,108.00M,89.00M,61.00M,23.00M,31.00M,65.00M,75.00M,63.00M,,,,45.00M,,,,94.00M,,,,113.50M,,,,120.30M
Change in Cash,-33.00M,-7.00M,-18.00M,62.00M,-28.00M,9.00M,-95.00M,2.00M,-45.00M,-45.00M,22.00M,31.00M,-63.00M,-65.00M,-49.00M,105.00M,-626.00M,64.00M,-96.00M,54.00M,-184.00M,-32.00M,-49.00M,119.00M,423.00M,113.00M,-2.00M,126.00M,-28.00M,137.00M,-4.00M,92.00M,-21.00M,-14.00M,32.00M,118.00M,-34.00M,5.00M,8.00M,36.00M,-18.00M,-20.00M,4.00M,-4.00M,-82.00M,-14.00M,84.00M,55.00M,-14.00M,-54.00M,70.00M,24.00M,7.00M,-53.00M,23.00M,6.00M,11.00M,-39.00M,18.00M,28.00M,3.00M,-79.00M,44.00M,32.00M,-38.00M,1.00M,0.00,53.00M,-1.00M,-72.00M,53.00M,22.00M,33.00M,-196.00M,93.00M,83.00M,-82.00M,43.00M,52.00M,-9.00M,-1.00M,20.00M,9.00M,-30.00M,27.00M,-30.00M,-20.00M,60.00M,45.00M,8.00M,-67.00M,21.00M,25.00M,-41.00M,42.00M,-44.00M,-26.00M,19.00M,28.00M,38.00M,-8.00M,-34.00M,-10.00M,12.00M,,,,,,,,,,,,,,,,
