Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Total Operating Expenses,1.479B,1.521B,1.423B,1.432B,1.421B,1.362B,1.288B,1.283B,1.242B,1.213B,1.142B,1.163B,1.147B,1.121B,1.08B,1.088B,1.005B,1.067B,1.069B,1.041B,932.00M,1.063B,1.073B,1.105B,1.03B,991.00M,1.001B,1.003B,809.00M,992.00M,646.00M,663.00M,-2.079B,1.504B,1.565B,1.52B,-2.103B,1.51B,1.533B,1.548B,1.379B,1.412B,1.415B,1.418B,1.394B,1.44B,1.453B,1.373B,1.509B,1.429B,1.425B,1.356B,1.53B,1.49B,1.605B,894.00M,-402.00M,1.334B,1.503B,1.563B,1.67B,1.425B,1.371B,1.372B,4.814B,1.818B,1.453B,1.245B,1.393B,1.654B,1.352B,1.323B,1.347B,1.674B,1.394B,1.308B,1.388B,1.319B,1.318B,1.029B,1.98B,1.123B,993.00M,944.00M,1.139B,993.60M,990.80M,873.40M,1.094B,982.10M,980.10M,874.50M,1.012B,838.60M,822.20M,518.80M,1.795B,530.50M,499.30M,458.00M,569.00M,497.10M,517.90M,466.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,1.121B,1.909B,1.299B,1.376B,936.00M,1.693B,1.148B,1.399B,1.271B,1.862B,1.355B,1.391B,747.00M,1.958B,1.252B,1.236B,684.00M,1.795B,1.233B,1.442B,573.00M,1.616B,1.267B,1.457B,1.221B,1.663B,1.206B,1.213B,561.00M,1.33B,782.00M,894.00M,544.00M,1.072B,684.00M,804.00M,563.00M,1.075B,637.00M,759.00M,627.00M,846.00M,515.00M,675.00M,487.00M,657.00M,650.00M,733.00M,479.00M,930.00M,490.00M,599.00M,199.00M,625.00M,215.00M,338.00M,-1.002B,890.00M,766.00M,666.00M,733.00M,845.00M,782.00M,711.00M,-2.578B,287.00M,666.00M,887.00M,537.00M,540.00M,842.00M,668.00M,133.00M,1.492B,880.00M,1.182B,389.00M,1.094B,794.00M,758.00M,-223.00M,884.00M,531.00M,645.00M,502.00M,825.80M,548.80M,608.40M,401.80M,606.30M,352.00M,610.00M,450.60M,653.10M,479.20M,357.50M,930.60M,504.50M,263.80M,369.40M,179.90M,430.80M,242.40M,326.60M,996.90M,1.29B,987.20M,1.008B,941.40M,1.140B,899.30M,981.30M,940.30M,1.096B,893.60M,886.60M,850.80M,1.105B,870.30M,855.40M,887.50M,1.011B,877.30M,863.20M,850.10M,1.030B,830.00M,917.40M,898.70M,1.037B,857.80M,912.60M,842.90M,940.60M,784.00M,833.40M,718.00M,751.20M,678.30M,751.40M,680.20M,729.00M,629.50M,671.30M
Non-Operating Interest Expense,547.00M,572.00M,542.00M,543.00M,544.00M,517.00M,518.00M,515.00M,511.00M,498.00M,486.00M,491.00M,485.00M,464.00M,478.00M,489.00M,319.00M,402.00M,403.00M,403.00M,317.00M,405.00M,403.00M,404.00M,418.00M,378.00M,381.00M,367.00M,387.00M,401.00M,232.00M,224.00M,224.00M,213.00M,203.00M,219.00M,216.00M,202.00M,212.00M,210.00M,191.00M,190.00M,186.00M,184.00M,189.00M,176.00M,194.00M,182.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-516.00M,-572.00M,-542.00M,-543.00M,-524.00M,-517.00M,-518.00M,-515.00M,-498.00M,-498.00M,-486.00M,-491.00M,-464.00M,-464.00M,-478.00M,-489.00M,-299.00M,-402.00M,-403.00M,-403.00M,-301.00M,-405.00M,-403.00M,-404.00M,-392.00M,-378.00M,-381.00M,-367.00M,-337.00M,-401.00M,-232.00M,-224.00M,-171.00M,-213.00M,-203.00M,-219.00M,-149.00M,-202.00M,-212.00M,-210.00M,-191.00M,-190.00M,-186.00M,-184.00M,-59.00M,-176.00M,-194.00M,-182.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,104.00M,174.00M,132.00M,155.00M,21.00M,54.00M,-23.00M,-81.00M,93.00M,-43.00M,149.00M,161.00M,229.00M,22.00M,103.00M,82.00M,87.00M,-33.00M,108.00M,101.00M,43.00M,140.00M,144.00M,36.00M,155.00M,84.00M,-315.00M,118.00M,105.00M,-87.00M,113.00M,-270.00M,45.00M,-177.00M,148.00M,161.00M,269.00M,92.00M,-532.00M,120.00M,90.00M,-318.00M,119.00M,28.00M,-88.00M,-137.00M,14.00M,117.00M,140.00M,120.00M,121.00M,42.00M,143.00M,356.00M,220.00M,79.00M,-1.853B,759.00M,92.00M,1.355B,89.00M,74.00M,137.00M,-219.00M,26.00M,60.00M,305.00M,76.00M,89.00M,126.00M,215.00M,102.00M,418.00M,37.00M,37.00M,87.00M,373.00M,462.00M,43.00M,101.00M,107.00M,24.00M,37.00M,38.00M,13.80M,45.10M,33.60M,69.50M,22.90M,25.90M,55.00M,34.30M,24.00M,44.40M,34.00M,31.80M,18.90M,34.70M,34.90M,33.60M,34.90M,32.90M,33.90M,24.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-516.00M,-572.00M,-542.00M,-543.00M,-524.00M,-517.00M,-518.00M,-515.00M,-498.00M,-498.00M,-486.00M,-491.00M,-464.00M,-464.00M,-478.00M,-489.00M,-299.00M,-402.00M,-403.00M,-403.00M,-301.00M,-405.00M,-403.00M,-404.00M,-392.00M,-378.00M,-381.00M,-367.00M,-337.00M,-401.00M,-232.00M,-224.00M,-171.00M,-213.00M,-203.00M,-219.00M,-149.00M,-202.00M,-212.00M,-210.00M,-191.00M,-190.00M,-186.00M,-184.00M,-59.00M,-176.00M,-194.00M,-182.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,709.00M,1.511B,889.00M,988.00M,433.00M,1.23B,607.00M,803.00M,866.00M,1.321B,1.018B,1.061B,512.00M,1.516B,877.00M,829.00M,472.00M,1.36B,938.00M,1.14B,315.00M,1.351B,1.008B,1.089B,984.00M,1.369B,510.00M,964.00M,329.00M,842.00M,663.00M,400.00M,409.00M,677.00M,633.00M,746.00M,674.00M,967.00M,-102.00M,671.00M,494.00M,351.00M,461.00M,525.00M,356.00M,346.00M,503.00M,686.00M,430.00M,877.00M,451.00M,476.00M,181.00M,791.00M,247.00M,311.00M,-1.939B,1.411B,485.00M,1.311B,471.00M,528.00M,540.00M,98.00M,-2.877B,-17.00M,596.00M,587.00M,307.00M,338.00M,721.00M,540.00M,337.00M,1.276B,655.00M,881.00M,365.00M,1.268B,520.00M,643.00M,-355.00M,724.00M,415.00M,516.00M,353.00M,702.20M,442.90M,538.90M,290.30M,513.20M,293.60M,516.20M,348.50M,569.40M,389.40M,317.80M,658.60M,467.10M,226.00M,330.60M,144.30M,394.70M,210.10M,286.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,95.00M,188.00M,141.00M,95.00M,-1.00M,168.00M,100.00M,181.00M,161.00M,364.00M,327.00M,344.00M,136.00M,515.00M,253.00M,252.00M,138.00M,420.00M,334.00M,364.00M,144.00M,460.00M,282.00M,339.00M,296.00M,423.00M,165.00M,330.00M,58.00M,248.00M,214.00M,103.00M,119.00M,208.00M,192.00M,233.00M,247.00M,301.00M,116.00M,226.00M,158.00M,244.00M,177.00M,179.00M,95.00M,132.00M,167.00M,222.00M,117.00M,304.00M,152.00M,139.00M,-19.00M,310.00M,51.00M,108.00M,-720.00M,487.00M,157.00M,451.00M,168.00M,147.00M,134.00M,33.00M,-1.075B,-22.00M,195.00M,195.00M,98.00M,108.00M,247.00M,158.00M,107.00M,480.00M,236.00M,327.00M,81.00M,498.00M,191.00M,250.00M,-166.00M,283.00M,127.00M,209.00M,129.30M,273.50M,163.40M,210.80M,105.70M,203.70M,125.00M,204.50M,138.90M,218.20M,152.30M,126.50M,264.50M,181.90M,88.50M,129.30M,50.70M,151.00M,82.10M,113.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,614.00M,1.323B,748.00M,893.00M,434.00M,1.062B,507.00M,622.00M,705.00M,957.00M,691.00M,717.00M,376.00M,1.001B,624.00M,577.00M,334.00M,940.00M,604.00M,776.00M,171.00M,891.00M,726.00M,750.00M,688.00M,946.00M,345.00M,634.00M,271.00M,594.00M,449.00M,297.00M,290.00M,469.00M,441.00M,513.00M,427.00M,666.00M,-218.00M,445.00M,336.00M,107.00M,284.00M,346.00M,261.00M,214.00M,336.00M,464.00M,313.00M,573.00M,299.00M,337.00M,200.00M,481.00M,196.00M,203.00M,-1.219B,924.00M,328.00M,860.00M,303.00M,381.00M,406.00M,65.00M,-1.802B,5.00M,401.00M,392.00M,209.00M,230.00M,474.00M,382.00M,230.00M,796.00M,419.00M,554.00M,284.00M,770.00M,329.00M,393.00M,-189.00M,441.00M,288.00M,307.00M,223.70M,428.70M,279.50M,328.10M,184.60M,309.50M,168.60M,311.70M,209.60M,351.20M,237.10M,191.30M,394.10M,285.20M,137.50M,201.30M,93.60M,243.70M,128.00M,173.60M,120.80M,241.40M,122.50M,141.70M,124.30M,190.50M,86.90M,106.40M,100.00M,207.80M,138.40M,137.40M,80.40M,213.80M,116.90M,127.00M,122.20M,194.80M,127.30M,127.30M,24.20M,192.90M,95.80M,135.20M,92.70M,165.00M,102.80M,139.70M,92.10M,152.50M,89.80M,133.40M,89.50M,119.40M,94.00M,134.70M,97.80M,139.00M,101.30M,123.20M
Income from Discontinued Operations,-7.00M,0.00,0.00,,20.00M,4.00M,-5.00M,,-2.00M,-2.00M,-2.00M,,-598.00M,180.00M,-112.00M,122.00M,148.00M,-5.00M,-57.00M,91.00M,-71.00M,378.00M,-113.00M,-843.00M,4.00M,62.00M,-3.00M,0.00,166.00M,4.00M,-1.00M,2.00M,0.00,1.00M,0.00,0.00,2.00M,0.00,1.00M,,12.00M,-1.00M,-2.00M,3.00M,2.00M,-1.00M,13.00M,2.00M,-70.00M,34.00M,-6.00M,20.00M,187.00M,282.00M,159.00M,155.00M,1.829B,-883.00M,-19.00M,8.00M,55.00M,8.00M,26.00M,246.00M,-217.00M,44.00M,23.00M,-5.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-162.00M,,,,,0.00,,,-96.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,67.00M,19.00M,84.00M,7.00M,10.00M,16.00M,-2.00M,-2.00M,0.00,-1.00M,-3.00M,-1.00M,-5.00M,-5.00M,-3.00M,-5.00M,-5.00M,-3.00M,-4.00M,-3.00M,-3.00M,5.00M,-4.00M,-4.00M,-4.00M,-4.00M,-3.00M,0.00,-2.00M,-4.00M,-4.00M,-4.00M,-2.00M,2.00M,-6.00M,-2.00M,-2.00M,4.00M,-5.00M,0.00,-2.00M,3.00M,-6.00M,-5.00M,1.00M,2.00M,2.00M,-1.00M,-3.00M,4.00M,-1.00M,-2.00M,1.00M,-8.00M,-3.00M,-3.00M,484.00M,-10.00M,-78.00M,-420.00M,-54.00M,-62.00M,-43.00M,-38.00M,28.00M,11.00M,-50.00M,-50.00M,-8.00M,-14.00M,-62.00M,-32.00M,-60.00M,-62.00M,-45.00M,-160.00M,-156.00M,-31.00M,-89.00M,-31.00M,-43.00M,-31.00M,-33.00M,-35.00M,-33.90M,-30.00M,-16.70M,-15.40M,-12.30M,1.60M,-1.80M,-10.50M,-4.00M,-2.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,14.00M,15.00M,12.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00M,3.00M,2.00M,2.00M,2.00M,2.00M,3.00M,2.00M,2.00M,3.00M,7.00M,3.00M,3.00M,3.00M,4.00M,3.00M,2.00M,4.00M,4.00M,4.00M,5.00M,4.00M,5.00M,5.00M,5.00M,5.00M,5.00M,5.00M,4.50M,4.90M,5.10M,6.50M,39.60M,11.10M,11.00M,11.00M,11.00M,11.10M,11.00M,11.10M,11.10M,12.40M,12.70M,12.70M,12.50M,12.50M,12.40M,12.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,674.00M,1.342B,832.00M,900.00M,464.00M,1.082B,500.00M,620.00M,703.00M,954.00M,686.00M,716.00M,-227.00M,1.176B,509.00M,694.00M,477.00M,932.00M,543.00M,864.00M,97.00M,1.274B,609.00M,-97.00M,688.00M,1.004B,339.00M,634.00M,435.00M,594.00M,444.00M,295.00M,288.00M,472.00M,435.00M,511.00M,427.00M,670.00M,-222.00M,445.00M,346.00M,109.00M,276.00M,344.00M,331.00M,215.00M,351.00M,465.00M,243.00M,607.00M,293.00M,357.00M,387.00M,763.00M,355.00M,358.00M,606.00M,41.00M,309.00M,868.00M,358.00M,389.00M,432.00M,311.00M,-2.019B,49.00M,424.00M,225.00M,-52.00M,230.00M,474.00M,382.00M,225.00M,796.00M,419.00M,458.00M,284.00M,770.00M,329.00M,393.00M,-189.00M,441.00M,288.00M,967.00M,223.70M,428.70M,279.50M,320.10M,184.60M,309.50M,168.60M,311.70M,226.30M,351.20M,237.10M,191.30M,394.10M,285.20M,137.50M,201.30M,93.60M,243.70M,128.00M,173.60M,120.80M,241.40M,122.50M,141.70M,124.30M,190.50M,86.90M,106.40M,100.00M,207.80M,138.40M,137.40M,80.40M,213.80M,116.90M,127.00M,122.20M,194.80M,127.30M,127.30M,24.20M,192.90M,95.80M,135.20M,92.70M,165.00M,102.80M,139.70M,92.10M,152.50M,89.80M,133.40M,89.50M,119.40M,94.00M,134.70M,97.80M,139.00M,101.30M,123.20M
