Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Total Current Assets,9.163B,9.619B,9.509B,9.168B,9.714B,9.52B,8.476B,8.279B,8.453B,7.706B,7.673B,8.005B,8.039B,13.53B,8.097B,7.943B,8.322B,10.20B,9.598B,12.32B,11.58B,11.58B,11.52B,10.56B,10.52B,10.42B,9.875B,9.549B,10.12B,10.11B,6.487B,5.924B,6.88B,6.273B,5.634B,5.545B,6.223B,5.443B,5.491B,5.766B,5.815B,5.391B,5.32B,5.273B,5.852B,5.284B,4.207B,4.916B,5.27B,5.029B,5.132B,7.047B,8.182B,6.815B,5.21B,7.957B,8.109B,7.962B,8.277B,7.918B,8.648B,8.578B,7.74B,7.675B,9.271B,12.54B,12.89B,9.90B,11.54B,12.10B,11.69B,9.601B,13.12B,14.56B,15.09B,22.51B,16.04B,12.77B,6.463B,6.171B,6.272B,5.396B,5.043B,4.825B,4.687B,4.686B,3.497B,3.685B,4.078B,2.788B,1.116B,3.146B,1.132B,1.086B,1.111B,1.176B,1.098B,1.029B,1.091B,1.058B,1.046B,989.70M,907.20M
Other Properties,16.78B,145.76B,143.42B,141.41B,15.17B,133.06B,130.99B,129.68B,14.68B,126.02B,124.93B,123.81B,13.84B,117.03B,115.74B,114.59B,12.77B,111.26B,107.58B,105.70B,13.54B,104.14B,100.88B,99.87B,12.84B,102.42B,101.39B,101.31B,12.61B,,,,8.144B,,,,,,,50.03B,,,,45.92B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.42B,,15.25B,15.20B,15.09B,14.94B,14.73B,14.60B,14.35B,14.26B,14.12B,14.26B,14.07B
Construction in Progress,6.102B,,,,5.726B,,,,6.995B,,,,6.186B,,,,4.485B,,,,4.519B,,,,3.595B,,,,6.655B,,,,7.664B,,,,,,,5.336B,,,,4.379B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.20M,,361.50M,326.80M,316.50M,382.60M,454.10M,484.20M,580.10M,558.70M,471.70M,446.40M,479.40M
Gross PP&E,149.56B,145.76B,143.42B,141.41B,134.82B,133.06B,130.99B,129.68B,127.93B,126.02B,124.93B,123.81B,121.93B,117.03B,115.74B,114.59B,110.52B,111.26B,107.58B,105.70B,104.87B,104.14B,100.88B,99.87B,103.12B,102.42B,101.39B,101.31B,100.53B,101.35B,62.89B,61.98B,61.37B,60.78B,60.22B,59.44B,58.54B,56.69B,56.49B,55.36B,53.66B,52.36B,51.10B,50.30B,49.58B,48.49B,47.32B,46.06B,44.53B,43.91B,43.26B,58.33B,57.54B,57.34B,41.41B,40.82B,40.02B,46.89B,46.65B,46.81B,45.91B,45.53B,46.72B,45.99B,50.92B,50.95B,49.82B,48.68B,48.46B,48.22B,46.92B,39.46B,37.73B,36.14B,34.86B,34.60B,33.95B,32.98B,32.36B,30.44B,29.41B,26.36B,25.93B,27.13B,26.89B,26.06B,25.77B,25.45B,25.19B,24.91B,15.80B,24.47B,15.61B,15.53B,15.40B,15.32B,15.19B,15.09B,14.93B,14.82B,14.59B,14.70B,14.55B
Accumulated D&A,-45.77B,-45.15B,-44.48B,-43.99B,-43.13B,-43.20B,-42.50B,-42.31B,-41.54B,-41.16B,-40.52B,-40.29B,-39.41B,-38.81B,-38.41B,-38.15B,-36.74B,-37.48B,-35.83B,-35.40B,-34.82B,-34.54B,-33.98B,-33.52B,-33.62B,-33.14B,-32.51B,-32.50B,-31.97B,-32.32B,-19.10B,-19.09B,-18.71B,-18.90B,-18.61B,-18.49B,-18.20B,-17.63B,-17.79B,-17.41B,-17.24B,-16.93B,-16.59B,-16.27B,-16.34B,-16.02B,-15.63B,-14.95B,-14.40B,-14.11B,-13.88B,-16.88B,-16.74B,-16.44B,-11.96B,-11.62B,-11.42B,-13.50B,-13.26B,-13.00B,-13.05B,-12.80B,-12.64B,-12.14B,-13.42B,-13.22B,-12.88B,-11.30B,-12.12B,-11.84B,-11.62B,-11.05B,-10.90B,-10.58B,-10.43B,-10.15B,-9.908B,-9.592B,-9.268B,-9.441B,-9.24B,-8.626B,-8.39B,-10.25B,-10.25B,-10.16B,-9.961B,-9.712B,-9.647B,-9.498B,-5.944B,-9.199B,-5.851B,-5.766B,-5.687B,-5.606B,-5.549B,-5.485B,-5.343B,-5.250B,-5.181B,-4.999B,-4.885B
Net PP&E,103.78B,100.62B,98.93B,97.42B,91.69B,89.86B,88.50B,87.37B,86.39B,84.86B,84.40B,83.52B,82.52B,78.22B,77.33B,76.43B,73.78B,73.78B,71.76B,70.30B,70.05B,69.60B,66.91B,66.36B,69.49B,69.28B,68.88B,68.81B,68.56B,69.03B,43.79B,42.89B,42.66B,41.88B,41.61B,40.94B,40.34B,39.06B,38.71B,37.95B,36.42B,35.43B,34.50B,34.04B,33.25B,32.46B,31.69B,31.11B,30.13B,29.80B,29.38B,41.45B,40.80B,40.90B,29.46B,29.20B,28.60B,33.39B,33.39B,33.81B,32.86B,32.73B,34.08B,33.85B,37.50B,37.73B,36.93B,37.38B,36.33B,36.38B,35.30B,28.42B,26.83B,25.56B,24.43B,24.45B,24.05B,23.39B,23.09B,21.00B,20.17B,17.74B,17.54B,16.88B,16.64B,15.90B,15.81B,15.74B,15.54B,15.41B,9.855B,15.27B,9.760B,9.762B,9.716B,9.715B,9.640B,9.603B,9.582B,9.566B,9.407B,9.704B,9.663B
Goodwill,19.30B,19.30B,19.30B,19.30B,19.30B,19.30B,19.40B,19.40B,19.40B,19.42B,19.42B,19.42B,19.42B,16.35B,16.36B,16.35B,16.07B,16.31B,16.33B,16.33B,16.32B,16.33B,16.34B,16.34B,16.34B,16.34B,16.34B,16.37B,16.36B,16.18B,3.842B,3.853B,3.849B,3.847B,3.868B,3.862B,3.858B,3.848B,4.349B,4.35B,4.383B,4.741B,4.721B,4.72B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,351.00M,350.00M,356.00M,,359.00M,357.00M,357.00M,363.00M,371.00M,468.00M,463.00M,467.00M,507.00M,571.00M,593.00M,606.00M,621.00M,639.00M,680.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,19.30B,19.30B,19.30B,19.30B,19.30B,19.30B,19.40B,19.40B,19.40B,19.42B,19.42B,19.42B,19.42B,16.35B,16.36B,16.35B,16.07B,16.31B,16.33B,16.33B,16.32B,16.33B,16.34B,16.34B,16.34B,16.70B,16.70B,16.73B,16.36B,16.54B,4.199B,4.21B,4.212B,4.218B,4.336B,4.325B,4.325B,4.355B,4.92B,4.943B,4.989B,5.362B,5.36B,5.40B,5.38B,5.348B,5.353B,5.362B,5.403B,5.463B,5.487B,9.08B,9.193B,9.09B,3.782B,3.775B,3.773B,4.106B,4.141B,4.148B,4.002B,3.855B,3.932B,3.962B,3.87B,3.747B,3.73B,3.747B,3.942B,4.125B,4.085B,1.73B,1.625B,1.597B,1.514B,1.566B,1.195B,1.213B,1.065B,844.00M,727.00M,628.00M,641.00M,495.00M,504.30M,506.10M,516.50M,503.60M,485.90M,492.70M,,222.10M,,,,,,,,,,,
Long Term Investments,10.08B,9.559B,9.336B,8.976B,8.129B,8.749B,8.30B,8.213B,8.272B,8.18B,7.868B,7.57B,7.13B,6.716B,6.579B,6.427B,6.324B,6.067B,5.904B,5.919B,5.904B,5.724B,5.798B,5.617B,5.522B,5.316B,5.075B,5.014B,4.725B,4.697B,2.654B,2.726B,2.52B,459.00M,2.594B,2.549B,2.458B,358.00M,2.209B,2.201B,458.00M,1.979B,1.806B,1.909B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,65.00M,68.00M,69.00M,,74.00M,72.00M,68.00M,62.00M,59.00M,62.00M,61.00M,42.00M,42.00M,127.00M,45.00M,133.00M,135.00M,141.00M,134.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.00M,236.00M,239.00M,,252.00M,254.00M,258.00M,256.00M,256.00M,261.00M,257.00M,258.00M,257.00M,255.00M,255.00M,258.00M,264.00M,264.00M,320.00M,325.00M,331.00M,264.00M,269.00M,276.00M,281.00M,289.00M,297.00M,303.00M,317.00M,326.00M,275.00M,1.272B,1.292B,1.362B,263.00M,,,,774.00M,,,,,,,,,,,,,,,,,,,1.158B,,1.186B,1.194B,1.224B,1.273B,1.271B,1.238B,1.230B,1.202B,1.184B,1.162B,1.051B
Other Long Term Assets,3.289B,2.905B,2.975B,2.969B,2.935B,3.112B,3.087B,3.062B,2.96B,2.792B,2.826B,2.754B,2.769B,2.97B,3.002B,3.075B,5.286B,3.393B,3.422B,5.992B,5.669B,6.179B,5.60B,5.775B,3.72B,2.591B,2.646B,2.716B,3.082B,11.56B,5.832B,5.979B,2.519B,7.658B,5.32B,5.323B,2.563B,6.89B,5.926B,5.877B,7.698B,6.157B,6.191B,6.068B,8.031B,8.244B,8.14B,8.043B,7.962B,7.893B,7.968B,10.81B,11.78B,13.24B,12.70B,13.52B,12.58B,10.26B,9.81B,9.601B,8.93B,9.347B,9.275B,11.46B,8.138B,8.87B,8.335B,8.833B,11.04B,12.58B,11.46B,8.011B,8.886B,8.503B,9.925B,9.701B,8.538B,7.062B,5.862B,5.399B,5.177B,5.796B,5.485B,4.611B,4.356B,4.336B,4.148B,4.104B,3.674B,3.624B,1.345B,3.729B,1.287B,1.261B,1.226B,1.194B,1.169B,1.163B,1.078B,1.036B,981.60M,596.70M,602.40M
Total Long Term Assets,149.68B,146.30B,143.94B,141.97B,135.68B,133.64B,131.78B,130.26B,129.46B,128.62B,127.33B,126.10B,124.72B,116.15B,114.56B,113.77B,112.83B,110.84B,108.98B,109.82B,108.98B,108.08B,103.66B,103.23B,104.26B,104.17B,104.22B,104.12B,103.73B,101.90B,56.54B,55.88B,55.65B,54.50B,54.16B,53.44B,52.87B,50.96B,52.14B,51.27B,49.96B,49.32B,48.26B,47.80B,46.92B,46.31B,45.44B,44.77B,43.76B,43.42B,43.10B,61.65B,62.10B,63.55B,46.21B,46.77B,45.22B,48.03B,47.63B,47.85B,46.09B,46.25B,47.61B,49.55B,50.78B,51.64B,50.36B,50.22B,51.31B,53.09B,50.85B,38.93B,37.34B,35.66B,35.87B,35.72B,33.78B,31.66B,30.02B,27.24B,26.08B,24.16B,23.67B,21.98B,21.50B,20.74B,20.48B,20.34B,19.70B,19.53B,12.36B,19.22B,12.23B,12.22B,12.17B,12.18B,12.08B,12.00B,11.89B,11.80B,11.57B,11.46B,11.32B
Total Assets,158.84B,155.92B,153.45B,151.14B,145.39B,143.16B,140.26B,138.54B,137.91B,136.32B,135.00B,134.11B,132.76B,129.69B,122.65B,121.71B,121.16B,121.03B,118.58B,122.14B,120.56B,119.66B,115.17B,113.79B,114.78B,114.59B,114.10B,113.67B,113.86B,112.01B,63.03B,61.80B,62.53B,60.78B,59.79B,58.99B,59.09B,56.40B,57.63B,57.04B,55.77B,54.71B,53.58B,53.08B,52.77B,51.60B,49.65B,49.69B,49.03B,48.45B,48.23B,68.70B,70.28B,70.37B,51.42B,54.72B,53.33B,56.00B,55.91B,55.77B,54.74B,54.83B,55.35B,57.22B,60.05B,64.18B,63.24B,60.12B,62.85B,65.19B,62.55B,48.53B,50.46B,50.22B,50.96B,58.23B,49.82B,44.44B,36.48B,33.41B,32.35B,29.56B,28.71B,26.81B,26.18B,25.43B,23.97B,24.03B,23.78B,22.31B,13.48B,22.37B,13.36B,13.30B,13.28B,13.36B,13.18B,13.03B,12.98B,12.86B,12.62B,12.45B,12.22B
Accounts Payable,3.487B,2.946B,2.512B,2.538B,3.487B,3.234B,2.686B,2.391B,3.043B,2.645B,2.177B,2.203B,2.994B,2.138B,2.221B,2.086B,2.35B,2.078B,1.92B,1.92B,2.271B,1.801B,1.782B,1.892B,2.391B,1.819B,1.936B,1.985B,2.444B,1.912B,1.16B,1.05B,1.433B,1.08B,1.189B,1.305B,1.387B,1.234B,1.299B,1.39B,1.095B,1.015B,1.152B,1.477B,1.165B,1.274B,1.306B,1.585B,1.093B,1.104B,1.131B,1.686B,1.225B,1.47B,1.315B,2.431B,1.307B,2.224B,2.304B,2.414B,1.742B,2.112B,2.00B,2.331B,2.331B,5.259B,6.559B,3.637B,4.441B,5.254B,4.234B,4.231B,7.065B,7.294B,7.602B,7.375B,7.926B,4.878B,2.821B,2.312B,2.538B,1.785B,1.541B,1.754B,1.680B,1.153B,1.155B,1.359B,1.530B,1.003B,176.60M,1.286B,227.70M,233.20M,214.40M,343.70M,251.30M,233.10M,230.00M,343.70M,357.10M,269.20M,258.90M
Current Tax Payable,392.00M,712.00M,521.00M,470.00M,577.00M,674.00M,494.00M,422.00M,551.00M,627.00M,432.00M,363.00M,384.00M,636.00M,467.00M,394.00M,289.00M,628.00M,550.00M,508.00M,569.00M,704.00M,522.00M,423.00M,551.00M,706.00M,553.00M,425.00M,459.00M,601.00M,359.00M,369.00M,431.00M,438.00M,358.00M,382.00M,412.00M,395.00M,383.00M,428.00M,395.00M,360.00M,360.00M,362.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,3.879B,3.658B,3.033B,3.008B,4.064B,3.908B,3.18B,2.813B,3.594B,3.272B,2.609B,2.566B,3.378B,2.774B,2.688B,2.48B,2.639B,2.706B,2.47B,2.428B,2.84B,2.505B,2.304B,2.315B,2.942B,2.525B,2.489B,2.41B,2.903B,2.513B,1.519B,1.419B,1.864B,1.518B,1.547B,1.687B,1.799B,1.629B,1.682B,1.818B,1.49B,1.375B,1.512B,1.839B,1.165B,1.274B,1.306B,1.585B,1.093B,1.104B,1.131B,1.686B,1.225B,1.47B,1.315B,2.431B,1.307B,2.224B,2.304B,2.414B,1.742B,2.112B,2.00B,2.331B,2.331B,5.259B,6.559B,3.637B,4.441B,5.254B,4.234B,4.231B,7.065B,7.294B,7.602B,7.375B,7.926B,4.878B,2.821B,2.312B,2.538B,1.785B,1.541B,1.754B,1.680B,1.153B,1.155B,1.359B,1.530B,1.003B,176.60M,1.286B,227.70M,233.20M,214.40M,343.70M,251.30M,233.10M,230.00M,343.70M,357.10M,269.20M,258.90M
Accrued Expenses,565.00M,559.00M,564.00M,544.00M,559.00M,557.00M,530.00M,542.00M,525.00M,538.00M,506.00M,526.00M,503.00M,504.00M,448.00M,481.00M,412.00M,483.00M,419.00M,490.00M,418.00M,476.00M,453.00M,478.00M,440.00M,474.00M,451.00M,478.00M,448.00M,474.00M,254.00M,287.00M,252.00M,269.00M,272.00M,267.00M,237.00M,243.00M,251.00M,222.00M,232.00M,215.00M,211.00M,187.00M,1.671B,2.044B,1.606B,1.845B,1.744B,1.914B,1.508B,2.872B,3.483B,3.957B,3.216B,4.504B,5.195B,3.566B,3.161B,3.188B,3.436B,3.724B,3.869B,4.087B,4.181B,4.969B,4.613B,4.154B,5.689B,5.786B,5.517B,4.347B,5.51B,5.513B,6.73B,13.67B,6.81B,6.17B,3.638B,2.782B,2.408B,3.411B,2.864B,2.254B,1.849B,2.974B,1.618B,1.670B,1.864B,1.068B,302.30M,1.213B,261.00M,222.30M,324.80M,258.20M,295.10M,197.60M,290.60M,223.70M,260.50M,330.70M,380.30M
Payables and Accrued Expenses,4.444B,4.217B,3.597B,3.552B,4.623B,4.465B,3.71B,3.355B,4.119B,3.81B,3.115B,3.092B,3.881B,3.278B,3.136B,2.961B,3.051B,3.189B,2.889B,2.918B,3.258B,2.981B,2.757B,2.793B,3.382B,2.999B,2.94B,2.888B,3.351B,2.987B,1.773B,1.706B,2.116B,1.787B,1.819B,1.954B,2.036B,1.872B,1.933B,2.04B,1.722B,1.59B,1.723B,2.026B,2.836B,3.318B,2.912B,3.43B,2.837B,3.018B,2.639B,4.558B,4.708B,5.427B,4.531B,6.935B,6.502B,5.79B,5.465B,5.602B,5.178B,5.836B,5.869B,6.418B,6.512B,10.23B,11.17B,7.791B,10.13B,11.04B,9.751B,8.578B,12.58B,12.81B,14.33B,21.04B,14.74B,11.05B,6.459B,5.094B,4.946B,5.196B,4.405B,4.008B,3.529B,4.126B,2.774B,3.028B,3.394B,2.071B,478.90M,2.499B,488.70M,455.50M,539.20M,601.90M,546.40M,430.70M,520.60M,567.40M,617.60M,599.90M,639.20M
Current Provisions - Legal & Other,881.00M,861.00M,739.00M,779.00M,919.00M,902.00M,716.00M,676.00M,689.00M,619.00M,397.00M,404.00M,411.00M,539.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.00M,1.062B,456.00M,,755.00M,280.00M,275.00M,216.00M,254.00M,362.00M,0.00,279.00M,399.00M,279.00M,543.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,6.276B,5.565B,6.491B,5.53B,6.816B,6.346B,6.181B,6.92B,5.407B,4.384B,6.96B,5.535B,4.806B,6.212B,4.654B,5.561B,5.659B,4.955B,4.536B,6.59B,5.321B,2.943B,3.754B,2.622B,2.943B,3.91B,4.049B,5.009B,4.167B,2.488B,1.87B,1.067B,2.321B,1.527B,1.008B,1.029B,275.00M,318.00M,586.00M,902.00M,743.00M,901.00M,647.00M,646.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
