Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12
Other Intangible Assets,3.213B,3.278B,3.351B,3.425B,3.494B,3.57B,3.646B,3.73B,3.797B,3.877B,3.944B,4.019B,4.093B,4.205B,4.051B,4.121B,4.022B,,,,324.00M,,,,,,,,,,,,,,,,,158.00M,179.00M,283.00M,,338.00M,339.00M,351.00M,355.00M,390.00M,409.00M,428.00M,463.00M,502.00M,538.00M,574.00M,605.00M,551.00M,525.00M,9.072B,560.00M,8.894B,8.932B,8.971B,672.00M,8.579B,8.615B,8.65B,807.00M,8.101B,8.132B,8.171B,814.00M,8.217B,8.248B,8.279B,939.00M,958.00M,997.00M,1.035B,1.073B,9.917B,10.21B,1.22B,10.42B,10.53B,1.339B,1.378B,1.418B,1.461B,1.491B,1.53B,1.566B,1.598B,1.638B,1.72B,1.767B,2.158B,2.206B,1.763B,1.553B,1.861B,1.897B,2.00B,1.971B
Goodwill and Intangibles,13.82B,14.04B,14.13B,14.19B,14.26B,14.36B,14.43B,14.54B,14.60B,14.69B,14.72B,14.79B,14.86B,15.00B,17.67B,17.70B,14.72B,10.83B,10.87B,10.84B,11.19B,10.77B,10.50B,10.37B,10.35B,10.53B,10.35B,10.36B,10.37B,10.18B,10.16B,10.17B,10.15B,9.606B,9.615B,9.609B,9.605B,9.746B,9.976B,10.22B,9.948B,10.28B,10.06B,10.04B,9.881B,9.95B,9.893B,9.827B,9.85B,9.871B,9.918B,9.927B,9.855B,9.937B,9.352B,9.072B,9.007B,8.894B,8.932B,8.971B,8.564B,8.579B,8.615B,8.65B,8.686B,8.101B,8.132B,8.171B,8.194B,8.217B,8.248B,8.279B,8.31B,9.596B,9.723B,9.829B,8.552B,9.917B,10.21B,10.32B,10.42B,10.53B,10.73B,10.84B,10.94B,11.12B,11.22B,11.30B,11.42B,11.56B,11.67B,12.04B,12.16B,12.66B,12.77B,4.532B,4.347B,4.655B,4.71B,4.827B,4.802B
Long Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.00M,,,,1.06B,,,,1.009B,,,,1.884B,,,,2.433B,,,2.295B,,,,,948.00M,,,,,,,,,,,,,,,,
Long Term Deferred Assets,3.319B,2.912B,3.163B,3.169B,3.208B,3.036B,3.051B,3.084B,3.156B,5.97B,6.332B,6.489B,6.625B,5.85B,5.83B,5.893B,6.068B,4.096B,4.035B,4.024B,4.013B,2.954B,3.113B,2.782B,2.85B,4.657B,4.681B,4.75B,4.809B,4.073B,4.186B,4.29B,4.388B,3.096B,3.268B,3.412B,3.485B,3.339B,3.614B,3.625B,3.779B,4.596B,4.542B,4.644B,4.651B,937.00M,849.00M,824.00M,760.00M,1.736B,1.661B,1.473B,1.487B,,,,555.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,6.706B,6.28B,6.281B,6.15B,5.178B,5.34B,5.357B,5.449B,5.58B,5.568B,5.557B,5.488B,5.667B,5.414B,5.395B,5.377B,8.557B,4.957B,5.019B,5.015B,4.774B,4.931B,4.91B,4.921B,4.955B,4.999B,4.941B,4.985B,4.948B,4.788B,4.747B,4.789B,4.667B,4.388B,4.46B,4.452B,4.576B,4.009B,3.889B,3.922B,4.387B,3.856B,3.698B,3.614B,3.736B,3.14B,3.155B,3.06B,3.056B,3.035B,2.727B,2.602B,2.434B,4.289B,4.23B,4.255B,2.369B,3.86B,3.733B,3.61B,2.596B,4.441B,4.568B,4.593B,2.326B,3.786B,3.818B,3.696B,2.671B,5.602B,5.407B,5.458B,1.61B,5.829B,5.903B,5.824B,1.367B,5.577B,5.157B,2.948B,5.51B,5.335B,3.679B,3.689B,2.733B,3.415B,3.42B,3.325B,3.165B,3.607B,3.573B,3.564B,3.312B,3.095B,3.005B,2.014B,1.869B,2.267B,2.245B,1.627B,1.649B
Total Long Term Assets,30.43B,29.47B,29.74B,29.65B,28.77B,28.64B,28.62B,28.82B,29.12B,31.74B,32.14B,32.25B,32.70B,31.63B,34.34B,34.39B,34.73B,24.56B,24.56B,24.53B,24.72B,23.25B,23.09B,22.68B,22.86B,24.79B,24.57B,24.71B,24.80B,23.53B,23.59B,23.78B,23.81B,21.52B,21.76B,21.93B,22.22B,21.61B,22.03B,22.37B,22.63B,23.30B,22.88B,22.86B,22.76B,18.65B,18.15B,17.97B,17.99B,18.71B,18.32B,17.99B,18.07B,18.14B,17.47B,17.21B,17.22B,16.32B,16.22B,16.15B,16.60B,16.39B,16.62B,16.67B,16.77B,15.17B,15.21B,15.12B,16.35B,16.97B,16.67B,16.72B,16.88B,18.69B,18.95B,18.99B,17.09B,18.93B,18.92B,19.14B,19.56B,19.43B,18.01B,18.12B,18.13B,18.15B,18.26B,18.23B,18.26B,18.78B,18.85B,19.31B,19.19B,20.08B,20.09B,9.662B,9.35B,10.35B,10.41B,9.936B,9.906B
Total Assets,47.53B,49.28B,47.84B,47.68B,44.88B,45.50B,45.12B,46.63B,46.62B,48.95B,48.71B,48.84B,47.81B,48.74B,50.41B,50.16B,49.30B,39.62B,39.85B,39.75B,37.05B,36.93B,37.25B,36.92B,36.19B,38.91B,38.95B,39.58B,38.66B,39.32B,38.39B,38.34B,37.91B,36.19B,35.72B,36.68B,35.11B,35.55B,36.24B,36.29B,35.11B,35.74B,34.79B,34.53B,33.44B,29.36B,29.46B,29.15B,28.93B,29.79B,29.81B,28.85B,28.23B,29.09B,28.44B,28.44B,27.74B,27.36B,27.39B,26.88B,25.55B,26.64B,26.24B,26.82B,26.18B,24.88B,24.80B,25.02B,26.98B,28.92B,28.33B,27.78B,27.65B,29.20B,28.97B,30.51B,30.43B,32.27B,29.89B,29.60B,30.26B,29.56B,28.38B,28.60B,28.74B,29.76B,29.56B,29.38B,28.36B,29.58B,29.40B,29.37B,29.54B,30.27B,30.33B,17.68B,17.56B,18.37B,18.28B,17.96B,18.05B
Accounts Payable,1.281B,2.904B,2.611B,3.097B,2.402B,2.691B,2.675B,2.715B,1.467B,2.848B,2.554B,2.718B,1.653B,2.84B,2.778B,2.715B,1.745B,2.215B,2.016B,1.945B,1.562B,2.00B,1.956B,1.942B,1.397B,1.928B,2.044B,2.123B,2.038B,2.184B,2.359B,2.384B,2.269B,2.328B,2.219B,2.374B,1.627B,2.352B,2.271B,2.247B,2.03B,2.245B,2.162B,2.165B,2.03B,2.03B,1.993B,1.906B,2.163B,1.964B,2.137B,2.099B,2.221B,1.933B,1.935B,1.95B,1.998B,1.854B,1.933B,1.818B,1.726B,1.547B,1.522B,1.611B,1.434B,1.298B,1.167B,1.086B,1.102B,1.107B,1.149B,1.171B,1.419B,924.00M,1.007B,1.104B,1.106B,1.033B,1.037B,930.00M,1.228B,1.365B,1.096B,1.021B,1.382B,1.077B,918.00M,1.082B,1.234B,1.184B,1.28B,1.331B,1.294B,1.211B,941.00M,763.00M,787.00M,1.023B,1.042B,1.001B,1.306B
Current Tax Payable,2.466B,2.308B,2.077B,1.861B,2.122B,2.165B,2.051B,1.771B,1.785B,1.895B,1.796B,1.647B,1.764B,1.856B,2.012B,1.963B,1.707B,1.947B,1.808B,1.722B,1.824B,1.919B,1.813B,1.722B,1.809B,1.737B,1.688B,1.71B,1.649B,,,,1.664B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.00M,,,,63.00M,,,,519.00M,,,40.00M,,,374.00M,534.00M,553.00M,661.00M,567.00M,602.00M,364.00M,540.00M,542.00M,856.00M,925.00M,628.00M,628.00M,253.00M,292.00M,286.00M,77.00M,306.00M,86.00M
Total Payables,3.747B,5.212B,4.688B,4.958B,4.524B,4.856B,4.726B,4.486B,3.252B,4.743B,4.35B,4.365B,3.417B,4.696B,4.79B,4.678B,3.452B,4.162B,3.824B,3.667B,3.386B,3.919B,3.769B,3.664B,3.206B,3.665B,3.732B,3.833B,3.687B,2.184B,2.359B,2.384B,3.933B,2.328B,2.219B,2.374B,1.627B,2.352B,2.271B,2.247B,2.03B,2.245B,2.162B,2.165B,2.03B,2.03B,1.993B,1.906B,2.163B,1.964B,2.137B,2.099B,2.221B,1.933B,1.935B,1.95B,1.998B,1.854B,1.933B,1.818B,1.726B,1.547B,1.522B,1.611B,1.434B,1.298B,1.167B,1.086B,1.209B,1.107B,1.149B,1.171B,1.482B,924.00M,1.007B,1.104B,1.625B,1.033B,1.037B,970.00M,1.228B,1.365B,1.47B,1.555B,1.935B,1.738B,1.485B,1.684B,1.598B,1.724B,1.822B,2.187B,2.219B,1.839B,1.569B,1.016B,1.079B,1.309B,1.119B,1.307B,1.392B
Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.519B,,,,,,,,,,,,2.766B,,,,,,,,,6.098B,,,,,,,,,,,,,,,,,,,,,,,,,
