Stock Based Compensation,31.00M,54.00M,67.00M,37.00M,25.00M,50.00M,60.00M,38.00M,25.00M,32.00M,57.00M,44.00M,25.00M,27.00M,53.00M,44.00M,20.00M,29.00M,49.00M,40.00M,36.00M,31.00M,49.00M,48.00M,39.00M,38.00M,59.00M,53.00M,38.00M,42.00M,46.00M,41.00M,41.00M,37.00M,40.00M,39.00M,68.00M,18.00M,41.00M,41.00M,58.00M,24.00M,42.00M,30.00M,40.00M,40.00M,40.00M,35.00M,33.00M,116.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess Tax Benefit from Stock Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00M,-13.00M,,90.00M,-47.00M,-43.00M,,-22.00M,-102.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-269.00M,510.00M,205.00M,-172.00M,169.00M,236.00M,229.00M,266.00M,-521.00M,454.00M,183.00M,188.00M,-528.00M,45.00M,-40.00M,221.00M,372.00M,353.00M,37.00M,-159.00M,-79.00M,219.00M,158.00M,-21.00M,146.00M,144.00M,-25.00M,40.00M,-114.00M,215.00M,9.00M,100.00M,-170.00M,187.00M,-127.00M,49.00M,-388.00M,232.00M,214.00M,183.00M,-1.217B,1.089B,-561.00M,620.00M,-1.08B,211.00M,120.00M,556.00M,-608.00M,912.00M,,,159.00M,,-549.00M,549.00M,,,,,,,,,,,,,,,,,,,,,305.00M,,-54.00M,54.00M,,,-268.00M,268.00M,1.001B,-558.00M,289.00M,269.00M,,,,,-424.00M,-40.00M,-94.00M,-51.00M,617.00M,-43.00M,-81.00M,-11.00M,320.00M,136.00M,209.00M,272.00M
Change in Receivables,1.957B,-454.00M,396.00M,-1.414B,269.00M,-422.00M,15.00M,-1.521B,550.00M,-273.00M,72.00M,-861.00M,889.00M,-323.00M,-656.00M,-558.00M,605.00M,322.00M,-522.00M,-661.00M,259.00M,367.00M,-175.00M,-423.00M,1.077B,-66.00M,140.00M,-384.00M,-95.00M,140.00M,149.00M,-654.00M,490.00M,8.00M,39.00M,-900.00M,486.00M,53.00M,73.00M,-609.00M,35.00M,92.00M,-33.00M,-779.00M,93.00M,-160.00M,217.00M,-483.00M,8.00M,286.00M,-337.00M,-281.00M,181.00M,-356.00M,486.00M,-217.00M,-107.00M,-159.00M,-66.00M,-58.00M,-252.00M,-200.00M,344.00M,21.00M,-355.00M,-147.00M,387.00M,-143.00M,75.00M,-175.00M,386.00M,108.00M,-323.00M,289.00M,-262.00M,262.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Inventories,-145.00M,125.00M,-314.00M,-288.00M,53.00M,-12.00M,158.00M,-318.00M,-13.00M,-28.00M,187.00M,-225.00M,408.00M,-2.00M,77.00M,-310.00M,-39.00M,-205.00M,51.00M,-205.00M,11.00M,-241.00M,278.00M,29.00M,-78.00M,-25.00M,0.00,43.00M,-35.00M,-349.00M,-142.00M,104.00M,-649.00M,427.00M,55.00M,93.00M,-267.00M,259.00M,103.00M,-302.00M,-130.00M,-208.00M,68.00M,33.00M,-165.00M,-113.00M,-4.00M,99.00M,-331.00M,-8.00M,-3.00M,285.00M,-421.00M,-153.00M,39.00M,5.00M,-253.00M,107.00M,23.00M,84.00M,-174.00M,259.00M,156.00M,278.00M,-117.00M,-136.00M,-22.00M,181.00M,-171.00M,723.00M,42.00M,-9.00M,205.00M,446.00M,-254.00M,254.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Payables and Accrued Expense,-1.622B,287.00M,-507.00M,744.00M,-323.00M,13.00M,-66.00M,1.29B,-1.418B,289.00M,-171.00M,1.111B,-1.221B,227.00M,55.00M,751.00M,-797.00M,184.00M,78.00M,375.00M,-501.00M,39.00M,12.00M,545.00M,-528.00M,-124.00M,-78.00M,83.00M,-150.00M,-177.00M,-25.00M,116.00M,-98.00M,115.00M,-153.00M,745.00M,-718.00M,112.00M,25.00M,217.00M,-482.00M,71.00M,-2.00M,120.00M,87.00M,35.00M,81.00M,-257.00M,198.00M,-170.00M,37.00M,-131.00M,312.00M,-14.00M,-69.00M,-12.00M,124.00M,-79.00M,119.00M,75.00M,175.00M,28.00M,-92.00M,177.00M,118.00M,131.00M,81.00M,-16.00M,39.00M,-42.00M,-22.00M,-248.00M,-48.00M,-216.00M,81.00M,-81.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-219.00M,-107.00M,326.00M,-91.00M,94.00M,-7.00M,4.00M,,-720.00M,525.00M,195.00M,-608.00M,155.00M,358.00M,95.00M,-110.00M,-138.00M,-371.00M,915.00M,-71.00M,337.00M,-627.00M,133.00M,255.00M,-364.00M,-160.00M,-16.00M,-598.00M,72.00M,79.00M,-13.00M,-363.00M,681.00M,-373.00M,373.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Working Cap,-504.00M,58.00M,113.00M,826.00M,711.00M,-1.268B,-1.918B,-559.00M,141.00M,18.00M,-35.00M,335.00M,130.00M,-110.00M,666.00M,325.00M,415.00M,-267.00M,395.00M,445.00M,-817.00M,-560.00M,-476.00M,752.00M,-682.00M,-172.00M,-572.00M,1.257B,-2.735B,728.00M,-206.00M,-148.00M,614.00M,-1.17B,52.00M,917.00M,-94.00M,-1.254B,-169.00M,1.266B,-287.00M,-509.00M,859.00M,,,,,,-18.00M,412.00M,,,-311.00M,786.00M,,,-920.00M,559.00M,361.00M,,-642.00M,139.00M,503.00M,,-751.00M,433.00M,169.00M,149.00M,-577.00M,181.00M,158.00M,238.00M,-424.00M,-557.00M,547.00M,-58.00M,-1.246B,598.00M,1.031B,,89.00M,100.00M,-866.00M,,591.00M,-913.00M,,,,,,,,,,,,,,,,,,
Changes in Working Capital,-314.00M,16.00M,-312.00M,-132.00M,710.00M,-1.689B,-1.811B,-1.108B,-740.00M,6.00M,53.00M,360.00M,206.00M,-208.00M,142.00M,208.00M,184.00M,34.00M,2.00M,-46.00M,-1.048B,-395.00M,-361.00M,903.00M,-211.00M,-387.00M,-510.00M,999.00M,-3.015B,342.00M,-224.00M,-582.00M,357.00M,-620.00M,-7.00M,855.00M,-593.00M,-830.00M,32.00M,572.00M,-864.00M,-773.00M,785.00M,-300.00M,819.00M,-144.00M,287.00M,-637.00M,-143.00M,-200.00M,222.00M,68.00M,-847.00M,418.00M,814.00M,-129.00M,-1.266B,290.00M,66.00M,1.016B,-964.00M,563.00M,284.00M,609.00M,-850.00M,-83.00M,455.00M,155.00M,-1.232B,759.00M,643.00M,76.00M,-953.00M,643.00M,-261.00M,750.00M,-327.00M,598.00M,834.00M,197.00M,-156.00M,100.00M,-215.00M,-651.00M,735.00M,219.00M,-387.00M,-745.00M,490.00M,-319.00M,-625.00M,-534.00M,210.00M,357.00M,22.00M,-574.00M,381.00M,-84.00M,-561.00M,-327.00M,-418.00M,355.00M,-291.00M,-80.00M
Cash from Operations,1.49B,2.49B,1.668B,1.663B,2.217B,361.00M,-72.00M,632.00M,1.512B,1.754B,1.544B,1.666B,729.00M,1.32B,1.473B,1.667B,1.364B,1.517B,1.263B,957.00M,-201.00M,990.00M,977.00M,2.10B,938.00M,900.00M,623.00M,2.085B,-1.315B,1.573B,845.00M,458.00M,1.089B,551.00M,894.00M,1.719B,414.00M,513.00M,1.225B,1.649B,-291.00M,1.424B,1.136B,1.218B,997.00M,1.056B,1.488B,880.00M,417.00M,935.00M,1.404B,1.482B,315.00M,652.00M,1.613B,1.185B,56.00M,893.00M,697.00M,1.548B,89.00M,1.039B,734.00M,1.062B,135.00M,285.00M,845.00M,544.00M,-440.00M,1.18B,1.12B,428.00M,-369.00M,997.00M,148.00M,1.049B,271.00M,147.00M,1.116B,482.00M,694.00M,559.00M,-23.00M,-153.00M,1.324B,787.00M,143.00M,-223.00M,977.00M,268.00M,-104.00M,67.00M,316.00M,913.00M,546.00M,-139.00M,673.00M,360.00M,73.00M,186.00M,216.00M,793.00M,184.00M,300.00M
Net Change in Capital Expenditures,-643.00M,-308.00M,-249.00M,-284.00M,-459.00M,-339.00M,-264.00M,-216.00M,-507.00M,-222.00M,-278.00M,-170.00M,-436.00M,-241.00M,-235.00M,-151.00M,-439.00M,-191.00M,-191.00M,-118.00M,-389.00M,-203.00M,-150.00M,-103.00M,-345.00M,-209.00M,-176.00M,-106.00M,-428.00M,-208.00M,-175.00M,-131.00M,-418.00M,-241.00M,-198.00M,-130.00M,-680.00M,-171.00M,-131.00M,-92.00M,-685.00M,-182.00M,-167.00M,-132.00M,-423.00M,-229.00M,-170.00M,-104.00M,-460.00M,-226.00M,-170.00M,-84.00M,-440.00M,-190.00M,-165.00M,-98.00M,-503.00M,-154.00M,-119.00M,-89.00M,-376.00M,-133.00M,-154.00M,-106.00M,-320.00M,-165.00M,-124.00M,-78.00M,-266.00M,-135.00M,-156.00M,-105.00M,-307.00M,-119.00M,-121.00M,-72.00M,-217.00M,-98.00M,-101.00M,-84.00M,-1.43B,-166.00M,-145.00M,-131.00M,-220.00M,-170.00M,-179.00M,-128.00M,-215.00M,-178.00M,-177.00M,-180.00M,-156.00M,-234.00M,-224.00M,-123.00M,-106.00M,-125.00M,-142.00M,-127.00M,-170.00M,-111.00M,-117.00M,-111.00M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-156.00M,156.00M,-806.00M,806.00M,-762.00M,762.00M,,,,,,,,,-84.00M,3.00M,81.00M,,-825.00M,825.00M,,,-510.00M,510.00M,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in PP&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.00M,-171.00M,-131.00M,-92.00M,-371.00M,-182.00M,-167.00M,-132.00M,-423.00M,-229.00M,-170.00M,-104.00M,-460.00M,-226.00M,-170.00M,-84.00M,-440.00M,-190.00M,-321.00M,58.00M,-1.309B,652.00M,-881.00M,673.00M,-376.00M,-133.00M,-154.00M,-106.00M,-320.00M,-165.00M,-124.00M,-78.00M,-350.00M,-132.00M,-75.00M,-105.00M,-1.132B,706.00M,-121.00M,-72.00M,-727.00M,412.00M,-101.00M,-84.00M,-1.167B,-166.00M,-145.00M,-131.00M,-220.00M,-170.00M,-179.00M,-128.00M,-215.00M,-178.00M,-177.00M,-180.00M,-156.00M,-234.00M,-224.00M,-123.00M,-106.00M,-125.00M,-142.00M,-127.00M,-170.00M,-111.00M,-117.00M,-111.00M
Net Divestitures (Acquisitions),,,,,,,,,,,,,,,,,,,,,-276.00M,-450.00M,-172.00M,,-3.00M,-203.00M,-63.00M,,-230.00M,-29.00M,,,,,,,,,,,-15.00M,-233.00M,-31.00M,-156.00M,-38.00M,-107.00M,-77.00M,-11.00M,-12.00M,-189.00M,-41.00M,-95.00M,-39.00M,-429.00M,-321.00M,-153.00M,787.00M,-3.00M,0.00,-413.00M,188.00M,,4.00M,-4.00M,-368.00M,0.00,-60.00M,-159.00M,118.00M,-2.00M,-86.00M,,,,,,674.00M,,,0.00,-103.00M,,-182.00M,182.00M,134.00M,,,0.00,12.00M,0.00,464.00M,450.00M,7.313B,0.00,-7.313B,,-294.00M,148.00M,-7.00M,-141.00M,35.00M,3.00M,-158.00M,-5.00M
Total Net Change in Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,250.00M,260.00M,,250.00M,110.00M,-638.00M,107.00M,110.00M,-389.00M,0.00,0.00,10.00M,25.00M,52.00M,185.00M,-24.00M,-6.00M,-7.00M,85.00M,14.00M,35.00M,27.00M,-28.00M,-3.00M,-12.00M,-8.00M,-10.00M,-309.00M,-87.00M,0.00,240.00M,7.00M,-18.00M,-229.00M,,,,,,,,,,,,,,,-182.00M,182.00M,,,,,,,,,,,,,,,,,,,,,
Net Other Investing Changes,205.00M,13.00M,-2.00M,27.00M,57.00M,-5.00M,21.00M,130.00M,15.00M,6.00M,5.00M,4.00M,2.00M,17.00M,55.00M,4.00M,119.00M,-2.00M,65.00M,26.00M,6.00M,15.00M,22.00M,-23.00M,11.00M,-33.00M,48.00M,-42.00M,8.00M,8.00M,26.00M,-18.00M,43.00M,34.00M,204.00M,32.00M,74.00M,-2.00M,-27.00M,-23.00M,37.00M,25.00M,-10.00M,-4.00M,7.00M,-67.00M,39.00M,1.00M,67.00M,-32.00M,-90.00M,79.00M,44.00M,-118.00M,200.00M,6.00M,27.00M,-805.00M,804.00M,2.00M,-11.00M,8.00M,15.00M,17.00M,35.00M,11.00M,2.00M,5.00M,38.00M,30.00M,-12.00M,37.00M,214.00M,-1.00M,-29.00M,-59.00M,1.693B,195.00M,-13.00M,-30.00M,1.197B,-1.126B,3.00M,,-19.00M,39.00M,6.00M,82.00M,79.00M,-19.00M,-24.00M,-27.00M,-7.302B,43.00M,0.00,-33.00M,306.00M,-211.00M,,,-107.00M,0.00,50.00M,189.00M
Cash from Investing,-438.00M,-295.00M,-251.00M,-257.00M,-402.00M,-344.00M,-243.00M,-86.00M,-492.00M,-216.00M,-273.00M,-166.00M,-434.00M,-224.00M,-180.00M,-147.00M,-9.323B,-193.00M,-126.00M,-92.00M,-659.00M,-638.00M,-300.00M,-126.00M,-337.00M,-445.00M,-191.00M,-148.00M,-650.00M,-229.00M,-149.00M,-149.00M,-999.00M,43.00M,266.00M,-98.00M,294.00M,-63.00M,-796.00M,-8.00M,-553.00M,-779.00M,-208.00M,-292.00M,-444.00M,-378.00M,-156.00M,71.00M,-429.00M,-453.00M,-308.00M,-15.00M,-421.00M,-702.00M,-415.00M,-117.00M,-498.00M,-168.00M,-85.00M,252.00M,-508.00M,-212.00M,-135.00M,147.00M,-646.00M,-172.00M,-411.00M,-232.00M,-194.00M,-104.00M,-173.00M,-68.00M,-285.00M,705.00M,-150.00M,-131.00M,1.383B,607.00M,-114.00M,-114.00M,-73.00M,-1.474B,-142.00M,51.00M,-105.00M,-131.00M,-173.00M,-46.00M,-124.00M,-197.00M,263.00M,243.00M,-145.00M,-191.00M,-7.537B,-156.00M,-94.00M,-188.00M,-149.00M,-268.00M,-242.00M,-108.00M,-225.00M,73.00M
Net Change in Long Term Debt,,,,,,,,,,,,,0.00,-500.00M,-452.00M,,6.888B,0.00,0.00,2.213B,0.00,0.00,0.00,0.00,0.00,0.00,-150.00M,,0.00,0.00,0.00,,-632.00M,1.98B,,,0.00,0.00,,,,,,,491.00M,-1.00B,-103.00M,,0.00,-32.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.096B,,13.00M,-13.00M,,,181.00M,-181.00M,-870.00M,651.00M,-326.00M,-325.00M,1.419B,374.00M,-496.00M,-11.00M,-1.544B,-720.00M,7.29B,-131.00M,124.00M,-181.00M,-112.00M,7.00M,-297.00M,-15.00M,-21.00M,-136.00M
Net Change in Short Term Debt,0.00,0.00,-400.00M,-200.00M,110.00M,490.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-463.00M,,234.00M,-234.00M,,,-120.00M,120.00M,-151.00M,-1.104B,466.00M,638.00M,-768.00M,-278.00M,399.00M,-219.00M,,,,,,,,,,,,
Net Debt Issuance,-900.00M,0.00,-400.00M,-200.00M,-640.00M,490.00M,0.00,0.00,0.00,0.00,,,0.00,-500.00M,-452.00M,,6.888B,0.00,0.00,2.213B,0.00,0.00,0.00,0.00,0.00,0.00,-150.00M,,0.00,0.00,0.00,,-632.00M,1.98B,,,0.00,0.00,,,,,,,491.00M,-1.00B,-103.00M,,0.00,0.00,-15.00M,-17.00M,-10.00M,0.00,-194.00M,-6.00M,-94.00M,0.00,-39.00M,,-1.115B,0.00,-122.00M,-15.00M,-17.00M,-151.00M,-572.00M,-637.00M,-23.00M,-11.00M,-18.00M,-58.00M,-277.00M,-1.134B,-1.138B,-29.00M,-2.044B,-25.00M,-243.00M,-247.00M,-79.00M,1.00B,199.00M,-61.00M,-1.069B,-405.00M,140.00M,313.00M,651.00M,96.00M,-97.00M,-230.00M,-434.00M,-720.00M,7.29B,-131.00M,110.00M,-181.00M,-112.00M,7.00M,-304.00M,-15.00M,-21.00M,-136.00M
Common Stock Issuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.00M,43.00M,-57.00M,12.00M,21.00M,24.00M,-48.00M,25.00M,7.00M,16.00M,-242.00M,125.00M,53.00M,64.00M,38.00M,58.00M,105.00M,149.00M,-61.00M,180.00M,117.00M,391.00M,88.00M,31.00M,176.00M,111.00M,90.00M,38.00M,18.00M,18.00M,4.00M,18.00M,12.00M,10.00M,5.00M,46.00M,184.00M,201.00M,90.00M,59.00M,21.00M,43.00M,8.00M,4.00M,1.00M,1.00M,0.00,2.00M,7.00M,8.00M,33.00M,8.00M,16.00M,34.00M,39.00M,29.00M,42.00M,,97.00M,-50.00M,36.00M,14.00M,61.00M,-26.00M,7.00M,19.00M,32.00M,-11.00M,2.00M,9.00M
Common Stock Payments,-490.00M,-210.00M,-219.00M,-281.00M,-666.00M,-216.00M,-310.00M,-300.00M,-501.00M,-500.00M,-500.00M,-500.00M,-816.00M,-278.00M,-501.00M,-501.00M,-707.00M,-823.00M,-937.00M,-604.00M,-224.00M,-446.00M,-124.00M,-1.106B,-229.00M,-607.00M,-465.00M,-461.00M,-282.00M,-285.00M,-181.00M,-242.00M,-148.00M,-1.004B,-999.00M,-314.00M,-854.00M,-319.00M,-731.00M,-516.00M,-489.00M,-393.00M,-470.00M,-499.00M,-593.00M,-408.00M,-745.00M,-1.185B,-322.00M,-411.00M,-661.00M,-733.00M,-197.00M,-317.00M,-718.00M,-883.00M,-306.00M,-568.00M,-302.00M,-134.00M,-208.00M,-187.00M,-278.00M,,-203.00M,0.00,0.00,-279.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Common Equity Issued (Purchased),-490.00M,-210.00M,-219.00M,-281.00M,-666.00M,-216.00M,-310.00M,-300.00M,-501.00M,-500.00M,-500.00M,-500.00M,-816.00M,-278.00M,-501.00M,-501.00M,-707.00M,-823.00M,-937.00M,-604.00M,-224.00M,-446.00M,-124.00M,-1.106B,-229.00M,-607.00M,-465.00M,-461.00M,-282.00M,-285.00M,-181.00M,-242.00M,-148.00M,-1.004B,-1.042B,-271.00M,-911.00M,-307.00M,-710.00M,-492.00M,-537.00M,-368.00M,-463.00M,-483.00M,-835.00M,-283.00M,-692.00M,-1.121B,-284.00M,-353.00M,-556.00M,-584.00M,-258.00M,-137.00M,-601.00M,-492.00M,-218.00M,-537.00M,-126.00M,-23.00M,-118.00M,-149.00M,-260.00M,18.00M,-199.00M,18.00M,12.00M,-269.00M,-45.00M,46.00M,184.00M,201.00M,90.00M,59.00M,21.00M,43.00M,8.00M,4.00M,1.00M,1.00M,0.00,2.00M,7.00M,8.00M,33.00M,8.00M,16.00M,34.00M,39.00M,29.00M,30.00M,12.00M,25.00M,22.00M,36.00M,14.00M,-72.00M,-43.00M,7.00M,19.00M,1.00M,20.00M,2.00M,9.00M
Preferred Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.00M,51.00M,-51.00M,,-1.571B,0.00,0.00,,,,,,,,,,,,,
Net Preferred Equity Issued (Purchased),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.00M,51.00M,-51.00M,,-1.571B,0.00,0.00,,,,,,,,,,,,,
Total Common Dividends Paid,-675.00M,-621.00M,-622.00M,-638.00M,-622.00M,-569.00M,-570.00M,-586.00M,-572.00M,-522.00M,-525.00M,-544.00M,-530.00M,-484.00M,-501.00M,-533.00M,-505.00M,-462.00M,-467.00M,-498.00M,-474.00M,-421.00M,-421.00M,-444.00M,-428.00M,-370.00M,-371.00M,-371.00M,-373.00M,-326.00M,-326.00M,-327.00M,,,,,-269.00M,-229.00M,-233.00M,-238.00M,-240.00M,-219.00M,-222.00M,-227.00M,-227.00M,-170.00M,-168.00M,-172.00M,-175.00M,-440.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,-183.00M,,44.00M,-44.00M,,,87.00M,-87.00M,-310.00M,153.00M,-75.00M,-78.00M,-74.00M,-71.00M,-77.00M,-77.00M,-70.00M,-76.00M,-86.00M,-70.00M,-71.00M,-58.00M,-70.00M,-55.00M,-43.00M,-59.00M,-61.00M,-51.00M
Total Preferred Dividends Paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M,-15.00M
