Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Non-Operating Interest Expense,157.00M,162.00M,163.00M,171.00M,171.00M,177.00M,165.00M,155.00M,174.00M,162.00M,160.00M,155.00M,171.00M,162.00M,165.00M,165.00M,142.00M,104.00M,104.00M,93.00M,87.00M,82.00M,85.00M,86.00M,86.00M,84.00M,88.00M,92.00M,94.00M,97.00M,96.00M,96.00M,96.00M,89.00M,84.00M,85.00M,87.00M,85.00M,86.00M,87.00M,86.00M,74.00M,74.00M,76.00M,68.00M,85.00M,92.00M,87.00M,87.00M,79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.00M,,,,192.00M,,,221.00M,213.00M,227.00M,213.00M,201.00M,201.00M,214.00M,226.00M,189.00M,71.00M,66.00M,70.00M,73.00M,79.00M,73.00M,76.00M,78.00M,77.00M
Net Non-Operating Interest Income Expense,-157.00M,-162.00M,-163.00M,-171.00M,-171.00M,-177.00M,-165.00M,-155.00M,-174.00M,-162.00M,-160.00M,-155.00M,-171.00M,-162.00M,-165.00M,-165.00M,-142.00M,-104.00M,-104.00M,-93.00M,-87.00M,-82.00M,-85.00M,-86.00M,-86.00M,-84.00M,-88.00M,-92.00M,-94.00M,-97.00M,-96.00M,-96.00M,-96.00M,-89.00M,-84.00M,-85.00M,-87.00M,-85.00M,-86.00M,-87.00M,-86.00M,-74.00M,-74.00M,-76.00M,-68.00M,-85.00M,-92.00M,-87.00M,-87.00M,-79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-227.00M,,,,-192.00M,,,-221.00M,-213.00M,-227.00M,-213.00M,-201.00M,-201.00M,-214.00M,-226.00M,-189.00M,-71.00M,-66.00M,-70.00M,-73.00M,-79.00M,-73.00M,-76.00M,-78.00M,-77.00M
Other Income and Expenses,-160.00M,-162.00M,-162.00M,-167.00M,-197.00M,-211.00M,-306.00M,-210.00M,-203.00M,-218.00M,-214.00M,-212.00M,-473.00M,1.00M,,-79.00M,-43.00M,-14.00M,2.00M,3.00M,2.00M,1.00M,,2.00M,-368.00M,3.00M,1.00M,-32.00M,-34.00M,-17.00M,21.00M,3.00M,-378.00M,42.00M,96.00M,69.00M,-451.00M,125.00M,54.00M,70.00M,246.00M,54.00M,46.00M,-3.00M,370.00M,-13.00M,34.00M,-7.00M,423.00M,-18.00M,177.00M,112.00M,103.00M,102.00M,103.00M,211.00M,165.00M,90.00M,106.00M,88.00M,,44.00M,11.00M,68.00M,,-110.00M,60.00M,33.00M,-893.00M,23.00M,43.00M,36.00M,,-380.00M,26.00M,43.00M,115.00M,-434.00M,-103.00M,13.00M,109.00M,70.00M,3.00M,129.00M,65.00M,34.00M,41.00M,29.00M,339.00M,70.00M,52.00M,21.00M,360.00M,61.00M,1.00M,30.00M,6.00M,24.00M,-483.00M,-143.00M,17.00M,9.00M,51.00M,123.00M
Net Interest Income,-157.00M,-162.00M,-163.00M,-171.00M,-171.00M,-177.00M,-165.00M,-155.00M,-174.00M,-162.00M,-160.00M,-155.00M,-171.00M,-162.00M,-165.00M,-165.00M,-142.00M,-104.00M,-104.00M,-93.00M,-87.00M,-82.00M,-85.00M,-86.00M,-86.00M,-84.00M,-88.00M,-92.00M,-94.00M,-97.00M,-96.00M,-96.00M,-96.00M,-89.00M,-84.00M,-85.00M,-87.00M,-85.00M,-86.00M,-87.00M,-86.00M,-74.00M,-74.00M,-76.00M,-68.00M,-85.00M,-92.00M,-87.00M,-87.00M,-79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-227.00M,,,,-192.00M,,,-221.00M,-213.00M,-227.00M,-213.00M,-201.00M,-201.00M,-214.00M,-226.00M,-189.00M,-71.00M,-66.00M,-70.00M,-73.00M,-79.00M,-73.00M,-76.00M,-78.00M,-77.00M
Pre-Tax Income,1.832B,1.781B,1.683B,1.945B,1.483B,1.575B,1.42B,1.36B,1.572B,1.297B,1.342B,1.035B,1.123B,1.427B,1.21B,994.00M,982.00M,1.089B,1.343B,1.266B,677.00M,1.311B,1.341B,1.348B,746.00M,1.173B,1.211B,1.025B,958.00M,1.046B,1.117B,951.00M,966.00M,949.00M,918.00M,798.00M,1.056B,829.00M,1.01B,879.00M,1.136B,1.048B,1.05B,978.00M,1.093B,1.144B,1.305B,1.084B,1.182B,1.119B,1.138B,929.00M,1.049B,815.00M,851.00M,877.00M,793.00M,613.00M,670.00M,540.00M,346.00M,452.00M,438.00M,428.00M,505.00M,311.00M,351.00M,365.00M,-559.00M,429.00M,381.00M,326.00M,-194.00M,114.00M,239.00M,196.00M,383.00M,-255.00M,105.00M,99.00M,475.00M,358.00M,-57.00M,424.00M,260.00M,509.00M,458.00M,434.00M,439.00M,534.00M,488.00M,476.00M,587.00M,510.00M,505.00M,431.00M,478.00M,464.00M,-86.00M,233.00M,425.00M,376.00M,426.00M,448.00M
Provision for Income Taxes,334.00M,173.00M,263.00M,241.00M,230.00M,102.00M,257.00M,203.00M,2.389B,334.00M,387.00M,246.00M,256.00M,338.00M,311.00M,188.00M,165.00M,333.00M,414.00M,388.00M,134.00M,423.00M,452.00M,415.00M,258.00M,331.00M,352.00M,264.00M,389.00M,319.00M,336.00M,283.00M,268.00M,284.00M,170.00M,242.00M,235.00M,272.00M,296.00M,360.00M,332.00M,262.00M,319.00M,312.00M,320.00M,362.00M,423.00M,354.00M,383.00M,353.00M,360.00M,239.00M,320.00M,186.00M,271.00M,286.00M,225.00M,186.00M,209.00M,171.00M,-26.00M,145.00M,142.00M,137.00M,161.00M,94.00M,109.00M,115.00M,-217.00M,129.00M,30.00M,102.00M,-48.00M,-27.00M,95.00M,70.00M,157.00M,449.00M,63.00M,45.00M,182.00M,141.00M,-16.00M,156.00M,135.00M,191.00M,169.00M,165.00M,68.00M,203.00M,180.00M,186.00M,122.00M,199.00M,206.00M,159.00M,167.00M,177.00M,-33.00M,96.00M,155.00M,122.00M,167.00M,176.00M
Income from Continuing Operations,1.498B,1.608B,1.42B,1.704B,1.253B,1.473B,1.163B,1.157B,-817.00M,963.00M,955.00M,789.00M,867.00M,1.089B,899.00M,806.00M,817.00M,756.00M,929.00M,878.00M,543.00M,888.00M,889.00M,933.00M,488.00M,842.00M,859.00M,761.00M,569.00M,727.00M,781.00M,668.00M,698.00M,665.00M,748.00M,556.00M,821.00M,557.00M,714.00M,519.00M,804.00M,786.00M,731.00M,666.00M,773.00M,782.00M,882.00M,730.00M,799.00M,766.00M,778.00M,690.00M,729.00M,629.00M,580.00M,591.00M,568.00M,427.00M,461.00M,369.00M,372.00M,307.00M,296.00M,291.00M,344.00M,217.00M,242.00M,250.00M,-342.00M,300.00M,351.00M,224.00M,-146.00M,-87.00M,144.00M,126.00M,226.00M,-704.00M,42.00M,54.00M,293.00M,217.00M,-41.00M,268.00M,125.00M,318.00M,289.00M,269.00M,371.00M,331.00M,308.00M,290.00M,465.00M,311.00M,299.00M,272.00M,311.00M,287.00M,-53.00M,137.00M,270.00M,254.00M,259.00M,272.00M
Income from Discontinued Operations,,,,,,,,,,,,,-8.00M,1.306B,122.00M,92.00M,116.00M,109.00M,,,,,,,0.00,31.00M,,,0.00,0.00,,,-15.00M,35.00M,-6.00M,-26.00M,140.00M,3.00M,110.00M,14.00M,-28.00M,11.00M,3.00M,,,,,,,,,,,,,,,,,,,,,,,,,,-5.00M,-10.00M,-12.00M,-6.00M,-1.362B,300.00M,,-21.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,-355.00M,,,,0.00,,,,,,,,,,,,,0.00,,0.00,-37.00M
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.834B,15.00M,15.00M,15.00M,15.00M,15.00M,15.00M,15.00M,15.00M,15.00M,15.00M,15.00M,,15.00M,15.00M,15.00M
Net Income,1.498B,1.608B,1.42B,1.704B,1.253B,1.473B,1.163B,1.157B,-744.00M,963.00M,955.00M,789.00M,859.00M,2.395B,1.021B,898.00M,933.00M,865.00M,929.00M,878.00M,904.00M,888.00M,889.00M,933.00M,488.00M,873.00M,859.00M,761.00M,569.00M,727.00M,781.00M,668.00M,683.00M,700.00M,742.00M,530.00M,961.00M,560.00M,824.00M,533.00M,776.00M,797.00M,734.00M,666.00M,823.00M,782.00M,882.00M,730.00M,799.00M,766.00M,778.00M,690.00M,729.00M,629.00M,580.00M,591.00M,568.00M,427.00M,461.00M,369.00M,372.00M,307.00M,296.00M,291.00M,344.00M,217.00M,242.00M,250.00M,-347.00M,290.00M,339.00M,218.00M,-1.508B,213.00M,144.00M,105.00M,89.00M,-704.00M,42.00M,54.00M,293.00M,217.00M,-41.00M,-87.00M,125.00M,318.00M,289.00M,269.00M,371.00M,331.00M,308.00M,290.00M,465.00M,311.00M,299.00M,272.00M,311.00M,287.00M,-53.00M,137.00M,270.00M,254.00M,259.00M,235.00M
Normalized Income,1.498B,1.608B,1.42B,1.704B,1.253B,1.473B,1.242B,1.157B,-817.00M,963.00M,955.00M,789.00M,867.00M,1.089B,899.00M,870.88M,872.74M,766.41M,929.00M,878.00M,543.00M,888.00M,889.00M,933.00M,727.42M,842.00M,859.00M,783.26M,585.25M,742.98M,781.00M,668.00M,945.84M,635.57M,669.76M,507.91M,1.186B,473.01M,675.83M,473.50M,629.89M,745.50M,698.98M,668.04M,511.33M,790.89M,859.02M,734.71M,513.06M,778.32M,656.99M,606.81M,657.42M,550.28M,509.80M,448.81M,449.82M,364.31M,388.07M,308.87M,372.00M,277.12M,288.57M,244.77M,344.00M,293.75M,200.63M,227.40M,204.34M,283.92M,311.39M,199.26M,-146.00M,141.00M,128.33M,98.36M,157.00M,-443.60M,103.80M,46.20M,225.76M,174.57M,-43.16M,186.46M,86.00M,296.76M,263.13M,251.03M,84.51M,287.61M,275.18M,277.21M,179.82M,273.80M,298.40M,253.07M,307.10M,272.16M,244.66M,222.80M,259.20M,247.92M,227.99M,197.32M
EBITDA,2.311B,2.245B,2.134B,2.393B,1.958B,2.043B,1.872B,1.794B,2.061B,1.758B,1.798B,1.475B,1.621B,1.884B,1.672B,1.455B,1.424B,1.429B,1.693B,1.603B,1.032B,1.64B,1.668B,1.671B,1.118B,1.489B,1.539B,1.349B,1.329B,1.39B,1.446B,1.278B,1.331B,1.285B,1.248B,1.129B,1.582B,1.127B,1.297B,1.165B,1.611B,1.337B,1.332B,1.256B,1.394B,1.443B,1.599B,1.367B,1.517B,1.40B,1.415B,1.207B,1.351B,1.09B,1.131B,1.145B,1.082B,882.00M,828.00M,705.00M,742.00M,686.00M,687.00M,630.00M,770.00M,689.00M,558.00M,611.00M,-161.00M,684.00M,621.00M,572.00M,-131.00M,579.00M,658.00M,544.00M,265.00M,661.00M,668.00M,557.00M,823.00M,730.00M,364.00M,846.00M,832.00M,946.00M,920.00M,900.00M,938.00M,1.003B,902.00M,988.00M,1.117B,1.021B,1.013B,716.00M,714.00M,734.00M,230.00M,534.00M,739.00M,636.00M,770.00M,751.00M
Reconciled Depreciation,322.00M,302.00M,288.00M,277.00M,304.00M,291.00M,287.00M,279.00M,315.00M,299.00M,296.00M,285.00M,327.00M,295.00M,297.00M,296.00M,300.00M,236.00M,246.00M,244.00M,268.00M,247.00M,242.00M,237.00M,286.00M,232.00M,240.00M,232.00M,277.00M,247.00M,233.00M,231.00M,269.00M,247.00M,246.00M,246.00M,439.00M,213.00M,201.00M,199.00M,389.00M,215.00M,208.00M,202.00M,233.00M,214.00M,202.00M,196.00M,248.00M,202.00M,184.00M,185.00M,217.00M,185.00M,188.00M,174.00M,196.00M,176.00M,170.00M,163.00M,171.00M,169.00M,154.00M,162.00M,171.00M,151.00M,148.00M,139.00M,155.00M,131.00M,138.00M,134.00M,223.00M,141.00M,265.00M,194.00M,163.00M,253.00M,240.00M,231.00M,264.00M,242.00M,233.00M,230.00M,261.00M,250.00M,241.00M,253.00M,272.00M,256.00M,213.00M,311.00M,316.00M,285.00M,319.00M,214.00M,170.00M,200.00M,243.00M,222.00M,241.00M,184.00M,266.00M,226.00M
EBIT,1.989B,1.943B,1.846B,2.116B,1.654B,1.752B,1.585B,1.515B,1.746B,1.459B,1.502B,1.19B,1.294B,1.589B,1.375B,1.159B,1.124B,1.193B,1.447B,1.359B,764.00M,1.393B,1.426B,1.434B,832.00M,1.257B,1.299B,1.117B,1.052B,1.143B,1.213B,1.047B,1.062B,1.038B,1.002B,883.00M,1.143B,914.00M,1.096B,966.00M,1.222B,1.122B,1.124B,1.054B,1.161B,1.229B,1.397B,1.171B,1.269B,1.198B,1.231B,1.022B,1.134B,905.00M,943.00M,971.00M,886.00M,706.00M,658.00M,542.00M,571.00M,517.00M,533.00M,468.00M,599.00M,538.00M,410.00M,472.00M,-316.00M,553.00M,483.00M,438.00M,-354.00M,438.00M,393.00M,350.00M,102.00M,408.00M,428.00M,326.00M,559.00M,488.00M,131.00M,616.00M,571.00M,696.00M,679.00M,647.00M,666.00M,747.00M,689.00M,677.00M,801.00M,736.00M,694.00M,502.00M,544.00M,534.00M,-13.00M,312.00M,498.00M,452.00M,504.00M,525.00M
EPS Basic from Continuing Operations,5.32,5.70,5.03,6.03,4.43,5.18,4.08,4.05,-2.50,3.35,3.31,2.72,3.29,3.64,2.97,2.65,3.05,2.45,2.98,2.78,2.87,2.81,2.81,2.92,1.53,2.62,2.68,2.37,1.76,2.25,2.41,2.06,2.16,2.01,2.18,1.59,2.30,1.55,1.94,1.40,2.12,2.06,1.89,1.69,1.95,1.97,2.21,1.80,1.94,1.85,1.87,1.64,1.72,1.48,1.35,1.36,1.31,0.97,1.03,0.84,0.84,0.69,0.67,0.66,0.77,0.49,0.54,0.56,-0.77,0.67,0.79,0.51,-0.35,-0.20,0.34,0.30,0.59,-1.74,0.11,0.14,-0.18,0.57,-0.11,-0.23,0.33,0.84,0.77,0.72,-3.95,0.85,0.795,0.745,1.20,0.775,0.75,0.675,0.78,0.715,-0.18,0.325,0.675,0.64,0.655,0.59
EPS Basic from Discontinued Operations,,,,,0.00,,,,0.25,,,,0.10,4.38,0.40,0.30,0.39,0.35,,,0.00,,,,0.00,0.10,,,0.00,0.00,,,-0.05,0.11,-0.02,-0.07,0.38,0.01,0.30,0.03,-0.06,0.03,0.01,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,-0.03,-0.01,-3.19,0.70,0.00,-0.05,-0.10,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,-0.0000,,,,0.00,,,,,,,,,,,,,0.00,,0.00,0.00
Normalized Basic EPS,5.32,5.70,5.03,6.03,4.43,5.18,4.356,4.05,-2.50,3.35,3.31,2.72,3.29,3.64,2.97,2.863,3.232,2.484,2.98,2.78,2.87,2.81,2.81,2.92,2.279,2.62,2.68,2.439,1.810,2.299,2.41,2.06,2.929,1.921,1.952,1.452,3.326,1.317,1.836,1.278,1.659,1.954,1.807,1.695,1.288,1.992,2.152,1.812,1.247,1.880,1.579,1.442,1.551,1.295,1.187,1.033,1.037,0.8276,0.8670,0.7031,0.84,0.6228,0.6532,0.5551,0.77,0.6633,0.4477,0.5094,0.4440,0.6340,0.7012,0.4533,-0.35,0.3327,0.3030,0.2347,0.4252,-1.096,0.2719,0.1198,-0.3553,0.4588,-0.1157,-0.4444,0.2269,0.7834,0.7012,0.6719,-4.718,0.7333,0.7062,0.7103,0.4383,0.6777,0.7484,0.6250,0.7697,0.6777,0.6062,0.5526,0.6464,0.6238,0.5719,0.3894
