Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Restricted Cash,,,,507.00M,,,,501.00M,668.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.72B,74.81B,74.09B,71.95B,70.62B,66.70B,64.15B,59.78B,59.89B,48.28B,46.69B,40.75B,41.07B,36.82B,33.50B,32.37B,30.96B,92.55B,105.16B,118.18B,100.44B,94.17B,87.60B,85.40B,62.20B,72.85B,62.93B,56.91B,45.22B,23.76B,21.61B,22.15B,19.34B,15.60B,14.24B,14.25B,31.31B,30.32B,35.11B,,,,,
Total Current Assets,135.22B,130.80B,130.72B,135.93B,109.55B,121.37B,125.35B,133.67B,147.09B,150.13B,150.71B,150.01B,158.80B,166.98B,160.44B,179.20B,173.65B,264.58B,257.07B,298.83B,168.99B,419.77B,418.05B,418.63B,422.35B,421.96B,426.01B,432.84B,426.37B,439.76B,429.50B,446.30B,454.34B,465.87B,471.09B,468.15B,500.50B,484.78B,477.63B,497.59B,483.58B,501.87B,496.15B,482.62B,503.32B,525.71B,533.70B,523.32B,488.80B,469.47B,452.72B,441.19B,430.19B,410.39B,399.54B,378.72B,378.27B,423.99B,483.66B,493.69B,387.12B,449.88B,446.05B,426.31B,446.61B,400.31B,390.54B,391.82B,386.78B,377.00B,362.30B,342.21B,341.16B,313.05B,300.00B,294.91B,295.66B,288.17B,284.77B,285.99B,273.19B,256.29B,250.97B,246.97B,243.66B,229.98B,219.10B,213.20B,212.76B,198.12B,195.90B,188.80B,192.39B,173.77B,169.01B,161.67B,162.71B,150.54B,140.98B,135.18B,127.08B,197.44B,205.49B,213.71B,195.24B,180.93B,176.07B,167.66B,144.46B,154.56B,145.04B,139.75B,124.72B,104.07B,89.34B,89.21B,86.08B,79.90B,75.48B,72.74B,94.45B,85.84B,83.47B,80.66B,15.74B,14.29B,12.55B,11.55B
Properties,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land and Improvements,608.00M,,,,700.00M,,,,1.175B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.00M,,,,7.814B,,,,6.749B,,,,5.55B,,,,6.909B,,,,1.562B,,,,861.00M,,,,623.00M,,,,577.00M,,,,544.00M,,,,526.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,7.973B,,,,8.608B,,,,11.66B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.569B,,,,7.354B,,,,7.70B,,,,7.448B,,,,10.04B,,,,15.30B,,,,13.16B,,,,13.13B,,,,10.88B,,,,12.74B,,,,13.84B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",65.41B,,,,64.57B,,,,73.72B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.71B,,,,57.17B,,,,96.75B,,,,89.74B,,,,88.18B,,,,81.27B,,,,70.37B,,,,63.36B,,,,57.87B,,,,52.84B,,,,51.85B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,2.167B,78.17B,89.82B,90.05B,-728.00M,,,,-684.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.63B,,,,7.191B,,,,2.961B,,,,2.771B,,,,2.834B,,,,3.021B,,,,3.026B,,,,3.004B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.363B,,,,3.031B,,,,1.932B,,,,1.609B,,,,1.772B,,,,1.563B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leases,2.165B,,,,2.646B,,,,3.862B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.431B,,,,42.78B,,,,2.121B,,,,1.928B,,,,2.157B,,,,2.942B,,,,2.228B,,,,1.964B,,,,1.96B,,,,1.871B,,,,2.15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,78.33B,78.17B,89.82B,90.05B,75.80B,87.52B,87.22B,,89.73B,,,,,87.58B,86.32B,89.86B,,87.33B,87.21B,102.64B,,112.58B,116.38B,115.87B,,115.87B,115.16B,114.50B,,111.04B,109.61B,108.97B,,109.76B,113.03B,111.55B,,110.23B,108.98B,112.45B,112.91B,118.92B,118.12B,116.17B,125.67B,127.59B,124.87B,122.68B,119.31B,117.69B,116.66B,123.75B,109.37B,117.85B,116.71B,112.46B,111.73B,109.29B,107.84B,107.82B,105.87B,103.93B,102.97B,99.02B,91.21B,84.71B,85.91B,81.06B,82.08B,76.18B,75.38B,72.81B,71.29B,72.64B,70.86B,68.95B,67.99B,69.61B,70.83B,69.25B,68.36B,65.28B,62.17B,61.55B,52.35B,59.18B,57.46B,56.79B,55.66B,54.11B,52.27B,51.26B,50.78B,50.07B,48.20B,47.06B,45.95B,44.68B,45.11B,43.58B,41.67B,41.35B,40.09B,39.28B,38.18B,37.66B,37.37B,37.08B,35.66B,35.16B,33.65B,33.51B,34.00B,33.53B,31.85B,31.52B,30.57B,29.40B,29.02B,28.38B,28.47B,26.11B,25.76B,25.17B,18.57B,18.37B,16.10B,14.77B
Accumulated D&A,-32.14B,-32.31B,-36.02B,-35.77B,-32.19B,-36.88B,-36.35B,,-35.85B,,,,,-36.12B,-35.88B,-36.07B,,-36.63B,-36.17B,-41.42B,,-47.12B,-48.48B,-48.13B,,-47.13B,-46.40B,-46.09B,,-43.66B,-42.95B,-42.97B,,-43.66B,-44.18B,-44.04B,,-44.70B,-43.62B,-44.43B,-43.94B,-45.92B,-45.18B,-43.95B,-47.14B,-47.50B,-44.94B,-43.47B,-41.42B,-41.40B,-40.27B,-46.01B,-38.72B,-45.60B,-45.70B,-44.77B,-44.20B,-43.81B,-43.07B,-43.53B,-42.77B,-42.48B,-41.68B,-41.24B,-37.82B,-35.51B,-35.66B,-33.63B,-33.01B,-31.84B,-30.91B,-29.86B,-29.15B,-30.51B,-29.41B,-28.78B,-27.98B,-28.71B,-28.75B,-28.17B,-27.34B,-27.65B,-26.54B,-25.91B,-16.62B,-25.10B,-24.15B,-24.06B,-23.34B,-23.04B,-22.40B,-21.98B,-21.99B,-21.86B,-21.17B,-20.82B,-20.27B,-20.21B,-20.07B,-19.40B,-18.20B,-18.54B,-17.99B,-17.47B,-16.95B,-16.95B,-16.95B,-16.95B,-15.27B,-15.03B,-15.03B,-15.03B,-15.03B,-15.03B,-13.94B,-13.94B,-13.94B,-12.82B,-12.82B,-12.82B,-12.82B,-11.56B,-11.56B,-11.56B,-9.317B,-8.533B,-7.774B,-7.079B
Net PP&E,46.19B,45.86B,53.80B,54.28B,43.61B,50.64B,50.87B,53.65B,53.87B,54.10B,50.17B,49.02B,50.52B,51.45B,50.44B,53.79B,54.10B,50.70B,51.04B,61.22B,48.07B,65.46B,67.90B,67.74B,68.83B,68.74B,68.76B,68.41B,68.63B,67.39B,66.66B,66.00B,65.74B,66.09B,68.85B,67.50B,66.21B,65.54B,65.36B,68.02B,68.97B,72.99B,72.94B,72.22B,78.53B,80.10B,79.92B,79.21B,77.89B,76.29B,76.39B,77.75B,70.65B,72.25B,71.00B,67.68B,67.53B,65.49B,64.77B,64.29B,63.10B,61.45B,61.30B,57.78B,53.39B,49.20B,50.25B,47.43B,49.07B,44.34B,44.47B,42.95B,42.14B,42.14B,41.45B,40.18B,40.02B,40.91B,42.08B,41.08B,41.02B,37.62B,35.63B,35.64B,35.73B,34.08B,33.31B,32.73B,32.32B,31.07B,29.87B,29.28B,28.80B,28.21B,27.03B,26.25B,25.68B,24.48B,25.04B,24.18B,23.46B,22.81B,22.10B,21.81B,21.23B,20.70B,20.42B,20.13B,20.39B,20.13B,18.63B,18.48B,18.98B,18.50B,17.90B,17.58B,16.63B,16.58B,16.20B,15.56B,15.65B,14.55B,14.21B,13.61B,9.255B,9.841B,8.328B,7.69B
Goodwill,26.73B,26.67B,52.27B,53.19B,33.97B,60.38B,82.46B,85.47B,83.97B,87.07B,72.34B,70.31B,70.44B,69.99B,67.10B,66.21B,65.53B,61.66B,62.18B,69.60B,53.21B,77.86B,79.02B,79.13B,77.65B,78.02B,73.09B,72.74B,73.11B,73.16B,72.40B,72.96B,72.62B,73.29B,70.54B,67.92B,64.39B,64.13B,63.09B,64.91B,65.08B,84.88B,83.82B,80.64B,81.76B,83.06B,84.44B,83.13B,81.12B,79.09B,77.70B,75.75B,71.40B,72.47B,72.47B,71.00B,69.61B,71.25B,72.64B,73.53B,67.36B,69.74B,69.40B,49.83B,47.77B,,,,39.14B,,,,28.29B,,,,23.51B,,,,23.11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,10.65B,10.77B,16.65B,17.05B,12.18B,18.84B,19.73B,20.66B,20.27B,21.44B,16.93B,16.51B,16.44B,16.78B,16.65B,16.89B,17.80B,13.62B,13.67B,13.53B,13.18B,14.36B,14.80B,14.79B,14.31B,14.23B,11.60B,11.82B,11.98B,11.71B,11.74B,11.92B,12.07B,12.43B,11.80B,11.29B,9.971B,10.23B,10.95B,11.54B,11.75B,15.01B,15.23B,14.76B,14.98B,15.59B,15.93B,15.94B,16.14B,15.22B,14.84B,13.60B,12.92B,13.00B,13.12B,11.95B,12.02B,12.04B,12.83B,13.19B,11.09B,11.63B,11.48B,7.253B,7.256B,50.09B,50.22B,48.65B,7.042B,44.64B,43.72B,31.72B,6.837B,28.11B,27.48B,27.16B,3.929B,27.14B,27.24B,,2.904B,25.57B,24.73B,24.33B,23.64B,21.38B,19.94B,19.68B,19.12B,16.18B,15.99B,15.97B,16.01B,13.91B,13.19B,12.24B,13.34B,12.74B,12.29B,11.89B,11.37B,10.79B,10.76B,10.68B,10.36B,10.40B,10.00B,9.488B,9.51B,9.928B,9.769B,9.758B,9.809B,9.44B,9.406B,9.181B,9.333B,8.839B,8.813B,8.799B,8.822B,8.808B,8.678B,8.552B,4.43B,3.581B,,145.00M
Goodwill and Intangibles,37.39B,37.43B,68.93B,70.25B,46.15B,79.21B,102.19B,106.13B,104.24B,108.50B,89.26B,86.83B,86.88B,86.77B,83.75B,83.10B,83.32B,75.28B,75.85B,83.14B,66.39B,92.22B,93.82B,93.92B,91.96B,92.25B,84.68B,84.56B,85.09B,84.87B,84.14B,84.88B,84.69B,85.72B,82.33B,79.21B,74.36B,74.36B,74.04B,76.46B,76.83B,99.89B,99.05B,95.40B,96.74B,98.65B,100.37B,99.07B,97.26B,94.32B,92.54B,89.35B,84.31B,85.47B,85.58B,82.96B,81.63B,83.30B,85.48B,86.72B,78.46B,81.37B,80.88B,57.08B,55.02B,50.09B,50.22B,48.65B,46.18B,44.64B,43.72B,31.72B,35.12B,28.11B,27.48B,27.16B,27.44B,27.14B,27.24B,27.16B,26.01B,25.57B,24.73B,24.33B,23.64B,21.38B,19.94B,19.68B,19.12B,16.18B,15.99B,15.97B,16.01B,13.91B,13.19B,12.24B,13.34B,12.74B,12.29B,11.89B,11.37B,10.79B,10.76B,10.68B,10.36B,10.40B,10.00B,9.488B,9.51B,9.928B,9.769B,9.758B,9.809B,9.44B,9.406B,9.181B,9.333B,8.839B,8.813B,8.799B,8.822B,8.808B,8.678B,8.552B,4.43B,3.581B,,145.00M
Long Term Investments,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,72.14B,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,24.45B,,,,24.24B,,,,23.94B,,,,22.55B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,16.80B,17.13B,19.18B,19.37B,17.43B,20.90B,20.79B,20.78B,20.36B,29.81B,28.92B,27.38B,25.16B,24.35B,23.46B,21.65B,21.16B,,,,16.96B,,,,,,,,,,,,,,,,,,,,2.056B,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.824B,,,,909.00M,,,,1.987B,,,,2.024B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.006B,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.435B,,,,2.32B,,,,397.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,9.889B,9.57B,11.89B,11.41B,12.12B,10.35B,10.89B,11.48B,8.819B,1.129B,1.241B,953.00M,1.833B,1.463B,2.242B,3.214B,3.105B,176.00M,,,6.183B,,,,275.00M,3.937B,5.013B,5.076B,-54.00M,,,,,,,,,,,,3.613B,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.086B,,,,6.768B,,,,5.815B,,,,4.682B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
