Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Other Operating Expenses,,,,,,,,,,,,,,-227.00M,-3.15B,-9.00M,-1.135B,-169.00M,-780.00M,-142.00M,14.00M,-258.00M,-338.00M,-196.00M,-1.025B,-363.00M,-104.00M,-1.615B,-826.00M,-787.00M,-393.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,4.411B,4.756B,4.822B,4.757B,4.411B,4.81B,5.015B,4.718B,13.24B,4.741B,4.152B,4.287B,7.19B,4.116B,1.733B,4.599B,3.638B,4.089B,3.605B,4.273B,14.17B,600.00M,610.00M,788.00M,13.66B,426.00M,906.00M,-158.00M,278.00M,335.00M,350.00M,863.00M,-27.46B,11.11B,9.90B,10.38B,-27.72B,11.34B,11.62B,11.86B,13.15B,12.95B,12.53B,12.42B,14.10B,12.97B,12.86B,12.35B,12.61B,12.24B,11.94B,11.39B,10.85B,10.41B,10.86B,10.61B,8.098B,10.72B,10.50B,10.58B,-2.003B,14.04B,14.23B,13.62B,-5.327B,13.18B,13.18B,12.26B,15.39B,12.36B,11.33B,10.72B,13.55B,10.62B,10.96B,11.07B,13.09B,11.46B,11.64B,11.25B,11.40B,9.638B,9.641B,2.895B,6.807B,9.401B,9.431B,9.401B,10.12B,8.629B,8.048B,8.237B,9.216B,7.916B,7.178B,6.804B,7.082B,6.574B,6.253B,5.516B,4.821B,5.465B,5.17B,5.118B,2.397B,1.752B,4.95B,4.486B,4.829B,4.841B,4.446B,4.209B,4.126B,4.18B,4.241B,4.037B,4.499B,3.947B,3.922B,3.549B,4.344B,3.401B,3.178B,,,,,,,,,,,,,,,,,,,,,
Operating Income,215.00M,1.276B,2.191B,2.176B,-1.467B,735.00M,2.398B,2.159B,-13.82B,2.251B,3.322B,2.363B,-2.673B,3.956B,6.228B,2.876B,3.234B,3.915B,4.269B,3.142B,-18.64B,11.51B,11.31B,14.04B,-33.71B,15.42B,15.56B,16.17B,7.52B,16.62B,16.46B,15.79B,28.48B,7.498B,8.306B,11.23B,32.87B,7.405B,8.118B,6.83B,6.279B,6.297B,7.775B,7.953B,8.267B,12.13B,13.25B,11.88B,14.41B,12.01B,12.93B,11.96B,12.37B,10.85B,10.56B,9.76B,9.58B,9.649B,9.445B,8.231B,9.496B,8.365B,7.423B,7.357B,5.779B,7.92B,7.765B,6.915B,5.715B,8.121B,8.14B,7.457B,8.072B,7.103B,8.304B,7.632B,8.195B,7.499B,8.01B,6.889B,7.417B,6.365B,6.612B,11.60B,6.99B,5.67B,5.819B,5.016B,3.084B,4.866B,5.167B,4.386B,5.074B,4.53B,4.651B,4.086B,4.429B,4.154B,4.287B,3.605B,585.00M,4.376B,4.359B,3.667B,3.604B,3.799B,2.541B,3.036B,2.932B,3.032B,3.364B,3.059B,3.466B,3.091B,3.271B,3.227B,3.507B,3.208B,3.299B,2.855B,3.236B,2.883B,3.058B,11.90B,-28.22B,9.306B,9.245B,7.975B,-23.60B,9.404B,9.56B,8.315B,-19.88B,9.278B,7.79B,5.88B,-16.62B,6.52B,6.84B,6.196B,-17.12B,6.723B,6.664B,6.583B
Non-Operating Interest Expense,-1.577B,1.279B,991.00M,1.133B,-1.801B,1.155B,1.291B,1.282B,-2.035B,1.232B,1.174B,1.139B,-2.789B,961.00M,1.326B,1.736B,-1.066B,897.00M,713.00M,618.00M,-2.89B,1.325B,1.299B,2.141B,-6.799B,2.445B,2.60B,2.603B,-8.71B,2.972B,3.202B,3.347B,-10.64B,3.731B,3.77B,3.796B,-10.66B,3.822B,3.946B,4.023B,4.007B,4.322B,4.653B,5.327B,5.655B,6.955B,6.621B,6.527B,6.483B,6.07B,5.645B,5.578B,5.153B,5.03B,4.48B,4.348B,3.639B,3.715B,3.786B,3.671B,3.016B,2.974B,2.784B,2.843B,2.458B,2.723B,2.683B,2.596B,2.626B,2.773B,2.443B,2.374B,2.639B,2.64B,2.707B,3.076B,3.065B,2.859B,3.014B,2.782B,2.891B,2.455B,2.404B,2.263B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,2.797B,-1.279B,-991.00M,-1.133B,2.363B,-1.155B,-1.291B,-1.282B,2.393B,-1.232B,-1.174B,-1.139B,3.052B,-961.00M,-1.326B,-1.736B,1.066B,-897.00M,-713.00M,-618.00M,2.89B,-1.325B,-1.299B,-2.141B,6.799B,-2.445B,-2.60B,-2.603B,8.71B,-2.972B,-3.202B,-3.347B,10.64B,-3.731B,-3.77B,-3.796B,10.66B,-3.822B,-3.946B,-4.023B,-4.007B,-4.322B,-4.653B,-5.327B,-5.655B,-6.955B,-6.621B,-6.527B,-6.483B,-6.07B,-5.645B,-5.578B,-5.153B,-5.03B,-4.48B,-4.348B,-3.639B,-3.715B,-3.786B,-3.671B,-3.016B,-2.974B,-2.784B,-2.843B,-2.458B,-2.723B,-2.683B,-2.596B,-2.626B,-2.773B,-2.443B,-2.374B,-2.639B,-2.64B,-2.707B,-3.076B,-3.065B,-2.859B,-3.014B,-2.782B,-2.891B,-2.455B,-2.404B,-2.263B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-1.441B,-1.246B,-1.476B,231.00M,-565.00M,-22.54B,130.00M,-602.00M,-1.738B,-271.00M,-1.021B,-1.278B,518.00M,-922.00M,-1.079B,-901.00M,-2.398B,-968.00M,-944.00M,-904.00M,17.04B,-6.98B,-6.931B,-8.582B,24.52B,-9.352B,-9.225B,-9.429B,-10.99B,-9.627B,-9.066B,-8.51B,,,,,,,,,,,,,,,,,,-190.00M,-221.00M,-223.00M,-227.00M,-198.00M,-216.00M,-238.00M,-180.00M,-230.00M,-290.00M,-216.00M,-189.00M,-269.00M,-186.00M,-83.00M,-89.00M,-77.00M,-72.00M,-70.00M,-76.00M,-84.00M,-90.00M,-76.00M,-86.00M,-59.00M,-101.00M,-102.00M,-122.00M,-110.00M,-97.00M,-98.00M,-111.00M,-92.00M,-108.00M,-6.093B,-732.00M,158.00M,142.00M,167.00M,1.819B,185.00M,137.00M,159.00M,146.00M,160.00M,165.00M,167.00M,205.00M,190.00M,179.00M,178.00M,264.00M,190.00M,178.00M,161.00M,195.00M,189.00M,195.00M,156.00M,126.00M,313.00M,202.00M,158.00M,202.00M,288.00M,173.00M,194.00M,286.00M,160.00M,138.00M,168.00M,211.00M,156.00M,100.00M,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,2.797B,-1.279B,-991.00M,-1.133B,2.363B,-1.155B,-1.291B,-1.282B,2.393B,-1.232B,-1.174B,-1.139B,3.052B,-961.00M,-1.326B,-1.736B,1.066B,-897.00M,-713.00M,-618.00M,2.89B,-1.325B,-1.299B,-2.141B,6.799B,-2.445B,-2.60B,-2.603B,8.71B,-2.972B,-3.202B,-3.347B,10.64B,-3.731B,-3.77B,-3.796B,10.66B,-3.822B,-3.946B,-4.023B,-4.007B,-4.322B,-4.653B,-5.327B,-5.655B,-6.955B,-6.621B,-6.527B,-6.483B,-6.07B,-5.645B,-5.578B,-5.153B,-5.03B,-4.48B,-4.348B,-3.639B,-3.715B,-3.786B,-3.671B,-3.016B,-2.974B,-2.784B,-2.843B,-2.458B,-2.723B,-2.683B,-2.596B,-2.626B,-2.773B,-2.443B,-2.374B,-2.639B,-2.64B,-2.707B,-3.076B,-3.065B,-2.859B,-3.014B,-2.782B,-2.891B,-2.455B,-2.404B,-2.263B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,1.571B,-1.249B,-274.00M,1.275B,331.00M,-22.96B,1.236B,277.00M,-13.16B,746.00M,1.127B,-53.00M,894.00M,2.074B,3.824B,238.00M,1.903B,2.05B,2.612B,1.621B,1.288B,3.204B,3.076B,3.319B,-2.392B,3.62B,3.733B,4.139B,5.236B,4.024B,4.187B,3.934B,4.422B,3.767B,4.536B,7.434B,3.642B,3.583B,4.172B,2.807B,2.272B,1.975B,3.122B,2.626B,2.612B,5.172B,6.632B,5.354B,8.564B,5.751B,7.066B,6.16B,6.99B,5.624B,5.864B,5.174B,5.761B,5.704B,5.369B,4.344B,6.291B,5.122B,4.453B,4.431B,3.232B,5.12B,5.01B,4.249B,3.013B,5.264B,5.607B,5.007B,5.347B,4.404B,5.496B,4.454B,5.008B,4.53B,4.899B,4.009B,4.415B,3.818B,4.10B,3.244B,3.629B,3.399B,3.534B,2.915B,2.525B,2.864B,3.231B,2.559B,2.955B,2.698B,2.835B,2.318B,2.672B,2.393B,2.59B,2.082B,2.976B,1.938B,2.229B,1.518B,2.084B,1.91B,978.00M,1.603B,1.262B,1.63B,1.823B,1.558B,1.774B,1.525B,1.649B,1.488B,1.692B,1.472B,1.601B,1.382B,1.679B,1.381B,1.383B,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,727.00M,41.00M,-148.00M,222.00M,-367.00M,52.00M,504.00M,-50.00M,-2.115B,-551.00M,-38.00M,-105.00M,-1.435B,18.00M,461.00M,-177.00M,-742.00M,135.00M,799.00M,6.294B,-261.00M,401.00M,192.00M,619.00M,53.00M,348.00M,310.00M,508.00M,816.00M,557.00M,496.00M,665.00M,474.00M,437.00M,892.00M,3.942B,-585.00M,319.00M,866.00M,443.00M,-582.00M,-484.00M,227.00M,-309.00M,-1.332B,539.00M,1.054B,841.00M,821.00M,640.00M,1.453B,1.232B,1.064B,875.00M,1.063B,997.00M,935.00M,1.112B,993.00M,784.00M,878.00M,1.051B,702.00M,1.065B,495.00M,1.099B,1.216B,1.035B,-89.00M,1.177B,1.181B,1.489B,1.414B,1.123B,1.599B,1.437B,1.423B,1.35B,1.521B,1.417B,1.326B,1.165B,1.28B,1.089B,958.00M,1.115B,1.084B,1.024B,175.00M,850.00M,1.069B,882.00M,888.00M,910.00M,927.00M,801.00M,807.00M,783.00M,864.00M,710.00M,1.019B,570.00M,707.00M,450.00M,607.00M,704.00M,322.00M,518.00M,341.00M,520.00M,607.00M,500.00M,511.00M,483.00M,518.00M,489.00M,453.00M,446.00M,513.00M,432.00M,506.00M,436.00M,411.00M,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,844.00M,-1.29B,-126.00M,1.053B,697.00M,-23.01B,732.00M,328.00M,-11.05B,1.297B,1.164B,52.00M,2.33B,2.056B,3.363B,415.00M,2.645B,1.915B,1.813B,-4.673B,1.549B,2.803B,2.884B,2.70B,-2.445B,3.272B,3.423B,3.631B,4.42B,3.467B,3.691B,3.269B,3.948B,3.33B,3.644B,3.492B,4.227B,3.264B,3.306B,2.364B,2.854B,2.459B,2.895B,2.935B,3.944B,4.633B,5.578B,4.513B,7.743B,5.111B,5.613B,4.928B,5.926B,4.749B,4.801B,4.177B,4.826B,4.592B,4.376B,3.56B,5.413B,4.071B,3.751B,3.366B,2.737B,4.021B,3.794B,3.214B,3.102B,4.087B,4.426B,3.518B,3.933B,3.281B,3.897B,3.017B,3.585B,3.18B,3.378B,2.592B,3.089B,2.653B,2.82B,2.155B,2.671B,2.284B,2.45B,1.891B,2.35B,2.014B,2.162B,1.677B,2.067B,1.788B,1.908B,1.517B,1.865B,1.61B,1.726B,1.372B,1.957B,1.368B,1.522B,1.068B,1.477B,1.206B,656.00M,1.085B,921.00M,1.11B,1.216B,1.058B,1.263B,1.042B,1.131B,999.00M,1.239B,1.026B,1.088B,950.00M,1.173B,945.00M,972.00M,849.00M,1.011B,815.00M,835.00M,725.00M,353.00M,703.00M,720.00M,343.00M,730.00M,604.00M,612.00M,537.00M,660.00M,575.00M,590.00M,511.00M,652.00M,564.00M,579.00M,485.00M
Income from Discontinued Operations,-123.00M,-8.093B,231.00M,2.592B,163.00M,155.00M,-63.00M,-1.441B,178.00M,-106.00M,-146.00M,-239.00M,0.00,-105.00M,-541.00M,-308.00M,3.758B,629.00M,-2.947B,-8.936B,3.79B,706.00M,661.00M,252.00M,5.81B,-91.00M,-124.00M,-120.00M,-274.00M,41.00M,-553.00M,-197.00M,-135.00M,-65.00M,194.00M,35.00M,537.00M,-1.052B,-101.00M,-366.00M,257.00M,40.00M,-194.00M,-21.00M,-83.00M,-165.00M,-322.00M,-47.00M,-131.00M,448.00M,-231.00M,-357.00M,532.00M,117.00M,145.00M,263.00M,-1.395B,85.00M,271.00M,405.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,678.00M,75.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-372.00M,0.00,-215.00M,0.00,0.00,0.00,-1.015B,0.00,0.00,0.00,-444.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
