Excess Tax Benefit from Stock Compensation,,,,,,,,,,,,,-7.286M,-10.26M,-11.81M,,-1.839M,-7.826M,-7.535M,-8.858M,-11.63M,-24.07M,-36.34M,-27.42M,-5.601M,-28.36M,-10.20M,-11.67M,-17.61M,-27.31M,-5.464M,-16.65M,0.00,0.00,0.00,0.00,,,,,-42.08M,-12.18M,-17.19M,-4.688M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,0.088M,22.43M,6.919M,4.022M,-6.647M,4.078M,16.61M,1.535M,16.53M,2.682M,-3.369M,-3.48M,23.19M,25.05M,27.98M,7.095M,12.22M,-0.296M,-1.503M,28.76M,53.48M,34.04M,4.734M,17.38M,27.99M,19.72M,38.97M,17.25M,14.64M,-2.153M,13.77M,3.798M,71.50M,10.89M,1.707M,10.73M,294.95M,-76.89M,-130.32M,1.552M,-134.11M,-18.01M,36.85M,140.89M,271.51M,-1.544M,-0.022M,-119.37M,-62.42M,64.12M,31.22M,38.25M,42.14M,48.38M,90.77M,-33.19M,3.371M,-21.78M,26.30M,-6.459M,14.91M,-32.00M,8.305M,6.097M,6.75M,-22.06M,3.969M,-3.969M,-36.24M,-9.451M,58.41M,-13.92M,40.40M,-32.88M,-2.818M,-7.833M,-8.935M,,-5.059M,5.059M,-19.08M,,-17.00M,17.00M,-12.98M,,-20.10M,20.10M,-51.70M,-3.20M,28.20M,1.30M,-44.60M,-4.80M,-43.20M,17.50M,-79.70M,-2.60M,5.30M,-2.90M,30.90M,-52.50M,45.50M,7.10M,-41.50M,0.00,0.10M,,2.10M,2.40M,-5.00M,0.10M,56.60M,0.10M,-0.10M,0.10M,0.10M,-0.10M,-0.30M,0.20M
Change in Receivables,-85.94M,63.89M,239.25M,-309.00M,185.35M,-243.78M,-200.10M,-109.65M,-366.69M,-129.23M,75.10M,28.69M,-220.94M,10.71M,-154.97M,132.40M,193.10M,150.13M,-54.92M,353.10M,426.02M,-91.71M,-105.02M,-144.32M,190.13M,-48.94M,71.95M,-236.76M,-66.51M,-227.59M,205.37M,-89.95M,-210.82M,36.34M,-51.44M,-113.86M,-214.31M,-85.54M,56.50M,-95.77M,-166.92M,-29.92M,-7.905M,156.93M,315.11M,175.58M,-217.84M,-177.68M,-163.31M,57.55M,-2.201M,22.94M,-100.61M,-58.83M,34.20M,135.15M,-144.13M,-166.35M,-10.60M,5.518M,-97.63M,7.91M,-52.92M,-9.16M,-12.04M,28.52M,66.61M,-111.03M,-60.86M,10.62M,-18.83M,9.105M,7.416M,38.61M,44.38M,55.82M,-75.83M,-38.25M,-47.00M,-30.41M,-12.11M,-20.00M,-4.50M,23.70M,-7.90M,4.10M,1.20M,39.00M,1.80M,-26.30M,22.90M,50.50M,-100.10M,-4.10M,-20.90M,4.70M,-8.40M,-11.80M,-13.30M,16.00M,-31.90M,11.40M,19.60M,,-24.60M,4.70M,5.90M,-10.60M,-16.50M,-4.30M,-17.80M,25.90M,-30.80M,7.50M,17.10M,5.40M,-27.20M,-1.60M,-2.00M,18.20M
Change in Inventories,34.69M,66.86M,7.72M,-18.98M,-108.59M,-94.60M,-85.42M,-106.80M,-156.87M,-11.54M,-30.86M,24.74M,33.13M,41.75M,38.24M,57.58M,31.44M,-10.60M,99.78M,-62.17M,-42.79M,-9.41M,-40.81M,-68.95M,-7.745M,39.06M,37.14M,-15.06M,-1.996M,-51.19M,-113.78M,10.21M,-9.012M,-40.55M,-59.33M,-67.73M,-37.61M,-66.82M,-14.05M,-53.31M,-26.55M,-1.441M,0.745M,-22.90M,-46.70M,-36.18M,-12.46M,3.285M,5.406M,6.708M,6.368M,-8.844M,3.651M,-18.96M,-21.70M,-13.37M,-8.349M,-2.551M,-3.484M,-8.701M,-9.187M,-0.343M,-6.519M,-1.849M,-0.98M,-1.816M,-0.69M,0.646M,-0.825M,-1.045M,1.244M,0.569M,2.705M,-1.152M,-0.117M,-3.684M,-0.011M,0.904M,-0.41M,1.862M,1.68M,-0.90M,3.20M,1.20M,-4.50M,-0.20M,-0.50M,-2.30M,0.00,-2.60M,-1.30M,-7.40M,-1.30M,-3.60M,-2.10M,-2.00M,-0.10M,3.80M,0.60M,-0.30M,2.10M,-1.30M,-3.00M,,-4.50M,2.60M,-3.80M,1.20M,0.40M,0.20M,2.10M,1.00M,-0.50M,1.80M,-1.00M,-0.30M,0.30M,-0.30M,1.80M,0.20M
Change in Payables and Accrued Expense,-13.64M,42.17M,-128.95M,309.08M,-153.75M,22.12M,402.91M,75.60M,197.33M,25.35M,55.77M,-18.19M,105.95M,22.82M,177.13M,-287.17M,-164.76M,-297.12M,-259.75M,-675.77M,-183.05M,279.96M,-38.40M,501.61M,35.45M,52.21M,-28.88M,195.07M,-65.53M,-64.24M,-40.74M,231.46M,97.05M,63.06M,38.32M,245.24M,114.28M,238.45M,105.02M,143.84M,282.96M,65.09M,-77.24M,-333.46M,-254.48M,194.44M,98.57M,64.19M,185.52M,28.18M,-8.78M,23.43M,117.42M,109.82M,4.31M,-9.535M,169.17M,62.30M,43.29M,-26.35M,80.16M,15.04M,27.94M,13.58M,24.62M,25.68M,3.683M,20.67M,23.82M,5.494M,2.032M,-52.82M,-30.98M,28.56M,-19.63M,-4.897M,40.69M,51.06M,-14.66M,20.29M,25.70M,25.00M,-12.40M,-33.90M,-39.80M,12.00M,8.90M,-46.30M,16.80M,14.60M,-30.60M,-12.30M,44.10M,27.90M,33.60M,-18.10M,14.60M,18.00M,-9.40M,-20.70M,7.60M,-16.80M,-16.40M,,33.60M,-6.90M,17.30M,-10.40M,35.70M,19.20M,8.50M,-17.10M,-1.10M,10.80M,-17.90M,8.60M,-4.20M,29.30M,-3.10M,1.10M
Change in Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.487M,-7.487M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.84M,-24.84M,,,,,,-17.17M,-49.02M,24.22M,1.967M,-57.24M,-37.61M,-40.77M,29.30M,80.08M,6.978M,-45.60M,45.47M,5.385M,8.798M,-19.47M,21.72M,-39.84M,25.08M,1.655M,21.90M,-38.17M,-34.18M,5.656M,-10.70M,-23.67M,-78.09M,8.055M,51.67M,45.32M,7.556M,-1.372M,3.395M,23.41M,-33.70M,10.30M,-13.00M,35.40M,6.70M,-40.30M,-11.90M,23.50M,7.20M,-11.80M,3.70M,-2.30M,7.70M,-1.90M,-0.80M,43.30M,-43.00M,0.70M,2.50M,-21.00M,28.30M,-7.40M,,,,,,-16.30M,-13.50M,-5.30M,-8.00M,9.50M,-3.00M,-0.10M,-2.60M,6.20M,4.20M,0.20M,-5.30M
Change in Other Working Cap,-151.26M,-69.67M,562.66M,-155.41M,209.22M,120.66M,-123.36M,-19.93M,-384.95M,-66.44M,-47.84M,-159.25M,-117.48M,-9.01M,-100.64M,14.17M,-98.83M,453.42M,-90.24M,287.31M,61.47M,12.08M,-6.008M,-109.99M,-40.46M,22.49M,-5.797M,-157.55M,-15.74M,234.60M,110.46M,-337.57M,86.74M,81.82M,69.86M,-10.04M,-250.09M,63.73M,58.21M,-93.64M,95.60M,5.102M,16.64M,-16.64M,6.11M,62.30M,-51.34M,-18.72M,52.42M,-10.28M,5.099M,-50.67M,-74.98M,-38.31M,-9.309M,2.339M,-11.15M,11.72M,-36.64M,25.72M,-23.18M,5.138M,-19.92M,9.576M,-40.93M,10.92M,-15.76M,8.832M,62.76M,6.265M,-68.26M,42.34M,-50.50M,8.751M,6.169M,-14.97M,-35.52M,21.78M,-4.60M,4.60M,-22.44M,4.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Working Capital,-216.15M,103.25M,680.68M,-174.30M,132.23M,-195.59M,-5.967M,-160.78M,-711.18M,-181.87M,52.16M,-124.02M,-199.33M,66.27M,-40.25M,-83.02M,-39.05M,295.83M,-305.13M,-97.53M,261.66M,190.92M,-190.24M,178.36M,177.38M,64.82M,74.41M,-214.29M,-149.78M,-108.42M,161.30M,-185.85M,-36.04M,140.67M,-2.596M,53.62M,-387.74M,149.82M,205.68M,-98.88M,185.09M,71.16M,-100.08M,-216.07M,20.05M,396.14M,-183.08M,-128.93M,62.87M,33.13M,24.71M,-11.18M,-111.76M,-43.89M,-33.26M,143.88M,85.63M,-87.89M,-53.03M,41.66M,-44.45M,36.54M,-70.89M,33.87M,-69.17M,88.37M,55.50M,-58.98M,-13.28M,-12.84M,-78.16M,-11.51M,-95.03M,-3.321M,38.86M,83.94M,-25.35M,43.04M,-68.04M,-0.264M,16.23M,-25.00M,-3.40M,-22.00M,-16.80M,22.60M,-30.70M,-21.50M,42.10M,-7.10M,-20.80M,34.50M,-59.60M,27.90M,8.70M,-16.20M,49.40M,-33.00M,-21.40M,-2.50M,-43.20M,21.60M,-7.20M,,4.50M,0.40M,19.40M,-19.80M,3.30M,1.60M,-12.50M,1.80M,-22.90M,17.10M,-1.90M,11.10M,-24.90M,31.60M,-3.10M,14.20M
Cash from Operations,1.807B,2.062B,2.687B,1.608B,2.085B,2.190B,1.942B,1.552B,1.328B,961.36M,1.078B,898.05M,804.74M,759.58M,503.15M,291.59M,615.81M,1.131B,887.37M,960.55M,2.110B,2.336B,1.935B,2.268B,2.001B,2.012B,1.891B,1.425B,1.227B,1.436B,1.496B,1.078B,1.237B,1.272B,1.112B,957.49M,622.88M,784.39M,681.05M,620.29M,828.76M,816.46M,671.38M,605.84M,1.034B,1.537B,1.136B,927.08M,747.42M,724.26M,723.21M,698.48M,599.00M,603.12M,589.66M,786.77M,865.21M,518.81M,503.57M,481.84M,426.47M,373.42M,279.01M,365.45M,234.72M,361.24M,366.65M,286.56M,148.63M,188.94M,152.65M,121.44M,143.98M,232.65M,341.58M,479.21M,355.11M,284.71M,152.51M,175.08M,160.42M,127.70M,86.30M,69.10M,84.60M,125.10M,82.00M,111.90M,182.40M,105.70M,107.50M,135.30M,80.50M,100.30M,97.00M,87.30M,106.20M,59.60M,73.00M,96.60M,92.60M,113.80M,115.70M,103.80M,104.70M,180.50M,124.40M,70.10M,115.50M,71.80M,47.60M,71.50M,62.30M,59.00M,52.40M,68.20M,52.50M,67.70M,43.10M,76.30M
Net Change in Capital Expenditures,-1.368B,-1.491B,-1.563B,-2.000B,-1.302B,-1.649B,-1.684B,-1.441B,-1.057B,-1.094B,-1.027B,-946.56M,-740.90M,-653.76M,-614.94M,-573.19M,-842.80M,-1.357B,-1.268B,-1.546B,-2.007B,-2.113B,-2.225B,-1.903B,-1.705B,-1.922B,-1.737B,-1.696B,-1.551B,-1.740B,-2.014B,-2.050B,-1.783B,-1.705B,-1.775B,-1.688B,-1.617B,-1.560B,-1.279B,-1.125B,-994.51M,-923.06M,-697.84M,-887.60M,-1.342B,-1.512B,-1.193B,-1.148B,-1.037B,-893.39M,-880.55M,-867.94M,-866.02M,-763.28M,-600.88M,-589.05M,-501.05M,-461.37M,-398.59M,-363.76M,-475.01M,-378.04M,-323.09M,-240.54M,-680.71M,-239.78M,-184.83M,-140.21M,-219.84M,-189.27M,-179.32M,-172.44M,-219.98M,-334.11M,-250.48M,-169.44M,-179.82M,-243.21M,-101.12M,-78.49M,-101.55M,-115.20M,-88.20M,-91.50M,-110.20M,-309.50M,-153.20M,-117.50M,-177.80M,-151.30M,-160.90M,-136.20M,-219.20M,-142.70M,-107.10M,-70.30M,-99.60M,-139.40M,-112.10M,-93.90M,-88.40M,-168.40M,-96.80M,-88.50M,-118.30M,-95.40M,-78.00M,-91.40M,-168.40M,-92.90M,-53.40M,-47.70M,-41.50M,-69.70M,-46.50M,-54.00M,-87.20M,-61.90M,-93.20M,-66.60M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-260.11M,260.11M,-126.37M,84.43M,38.17M,3.766M,209.48M,1.687M,0.381M,0.447M,13.89M,15.26M,7.522M,346.89M,39.32M,5.984M,35.05M,2.939M,4.386M,1.102M,11.81M,2.741M,14.00M,25.41M,11.83M,19.75M,0.688M,3.009M,3.808M,5.954M,1.192M,2.611M,2.43M,7.32M,7.514M,-4.62M,2.848M,1.772M,8.032M,-5.317M,3.898M,1.419M,26.19M,,-20.62M,20.62M,10.93M,,-39.80M,39.80M,61.90M,,-3.30M,3.30M,37.50M,,-3.00M,3.00M,64.00M,,-4.90M,4.90M,1.30M,3.00M,71.20M,26.50M,8.30M,82.20M,,,41.80M,-0.50M,0.50M,,327.30M,21.10M,11.80M,,3.50M,17.70M,0.50M,1.10M,4.20M,33.60M,18.90M,
Net Change in PP&E,-1.368B,-1.491B,-1.563B,-2.000B,-1.302B,-1.649B,-1.684B,-1.441B,-1.057B,-1.094B,-1.027B,-946.56M,-740.90M,-653.76M,-614.94M,-573.19M,-842.80M,-1.357B,-1.268B,-1.546B,-2.007B,-2.113B,-2.225B,-1.903B,-1.705B,-1.922B,-1.737B,-1.696B,-1.551B,-1.740B,-2.014B,-2.050B,-1.783B,-1.705B,-2.035B,-1.428B,-1.744B,-1.476B,-1.241B,-1.121B,-785.03M,-921.38M,-697.46M,-887.15M,-1.329B,-1.497B,-1.186B,-800.73M,-997.87M,-887.40M,-845.50M,-865.00M,-861.64M,-762.18M,-589.07M,-586.31M,-487.05M,-435.96M,-386.76M,-344.01M,-474.33M,-375.03M,-319.28M,-234.59M,-679.52M,-237.17M,-182.40M,-132.89M,-212.33M,-193.89M,-176.47M,-170.67M,-211.95M,-339.43M,-246.58M,-168.02M,-153.63M,-243.21M,-121.74M,-57.87M,-90.62M,-115.20M,-128.00M,-51.70M,-48.30M,-309.50M,-156.50M,-114.20M,-140.30M,-151.30M,-163.90M,-133.20M,-155.20M,-142.70M,-112.00M,-65.40M,-98.30M,-136.40M,-40.90M,-67.40M,-80.10M,-86.20M,-96.80M,-88.50M,-76.50M,-95.90M,-77.50M,-91.40M,158.90M,-71.80M,-41.60M,-47.70M,-38.00M,-52.00M,-46.00M,-52.90M,-83.00M,-28.30M,-74.30M,-66.60M
Total Net Change in Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.32M,74.32M,,169.10M,-169.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.20M,7.20M,,,,,,,,,,,1.10M,-1.10M,,-3.60M,-0.40M,4.00M,-5.70M,1.10M,-2.40M,7.00M
Net Other Investing Changes,171.27M,34.39M,-69.73M,109.43M,10.26M,-139.48M,50.74M,-15.22M,-175.23M,57.66M,144.26M,110.14M,697.04M,271.27M,302.57M,4.439M,67.94M,-321.30M,204.89M,-258.62M,624.14M,94.20M,-64.14M,79.04M,153.72M,45.15M,10.39M,536.58M,109.96M,-83.37M,535.07M,674.20M,34.76M,293.49M,867.84M,-0.206M,676.27M,80.80M,124.43M,7.107M,21.84M,-146.76M,139.36M,-137.98M,13.58M,3.964M,-13.80M,-5.985M,134.66M,17.03M,-18.49M,6.786M,43.24M,50.09M,-32.55M,28.04M,-12.92M,24.65M,-2.996M,-33.06M,5.51M,28.88M,-9.262M,-18.81M,149.03M,-82.99M,-6.787M,-34.71M,54.35M,-20.35M,-26.54M,-70.24M,-72.34M,14.98M,-30.71M,-34.01M,-65.02M,5.397M,-6.801M,-24.29M,-27.25M,10.30M,73.00M,-33.90M,-100.10M,-21.40M,39.10M,-48.70M,-58.60M,-0.40M,-28.00M,-21.40M,-75.60M,8.30M,64.30M,-33.30M,-11.40M,15.60M,-28.30M,-24.20M,-89.60M,-19.30M,-8.20M,-26.10M,-66.60M,-3.00M,-38.00M,-63.70M,-319.80M,335.00M,-16.60M,2.50M,-44.90M,15.40M,-11.00M,-1.20M,-1.00M,-2.80M,-1.30M,4.10M
Cash from Investing,-1.197B,-1.456B,-1.633B,-1.891B,-1.292B,-1.789B,-1.633B,-1.456B,-1.232B,-1.036B,-882.67M,-836.43M,10.67M,-382.48M,-312.38M,-568.75M,-774.86M,-1.678B,-1.063B,-1.804B,-1.382B,-2.019B,-2.289B,-1.824B,-1.551B,-1.877B,-1.727B,-1.160B,-1.441B,-1.824B,-1.479B,-1.375B,-1.748B,-1.411B,-1.167B,-1.428B,-1.278B,-1.395B,-1.191B,-1.040B,-763.19M,-899.04M,-727.20M,-1.025B,-1.467B,-1.493B,-1.200B,-806.72M,-863.20M,-870.37M,-863.99M,-858.21M,-818.40M,-712.09M,-621.62M,-558.27M,-499.97M,-411.31M,-389.76M,-377.07M,-468.82M,-346.15M,-328.54M,-253.40M,-530.49M,-320.16M,-189.19M,-167.60M,-157.98M,-214.25M,-203.00M,-240.91M,-284.28M,-324.44M,-277.29M,-202.03M,-218.65M,-237.81M,-128.54M,-82.16M,-117.86M,-104.90M,-55.00M,-85.60M,-148.40M,-330.90M,-117.40M,-162.90M,-198.90M,-151.70M,-191.90M,-154.60M,-230.80M,-134.40M,-47.70M,-98.70M,-109.70M,-120.80M,-76.40M,-84.40M,-169.70M,-105.50M,-105.00M,-114.60M,-143.10M,-98.90M,-115.50M,-155.10M,-160.90M,263.20M,-57.10M,-46.30M,-82.90M,-40.20M,-57.40M,-50.10M,-89.70M,-30.00M,-78.00M,-55.50M
Net Change in Long Term Debt,-3.261M,-3.235M,-903.21M,-3.19M,-353.17M,-1.698M,-1.683M,-1.671M,-1.658M,-601.65M,-1.632M,-1.619M,-165.44M,-1.596M,-1.581M,329.81M,228.46M,28.15M,-501.53M,988.70M,-1.509M,-1.499M,-1.484M,-5.254M,-401.46M,-1.452M,-1.439M,-1.427M,-1.417M,1.233B,0.00,0.00,-220.00M,0.00,,,1.487B,0.00,954.40M,,-8.895M,8.741M,683.16M,208.10M,0.00,750.00M,-38.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
