Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03
Net Operating Interest Income,-40.70M,-39.62M,-49.91M,-54.91M,-56.02M,-63.63M,-63.44M,-61.96M,-63.36M,-69.08M,-70.41M,-71.52M,-71.32M,-70.86M,-71.11M,-68.39M,-62.99M,-60.57M,-60.48M,-53.34M,-49.74M,-49.70M,-51.87M,-50.15M,-52.51M,-59.38M,-61.65M,-61.92M,-59.35M,-53.15M,-50.78M,-50.27M,-56.59M,-52.19M,-51.25M,-50.33M,-41.37M,-32.89M,-29.90M,-25.43M,-27.31M,-30.41M,-24.81M,-18.38M,-18.34M,-12.10M,-9.029M,-12.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,209.92M,227.77M,184.59M,169.55M,237.25M,193.13M,201.06M,180.20M,202.45M,190.98M,204.32M,210.95M,202.87M,219.43M,186.77M,209.25M,234.17M,221.12M,238.36M,271.99M,291.72M,292.71M,279.21M,287.18M,259.73M,266.92M,285.49M,220.40M,210.46M,203.11M,183.48M,163.76M,481.42M,48.47M,41.24M,,,,,,,,,,,,,,-67.67M,-47.90M,-46.09M,1.205M,,,,,,,,,-3.919M,,,,40.28M,-26.00M,,-0.291M,,,,,,,,,,-0.035M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,1.772B,1.910B,2.012B,1.739B,1.894B,1.840B,1.920B,1.560B,1.487B,1.222B,1.234B,1.175B,1.043B,958.22M,858.00M,711.31M,892.53M,1.033B,1.113B,1.101B,1.437B,1.808B,1.619B,1.572B,1.418B,1.415B,1.483B,1.338B,1.313B,1.172B,1.072B,1.067B,-509.76M,1.454B,1.285B,1.130B,-320.85M,888.20M,799.36M,736.56M,682.93M,627.74M,531.89M,526.63M,479.74M,559.29M,535.26M,436.88M,338.88M,326.50M,322.92M,330.07M,-20.00M,312.50M,278.39M,267.64M,251.07M,250.83M,227.62M,223.62M,212.45M,189.78M,172.38M,174.80M,212.83M,132.18M,143.22M,153.88M,267.17M,138.72M,137.95M,131.21M,134.21M,142.96M,141.58M,148.94M,144.74M,132.84M,124.65M,118.84M,-18.90M,237.20M,127.60M,119.30M,149.47M,114.00M,101.60M,92.40M,105.20M,100.10M,82.80M,82.90M,99.90M,82.40M,84.50M,78.20M,80.50M,78.10M,70.80M,75.70M,80.20M,75.70M,77.80M,88.20M,87.30M,82.50M,80.10M,80.60M,71.40M,61.30M,60.30M,51.80M,60.90M,49.00M,51.10M,54.40M,61.10M,56.10M,50.10M,50.10M,,,,
Operating Income,971.92M,933.76M,1.235B,952.72M,1.229B,1.435B,1.023B,954.17M,694.57M,276.72M,215.76M,317.69M,88.42M,-123.69M,-199.91M,-575.67M,-157.93M,85.65M,113.71M,-105.17M,1.330B,1.781B,1.180B,1.186B,1.078B,847.50M,1.117B,722.39M,697.91M,601.25M,633.27M,625.45M,789.83M,675.80M,757.29M,361.78M,190.86M,341.21M,220.86M,289.50M,778.02M,104.71M,47.06M,346.88M,830.45M,2.424B,291.98M,413.29M,580.47M,366.87M,468.42M,361.08M,389.90M,484.37M,477.51M,651.20M,845.62M,522.16M,418.92M,332.27M,388.05M,274.50M,242.45M,189.08M,190.14M,193.31M,176.87M,238.08M,70.34M,61.70M,69.64M,-20.71M,-18.45M,123.95M,234.24M,354.02M,273.76M,203.69M,139.24M,80.21M,27.39M,-53.30M,15.60M,-9.546M,23.56M,19.10M,32.70M,38.20M,74.10M,48.80M,28.60M,41.20M,57.00M,46.30M,73.60M,31.90M,41.40M,38.00M,73.50M,42.80M,76.20M,18.70M,26.10M,33.00M,14.10M,26.80M,31.60M,29.50M,40.60M,24.40M,13.80M,20.90M,25.40M,6.10M,13.10M,19.10M,23.40M,-6.60M,3.50M,21.50M,-198.10M,64.40M,70.00M,69.90M
Non-Operating Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.33M,41.37M,32.89M,29.90M,25.43M,27.31M,30.41M,24.81M,18.38M,18.34M,12.10M,9.029M,12.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-40.70M,-39.62M,-49.91M,-54.91M,-56.02M,-63.63M,-63.44M,-61.96M,-63.36M,-69.08M,-70.41M,-71.52M,-71.32M,-70.86M,-71.11M,-68.39M,-62.99M,-60.57M,-60.48M,-53.34M,-49.74M,-49.70M,-51.87M,-50.15M,-52.51M,-59.38M,-61.65M,-61.92M,-59.35M,-53.15M,-50.78M,-50.27M,-56.59M,-52.19M,-51.25M,-50.33M,-41.37M,-32.89M,-29.90M,-25.43M,-27.31M,-30.41M,-24.81M,-18.38M,-18.34M,-12.10M,-9.029M,-12.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-100.02M,-96.68M,-95.62M,-70.58M,-84.96M,74.64M,-66.58M,-78.85M,-217.86M,-61.65M,-82.88M,-206.79M,-211.11M,-77.70M,-109.26M,-66.91M,-177.91M,-6.300B,-64.70M,-77.82M,-132.07M,-16.53M,-27.23M,-105.20M,-106.24M,-66.57M,-19.98M,100.55M,-1.084B,12.10M,63.75M,-55.05M,-491.61M,275.61M,-162.81M,-85.72M,-9.911M,-347.14M,-80.91M,-66.91M,-124.48M,-69.74M,-45.81M,-63.73M,-77.01M,-18.28M,-35.57M,-30.99M,-46.63M,-29.82M,33.55M,-43.36M,273.84M,-30.38M,67.57M,76.03M,-132.34M,11.62M,-40.54M,-18.88M,-151.84M,27.02M,-30.00M,-38.02M,-208.03M,27.92M,2.68M,-23.47M,-114.77M,-0.064M,0.097M,-3.103M,60.38M,1.272M,1.25M,-0.639M,5.25M,0.035M,0.763M,0.017M,-1.457M,554.50M,31.40M,26.90M,-2.20M,-1.60M,-0.10M,-1.00M,-4.00M,0.20M,1.00M,1.30M,-3.00M,-1.40M,,-0.50M,1.80M,-1.00M,0.50M,-0.60M,-46.10M,33.80M,12.30M,8.30M,4.90M,12.70M,0.60M,1.80M,-1.60M,-0.20M,5.00M,-0.60M,0.90M,11.70M,-2.00M,0.70M,-1.10M,19.30M,11.60M,-0.30M,,,,
Net Interest Income,-40.70M,-39.62M,-49.91M,-54.91M,-56.02M,-63.63M,-63.44M,-61.96M,-63.36M,-69.08M,-70.41M,-71.52M,-71.32M,-70.86M,-71.11M,-68.39M,-62.99M,-60.57M,-60.48M,-53.34M,-49.74M,-49.70M,-51.87M,-50.15M,-52.51M,-59.38M,-61.65M,-61.92M,-59.35M,-53.15M,-50.78M,-50.27M,-56.59M,-52.19M,-51.25M,-50.33M,-41.37M,-32.89M,-29.90M,-25.43M,-27.31M,-30.41M,-24.81M,-18.38M,-18.34M,-12.10M,-9.029M,-12.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,831.21M,797.46M,1.089B,827.24M,1.088B,1.446B,892.94M,813.36M,413.35M,145.98M,62.47M,39.38M,-194.01M,-272.25M,-380.28M,-710.97M,-398.83M,-6.275B,-11.48M,-236.33M,1.149B,1.715B,1.101B,1.031B,919.08M,721.56M,1.035B,761.02M,-445.82M,560.19M,646.24M,520.13M,241.63M,899.22M,543.22M,225.72M,139.57M,-38.81M,110.06M,197.16M,626.24M,4.557M,-23.56M,264.78M,735.09M,2.394B,247.38M,370.11M,511.08M,318.60M,465.87M,335.32M,352.52M,466.00M,464.29M,629.83M,748.22M,518.44M,386.88M,311.60M,298.90M,262.34M,212.74M,152.02M,97.57M,179.60M,165.74M,210.96M,57.11M,42.87M,55.56M,-35.86M,-48.49M,114.98M,224.86M,340.10M,209.64M,188.94M,124.42M,65.66M,10.11M,484.30M,32.20M,3.10M,5.982M,3.90M,22.20M,28.20M,61.10M,41.00M,24.10M,37.30M,49.90M,43.40M,70.40M,27.30M,39.90M,33.40M,71.30M,39.50M,27.80M,50.50M,36.60M,39.10M,16.50M,37.20M,29.60M,28.90M,35.50M,18.60M,11.70M,14.10M,19.60M,11.20M,3.60M,11.20M,13.20M,3.10M,6.00M,12.30M,,,,
Provision for Income Taxes,194.69M,182.34M,241.52M,191.81M,195.57M,255.41M,196.20M,174.77M,-2.017B,45.44M,39.41M,10.86M,-51.66M,-82.25M,-87.72M,-239.19M,-114.53M,-2.199B,-16.75M,-66.58M,704.00M,611.50M,394.46M,369.86M,338.89M,259.06M,375.54M,266.29M,59.18M,204.70M,250.46M,196.12M,120.93M,358.34M,247.65M,91.75M,85.90M,32.09M,50.19M,79.14M,225.81M,0.361M,-6.85M,106.06M,273.62M,837.67M,69.18M,129.16M,149.88M,114.60M,158.82M,117.65M,109.90M,166.86M,132.88M,203.12M,284.56M,174.68M,137.42M,108.90M,92.14M,90.03M,67.81M,51.17M,23.06M,62.18M,56.95M,74.41M,12.69M,13.98M,17.45M,-11.62M,-23.70M,43.01M,88.66M,124.85M,93.09M,72.47M,46.90M,24.17M,-20.38M,-28.60M,11.60M,-2.00M,-3.989M,-2.00M,8.90M,1.20M,17.90M,9.80M,-0.50M,14.20M,14.80M,12.00M,22.80M,1.40M,8.50M,0.40M,23.20M,9.90M,-14.80M,9.50M,2.40M,8.80M,-22.00M,1.40M,-3.90M,-1.30M,-4.60M,-2.00M,-2.90M,-8.20M,-2.70M,-2.20M,-3.70M,-0.70M,-7.00M,-5.40M,0.40M,1.10M,,,,
Income from Continuing Operations,636.52M,615.12M,847.84M,635.43M,892.77M,1.191B,696.73M,638.59M,2.430B,100.54M,23.05M,28.52M,-142.35M,-190.00M,-292.56M,-471.78M,-284.30M,-4.076B,5.268M,-169.75M,444.59M,1.104B,706.35M,660.93M,580.19M,462.50M,659.69M,494.72M,-505.00M,355.49M,395.78M,324.01M,120.70M,540.88M,295.57M,133.97M,53.67M,-70.91M,59.87M,118.02M,400.43M,4.196M,-16.71M,158.71M,461.47M,1.556B,178.21M,240.96M,361.20M,204.00M,307.05M,217.67M,242.62M,299.14M,331.42M,426.71M,463.66M,343.76M,249.46M,202.70M,206.76M,172.31M,144.94M,100.85M,74.51M,117.42M,108.79M,136.56M,44.42M,28.89M,38.11M,-24.24M,-24.80M,71.96M,136.20M,215.25M,161.45M,116.48M,77.52M,41.49M,30.49M,512.90M,20.60M,5.10M,9.971M,5.90M,13.30M,27.00M,43.20M,31.20M,24.60M,23.10M,35.10M,31.40M,47.60M,25.90M,31.40M,33.00M,48.10M,29.60M,42.60M,41.00M,34.20M,30.30M,38.50M,35.80M,33.50M,30.20M,40.10M,20.60M,14.60M,22.30M,22.30M,13.40M,7.30M,11.90M,20.20M,8.50M,5.60M,11.20M,2.10M,-3.30M,-2.50M,-2.40M
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-7.131M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.443M,3.161M,1.637M,0.99M,0.875M,5.421M,1.858M,1.858M,1.858M,1.859M,1.857M,1.858M,1.858M,2.618M,2.758M,2.758M,2.758M,2.758M,2.758M,2.758M,2.758M,2.758M,2.758M,2.758M,2.758M,2.757M,2.759M,2.757M,2.721M,2.759M,2.755M,2.86M,2.654M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,636.52M,615.12M,847.84M,635.43M,892.77M,1.191B,696.73M,638.59M,2.430B,100.54M,23.05M,28.52M,-142.35M,-190.00M,-292.56M,-471.78M,-284.30M,-4.076B,5.268M,-169.75M,444.59M,1.104B,706.35M,660.93M,580.19M,462.50M,659.69M,494.72M,-505.00M,355.49M,395.78M,324.01M,120.70M,540.88M,295.57M,133.97M,53.67M,-70.91M,59.87M,118.02M,400.43M,4.196M,-16.71M,158.71M,461.47M,1.556B,178.21M,240.96M,361.20M,204.00M,307.05M,217.67M,242.62M,299.14M,331.42M,426.71M,463.66M,343.76M,249.46M,202.70M,206.76M,172.31M,144.94M,100.85M,74.51M,117.42M,108.79M,129.42M,44.42M,28.89M,38.11M,-24.24M,-24.80M,71.96M,136.20M,215.25M,161.45M,116.48M,77.52M,41.49M,30.49M,512.90M,20.60M,5.10M,9.971M,5.90M,13.30M,27.00M,43.20M,31.20M,24.60M,23.10M,35.10M,31.40M,47.60M,25.90M,31.40M,33.00M,48.10M,29.60M,42.60M,41.00M,34.20M,30.30M,38.50M,35.80M,33.50M,30.20M,40.10M,20.60M,14.60M,22.30M,22.30M,13.40M,7.30M,11.90M,20.20M,8.50M,5.60M,11.20M,2.10M,-3.30M,-2.50M,-2.40M
Normalized Income,719.36M,696.59M,929.06M,694.09M,979.87M,1.132B,741.99M,701.46M,2.562B,143.24M,75.76M,179.68M,-0.0719M,-141.15M,-224.59M,-430.55M,-161.81M,21.88M,49.72M,-120.91M,512.02M,1.101B,728.87M,726.12M,641.75M,512.25M,675.57M,422.78M,194.38M,352.66M,359.74M,364.73M,132.35M,375.10M,401.40M,189.69M,69.37M,154.73M,112.46M,158.16M,480.02M,68.41M,15.78M,196.95M,509.82M,1.568B,203.83M,261.13M,394.15M,223.10M,284.94M,245.82M,54.15M,318.64M,283.19M,375.19M,545.67M,336.05M,275.59M,214.98M,311.79M,154.56M,165.37M,126.08M,233.37M,99.17M,107.03M,151.75M,133.68M,28.93M,38.04M,-22.14M,-61.03M,71.17M,135.45M,215.65M,158.30M,116.46M,77.04M,41.48M,31.37M,180.20M,0.5118M,-11.04M,11.29M,6.86M,13.36M,27.96M,46.03M,31.05M,24.00M,22.29M,37.21M,32.41M,47.60M,26.37M,29.98M,33.99M,47.76M,30.05M,70.26M,13.56M,22.71M,23.87M,35.56M,23.58M,33.14M,29.12M,41.06M,20.72M,11.60M,22.66M,21.76M,6.38M,8.50M,11.48M,20.86M,-3.08M,-5.227M,11.47M,,,,
