Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12
Land and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.22B,18.93B,17.86B,16.98B,16.96B,15.89B,14.79B,13.89B,13.19B,12.45B,11.74B,11.17B,10.72B,10.19B,9.934B,9.599B,9.070B,,8.385B,8.189B,7.496B,7.270B,7.021B,6.750B,6.584B,6.438B,,6.066B,5.851B,5.530B,5.251B,5.123B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,4.472B,4.394B,4.329B,4.278B,4.221B,4.192B,4.141B,4.083B,3.961B,3.934B,3.884B,3.978B,4.009B,4.014B,4.001B,4.004B,3.987B,3.891B,3.840B,3.849B,3.751B,3.572B,3.374B,3.128B,2.967B,2.954B,2.847B,2.770B,2.741B,2.609B,2.376B,,2.150B,,,,,,,,,,,,,901.21M,776.86M,668.21M,581.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,67.30B,66.01B,64.54B,62.97B,61.55B,60.99B,59.46B,57.94B,56.52B,55.65B,54.86B,54.17B,53.60B,54.48B,55.36B,55.16B,54.60B,53.92B,52.78B,51.58B,50.25B,51.48B,49.65B,47.45B,45.79B,44.84B,43.11B,41.84B,40.87B,39.63B,37.94B,37.37B,35.81B,34.19B,33.46B,32.39B,31.00B,29.81B,28.14B,27.14B,25.96B,24.78B,23.46B,22.55B,21.86B,21.12B,19.71B,18.53B,17.56B,16.96B,15.89B,14.79B,13.89B,13.19B,12.45B,11.74B,11.17B,10.72B,10.19B,9.934B,9.599B,9.070B,8.616B,8.385B,8.189B,7.496B,7.270B,7.021B,6.750B,6.584B,6.438B,6.224B,6.066B,5.851B,5.530B,5.251B,5.123B,4.943B,4.710B,4.626B,4.603B,4.783B,4.965B,4.903B,4.814B,4.763B,4.488B,4.375B,4.291B,4.157B,4.017B,3.880B,3.753B,3.565B,3.430B,3.391B,3.381B,3.267B,3.200B,3.182B,3.015B,2.912B,2.871B,2.783B,2.772B,2.623B,2.628B,2.560B,2.475B,2.334B,2.276B,1.331B,2.229B,2.168B,2.211B,2.109B,2.066B,2.013B,2.00B,1.941B,1.893B
Accumulated D&A,-36.94B,-35.81B,-34.82B,-33.84B,-33.48B,-33.04B,-32.31B,-31.56B,-30.85B,-29.93B,-29.28B,-28.57B,-27.89B,-31.84B,-32.14B,-31.36B,-30.39B,-29.64B,-22.80B,-21.86B,-21.08B,-22.27B,-21.45B,-20.45B,-19.64B,-19.24B,-18.53B,-17.91B,-17.53B,-15.94B,-15.25B,-15.24B,-14.53B,-13.45B,-13.46B,-12.75B,-12.32B,-11.56B,-10.71B,-10.33B,-9.825B,-9.524B,-9.019B,-8.540B,-8.204B,-7.985B,-7.718B,-7.389B,-7.134B,-6.921B,-6.551B,-6.213B,-5.950B,-5.735B,-5.513B,-5.270B,-5.086B,-4.939B,-4.739B,-4.647B,-4.498B,-4.312B,-4.149B,-4.049B,-3.940B,-3.792B,-3.675B,-3.539B,-3.429B,-3.301B,-3.211B,-3.099B,-3.010B,-2.890B,-2.785B,-2.682B,-2.598B,-2.499B,-2.418B,-2.331B,-2.268B,-2.459B,-2.298B,-2.222B,-2.138B,-2.098B,-2.028B,-1.973B,-1.904B,-1.851B,-1.780B,-1.715B,-1.654B,-1.607B,-1.548B,-1.509B,-1.499B,-1.424B,-1.425B,-1.454B,-1.331B,-1.274B,-1.298B,-1.226B,-1.226B,-1.118B,-1.118B,-1.063B,-1.007B,-975.50M,-935.70M,-0.90M,-889.00M,-843.20M,-892.40M,-798.70M,-760.90M,-723.10M,-702.90M,-677.40M,-643.70M
Net PP&E,30.36B,30.20B,29.72B,29.13B,28.08B,27.95B,27.15B,26.38B,25.67B,25.72B,25.58B,25.61B,25.71B,22.64B,23.21B,23.80B,24.21B,24.28B,29.98B,29.72B,29.17B,29.22B,28.20B,27.00B,26.15B,25.60B,24.58B,23.94B,23.34B,23.69B,22.69B,22.13B,21.29B,20.74B,20.00B,19.64B,18.68B,18.25B,17.42B,16.82B,16.14B,15.25B,14.45B,14.01B,13.66B,13.13B,11.99B,11.14B,10.43B,10.03B,9.340B,8.581B,7.944B,7.454B,6.934B,6.473B,6.087B,5.780B,5.455B,5.287B,5.102B,4.758B,4.467B,4.336B,4.249B,3.704B,3.595B,3.482B,3.322B,3.283B,3.227B,3.125B,3.056B,2.961B,2.745B,2.570B,2.525B,2.443B,2.292B,2.295B,2.335B,2.324B,2.667B,2.681B,2.676B,2.665B,2.460B,2.402B,2.387B,2.306B,2.237B,2.165B,2.100B,1.959B,1.882B,1.882B,1.881B,1.843B,1.776B,1.728B,1.685B,1.638B,1.574B,1.557B,1.546B,1.504B,1.509B,1.497B,1.468B,1.358B,1.340B,1.330B,1.340B,1.325B,1.318B,1.310B,1.305B,1.29B,1.297B,1.264B,1.250B
Long Term Deferred Assets,2.363M,1.998M,1.489M,1.224M,0.777M,16.88M,17.07M,18.18M,17.51M,17.41M,16.89M,16.23M,16.14M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,1.484B,1.516B,1.530B,1.625B,800.79M,856.02M,689.67M,761.59M,871.43M,299.35M,283.20M,195.21M,190.77M,172.77M,167.54M,171.18M,167.50M,176.96M,171.20M,177.36M,174.02M,399.33M,382.26M,320.38M,353.39M,356.11M,255.92M,213.62M,409.01M,345.88M,360.80M,379.66M,296.04M,323.12M,324.61M,306.47M,415.89M,160.60M,125.22M,146.28M,139.90M,137.05M,136.80M,167.44M,185.47M,223.84M,147.95M,115.76M,367.61M,123.28M,120.64M,117.91M,108.03M,127.84M,109.43M,105.81M,102.90M,102.13M,106.12M,97.75M,110.52M,108.88M,109.52M,114.90M,104.08M,164.29M,92.70M,93.43M,97.67M,96.82M,86.32M,88.22M,85.71M,88.94M,81.61M,83.82M,81.38M,97.98M,94.08M,84.18M,75.40M,70.60M,69.90M,81.20M,95.30M,60.90M,58.10M,53.10M,54.20M,28.50M,28.70M,31.50M,32.90M,34.80M,40.70M,44.90M,48.10M,75.30M,72.70M,75.60M,20.70M,10.80M,13.90M,17.40M,15.80M,17.80M,18.20M,17.70M,16.00M,17.70M,18.00M,11.20M,6.20M,6.60M,7.70M,2.70M,1.80M,1.70M,1.50M,2.20M,3.80M
Total Long Term Assets,31.85B,31.72B,31.26B,30.76B,28.88B,28.82B,27.86B,27.16B,26.55B,26.04B,25.88B,25.82B,25.91B,22.82B,23.38B,23.97B,24.38B,24.45B,30.15B,29.90B,29.35B,29.62B,28.58B,27.32B,26.50B,25.96B,24.84B,24.15B,23.75B,24.03B,23.05B,22.51B,21.58B,21.06B,20.32B,19.95B,19.10B,18.41B,17.55B,16.96B,16.28B,15.39B,14.58B,14.17B,13.84B,13.36B,12.14B,11.26B,10.80B,10.16B,9.460B,8.699B,8.052B,7.582B,7.043B,6.579B,6.190B,5.883B,5.561B,5.385B,5.212B,4.867B,4.577B,4.451B,4.353B,3.868B,3.688B,3.575B,3.419B,3.380B,3.314B,3.213B,3.142B,3.050B,2.826B,2.653B,2.606B,2.541B,2.386B,2.379B,2.410B,2.395B,2.737B,2.762B,2.772B,2.726B,2.518B,2.455B,2.441B,2.335B,2.266B,2.196B,2.132B,1.994B,1.922B,1.926B,1.930B,1.918B,1.848B,1.803B,1.706B,1.649B,1.588B,1.574B,1.562B,1.522B,1.527B,1.515B,1.484B,1.376B,1.358B,1.341B,1.346B,1.332B,1.326B,1.313B,1.307B,1.292B,1.299B,1.266B,1.254B
Total Assets,37.12B,36.54B,35.75B,35.66B,33.93B,33.64B,32.09B,30.74B,29.83B,28.81B,29.26B,29.21B,29.30B,25.55B,25.83B,26.34B,26.97B,27.28B,33.88B,34.69B,34.76B,34.50B,33.30B,32.14B,30.57B,30.15B,29.08B,28.23B,27.34B,28.03B,26.00B,25.56B,24.84B,24.79B,23.96B,23.55B,21.62B,19.94B,19.47B,18.51B,18.12B,17.22B,16.79B,15.98B,15.95B,15.83B,14.22B,12.95B,12.09B,11.47B,10.52B,9.827B,9.402B,9.165B,8.642B,8.243B,7.753B,7.027B,6.428B,6.117B,5.799B,5.425B,5.127B,4.955B,4.749B,4.426B,4.240B,4.071B,3.814B,3.693B,3.590B,3.480B,3.414B,3.386B,3.211B,3.012B,3.001B,2.872B,2.652B,2.616B,2.611B,2.597B,2.962B,2.990B,3.018B,2.962B,2.763B,2.739B,2.723B,2.612B,2.536B,2.470B,2.458B,2.225B,2.190B,2.156B,2.147B,2.11B,2.047B,1.991B,1.862B,1.856B,1.804B,1.772B,1.811B,1.760B,1.699B,1.679B,1.731B,1.658B,1.466B,1.438B,1.456B,1.414B,1.416B,1.428B,1.418B,1.405B,1.387B,1.368B,1.366B
Accounts Payable,2.429B,2.395B,2.387B,2.452B,2.240B,2.436B,2.337B,1.916B,1.847B,1.636B,1.615B,1.557B,1.512B,1.296B,1.306B,1.182B,1.472B,1.562B,1.864B,2.182B,2.861B,2.775B,2.661B,2.647B,2.254B,2.248B,2.202B,2.258B,2.079B,2.151B,2.236B,2.290B,2.034B,1.926B,1.870B,1.839B,1.665B,1.541B,1.256B,1.134B,979.14M,783.76M,720.05M,774.43M,1.122B,1.341B,1.380B,1.209B,1.152B,964.52M,925.83M,924.64M,896.57M,794.59M,680.58M,673.91M,679.55M,508.82M,439.53M,400.80M,424.58M,339.30M,319.54M,296.46M,282.38M,252.21M,226.41M,222.76M,201.93M,176.86M,167.92M,166.96M,219.56M,257.68M,227.04M,241.40M,246.47M,216.77M,167.04M,187.44M,172.80M,153.00M,160.70M,176.20M,206.30M,213.80M,202.90M,205.50M,235.70M,196.80M,192.20M,228.90M,277.60M,177.10M,149.20M,115.50M,133.70M,119.00M,110.40M,110.30M,131.20M,8.80M,140.30M,140.10M,156.80M,133.60M,131.70M,117.80M,130.60M,94.80M,75.70M,68.30M,84.30M,85.40M,71.40M,94.00M,84.30M,88.80M,52.70M,62.20M,61.20M
Dividends Payable,166.27M,166.22M,166.00M,126.98M,126.97M,126.83M,106.57M,106.52M,96.41M,96.35M,96.14M,96.16M,96.12M,91.84M,91.68M,91.57M,91.55M,91.38M,91.50M,91.28M,91.59M,91.09M,67.86M,67.77M,50.80M,50.75M,50.61M,50.51M,45.80M,45.65M,45.44M,45.33M,42.58M,43.02M,42.98M,40.25M,38.96M,38.95M,38.85M,38.76M,36.29M,36.26M,35.98M,35.94M,33.46M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax Payable,254.85M,302.77M,268.84M,239.52M,214.73M,249.23M,213.46M,179.65M,148.87M,180.28M,155.46M,143.71M,118.41M,143.26M,138.40M,93.08M,93.62M,174.90M,164.37M,121.73M,140.10M,257.95M,228.57M,270.91M,159.36M,200.48M,161.61M,155.14M,162.08M,168.69M,142.22M,123.39M,147.10M,157.30M,148.64M,,,,90.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,2.850B,2.864B,2.822B,2.819B,2.582B,2.812B,2.657B,2.202B,2.092B,1.912B,1.867B,1.797B,1.726B,1.531B,1.536B,1.367B,1.657B,1.828B,2.120B,2.395B,3.092B,3.124B,2.958B,2.986B,2.465B,2.499B,2.414B,2.464B,2.287B,2.365B,2.423B,2.459B,2.223B,2.127B,2.062B,1.879B,1.704B,1.580B,1.385B,1.173B,1.015B,820.02M,756.04M,810.38M,1.156B,1.341B,1.380B,1.209B,1.152B,964.52M,925.83M,924.64M,896.57M,794.59M,680.58M,673.91M,679.55M,508.82M,439.53M,400.80M,424.58M,339.30M,319.54M,296.46M,282.38M,252.21M,226.41M,222.76M,201.93M,176.86M,167.92M,166.96M,219.56M,257.68M,227.04M,241.40M,246.47M,216.77M,167.04M,187.44M,172.80M,153.00M,160.70M,176.20M,206.30M,213.80M,202.90M,205.50M,235.70M,196.80M,192.20M,228.90M,277.60M,177.10M,149.20M,115.50M,133.70M,119.00M,110.40M,110.30M,131.20M,8.80M,140.30M,140.10M,156.80M,133.60M,131.70M,117.80M,130.60M,94.80M,75.70M,68.30M,84.30M,85.40M,71.40M,94.00M,84.30M,88.80M,52.70M,62.20M,61.20M
Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.90M,82.17M,114.76M,,90.18M,92.86M,86.33M,78.47M,78.87M,86.26M,136.25M,137.59M,105.14M,104.65M,102.52M,101.37M,80.19M,130.98M,143.90M,131.15M,169.36M,140.90M,97.61M,,90.91M,51.12M,59.17M,50.16M,51.30M,,38.72M,29.78M,35.14M,34.27M,33.37M,31.70M,,56.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,2.850B,2.864B,2.822B,2.819B,2.582B,2.812B,2.657B,2.202B,2.092B,1.912B,1.867B,1.797B,1.726B,1.531B,1.536B,1.367B,1.657B,1.828B,2.120B,2.395B,3.092B,3.124B,2.958B,2.986B,2.465B,2.499B,2.414B,2.464B,2.287B,2.365B,2.423B,2.459B,2.223B,2.127B,2.062B,2.016B,1.786B,1.695B,1.385B,1.263B,1.108B,906.35M,834.51M,889.24M,1.242B,1.477B,1.517B,1.314B,1.257B,1.067B,1.027B,1.005B,1.028B,938.48M,811.72M,843.27M,820.45M,606.43M,439.53M,491.71M,475.70M,398.47M,369.70M,347.76M,282.38M,290.93M,256.19M,257.90M,236.20M,210.22M,199.62M,166.96M,276.12M,257.68M,227.04M,241.40M,246.47M,216.77M,167.04M,187.44M,172.80M,153.00M,160.70M,176.20M,206.30M,213.80M,202.90M,205.50M,235.70M,196.80M,192.20M,228.90M,277.60M,177.10M,149.20M,115.50M,133.70M,119.00M,110.40M,110.30M,131.20M,8.80M,140.30M,140.10M,156.80M,133.60M,131.70M,117.80M,130.60M,94.80M,75.70M,68.30M,84.30M,85.40M,71.40M,94.00M,84.30M,88.80M,52.70M,62.20M,61.20M
Other Current Borrowings,1.015B,1.014B,1.014B,914.86M,913.09M,1.263B,1.263B,363.16M,356.24M,6.579M,606.45M,6.579M,6.579M,,6.579M,,6.579M,,,,,6.579M,6.579M,6.579M,6.579M,406.58M,406.58M,406.58M,406.58M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.015B,1.014B,1.014B,914.86M,913.09M,1.263B,1.263B,363.16M,356.24M,6.579M,606.45M,6.579M,6.579M,6.579M,6.579M,6.579M,6.579M,36.28M,6.579M,506.58M,6.579M,6.579M,6.579M,6.579M,6.579M,406.58M,406.58M,406.58M,406.58M,,,,,220.00M,220.00M,220.00M,220.00M,,,37.00M,37.00M,37.00M,37.00M,,37.00M,37.00M,,,,98.44M,,,,124.08M,124.08M,124.08M,126.08M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80M,1.80M,1.70M,,,,30.00M,,,,,,,,,,,,,,,,
Current Capital Lease Obligation,369.36M,384.35M,396.55M,396.29M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
