Deferred Taxes,-449.20M,255.50M,160.90M,-58.80M,-302.60M,78.20M,246.00M,23.60M,-160.30M,485.30M,455.20M,91.80M,-310.30M,-442.30M,387.80M,295.80M,-19.90M,223.50M,348.70M,203.50M,222.00M,103.00M,257.00M,245.00M,-97.20M,338.00M,240.00M,195.00M,-156.00M,288.00M,273.00M,212.00M,15.00M,239.00M,195.00M,330.00M,384.00M,192.00M,91.00M,121.00M,582.00M,302.00M,143.00M,217.00M,-35.00M,181.00M,305.00M,47.00M,32.00M,68.00M,-29.00M,5.00M,112.00M,-98.00M,3.00M,7.00M,98.00M,42.00M,-56.00M,-19.00M,203.00M,-4.00M,43.00M,49.00M,-51.00M,172.00M,20.00M,22.00M,144.00M,25.00M,-43.00M,-63.00M,32.00M,112.00M,-40.00M,59.00M,-210.00M,21.00M,42.00M,-23.00M,81.00M,58.00M,11.00M,30.00M,7.00M,20.00M,6.00M,8.00M,29.10M,-18.30M,-9.10M,-8.20M,-7.40M,-5.10M,-0.50M,-8.50M,9.20M,0.20M,7.90M,-5.40M,1.10M,-9.90M,-4.00M,0.60M
Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.00M,36.00M,72.00M,,-113.00M,44.00M,92.00M,-23.00M,,,,,,,-22.00M,22.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Impairment Charge,147.90M,57.00M,4.20M,32.50M,49.70M,198.30M,73.50M,-61.20M,90.50M,60.30M,1.40M,19.30M,-34.10M,2.242B,-16.40M,10.60M,44.50M,71.80M,18.10M,3.40M,41.50M,28.00M,32.00M,-137.00M,-47.60M,186.00M,154.00M,-4.00M,311.00M,55.00M,-21.00M,112.00M,24.00M,90.00M,,,-253.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.00M,23.00M,61.00M,,108.00M,-112.00M,73.00M,-69.00M,,,,,,,26.00M,-26.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-46.10M,-37.90M,-36.10M,-14.20M,-25.10M,-14.00M,-13.00M,-12.70M,-13.90M,-1.50M,-4.10M,9.00M,-47.80M,15.80M,7.40M,-0.50M,13.40M,1.70M,-36.80M,-44.70M,-47.60M,-41.00M,-77.00M,-84.00M,-89.30M,-82.00M,-78.00M,-68.00M,-77.00M,-56.00M,-35.00M,-43.00M,-622.00M,-197.00M,-150.00M,-157.00M,64.00M,2.00M,-433.00M,220.00M,-120.00M,-227.00M,-139.00M,-70.00M,432.00M,-49.00M,-277.00M,-274.00M,-84.00M,-51.00M,327.00M,-113.00M,-49.00M,250.00M,-48.00M,5.00M,297.00M,-342.00M,125.00M,-105.00M,275.00M,-177.00M,-43.00M,41.00M,-92.00M,24.00M,-107.00M,,,,,,133.00M,-120.00M,-89.00M,,675.00M,-52.00M,82.00M,-82.00M,-381.00M,134.00M,117.00M,-117.00M,-892.00M,-132.00M,363.00M,116.00M,2.40M,210.00M,243.30M,191.70M,28.80M,249.90M,225.30M,183.10M,41.00M,223.00M,198.00M,183.80M,-64.90M,285.00M,172.30M,115.60M
Change in Receivables,122.80M,-40.50M,108.00M,57.50M,198.20M,157.60M,-249.60M,39.70M,-172.80M,-69.20M,34.70M,235.80M,14.20M,-74.80M,-155.20M,-10.80M,217.70M,16.50M,-31.70M,-2.30M,-41.30M,54.00M,10.00M,-83.00M,18.90M,57.00M,-49.00M,-4.00M,-12.00M,-97.00M,-114.00M,207.00M,56.00M,-2.00M,-128.00M,181.00M,-100.00M,36.00M,-185.00M,-617.00M,-27.00M,39.00M,-73.00M,102.00M,140.00M,54.00M,-184.00M,61.00M,96.00M,-128.00M,-52.00M,-29.00M,38.00M,-63.00M,-12.00M,214.00M,-12.00M,-150.00M,51.00M,104.00M,-87.00M,210.00M,-26.00M,183.00M,222.00M,150.00M,858.00M,-867.00M,630.00M,51.00M,-87.00M,-832.00M,843.00M,-233.00M,539.00M,615.00M,-705.00M,-452.00M,-391.00M,-84.00M,372.00M,-399.00M,-78.00M,25.00M,32.00M,26.00M,-153.00M,-47.00M,-93.90M,-14.90M,18.30M,-45.70M,-5.70M,19.40M,1.10M,-53.80M,-6.60M,-45.40M,-15.70M,-4.10M,-8.40M,50.60M,31.30M,-42.60M
Change in Inventories,-131.60M,-2.00M,-88.20M,-26.40M,-78.00M,67.50M,2.70M,28.50M,-40.60M,68.00M,-22.90M,13.40M,48.60M,118.60M,-11.60M,-95.40M,-232.40M,45.80M,15.90M,132.10M,-121.20M,15.00M,-2.00M,209.00M,47.20M,133.00M,-60.00M,-1.00M,-55.00M,30.00M,-73.00M,-126.00M,-99.00M,129.00M,25.00M,121.00M,-19.00M,169.00M,-12.00M,83.00M,-81.00M,-81.00M,-195.00M,-118.00M,-134.00M,33.00M,-102.00M,20.00M,29.00M,77.00M,-87.00M,-3.00M,-103.00M,56.00M,-90.00M,-50.00M,-74.00M,83.00M,-93.00M,64.00M,51.00M,126.00M,-209.00M,65.00M,-41.00M,29.00M,-203.00M,163.00M,74.00M,-426.00M,150.00M,100.00M,32.00M,-6.00M,-95.00M,-13.00M,59.00M,15.00M,26.00M,47.00M,-31.00M,29.00M,-112.00M,-48.00M,-12.00M,45.00M,-38.00M,7.00M,-11.80M,22.40M,-37.90M,25.90M,15.20M,20.00M,-28.20M,28.80M,-33.00M,72.80M,-25.10M,-14.20M,-26.10M,-4.50M,-72.00M,101.00M
Change in Payables and Accrued Expense,537.00M,-149.80M,-12.90M,-229.60M,482.30M,-111.10M,22.20M,-203.60M,435.00M,-157.80M,-179.40M,-63.90M,552.90M,-18.90M,-122.70M,-203.60M,218.30M,43.70M,-204.60M,79.30M,-54.50M,105.00M,-142.00M,17.00M,486.30M,-35.00M,-199.00M,-72.00M,379.00M,-73.00M,-136.00M,-56.00M,303.00M,131.00M,-63.00M,-222.00M,115.00M,360.00M,-295.00M,-37.00M,-213.00M,-143.00M,9.00M,-98.00M,-92.00M,-111.00M,45.00M,98.00M,33.00M,4.00M,-27.00M,-31.00M,105.00M,-32.00M,98.00M,-115.00M,-33.00M,110.00M,56.00M,7.00M,-17.00M,-131.00M,-63.00M,-95.00M,-224.00M,-272.00M,-1.005B,869.00M,-792.00M,428.00M,323.00M,20.00M,647.00M,535.00M,-1.144B,-499.00M,877.00M,134.00M,277.00M,34.00M,51.00M,157.00M,-257.00M,123.00M,92.00M,-51.00M,170.00M,-11.00M,145.60M,31.60M,17.30M,-47.50M,28.50M,0.00,-7.80M,-34.60M,19.90M,35.60M,-31.40M,-55.10M,66.40M,-60.70M,23.40M,-37.10M
Change in Other Current Assets,10.50M,32.80M,46.20M,-18.80M,-1.20M,-3.10M,54.90M,-40.10M,37.50M,-52.90M,0.60M,-45.90M,-17.30M,5.20M,4.70M,21.60M,-37.20M,-9.70M,44.60M,-24.40M,-20.60M,3.00M,48.00M,-51.00M,20.40M,5.00M,6.00M,-16.00M,25.00M,-21.00M,8.00M,-15.00M,24.00M,22.00M,-11.00M,2.00M,35.00M,-28.00M,100.00M,-34.00M,13.00M,-12.00M,-28.00M,-46.00M,-6.00M,-34.00M,-4.00M,-25.00M,25.00M,2.00M,31.00M,-7.00M,-24.00M,56.00M,17.00M,69.00M,190.00M,-309.00M,71.00M,-8.00M,95.00M,-114.00M,2.00M,5.00M,-34.00M,-78.00M,-37.00M,144.00M,642.00M,270.00M,-799.00M,-113.00M,-100.00M,-3.00M,-16.00M,-68.00M,335.00M,-306.00M,-135.00M,27.00M,8.00M,-33.00M,1.00M,-11.00M,3.00M,22.00M,-37.00M,15.00M,-39.80M,46.40M,-16.20M,-4.60M,-29.80M,71.40M,-1.00M,-7.60M,-68.80M,68.10M,-14.70M,-25.00M,-33.20M,51.60M,-13.20M,-2.80M
Change in Other Current Liabilities,-14.80M,-98.90M,-3.30M,-219.70M,48.70M,213.40M,-49.10M,-63.20M,78.50M,28.60M,0.40M,-289.30M,182.90M,32.60M,-31.10M,-212.90M,-51.90M,220.30M,-14.40M,-203.10M,168.30M,160.00M,40.00M,-131.00M,101.40M,1.00M,14.00M,-179.00M,94.00M,122.00M,27.00M,-166.00M,13.00M,72.00M,-56.00M,,69.00M,-164.00M,152.00M,5.00M,21.00M,-13.00M,39.00M,-309.00M,159.00M,37.00M,72.00M,-234.00M,142.00M,50.00M,14.00M,-210.00M,112.00M,62.00M,12.00M,-417.00M,49.00M,417.00M,-57.00M,-72.00M,-14.00M,13.00M,1.00M,8.00M,79.00M,215.00M,-25.00M,-196.00M,70.00M,-252.00M,106.00M,89.00M,504.00M,-651.00M,143.00M,-143.00M,15.00M,-63.00M,-25.00M,73.00M,43.00M,-4.00M,-76.00M,37.00M,-55.00M,16.00M,2.00M,37.00M,,1.60M,-41.50M,39.90M,,-26.80M,-10.10M,36.90M,,,-37.10M,37.10M,,,-36.90M,36.90M
Change in Other Working Cap,-187.60M,101.20M,-146.50M,19.40M,-54.70M,108.00M,122.00M,73.50M,-113.30M,-72.90M,-1.90M,-54.10M,-237.10M,-2.70M,-132.90M,-66.50M,-112.80M,-44.10M,-42.30M,-19.00M,61.70M,87.00M,91.00M,52.00M,-330.10M,-11.00M,-61.00M,53.00M,-110.00M,-5.00M,57.00M,-106.00M,195.00M,,114.00M,-114.00M,113.00M,,55.00M,-55.00M,-9.00M,11.00M,,,14.00M,-14.00M,-6.00M,6.00M,-24.00M,-184.00M,84.00M,32.00M,-107.00M,-41.00M,113.00M,176.00M,-20.00M,38.00M,-215.00M,245.00M,64.00M,231.00M,-47.00M,179.00M,82.00M,-46.00M,30.00M,16.00M,-185.00M,-259.00M,-42.00M,32.00M,-310.00M,163.00M,-15.00M,15.00M,175.00M,202.00M,-207.00M,2.00M,75.00M,28.00M,-121.00M,47.00M,-74.00M,151.00M,-147.00M,69.00M,83.10M,-75.20M,-140.00M,98.70M,98.70M,-55.00M,-144.50M,94.80M,164.90M,-29.60M,-173.50M,75.70M,112.00M,-55.00M,-119.90M,36.40M
Changes in Working Capital,336.30M,-157.20M,-96.70M,-417.60M,595.30M,432.30M,-96.90M,-165.20M,224.30M,-256.20M,-168.50M,-204.00M,544.20M,60.00M,-448.80M,-567.60M,1.70M,272.50M,-232.50M,-37.40M,-7.60M,424.00M,45.00M,13.00M,344.10M,150.00M,-349.00M,-219.00M,321.00M,-44.00M,-231.00M,-262.00M,492.00M,352.00M,-119.00M,-32.00M,213.00M,373.00M,-185.00M,-655.00M,-296.00M,-199.00M,-248.00M,-469.00M,81.00M,-35.00M,-179.00M,-74.00M,301.00M,-179.00M,-37.00M,-248.00M,21.00M,38.00M,138.00M,-123.00M,100.00M,189.00M,-187.00M,340.00M,92.00M,335.00M,-342.00M,345.00M,84.00M,-2.00M,-382.00M,129.00M,439.00M,-188.00M,-349.00M,-704.00M,1.616B,-195.00M,-588.00M,-93.00M,756.00M,-470.00M,-455.00M,99.00M,518.00M,-222.00M,-643.00M,173.00M,-14.00M,209.00M,-203.00M,70.00M,83.20M,11.90M,-200.00M,66.70M,106.90M,29.00M,-190.50M,64.50M,76.40M,101.50M,-297.50M,14.40M,110.70M,-18.00M,-187.30M,91.80M
Other Cash from Operations,,,,,,,,,,,,,0.00,0.00,-2.50M,,59.70M,5.50M,4.40M,0.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.00M,0.00,-2.00M,,-4.00M,0.00,-3.00M,-3.00M,-1.00M,-22.00M,-3.00M,-1.00M,-23.00M,-62.00M,2.00M,,7.00M,-22.00M,-44.00M,59.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operations,920.20M,1.549B,992.50M,808.30M,1.291B,1.926B,1.205B,802.20M,1.146B,1.407B,910.20M,806.80M,1.101B,1.695B,923.40M,799.90M,897.70M,1.717B,945.60M,1.258B,898.50M,1.518B,1.064B,1.133B,1.066B,1.524B,760.00M,756.00M,892.00M,1.199B,837.00M,876.00M,450.00M,1.606B,902.00M,830.00M,960.00M,1.12B,580.00M,2.00M,604.00M,1.014B,540.00M,317.00M,522.00M,858.00M,570.00M,631.00M,758.00M,661.00M,618.00M,351.00M,536.00M,1.073B,540.00M,583.00M,178.00M,717.00M,315.00M,667.00M,433.00M,1.003B,378.00M,897.00M,559.00M,884.00M,44.00M,821.00M,1.321B,649.00M,111.00M,-14.00M,1.756B,558.00M,55.00M,584.00M,975.00M,159.00M,81.00M,288.00M,421.00M,668.00M,122.00M,403.00M,185.00M,275.00M,231.00M,339.00M,231.90M,399.60M,149.40M,417.00M,252.50M,430.30M,141.10M,413.20M,250.10M,472.90M,-1.20M,334.80M,157.40M,390.90M,78.70M,350.70M
Net Change in Capital Expenditures,-1.716B,-1.407B,-1.423B,-1.598B,-1.642B,-1.467B,-1.318B,-1.930B,-1.948B,-1.302B,-1.180B,-1.370B,-1.395B,-1.150B,-1.116B,-1.249B,-1.264B,-1.102B,-1.105B,-1.129B,-1.240B,-1.065B,-985.00M,-956.00M,-1.179B,-895.00M,-806.00M,-890.00M,-1.011B,-739.00M,-630.00M,-752.00M,-812.00M,-747.00M,-647.00M,-569.00M,-722.00M,-557.00M,-510.00M,-647.00M,-685.00M,-577.00M,-726.00M,-973.00M,-1.125B,-968.00M,-831.00M,-876.00M,-1.547B,-345.00M,-1.343B,-907.00M,-1.10B,-817.00M,-846.00M,-765.00M,-794.00M,-592.00M,-584.00M,-434.00M,-649.00M,-357.00M,-385.00M,-305.00M,-422.00M,-297.00M,-347.00M,-292.00M,-548.00M,-353.00M,-431.00M,-353.00M,-529.00M,-484.00M,-504.00M,-315.00M,-569.00M,-396.00M,-622.00M,-186.00M,-533.00M,-415.00M,-520.00M,-212.00M,-235.00M,-179.00M,-225.00M,-153.00M,-264.20M,-164.90M,-205.60M,-125.70M,-221.80M,-140.70M,-124.70M,-90.50M,-178.30M,-146.70M,-148.90M,-132.10M,-200.30M,-150.70M,-181.60M,-110.90M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-116.00M,22.00M,25.00M,69.00M,-160.00M,13.00M,8.00M,139.00M,,,,,,,,,144.00M,4.00M,6.00M,68.00M,66.00M,2.00M,7.00M,111.00M,7.00M,99.00M,316.00M,1.184B,155.00M,1.071B,91.00M,40.00M,33.00M,8.00M,6.00M,35.00M,147.00M,1.116B,,,0.00,0.00,648.00M,,,,,,,,,,-9.00M,9.00M,,,-0.40M,-2.30M,3.80M,1.00M,3.50M,2.10M,3.90M,2.80M,9.00M,1.00M,7.80M,2.80M,10.90M,1.30M,0.90M,36.70M
Net Change in PP&E,-1.716B,-1.407B,-1.423B,-1.598B,-1.642B,-1.467B,-1.318B,-1.930B,-1.948B,-1.302B,-1.180B,-1.370B,-1.395B,-1.150B,-1.116B,-1.249B,-1.264B,-1.102B,-1.105B,-1.129B,-1.240B,-1.065B,-985.00M,-956.00M,-1.179B,-895.00M,-806.00M,-890.00M,-1.011B,-739.00M,-630.00M,-752.00M,-928.00M,-725.00M,-1.162B,40.00M,-882.00M,-544.00M,-1.111B,101.00M,-16.00M,-1.00M,-76.00M,-76.00M,99.00M,0.00,-1.00M,-98.00M,-1.403B,-341.00M,-1.337B,-839.00M,-1.034B,-815.00M,-839.00M,-654.00M,-787.00M,-493.00M,-268.00M,750.00M,-494.00M,714.00M,-294.00M,-265.00M,-389.00M,-289.00M,-341.00M,-257.00M,-401.00M,763.00M,-431.00M,-353.00M,-529.00M,-484.00M,144.00M,-315.00M,-569.00M,-396.00M,-622.00M,-186.00M,-533.00M,-415.00M,-520.00M,-212.00M,-244.00M,-170.00M,-225.00M,-153.00M,-264.60M,-167.20M,-201.80M,-124.70M,-218.30M,-138.60M,-120.80M,-87.70M,-169.30M,-145.70M,-141.10M,-129.30M,-189.40M,-149.40M,-180.70M,-74.20M
Net Divestitures (Acquisitions),2.90M,-340.10M,-581.20M,,0.00,0.00,0.00,,,,,,,,,,,,,,-19.80M,0.00,-2.00M,-43.00M,-26.00M,-2.00M,-2.00M,-2.00M,-5.00M,-1.00M,-3.00M,-85.00M,-19.00M,0.00,0.00,-214.00M,-155.00M,0.00,0.00,,,11.00M,-11.00M,,-352.00M,81.00M,-81.00M,,512.00M,-512.00M,,,,,,,-142.00M,-218.00M,,,,,,,,,,,,,,,-1.485B,0.00,-727.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,-4.50M,-41.30M,-17.50M,-18.50M,-17.50M,-8.90M,-14.10M,-17.30M,-11.20M,-18.10M,-11.00M,-18.10M,-126.30M,21.20M,-48.00M,108.50M,-93.00M,23.70M,-70.50M,75.50M,-79.30M,43.00M,-78.00M,27.00M,-75.20M,-5.00M,-47.00M,47.00M,-59.00M,3.00M,-90.00M,60.00M,-66.00M,54.00M,-25.00M,103.00M,-103.00M,-44.00M,-68.00M,110.00M,-112.00M,12.00M,-79.00M,90.00M,408.00M,-447.00M,96.00M,-17.00M,-154.00M,88.00M,-137.00M,216.00M,-202.00M,-29.00M,14.00M,-62.00M,-158.00M,189.00M,-107.00M,76.00M,151.00M,-152.00M,-63.00M,64.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Other Investing Changes,-69.50M,26.20M,9.20M,33.50M,-4.90M,26.00M,21.00M,19.10M,25.40M,-5.70M,17.80M,2.164B,11.30M,-0.60M,2.60M,2.20M,38.10M,24.70M,1.80M,32.40M,12.40M,11.00M,-22.00M,-9.00M,-17.50M,25.00M,-16.00M,73.00M,-35.00M,-14.00M,-15.00M,-15.00M,90.00M,-16.00M,-20.00M,-2.00M,192.00M,5.00M,8.00M,-32.00M,-22.00M,-65.00M,65.00M,156.00M,103.00M,-82.00M,65.00M,-1.00M,59.00M,-43.00M,-25.00M,-5.00M,-50.00M,-41.00M,3.00M,-34.00M,142.00M,4.00M,-9.00M,16.00M,47.00M,-30.00M,-22.00M,15.00M,-50.00M,37.00M,54.00M,-744.00M,42.00M,2.00M,25.00M,-25.00M,18.00M,222.00M,-385.00M,109.00M,48.00M,31.00M,-49.00M,-11.00M,33.00M,11.00M,-32.00M,-5.00M,-1.411B,-10.00M,8.00M,-8.00M,-1.60M,-4.60M,-357.30M,0.10M,,0.10M,-0.10M,,0.10M,-0.10M,,,,,,
Cash from Investing,-1.787B,-1.763B,-2.012B,-1.583B,-1.665B,-1.450B,-1.311B,-1.928B,-1.934B,-1.326B,-1.173B,776.20M,-1.618B,-1.129B,-1.161B,-1.138B,-777.90M,-1.056B,-1.174B,-1.017B,-1.327B,-1.011B,-1.087B,-981.00M,-1.298B,-877.00M,-871.00M,-772.00M,-1.11B,-751.00M,-738.00M,-792.00M,-923.00M,-687.00M,-667.00M,-613.00M,-948.00M,-583.00M,-562.00M,-430.00M,-819.00M,-619.00M,-751.00M,-727.00M,-966.00M,-1.416B,-751.00M,-894.00M,-986.00M,-808.00M,-1.499B,-628.00M,-1.286B,-885.00M,-822.00M,-750.00M,-945.00M,-518.00M,-384.00M,842.00M,-296.00M,532.00M,-379.00M,-186.00M,-439.00M,-252.00M,-287.00M,-1.001B,-359.00M,765.00M,-406.00M,-378.00M,-1.996B,-262.00M,-968.00M,-206.00M,-521.00M,-365.00M,-671.00M,-197.00M,-500.00M,-404.00M,-552.00M,-217.00M,-1.655B,-180.00M,-217.00M,-161.00M,-266.20M,-171.80M,-559.10M,-124.60M,-218.30M,-138.50M,-120.90M,-87.70M,-169.20M,-145.80M,-141.10M,-129.30M,-189.40M,-149.40M,-180.70M,-74.20M
Net Change in Long Term Debt,820.70M,408.60M,965.10M,1.051B,535.50M,727.20M,555.70M,280.20M,433.90M,1.148B,293.40M,-1.176B,523.30M,261.80M,-269.50M,177.80M,213.90M,-102.00M,320.40M,507.40M,593.40M,-89.00M,1.00M,-327.00M,785.00M,-82.00M,38.00M,-203.00M,499.00M,-95.00M,-37.00M,775.00M,404.00M,-588.00M,-444.00M,220.00M,-608.00M,19.00M,-219.00M,-10.00M,217.00M,530.00M,-170.00M,831.00M,-50.00M,219.00M,80.00M,604.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
