Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Total Current Assets,4.078B,4.166B,4.061B,3.915B,4.114B,4.692B,4.570B,4.135B,4.253B,4.068B,3.809B,3.616B,6.034B,5.949B,4.439B,4.146B,4.072B,4.548B,4.225B,4.116B,4.478B,4.111B,4.323B,4.335B,4.31B,4.317B,4.622B,4.397B,4.589B,4.648B,4.483B,4.214B,4.182B,4.374B,4.754B,4.789B,5.016B,5.421B,5.793B,5.516B,4.756B,4.479B,4.224B,4.118B,3.775B,3.984B,4.006B,3.361B,3.026B,3.111B,3.263B,3.163B,3.588B,3.175B,3.255B,3.249B,3.945B,4.67B,3.53B,4.403B,3.996B,4.983B,4.865B,4.83B,4.827B,6.355B,5.932B,7.444B,5.318B,13.60B,15.11B,14.28B,12.56B,18.01B,16.15B,14.23B,20.90B,8.605B,9.216B,3.575B,5.074B,2.828B,2.985B,2.59B,2.218B,1.921B,2.641B,1.586B,1.518B,1.379B,1.452B,1.408B,1.355B,1.397B,1.493B,1.544B,1.402B,1.340B,1.447B,1.349B,1.269B,1.199B,1.285B,1.274B
Other Properties,5.769B,5.500B,5.469B,5.248B,4.265B,3.997B,3.881B,3.812B,3.706B,3.614B,3.596B,3.412B,3.444B,3.468B,3.517B,3.812B,3.723B,4.036B,4.718B,5.834B,5.073B,5.688B,5.642B,5.552B,5.47B,4.06B,4.033B,3.986B,3.945B,3.943B,3.862B,3.836B,3.78B,3.88B,3.87B,3.835B,21.91B,3.867B,21.50B,21.32B,21.08B,3.821B,20.95B,3.772B,45.74B,16.60B,16.45B,16.32B,16.28B,16.14B,15.93B,15.39B,15.24B,15.15B,15.09B,14.97B,14.84B,14.68B,14.68B,14.59B,14.49B,14.40B,14.36B,14.17B,14.00B,16.49B,16.03B,15.83B,13.54B,16.26B,15.81B,16.42B,16.17B,15.94B,15.98B,15.82B,15.70B,15.48B,15.34B,9.254B,15.07B,9.043B,8.879B,8.777B,8.549B,8.290B,8.179B,8.080B,7.964B,7.860B,7.746B,7.651B,7.550B,7.452B,7.338B,7.233B,7.111B,7.055B,6.956B,6.876B,6.826B,6.757B,6.648B,6.560B
Construction in Progress,4.320B,5.244B,4.944B,4.911B,4.394B,4.996B,4.630B,4.759B,4.121B,3.71B,3.337B,3.197B,3.184B,3.651B,3.510B,3.806B,3.904B,4.008B,3.651B,3.71B,3.215B,3.283B,2.886B,2.836B,2.471B,2.489B,2.173B,2.078B,1.819B,3.191B,3.02B,2.923B,3.121B,3.105B,2.714B,2.48B,2.758B,2.571B,2.431B,2.765B,3.031B,3.251B,3.145B,3.147B,3.973B,3.516B,3.257B,3.001B,3.019B,2.809B,2.469B,2.902B,3.473B,2.848B,2.423B,2.538B,2.217B,1.676B,1.296B,1.329B,1.159B,930.00M,967.00M,1.047B,1.305B,973.00M,1.272B,1.51B,1.354B,1.296B,1.274B,1.179B,1.102B,949.00M,988.00M,1.068B,1.231B,1.295B,1.211B,558.00M,1.061B,661.00M,597.00M,696.00M,801.00M,460.60M,431.50M,408.70M,342.80M,419.80M,406.40M,395.10M,353.80M,344.50M,304.50M,293.90M,314.10M,313.80M,282.20M,274.60M,258.70M,355.10M,317.10M,353.60M
Gross PP&E,80.10B,78.44B,76.66B,75.20B,73.09B,71.20B,70.01B,68.80B,67.43B,65.44B,64.13B,62.91B,62.04B,60.60B,67.08B,66.43B,65.48B,64.83B,64.60B,65.31B,63.61B,63.12B,62.06B,61.09B,60.28B,59.04B,58.36B,58.08B,57.45B,57.46B,56.78B,56.22B,55.67B,55.10B,54.67B,54.10B,53.74B,52.93B,52.40B,52.01B,51.68B,51.16B,50.70B,50.16B,49.71B,48.39B,47.45B,46.69B,46.14B,45.17B,44.40B,42.69B,42.02B,40.97B,40.49B,39.78B,39.12B,38.20B,37.58B,37.19B,37.29B,36.69B,36.54B,36.22B,36.02B,39.50B,38.44B,38.15B,34.13B,39.07B,39.25B,40.87B,40.71B,39.01B,38.85B,37.93B,38.09B,37.55B,37.29B,22.27B,36.94B,21.96B,21.80B,21.59B,21.35B,21.80B,21.31B,21.17B,20.96B,20.68B,20.54B,19.98B,19.86B,19.66B,19.54B,19.43B,19.32B,19.21B,19.07B,18.98B,18.92B,18.75B,18.59B,18.42B
Accumulated D&A,-19.01B,-18.76B,-18.44B,-18.18B,-17.99B,-17.84B,-17.57B,-17.43B,-17.17B,-17.12B,-16.91B,-16.67B,-16.40B,-16.34B,-19.65B,-19.60B,-19.35B,-19.59B,-19.59B,-20.50B,-19.97B,-20.06B,-19.79B,-19.56B,-19.29B,-19.17B,-18.93B,-18.94B,-18.69B,-19.33B,-18.96B,-18.79B,-18.70B,-18.68B,-18.60B,-18.33B,-18.07B,-17.93B,-17.68B,-17.49B,-17.34B,-17.34B,-17.14B,-16.91B,-16.72B,-16.60B,-16.45B,-16.32B,-16.28B,-16.14B,-15.93B,-15.39B,-15.24B,-15.15B,-15.09B,-14.97B,-14.84B,-14.68B,-14.68B,-14.59B,-14.49B,-14.40B,-14.36B,-14.17B,-14.00B,-16.49B,-16.03B,-15.83B,-13.54B,-16.26B,-15.81B,-16.42B,-16.17B,-15.94B,-15.98B,-15.82B,-15.70B,-15.48B,-15.34B,-9.254B,-15.07B,-9.043B,-8.879B,-8.777B,-8.549B,-8.290B,-8.179B,-8.080B,-7.964B,-7.860B,-7.746B,-7.651B,-7.550B,-7.452B,-7.338B,-7.233B,-7.111B,-7.055B,-6.956B,-6.876B,-6.826B,-6.757B,-6.648B,-6.560B
Net PP&E,61.10B,59.68B,58.22B,57.01B,55.10B,53.36B,52.44B,51.37B,50.26B,48.32B,47.23B,46.24B,45.64B,44.26B,47.44B,46.83B,46.13B,45.24B,45.01B,44.81B,43.64B,43.06B,42.27B,41.53B,41.00B,39.87B,39.42B,39.13B,38.76B,38.13B,37.83B,37.43B,36.97B,36.42B,36.06B,35.77B,35.67B,35.00B,34.72B,34.53B,34.34B,33.82B,33.56B,33.25B,32.99B,31.79B,31.00B,30.37B,29.87B,29.03B,28.47B,27.30B,26.78B,25.82B,25.40B,24.81B,24.28B,23.52B,22.89B,22.60B,22.80B,22.29B,22.18B,22.06B,22.02B,23.01B,22.41B,22.33B,20.59B,22.82B,23.44B,24.45B,24.54B,23.07B,22.87B,22.10B,22.39B,22.07B,21.95B,13.02B,21.86B,12.92B,12.92B,12.82B,12.80B,13.51B,13.13B,13.09B,12.99B,12.82B,12.79B,12.33B,12.31B,12.21B,12.20B,12.19B,12.21B,12.16B,12.12B,12.10B,12.10B,11.99B,11.94B,11.86B
Goodwill,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,53.00M,91.00M,91.00M,52.50M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,90.00M,90.00M,90.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,52.50M,53.00M,91.00M,91.00M,52.50M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,91.00M,90.00M,90.00M,90.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,76.00M,78.00M,78.00M,78.00M,78.00M,397.00M,396.00M,396.00M,241.00M,496.00M,848.00M,2.062B,1.494B,6.838B,1.30B,1.31B,1.382B,1.378B,1.422B,,1.531B,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,3.834B,3.774B,3.562B,3.537B,3.396B,3.667B,3.637B,3.657B,3.739B,3.721B,3.746B,3.758B,3.742B,3.790B,3.828B,3.842B,3.856B,3.888B,4.037B,4.123B,4.168B,4.179B,4.263B,4.27B,4.305B,3.919B,3.804B,3.853B,3.823B,3.879B,3.899B,3.951B,3.219B,3.138B,3.247B,1.559B,3.257B,3.254B,3.225B,3.298B,3.288B,1.364B,3.251B,3.218B,3.30B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,266.60M,299.00M,313.50M,250.40M,254.00M,264.90M,264.50M,271.20M,282.10M,310.40M,285.60M,310.50M,289.10M,311.70M,298.50M,328.90M,321.80M,353.00M,363.00M,365.00M,294.20M,228.00M,224.00M,266.00M,297.00M,314.00M,317.00M,341.00M,368.00M,390.00M,439.00M,425.00M,403.00M,316.00M,343.00M,359.00M,,488.00M,,,,379.00M,,417.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,3.407B,2.795B,2.992B,2.655B,2.577B,2.395B,2.529B,2.612B,2.554B,1.857B,2.026B,2.171B,2.085B,1.894B,2.004B,2.175B,2.107B,2.069B,2.188B,2.278B,2.131B,1.944B,2.056B,2.162B,2.038B,1.414B,1.581B,1.651B,1.627B,1.397B,1.405B,1.499B,1.346B,1.135B,1.264B,1.347B,1.079B,910.00M,985.00M,1.077B,946.00M,774.00M,869.00M,948.00M,879.00M,785.00M,923.00M,1.026B,888.00M,804.00M,896.00M,945.00M,910.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,,,,,,,,,,,,,,,,,,,,,521.60M,,,,,,,,,,,,,,,,410.00M,,408.00M,449.00M,343.00M,1.94B,380.00M,,355.00M,4.165B,4.453B,4.259B,4.26B,4.07B,4.086B,4.064B,4.155B,4.116B,4.221B,4.419B,4.605B,3.843B,3.733B,4.366B,4.162B,3.987B,5.203B,5.723B,6.277B,3.703B,3.949B,4.064B,7.055B,6.212B,9.444B,6.791B,5.519B,1.36B,6.192B,5.395B,4.976B,4.925B,4.178B,3.106B,3.854B,2.64B,2.726B,2.817B,2.616B,226.20M,223.90M,285.70M,288.10M,216.40M,233.90M,292.70M,325.50M,206.70M,245.80M,299.10M,310.40M,211.30M,269.20M,364.00M,333.20M,,-0.10M,0.10M
Total Long Term Assets,71.81B,69.73B,68.49B,66.81B,64.69B,62.92B,62.30B,61.47B,60.48B,59.90B,58.93B,58.11B,57.43B,55.49B,58.88B,58.34B,57.61B,56.55B,56.71B,55.92B,55.07B,53.81B,53.30B,52.70B,52.10B,50.65B,50.36B,50.15B,49.78B,49.20B,48.94B,48.69B,48.04B,46.81B,46.00B,45.77B,45.44B,44.47B,44.14B,44.11B,43.59B,42.71B,42.11B,41.75B,41.38B,39.05B,38.69B,37.96B,37.29B,36.34B,35.93B,34.77B,34.40B,33.21B,32.93B,32.52B,32.23B,31.29B,30.41B,30.69B,30.64B,29.84B,30.98B,31.40B,31.95B,29.72B,29.43B,29.46B,30.57B,31.92B,36.05B,35.87B,34.72B,34.81B,34.08B,32.68B,32.45B,31.91B,31.18B,18.33B,30.64B,17.61B,17.60B,17.54B,17.26B,15.56B,15.17B,15.21B,15.10B,14.87B,14.88B,14.50B,14.53B,14.29B,14.36B,14.44B,14.50B,14.36B,14.51B,14.42B,14.47B,14.20B,14.23B,14.19B
Total Assets,75.89B,73.90B,72.55B,70.72B,68.80B,67.62B,66.87B,65.61B,64.73B,63.96B,62.74B,61.73B,63.47B,61.44B,63.32B,62.49B,61.68B,61.10B,60.94B,60.04B,59.54B,57.92B,57.62B,57.04B,56.41B,54.96B,54.98B,54.55B,54.37B,53.84B,53.42B,52.90B,52.22B,51.19B,50.75B,50.56B,50.46B,49.89B,49.94B,49.62B,48.35B,47.19B,46.34B,45.86B,45.16B,43.04B,42.70B,41.32B,40.32B,39.46B,39.19B,37.94B,37.99B,36.38B,36.18B,35.76B,36.17B,35.96B,33.94B,35.10B,34.64B,34.82B,35.85B,36.24B,36.78B,36.08B,35.36B,36.90B,35.89B,45.52B,51.16B,50.15B,47.28B,52.82B,50.23B,46.91B,53.35B,40.52B,40.40B,21.90B,35.72B,20.44B,20.59B,20.13B,19.48B,17.48B,17.81B,16.80B,16.62B,16.25B,16.33B,15.91B,15.88B,15.69B,15.86B,15.99B,15.90B,15.70B,15.96B,15.77B,15.74B,15.40B,15.51B,15.46B
Accounts Payable,2.086B,1.767B,1.689B,1.497B,1.874B,1.580B,1.635B,1.450B,2.065B,1.537B,1.268B,1.117B,1.688B,1.340B,1.242B,1.220B,1.418B,1.274B,1.236B,1.283B,1.258B,1.259B,1.228B,1.213B,1.266B,1.044B,987.00M,1.004B,1.169B,988.00M,906.00M,978.00M,1.095B,1.003B,969.00M,884.00M,1.061B,884.00M,863.00M,954.00M,1.158B,1.004B,1.096B,1.126B,1.297B,1.447B,1.414B,1.176B,1.324B,1.121B,1.189B,1.263B,1.36B,1.18B,1.191B,1.033B,1.144B,1.112B,925.00M,876.00M,1.055B,1.033B,1.165B,1.246B,1.337B,1.70B,1.86B,2.93B,1.892B,2.662B,2.641B,2.162B,2.245B,1.847B,1.252B,2.058B,2.627B,1.782B,1.591B,729.00M,1.28B,647.00M,560.00M,741.00M,618.00M,460.90M,512.00M,342.20M,353.30M,207.70M,176.10M,158.70M,206.20M,177.80M,177.70M,185.50M,220.10M,200.30M,164.70M,196.10M,251.20M,184.70M,245.40M,222.10M
Current Tax Payable,1.358B,883.40M,1.046B,1.156B,1.218B,774.10M,943.90M,1.081B,1.116B,716.50M,891.50M,1.078B,1.048B,666.20M,814.00M,899.50M,979.10M,748.00M,749.00M,846.00M,863.50M,769.00M,692.00M,803.00M,822.00M,590.00M,680.00M,727.00M,747.00M,512.00M,617.00M,679.00M,717.00M,501.00M,597.00M,669.00M,702.00M,470.00M,570.00M,621.00M,632.00M,470.00M,553.00M,614.00M,634.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,3.444B,2.650B,2.735B,2.654B,3.092B,2.354B,2.579B,2.531B,3.181B,2.254B,2.160B,2.195B,2.736B,2.006B,2.056B,2.119B,2.397B,2.022B,1.985B,2.129B,2.122B,2.028B,1.92B,2.016B,2.088B,1.634B,1.667B,1.731B,1.916B,1.50B,1.523B,1.657B,1.812B,1.504B,1.566B,1.553B,1.763B,1.354B,1.433B,1.575B,1.79B,1.474B,1.649B,1.74B,1.931B,1.447B,1.414B,1.176B,1.324B,1.121B,1.189B,1.263B,1.36B,1.18B,1.191B,1.033B,1.144B,1.112B,925.00M,876.00M,1.055B,1.033B,1.165B,1.246B,1.337B,1.70B,1.86B,2.93B,1.892B,2.662B,2.641B,2.162B,2.245B,1.847B,1.252B,2.058B,2.627B,1.782B,1.591B,729.00M,1.28B,647.00M,560.00M,741.00M,618.00M,460.90M,512.00M,342.20M,353.30M,207.70M,176.10M,158.70M,206.20M,177.80M,177.70M,185.50M,220.10M,200.30M,164.70M,196.10M,251.20M,184.70M,245.40M,222.10M
Accrued Expenses,243.60M,304.80M,241.20M,306.00M,231.70M,299.80M,235.20M,273.10M,234.50M,260.30M,217.00M,239.70M,227.20M,230.20M,227.00M,237.60M,226.90M,236.00M,232.00M,227.00M,238.30M,219.00M,240.00M,220.00M,245.00M,219.00M,254.00M,241.00M,269.00M,249.00M,281.00M,237.00M,279.00M,235.00M,282.00M,248.00M,281.00M,255.00M,284.00M,254.00M,287.00M,232.00M,273.00M,226.00M,270.00M,2.291B,2.938B,2.656B,2.385B,2.29B,2.656B,2.493B,2.809B,2.604B,2.411B,2.544B,3.153B,3.568B,2.528B,2.952B,2.633B,2.787B,2.802B,2.836B,2.54B,2.811B,2.794B,3.288B,2.698B,9.945B,11.33B,11.75B,10.40B,15.00B,13.32B,11.41B,17.82B,5.721B,6.112B,2.178B,2.316B,1.482B,1.706B,1.629B,1.279B,1.090B,1.528B,852.10M,779.90M,731.60M,742.50M,916.10M,793.60M,707.90M,736.20M,905.40M,805.50M,827.30M,682.80M,904.10M,752.70M,817.30M,784.20M,1.012B
Payables and Accrued Expenses,3.687B,2.955B,2.976B,2.960B,3.324B,2.654B,2.814B,2.804B,3.415B,2.514B,2.377B,2.435B,2.964B,2.237B,2.283B,2.357B,2.624B,2.258B,2.217B,2.356B,2.36B,2.247B,2.16B,2.236B,2.333B,1.853B,1.921B,1.972B,2.185B,1.749B,1.804B,1.894B,2.091B,1.739B,1.848B,1.801B,2.044B,1.609B,1.717B,1.829B,2.077B,1.706B,1.922B,1.966B,2.201B,3.738B,4.352B,3.832B,3.709B,3.411B,3.845B,3.756B,4.169B,3.784B,3.602B,3.577B,4.297B,4.68B,3.453B,3.828B,3.688B,3.82B,3.967B,4.082B,3.877B,4.511B,4.654B,6.218B,4.59B,12.61B,13.97B,13.91B,12.64B,16.85B,14.57B,13.47B,20.45B,7.503B,7.703B,2.907B,3.596B,2.129B,2.266B,2.37B,1.897B,1.550B,2.040B,1.194B,1.133B,939.30M,918.60M,1.075B,999.80M,885.70M,913.90M,1.091B,1.026B,1.028B,847.50M,1.100B,1.004B,1.002B,1.030B,1.234B
