Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03
Other Operating Expenses,1.826B,1.374B,1.379B,1.34B,1.554B,1.337B,1.312B,1.262B,1.521B,1.203B,1.158B,1.173B,1.346B,1.096B,1.095B,1.082B,1.302B,1.122B,1.12B,1.092B,1.363B,1.025B,1.123B,1.027B,1.141B,1.011B,1.061B,1.064B,1.142B,1.026B,1.09B,992.00M,1.138B,1.042B,,,,,,,,,,,,,,,,,,8.166B,,9.645B,9.605B,9.527B,30.00B,8.64B,,,2.717B,1.75B,2.482B,2.534B,,,,2.362B,,,1.857B,,6.137B,889.00M,,,1.857B,1.84B,1.791B,1.779B,,,,
Total Operating Expenses,1.826B,1.374B,1.379B,1.34B,1.554B,1.337B,1.312B,1.262B,1.521B,1.203B,1.158B,1.173B,1.346B,1.096B,1.095B,1.082B,1.302B,1.122B,1.12B,1.092B,1.363B,1.025B,1.123B,1.027B,1.141B,1.011B,1.061B,1.064B,1.142B,1.026B,1.09B,992.00M,-20.75B,8.365B,8.31B,8.239B,-20.46B,7.914B,8.191B,8.233B,8.481B,8.026B,7.934B,8.236B,9.186B,8.303B,8.398B,8.339B,14.73B,8.017B,8.041B,8.602B,1.513B,10.09B,10.04B,9.966B,10.24B,9.052B,8.642B,8.501B,8.636B,7.694B,7.561B,7.702B,7.687B,7.165B,7.146B,7.07B,5.941B,4.893B,6.654B,4.80B,9.691B,5.556B,4.269B,4.569B,6.523B,6.206B,6.12B,6.137B,,,,
Operating Income,2.133B,2.128B,2.143B,1.394B,2.004B,1.727B,1.773B,1.52B,2.063B,1.812B,2.037B,1.617B,1.793B,2.034B,2.038B,1.823B,2.051B,1.984B,1.96B,1.673B,754.00M,1.954B,747.00M,1.513B,1.908B,1.804B,1.742B,1.58B,-2.782B,766.00M,1.79B,1.569B,1.197B,1.666B,1.745B,1.472B,1.581B,1.616B,1.402B,1.042B,1.259B,929.00M,1.168B,718.00M,803.00M,1.632B,1.454B,1.493B,-4.253B,1.708B,1.765B,1.358B,1.809B,1.576B,1.695B,1.555B,6.508B,1.498B,1.549B,1.385B,-3.056B,-492.00M,-1.172B,-1.317B,-6.995B,1.147B,1.08B,-1.417B,254.00M,950.00M,-829.00M,947.00M,1.034B,943.00M,3.222B,944.00M,-1.026B,-679.00M,-627.00M,-696.00M,-22.34B,6.715B,6.56B,6.331B
Non-Operating Interest Expense,166.00M,159.00M,159.00M,169.00M,148.00M,155.00M,149.00M,153.00M,129.00M,111.00M,111.00M,102.00M,100.00M,94.00M,94.00M,93.00M,85.00M,83.00M,86.00M,87.00M,87.00M,87.00M,89.00M,90.00M,94.00M,92.00M,98.00M,96.00M,109.00M,98.00M,92.00M,94.00M,96.00M,84.00M,83.00M,85.00M,94.00M,91.00M,84.00M,85.00M,89.00M,93.00M,181.00M,82.00M,100.00M,104.00M,104.00M,134.00M,83.00M,53.00M,61.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-166.00M,-159.00M,-159.00M,-169.00M,-148.00M,-155.00M,-149.00M,-153.00M,-129.00M,-111.00M,-111.00M,-102.00M,-100.00M,-94.00M,-94.00M,-93.00M,-85.00M,-83.00M,-86.00M,-87.00M,-87.00M,-87.00M,-89.00M,-90.00M,-94.00M,-92.00M,-98.00M,-96.00M,-109.00M,-98.00M,-92.00M,-94.00M,-96.00M,-84.00M,-83.00M,-85.00M,-94.00M,-91.00M,-84.00M,-85.00M,-89.00M,-93.00M,-181.00M,-82.00M,-100.00M,-104.00M,-104.00M,-134.00M,-83.00M,-53.00M,-61.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-2.165B,237.00M,220.00M,215.00M,-1.313B,317.00M,302.00M,294.00M,-563.00M,236.00M,193.00M,195.00M,-2.224B,13.00M,8.00M,17.00M,3.00M,4.00M,4.00M,4.00M,-5.00M,2.00M,25.00M,,10.00M,2.00M,3.00M,5.00M,6.00M,6.00M,6.00M,6.00M,8.00M,16.00M,9.00M,11.00M,10.00M,15.00M,-18.00M,-4.00M,13.00M,6.00M,-22.00M,13.00M,17.00M,-13.00M,14.00M,57.00M,43.00M,14.00M,28.00M,14.00M,15.00M,25.00M,23.00M,23.00M,8.00M,28.00M,38.00M,30.00M,25.00M,26.00M,14.00M,17.00M,79.00M,23.00M,10.00M,-38.00M,936.00M,20.00M,12.00M,12.00M,2.858B,-855.00M,-2.142B,53.00M,93.00M,51.00M,60.00M,323.00M,,,,
Net Interest Income,-166.00M,-159.00M,-159.00M,-169.00M,-148.00M,-155.00M,-149.00M,-153.00M,-129.00M,-111.00M,-111.00M,-102.00M,-100.00M,-94.00M,-94.00M,-93.00M,-85.00M,-83.00M,-86.00M,-87.00M,-87.00M,-87.00M,-89.00M,-90.00M,-94.00M,-92.00M,-98.00M,-96.00M,-109.00M,-98.00M,-92.00M,-94.00M,-96.00M,-84.00M,-83.00M,-85.00M,-94.00M,-91.00M,-84.00M,-85.00M,-89.00M,-93.00M,-181.00M,-82.00M,-100.00M,-104.00M,-104.00M,-134.00M,-83.00M,-53.00M,-61.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,-198.00M,2.206B,2.204B,1.44B,543.00M,1.889B,1.926B,1.661B,1.371B,1.937B,2.119B,1.71B,-531.00M,1.953B,1.952B,1.747B,1.969B,1.905B,1.878B,1.59B,662.00M,1.869B,683.00M,1.423B,1.824B,1.714B,1.647B,1.489B,-2.885B,674.00M,1.704B,1.481B,1.109B,1.598B,1.671B,1.398B,1.497B,1.54B,1.30B,953.00M,1.183B,842.00M,692.00M,649.00M,720.00M,1.515B,1.364B,1.416B,-4.293B,1.669B,1.732B,1.323B,1.769B,1.547B,1.664B,1.53B,1.667B,1.489B,1.541B,1.378B,1.192B,1.246B,1.289B,1.195B,1.297B,1.139B,1.052B,882.00M,2.161B,940.00M,992.00M,916.00M,1.019B,932.00M,1.033B,953.00M,1.15B,1.171B,1.159B,1.354B,,,,
Provision for Income Taxes,-92.00M,456.00M,519.00M,329.00M,90.00M,381.00M,441.00M,316.00M,275.00M,678.00M,735.00M,544.00M,-283.00M,683.00M,683.00M,616.00M,638.00M,648.00M,648.00M,564.00M,209.00M,655.00M,229.00M,512.00M,657.00M,617.00M,576.00M,452.00M,-1.137B,205.00M,588.00M,511.00M,384.00M,526.00M,579.00M,483.00M,528.00M,549.00M,455.00M,420.00M,426.00M,293.00M,247.00M,248.00M,466.00M,545.00M,491.00M,510.00M,-1.652B,593.00M,628.00M,480.00M,641.00M,509.00M,603.00M,555.00M,618.00M,536.00M,555.00M,496.00M,326.00M,356.00M,471.00M,436.00M,441.00M,400.00M,360.00M,271.00M,659.00M,362.00M,381.00M,353.00M,374.00M,364.00M,403.00M,371.00M,426.00M,469.00M,464.00M,541.00M,,,,
Income from Continuing Operations,-106.00M,1.75B,1.685B,1.111B,453.00M,1.508B,1.485B,1.345B,1.096B,1.259B,1.384B,1.166B,-248.00M,1.27B,1.269B,1.131B,1.331B,1.257B,1.23B,1.026B,453.00M,1.214B,454.00M,911.00M,1.167B,1.097B,1.071B,1.037B,-1.748B,469.00M,1.116B,970.00M,725.00M,1.072B,1.092B,915.00M,969.00M,991.00M,845.00M,533.00M,757.00M,549.00M,445.00M,401.00M,254.00M,970.00M,873.00M,906.00M,-2.641B,1.076B,1.104B,843.00M,1.128B,1.038B,1.061B,975.00M,1.049B,953.00M,986.00M,882.00M,866.00M,890.00M,818.00M,759.00M,856.00M,739.00M,692.00M,611.00M,1.502B,578.00M,611.00M,563.00M,645.00M,568.00M,630.00M,582.00M,724.00M,702.00M,695.00M,813.00M,2.103B,577.00M,588.00M,499.00M
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,-72.00M,0.00,,,-26.00M,,,,,,,,
Net Income,-106.00M,1.75B,1.685B,1.111B,453.00M,1.508B,1.485B,1.345B,1.096B,1.259B,1.384B,1.166B,-248.00M,1.27B,1.269B,1.131B,1.331B,1.257B,1.23B,1.026B,453.00M,1.214B,454.00M,911.00M,1.167B,1.097B,1.071B,1.037B,-1.748B,469.00M,1.116B,970.00M,725.00M,1.072B,1.092B,915.00M,969.00M,991.00M,845.00M,533.00M,757.00M,549.00M,445.00M,401.00M,254.00M,970.00M,873.00M,906.00M,-2.641B,1.076B,1.104B,843.00M,1.128B,1.038B,1.061B,975.00M,1.049B,953.00M,986.00M,882.00M,866.00M,890.00M,818.00M,759.00M,856.00M,739.00M,692.00M,611.00M,1.502B,578.00M,611.00M,491.00M,645.00M,568.00M,630.00M,556.00M,724.00M,702.00M,695.00M,813.00M,661.00M,577.00M,588.00M,499.00M
Normalized Income,1.474B,1.562B,1.517B,945.02M,1.548B,1.255B,1.252B,1.107B,1.546B,1.106B,1.258B,1.033B,1.086B,1.262B,1.264B,1.120B,1.329B,1.254B,1.227B,1.023B,456.42M,1.213B,437.38M,911.00M,1.161B,1.096B,1.069B,1.034B,-1.752B,464.82M,1.112B,966.07M,725.00M,1.061B,1.086B,907.80M,962.53M,981.35M,856.70M,535.60M,748.68M,545.09M,459.15M,392.97M,242.95M,978.32M,864.04M,869.53M,-2.667B,1.067B,1.086B,834.08M,1.118B,1.021B,1.046B,960.34M,1.044B,935.08M,961.69M,862.80M,847.84M,871.43M,809.12M,748.20M,803.86M,724.08M,685.42M,637.32M,851.43M,565.70M,603.61M,555.62M,-1.164B,1.089B,1.936B,549.63M,665.45M,671.40M,659.00M,619.06M,2.447B,577.00M,588.00M,499.00M
EBITDA,598.00M,2.952B,2.938B,2.177B,1.236B,2.568B,2.617B,2.41B,2.094B,2.62B,2.792B,2.366B,132.00M,2.601B,2.601B,2.392B,2.595B,2.515B,2.474B,2.183B,1.246B,2.441B,1.245B,1.981B,2.385B,2.266B,2.211B,2.059B,-2.30B,1.236B,2.255B,2.034B,1.656B,2.129B,2.197B,1.924B,2.035B,2.079B,1.833B,1.489B,1.722B,1.376B,1.299B,1.161B,1.274B,2.075B,1.92B,2.002B,-3.767B,2.157B,2.224B,1.794B,2.327B,2.017B,2.131B,1.994B,6.939B,1.91B,1.952B,1.783B,-2.667B,-109.00M,-787.00M,-931.00M,-6.608B,1.531B,1.471B,-1.03B,632.00M,1.323B,-467.00M,1.298B,1.413B,1.304B,3.56B,1.262B,-717.00M,-385.00M,-340.00M,-413.00M,-22.34B,6.715B,6.56B,6.331B
Reconciled Depreciation,630.00M,587.00M,575.00M,568.00M,545.00M,524.00M,542.00M,596.00M,594.00M,572.00M,562.00M,554.00M,563.00M,554.00M,555.00M,552.00M,541.00M,527.00M,510.00M,506.00M,497.00M,485.00M,473.00M,468.00M,467.00M,460.00M,466.00M,474.00M,476.00M,464.00M,459.00M,459.00M,451.00M,447.00M,443.00M,441.00M,444.00M,448.00M,449.00M,451.00M,450.00M,441.00M,426.00M,430.00M,454.00M,456.00M,452.00M,452.00M,443.00M,435.00M,431.00M,436.00M,432.00M,441.00M,436.00M,439.00M,431.00M,412.00M,403.00M,398.00M,389.00M,383.00M,385.00M,386.00M,387.00M,384.00M,391.00M,387.00M,378.00M,373.00M,362.00M,351.00M,379.00M,361.00M,338.00M,318.00M,309.00M,294.00M,287.00M,283.00M,,,,
EBIT,-32.00M,2.365B,2.363B,1.609B,691.00M,2.044B,2.075B,1.814B,1.50B,2.048B,2.23B,1.812B,-431.00M,2.047B,2.046B,1.84B,2.054B,1.988B,1.964B,1.677B,749.00M,1.956B,772.00M,1.513B,1.918B,1.806B,1.745B,1.585B,-2.776B,772.00M,1.796B,1.575B,1.205B,1.682B,1.754B,1.483B,1.591B,1.631B,1.384B,1.038B,1.272B,935.00M,873.00M,731.00M,820.00M,1.619B,1.468B,1.55B,-4.21B,1.722B,1.793B,1.358B,1.895B,1.576B,1.695B,1.555B,6.508B,1.498B,1.549B,1.385B,-3.056B,-492.00M,-1.172B,-1.317B,-6.995B,1.147B,1.08B,-1.417B,254.00M,950.00M,-829.00M,947.00M,1.034B,943.00M,3.222B,944.00M,-1.026B,-679.00M,-627.00M,-696.00M,-22.34B,6.715B,6.56B,6.331B
EPS Basic from Continuing Operations,-0.12,2.03,1.95,1.28,0.52,1.74,1.71,1.55,1.27,1.45,1.59,1.33,-0.27,1.44,1.43,1.27,1.49,1.40,1.37,1.13,0.50,1.33,0.49,0.99,1.26,1.17,1.14,1.09,-1.83,0.49,1.16,1.01,0.76,1.10,1.11,0.92,0.98,1.00,0.85,0.54,0.76,0.55,0.45,0.40,0.27,0.96,0.86,0.87,-2.49,1.02,1.04,0.79,1.04,0.96,0.98,0.89,0.95,0.86,0.88,0.78,0.76,0.79,0.73,0.67,0.76,0.66,0.61,0.54,1.27,0.52,0.55,0.50,0.58,0.50,0.56,0.52,0.63,0.62,0.61,0.68,0.59,0.53,0.52,0.46
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,-0.06,0.02,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,0.00,0.00,,,0.00,,,,,,,,
Normalized Basic EPS,1.716,1.812,1.755,1.088,1.785,1.448,1.441,1.275,1.789,1.273,1.445,1.178,1.252,1.430,1.424,1.258,1.488,1.397,1.367,1.127,0.5038,1.329,0.4719,0.99,1.253,1.169,1.138,1.086,-1.834,0.4857,1.156,1.006,0.76,1.089,1.104,0.9127,0.9735,0.9903,0.8618,0.5426,0.7517,0.5461,0.4642,0.3919,0.2590,0.9683,0.8512,0.8348,-2.515,1.011,1.023,0.7816,1.031,0.9445,0.9665,0.8766,0.9454,0.8438,0.8583,0.7630,0.7441,0.7735,0.7221,0.6605,0.7137,0.6467,0.6042,0.5633,0.6931,0.509,0.5433,0.4934,-1.029,0.9628,1.719,0.4913,0.5791,0.5930,0.5784,0.5178,0.59,0.53,0.52,0.46
EPS Basic,-0.12,2.03,1.95,1.28,0.52,1.74,1.71,1.55,1.27,1.45,1.59,1.33,-0.27,1.44,1.43,1.27,1.49,1.40,1.37,1.13,0.50,1.33,0.49,0.99,1.26,1.17,1.14,1.09,-1.83,0.49,1.16,1.01,0.76,1.10,1.11,0.92,0.98,1.00,0.85,0.54,0.76,0.55,0.45,0.40,0.27,0.96,0.86,0.87,-2.49,1.02,1.04,0.79,1.04,0.96,0.98,0.89,0.95,0.86,0.88,0.78,0.76,0.79,0.73,0.67,0.76,0.66,0.61,0.54,1.34,0.52,0.55,0.44,0.60,0.50,0.56,0.51,0.63,0.62,0.61,0.68,0.59,0.53,0.52,0.46
EPS Diluted from Continuing Operations,-0.12,2.01,1.94,1.28,0.52,1.73,1.71,1.55,1.27,1.44,1.58,1.33,-0.27,1.44,1.43,1.27,1.48,1.39,1.35,1.12,0.49,1.32,0.49,0.98,1.25,1.16,1.13,1.08,-1.83,0.48,1.15,1.00,0.75,1.09,1.09,0.91,0.97,0.99,0.84,0.53,0.75,0.55,0.44,0.40,0.27,0.96,0.85,0.87,-2.49,1.02,1.04,0.78,1.04,0.96,0.97,0.89,0.95,0.86,0.88,0.78,0.76,0.78,0.72,0.67,0.75,0.65,0.61,0.54,1.26,0.51,0.54,0.50,0.55,0.50,0.55,0.49,0.63,0.60,0.60,0.67,0.57,0.53,0.52,0.46
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,-0.07,0.02,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,0.00,-0.0644,-0.0000,,,-0.0230,,,,,,,,
Normalized Diluted EPS,1.699,1.794,1.746,1.089,1.779,1.439,1.442,1.276,1.786,1.264,1.436,1.179,1.245,1.430,1.424,1.258,1.478,1.387,1.347,1.117,0.4937,1.319,0.4721,0.98,1.243,1.159,1.128,1.076,-1.834,0.4757,1.146,0.9960,0.75,1.079,1.084,0.9028,0.9635,0.9804,0.8517,0.5326,0.7417,0.5461,0.4541,0.3920,0.2590,0.9682,0.8413,0.8351,-2.515,1.011,1.023,0.7717,1.031,0.9445,0.9566,0.8766,0.9454,0.8438,0.8583,0.7630,0.7441,0.7637,0.7122,0.6605,0.7044,0.6369,0.6042,0.5633,0.6846,0.4992,0.5335,0.4935,-1.049,0.9547,1.691,0.4618,0.5791,0.5738,0.5689,0.5102,0.57,0.53,0.52,0.46
EPS Diluted,-0.12,2.01,1.94,1.28,0.52,1.73,1.71,1.55,1.27,1.44,1.58,1.33,-0.27,1.44,1.43,1.27,1.48,1.39,1.35,1.12,0.49,1.32,0.49,0.98,1.25,1.16,1.13,1.08,-1.83,0.48,1.15,1.00,0.75,1.09,1.09,0.91,0.97,0.99,0.84,0.53,0.75,0.55,0.44,0.40,0.27,0.96,0.85,0.87,-2.49,1.02,1.04,0.78,1.04,0.96,0.97,0.89,0.95,0.86,0.88,0.78,0.76,0.78,0.72,0.67,0.75,0.65,0.61,0.54,1.33,0.51,0.54,0.43,0.58,0.50,0.55,0.48,0.63,0.60,0.60,0.67,0.57,0.53,0.52,0.46
Average Basic Shares Outstanding,861.00M,864.00M,865.00M,866.00M,866.00M,865.00M,866.00M,866.00M,868.00M,869.00M,872.00M,874.00M,877.00M,880.00M,886.00M,889.00M,901.00M,895.00M,901.00M,906.00M,910.00M,913.00M,918.00M,921.00M,931.00M,935.00M,943.00M,952.00M,954.00M,961.00M,962.00M,962.00M,966.00M,977.00M,990.00M,992.00M,994.00M,994.00M,994.00M,995.00M,998.00M,997.00M,998.00M,997.00M,1.001B,1.006B,1.021B,1.037B,1.048B,1.051B,1.058B,1.067B,1.081B,1.081B,1.083B,1.096B,1.103B,1.108B,1.120B,1.131B,1.140B,1.127B,1.121B,1.133B,1.126B,1.120B,1.134B,1.131B,1.128B,1.118B,1.111B,1.118B,1.124B,1.126B,1.127B,1.129B,1.149B,1.132B,1.139B,1.196B,1.141B,1.089B,1.131B,1.085B
Average Diluted Shares Outstanding,869.00M,870.00M,869.00M,869.00M,870.00M,870.00M,870.00M,870.00M,872.00M,874.00M,876.00M,879.00M,881.00M,885.00M,890.00M,894.00M,901.00M,903.00M,908.00M,913.00M,915.00M,922.00M,927.00M,931.00M,936.00M,944.00M,952.00M,960.00M,963.00M,970.00M,971.00M,972.00M,976.00M,987.00M,1.00B,1.002B,1.003B,1.004B,1.003B,1.004B,1.004B,1.004B,1.004B,1.003B,1.004B,1.013B,1.029B,1.044B,1.054B,1.058B,1.066B,1.081B,1.086B,1.081B,1.094B,1.096B,1.103B,1.108B,1.120B,1.131B,1.140B,1.141B,1.136B,1.133B,1.143B,1.137B,1.134B,1.131B,1.131B,1.134B,1.131B,1.134B,1.132B,1.146B,1.145B,1.148B,1.149B,1.17B,1.158B,1.213B,1.257B,1.089B,1.131B,1.085B
