Other Noncash Items,53.00M,-1.289B,-851.00M,-181.00M,-1.00M,22.00M,73.00M,29.00M,-5.112B,-24.00M,-73.00M,-2.50B,-1.405B,-1.30B,-60.00M,-126.00M,-1.19B,-81.00M,-138.00M,-58.00M,-1.034B,-8.00M,-3.00M,39.00M,-28.00M,22.00M,-29.00M,-282.00M,832.00M,-395.00M,-228.00M,-163.00M,-1.31B,-16.00M,36.00M,2.00M,-3.279B,-27.00M,63.00M,-12.00M,94.00M,48.00M,22.00M,-31.00M,112.00M,-120.00M,59.00M,5.00M,103.00M,-138.00M,-265.00M,255.00M,1.085B,-1.319B,98.00M,298.00M,544.00M,-693.00M,-146.00M,146.00M,,,,,-527.00M,82.00M,445.00M,,756.00M,2.172B,-702.00M,702.00M,758.00M,722.00M,676.00M,636.00M,,,,
Change in Receivables,-1.56B,26.00M,-484.00M,1.301B,-1.517B,-174.00M,69.00M,1.201B,-1.84B,-320.00M,4.00M,1.134B,-1.486B,-272.00M,-28.00M,1.082B,-1.19B,-142.00M,117.00M,763.00M,-971.00M,-137.00M,-74.00M,659.00M,-932.00M,-125.00M,121.00M,421.00M,-592.00M,-22.00M,-95.00M,585.00M,-834.00M,-8.00M,-127.00M,312.00M,-489.00M,-85.00M,-135.00M,177.00M,-553.00M,-302.00M,102.00M,750.00M,1.307B,-1.146B,-94.00M,1.291B,-1.643B,-121.00M,-77.00M,270.00M,-96.00M,-191.00M,64.00M,163.00M,-579.00M,-345.00M,79.00M,56.00M,-498.00M,-228.00M,-10.00M,50.00M,-276.00M,-69.00M,-16.00M,97.00M,-16.00M,328.00M,-182.00M,182.00M,308.00M,-464.00M,145.00M,426.00M,-635.00M,-167.00M,90.00M,-139.00M
Change in Inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00M,-100.00M,54.00M,-94.00M
Change in Prepaid Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.00M,-724.00M,,,99.00M,-411.00M,37.00M,37.00M,-715.00M,-348.00M,37.00M,36.00M,4.00M,-98.00M,4.00M,3.00M,-49.00M,-225.00M,-216.00M,200.00M,-390.00M,-650.00M,160.00M,191.00M
Change in Payables and Accrued Expense,1.393B,-382.00M,199.00M,-1.237B,1.73B,78.00M,399.00M,-668.00M,1.063B,279.00M,164.00M,-707.00M,781.00M,153.00M,296.00M,-679.00M,540.00M,-13.00M,18.00M,-755.00M,883.00M,97.00M,-265.00M,-333.00M,942.00M,-50.00M,27.00M,-285.00M,306.00M,-69.00M,36.00M,-233.00M,288.00M,154.00M,83.00M,63.00M,-89.00M,-59.00M,84.00M,427.00M,-156.00M,-34.00M,-83.00M,64.00M,-330.00M,28.00M,-138.00M,571.00M,-510.00M,450.00M,-22.00M,153.00M,-344.00M,48.00M,232.00M,100.00M,126.00M,146.00M,-320.00M,262.00M,-99.00M,368.00M,-283.00M,259.00M,176.00M,164.00M,20.00M,-211.00M,-154.00M,227.00M,14.00M,-143.00M,-64.00M,117.00M,-249.00M,-117.00M,540.00M,166.00M,-301.00M,-88.00M
Change in Other Current Assets,-80.00M,380.00M,270.00M,128.00M,-545.00M,-46.00M,245.00M,1.10B,-1.135B,-269.00M,37.00M,383.00M,-365.00M,140.00M,95.00M,135.00M,-107.00M,220.00M,82.00M,219.00M,172.00M,209.00M,-276.00M,7.00M,-24.00M,26.00M,-36.00M,21.00M,57.00M,3.00M,-16.00M,-34.00M,-78.00M,80.00M,-32.00M,137.00M,-287.00M,99.00M,2.00M,-20.00M,-25.00M,60.00M,-17.00M,118.00M,-1.105B,1.144B,-28.00M,-155.00M,-39.00M,80.00M,-27.00M,-17.00M,36.00M,68.00M,-76.00M,54.00M,-159.00M,-46.00M,388.00M,30.00M,202.00M,16.00M,79.00M,93.00M,61.00M,183.00M,-104.00M,-127.00M,-89.00M,108.00M,-13.00M,397.00M,-456.00M,29.00M,412.00M,-89.00M,,,,
Change in Other Current Liabilities,-211.00M,336.00M,-30.00M,87.00M,135.00M,13.00M,46.00M,-24.00M,339.00M,-124.00M,-184.00M,-274.00M,-55.00M,-135.00M,-492.00M,136.00M,-220.00M,200.00M,-651.00M,665.00M,5.00M,105.00M,-22.00M,229.00M,14.00M,-7.00M,-286.00M,139.00M,10.00M,-108.00M,-73.00M,377.00M,98.00M,-133.00M,39.00M,182.00M,-63.00M,-332.00M,22.00M,89.00M,151.00M,129.00M,-222.00M,126.00M,-115.00M,-12.00M,12.00M,-69.00M,-108.00M,129.00M,-49.00M,84.00M,-305.00M,-59.00M,41.00M,203.00M,-120.00M,137.00M,-34.00M,178.00M,-577.00M,26.00M,-24.00M,68.00M,250.00M,-35.00M,-32.00M,72.00M,156.00M,12.00M,44.00M,207.00M,-751.00M,240.00M,283.00M,198.00M,-358.00M,32.00M,177.00M,69.00M
Change in Other Working Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-469.00M,469.00M,38.00M,86.00M,-420.00M,296.00M,-1.028B,715.00M,118.00M,374.00M,154.00M,-234.00M,117.00M,36.00M,-764.00M,322.00M,-159.00M,518.00M,,-212.00M,212.00M,,,,,,-361.00M,0.00,0.00,361.00M
Changes in Working Capital,-458.00M,360.00M,-45.00M,279.00M,-197.00M,-129.00M,759.00M,1.609B,-1.573B,-434.00M,21.00M,536.00M,-1.125B,-114.00M,-129.00M,674.00M,-977.00M,265.00M,-434.00M,892.00M,89.00M,274.00M,-637.00M,562.00M,0.00,-156.00M,-174.00M,296.00M,-219.00M,-196.00M,-148.00M,695.00M,-526.00M,93.00M,-37.00M,694.00M,-928.00M,-377.00M,-27.00M,673.00M,-583.00M,-147.00M,-220.00M,1.058B,-243.00M,14.00M,-248.00M,1.638B,-2.30B,538.00M,-644.00M,959.00M,-671.00M,-48.00M,-159.00M,816.00M,-1.036B,-117.00M,231.00M,900.00M,-719.00M,-463.00M,-84.00M,543.00M,-1.268B,217.00M,-254.00M,385.00M,-99.00M,365.00M,79.00M,646.00M,-1.012B,-303.00M,375.00M,618.00M,-1.316B,-719.00M,180.00M,300.00M
Cash from Operations,2.946B,1.486B,1.93B,2.277B,3.289B,2.222B,3.133B,4.067B,-2.939B,1.797B,2.382B,239.00M,1.11B,670.00M,2.023B,2.67B,1.015B,2.176B,1.488B,2.751B,1.535B,2.359B,-435.00M,2.267B,2.244B,1.629B,1.673B,1.758B,2.113B,1.253B,1.57B,2.28B,1.711B,2.048B,2.033B,1.281B,-88.00M,911.00M,1.463B,1.549B,1.052B,1.078B,959.00M,2.196B,1.478B,1.92B,1.723B,3.305B,-4.145B,1.672B,1.103B,2.493B,1.513B,112.00M,1.436B,2.528B,1.242B,475.00M,1.75B,2.326B,937.00M,972.00M,1.317B,2.105B,416.00M,1.581B,1.104B,1.475B,1.177B,1.489B,1.304B,1.718B,421.00M,814.00M,1.589B,1.706B,-233.00M,359.00M,1.318B,1.36B
Net Change in Capital Expenditures,-2.044B,-1.475B,-1.347B,-1.514B,-1.793B,-1.641B,-1.312B,-1.537B,-1.519B,-1.699B,-1.071B,-938.00M,-1.128B,-874.00M,-536.00M,-427.00M,-731.00M,-690.00M,-593.00M,-365.00M,-884.00M,-631.00M,-491.00M,-322.00M,-460.00M,-615.00M,-537.00M,-453.00M,-550.00M,-654.00M,-521.00M,-428.00M,-448.00M,-606.00M,-549.00M,-402.00M,-378.00M,-347.00M,-381.00M,-283.00M,-417.00M,-514.00M,-289.00M,-382.00M,-528.00M,-721.00M,-726.00M,-661.00M,-826.00M,-788.00M,-538.00M,-668.00M,-788.00M,-841.00M,-860.00M,-596.00M,-577.00M,-567.00M,-528.00M,-515.00M,-614.00M,-524.00M,-470.00M,-519.00M,-432.00M,-464.00M,-451.00M,-600.00M,-412.00M,-292.00M,-330.00M,-624.00M,-441.00M,-690.00M,-726.00M,-515.00M,-900.00M,-584.00M,-348.00M,-315.00M
Sale of PPE,4.00M,55.00M,2.00M,4.00M,-8.00M,10.00M,15.00M,20.00M,6.00M,4.00M,3.00M,11.00M,12.00M,65.00M,8.00M,3.00M,12.00M,6.00M,6.00M,2.00M,25.00M,18.00M,6.00M,4.00M,14.00M,66.00M,12.00M,12.00M,34.00M,29.00M,13.00M,19.00M,-2.00M,7.00M,11.00M,11.00M,10.00M,254.00M,20.00M,20.00M,20.00M,23.00M,11.00M,6.00M,43.00M,33.00M,14.00M,57.00M,42.00M,9.00M,14.00M,20.00M,30.00M,14.00M,21.00M,10.00M,-1.601B,575.00M,1.033B,20.00M,614.00M,521.00M,498.00M,569.00M,1.964B,32.00M,-574.00M,643.00M,67.00M,-959.00M,909.00M,72.00M,85.00M,34.00M,35.00M,11.00M,-1.20B,586.00M,357.00M,508.00M
Net Change in PP&E,4.00M,55.00M,2.00M,4.00M,-8.00M,10.00M,15.00M,20.00M,6.00M,4.00M,3.00M,11.00M,12.00M,65.00M,8.00M,3.00M,12.00M,6.00M,6.00M,2.00M,25.00M,18.00M,6.00M,4.00M,14.00M,66.00M,12.00M,12.00M,34.00M,29.00M,13.00M,19.00M,-2.00M,7.00M,11.00M,11.00M,10.00M,254.00M,20.00M,20.00M,20.00M,23.00M,11.00M,6.00M,43.00M,33.00M,14.00M,57.00M,42.00M,9.00M,14.00M,20.00M,30.00M,14.00M,21.00M,10.00M,9.00M,8.00M,-10.00M,20.00M,0.00,-3.00M,28.00M,50.00M,17.00M,32.00M,26.00M,43.00M,-345.00M,-1.251B,579.00M,-552.00M,-356.00M,-656.00M,-691.00M,-504.00M,-2.10B,2.00M,9.00M,193.00M
Net Divestitures (Acquisitions),0.00,-5.00M,0.00,-1.00M,0.00,0.00,-2.00M,0.00,-73.00M,-4.00M,-32.00M,-25.00M,-544.00M,0.00,3.00M,-6.00M,21.00M,-1.835B,-80.00M,-10.00M,-66.00M,0.00,0.00,-22.00M,-2.00M,-20.00M,0.00,0.00,0.00,0.00,0.00,-100.00M,-73.00M,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,-25.00M,-1.371B,-52.00M,-40.00M,-160.00M,9.00M,-22.00M,-65.00M,0.00,10.00M,-2.00M,,-14.00M,14.00M,-14.00M,,-33.00M,-94.00M,-267.00M,-72.00M,,,,
Total Net Change in Investments,-8.00M,233.00M,-4.00M,101.00M,-65.00M,-29.00M,-62.00M,69.00M,243.00M,88.00M,-18.00M,47.00M,1.123B,579.00M,-166.00M,-625.00M,226.00M,460.00M,-747.00M,-966.00M,276.00M,264.00M,-463.00M,-496.00M,991.00M,-84.00M,-498.00M,-400.00M,-17.00M,-19.00M,362.00M,302.00M,-68.00M,-328.00M,-142.00M,125.00M,-13.00M,123.00M,-104.00M,24.00M,-205.00M,37.00M,177.00M,-20.00M,411.00M,-66.00M,-199.00M,-424.00M,242.00M,445.00M,181.00M,-332.00M,157.00M,816.00M,85.00M,-338.00M,531.00M,2.017B,310.00M,-106.00M,-567.00M,-7.00M,-288.00M,-736.00M,-756.00M,165.00M,-289.00M,-85.00M,394.00M,-198.00M,-161.00M,-127.00M,438.00M,-74.00M,229.00M,-264.00M,835.00M,314.00M,-550.00M,619.00M
Net Other Investing Changes,14.00M,12.00M,-82.00M,-6.00M,35.00M,-19.00M,-13.00M,2.00M,-13.00M,21.00M,3.00M,-5.00M,1.00M,-3.00M,5.00M,-53.00M,122.00M,-124.00M,-5.00M,-18.00M,-13.00M,12.00M,-9.00M,-9.00M,-194.00M,43.00M,-77.00M,88.00M,105.00M,44.00M,98.00M,-52.00M,170.00M,-120.00M,-107.00M,-16.00M,157.00M,85.00M,107.00M,-11.00M,233.00M,-10.00M,82.00M,,,,,,36.00M,-36.00M,-35.00M,35.00M,-143.00M,30.00M,167.00M,-54.00M,1.595B,-663.00M,-1.037B,26.00M,-554.00M,-438.00M,-407.00M,-478.00M,-1.779B,-19.00M,534.00M,-639.00M,94.00M,345.00M,-937.00M,-21.00M,-596.00M,-15.00M,-79.00M,21.00M,1.446B,-779.00M,-309.00M,-372.00M
Cash from Investing,-2.034B,-1.18B,-1.431B,-1.416B,-1.831B,-1.679B,-1.374B,-1.446B,-1.356B,-1.59B,-1.115B,-910.00M,-536.00M,-233.00M,-686.00M,-1.108B,-350.00M,-2.183B,-1.419B,-1.357B,-662.00M,-337.00M,-957.00M,-845.00M,349.00M,-610.00M,-1.10B,-753.00M,-428.00M,-600.00M,-48.00M,-259.00M,-421.00M,-1.047B,-787.00M,-282.00M,-161.00M,115.00M,-358.00M,-250.00M,-369.00M,-464.00M,-19.00M,-396.00M,-486.00M,-754.00M,-911.00M,-1.028B,-506.00M,-370.00M,-378.00M,-945.00M,-794.00M,19.00M,-587.00M,-978.00M,-77.00M,-9.00M,-274.00M,-615.00M,-1.281B,-439.00M,-689.00M,-1.229B,-1.003B,-276.00M,-782.00M,-681.00M,129.00M,-1.09B,-533.00M,-700.00M,-547.00M,-839.00M,-808.00M,-819.00M,-64.00M,-463.00M,-850.00M,440.00M
Net Change in Long Term Debt,-282.00M,1.726B,-1.037B,1.702B,-615.00M,431.00M,-4.00M,-1.497B,5.199B,283.00M,2.026B,569.00M,427.00M,-61.00M,178.00M,1.578B,831.00M,144.00M,-797.00M,881.00M,-434.00M,521.00M,-248.00M,-8.00M,-14.00M,0.00,-111.00M,-1.65B,-4.00M,1.737B,-8.00M,4.00M,-9.00M,107.00M,91.00M,-101.00M,1.969B,-77.00M,-11.00M,-154.00M,-171.00M,-387.00M,-896.00M,2.67B,-512.00M,462.00M,1.202B,-57.00M,3.498B,316.00M,81.00M,1.00M,133.00M,421.00M,37.00M,-32.00M,-5.00M,-349.00M,196.00M,-16.00M,497.00M,-254.00M,82.00M,18.00M,-285.00M,-20.00M,-64.00M,-515.00M,-273.00M,-69.00M,-162.00M,-176.00M,232.00M,65.00M,472.00M,454.00M,279.00M,74.00M,2.00M,774.00M
Net Change in Short Term Debt,1.41B,-1.049B,1.166B,-1.217B,140.00M,-145.00M,-97.00M,165.00M,104.00M,456.00M,-1.372B,562.00M,601.00M,1.092B,-1.022B,-759.00M,-1.017B,1.227B,856.00M,1.463B,-1.066B,-30.00M,-87.00M,1.183B,-1.653B,608.00M,-427.00M,1.472B,-2.075B,198.00M,992.00M,885.00M,-1.293B,-62.00M,-125.00M,1.297B,-655.00M,-652.00M,198.00M,628.00M,-577.00M,-290.00M,-437.00M,-434.00M,-414.00M,-287.00M,-125.00M,-1.19B,2.513B,-316.00M,430.00M,-14.00M,-790.00M,629.00M,-177.00M,-175.00M,-1.008B,1.198B,-133.00M,-344.00M,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,1.128B,677.00M,129.00M,485.00M,-475.00M,286.00M,-101.00M,-1.332B,5.303B,739.00M,654.00M,1.131B,1.028B,1.031B,-844.00M,819.00M,-186.00M,1.371B,59.00M,2.344B,-1.50B,491.00M,-335.00M,1.175B,-1.667B,608.00M,-538.00M,-178.00M,-2.079B,1.935B,984.00M,889.00M,-1.302B,45.00M,-34.00M,1.196B,1.314B,-729.00M,187.00M,474.00M,-748.00M,-677.00M,-1.333B,2.236B,-926.00M,175.00M,1.077B,-1.247B,6.011B,0.00,511.00M,-13.00M,-657.00M,1.05B,-140.00M,-207.00M,-1.013B,849.00M,63.00M,-360.00M,497.00M,-254.00M,82.00M,18.00M,-285.00M,-20.00M,-64.00M,-515.00M,-273.00M,-69.00M,-162.00M,-176.00M,232.00M,65.00M,472.00M,454.00M,279.00M,74.00M,2.00M,774.00M
Common Stock Issuance,57.00M,32.00M,82.00M,47.00M,64.00M,51.00M,48.00M,77.00M,70.00M,45.00M,58.00M,74.00M,49.00M,49.00M,64.00M,83.00M,55.00M,54.00M,68.00M,72.00M,71.00M,54.00M,73.00M,76.00M,123.00M,75.00M,112.00M,181.00M,48.00M,59.00M,63.00M,131.00M,70.00M,57.00M,59.00M,104.00M,67.00M,45.00M,61.00M,45.00M,45.00M,36.00M,37.00M,31.00M,34.00M,37.00M,53.00M,45.00M,40.00M,59.00M,37.00M,38.00M,37.00M,38.00M,49.00M,40.00M,39.00M,40.00M,39.00M,46.00M,54.00M,35.00M,69.00M,35.00M,34.00M,38.00M,61.00M,21.00M,20.00M,23.00M,46.00M,27.00M,20.00M,32.00M,158.00M,18.00M,18.00M,-7.00M,53.00M,24.00M
Common Stock Payments,-253.00M,-248.00M,-257.00M,-246.00M,-241.00M,-249.00M,-260.00M,-261.00M,-467.00M,-448.00M,-460.00M,-438.00M,-671.00M,-678.00M,-689.00M,-640.00M,-674.00M,-680.00M,-672.00M,-676.00M,-633.00M,-683.00M,-709.00M,-670.00M,-972.00M,-999.00M,-842.00M,-1.025B,-219.00M,-517.00M,-338.00M,-547.00M,-492.00M,-1.121B,-547.00M,-505.00M,-218.00M,-156.00M,-165.00M,-278.00M,-166.00M,-148.00M,-131.00M,-116.00M,-286.00M,-990.00M,-1.124B,-1.17B,-570.00M,-547.00M,-853.00M,-669.00M,-419.00M,-620.00M,-554.00M,-867.00M,-525.00M,-549.00M,-620.00M,-785.00M,-218.00M,-347.00M,-331.00M,-414.00M,-42.00M,-158.00M,-44.00M,-154.00M,-32.00M,-56.00M,-153.00M,-363.00M,-303.00M,-681.00M,-413.00M,-622.00M,-582.00M,-478.00M,-281.00M,-4.124B
Net Common Equity Issued (Purchased),-196.00M,-216.00M,-175.00M,-199.00M,-177.00M,-198.00M,-212.00M,-184.00M,-397.00M,-403.00M,-402.00M,-364.00M,-622.00M,-629.00M,-625.00M,-557.00M,-619.00M,-626.00M,-604.00M,-604.00M,-562.00M,-629.00M,-636.00M,-594.00M,-849.00M,-924.00M,-730.00M,-844.00M,-171.00M,-458.00M,-275.00M,-416.00M,-422.00M,-1.064B,-488.00M,-401.00M,-151.00M,-111.00M,-104.00M,-233.00M,-121.00M,-112.00M,-94.00M,-85.00M,-252.00M,-953.00M,-1.071B,-1.125B,-530.00M,-488.00M,-816.00M,-631.00M,-382.00M,-582.00M,-505.00M,-827.00M,-486.00M,-509.00M,-581.00M,-739.00M,-164.00M,-312.00M,-262.00M,-379.00M,-8.00M,-120.00M,17.00M,-133.00M,-12.00M,-33.00M,-107.00M,-336.00M,-283.00M,-649.00M,-255.00M,-604.00M,-564.00M,-485.00M,-228.00M,-4.10B
Total Common Dividends Paid,-797.00M,-798.00M,-800.00M,-799.00M,-751.00M,-753.00M,-753.00M,-754.00M,-686.00M,-696.00M,-694.00M,-695.00M,-656.00M,-660.00M,-661.00M,-666.00M,-626.00M,-629.00M,-634.00M,-636.00M,-586.00M,-588.00M,-596.00M,-596.00M,-558.00M,-562.00M,-568.00M,-572.00M,-530.00M,-532.00M,-534.00M,-534.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-797.00M,-798.00M,-800.00M,-799.00M,-751.00M,-753.00M,-753.00M,-754.00M,-686.00M,-696.00M,-694.00M,-695.00M,-656.00M,-660.00M,-661.00M,-666.00M,-626.00M,-629.00M,-634.00M,-636.00M,-586.00M,-588.00M,-596.00M,-596.00M,-558.00M,-562.00M,-568.00M,-572.00M,-530.00M,-532.00M,-534.00M,-534.00M,-497.00M,-493.00M,-504.00M,-503.00M,-455.00M,-452.00M,-455.00M,-456.00M,-438.00M,-437.00M,-438.00M,-438.00M,-438.00M,-444.00M,-451.00M,-886.00M,-5.00M,-432.00M,-436.00M,-830.00M,-8.00M,-401.00M,-405.00M,-763.00M,1.00M,-359.00M,-362.00M,-671.00M,1.00M,-306.00M,-313.00M,-590.00M,-213.00M,-271.00M,-240.00M,-232.00M,-202.00M,-213.00M,-212.00M,-213.00M,-212.00M,-214.00M,-215.00M,-215.00M,-192.00M,-194.00M,-194.00M,-206.00M
Cash from Other Financing Activities,-8.00M,17.00M,7.00M,-182.00M,-29.00M,12.00M,9.00M,-280.00M,-19.00M,2.00M,10.00M,-196.00M,-109.00M,61.00M,-14.00M,-36.00M,26.00M,-24.00M,28.00M,-205.00M,-100.00M,-55.00M,55.00M,-105.00M,-17.00M,203.00M,-359.00M,-252.00M,-104.00M,-36.00M,-68.00M,112.00M,-157.00M,-1.00M,-192.00M,-45.00M,-115.00M,-1.00M,-17.00M,-42.00M,-77.00M,0.00,-27.00M,-256.00M,-49.00M,171.00M,-199.00M,-84.00M,-46.00M,2.00M,,,-27.00M,3.00M,,,-6.00M,-4.00M,1.00M,1.00M,-3.00M,0.00,-65.00M,36.00M,0.00,0.00,-27.00M,1.00M,0.00,0.00,-82.00M,,0.00,0.00,-69.00M,,-9.00M,4.00M,-122.00M,
