Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12
Other Current Assets,917.00M,1.491B,1.374B,1.333B,856.00M,1.336B,1.27B,1.517B,899.00M,1.512B,1.237B,1.301B,612.00M,1.223B,1.34B,1.404B,1.04B,1.283B,1.374B,1.363B,930.00M,1.334B,1.259B,1.096B,553.00M,930.00M,1.032B,950.00M,580.00M,1.214B,1.246B,1.121B,807.00M,957.00M,701.00M,698.00M,1.202B,713.00M,805.00M,783.00M,668.00M,924.00M,1.311B,1.431B,1.108B,1.079B,989.00M,881.00M,742.00M,796.00M,841.00M,736.00M,695.00M,-3.816B,-2.444B,-2.407B,1.058B,-2.874B,-2.004B,-2.185B,-1.824B,-2.573B,-2.217B,-2.185B,-2.075B,-1.344B,-811.00M,-952.00M,1.10B,-1.027B,-908.00M,614.00M,1.195B,-1.194B,-925.00M,730.00M,624.00M,,,,2.44B
Total Current Assets,17.10B,14.18B,14.84B,14.90B,16.21B,13.99B,13.87B,13.62B,15.72B,12.91B,12.39B,11.49B,13.85B,12.85B,13.12B,13.91B,13.21B,13.58B,13.77B,13.92B,11.22B,13.32B,12.34B,14.62B,13.39B,13.76B,13.23B,14.48B,15.59B,16.34B,14.70B,13.47B,12.28B,12.63B,12.95B,12.62B,11.57B,10.76B,11.02B,10.06B,9.275B,9.566B,10.18B,11.37B,8.845B,10.07B,9.924B,9.602B,11.76B,9.542B,9.462B,9.522B,9.377B,10.14B,10.52B,10.84B,10.73B,11.43B,12.47B,12.60B,12.60B,11.07B,10.61B,10.42B,9.959B,9.978B,9.317B,8.954B,8.738B,8.316B,7.938B,7.438B,7.597B,7.684B,7.759B,7.272B,7.124B,9.107B,9.256B,9.08B,10.19B
Land and Improvements,2.087B,2.068B,2.073B,2.056B,2.00B,1.783B,1.777B,1.782B,1.582B,1.568B,1.591B,1.48B,1.397B,1.392B,1.29B,1.285B,1.263B,1.185B,1.19B,1.171B,1.145B,1.155B,1.164B,1.167B,1.163B,1.128B,1.122B,1.121B,1.122B,1.119B,1.101B,1.11B,1.114B,1.118B,1.094B,1.093B,1.081B,1.079B,1.068B,1.073B,1.079B,1.085B,1.075B,1.066B,1.068B,1.08B,1.086B,1.072B,1.056B,1.049B,1.031B,1.059B,1.026B,1.007B,984.00M,991.00M,,895.00M,775.00M,759.00M,760.00M,726.00M,,,721.00M,,,,704.00M,,,,2.739B,,,,649.00M,,,,
Buildings and Improvements,9.944B,9.515B,9.421B,9.305B,9.131B,8.71B,8.309B,8.199B,7.969B,7.585B,7.289B,7.147B,7.051B,6.991B,6.936B,6.852B,6.73B,6.563B,6.544B,6.498B,6.542B,6.475B,6.46B,6.392B,6.376B,6.332B,6.271B,6.266B,6.187B,6.147B,6.079B,6.09B,6.038B,6.013B,6.052B,6.03B,5.962B,5.952B,5.885B,5.865B,5.876B,5.793B,5.643B,5.556B,5.538B,2.877B,2.903B,5.514B,5.441B,5.325B,5.238B,5.201B,2.667B,5.088B,4.995B,4.956B,,4.701B,4.593B,4.582B,4.511B,4.364B,,,4.302B,,,,2.049B,,,,1.772B,,,,3.618B,,,,
"Machine, Furniture & Equipment",16.06B,14.55B,14.32B,14.00B,13.93B,12.12B,11.95B,11.79B,11.32B,10.74B,10.55B,10.37B,10.20B,10.02B,9.919B,9.866B,9.726B,9.484B,9.338B,9.207B,9.291B,9.026B,9.008B,8.941B,8.834B,8.842B,8.769B,8.828B,8.754B,8.607B,8.52B,8.505B,8.489B,8.337B,8.329B,8.298B,8.208B,8.206B,8.11B,7.926B,7.962B,7.971B,7.467B,7.352B,7.34B,7.454B,7.521B,26.79B,7.236B,25.99B,25.62B,25.27B,6.903B,24.80B,24.20B,23.68B,,22.83B,22.10B,21.96B,21.67B,22.24B,,,21.21B,,,,22.07B,,,,18.79B,,,,4.902B,,,,
Other Properties,2.856B,2.504B,2.477B,2.543B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46B,19.50B,19.35B,,19.15B,18.92B,18.96B,20.07B,22.66B,22.17B,,18.84B,,,,20.63B,,,,,,,,,,,,-610.00M,,,,,,,,,,,,11.91B,,,,
Construction in Progress,1.983B,3.195B,2.847B,2.447B,2.112B,3.692B,2.915B,2.673B,2.239B,2.482B,1.598B,1.115B,735.00M,596.00M,393.00M,272.00M,273.00M,475.00M,398.00M,286.00M,299.00M,287.00M,209.00M,184.00M,244.00M,267.00M,348.00M,452.00M,470.00M,498.00M,376.00M,374.00M,303.00M,422.00M,417.00M,388.00M,265.00M,215.00M,189.00M,453.00M,488.00M,553.00M,1.001B,933.00M,944.00M,927.00M,1.014B,892.00M,889.00M,1.098B,1.00B,827.00M,715.00M,547.00M,497.00M,359.00M,,568.00M,591.00M,501.00M,539.00M,750.00M,,,680.00M,,,,535.00M,,,,761.00M,,,,918.00M,,,,
Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.00M,78.00M,89.00M,,102.00M,110.00M,119.00M,122.00M,127.00M,134.00M,142.00M,145.00M,156.00M,158.00M,132.00M,136.00M,143.00M,144.00M,,153.00M,,,,142.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,62.58B,60.36B,59.03B,57.91B,54.49B,53.05B,51.20B,50.31B,48.73B,47.20B,45.59B,44.51B,43.67B,43.18B,42.60B,42.31B,41.92B,41.44B,40.94B,40.47B,40.62B,39.94B,39.66B,39.29B,39.15B,38.95B,38.50B,38.31B,38.04B,37.69B,37.10B,36.88B,36.54B,36.28B,35.97B,35.64B,35.22B,35.04B,34.88B,34.81B,34.81B,34.71B,34.27B,34.00B,35.10B,35.14B,34.84B,34.27B,33.61B,33.46B,32.88B,32.35B,32.08B,31.44B,30.68B,29.98B,15.29B,29.00B,28.06B,27.80B,27.48B,28.08B,27.66B,27.34B,26.30B,26.58B,26.23B,25.83B,25.36B,25.13B,24.98B,24.54B,24.06B,23.85B,23.23B,22.38B,21.99B,21.16B,20.70B,20.48B,20.47B
Accumulated D&A,-29.24B,-28.79B,-28.45B,-28.12B,-27.91B,-27.67B,-27.30B,-27.07B,-26.61B,-26.22B,-25.75B,-25.28B,-24.87B,-24.70B,-24.35B,-24.02B,-23.57B,-23.27B,-22.98B,-22.57B,-22.34B,-22.10B,-21.88B,-21.52B,-21.19B,-20.95B,-20.62B,-20.42B,-20.15B,-19.86B,-19.50B,-19.27B,-18.92B,-18.70B,-18.48B,-18.24B,-17.83B,-17.57B,-17.27B,-17.05B,-16.83B,-16.62B,-16.29B,-16.00B,-16.83B,-16.78B,-16.62B,-16.35B,-15.95B,-16.13B,-15.90B,-15.62B,-15.30B,-15.09B,-14.77B,-14.54B,,-14.11B,-13.90B,-13.74B,-13.50B,-13.86B,-13.59B,-13.33B,-13.01B,-12.65B,-12.36B,-12.02B,-11.75B,-11.52B,-11.28B,-10.88B,-10.62B,-10.45B,-10.17B,-9.911B,-9.665B,-9.442B,-9.245B,-9.016B,-8.891B
Net PP&E,33.34B,31.58B,30.57B,29.79B,26.58B,25.38B,23.90B,23.24B,22.12B,20.99B,19.84B,19.22B,18.80B,18.49B,18.25B,18.28B,18.35B,18.16B,17.97B,17.90B,18.28B,17.84B,17.79B,17.77B,17.96B,17.99B,17.88B,17.89B,17.89B,17.83B,17.60B,17.61B,17.62B,17.58B,17.49B,17.41B,17.39B,17.47B,17.62B,17.76B,17.98B,18.09B,17.97B,18.00B,18.26B,18.36B,18.21B,17.92B,17.66B,17.33B,16.99B,16.74B,16.78B,16.35B,15.90B,15.45B,15.29B,14.89B,14.15B,14.06B,13.97B,14.22B,14.07B,14.01B,13.30B,13.93B,13.87B,13.81B,13.61B,13.61B,13.70B,13.65B,13.44B,13.40B,13.06B,12.46B,12.33B,11.72B,11.45B,11.46B,11.58B
Goodwill,3.813B,3.783B,3.811B,3.813B,3.811B,3.825B,3.837B,3.893B,3.872B,3.838B,3.845B,3.777B,3.757B,3.436B,3.427B,3.44B,3.419B,3.442B,2.214B,2.14B,2.184B,2.154B,2.202B,2.208B,2.19B,2.18B,2.149B,2.151B,2.173B,2.17B,2.147B,2.177B,2.101B,2.066B,2.101B,2.107B,2.081B,2.085B,2.05B,2.07B,2.089B,2.111B,1.991B,1.964B,1.986B,2.576B,2.616B,2.607B,2.577B,2.58B,2.553B,2.543B,2.533B,2.484B,2.539B,2.501B,2.549B,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,2.167B,2.131B,2.121B,2.093B,2.076B,2.07B,2.028B,2.025B,1.964B,1.897B,1.829B,1.78B,1.758B,1.537B,1.55B,1.569B,1.549B,1.523B,878.00M,844.00M,847.00M,828.00M,830.00M,796.00M,775.00M,771.00M,678.00M,654.00M,603.00M,614.00M,620.00M,634.00M,585.00M,622.00M,593.00M,599.00M,599.00M,609.00M,628.00M,628.00M,596.00M,509.00M,497.00M,509.00M,511.00M,575.00M,604.00M,612.00M,628.00M,650.00M,672.00M,703.00M,688.00M,712.00M,737.00M,756.00M,684.00M,3.129B,1.965B,1.942B,1.924B,1.309B,1.314B,1.317B,1.883B,,,,1.18B,,,,,,,,,,,,
Goodwill and Intangibles,5.98B,5.914B,5.932B,5.906B,5.887B,5.895B,5.865B,5.918B,5.836B,5.735B,5.674B,5.557B,5.515B,4.973B,4.977B,5.009B,4.968B,4.965B,3.092B,2.984B,3.031B,2.982B,3.032B,3.004B,2.965B,2.951B,2.827B,2.805B,2.776B,2.784B,2.767B,2.811B,2.686B,2.688B,2.694B,2.706B,2.68B,2.694B,2.678B,2.698B,2.685B,2.62B,2.488B,2.473B,2.497B,3.151B,3.22B,3.219B,3.205B,3.23B,3.225B,3.246B,3.221B,3.196B,3.276B,3.257B,3.233B,3.129B,1.965B,1.942B,1.924B,1.309B,1.314B,1.317B,1.883B,,,,1.18B,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.00M,465.00M,450.00M,,474.00M,431.00M,394.00M,374.00M,,,,471.00M,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.00M,248.00M,275.00M,,313.00M,312.00M,337.00M,337.00M,362.00M,379.00M,429.00M,476.00M,,,,431.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,,,,,,,,,,,,,,,,,,455.00M,435.00M,620.00M,,441.00M,342.00M,305.00M,323.00M,337.00M,331.00M,488.00M,535.00M,,,,483.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,330.00M,194.00M,143.00M,153.00M,141.00M,193.00M,210.00M,264.00M,266.00M,318.00M,362.00M,526.00M,591.00M,456.00M,310.00M,328.00M,255.00M,656.00M,821.00M,755.00M,1.219B,,,,110.00M,973.00M,963.00M,874.00M,684.00M,,,,118.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,1.106B,1.415B,1.297B,1.308B,1.203B,1.231B,1.373B,1.423B,1.636B,1.405B,1.453B,1.578B,1.622B,1.571B,1.678B,1.634B,1.528B,1.182B,1.165B,1.157B,1.691B,1.322B,1.359B,1.387B,1.466B,1.465B,1.476B,1.469B,1.383B,2.107B,2.111B,2.065B,1.509B,2.11B,1.771B,1.588B,1.961B,1.673B,1.64B,1.651B,1.607B,1.571B,1.517B,1.503B,1.786B,1.568B,1.737B,6.278B,1.562B,3.923B,3.408B,3.475B,1.415B,6.482B,5.17B,5.241B,5.226B,5.628B,4.573B,4.53B,4.524B,4.369B,3.859B,3.816B,4.594B,4.464B,4.049B,3.988B,2.827B,4.022B,3.805B,3.637B,3.601B,3.534B,2.971B,2.267B,2.209B,584.00M,379.00M,376.00M,1.257B
Total Long Term Assets,40.75B,39.10B,37.94B,37.16B,33.81B,32.70B,31.35B,30.84B,29.86B,28.45B,27.33B,26.89B,26.53B,25.49B,25.22B,25.26B,25.10B,25.42B,23.48B,23.42B,24.22B,22.59B,22.52B,22.46B,22.82B,23.72B,23.48B,23.52B,23.27B,22.72B,22.48B,22.49B,22.42B,22.61B,22.20B,21.98B,22.03B,22.15B,22.24B,22.44B,22.61B,22.64B,22.36B,22.40B,23.03B,28.09B,28.13B,27.87B,27.28B,24.95B,24.05B,23.85B,23.83B,26.03B,24.35B,23.95B,24.22B,23.65B,20.69B,20.53B,20.42B,19.90B,19.24B,19.14B,19.78B,18.40B,17.92B,17.80B,17.62B,17.63B,17.50B,17.29B,17.04B,16.94B,16.03B,14.73B,14.54B,12.30B,11.83B,11.84B,12.84B
Total Assets,57.86B,53.28B,52.79B,52.06B,50.02B,46.69B,45.22B,44.46B,45.57B,41.36B,39.72B,38.38B,40.38B,38.34B,38.34B,39.17B,38.31B,39.00B,37.25B,37.33B,35.44B,35.91B,34.86B,37.08B,36.21B,37.48B,36.70B,38.00B,38.86B,39.06B,37.18B,35.96B,34.70B,35.24B,35.15B,34.59B,33.60B,32.91B,33.27B,32.50B,31.88B,32.21B,32.54B,33.77B,31.88B,38.16B,38.06B,37.47B,39.04B,34.50B,33.51B,33.38B,33.21B,36.17B,34.87B,34.79B,34.95B,35.08B,33.17B,33.13B,33.03B,30.97B,29.86B,29.56B,29.73B,28.37B,27.24B,26.75B,26.36B,25.95B,25.44B,24.73B,24.64B,24.62B,23.79B,22.00B,21.66B,21.41B,21.08B,20.92B,23.03B
Accounts Payable,5.555B,4.218B,4.291B,3.907B,5.188B,3.689B,3.785B,3.501B,3.934B,2.808B,2.648B,2.404B,3.042B,2.287B,2.405B,2.04B,2.587B,2.058B,2.15B,2.055B,2.754B,2.112B,2.106B,2.126B,2.478B,1.817B,2.008B,1.956B,2.278B,1.863B,2.046B,2.00B,2.30B,1.974B,2.078B,2.017B,1.974B,1.84B,1.708B,1.788B,1.766B,1.486B,1.517B,1.677B,1.855B,2.01B,2.284B,1.946B,1.819B,1.62B,1.664B,1.797B,1.841B,2.371B,2.36B,2.227B,1.806B,2.374B,2.131B,2.192B,2.266B,1.905B,2.022B,2.108B,2.003B,2.118B,1.943B,1.944B,1.908B,1.997B,1.982B,1.756B,1.899B,1.97B,1.829B,1.559B,1.674B,1.433B,1.267B,1.568B,1.295B
Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,440.00M,0.00,0.00,0.00,400.00M,0.00,0.00,0.00,364.00M,0.00,0.00,0.00,315.00M,0.00,0.00,0.00,282.00M,0.00,0.00,0.00,,,,,,,,,,0.00,0.00,0.00,361.00M
Current Tax Payable,,,,,,,,,,,,,,164.00M,133.00M,538.00M,,,,451.00M,,,,496.00M,,237.00M,221.00M,589.00M,,391.00M,390.00M,567.00M,,,,307.00M,,129.00M,291.00M,348.00M,,,,,,,,359.00M,,563.00M,108.00M,539.00M,,,,476.00M,180.00M,0.00,70.00M,354.00M,,,,,,357.00M,,381.00M,,,139.00M,300.00M,,698.00M,497.00M,329.00M,,396.00M,367.00M,430.00M,
Total Payables,5.555B,4.218B,4.291B,3.907B,5.188B,3.689B,3.785B,3.501B,3.934B,2.808B,2.648B,2.404B,3.042B,2.451B,2.538B,2.578B,2.587B,2.058B,2.15B,2.506B,2.754B,2.112B,2.106B,2.622B,2.478B,2.054B,2.229B,2.545B,2.278B,2.254B,2.436B,2.567B,2.30B,1.974B,2.078B,2.324B,1.974B,1.969B,1.999B,2.136B,1.766B,1.486B,1.517B,1.677B,1.855B,2.01B,2.284B,2.305B,2.259B,2.183B,1.772B,2.336B,2.241B,2.371B,2.36B,2.703B,2.35B,2.374B,2.201B,2.546B,2.581B,1.905B,2.022B,2.108B,2.285B,2.475B,1.943B,2.325B,1.908B,1.997B,2.121B,2.056B,1.899B,2.668B,2.326B,1.888B,1.674B,1.829B,1.634B,1.998B,1.656B
Accrued Expenses,2.552B,2.483B,2.743B,2.913B,3.047B,2.748B,2.549B,2.523B,2.608B,2.439B,2.293B,2.27B,2.317B,2.27B,2.149B,2.131B,2.253B,2.317B,2.148B,2.142B,2.373B,2.178B,2.06B,2.335B,2.325B,2.035B,1.858B,1.903B,1.927B,857.00M,779.00M,772.00M,1.843B,765.00M,768.00M,752.00M,2.23B,1.799B,1.909B,1.788B,757.00M,1.787B,1.688B,1.588B,1.436B,1.771B,1.67B,1.656B,1.414B,1.728B,1.614B,1.473B,1.303B,1.65B,1.625B,1.574B,1.283B,1.681B,1.631B,1.478B,1.197B,1.887B,1.678B,1.452B,1.166B,1.714B,1.513B,1.34B,,1.816B,1.672B,1.474B,,1.793B,1.629B,1.398B,,1.74B,1.586B,1.337B,998.00M
Payables and Accrued Expenses,8.107B,6.701B,7.034B,6.82B,8.235B,6.437B,6.334B,6.024B,6.542B,5.247B,4.941B,4.674B,5.359B,4.721B,4.687B,4.709B,4.84B,4.375B,4.298B,4.648B,5.127B,4.29B,4.166B,4.957B,4.803B,4.089B,4.087B,4.448B,4.205B,3.111B,3.215B,3.339B,4.143B,2.739B,2.846B,3.076B,4.204B,3.768B,3.908B,3.924B,2.523B,3.273B,3.205B,3.265B,3.291B,3.781B,3.954B,3.961B,3.673B,3.911B,3.386B,3.809B,3.544B,4.021B,3.985B,4.277B,3.633B,4.055B,3.832B,4.024B,3.778B,3.792B,3.70B,3.56B,3.451B,4.189B,3.456B,3.665B,1.908B,3.813B,3.793B,3.53B,1.899B,4.461B,3.955B,3.286B,1.674B,3.569B,3.22B,3.335B,2.654B
Current Provisions - Legal & Other,914.00M,756.00M,790.00M,783.00M,810.00M,697.00M,737.00M,732.00M,705.00M,713.00M,705.00M,664.00M,670.00M,655.00M,652.00M,663.00M,657.00M,594.00M,621.00M,636.00M,656.00M,567.00M,660.00M,720.00M,719.00M,726.00M,749.00M,762.00M,763.00M,,,,781.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.00M,321.00M,0.00,,955.00M,904.00M,898.00M,0.00
Other Current Borrowings,3.42B,2.161B,2.952B,2.789B,2.805B,,,,,4.555B,3.817B,4.302B,3.681B,3.82B,2.816B,3.869B,3.018B,4.557B,3.252B,3.163B,923.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00M,71.00M,249.00M,,263.00M,545.00M,346.00M,512.00M
Current Portion of Long Term Debt,3.42B,2.161B,2.952B,2.789B,2.805B,3.20B,2.591B,2.683B,4.011B,4.555B,3.817B,4.302B,3.681B,3.82B,2.816B,3.869B,3.018B,4.557B,3.252B,3.163B,923.00M,2.393B,1.902B,2.222B,48.00M,1.703B,1.086B,1.615B,1.781B,3.859B,1.911B,919.00M,33.00M,1.31B,1.374B,1.554B,355.00M,994.00M,1.637B,1.406B,853.00M,1.397B,2.017B,3.346B,2.074B,2.895B,3.621B,2.508B,3.512B,1.374B,1.487B,976.00M,983.00M,1.65B,545.00M,693.00M,821.00M,1.85B,865.00M,840.00M,1.187B,616.00M,805.00M,683.00M,674.00M,645.00M,549.00M,598.00M,1.107B,1.292B,123.00M,276.00M,518.00M,682.00M,392.00M,249.00M,623.00M,1.218B,1.449B,1.244B,512.00M
Current Capital Lease Obligation,538.00M,500.00M,487.00M,492.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
