Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-03
Other Current Assets,83.00M,83.76M,73.26M,86.47M,75.44M,75.65M,74.03M,57.37M,32.14M,,37.22M,36.92M,27.54M,32.69M,30.74M,40.33M,,,,,,,,,31.47M,14.94M,37.38M,,14.22M,12.84M
Total Current Assets,533.19M,553.55M,528.31M,765.62M,883.91M,872.91M,773.62M,813.19M,752.15M,675.75M,642.64M,612.41M,649.26M,695.45M,634.44M,676.01M,609.30M,644.30M,671.08M,684.91M,678.60M,1.036B,1.026B,842.70M,668.03M,699.88M,633.25M,678.02M,575.03M,559.89M
Other Properties,,,,53.68M,,,,44.51M,,,,40.39M,,,,48.34M,,,,44.02M,,,,215.99M,,,,298.95M,,349.69M
Leases,,,,3.592M,,,,3.790M,,,,3.387M,,,,6.866M,,,,6.835M,,,,8.213M,,,,8.832M,,8.669M
Gross PP&E,,,,57.27M,,,,48.30M,,,,43.78M,,,,55.21M,,,,50.86M,,,,224.21M,,,,307.78M,,358.36M
Accumulated D&A,,,,-37.90M,,,,-33.67M,,,,-27.52M,,,,-35.91M,,,,-32.07M,,,,-64.33M,,,,-53.87M,,-66.39M
Net PP&E,23.90M,26.88M,28.93M,19.37M,18.44M,15.31M,17.65M,14.63M,15.87M,16.53M,16.05M,16.26M,18.37M,19.20M,19.42M,19.29M,17.38M,17.77M,18.86M,18.78M,18.70M,17.58M,18.78M,159.87M,268.54M,265.70M,258.06M,253.91M,365.32M,291.96M
Goodwill,,,,254.58M,,,,232.83M,,,,216.86M,,,,216.10M,,,,219.10M,,,,238.87M,,,,252.32M,,255.59M
Other Intangible Assets,,,,99.41M,,,,78.41M,,,,51.58M,,,,50.35M,,,,55.80M,,,,127.46M,,,,187.92M,,295.52M
Goodwill and Intangibles,340.23M,337.00M,344.60M,354.00M,358.86M,320.44M,310.75M,311.23M,296.15M,295.04M,283.30M,268.44M,266.13M,264.69M,267.34M,266.46M,258.60M,263.95M,276.68M,274.90M,296.08M,311.46M,325.80M,366.33M,387.62M,407.68M,420.31M,440.24M,454.52M,551.11M
Long Term Investments,28.16M,27.84M,28.04M,27.63M,27.15M,28.12M,27.45M,28.12M,9.427M,9.796M,11.91M,11.67M,8.792M,8.695M,5.067M,5.430M,5.982M,7.298M,7.720M,7.593M,8.064M,8.296M,8.556M,8.345M,8.564M,8.759M,8.673M,8.857M,8.995M,0.00
Long Term Receivables,0.8589M,1.159M,1.155M,2.319M,2.943M,,,1.809M,,,,,,,,,,,,,,,,10.11M,10.60M,10.37M,9.969M,10.87M,10.08M,6.495M
Derivative Instruments,20.56M,25.65M,21.89M,6.932M,38.27M,18.13M,65.47M,50.07M,4.407M,2.149M,3.482M,2.257M,5.763M,2.426M,9.578M,2.607M,2.716M,3.251M,1.918M,0.8605M,3.295M,9.524M,20.13M,28.67M,12.56M,11.16M,27.64M,30.81M,12.13M,15.36M
Long Term Deferred Assets,2.637M,2.810M,3.147M,0.8179M,5.516M,2.300M,1.267M,7.317M,12.49M,19.60M,12.87M,17.26M,6.825M,14.64M,14.15M,31.55M,22.54M,14.61M,5.912M,21.00M,17.71M,7.536M,0.00,1.516M,25.60M,17.75M,20.82M,24.46M,36.35M,78.64M
Other Long Term Assets,43.51M,204.95M,214.57M,41.48M,35.12M,35.35M,30.93M,13.67M,12.91M,,,,,,,,1.791M,3.610M,8.096M,16.12M,16.15M,16.78M,17.46M,68.51M,68.26M,65.25M,57.97M,57.52M,56.28M,44.36M
Total Long Term Assets,459.85M,626.29M,642.33M,452.55M,486.29M,419.64M,453.51M,426.85M,351.26M,350.77M,334.66M,315.88M,305.89M,309.64M,315.56M,325.34M,309.01M,310.49M,319.19M,339.26M,360.01M,371.17M,390.74M,643.36M,781.74M,786.67M,803.43M,826.67M,943.67M,987.94M
Total Assets,993.04M,1.180B,1.171B,1.218B,1.370B,1.293B,1.227B,1.240B,1.103B,1.027B,977.30M,928.29M,955.14M,1.005B,950.00M,1.001B,918.31M,954.79M,990.27M,1.024B,1.039B,1.407B,1.417B,1.486B,1.450B,1.487B,1.437B,1.505B,1.519B,1.548B
Accounts Payable,244.07M,299.58M,237.07M,279.97M,553.80M,493.35M,481.57M,172.46M,468.67M,423.92M,387.26M,167.67M,395.58M,412.71M,381.35M,393.88M,316.21M,376.61M,393.09M,402.64M,415.37M,421.75M,377.93M,439.19M,379.76M,363.07M,285.71M,297.03M,254.88M,288.04M
Current Tax Payable,16.54M,14.42M,31.80M,26.11M,6.564M,5.121M,1.097M,16.48M,6.163M,4.660M,3.655M,24.86M,6.161M,2.438M,2.216M,7.155M,15.42M,8.625M,7.200M,10.37M,8.505M,7.068M,4.921M,5.681M,7.584M,4.893M,4.653M,5.061M,4.714M,4.829M
Other Payables,40.79M,35.73M,37.11M,39.92M,,,,48.96M,0.7865M,0.2066M,5.328M,33.45M,0.4695M,0.3811M,3.245M,8.669M,1.979M,0.3687M,16.32M,22.83M,4.238M,2.851M,22.99M,31.29M,1.650M,0.5002M,14.88M,28.02M,,2.969M
Total Payables,301.40M,349.73M,305.98M,346.00M,560.37M,498.47M,482.67M,237.90M,475.62M,428.79M,396.24M,225.99M,402.22M,415.53M,386.82M,409.71M,333.60M,385.60M,416.61M,435.85M,428.11M,431.67M,405.84M,476.16M,388.99M,368.46M,305.24M,330.12M,259.59M,295.83M
Accrued Expenses,47.78M,75.63M,66.63M,83.91M,,,,105.10M,,,,105.55M,,,,,,,,,,,,,,,,,,
Payables and Accrued Expenses,349.18M,425.36M,372.61M,429.91M,560.37M,498.47M,482.67M,343.01M,475.62M,428.79M,396.24M,331.53M,402.22M,415.53M,386.82M,409.71M,333.60M,385.60M,416.61M,435.85M,428.11M,431.67M,405.84M,476.16M,388.99M,368.46M,305.24M,330.12M,259.59M,295.83M
Current Provisions - Legal & Other,55.56M,45.53M,35.56M,119.23M,,,4.315M,121.77M,5.461M,6.540M,6.150M,59.37M,8.446M,10.22M,10.37M,10.46M,9.120M,10.13M,11.52M,11.75M,4.224M,7.910M,2.933M,2.761M,2.955M,2.854M,2.899M,3.014M,2.948M,3.236M
Liability on Credit Line,,,2.225M,,,,,,,,,,,,,,,,,,,,,,,,,,5.300M,1.063M
Other Current Borrowings,209.90M,166.79M,28.31M,28.03M,110.17M,102.86M,,94.05M,187.02M,172.70M,,,68.81M,277.97M,241.26M,,,,,0.0181M,0.0465M,0.0851M,0.1265M,47.04M,144.71M,276.99M,160.04M,159.90M,226.10M,97.91M
Current Portion of Long Term Debt,209.90M,166.79M,30.53M,28.03M,110.17M,102.86M,,94.05M,187.02M,172.70M,,,68.81M,277.97M,241.26M,,,,,0.0181M,0.0465M,0.0851M,0.1265M,47.04M,144.71M,276.99M,160.04M,159.90M,231.40M,98.98M
Current Debt & Capital Lease Obligation,209.90M,166.79M,30.53M,28.03M,110.17M,102.86M,,94.05M,187.02M,172.70M,,,68.81M,277.97M,241.26M,,,,,0.0181M,0.0465M,0.0851M,0.1265M,47.04M,144.71M,276.99M,160.04M,159.90M,231.40M,98.98M
Current Deferred Revenue,8.852M,9.110M,2.513M,32.38M,56.43M,53.88M,39.65M,29.98M,60.62M,56.53M,26.00M,13.16M,31.50M,35.10M,10.97M,17.68M,27.85M,17.81M,5.394M,1.241M,18.28M,22.86M,1.719M,0.0742M,30.05M,42.50M,11.50M,12.81M,59.42M,12.02M
Current Deferred Liabilities,8.852M,9.110M,2.513M,32.38M,56.43M,53.88M,39.65M,29.98M,60.62M,56.53M,26.00M,13.16M,31.50M,35.10M,10.97M,17.68M,27.85M,17.81M,5.394M,1.241M,18.28M,22.86M,1.719M,0.0742M,30.05M,42.50M,11.50M,12.81M,59.42M,12.02M
Other Current Liability,80.69M,70.24M,131.28M,59.46M,37.72M,31.61M,36.80M,66.82M,80.24M,158.83M,126.33M,126.57M,60.81M,176.51M,76.28M,329.62M,309.08M,266.48M,242.87M,304.65M,331.03M,430.12M,399.77M,116.69M,112.94M,281.84M,246.46M,233.50M,310.28M,638.02M
Total Current Liabilities,704.18M,717.03M,572.49M,669.00M,764.69M,686.81M,563.44M,655.62M,808.96M,823.39M,554.71M,530.63M,571.78M,915.34M,725.70M,767.47M,679.65M,680.03M,676.40M,753.51M,781.69M,892.64M,810.39M,642.73M,679.64M,972.64M,726.14M,739.34M,863.64M,1.048B
Long Term Provisions - Legal & Other,,,,,,,,,,,,,,,3.429M,3.402M,3.611M,3.523M,3.492M,3.397M,3.618M,3.555M,2.866M,3.402M,3.780M,3.846M,3.795M,3.713M,3.187M,3.078M
Non-Current Portion of Long Term Debt,383.09M,381.22M,561.94M,515.23M,415.62M,409.00M,436.65M,326.82M,262.08M,261.79M,400.26M,373.50M,385.35M,211.86M,251.21M,508.88M,500.85M,510.58M,544.71M,533.59M,568.04M,727.32M,725.39M,841.37M,830.28M,697.29M,775.75M,782.61M,760.81M,681.18M
Non-Current Portion of LTD and Capital Lease Obligation,383.09M,381.22M,561.94M,515.23M,415.62M,409.00M,436.65M,326.82M,262.08M,261.79M,400.26M,373.50M,385.35M,211.86M,251.21M,508.88M,500.85M,510.58M,544.71M,533.59M,568.04M,727.32M,725.39M,841.37M,830.28M,697.29M,775.75M,782.61M,760.81M,681.18M
Long Term Deferred Tax Liabilities,2.083M,2.423M,3.176M,3.089M,7.320M,13.37M,7.304M,5.357M,5.085M,4.825M,1.518M,1.309M,6.241M,3.995M,1.586M,1.053M,2.379M,1.845M,1.304M,0.9868M,0.00,0.00,3.417M,29.80M,30.31M,30.93M,30.67M,30.83M,6.514M,6.092M
Non-Current Deferred Liabilities,2.083M,2.423M,3.176M,3.089M,7.320M,13.37M,7.867M,5.357M,5.763M,5.573M,2.294M,2.124M,7.106M,4.943M,2.602M,2.127M,3.440M,3.000M,2.617M,1.463M,0.5642M,0.6325M,4.127M,30.53M,31.13M,31.83M,31.61M,31.86M,8.312M,7.875M
Derivative Contract Liabilities,72.21M,98.00M,82.18M,47.68M,29.27M,41.75M,38.41M,40.17M,42.36M,99.67M,73.72M,134.02M,146.39M,159.53M,115.26M,221.06M,216.16M,242.15M,188.58M,236.09M,149.00M,61.94M,32.50M,50.93M,67.90M,104.70M,80.27M,84.03M,131.36M,310.58M
Minority Interest Ownership,-0.2970M,-0.2901M,-0.3016M,-0.2988M,-0.3047M,-0.3088M,-0.3078M,-0.3268M,,,,0.00,,,,,,,,,0.00,2.398M,4.864M,5.814M,9.314M,8.756M,5.156M,-0.6909M,-1.565M,-0.6390M
Other Long Term Liabilities,30.09M,34.22M,54.87M,45.94M,35.23M,36.11M,39.70M,44.41M,44.45M,51.84M,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,490.02M,693.53M,888.54M,615.83M,487.44M,500.24M,522.62M,416.75M,354.65M,418.88M,476.27M,509.64M,538.85M,376.34M,372.51M,735.47M,724.06M,759.25M,739.39M,774.54M,721.22M,793.44M,764.88M,926.23M,933.09M,837.66M,891.43M,902.21M,903.67M,1.003B
Total Liabilities,1.194B,1.411B,1.461B,1.285B,1.252B,1.187B,1.086B,1.072B,1.164B,1.242B,1.031B,1.040B,1.111B,1.292B,1.098B,1.503B,1.404B,1.439B,1.416B,1.528B,1.503B,1.686B,1.575B,1.569B,1.613B,1.810B,1.618B,1.642B,1.767B,2.051B
Total Capital Stock,954.03M,940.88M,946.42M,925.33M,906.36M,954.31M,928.58M,941.47M,955.91M,966.14M,923.48M,898.66M,798.11M,818.27M,830.79M,823.88M,769.23M,794.48M,858.27M,838.80M,910.82M,940.62M,982.31M,935.03M,969.40M,998.42M,976.84M,1.002B,1.014B,996.26M
Retained Earnings,-1.211B,-1.222B,-1.286B,-1.042B,-842.82M,-892.85M,-837.19M,-837.18M,-1.043B,-1.204B,-1.082B,-1.117B,-1.042B,-1.191B,-1.067B,-1.433B,-1.329B,-1.364B,-1.386B,-1.442B,-1.502B,-1.359B,-1.278B,-1.172B,-1.284B,-1.469B,-1.310B,-1.280B,-1.400B,-1.657B
Additional Paid In Capital,-23.59M,-24.02M,-19.20M,-19.13M,-19.08M,-19.49M,-18.55M,-17.57M,-33.71M,-34.75M,44.49M,43.69M,38.57M,28.88M,29.04M,33.48M,31.83M,32.52M,35.02M,34.75M,42.38M,50.04M,50.62M,59.32M,64.50M,65.52M,67.79M,69.77M,69.93M,62.34M
Preferred Stock,112.51M,111.02M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accrued Comprehensive Inc,69.62M,64.66M,58.50M,59.24M,64.36M,53.76M,58.70M,71.19M,49.55M,46.47M,50.43M,52.76M,35.58M,37.99M,38.87M,53.76M,23.60M,32.95M,46.26M,44.48M,62.76M,63.72M,57.59M,65.13M,53.61M,47.19M,54.65M,46.41M,43.84M,70.51M
Shareholders Equity,-200.87M,-230.44M,-290.09M,-66.37M,118.38M,105.81M,141.37M,168.00M,-60.21M,-215.75M,-53.68M,-111.97M,-155.49M,-286.59M,-148.20M,-501.59M,-485.40M,-484.49M,-425.52M,-503.88M,-464.30M,-281.56M,-163.30M,-88.72M,-172.28M,-332.51M,-186.06M,-136.16M,-247.04M,-502.32M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated
