Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.17M,67.92M,,,96.37M,205.55M,113.32M,133.73M,152.48M,117.49M,105.33M,218.59M,144.74M,127.46M,111.94M,146.05M,101.23M,91.38M,156.42M,82.89M,64.49M,62.45M,60.79M,58.06M,31.51M,43.33M,42.82M,45.30M,70.27M,67.18M,70.37M,,113.63M,61.41M,83.51M,31.36M,27.80M,29.77M,28.84M,25.25M,20.60M,21.10M,22.30M,11.80M,19.00M,39.50M,16.30M,78.60M,11.20M,16.00M,13.10M,6.40M,22.80M,14.80M,11.10M,9.00M,9.70M,10.40M,10.10M,9.10M,10.60M,10.60M,6.30M,6.80M,9.60M,8.50M,6.10M,5.80M,4.80M,5.80M,3.20M,2.20M,3.90M,3.20M,1.90M,3.80M,5.40M,3.80M,6.10M,2.60M,1.00M,2.60M,8.20M,10.00M,10.40M
Total Current Assets,1.961B,1.971B,2.791B,2.504B,2.687B,2.785B,3.139B,3.253B,3.725B,3.769B,4.647B,3.426B,3.241B,3.272B,3.292B,3.222B,3.752B,4.079B,5.493B,5.906B,6.415B,4.426B,5.126B,5.463B,6.366B,6.016B,4.758B,4.848B,4.962B,5.044B,4.639B,4.954B,4.803B,4.576B,4.90B,4.001B,3.48B,4.250B,4.507B,5.038B,4.586B,4.020B,3.485B,3.803B,4.451B,4.172B,4.156B,3.053B,2.752B,2.554B,2.541B,2.372B,2.490B,2.380B,2.103B,2.357B,2.162B,1.787B,1.583B,1.589B,1.349B,1.587B,1.158B,987.85M,899.07M,869.34M,952.46M,998.17M,766.78M,906.41M,820.43M,725.53M,697.75M,704.68M,838.01M,816.59M,630.02M,539.38M,468.15M,387.77M,343.07M,355.20M,319.10M,240.40M,227.00M,282.90M,369.40M,354.80M,348.30M,287.80M,249.30M,248.20M,268.20M,234.50M,236.20M,221.90M,208.30M,201.50M,197.50M,135.60M,134.90M,129.20M,137.20M,128.40M,122.90M,127.60M,108.70M,170.90M,113.90M,103.20M,94.60M,80.00M,90.60M,93.90M,147.80M,120.30M,138.50M,114.80M,110.70M,117.90M,132.60M,109.20M,121.00M,176.60M,97.70M,86.00M
Land and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37B,38.77B,37.25B,36.09B,34.89B,33.73B,32.58B,30.39B,29.24B,27.85B,25.42B,24.63B,23.32B,22.32B,21.47B,20.71B,20.24B,18.16B,17.60B,17.07B,16.74B,16.04B,14.73B,,12.92B,12.74B,12.44B,12.23B,,11.68B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.627B,2.452B,2.287B,2.206B,,1.928B,1.822B,1.726B,1.669B,1.611B,1.452B,1.359B,1.286B,1.174B,1.059B,966.60M,,,,,,,,,,,,,,708.57M,10.22B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.623B,5.438B,,4.684B,4.481B,4.337B,4.212B,3.592B,3.446B,3.304B,3.189B,3.088B,3.049B,2.997B,2.884B,,,,,,,,,,,,,,,,,,,,,804.19M,796.28M,792.82M,,773.14M,775.24M,756.23M,748.68M,,,698.69M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,1.957B,,,,1.906B,,,,1.785B,,,,,,,,1.786B,,,,,,,,1.679B,,,,,,870.00M,733.00M,,675.00M,637.00M,65.24B,582.00M,543.85M,49.57B,47.27B,493.00M,45.37B,44.53B,460.08M,42.39B,441.34M,432.94M,421.68M,416.15M,2.421B,381.94M,365.22M,358.60M,348.68M,336.28M,327.03M,312.97M,297.83M,292.14M,283.29M,284.07M,274.24M,1.118B,1.094B,1.068B,230.01M,220.89M,200.77M,,186.60M,179.68M,172.94M,168.92M,,159.86M,152.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.062B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,43.96B,44.61B,43.99B,46.94B,47.54B,46.04B,45.13B,44.28B,44.14B,42.75B,42.17B,47.13B,46.75B,46.64B,46.71B,94.33B,46.84B,96.12B,95.24B,105.02B,103.46B,103.87B,100.51B,99.34B,100.43B,97.30B,99.49B,96.58B,94.15B,90.63B,87.58B,81.34B,79.22B,73.76B,71.40B,69.58B,67.75B,57.03B,53.02B,50.57B,49.43B,48.46B,47.58B,46.45B,45.28B,43.44B,41.66B,39.96B,38.71B,37.31B,36.04B,34.77B,32.48B,31.25B,29.80B,27.20B,26.30B,24.90B,23.79B,22.81B,21.96B,20.51B,19.28B,18.70B,18.14B,17.77B,17.06B,15.73B,14.46B,13.88B,13.70B,13.37B,13.15B,12.87B,12.55B,12.14B,11.09B,10.28B,9.673B,9.126B,8.827B,8.108B,7.992B,7.158B,6.983B,6.741B,6.611B,6.480B,6.381B,5.937B,5.751B,5.552B,5.381B,5.199B,4.995B,4.499B,4.377B,4.278B,4.152B,3.798B,3.172B,2.978B,2.853B,2.760B,2.685B,2.699B,2.262B,2.164B,2.130B,2.034B,2.024B,1.992B,1.960B,1.968B,1.426B,1.443B,1.416B,1.377B,1.309B,1.286B,1.243B,1.115B,838.90M,560.00M,421.20M,377.10M
Accumulated D&A,-29.80B,-26.95B,-26.24B,-28.65B,-29.12B,-27.40B,-26.80B,-26.20B,-26.38B,-25.10B,-24.62B,-28.35B,-27.88B,-27.18B,-26.57B,-80.78B,-26.00B,-73.74B,-66.93B,-63.79B,-55.38B,-50.84B,-48.04B,-46.58B,-48.01B,-45.84B,-43.67B,-42.29B,-40.87B,-39.46B,-37.44B,-35.51B,-33.77B,-32.62B,-31.56B,-30.53B,-29.60B,-28.68B,-27.89B,-27.16B,-26.53B,-25.91B,-25.29B,-24.72B,-21.32B,-15.32B,-14.72B,-14.10B,-13.48B,-12.85B,-12.25B,-11.66B,-11.13B,-10.62B,-10.33B,-9.885B,-9.514B,-9.154B,-8.797B,-8.439B,-8.101B,-7.775B,-7.462B,-7.167B,-6.881B,-6.647B,-6.354B,-6.082B,-5.997B,-5.769B,-5.587B,-5.350B,-5.135B,-4.920B,-4.722B,-4.437B,-4.282B,-4.120B,-3.973B,-3.841B,-3.711B,-3.577B,-3.457B,-3.346B,-3.255B,-2.923B,-2.836B,-2.746B,-2.648B,-2.554B,-2.459B,-2.367B,-2.281B,-2.199B,-2.119B,-2.044B,-1.976B,-1.910B,-1.833B,-1.549B,-1.486B,-1.425B,-1.364B,-1.303B,-1.249B,-1.330B,-1.137B,-1.094B,-1.058B,-1.009B,-966.90M,-925.40M,-888.30M,-845.10M,-805.40M,-779.90M,-752.80M,-716.70M,-688.60M,-667.10M,-639.80M,-544.10M,-475.60M,-28.40M,-11.60M,-9.40M
Net PP&E,14.16B,17.66B,17.76B,18.29B,18.42B,18.65B,18.34B,18.09B,17.76B,17.66B,17.55B,18.78B,18.87B,19.46B,20.14B,13.54B,20.84B,22.38B,28.32B,41.23B,48.08B,53.04B,52.47B,52.75B,52.42B,51.46B,55.82B,54.29B,53.28B,51.16B,50.14B,45.83B,45.45B,41.14B,39.84B,39.05B,38.15B,28.35B,25.12B,23.40B,22.90B,22.55B,22.29B,21.73B,23.96B,28.12B,26.93B,25.87B,25.23B,24.46B,23.79B,23.11B,21.35B,20.64B,19.47B,17.32B,16.79B,15.75B,14.99B,14.37B,13.86B,12.74B,11.82B,11.53B,11.26B,11.12B,10.71B,9.643B,8.466B,8.115B,8.112B,8.016B,8.013B,7.951B,7.826B,7.701B,6.812B,6.165B,5.700B,5.284B,5.116B,4.531B,4.534B,3.811B,3.728B,3.818B,3.775B,3.733B,3.733B,3.383B,3.292B,3.185B,3.100B,3.000B,2.876B,2.454B,2.402B,2.368B,2.319B,2.249B,1.685B,1.553B,1.490B,1.457B,1.436B,1.368B,1.125B,1.07B,1.072B,1.024B,1.058B,1.066B,1.071B,1.123B,620.60M,663.10M,663.40M,660.60M,620.30M,618.40M,603.60M,570.90M,363.30M,531.60M,409.60M,367.70M
Goodwill,,,,,,,,,,,,,,,,,,,,87.00M,,1.369B,1.369B,1.369B,1.369B,1.369B,1.369B,1.369B,1.289B,1.114B,1.114B,1.114B,1.114B,1.032B,1.032B,1.032B,1.032B,189.25M,189.25M,189.25M,189.00M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,,,,,,,,,,,,,,,,188.81M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,193.79M,188.75M,,192.16M,198.89M,197.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,87.00M,,1.369B,1.369B,1.369B,1.369B,1.369B,1.369B,1.369B,1.289B,1.114B,1.114B,1.114B,1.114B,1.032B,1.032B,1.032B,1.032B,189.25M,189.25M,189.25M,189.00M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,189.25M,193.79M,188.75M,188.81M,192.16M,198.89M,197.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,1.258B,1.095B,527.00M,209.00M,121.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,730.00M,684.00M,732.00M,747.00M,353.00M,439.00M,435.00M,452.00M,438.00M,411.00M,404.00M,404.00M,411.00M,415.00M,911.00M,915.00M,910.00M,1.356B,1.504B,1.427B,1.461B,1.689B,1.617B,1.537B,1.481B,1.392B,1.402B,1.286B,1.206B,1.488B,1.329B,1.34B,686.00M,738.00M,759.00M,787.00M,762.00M,642.52M,612.76M,595.80M,510.00M,471.01M,437.28M,568.69M,573.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,,,,,,,,,,,,,,,,,,,,,,471.00M,589.00M,,,,,,,,,,,,,,,3.50B,,,,,,,13.88M,512.07M,597.31M,708.33M,461.56M,452.49M,412.49M,386.28M,282.40M,218.75M,148.56M,136.05M,129.13M,131.76M,114.74M,109.36M,104.09M,108.98M,87.40M,76.25M,67.72M,58.15M,48.83M,41.91M,38.23M,38.31M,39.84M,34.12M,34.02M,218.79M,102.71M,142.00M,39.47M,46.65M,46.64M,45.22M,43.62M,40.90M,41.50M,40.10M,41.60M,43.10M,33.20M,53.60M,57.10M,55.80M,58.40M,60.50M,64.10M,62.90M,67.80M,69.80M,71.60M,66.90M,38.00M,37.80M,58.70M,33.40M,35.00M,33.50M,33.00M,30.50M,35.40M,32.80M,32.90M,31.60M,32.90M,45.20M,47.30M,44.70M,38.40M,28.60M,27.70M,23.40M,27.50M,27.10M,28.20M,21.60M,20.00M,20.70M,29.10M,35.60M
Total Long Term Assets,16.15B,19.43B,19.02B,19.25B,18.90B,19.08B,18.77B,18.54B,18.20B,18.07B,17.96B,19.18B,19.28B,19.88B,21.05B,14.46B,21.75B,23.73B,29.82B,42.74B,49.54B,56.56B,56.04B,55.66B,55.27B,54.22B,58.59B,56.94B,55.78B,53.77B,52.58B,48.28B,47.25B,42.91B,41.63B,40.86B,39.94B,32.68B,25.93B,24.19B,23.60B,23.21B,22.92B,22.49B,24.74B,28.82B,27.72B,26.76B,25.88B,25.10B,24.39B,23.68B,21.82B,21.05B,19.81B,17.64B,17.11B,16.07B,15.30B,14.67B,14.15B,13.04B,12.09B,11.80B,11.52B,11.37B,10.94B,9.874B,8.693B,8.342B,8.346B,8.239B,8.236B,8.362B,8.127B,8.040B,6.852B,6.212B,5.747B,5.329B,5.159B,4.572B,4.576B,3.851B,3.769B,3.861B,3.809B,3.787B,3.790B,3.439B,3.350B,3.245B,3.164B,3.063B,2.944B,2.524B,2.473B,2.434B,2.357B,2.287B,1.744B,1.586B,1.524B,1.490B,1.470B,1.399B,1.160B,1.103B,1.105B,1.056B,1.090B,1.111B,1.119B,1.168B,659.00M,691.70M,691.10M,684.00M,647.80M,645.50M,631.80M,592.50M,383.30M,552.30M,438.70M,403.30M
Total Assets,18.11B,21.40B,21.81B,21.75B,21.58B,21.87B,21.91B,21.79B,21.92B,21.84B,22.60B,22.61B,22.52B,23.15B,24.35B,17.68B,25.50B,27.81B,35.31B,48.65B,55.95B,60.99B,61.17B,61.12B,61.64B,60.24B,63.35B,61.79B,60.74B,58.81B,57.22B,53.24B,52.05B,47.48B,46.53B,44.87B,43.42B,36.93B,30.43B,29.23B,28.19B,27.23B,26.40B,26.29B,29.19B,32.99B,31.88B,29.82B,28.63B,27.65B,26.93B,26.05B,24.31B,23.43B,21.91B,20.00B,19.27B,17.85B,16.88B,16.26B,15.50B,14.62B,13.25B,12.79B,12.42B,12.24B,11.90B,10.87B,9.460B,9.249B,9.166B,8.964B,8.934B,9.067B,8.965B,8.856B,7.482B,6.751B,6.215B,5.717B,5.503B,4.928B,4.895B,4.092B,3.996B,4.144B,4.178B,4.142B,4.139B,3.726B,3.600B,3.494B,3.432B,3.297B,3.180B,2.746B,2.682B,2.636B,2.555B,2.422B,1.879B,1.715B,1.662B,1.618B,1.592B,1.526B,1.269B,1.274B,1.219B,1.159B,1.185B,1.191B,1.209B,1.262B,806.80M,812.00M,829.60M,798.80M,758.50M,763.40M,764.40M,701.70M,504.30M,728.90M,536.40M,489.30M
Accounts Payable,695.00M,661.00M,644.00M,679.00M,709.00M,744.00M,682.00M,708.00M,641.00M,583.00M,533.00M,564.00M,585.00M,557.00M,544.00M,571.00M,618.00M,659.00M,710.00M,1.01B,1.21B,1.316B,1.491B,1.438B,1.616B,1.345B,1.346B,1.226B,1.092B,1.137B,1.061B,1.059B,1.048B,852.00M,1.029B,906.00M,779.00M,598.04M,485.60M,536.61M,397.00M,391.90M,389.35M,388.42M,548.94M,702.14M,894.41M,683.58M,617.94M,655.48M,607.66M,636.02M,644.89M,627.41M,616.86M,669.37M,714.60M,726.65M,595.29M,567.57M,542.07M,440.29M,414.98M,327.37M,300.60M,284.94M,271.22M,315.45M,214.29M,241.48M,224.62M,192.54M,179.78M,289.84M,307.54M,377.52M,259.12M,224.93M,183.02M,142.97M,148.31M,169.90M,113.00M,94.40M,115.10M,117.30M,140.10M,138.60M,178.40M,148.20M,140.20M,166.60M,174.90M,153.40M,153.10M,129.30M,138.30M,112.80M,99.40M,79.10M,87.70M,106.60M,103.40M,102.50M,118.40M,94.50M,81.80M,82.10M,82.10M,88.20M,94.60M,78.20M,79.90M,92.90M,75.40M,81.50M,86.10M,66.40M,66.60M,69.80M,72.00M,,,,,
Current Tax Payable,51.00M,80.00M,126.00M,60.00M,58.00M,89.00M,110.00M,41.00M,55.00M,68.00M,77.00M,50.00M,22.00M,66.00M,54.00M,81.00M,47.00M,296.00M,352.00M,27.00M,54.00M,344.00M,330.00M,235.00M,248.00M,289.00M,566.00M,514.00M,350.00M,445.00M,652.00M,645.00M,817.00M,267.00M,266.00M,,,,,,,50.31M,78.09M,16.88M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
