Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Operating Interest Income,-97.00M,-95.00M,-98.00M,-97.00M,-93.00M,-98.00M,-94.00M,-99.00M,-97.00M,-101.00M,-99.00M,-99.00M,-105.00M,-102.00M,-104.00M,-105.00M,-110.00M,-121.00M,-117.00M,-69.00M,-256.00M,-60.00M,-52.00M,-27.00M,-88.00M,-50.00M,-52.00M,-55.00M,-47.00M,-40.00M,-45.00M,-40.00M,-35.00M,-37.00M,-41.00M,-45.00M,-55.00M,-59.00M,-56.00M,-58.00M,-60.57M,-61.68M,-61.16M,-58.59M,-139.92M,-33.29M,-38.22M,-43.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,604.00M,42.00M,125.00M,88.00M,276.00M,97.00M,87.00M,98.00M,279.00M,261.00M,86.00M,103.00M,170.00M,207.00M,150.00M,136.00M,1.95B,335.00M,233.00M,44.00M,2.249B,52.00M,46.00M,16.00M,430.00M,31.00M,44.00M,38.00M,-26.00M,22.00M,41.00M,-24.00M,38.00M,-7.00M,700.00M,660.00M,-1.265B,532.00M,471.00M,25.00M,439.43M,471.59M,26.48M,,,,0.829M,26.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,753.00M,184.00M,273.00M,262.00M,430.00M,254.00M,253.00M,267.00M,401.00M,405.00M,221.00M,248.00M,323.00M,318.00M,318.00M,240.00M,2.096B,528.00M,399.00M,200.00M,2.465B,287.00M,336.00M,300.00M,750.00M,327.00M,340.00M,379.00M,296.00M,313.00M,376.00M,361.00M,406.00M,349.00M,2.087B,1.872B,-3.132B,1.566B,1.471B,928.00M,1.333B,1.364B,806.69M,3.571B,6.221B,962.73M,1.006B,971.99M,944.14M,787.40M,792.92M,696.05M,739.90M,659.03M,662.03M,564.66M,550.00M,557.60M,497.61M,462.01M,392.10M,399.25M,357.11M,341.80M,362.57M,369.72M,336.21M,267.26M,257.24M,249.86M,256.62M,250.92M,256.94M,257.56M,252.62M,214.70M,244.39M,172.48M,164.50M,148.08M,175.04M,135.50M,118.63M,99.80M,367.36M,109.80M,108.60M,109.70M,113.80M,108.80M,103.60M,99.70M,97.00M,91.50M,85.70M,81.90M,84.30M,83.40M,90.40M,73.00M,72.10M,70.30M,68.40M,60.70M,41.80M,66.60M,52.70M,52.20M,58.70M,52.00M,51.60M,46.00M,54.00M,58.90M,32.60M,33.90M,42.90M,33.80M,30.00M,31.60M,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,-268.00M,127.00M,258.00M,293.00M,199.00M,638.00M,637.00M,478.00M,297.00M,28.00M,133.00M,295.00M,89.00M,40.00M,-12.00M,-261.00M,-2.154B,-302.00M,282.00M,-7.401B,342.00M,-496.00M,1.151B,1.474B,69.00M,1.113B,1.453B,1.535B,1.732B,912.00M,872.00M,1.606B,1.981B,2.135B,2.178B,1.977B,1.49B,1.404B,1.458B,1.265B,1.183B,932.29M,847.94M,-2.368B,-4.838B,1.872B,2.408B,2.175B,1.584B,1.258B,1.202B,906.49M,825.54M,1.027B,1.085B,1.068B,1.253B,1.200B,995.32M,943.33M,873.25M,778.48M,663.68M,580.27M,501.03M,523.30M,516.73M,553.35M,344.45M,268.16M,276.50M,156.54M,159.87M,291.56M,446.40M,490.34M,448.07M,370.05M,263.42M,227.61M,188.64M,144.80M,76.66M,16.90M,-221.73M,23.60M,32.50M,48.40M,94.80M,70.40M,57.80M,103.50M,99.70M,64.00M,52.80M,39.10M,35.40M,24.00M,30.30M,20.60M,22.90M,22.60M,19.80M,18.10M,20.70M,12.20M,22.80M,22.00M,23.50M,19.20M,14.50M,10.80M,24.90M,11.90M,10.90M,19.30M,8.70M,16.50M,12.90M,19.40M,-149.20M,60.50M,58.80M,60.40M,-66.10M,28.90M,28.80M,29.80M,-206.40M,25.30M,27.50M,25.00M,-103.70M,44.50M,21.50M,32.60M,-79.30M,28.40M,32.30M,33.70M,-42.90M,26.40M,29.00M,28.20M
Non-Operating Interest Income,1.00M,5.00M,3.00M,4.00M,6.00M,6.00M,4.00M,6.00M,6.00M,3.00M,5.00M,5.00M,2.00M,3.00M,2.00M,1.00M,3.00M,2.00M,3.00M,3.00M,2.00M,1.00M,1.00M,4.00M,-2.00M,3.00M,3.00M,3.00M,3.00M,4.00M,3.00M,3.00M,3.00M,4.00M,6.00M,4.00M,4.00M,5.00M,2.00M,2.00M,,,2.00M,5.726M,4.772M,9.55M,5.297M,4.328M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,96.00M,98.00M,100.00M,99.00M,98.00M,102.00M,97.00M,100.00M,101.00M,101.00M,102.00M,102.00M,104.00M,103.00M,104.00M,105.00M,112.00M,117.00M,118.00M,70.00M,257.00M,59.00M,52.00M,29.00M,84.00M,51.00M,53.00M,56.00M,48.00M,42.00M,46.00M,42.00M,37.00M,40.00M,46.00M,48.00M,52.00M,57.00M,57.00M,60.00M,66.57M,61.68M,63.16M,64.31M,144.69M,42.84M,43.52M,47.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-97.00M,-95.00M,-98.00M,-97.00M,-93.00M,-98.00M,-94.00M,-99.00M,-97.00M,-101.00M,-99.00M,-99.00M,-105.00M,-102.00M,-104.00M,-105.00M,-110.00M,-121.00M,-117.00M,-69.00M,-256.00M,-60.00M,-52.00M,-27.00M,-88.00M,-50.00M,-52.00M,-55.00M,-47.00M,-40.00M,-45.00M,-40.00M,-35.00M,-37.00M,-41.00M,-45.00M,-55.00M,-59.00M,-56.00M,-58.00M,-60.57M,-61.68M,-61.16M,-58.59M,-139.92M,-33.29M,-38.22M,-43.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-2.67B,-18.00M,-312.00M,-31.00M,-450.00M,-134.00M,-35.00M,9.00M,78.00M,166.00M,-25.00M,342.00M,-98.00M,-843.00M,-165.00M,-16.00M,-3.08B,-3.947B,-351.00M,-54.00M,-8.79B,239.00M,-188.00M,-18.00M,258.00M,-422.00M,247.00M,-100.00M,-81.00M,-7.00M,-16.00M,-6.00M,-5.00M,-4.00M,-6.00M,-5.00M,-167.00M,-8.00M,-8.00M,,,,,-26.74M,,-24.97M,-25.68M,-455.49M,-8.34M,-48.28M,-24.63M,-73.85M,-28.31M,143.14M,-65.33M,7.514M,29.89M,-4.219M,-41.96M,-26.32M,-13.34M,-11.07M,-153.32M,-10.76M,-46.95M,-22.68M,-20.89M,-10.63M,-60.37M,10.03M,,-9.20M,-44.39M,15.52M,-130.00M,15.08M,43.11M,-0.446M,,1.025M,,,,0.40M,,,1.60M,0.80M,-3.20M,0.40M,1.60M,-0.30M,0.50M,0.30M,1.60M,1.30M,-7.20M,3.90M,-15.80M,2.10M,4.90M,0.70M,1.90M,0.70M,0.40M,2.30M,0.20M,0.90M,0.50M,0.10M,29.20M,2.00M,3.20M,1.60M,1.30M,1.70M,,0.80M,0.90M,0.90M,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-97.00M,-95.00M,-98.00M,-97.00M,-93.00M,-98.00M,-94.00M,-99.00M,-97.00M,-101.00M,-99.00M,-99.00M,-105.00M,-102.00M,-104.00M,-105.00M,-110.00M,-121.00M,-117.00M,-69.00M,-256.00M,-60.00M,-52.00M,-27.00M,-88.00M,-50.00M,-52.00M,-55.00M,-47.00M,-40.00M,-45.00M,-40.00M,-35.00M,-37.00M,-41.00M,-45.00M,-55.00M,-59.00M,-56.00M,-58.00M,-60.57M,-61.68M,-61.16M,-58.59M,-139.92M,-33.29M,-38.22M,-43.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,-3.035B,14.00M,-152.00M,165.00M,-344.00M,406.00M,508.00M,388.00M,278.00M,93.00M,9.00M,538.00M,-114.00M,-905.00M,-281.00M,-382.00M,-5.344B,-4.37B,-186.00M,-7.524B,-8.704B,-317.00M,911.00M,1.429B,239.00M,641.00M,1.648B,1.38B,1.604B,865.00M,811.00M,1.56B,1.941B,2.094B,2.131B,1.927B,1.268B,1.337B,1.394B,1.207B,1.122B,870.61M,786.78M,-2.453B,-4.901B,1.813B,2.344B,1.676B,1.546B,1.174B,1.138B,814.63M,776.32M,1.151B,1.009B,1.073B,1.213B,1.160B,934.96M,898.58M,826.99M,738.56M,554.60M,542.93M,451.74M,476.66M,474.57M,519.28M,298.16M,236.70M,241.40M,122.71M,128.62M,261.74M,347.30M,461.58M,413.26M,342.39M,237.19M,201.63M,162.77M,125.60M,57.46M,-1.30M,-241.56M,7.40M,16.40M,30.20M,75.40M,51.50M,43.60M,88.10M,84.20M,50.70M,39.80M,25.50M,13.30M,8.90M,4.30M,9.00M,19.50M,16.30M,15.30M,13.30M,16.50M,7.30M,17.80M,16.40M,16.90M,12.80M,36.00M,4.70M,18.40M,0.60M,8.40M,16.70M,16.50M,13.70M,10.50M,16.90M,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,212.00M,131.00M,164.00M,167.00M,6.00M,245.00M,239.00M,182.00M,-240.00M,-12.00M,-604.00M,271.00M,29.00M,-379.00M,-81.00M,-11.00M,-289.00M,-251.00M,731.00M,-3.02B,-2.17B,768.00M,354.00M,578.00M,509.00M,206.00M,611.00M,602.00M,950.00M,685.00M,455.00M,763.00M,752.00M,1.092B,872.00M,793.00M,579.00M,559.00M,534.00M,502.00M,536.90M,428.59M,342.06M,-696.55M,-1.955B,622.53M,898.64M,654.37M,473.12M,560.73M,504.72M,321.68M,255.48M,504.04M,285.28M,412.34M,424.98M,472.52M,346.93M,338.10M,317.25M,308.08M,171.08M,196.60M,190.12M,199.70M,230.19M,206.99M,117.34M,90.17M,95.10M,42.04M,50.00M,104.91M,141.56M,179.38M,168.02M,136.21M,92.96M,85.32M,65.32M,52.80M,24.69M,0.90M,-82.38M,4.20M,7.20M,12.80M,29.90M,20.70M,17.90M,35.20M,33.00M,20.60M,15.40M,9.80M,4.80M,1.90M,3.80M,3.00M,6.90M,5.70M,5.10M,3.90M,3.40M,6.20M,6.30M,4.80M,5.70M,4.30M,12.00M,0.70M,3.60M,-0.50M,1.80M,4.60M,4.80M,4.20M,2.80M,5.40M,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,-3.247B,-117.00M,-316.00M,-2.00M,-350.00M,161.00M,269.00M,206.00M,518.00M,105.00M,613.00M,267.00M,-143.00M,-526.00M,-200.00M,-371.00M,-5.055B,-4.119B,-917.00M,-4.504B,-6.534B,-1.085B,557.00M,851.00M,-270.00M,435.00M,1.037B,778.00M,654.00M,180.00M,356.00M,797.00M,1.189B,1.002B,1.259B,1.134B,689.00M,778.00M,860.00M,705.00M,585.20M,442.02M,444.72M,-1.757B,-2.946B,1.191B,1.445B,1.022B,1.073B,613.35M,633.54M,492.95M,520.84M,647.06M,723.62M,660.92M,788.22M,687.00M,588.03M,560.48M,509.74M,430.48M,383.53M,346.32M,261.61M,276.96M,244.38M,312.30M,180.82M,146.53M,146.31M,80.67M,78.62M,156.83M,205.74M,282.20M,245.24M,206.18M,144.23M,116.30M,97.46M,72.80M,32.77M,-2.20M,-159.19M,3.20M,9.20M,17.40M,45.50M,30.80M,25.70M,52.90M,51.20M,30.10M,24.40M,15.70M,8.50M,7.00M,0.50M,6.00M,12.60M,10.60M,10.20M,9.40M,13.10M,1.10M,11.50M,11.60M,11.20M,8.50M,24.00M,4.00M,14.80M,1.10M,6.60M,12.10M,11.70M,9.50M,7.70M,11.50M,7.10M,5.10M,4.50M,5.40M,2.10M,1.20M,0.60M,1.50M,-80.50M,-0.60M,0.50M,-0.90M,-16.00M,1.80M,1.40M,2.80M,-7.00M,4.80M,5.30M,6.30M,5.70M,5.00M,4.90M,5.80M
Income from Discontinued Operations,,,,,,,,,,,,,0.00,-33.00M,,,627.00M,-17.00M,120.00M,-132.00M,-1.191B,-156.00M,56.00M,-517.00M,500.00M,-129.00M,-2.00M,-61.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.90M,-0.20M,-0.10M,-1.00M,0.70M,0.20M,0.70M,-0.70M,-0.10M,,,-1.20M,-0.30M,,,-0.20M,,,0.10M
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,26.63M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,287.00M,-35.00M,-40.00M,-45.00M,-31.00M,-80.00M,-74.00M,-61.00M,-62.00M,-42.00M,-41.00M,-54.00M,-39.00M,-48.00M,-44.00M,-1.00M,413.00M,-7.00M,-63.00M,-15.00M,-46.00M,-89.00M,-108.00M,-98.00M,-56.00M,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
