Cash from Operations,141.00M,110.00M,147.00M,37.00M,168.00M,18.00M,-178.00M,-45.00M,-49.00M,317.00M,43.00M,128.00M,219.00M,141.00M,37.00M,162.00M,89.41M,228.70M,95.50M,25.40M,46.04M,-34.22M,1.818M,11.35M,20.42M,17.10M,-9.456M,18.49M,6.499M,0.956M,12.86M,1.899M,2.578M,-2.676M
Net Change in Capital Expenditures,-45.00M,-46.00M,-31.00M,-26.00M,-41.00M,-30.00M,-14.00M,-20.00M,-38.00M,-46.00M,-21.00M,-37.00M,-86.00M,-31.00M,58.00M,-110.00M,144.94M,-131.21M,-124.50M,-128.23M,-36.43M,-31.21M,-14.45M,-43.90M,-30.05M,-27.85M,-34.15M,-2.984M,-5.682M,-1.188M,-13.03M,-2.341M,-2.099M,-1.97M
Sale of PPE,1.00M,7.00M,16.00M,6.00M,11.00M,23.00M,0.00,3.00M,6.00M,4.00M,,,3.00M,1.00M,3.00M,2.00M,-7.531M,4.559M,-4.067M,11.04M,0.00,0.017M,0.297M,,0.00,0.00,0.567M,0.423M,0.331M,,0.239M,0.046M,0.00,
Net Change in PP&E,1.00M,7.00M,16.00M,6.00M,11.00M,23.00M,0.00,3.00M,6.00M,4.00M,,,3.00M,1.00M,3.00M,2.00M,-7.531M,4.559M,-4.067M,11.04M,0.00,0.017M,0.297M,,0.00,0.00,0.567M,0.423M,0.331M,,0.239M,0.046M,0.00,
Net Change in Intangibles,0.00,0.00,0.00,0.00,0.00,0.00,-1.00M,-1.00M,-10.00M,-7.00M,-9.00M,-13.00M,-11.00M,-12.00M,-13.00M,-14.00M,-19.48M,9.562M,-23.88M,-27.20M,-0.588M,-2.79M,-0.783M,-1.028M,-0.536M,-0.314M,-1.492M,-0.626M,-0.285M,-0.11M,-10.48M,-0.113M,-0.452M,-1.006M
Net Divestitures (Acquisitions),-4.00M,-42.00M,5.00M,-5.00M,-199.00M,-90.00M,-112.00M,0.00,0.00,0.00,,,0.00,-171.00M,2.20B,-2.20B,906.04M,-1.009B,-791.50M,0.00,0.00,,,,,,,,,,,,,
Total Net Change in Investments,,,,,,,,,,,,,,,,,,,,,0.00,25.95M,11.98M,57.96M,26.37M,26.00M,32.41M,-180.68M,0.00,0.00,0.00,0.00,,
Cash from Investing,-48.00M,-81.00M,-10.00M,-25.00M,-229.00M,-97.00M,-133.00M,3.197B,-13.00M,-37.00M,-43.00M,-77.00M,-207.00M,-286.00M,-213.00M,-2.308B,-283.55M,-1.135B,-920.07M,-117.20M,-36.43M,-5.245M,-2.168M,14.06M,-3.675M,-1.855M,-1.171M,-183.24M,-5.351M,-1.188M,-12.79M,-2.295M,-2.099M,-1.97M
Net Change in Long Term Debt,5.00M,35.00M,-35.00M,48.00M,205.00M,173.00M,319.00M,-2.012B,120.00M,-182.00M,62.00M,-240.00M,33.00M,280.00M,5.00M,2.259B,-426.23M,748.63M,858.19M,-0.586M,2.232M,47.92M,1.404M,-14.86M,-0.007M,-3.095M,3.084M,180.66M,-0.006M,-0.005M,-0.005M,-0.006M,-0.005M,-0.005M
Net Debt Issuance,5.00M,35.00M,-35.00M,48.00M,205.00M,173.00M,319.00M,-2.012B,120.00M,-182.00M,62.00M,-240.00M,33.00M,280.00M,5.00M,2.259B,-426.23M,748.63M,858.19M,-0.586M,2.232M,47.92M,1.404M,-14.86M,-0.007M,-3.095M,3.084M,180.66M,-0.006M,-0.005M,-0.005M,-0.006M,-0.005M,-0.005M
Common Stock Issuance,,,,,,,,,-300.00M,0.00,0.00,333.00M,71.00M,0.00,0.00,61.00M,685.86M,213.14M,0.00,0.00,,,,,,,0.124M,206.03M,,,0.00,0.00,,
Common Stock Payments,0.00,0.00,0.00,0.00,303.00M,0.00,0.00,-843.00M,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,0.00,,
Net Common Equity Issued (Purchased),0.00,0.00,0.00,0.00,303.00M,0.00,0.00,-843.00M,-300.00M,0.00,0.00,333.00M,71.00M,0.00,0.00,61.00M,685.86M,213.14M,0.00,0.00,,,0.00,0.00,,,0.124M,206.03M,,,0.00,0.00,,
Total Common Dividends Paid,-91.00M,-87.00M,-88.00M,-87.00M,-88.00M,-87.00M,-87.00M,-121.00M,-119.00M,-103.00M,-105.00M,-104.00M,-100.00M,-102.00M,-97.00M,-137.00M,-55.02M,-57.03M,-10.80M,-201.16M,-11.03M,-10.65M,-10.55M,-9.906M,-9.572M,-9.572M,-0.623M,-206.03M,0.00,0.00,,,,
Total Dividends Paid,-91.00M,-87.00M,-88.00M,-87.00M,-88.00M,-87.00M,-87.00M,-121.00M,-119.00M,-103.00M,-105.00M,-104.00M,-100.00M,-102.00M,-97.00M,-137.00M,-55.02M,-57.03M,-10.80M,-201.16M,-11.03M,-10.65M,-10.55M,-9.906M,-9.572M,-9.572M,-0.623M,-206.03M,0.00,0.00,,,,
Cash from Other Financing Activities,1.00M,0.00,-1.00M,-6.00M,-15.00M,-11.00M,0.00,-117.00M,0.00,-4.00M,88.00M,-85.00M,23.00M,-36.00M,274.00M,-33.00M,4.483M,-71.39M,-5.035M,269.94M,,,-0.27M,0.784M,,,-0.016M,-2.245M,,,-0.186M,0.152M,0.129M,-0.095M
Cash from Financing,-85.00M,-52.00M,-124.00M,-45.00M,102.00M,75.00M,232.00M,-3.093B,1.00M,-289.00M,45.00M,-96.00M,27.00M,142.00M,182.00M,2.15B,209.09M,833.35M,842.36M,68.20M,-8.795M,37.27M,-9.417M,-23.98M,-9.579M,-12.67M,2.569M,178.42M,-0.006M,-0.005M,-0.191M,0.146M,0.124M,-0.10M
Beginning Cash,13.00M,36.00M,23.00M,56.00M,15.00M,19.00M,98.00M,28.00M,92.00M,101.00M,57.00M,103.00M,67.00M,67.00M,77.00M,73.00M,57.62M,130.77M,112.98M,136.58M,5.957M,8.15M,17.92M,16.49M,9.325M,6.752M,14.81M,1.145M,0.003M,0.24M,0.356M,0.606M,0.003M,4.749M
Change in Cash,8.00M,-23.00M,13.00M,-33.00M,41.00M,-4.00M,-79.00M,59.00M,-61.00M,-9.00M,45.00M,-45.00M,39.00M,-3.00M,6.00M,4.00M,14.96M,-73.14M,17.78M,-23.60M,0.812M,-2.193M,-9.767M,1.429M,7.163M,2.573M,-8.058M,13.66M,1.142M,-0.237M,-0.116M,-0.25M,0.603M,-4.746M
Ending Cash,21.00M,13.00M,36.00M,23.00M,56.00M,15.00M,19.00M,98.00M,28.00M,92.00M,101.00M,57.00M,103.00M,67.00M,67.00M,77.00M,52.00M,57.62M,130.77M,112.98M,6.769M,5.957M,8.15M,17.92M,16.49M,9.325M,6.752M,14.81M,1.145M,0.003M,0.24M,0.356M,0.606M,0.003M
Issuance of Capital Stock,,,,,,,,,0.00,0.00,0.00,333.00M,71.00M,0.00,0.00,61.00M,685.86M,213.14M,0.00,0.00,,,,,,,0.124M,206.03M,,,0.00,0.00,,
Issuance of Debt,646.00M,733.00M,371.00M,1.293B,690.00M,690.00M,996.00M,2.614B,759.00M,481.00M,795.00M,618.00M,611.00M,942.00M,1.386B,2.707B,511.33M,1.291B,915.00M,153.62M,52.44M,295.55M,84.31M,58.00M,26.20M,23.01M,35.59M,180.67M,0.00,0.00,0.00,0.00,,
Debt Repayment,-641.00M,-698.00M,-406.00M,-1.245B,-485.00M,-517.00M,-677.00M,-4.626B,-639.00M,-663.00M,-733.00M,-858.00M,-578.00M,-662.00M,-1.381B,-448.00M,-937.57M,-542.42M,-56.81M,-154.20M,-50.21M,-247.63M,-82.91M,-72.86M,-26.21M,-26.10M,-32.51M,-0.006M,-0.006M,-0.005M,-0.005M,-0.006M,-0.005M,-0.005M
Repurchase of Capital Stock,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-843.00M,0.00,0.00,,,,,,,,,,,,,,0.00,,,,,,,,0.00,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,
