Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12
Other Intangible Assets,646.00M,666.00M,679.00M,694.00M,708.00M,655.00M,659.00M,656.00M,768.00M,777.00M,786.00M,1.292B,775.00M,1.291B,1.277B,1.271B,1.26B,980.59M,451.59M,169.58M,893.46M,244.21M,24.29M,24.95M,22.77M,22.34M,22.01M,22.47M,23.13M,23.24M,22.05M,22.57M,23.31M
Goodwill and Intangibles,2.201B,2.223B,2.237B,2.254B,2.267B,2.189B,2.128B,2.086B,2.198B,1.808B,1.818B,3.904B,2.325B,4.527B,4.431B,4.381B,4.371B,2.780B,1.266B,1.034B,2.748B,857.93M,47.12M,47.78M,45.60M,44.78M,34.95M,35.40M,36.07M,36.18M,42.71M,43.23M,43.97M
Long Term Investments,654.00M,112.00M,,,0.00,,,,,,,,,,,,,,,,,0.00,0.00,0.00,25.95M,37.94M,95.89M,122.27M,148.26M,,,,0.00
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,2.509M,20.97M,,,,,0.00,,,,,,,,
Other Long Term Assets,188.00M,177.00M,160.00M,155.00M,161.00M,134.00M,123.00M,91.00M,45.00M,46.00M,54.00M,48.00M,3.474B,85.87M,71.70M,62.69M,48.00M,52.08M,27.29M,16.09M,35.57M,0.221M,0.259M,0.19M,0.188M,0.182M,0.398M,0.172M,0.191M,0.277M,0.809M,0.849M,0.885M
Total Long Term Assets,4.514B,4.522B,4.372B,4.413B,3.974B,3.817B,3.771B,3.699B,3.80B,3.045B,3.027B,7.251B,7.383B,7.936B,7.731B,7.605B,7.574B,5.130B,2.673B,1.998B,4.865B,1.143B,286.96M,254.11M,251.86M,252.19M,254.49M,252.59M,252.70M,70.67M,86.57M,83.07M,83.90M
Total Assets,5.438B,5.497B,5.47B,5.423B,4.879B,5.148B,5.006B,4.919B,8.344B,8.307B,8.311B,8.454B,8.701B,8.997B,8.762B,8.803B,8.842B,6.180B,3.578B,2.210B,6.149B,1.300B,459.35M,454.16M,390.08M,385.39M,386.26M,384.92M,355.80M,307.18M,242.76M,256.17M,231.32M
Accounts Payable,445.00M,456.00M,530.00M,482.00M,412.00M,551.00M,439.00M,416.00M,559.00M,583.00M,461.00M,438.00M,616.00M,439.95M,445.71M,393.78M,434.00M,439.16M,382.05M,106.92M,383.50M,115.48M,128.46M,123.02M,110.43M,104.47M,119.54M,119.55M,88.88M,51.75M,108.20M,127.53M,98.32M
Current Tax Payable,42.00M,67.00M,81.00M,67.00M,91.00M,205.00M,323.00M,601.00M,180.00M,154.00M,187.00M,176.00M,154.00M,93.96M,127.82M,134.14M,102.00M,142.69M,120.48M,23.78M,142.77M,,,,5.817M,,,,0.37M,,,,5.83M
Total Payables,536.00M,593.00M,635.00M,579.00M,652.00M,916.00M,929.00M,1.195B,945.00M,932.00M,817.00M,725.00M,879.00M,565.55M,596.19M,538.95M,551.00M,617.30M,517.67M,133.31M,583.24M,121.34M,128.46M,123.02M,116.25M,104.47M,119.54M,119.55M,89.25M,51.75M,108.20M,127.53M,104.15M
Accrued Expenses,116.00M,103.00M,123.00M,78.00M,119.00M,62.00M,112.00M,64.00M,141.00M,116.00M,97.00M,115.00M,118.00M,114.91M,98.95M,101.02M,91.00M,60.65M,11.52M,9.033M,35.16M,13.02M,12.96M,15.18M,0.00,13.36M,4.608M,3.725M,,2.369M,4.246M,2.695M,
Payables and Accrued Expenses,652.00M,696.00M,758.00M,657.00M,771.00M,978.00M,1.041B,1.259B,1.086B,1.048B,914.00M,840.00M,997.00M,680.46M,695.14M,639.98M,642.00M,677.94M,529.19M,142.34M,618.40M,134.36M,141.42M,138.19M,116.25M,117.83M,124.14M,123.28M,89.25M,54.12M,112.45M,130.22M,104.15M
Current Provisions - Legal & Other,6.00M,6.00M,6.00M,6.00M,6.00M,6.00M,11.00M,,,6.00M,3.00M,4.00M,,6.519M,6.755M,7.029M,8.00M,24.63M,,,14.33M,,,,,,,,,,,,
Other Current Borrowings,11.00M,13.00M,6.00M,6.00M,5.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,11.00M,13.00M,6.00M,6.00M,5.00M,5.00M,5.00M,5.00M,6.00M,6.00M,5.00M,5.00M,5.00M,5.01M,5.694M,4.824M,5.00M,13.76M,13.70M,13.75M,13.77M,0.529M,0.525M,0.525M,0.525M,0.525M,0.024M,0.024M,0.024M,0.023M,0.023M,0.023M,0.022M
Current Capital Lease Obligation,20.00M,21.00M,21.00M,24.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,31.00M,34.00M,27.00M,30.00M,5.00M,5.00M,5.00M,5.00M,6.00M,6.00M,5.00M,5.00M,5.00M,5.01M,5.694M,4.824M,5.00M,13.76M,13.70M,13.75M,13.77M,0.529M,0.525M,0.525M,0.525M,0.525M,0.024M,0.024M,0.024M,0.023M,0.023M,0.023M,0.022M
Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,16.27M,,,,,,,,,,,,,,
Current Deferred Tax Liability,,,,,,,,,,,,,,,,,,,16.27M,,,,,,,,,,,,,,
Other Current Liability,55.00M,67.00M,96.00M,74.00M,83.00M,97.00M,98.00M,94.00M,122.00M,249.00M,219.00M,77.00M,100.00M,168.67M,167.77M,19.42M,107.00M,25.81M,45.53M,12.71M,98.78M,,,,5.61M,,,,0.731M,,,,0.763M
Total Current Liabilities,744.00M,803.00M,887.00M,767.00M,865.00M,1.086B,1.155B,1.358B,1.214B,1.309B,1.141B,926.00M,1.102B,860.66M,875.36M,671.25M,762.00M,742.15M,604.69M,168.80M,745.28M,134.89M,141.95M,138.72M,122.38M,118.35M,124.17M,123.30M,90.01M,54.14M,112.47M,130.25M,106.35M
Long Term Provisions - Legal & Other,90.00M,92.00M,92.00M,94.00M,83.00M,79.00M,78.00M,74.00M,64.00M,42.00M,48.00M,91.00M,69.00M,,,,84.00M,,,,,,,,,,,,0.034M,,,,0.65M
Non-Current Portion of Long Term Debt,3.06B,3.06B,2.995B,3.029B,2.98B,2.774B,2.602B,2.283B,4.284B,4.182B,4.362B,4.295B,4.509B,4.473B,4.189B,4.193B,1.953B,2.443B,1.694B,856.19M,1.092B,273.03M,235.78M,233.54M,185.63M,184.22M,181.73M,181.74M,184.83M,181.75M,1.087M,1.093M,1.098M
Long Term Cap Lease Obligation,530.00M,535.00M,535.00M,542.00M,16.00M,16.00M,17.00M,17.00M,10.00M,10.00M,11.00M,28.00M,12.00M,,,,32.00M,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,3.59B,3.595B,3.53B,3.571B,2.996B,2.79B,2.619B,2.30B,4.294B,4.192B,4.373B,4.323B,4.521B,4.473B,4.189B,4.193B,1.985B,2.443B,1.694B,856.19M,1.092B,273.03M,235.78M,233.54M,185.63M,184.22M,181.73M,181.74M,184.83M,181.75M,1.087M,1.093M,1.098M
Long Term Deferred Tax Liabilities,109.00M,93.00M,90.00M,90.00M,103.00M,118.00M,112.00M,124.00M,389.00M,582.00M,601.00M,626.00M,643.00M,695.00M,668.19M,684.08M,694.00M,419.30M,,,378.95M,1.108M,0.207M,0.193M,0.222M,0.424M,0.164M,0.152M,0.152M,0.00,2.969M,2.087M,2.595M
Non-Current Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.366M,,
Non-Current Deferred Liabilities,109.00M,93.00M,90.00M,90.00M,103.00M,118.00M,112.00M,124.00M,389.00M,582.00M,601.00M,626.00M,643.00M,695.00M,668.19M,684.08M,694.00M,419.30M,,,378.95M,1.108M,0.207M,0.193M,0.222M,0.424M,0.164M,0.152M,2.594M,0.00,7.335M,6.676M,7.407M
Non-Current Accrued Expenses,,0.00,0.00,0.00,,12.00M,12.00M,12.00M,13.00M,5.00M,5.00M,11.00M,10.00M,,,,16.00M,,,,,,,,,,,,,,,,
Minority Interest Ownership,,,,,,,,,,,,,,,,,,44.14M,56.29M,-4.798M,-5.644M,,,,0.00,,,,,,,,
Other Long Term Liabilities,147.00M,152.00M,92.00M,92.00M,48.00M,118.00M,114.00M,119.00M,123.00M,42.00M,42.00M,48.00M,112.00M,160.68M,168.77M,170.81M,38.00M,95.55M,52.82M,49.40M,89.27M,2.061M,2.192M,1.827M,2.159M,2.285M,2.305M,2.344M,,2.645M,0.681M,0.663M,
Total Long Term Liabilities,3.936B,3.932B,3.804B,3.847B,3.23B,3.117B,2.935B,2.629B,4.883B,4.863B,5.069B,5.099B,5.403B,5.329B,5.026B,5.048B,2.817B,2.958B,1.747B,905.58M,1.560B,276.20M,238.18M,235.56M,188.01M,186.93M,184.20M,184.23M,187.46M,184.39M,9.103M,8.432M,9.155M
Total Liabilities,4.68B,4.735B,4.691B,4.614B,4.095B,4.203B,4.09B,3.987B,6.097B,6.172B,6.21B,6.025B,6.505B,6.190B,5.902B,5.719B,3.579B,3.700B,2.352B,1.074B,2.306B,411.09M,380.12M,374.28M,310.39M,305.28M,308.36M,307.53M,277.47M,238.54M,121.57M,138.68M,115.50M
Total Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,
Retained Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,121.19M,117.49M,
Shareholders Equity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.18M,-20.18M,-20.18M,5.644M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.19M,117.49M,0.00
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated
