Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03
Net Operating Interest Income,-43.00M,-45.00M,-43.00M,-42.00M,-39.00M,-35.00M,-36.00M,-34.00M,-46.00M,-51.00M,-54.00M,-58.00M,-50.00M,-47.00M,-44.00M,-28.00M,-9.308M,-28.52M,-21.20M,-7.977M,,,-1.774M,-1.502M,-1.101M,-0.921M,-0.766M,-0.683M,-0.516M,-0.113M,-0.092M,-0.087M,-0.078M,-0.087M,-0.082M,-0.077M
Other Operating Expenses,68.00M,79.00M,73.00M,84.00M,93.00M,86.00M,86.00M,98.00M,94.00M,96.00M,93.00M,92.00M,239.00M,50.00M,47.00M,249.00M,-387.71M,266.68M,249.44M,230.77M,,,1.761M,2.034M,1.382M,0.606M,0.568M,0.631M,0.503M,1.036M,2.203M,1.436M,1.064M,1.315M,,1.143M
Total Operating Expenses,165.00M,179.00M,170.00M,170.00M,199.00M,182.00M,180.00M,197.00M,200.00M,180.00M,187.00M,198.00M,402.00M,138.00M,123.00M,418.00M,-508.95M,430.66M,421.37M,375.78M,,,10.75M,10.48M,9.165M,7.628M,6.354M,6.555M,5.187M,7.165M,8.358M,7.039M,7.102M,6.464M,5.19M,5.737M
Operating Income,120.00M,113.00M,99.00M,200.00M,-16.00M,151.00M,130.00M,99.00M,77.00M,136.00M,72.00M,58.00M,126.00M,54.00M,104.00M,93.00M,-30.25M,94.10M,123.84M,65.32M,,,11.45M,11.64M,10.88M,10.78M,10.60M,9.001M,9.424M,5.663M,5.822M,2.844M,3.362M,5.072M,6.999M,3.098M
Non-Operating Interest Income,1.00M,1.00M,0.00,1.00M,-1.00M,1.00M,1.00M,2.00M,1.00M,0.00,7.00M,1.00M,-4.00M,3.00M,3.00M,0.00,-0.10M,0.49M,0.295M,1.315M,,,0.023M,0.023M,0.032M,0.048M,0.077M,0.108M,0.165M,0.029M,0.019M,0.02M,0.021M,0.02M,0.021M,0.026M
Non-Operating Interest Expense,42.00M,43.00M,41.00M,42.00M,36.00M,35.00M,36.00M,34.00M,44.00M,47.00M,57.00M,55.00M,43.00M,46.00M,44.00M,27.00M,7.499M,27.92M,20.67M,8.911M,,,1.667M,1.429M,1.038M,0.874M,0.748M,0.696M,0.585M,0.136M,0.111M,0.107M,0.099M,0.107M,0.103M,0.103M
Net Non-Operating Interest Income Expense,-43.00M,-45.00M,-43.00M,-42.00M,-39.00M,-35.00M,-36.00M,-34.00M,-46.00M,-51.00M,-54.00M,-58.00M,-50.00M,-47.00M,-44.00M,-28.00M,-9.308M,-28.52M,-21.20M,-7.977M,,,-1.774M,-1.502M,-1.101M,-0.921M,-0.766M,-0.683M,-0.516M,-0.113M,-0.092M,-0.087M,-0.078M,-0.087M,-0.082M,-0.077M
Other Income and Expenses,-20.00M,4.00M,4.00M,-51.00M,-22.00M,8.00M,-2.00M,-112.00M,-12.00M,-8.00M,-92.00M,-2.00M,-226.00M,0.00,0.00,-1.00M,-0.106M,-0.747M,-0.178M,0.031M,,,0.036M,0.00,-0.118M,-0.112M,-0.072M,-0.022M,-0.112M,-0.194M,0.075M,-0.111M,-0.008M,-0.07M,-1.40M,-0.091M
Net Interest Income,-43.00M,-45.00M,-43.00M,-42.00M,-39.00M,-35.00M,-36.00M,-34.00M,-46.00M,-51.00M,-54.00M,-58.00M,-50.00M,-47.00M,-44.00M,-28.00M,-9.308M,-28.52M,-21.20M,-7.977M,,,-1.774M,-1.502M,-1.101M,-0.921M,-0.766M,-0.683M,-0.516M,-0.113M,-0.092M,-0.087M,-0.078M,-0.087M,-0.082M,-0.077M
Pre-Tax Income,57.00M,72.00M,60.00M,107.00M,-77.00M,124.00M,92.00M,-47.00M,19.00M,77.00M,-74.00M,-2.00M,-150.00M,7.00M,60.00M,64.00M,-39.66M,64.84M,102.46M,57.37M,,,9.715M,10.14M,9.665M,9.742M,9.764M,8.296M,8.796M,5.356M,5.805M,2.646M,3.276M,4.915M,5.517M,2.93M
Provision for Income Taxes,-26.00M,6.00M,5.00M,-2.00M,-5.00M,10.00M,-2.00M,31.00M,-203.00M,-44.00M,-45.00M,-14.00M,-51.00M,-26.00M,3.00M,2.00M,-18.11M,30.12M,8.926M,8.063M,,,0.12M,-0.007M,0.142M,0.145M,0.084M,0.069M,-9.846M,1.739M,2.102M,0.972M,-10.88M,1.778M,1.991M,1.069M
Income from Continuing Operations,83.00M,66.00M,55.00M,109.00M,-72.00M,114.00M,94.00M,-78.00M,222.00M,121.00M,-29.00M,12.00M,-99.00M,33.00M,57.00M,62.00M,-21.55M,34.71M,93.53M,49.31M,,,9.595M,10.15M,9.523M,9.597M,9.68M,8.227M,18.64M,3.617M,3.703M,1.674M,14.15M,3.137M,3.526M,1.861M
Income from Discontinued Operations,0.00,0.00,0.00,0.00,0.00,-2.00M,-26.00M,-237.00M,10.00M,17.00M,-193.00M,-11.00M,-486.00M,12.00M,15.00M,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,,,,,,,,,,,,,,,,,-1.455M,-0.852M,-0.847M,-0.846M,,,0.00,0.00,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,-14.73M,6.315M,57.82M,31.39M,,,,,,,,,,,,,,,,
Net Income,83.00M,66.00M,55.00M,109.00M,-72.00M,112.00M,68.00M,-315.00M,232.00M,138.00M,-222.00M,1.00M,-585.00M,45.00M,72.00M,41.00M,29.22M,25.07M,92.69M,48.46M,,,9.531M,10.13M,9.523M,9.597M,9.68M,8.227M,8.576M,3.617M,3.703M,1.674M,2.074M,3.137M,3.526M,1.861M
Normalized Income,101.25M,62.33M,51.33M,146.23M,-51.43M,106.65M,95.46M,3.76M,229.20M,125.80M,26.20M,13.20M,50.16M,33.00M,57.00M,41.97M,-8.719M,25.52M,92.85M,48.43M,,,9.495M,10.13M,9.639M,9.707M,9.751M,8.249M,8.649M,3.748M,3.655M,1.744M,2.079M,3.182M,4.421M,1.919M
EBITDA,145.00M,160.00M,148.00M,194.00M,9.00M,201.00M,169.00M,36.00M,108.00M,158.00M,19.00M,107.00M,-16.00M,84.00M,132.00M,169.00M,-85.09M,158.74M,193.33M,133.02M,,,14.72M,14.89M,13.30M,13.05M,12.35M,10.81M,10.62M,7.509M,7.808M,4.637M,5.502M,6.502M,6.914M,4.222M
Reconciled Depreciation,46.00M,45.00M,47.00M,45.00M,50.00M,42.00M,41.00M,49.00M,45.00M,34.00M,36.00M,54.00M,91.00M,31.00M,-24.00M,78.00M,-52.93M,65.98M,70.20M,66.74M,,,3.333M,3.326M,2.597M,2.432M,1.837M,1.821M,1.238M,2.017M,1.892M,1.884M,2.127M,1.48M,1.294M,1.189M
EBIT,99.00M,115.00M,101.00M,149.00M,-41.00M,159.00M,128.00M,-13.00M,63.00M,124.00M,-17.00M,53.00M,-107.00M,53.00M,104.00M,91.00M,-32.16M,92.75M,123.13M,66.28M,,,11.38M,11.57M,10.70M,10.62M,10.51M,8.992M,9.381M,5.492M,5.916M,2.753M,3.375M,5.022M,5.62M,3.033M
EPS Basic from Continuing Operations,0.76,0.57,0.44,1.08,-1.11,1.16,0.91,-1.11,1.91,0.92,-0.58,-0.11,-1.30,0.11,0.38,0.47,-0.05,0.30,0.87,0.44,0.83,,0.43,0.46,0.43,0.44,0.44,0.38,0.39,0.03,,,,,,
EPS Basic from Discontinued Operations,0.00,0.00,0.00,0.00,0.00,-0.03,-0.32,-2.63,0.12,0.17,-1.94,-0.11,-5.20,0.13,0.15,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,0.9804,0.5257,0.3957,1.530,-0.8607,1.071,0.9277,-0.1991,1.982,0.9683,-0.0250,-0.0978,0.2515,0.11,0.38,0.4811,-0.0492,0.3082,0.8745,0.4392,0.83,,0.4284,0.46,0.4354,0.4450,0.4433,0.3810,0.3933,0.0360,0.1671,0.0797,0.0950,0.1454,0.2021,0.0877
EPS Basic,0.76,0.57,0.44,1.08,-1.11,1.13,0.59,-3.74,2.03,1.09,-2.52,-0.22,-6.50,0.24,0.53,0.47,0.15,0.30,0.87,0.44,0.83,,0.43,0.46,0.43,0.44,0.44,0.38,0.39,0.03,0.1692,0.0765,0.0948,0.1434,0.1612,0.0851
EPS Diluted from Continuing Operations,0.75,0.57,0.43,1.07,-1.11,1.15,0.90,-1.11,1.90,0.91,-0.59,-0.11,-1.30,0.11,0.38,0.47,-0.05,0.30,0.87,0.44,0.83,,0.43,0.46,0.43,0.43,0.44,0.38,0.39,0.03,,,,,,
EPS Diluted from Discontinued Operations,0.00,0.00,0.00,0.00,0.00,-0.03,-0.32,-2.63,0.12,0.17,-1.94,-0.11,-5.20,0.13,0.15,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,0.9681,0.5262,0.3861,1.517,-0.8626,1.061,0.9176,-0.2043,1.972,0.9579,-0.0374,-0.0978,0.2515,0.11,0.38,0.4811,-0.0492,0.3082,0.8745,0.4392,0.83,,0.4284,0.46,0.4354,0.4350,0.4433,0.3810,0.3933,0.0360,0.1671,0.0797,0.0950,0.1454,0.2021,0.0877
EPS Diluted,0.75,0.57,0.43,1.07,-1.11,1.12,0.58,-3.74,2.02,1.08,-2.53,-0.22,-6.50,0.24,0.53,0.47,0.15,0.30,0.87,0.44,0.83,,0.43,0.46,0.43,0.43,0.44,0.38,0.39,0.03,0.1692,0.0765,0.0948,0.1434,0.1612,0.0851
Average Basic Shares Outstanding,82.82M,82.75M,82.74M,82.71M,82.52M,82.51M,82.49M,89.75M,99.53M,99.47M,99.47M,98.61M,96.14M,95.34M,95.34M,87.45M,75.26M,54.71M,35.83M,35.04M,35.04M,21.99M,21.99M,21.96M,21.64M,21.90M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M
Average Diluted Shares Outstanding,83.67M,83.65M,83.51M,83.38M,83.16M,83.08M,82.95M,90.27M,100.17M,100.12M,99.90M,98.72M,96.14M,95.41M,95.40M,87.47M,75.34M,54.71M,35.88M,35.08M,35.04M,21.99M,21.99M,21.98M,21.72M,21.93M,21.90M,21.89M,21.89M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M,21.88M
Dividend Per Share,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8255,0.8173,0.8013,0.7454,0.6934,0.645,0.60,0.5457,0.5197,0.5021,0.4851,0.4687,0.4528,0.4375,0.4375,0.0285,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,
