Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03
Inventories,671.00M,802.00M,932.00M,882.00M,758.00M,804.00M,725.00M,640.00M,594.00M,693.00M,581.00M,599.00M,608.00M,651.00M,671.00M,637.00M,635.00M,619.00M,519.00M,506.00M,414.00M,522.00M,430.00M,363.00M,363.00M,405.00M,454.00M,442.00M,381.00M,482.00M,448.00M,395.00M,336.00M,423.00M,430.00M,422.00M,363.00M,324.00M,330.00M,329.00M,344.00M,317.00M,294.00M,275.00M,325.00M,356.00M,379.00M,385.00M,386.00M,543.00M,537.00M,499.00M,376.00M,2.139B,1.969B,1.951B,460.00M,2.014B,1.96B,1.858B,1.745B,1.965B,2.068B,2.003B,1.998B,2.085B,2.114B,2.045B,2.032B,2.128B,2.083B,2.012B,2.177B,2.347B,2.274B,2.218B,1.908B,1.934B,1.945B,1.935B,1.95B,7.386B,1.969B,1.831B,1.991B,2.285B,2.031B,2.059B
Prepaid Expenses,633.00M,610.00M,684.00M,586.00M,529.00M,516.00M,537.00M,489.00M,761.00M,489.00M,491.00M,457.00M,670.00M,231.00M,211.00M,195.00M,413.00M,199.00M,177.00M,372.00M,161.00M,309.00M,327.00M,334.00M,286.00M,127.00M,114.00M,94.00M,182.00M,260.00M,194.00M,182.00M,226.00M,149.00M,266.00M,242.00M,141.00M,118.00M,112.00M,116.00M,116.00M,96.00M,93.00M,88.00M,99.00M,113.00M,129.00M,193.00M,98.00M,391.00M,244.00M,233.00M,108.00M,273.00M,277.00M,260.00M,255.00M,316.00M,325.00M,317.00M,343.00M,262.00M,214.00M,103.00M,154.00M,135.00M,221.00M,214.00M,247.00M,151.00M,119.00M,160.00M,309.00M,798.00M,155.00M,,178.00M,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,75.00M,90.00M,102.00M,96.00M,83.00M,177.00M,229.00M,221.00M,148.00M,301.00M,287.00M,266.00M,328.00M,301.00M,266.00M,273.00M,382.00M,387.00M,390.00M,395.00M,452.00M,440.00M,436.00M,432.00M,215.00M,227.00M,240.00M,257.00M,341.00M,372.00M,408.00M,355.00M,420.00M,436.00M,452.00M,469.00M,534.00M,498.00M,524.00M,466.00M,485.00M,507.00M,438.00M,601.00M,597.00M,649.00M,616.00M,620.00M,699.00M,,,476.00M,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.366B,,,,,2.398B,,,,,,15.00M,17.00M,19.00M,,20.00M,55.00M,55.00M,,60.00M,63.00M,74.00M,,83.00M,105.00M,150.00M,,3.919B,620.00M,689.00M,,672.00M,925.00M,789.00M,1.255B,936.00M,6.426B,6.109B,1.076B,6.303B,6.467B,6.294B
Total Current Assets,13.08B,12.03B,11.53B,10.96B,12.14B,10.64B,11.32B,10.96B,11.33B,10.78B,10.94B,10.52B,10.88B,10.16B,9.85B,9.359B,9.812B,9.528B,8.704B,10.24B,10.28B,10.28B,10.30B,10.44B,9.816B,9.752B,9.276B,9.458B,9.246B,9.26B,8.779B,9.185B,9.309B,8.112B,8.077B,8.544B,8.822B,7.525B,7.72B,8.179B,7.868B,7.549B,7.594B,7.339B,7.417B,8.168B,7.981B,7.497B,7.616B,7.807B,8.15B,9.099B,9.517B,8.081B,7.70B,7.628B,8.313B,7.713B,7.291B,7.442B,7.124B,7.227B,7.395B,6.912B,7.125B,6.766B,7.33B,7.324B,7.19B,7.496B,8.622B,8.406B,9.647B,8.857B,8.114B,7.788B,8.013B,7.891B,8.357B,8.187B,8.602B,9.22B,9.416B,8.883B,8.965B,9.634B,9.701B,9.801B
Properties,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,
Land and Improvements,81.00M,,,,84.00M,,,,85.00M,,,,88.00M,,,,86.00M,,,,103.00M,,,,104.00M,,,,104.00M,,,,105.00M,,,,93.00M,,,,93.00M,,,,85.00M,,,,86.00M,,,,,,,,84.00M,,,,89.00M,,,,90.00M,,,,91.00M,,,,82.00M,,,,75.00M,,,,,,,,,,,
Buildings and Improvements,3.068B,,,,2.835B,,,,2.567B,,,,2.508B,,,,2.53B,,,,2.607B,,,,2.547B,,,,2.503B,,,,2.423B,,,,2.394B,,,,2.293B,,,,2.202B,,,,2.158B,,,,,,,,1.848B,,,,1.885B,,,,1.769B,,,,1.606B,,,,1.655B,,,,1.92B,,,,,,,,,,,
"Machine, Furniture & Equipment",5.436B,,,,4.844B,,,,4.621B,,,,4.198B,,,,3.917B,,,,3.716B,,,,3.605B,,,,3.533B,,,,3.44B,,,,3.357B,,,,3.187B,,,,3.137B,,,,3.127B,,,,,,,,2.972B,,,,3.775B,,,,3.463B,,,,3.083B,,,,2.802B,,,,2.522B,,,,,,,,,,,
Other Properties,875.00M,3.958B,3.87B,3.715B,805.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00M,,,,93.00M,,,,107.00M,,,,,,,,121.00M,,,,172.00M,,,,189.00M,,,,189.00M,,,,101.00M,,,,388.00M,,,,,,,,,,,
Gross PP&E,9.46B,3.958B,3.87B,3.715B,8.568B,,,,7.273B,,,,6.794B,,,,6.533B,,,,6.426B,,,,6.256B,,,,6.14B,,,,5.968B,,,,5.844B,,,,5.655B,,,,5.517B,5.535B,5.535B,5.455B,5.478B,5.332B,5.356B,5.375B,,6.17B,6.203B,6.218B,5.025B,5.774B,5.806B,5.867B,5.921B,5.60B,5.599B,5.61B,5.511B,5.193B,5.034B,4.96B,4.969B,5.004B,4.999B,4.973B,4.64B,4.693B,4.928B,4.912B,4.905B,4.756B,4.769B,4.755B,4.57B,4.511B,4.475B,4.457B,4.475B,4.256B,5.206B,5.376B
Accumulated D&A,-5.232B,,,,-4.923B,,,,-4.834B,,,,-4.628B,,,,-4.528B,,,,-4.491B,,,,-4.319B,,,,-4.154B,,,,-3.962B,,,,-3.841B,,,,-3.654B,,,,-3.493B,-3.545B,-3.514B,-3.42B,-3.42B,-3.27B,-3.27B,-3.27B,,-3.582B,-3.582B,-3.582B,-2.889B,-3.183B,-3.183B,-3.183B,-3.183B,-2.929B,-2.929B,-2.929B,-2.80B,-2.573B,-2.573B,-2.573B,-2.573B,-2.68B,-2.68B,-2.68B,-2.444B,-2.414B,-2.414B,-2.414B,-2.414B,-2.304B,-2.304B,-2.304B,-2.183B,-2.20B,-2.20B,-2.20B,-2.20B,-1.982B,-2.393B,-2.51B
Net PP&E,4.228B,3.958B,3.87B,3.715B,3.645B,2.639B,2.554B,2.478B,2.439B,2.248B,2.172B,2.146B,2.166B,2.053B,2.028B,2.018B,2.005B,1.934B,1.929B,1.906B,1.935B,1.86B,1.878B,1.902B,1.937B,1.907B,1.924B,1.954B,1.986B,1.929B,1.943B,1.979B,2.006B,1.958B,1.966B,1.997B,2.003B,1.951B,1.953B,1.969B,2.001B,1.945B,1.961B,1.981B,2.024B,1.99B,2.021B,2.035B,2.058B,2.062B,2.086B,2.105B,2.025B,2.588B,2.621B,2.636B,2.136B,2.591B,2.623B,2.684B,2.738B,2.671B,2.67B,2.681B,2.711B,2.62B,2.461B,2.387B,2.396B,2.324B,2.319B,2.293B,2.196B,2.279B,2.514B,2.498B,2.491B,2.452B,2.465B,2.451B,2.387B,2.311B,2.275B,2.257B,2.275B,2.274B,2.813B,2.866B
Goodwill,14.88B,14.88B,14.88B,14.88B,14.86B,14.86B,14.86B,14.87B,14.87B,14.88B,14.83B,14.82B,14.79B,14.79B,14.79B,14.79B,14.73B,14.68B,14.68B,13.06B,13.06B,12.76B,12.76B,12.76B,12.76B,12.76B,12.76B,12.76B,12.76B,12.55B,12.54B,12.54B,12.54B,12.47B,12.47B,12.44B,12.04B,11.92B,11.92B,11.92B,11.92B,11.67B,11.66B,11.66B,11.66B,11.67B,11.66B,11.63B,11.63B,11.46B,11.54B,11.54B,11.46B,,11.59B,,11.55B,,,,11.52B,,,,11.48B,,,,11.17B,,,,11.36B,,,,13.28B,,,,,,,,,,,
Other Intangible Assets,535.00M,,,,622.00M,,,,769.00M,,,,889.00M,,,,994.00M,,,,616.00M,,,,575.00M,,,,664.00M,,,,648.00M,,,,,,,,,,,,,,,,,,,,,11.62B,,11.59B,,11.55B,11.51B,11.51B,,11.48B,11.48B,11.48B,,11.47B,11.45B,11.33B,,11.17B,11.17B,11.36B,,12.38B,13.03B,13.18B,,13.38B,13.47B,13.56B,13.60B,14.15B,14.23B,14.33B,14.40B,,,
Goodwill and Intangibles,15.42B,14.88B,14.88B,14.88B,15.49B,14.86B,14.86B,14.87B,15.64B,14.88B,14.83B,14.82B,15.68B,14.79B,14.79B,14.79B,15.72B,14.68B,14.68B,13.06B,13.68B,12.76B,12.76B,12.76B,13.34B,12.76B,12.76B,12.76B,13.42B,12.55B,12.54B,12.54B,13.19B,12.47B,12.47B,12.44B,12.04B,11.92B,11.92B,11.92B,11.92B,11.67B,11.66B,11.66B,11.66B,11.67B,11.66B,11.63B,11.63B,11.46B,11.54B,11.54B,11.46B,11.62B,11.59B,11.59B,11.55B,11.55B,11.51B,11.51B,11.52B,11.48B,11.48B,11.48B,11.48B,11.47B,11.45B,11.33B,11.17B,11.17B,11.17B,11.36B,11.36B,12.38B,13.03B,13.18B,13.28B,13.38B,13.47B,13.56B,13.60B,14.15B,14.23B,14.33B,14.40B,,,
Long Term Investments,753.00M,,,,642.00M,,,,633.00M,,,,550.00M,,,,525.00M,,,,519.00M,,,,479.00M,,,,407.00M,,,,363.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,534.00M,,,,331.00M,,,,537.00M,,,,718.00M,,,,906.00M,,,,1.065B,,,,66.00M,1.106B,1.14B,1.245B,1.367B,720.00M,476.00M,575.00M,657.00M,121.00M,129.00M,130.00M,106.00M,112.00M,326.00M,363.00M,436.00M,445.00M,572.00M,704.00M,735.00M,,,,0.00,74.00M,240.00M,230.00M,170.00M,,,,0.00,,,8.00M,71.00M,156.00M,288.00M,244.00M,337.00M,358.00M,316.00M,417.00M,281.00M,,,,0.00,,,,,,,,,,,,,,,
Other Long Term Assets,552.00M,1.949B,1.908B,2.023B,429.00M,1.995B,2.004B,2.188B,285.00M,2.374B,2.293B,2.383B,242.00M,2.453B,2.429B,2.661B,308.00M,3.106B,3.121B,2.591B,241.00M,1.40B,1.438B,1.435B,330.00M,1.248B,1.272B,1.273B,260.00M,1.242B,1.338B,1.344B,327.00M,1.461B,1.414B,1.468B,1.446B,1.193B,1.231B,1.243B,1.38B,1.207B,1.186B,1.13B,1.24B,1.273B,1.938B,1.97B,1.363B,2.084B,2.273B,2.11B,1.791B,2.501B,2.542B,2.707B,1.668B,2.471B,2.553B,2.693B,1.99B,2.467B,2.47B,2.447B,1.853B,2.578B,2.734B,2.852B,2.233B,3.524B,3.588B,3.597B,1.261B,3.237B,3.103B,3.059B,1.298B,2.889B,2.873B,2.802B,2.704B,2.863B,2.807B,2.777B,2.596B,16.80B,16.61B,16.52B
Total Long Term Assets,21.48B,20.79B,20.66B,20.62B,20.53B,19.50B,19.42B,19.54B,19.53B,19.50B,19.29B,19.35B,19.35B,19.30B,19.25B,19.47B,19.47B,19.72B,19.73B,17.56B,17.44B,16.02B,16.08B,16.10B,16.15B,17.03B,17.10B,17.23B,17.44B,16.44B,16.30B,16.44B,16.54B,16.01B,15.98B,16.03B,15.60B,15.33B,15.56B,15.62B,15.74B,15.33B,15.46B,15.54B,15.72B,15.60B,15.62B,15.64B,15.66B,15.68B,16.14B,15.98B,15.97B,16.71B,16.75B,16.93B,16.07B,16.61B,16.69B,16.90B,17.03B,16.77B,16.91B,16.85B,17.08B,17.03B,16.96B,16.99B,16.76B,17.02B,17.08B,17.25B,17.13B,17.90B,18.65B,18.74B,18.76B,18.72B,18.81B,18.82B,18.69B,19.32B,19.31B,19.37B,19.27B,19.08B,19.43B,19.39B
Total Assets,34.57B,32.82B,32.19B,31.58B,32.67B,30.13B,30.74B,30.50B,30.86B,30.28B,30.23B,29.87B,30.24B,29.45B,29.10B,28.83B,29.28B,29.25B,28.44B,27.80B,27.72B,26.31B,26.38B,26.54B,25.97B,26.78B,26.38B,26.69B,26.69B,25.70B,25.08B,25.63B,25.85B,24.12B,24.06B,24.57B,24.42B,22.85B,23.28B,23.80B,23.61B,22.88B,23.05B,22.88B,23.13B,23.77B,23.60B,23.13B,23.28B,23.49B,24.29B,25.08B,25.49B,24.79B,24.45B,24.56B,24.38B,24.32B,23.98B,24.34B,24.15B,24.00B,24.30B,23.76B,24.21B,23.80B,24.29B,24.31B,23.95B,24.51B,25.70B,25.66B,26.77B,26.76B,26.76B,26.53B,26.78B,26.61B,27.16B,27.00B,27.29B,28.54B,28.73B,28.25B,28.23B,28.71B,29.13B,29.19B
Accounts Payable,1.796B,1.47B,1.368B,1.361B,1.964B,1.392B,1.38B,1.255B,1.519B,1.347B,1.278B,1.282B,1.52B,1.415B,1.405B,1.304B,1.402B,1.334B,1.171B,1.141B,1.25B,1.06B,1.113B,1.078B,1.178B,1.143B,1.164B,1.221B,1.348B,1.19B,1.179B,1.199B,1.507B,1.349B,1.331B,1.322B,1.538B,1.413B,1.33B,1.31B,1.397B,1.266B,1.189B,1.209B,1.201B,1.196B,3.061B,2.886B,1.141B,2.768B,2.788B,2.78B,910.00M,1.084B,1.001B,1.058B,813.00M,964.00M,952.00M,820.00M,867.00M,824.00M,814.00M,757.00M,833.00M,786.00M,824.00M,693.00M,776.00M,803.00M,767.00M,782.00M,910.00M,903.00M,1.06B,969.00M,1.099B,988.00M,1.002B,1.114B,1.204B,1.59B,1.921B,1.816B,2.071B,1.657B,1.824B,1.864B
Current Tax Payable,,,,,,,,,,,,,,,,,,,103.00M,346.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,1.796B,1.47B,1.368B,1.361B,1.964B,1.392B,1.38B,1.255B,1.519B,1.347B,1.278B,1.282B,1.52B,1.415B,1.405B,1.304B,1.402B,1.334B,1.274B,1.487B,1.25B,1.06B,1.113B,1.078B,1.178B,1.143B,1.164B,1.221B,1.348B,1.19B,1.179B,1.199B,1.507B,1.349B,1.331B,1.322B,1.538B,1.413B,1.33B,1.31B,1.397B,1.266B,1.189B,1.209B,1.201B,1.196B,3.061B,2.886B,1.141B,2.768B,2.788B,2.78B,910.00M,1.084B,1.001B,1.058B,813.00M,964.00M,952.00M,820.00M,867.00M,824.00M,814.00M,757.00M,833.00M,786.00M,824.00M,693.00M,776.00M,803.00M,767.00M,782.00M,910.00M,903.00M,1.06B,969.00M,1.099B,988.00M,1.002B,1.114B,1.204B,1.59B,1.921B,1.816B,2.071B,1.657B,1.824B,1.864B
Accrued Expenses,,,,,,,,,,,,,,,,,,,,1.299B,,1.371B,1.299B,1.422B,1.214B,1.311B,1.223B,1.416B,1.142B,1.179B,1.092B,1.313B,1.14B,1.273B,1.156B,1.505B,1.32B,1.831B,1.214B,1.22B,1.034B,988.00M,1.016B,1.098B,1.065B,1.175B,1.749B,1.588B,900.00M,2.088B,2.133B,1.953B,1.043B,2.256B,1.952B,2.22B,1.243B,2.285B,2.125B,2.098B,1.403B,2.117B,2.273B,1.809B,1.086B,1.908B,1.91B,1.764B,1.316B,1.925B,2.028B,1.927B,1.536B,2.124B,,,1.205B,,,,,,,,,,,
Payables and Accrued Expenses,1.796B,1.47B,1.368B,1.361B,1.964B,1.392B,1.38B,1.255B,1.519B,1.347B,1.278B,1.282B,1.52B,1.415B,1.405B,1.304B,1.402B,1.334B,1.274B,2.786B,1.25B,2.431B,2.412B,2.50B,2.392B,2.454B,2.387B,2.637B,2.49B,2.369B,2.271B,2.512B,2.647B,2.622B,2.487B,2.827B,2.858B,3.244B,2.544B,2.53B,2.431B,2.254B,2.205B,2.307B,2.266B,2.371B,4.81B,4.474B,2.041B,4.856B,4.921B,4.733B,1.953B,3.34B,2.953B,3.278B,2.056B,3.249B,3.077B,2.918B,2.27B,2.941B,3.087B,2.566B,1.919B,2.694B,2.734B,2.457B,2.092B,2.728B,2.795B,2.709B,2.446B,3.027B,1.06B,969.00M,2.304B,988.00M,1.002B,1.114B,1.204B,1.59B,1.921B,1.816B,2.071B,1.657B,1.824B,1.864B
Notes Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.00M,686.00M,686.00M,,582.00M,91.00M,456.00M,487.00M,880.00M,876.00M,941.00M,516.00M,835.00M,168.00M,13.00M,15.00M,559.00M,968.00M,1.528B,1.153B,776.00M,1.783B,1.792B,1.363B,1.723B,,,877.00M,,,,,,,,,,,
Commercial Paper Liability,,,,,,300.00M,300.00M,300.00M,300.00M,300.00M,300.00M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.499B,500.00M,800.00M,800.00M,300.00M,300.00M,300.00M,300.00M,300.00M,300.00M,300.00M,251.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.00M,686.00M,686.00M,687.00M,582.00M,91.00M,456.00M,487.00M,880.00M,876.00M,941.00M,516.00M,835.00M,168.00M,13.00M,15.00M,559.00M,968.00M,1.528B,1.153B,776.00M,1.783B,1.792B,1.363B,1.723B,255.00M,1.185B,877.00M,972.00M,1.43B,1.109B,2.471B,3.939B,3.016B,2.482B,2.078B,4.053B,4.43B,4.908B
Current Debt & Capital Lease Obligation,1.499B,500.00M,800.00M,800.00M,300.00M,300.00M,300.00M,300.00M,300.00M,300.00M,300.00M,251.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.00M,686.00M,686.00M,687.00M,582.00M,91.00M,456.00M,487.00M,880.00M,876.00M,941.00M,516.00M,835.00M,168.00M,13.00M,15.00M,559.00M,968.00M,1.528B,1.153B,776.00M,1.783B,1.792B,1.363B,1.723B,255.00M,1.185B,877.00M,972.00M,1.43B,1.109B,2.471B,3.939B,3.016B,2.482B,2.078B,4.053B,4.43B,4.908B
Current Deferred Revenue,3.267B,2.977B,2.944B,2.93B,3.309B,2.931B,2.886B,2.949B,2.927B,2.519B,2.704B,2.605B,2.646B,2.063B,2.136B,2.136B,2.193B,2.215B,1.975B,1.944B,2.284B,2.382B,2.558B,2.612B,2.35B,2.232B,2.14B,2.187B,2.398B,2.169B,2.274B,2.36B,2.542B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
