Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.62M,-395.62M,195.65M,-195.65M,90.47M,-127.26M,-116.36M,154.06M,582.95M,-272.84M,73.22M,199.62M,-236.80M,93.98M,-163.80M,69.82M,33.20M,178.51M,-69.46M,71.37M,221.25M,37.80M,37.91M,-134.22M,-216.05M,85.45M,-44.62M,45.16M,127.90M,160.84M,98.75M,107.51M,260.34M,-298.34M,-32.63M,32.63M,179.95M,-169.35M,-0.70M,0.70M,26.50M,-216.90M,64.20M,-81.20M,129.50M,-25.50M,-25.50M,-16.30M,-100.50M,-10.50M,-19.70M,-6.50M,-19.80M,-63.30M,-1.90M,5.70M,79.40M,-8.40M,-10.70M,-5.50M,-24.40M,11.70M,18.80M,-61.70M
Change in Other Working Cap,-25.44M,-49.46M,-62.28M,-47.08M,-438.54M,-73.22M,-423.66M,-137.95M,188.03M,-71.46M,-276.77M,-76.00M,47.72M,-159.58M,-89.33M,-15.96M,265.03M,-94.45M,-114.27M,48.42M,621.72M,418.15M,-81.17M,-280.84M,-293.08M,187.94M,-92.66M,-52.26M,116.58M,65.42M,-126.41M,83.72M,593.04M,321.90M,-130.77M,-330.68M,245.98M,278.66M,-148.53M,-107.47M,24.82M,58.92M,-89.45M,-320.76M,455.18M,680.50M,-712.39M,-64.68M,-150.32M,156.80M,89.16M,-344.44M,-1.250B,1.379B,-642.49M,582.94M,65.66M,-170.30M,123.70M,-82.88M,-200.05M,205.45M,46.35M,69.58M,-146.61M,-555.70M,-81.65M,-40.94M,133.87M,237.22M,163.42M,17.32M,6.992M,484.69M,-66.20M,38.51M,-271.98M,223.68M,203.24M,14.06M,-205.88M,212.74M,173.24M,-32.60M,-180.10M,207.40M,-64.30M,81.80M,-484.00M,477.80M,-198.80M,207.70M,-202.10M,155.00M,6.60M,-81.20M,-53.00M,183.50M,-117.70M,16.80M,-77.30M,273.50M,-138.80M,7.60M,-23.80M,124.10M,-83.40M,0.60M
Changes in Working Capital,178.79M,-277.08M,-167.10M,-140.02M,-162.44M,-113.44M,-353.07M,-158.23M,416.20M,-279.76M,-303.16M,-33.77M,253.15M,-280.49M,-51.04M,-59.41M,472.46M,-94.26M,-96.34M,-216.04M,786.36M,310.66M,-80.56M,-287.56M,-150.90M,-60.43M,-72.03M,-194.33M,148.24M,140.31M,-77.52M,-47.67M,1.288B,366.84M,-227.40M,-526.77M,-68.56M,768.25M,-223.13M,-200.93M,21.39M,20.87M,-82.15M,-420.16M,1.179B,46.68M,-414.59M,-282.84M,236.81M,-172.54M,-82.01M,-406.30M,-152.93M,910.39M,-593.18M,825.55M,-140.74M,-124.16M,-136.35M,-46.66M,79.72M,179.38M,-23.96M,-32.05M,497.52M,-707.72M,-179.89M,-486.85M,326.51M,314.40M,-30.27M,54.45M,597.05M,584.33M,9.714M,-229.24M,302.82M,-153.44M,-30.40M,31.12M,147.77M,5.291M,76.84M,-65.20M,42.70M,-46.70M,-62.60M,-25.90M,-205.70M,382.80M,-147.50M,137.40M,-132.20M,-3.10M,-127.00M,-60.40M,141.10M,31.00M,-347.20M,46.70M,200.50M,232.30M,-242.50M,11.90M,84.60M,53.30M,-158.00M,-69.10M
Cash from Operations,698.68M,1.065B,551.90M,501.19M,525.74M,779.58M,522.53M,557.39M,910.75M,893.07M,290.29M,529.39M,746.30M,1.000B,719.26M,532.82M,941.54M,1.011B,727.40M,610.96M,998.07M,1.363B,761.41M,767.16M,989.76M,1.084B,571.92M,543.99M,720.50M,1.032B,587.42M,600.50M,999.06M,1.153B,654.15M,323.10M,760.99M,1.697B,793.57M,674.26M,923.83M,992.98M,641.73M,374.62M,631.51M,1.779B,465.40M,448.17M,933.02M,662.62M,470.81M,493.32M,1.162B,776.81M,468.03M,1.013B,360.86M,333.80M,276.39M,496.76M,1.216B,784.60M,530.30M,398.77M,829.74M,650.82M,474.55M,50.71M,511.43M,867.29M,449.08M,353.90M,986.79M,628.06M,416.14M,184.55M,793.42M,436.60M,427.24M,310.60M,380.27M,417.44M,398.09M,193.20M,406.50M,619.30M,378.80M,274.50M,149.90M,734.50M,335.00M,505.20M,259.30M,642.40M,358.00M,268.30M,337.00M,639.00M,174.10M,275.60M,417.20M,612.40M,185.80M,322.40M,298.00M,483.10M,137.70M,155.60M
Net Change in Capital Expenditures,-1.497B,-984.86M,-1.160B,-990.07M,-1.217B,-1.078B,-994.61M,-981.13M,-1.153B,-918.69M,-997.41M,-932.06M,-931.16M,-746.59M,-696.90M,-1.670B,-952.44M,-780.39M,-632.28M,-629.35M,-796.66M,-664.17M,-569.89M,-626.02M,-643.05M,-725.30M,-677.34M,-777.02M,-1.407B,-788.52M,-729.13M,-764.60M,-1.092B,-541.62M,-906.52M,-787.54M,-655.51M,-589.08M,-624.60M,-512.81M,-822.16M,-552.94M,-507.00M,-574.63M,-1.181B,-1.449B,155.83M,-429.73M,-631.54M,-418.78M,-970.09M,-302.57M,-678.76M,-156.82M,-412.50M,-752.38M,-580.92M,-76.72M,-689.22M,-273.30M,-465.80M,-240.52M,-451.21M,-253.08M,-517.29M,-247.04M,-417.84M,-386.77M,-477.30M,-155.24M,-545.51M,-352.25M,-440.76M,-258.75M,-379.21M,-301.70M,-381.64M,-215.96M,-466.46M,-429.66M,-403.45M,-154.31M,-354.94M,-283.10M,-474.30M,-276.60M,-271.70M,-223.70M,-329.50M,-257.80M,-169.20M,-179.90M,-151.20M,-185.40M,-162.40M,-196.80M,-217.70M,-187.40M,-302.70M,-118.10M,-265.10M,-218.80M,-187.80M,-184.40M,-288.60M,-125.30M,-112.70M,-103.80M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,7.894M,,,108.14M,209.41M,10.17M,11.04M,427.21M,-152.35M,152.35M,,40.77M,4.107M,124.58M,12.66M,212.35M,-118.27M,118.27M,,,-125.68M,125.68M,,53.45M,-61.69M,61.69M,21.98M,0.00,-38.52M,8.006M,56.50M,-29.49M,-35.01M,148.60M,130.98M,-21.66M,731.31M,40.89M,33.74M,0.00,-43.76M,91.32M,13.95M,0.018M,-75.10M,187.48M,238.70M,2.324B,41.30M,30.30M,7.40M,52.90M,12.00M,11.20M,68.30M,2.90M,52.80M,7.30M,46.90M,2.30M,14.00M,170.90M,39.40M,69.50M,69.10M,15.10M,1.00M,60.20M,38.40M,22.90M,
Net Change in PP&E,-378.66M,-0.653M,-16.08M,-38.44M,-158.39M,-80.50M,-40.67M,-49.65M,-168.03M,-16.30M,-72.14M,-137.61M,-154.36M,-37.66M,-38.41M,-1.034B,-153.34M,-174.56M,-69.31M,-96.39M,-184.08M,-117.18M,-93.62M,-142.67M,-136.67M,-188.95M,-64.34M,-145.17M,-600.76M,-172.11M,-40.39M,-201.06M,-512.62M,-72.25M,-401.78M,-300.98M,-91.93M,-89.06M,-153.49M,-65.34M,-125.62M,67.26M,-20.51M,-107.85M,1.459B,-1.601B,308.18M,-429.73M,-590.76M,-414.68M,-845.50M,-289.90M,-466.41M,-275.09M,-294.24M,-752.38M,-580.92M,-202.40M,-563.54M,-273.30M,-412.35M,-302.22M,-389.52M,-231.10M,-517.29M,-285.56M,-409.83M,-330.27M,-506.79M,-190.25M,-396.90M,-221.27M,-462.42M,472.56M,-338.32M,-267.96M,-381.64M,-259.72M,-375.13M,-415.71M,-403.43M,-229.41M,-167.46M,-44.40M,1.850B,-235.30M,-241.40M,-216.30M,-276.60M,-245.80M,-158.00M,-111.60M,-148.30M,-132.60M,-155.10M,-149.90M,-215.40M,-173.40M,-131.80M,-78.70M,-195.60M,-149.70M,-172.70M,-183.40M,-228.40M,-86.90M,-89.80M,-103.80M
Net Divestitures (Acquisitions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,6.531M,,,218.50M,0.00,0.00,9.675M,0.50M,30.40M,8.654M,0.00,30.72M,-30.72M,30.72M,,,,,,-77.16M,77.16M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30M,-13.30M,,,16.60M,-16.60M,-16.40M,-42.40M,40.90M,-2.022B,0.00,0.00,0.00,-1.156B,,,,,,,,,11.30M,,-2.20M,2.20M
Total Net Change in Investments,-39.50M,-32.89M,11.02M,4.163M,-10.00M,-9.399M,-20.82M,-15.17M,101.22M,-146.06M,0.785M,-52.79M,-31.08M,-0.851M,191.04M,-225.76M,-10.19M,30.47M,-55.05M,-23.44M,-20.48M,146.14M,-188.34M,-7.67M,-70.99M,-41.21M,-7.768M,-78.54M,53.16M,-143.75M,-78.23M,61.56M,100.72M,-45.55M,-48.52M,-132.94M,-149.09M,-255.07M,-49.90M,-3.667M,-24.58M,-18.50M,-11.08M,-20.33M,-196.74M,133.47M,153.39M,-286.87M,,,83.61M,-83.61M,-56.50M,56.50M,-12.34M,12.34M,-9.793M,-43.50M,502.86M,-251.72M,-126.96M,-19.47M,196.43M,,186.65M,-186.65M,,,-38.96M,-0.496M,189.46M,,733.15M,-261.35M,-256.73M,-365.07M,21.90M,299.46M,-321.35M,321.35M,147.30M,487.70M,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,8.00M,9.00M
Net Other Investing Changes,50.78M,17.82M,74.91M,34.95M,121.85M,16.74M,60.18M,21.86M,38.91M,7.237M,38.22M,173.05M,94.68M,31.19M,117.65M,17.34M,540.22M,-66.36M,17.12M,-47.08M,31.09M,-259.76M,23.17M,-21.91M,22.30M,13.91M,41.70M,193.80M,36.99M,109.25M,56.42M,-46.23M,-60.09M,12.87M,24.14M,23.65M,6.628M,14.41M,17.04M,-8.644M,91.37M,3.448M,26.58M,-62.88M,271.92M,563.17M,-912.32M,128.97M,-57.00M,-19.72M,12.15M,106.94M,96.11M,-199.31M,110.90M,-118.73M,-197.90M,-283.60M,-55.38M,-33.43M,342.50M,-137.58M,-153.67M,93.86M,100.23M,54.59M,-115.05M,-279.94M,-11.46M,-147.40M,-238.63M,174.24M,-746.20M,-709.36M,91.14M,-114.15M,-500.12M,-397.43M,199.54M,-5.155M,-134.21M,-78.52M,-33.18M,7.70M,-931.40M,-38.50M,-44.50M,-5.60M,5.70M,-20.60M,47.60M,15.60M,-60.60M,50.00M,-19.10M,-2.70M,-154.00M,3.30M,-20.80M,-20.70M,-47.40M,2.70M,2.90M,3.80M,-16.30M,1.80M,4.00M,-58.30M
Cash from Investing,-1.485B,-999.92M,-1.074B,-950.96M,-1.106B,-1.071B,-955.25M,-974.44M,-1.013B,-1.058B,-958.40M,-811.80M,-867.56M,-716.25M,-388.21M,-1.878B,-422.41M,-816.28M,-670.21M,-699.88M,-786.05M,-777.78M,-735.06M,-655.60M,-543.82M,-752.60M,-643.41M,-661.76M,-1.317B,-823.02M,-750.93M,-749.28M,-1.051B,-567.78M,-930.90M,-896.82M,-579.48M,-821.84M,-657.45M,-515.45M,-646.73M,-328.18M,-472.68M,-646.80M,-647.43M,-935.02M,-420.02M,-587.62M,-647.76M,-434.39M,-749.74M,-266.57M,-503.96M,-340.74M,-195.67M,-858.77M,-788.61M,-529.49M,-116.06M,-558.45M,-196.81M,-459.27M,-346.76M,-137.23M,-230.42M,-417.62M,-524.88M,-610.21M,-557.21M,-338.14M,-446.08M,-47.03M,-475.48M,-498.15M,-503.91M,-747.18M,-859.86M,-357.69M,-496.94M,-99.51M,-390.34M,179.78M,-187.34M,-50.00M,918.50M,-273.80M,-269.30M,-238.50M,-287.30M,-308.80M,-69.50M,-2.118B,-208.90M,-82.60M,-174.20M,-1.309B,-369.40M,-170.10M,-152.60M,-99.40M,-243.00M,-147.00M,-169.80M,-179.60M,-233.40M,-85.10M,-80.00M,-150.90M
Net Change in Long Term Debt,411.16M,96.80M,31.68M,1.145B,-352.51M,632.25M,-981.66M,1.772B,224.02M,-170.50M,745.68M,-575.49M,210.37M,842.29M,-529.57M,966.14M,129.90M,429.79M,-321.83M,-197.19M,644.84M,124.49M,-10.02M,17.45M,111.58M,-143.98M,248.90M,-285.14M,87.65M,135.24M,-50.06M,175.30M,-34.72M,68.99M,385.88M,133.36M,-455.31M,388.35M,-191.24M,-57.74M,438.54M,-63.75M,-539.45M,299.96M,999.89M,-567.15M,567.15M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in Short Term Debt,28.94M,282.33M,-306.86M,-0.017M,-4.339M,-37.42M,1.179B,-773.18M,225.62M,103.72M,-74.42M,908.38M,-18.35M,-591.52M,258.81M,271.73M,-287.67M,-157.95M,131.57M,210.01M,-293.04M,-147.90M,-165.50M,157.96M,-59.15M,15.92M,16.24M,277.89M,439.83M,252.46M,-37.40M,32.78M,-36.54M,14.08M,-52.28M,68.24M,,-17.12M,30.49M,-13.37M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,440.10M,379.13M,-275.18M,1.145B,-356.85M,594.82M,197.31M,998.55M,449.64M,-66.78M,671.26M,332.89M,192.02M,250.76M,-270.76M,1.238B,-157.77M,271.84M,-190.26M,12.82M,351.80M,-23.41M,-175.52M,175.41M,52.43M,-128.06M,265.14M,-7.257M,527.48M,387.70M,-87.46M,208.08M,-71.26M,83.07M,333.60M,201.60M,-455.31M,371.22M,-160.75M,-71.11M,438.54M,-63.75M,-539.45M,299.96M,-429.18M,861.92M,460.38M,106.77M,-111.16M,265.13M,857.09M,485.12M,279.06M,-314.84M,1.184M,52.94M,569.29M,551.56M,291.20M,369.16M,-235.24M,-122.18M,-93.92M,82.12M,-387.69M,-646.77M,755.92M,-410.19M,518.88M,-141.35M,4.44M,-281.58M,-591.92M,215.98M,-193.92M,253.14M,320.72M,-467.45M,639.67M,497.25M,101.80M,-143.01M,-133.99M,-72.40M,-854.10M,-219.90M,-200.90M,232.70M,-120.30M,-180.90M,-146.20M,1.885B,-165.40M,-273.90M,-304.80M,1.235B,-44.10M,-79.00M,-47.70M,-88.60M,-138.30M,-46.10M,63.20M,-48.30M,26.30M,-67.70M,-58.40M,122.80M
Common Stock Issuance,4.559M,31.51M,629.87M,35.58M,577.94M,20.96M,1.739M,1.952M,65.61M,7.302M,5.371M,2.448M,-0.006M,16.26M,11.07M,5.787M,0.148M,0.321M,0.741M,23.16M,106.80M,6.71M,45.82M,35.54M,3.807M,4.086M,8.532M,8.102M,6.284M,21.97M,1.802M,32.83M,13.30M,15.93M,4.678M,12.28M,5.40M,37.05M,2.638M,6.078M,10.98M,14.52M,1.764M,0.927M,-1.066M,7.979M,23.19M,4.67M,29.66M,5.469M,22.82M,30.89M,38.38M,16.70M,3.567M,85.16M,-38.48M,24.68M,55.59M,64.28M,29.89M,32.50M,12.76M,95.08M,19.06M,21.70M,78.26M,98.50M,14.49M,2.864M,46.34M,66.37M,2.01M,3.031M,43.58M,15.72M,27.10M,5.425M,7.413M,1.972M,1.90M,1.736M,9.764M,1.90M,4.00M,0.10M,3.20M,12.00M,367.30M,71.20M,68.20M,181.00M,81.30M,162.80M,-0.10M,0.10M,,,,,,,,,,,,
