Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03
Construction in Progress,2.823B,2.871B,2.679B,3.290B,2.889B,2.833B,2.560B,2.348B,1.981B,2.191B,1.742B,1.594B,1.378B,1.451B,1.258B,1.427B,1.457B,1.425B,1.350B,1.388B,1.426B,1.914B,1.668B,1.646B,1.515B,1.599B,1.573B,1.414B,1.366B,1.966B,1.583B,2.025B,1.780B,1.904B,1.800B,1.764B,1.662B,1.644B,1.679B,1.668B,1.547B,1.505B,1.566B,1.561B,1.713B,1.453B,1.026B,982.00M,1.055B,973.80M,855.15M,778.90M,786.15M,815.27M,836.02M,1.091B,1.524B,1.496B,1.083B,1.291B,1.198B,1.277B,1.196B,1.205B,1.381B,1.647B,1.591B,1.311B,1.233B,1.275B,1.239B,1.009B,882.83M,897.71M,910.68M,743.42M,936.78M,1.939B,1.961B,1.769B,1.501B,1.141B,1.159B,1.069B,911.30M,811.90M,766.80M,627.40M,565.70M,391.50M,472.40M,411.70M,401.60M,464.90M,541.00M,539.40M,483.00M,415.20M,529.10M,532.50M,476.80M,442.80M,615.70M,651.00M,533.10M,533.10M,533.10M,533.10M
Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.53M,812.21M,808.79M,,789.90M,790.53M,796.57M,800.08M,793.24M,782.34M,782.72M,783.10M,744.43M,744.79M,745.15M,745.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,59.33B,57.59B,56.74B,55.60B,55.00B,53.89B,53.06B,52.53B,52.13B,51.04B,50.36B,49.71B,49.51B,51.82B,51.16B,51.03B,49.47B,49.55B,50.40B,50.10B,49.98B,49.17B,48.42B,48.07B,47.94B,47.56B,47.36B,46.83B,47.12B,45.42B,44.82B,44.24B,44.76B,43.18B,42.82B,42.14B,41.58B,41.17B,40.94B,40.76B,40.50B,39.79B,39.48B,39.12B,38.59B,37.79B,36.75B,36.50B,36.08B,35.47B,35.74B,33.63B,33.37B,31.77B,32.75B,32.49B,32.21B,31.81B,32.41B,32.11B,31.84B,31.58B,31.33B,31.03B,30.92B,30.50B,30.17B,29.77B,29.50B,29.73B,29.33B,28.85B,28.70B,28.73B,28.28B,28.09B,27.92B,27.65B,27.11B,28.58B,26.40B,26.08B,25.90B,25.66B,25.40B,28.39B,19.14B,27.95B,27.72B,27.61B,27.52B,27.33B,25.04B,24.93B,24.87B,24.77B,24.08B,23.93B,23.79B,23.64B,23.56B,23.60B,23.42B,23.32B,23.18B,23.18B,23.18B,23.18B
Accumulated D&A,-23.32B,-22.70B,-22.42B,-22.20B,-22.28B,-22.06B,-21.82B,-21.70B,-21.77B,-21.38B,-21.10B,-20.84B,-20.89B,-21.80B,-21.39B,-21.33B,-20.95B,-20.88B,-20.92B,-20.66B,-20.64B,-20.27B,-19.97B,-19.69B,-19.65B,-19.55B,-19.34B,-19.07B,-19.13B,-18.73B,-18.56B,-18.39B,-18.47B,-18.12B,-17.92B,-17.68B,-17.47B,-17.35B,-17.20B,-16.98B,-16.87B,-16.60B,-16.43B,-16.27B,-15.93B,-15.74B,-15.46B,-15.31B,-15.11B,-14.89B,-14.69B,-13.88B,-13.72B,-12.41B,-13.22B,-13.17B,-13.01B,-12.90B,-13.43B,-13.33B,-13.14B,-13.10B,-12.90B,-12.71B,-12.62B,-12.46B,-12.27B,-12.10B,-11.84B,-12.28B,-12.12B,-11.96B,-11.81B,-11.79B,-11.73B,-11.65B,-11.48B,-11.40B,-11.25B,-11.08B,-10.90B,-10.80B,-10.73B,-10.26B,-10.08B,-10.21B,-1.001B,-9.799B,-9.585B,-9.477B,-9.286B,-9.046B,-8.867B,-8.699B,-8.564B,-8.413B,-8.259B,-8.132B,-7.958B,-7.800B,-7.640B,-7.564B,-7.409B,-7.296B,-7.158B,-7.158B,-7.158B,-7.158B
Net PP&E,36.01B,34.90B,34.31B,33.40B,32.72B,31.83B,31.24B,30.83B,30.37B,29.66B,29.27B,28.87B,28.62B,30.03B,29.77B,29.69B,28.51B,28.68B,29.48B,29.43B,29.34B,28.90B,28.45B,28.38B,28.29B,28.01B,28.02B,27.76B,27.99B,26.69B,26.26B,25.85B,26.29B,25.06B,24.90B,24.46B,24.11B,23.82B,23.75B,23.79B,23.64B,23.19B,23.06B,22.85B,22.66B,22.05B,21.29B,21.19B,20.97B,20.58B,21.05B,19.75B,19.65B,19.36B,19.53B,19.31B,19.20B,18.91B,18.98B,18.78B,18.70B,18.48B,18.43B,18.32B,18.30B,18.04B,17.90B,17.66B,17.67B,17.46B,17.20B,16.89B,16.89B,16.94B,16.55B,16.45B,16.45B,16.24B,15.87B,17.50B,15.50B,15.28B,15.17B,15.40B,15.33B,18.18B,18.14B,18.15B,18.13B,18.13B,18.23B,18.28B,16.17B,16.23B,16.30B,16.35B,15.82B,15.80B,15.84B,15.84B,15.92B,16.03B,16.01B,16.03B,16.02B,16.02B,16.02B,16.02B
Goodwill,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,377.17M,,377.47M,377.47M,377.17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,6.404B,6.129B,7.069B,6.878B,6.920B,7.445B,7.217B,7.116B,7.212B,6.983B,6.797B,6.670B,5.724B,5.672B,5.560B,5.456B,5.354B,5.228B,5.424B,5.488B,5.407B,5.220B,5.203B,5.030B,4.943B,4.672B,4.508B,4.499B,4.237B,4.633B,4.466B,4.505B,3.833B,4.024B,4.231B,4.182B,4.042B,3.864B,3.245B,3.482B,3.371B,3.211B,2.962B,2.782B,3.006B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,304.35M,307.23M,307.57M,300.85M,294.09M,260.75M,257.16M,260.49M,417.50M,363.20M,354.76M,354.28M,356.98M,362.14M,361.39M,360.65M,293.80M,291.43M,295.34M,291.84M,286.45M,281.38M,214.73M,214.70M,234.21M,238.55M,239.04M,239.04M,209.95M,231.24M,268.33M,289.80M,191.20M,230.20M,253.11M,246.47M,226.72M,246.90M,74.75M,74.03M,172.20M,172.20M,,168.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.90M,225.10M,303.20M,316.90M,318.60M,335.10M,346.10M,359.50M,382.40M,458.90M,533.70M,617.10M,730.20M,841.80M,957.10M,1.257B,1.366B,1.504B,1.602B,1.676B,2.62B,2.814B,2.908B,2.087B,2.938B,2.938B,2.938B
Other Long Term Assets,288.30M,296.62M,333.06M,330.74M,262.99M,133.56M,166.67M,195.29M,112.06M,129.21M,141.78M,167.29M,1.606B,1.643B,587.57M,620.53M,561.61M,738.51M,949.32M,965.24M,807.51M,903.21M,947.58M,961.22M,887.16M,922.50M,964.36M,983.64M,936.65M,,1.066B,,955.69M,,,,,1.028B,1.152B,1.122B,,5.252B,5.658B,5.569B,1.048B,8.142B,8.284B,8.250B,8.333B,8.567B,7.955B,7.725B,7.729B,7.639B,7.357B,7.545B,7.221B,6.608B,6.046B,6.114B,6.161B,6.993B,7.046B,7.033B,6.959B,7.105B,7.009B,6.858B,6.257B,6.370B,5.723B,5.784B,5.887B,5.887B,5.749B,5.378B,5.048B,4.033B,4.577B,2.526B,4.265B,3.946B,3.604B,3.543B,3.547B,5.396B,5.521B,5.483B,5.337B,5.304B,5.220B,5.340B,3.806B,3.542B,3.547B,3.513B,2.872B,2.814B,2.894B,2.860B,2.795B,1.791B,1.775B,1.604B,2.593B,1.742B,1.742B,1.742B
Total Long Term Assets,48.68B,46.84B,47.28B,46.20B,45.32B,44.78B,44.09B,43.63B,43.42B,42.93B,42.41B,41.92B,42.22B,43.40B,42.03B,41.93B,40.58B,40.92B,42.18B,42.24B,42.02B,40.28B,39.91B,39.68B,39.48B,39.83B,39.67B,39.47B,39.52B,38.22B,37.71B,37.45B,37.08B,35.01B,35.27B,34.82B,34.35B,33.62B,33.39B,33.38B,33.03B,32.20B,32.06B,31.75B,31.46B,30.57B,29.96B,29.82B,29.68B,29.52B,29.38B,27.85B,27.76B,27.37B,27.26B,27.23B,26.79B,25.89B,25.40B,25.27B,25.23B,25.85B,25.85B,25.73B,25.63B,25.53B,25.29B,24.90B,24.30B,23.83B,23.30B,23.05B,23.15B,22.82B,22.30B,21.82B,21.49B,20.28B,20.44B,20.03B,19.77B,19.44B,19.00B,19.24B,19.19B,23.90B,24.00B,23.98B,23.83B,23.82B,23.91B,24.15B,20.59B,20.50B,20.69B,20.82B,19.95B,19.98B,20.24B,20.30B,20.39B,20.44B,20.60B,20.54B,20.70B,20.70B,20.70B,20.70B
Total Assets,51.72B,50.51B,50.57B,49.61B,48.28B,48.47B,47.62B,47.28B,46.71B,46.40B,46.01B,45.32B,45.90B,47.74B,45.88B,45.93B,44.65B,45.04B,46.27B,46.38B,46.41B,44.54B,44.15B,43.88B,43.41B,43.32B,43.26B,42.79B,43.20B,42.02B,40.92B,40.93B,40.70B,39.16B,39.13B,38.60B,38.69B,38.67B,37.75B,38.11B,37.56B,36.17B,36.49B,36.61B,36.62B,36.46B,34.69B,33.76B,33.64B,33.76B,33.41B,31.15B,31.08B,30.56B,30.56B,30.52B,30.86B,29.97B,28.58B,28.43B,28.31B,28.94B,28.87B,28.76B,28.55B,28.57B,28.83B,27.40B,27.50B,26.78B,26.00B,25.51B,25.91B,26.18B,25.37B,25.19B,25.45B,24.03B,24.32B,23.36B,22.97B,23.40B,23.08B,22.85B,22.84B,27.37B,27.17B,27.04B,27.00B,27.11B,26.98B,27.15B,22.96B,23.14B,23.05B,23.25B,22.27B,22.60B,22.51B,22.39B,22.62B,22.81B,22.70B,22.51B,22.88B,22.88B,22.88B,22.88B
Accounts Payable,1.500B,1.329B,1.413B,1.406B,1.496B,1.392B,1.459B,1.261B,1.452B,1.105B,1.166B,1.149B,1.286B,1.063B,967.08M,888.35M,1.072B,1.042B,1.013B,941.60M,1.166B,1.104B,1.160B,1.146B,1.173B,900.13M,1.170B,1.036B,1.217B,1.363B,1.036B,916.25M,1.069B,882.65M,1.044B,986.31M,1.181B,1.009B,976.74M,877.09M,998.23M,818.35M,949.76M,874.07M,1.476B,1.919B,1.389B,1.041B,1.031B,978.61M,997.25M,812.02M,1.123B,869.18M,984.94M,965.23M,1.656B,1.813B,871.24M,718.12M,896.53M,786.44M,834.34M,626.56M,796.57M,573.26M,701.69M,608.54M,855.45M,662.26M,584.76M,523.02M,592.53M,594.32M,641.37M,712.96M,1.204B,866.59M,796.56M,591.13M,707.68M,757.70M,868.00M,496.50M,522.10M,1.198B,893.50M,602.10M,915.80M,793.60M,746.60M,511.70M,554.60M,429.00M,509.90M,322.70M,460.40M,0.60M,396.40M,400.70M,479.50M,373.20M,363.00M,310.10M,413.70M,413.70M,413.70M,413.70M
Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.90M,,8.00M,8.10M,118.90M,8.20M,117.70M,8.30M,5.50M,9.00M,10.50M,11.70M,109.90M,12.20M,12.90M,12.90M,115.40M,13.60M,13.90M,14.00M,117.90M,13.40M,13.40M,13.40M,13.40M
Current Tax Payable,233.46M,251.82M,216.06M,210.16M,254.24M,258.48M,206.87M,158.67M,214.97M,248.01M,178.91M,122.28M,181.11M,239.51M,217.13M,194.08M,210.08M,236.34M,109.08M,60.17M,128.11M,210.84M,151.78M,111.26M,191.09M,327.57M,275.54M,298.07M,333.72M,322.86M,265.79M,188.65M,278.24M,,,,0.00,,,,,122.14M,80.40M,62.43M,75.21M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,1.733B,1.580B,1.629B,1.616B,1.750B,1.651B,1.666B,1.419B,1.667B,1.353B,1.345B,1.272B,1.467B,1.303B,1.184B,1.082B,1.282B,1.279B,1.122B,1.002B,1.295B,1.315B,1.312B,1.257B,1.364B,1.228B,1.446B,1.334B,1.551B,1.686B,1.302B,1.105B,1.347B,882.65M,1.044B,986.31M,1.181B,1.009B,976.74M,877.09M,998.23M,940.49M,1.030B,936.49M,1.551B,1.919B,1.389B,1.041B,1.031B,978.61M,997.25M,812.02M,1.123B,869.18M,984.94M,965.23M,1.656B,1.813B,871.24M,718.12M,896.53M,786.44M,834.34M,626.56M,796.57M,573.26M,701.69M,608.54M,855.45M,662.26M,584.76M,523.02M,592.53M,594.32M,641.37M,712.96M,1.204B,866.59M,796.56M,591.13M,707.68M,757.70M,868.00M,503.40M,522.10M,1.206B,901.60M,721.00M,924.00M,911.30M,754.90M,517.20M,563.60M,439.50M,521.60M,432.60M,472.60M,13.50M,409.30M,516.10M,493.10M,387.10M,377.00M,428.00M,427.10M,427.10M,427.10M,427.10M
