Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Operating Interest Income,-46.69M,-104.34M,-88.08M,44.60M,-381.20M,-2.986M,-106.51M,-152.79M,-77.32M,-108.57M,-82.76M,-105.50M,-136.08M,-129.66M,-124.12M,-131.38M,-119.20M,-125.01M,-120.11M,-92.09M,-121.70M,-106.27M,-131.57M,-120.28M,-59.02M,-127.62M,-108.44M,-109.66M,-111.99M,-123.31M,-109.85M,-96.36M,-98.45M,-94.35M,-90.98M,-109.39M,-110.38M,-88.42M,-102.90M,-122.99M,-189.97M,-42.78M,-93.75M,-100.87M,,,-95.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,104.72M,106.59M,78.10M,85.17M,180.31M,130.93M,240.90M,137.35M,23.04M,114.83M,106.85M,29.07M,135.52M,118.38M,97.98M,69.79M,212.69M,91.05M,71.48M,80.36M,64.44M,72.00M,52.61M,69.79M,85.44M,74.56M,63.28M,64.42M,70.71M,81.27M,149.59M,58.28M,,,,,,,,,,,,,,773.04M,791.36M,743.80M,864.38M,780.66M,739.71M,668.72M,532.92M,627.92M,609.49M,607.02M,505.58M,530.70M,595.26M,580.45M,615.91M,594.96M,588.96M,581.21M,741.39M,617.74M,568.74M,400.78M,969.68M,564.72M,582.74M,935.48M,674.25M,503.16M,458.10M,449.45M,599.04M,563.70M,444.32M,362.80M,525.65M,442.10M,407.86M,351.60M,537.70M,445.80M,475.60M,449.00M,,,590.00M,404.60M,513.80M,533.20M,459.00M,619.40M,535.40M,506.40M,453.40M,441.40M,529.80M,582.50M,460.30M,438.90M,386.70M,363.40M,315.10M,303.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,640.78M,651.54M,605.00M,601.02M,683.92M,617.47M,749.93M,649.63M,509.15M,629.04M,610.44M,532.69M,616.77M,607.85M,582.90M,553.84M,690.17M,584.02M,568.22M,569.86M,528.20M,563.82M,537.09M,552.99M,570.36M,556.66M,505.68M,516.39M,511.56M,512.06M,562.46M,475.67M,-1.633B,1.405B,1.167B,1.101B,1.227B,1.265B,1.135B,1.159B,1.182B,1.141B,1.129B,1.086B,963.99M,1.178B,1.165B,1.097B,1.239B,1.149B,1.095B,1.024B,1.012B,993.49M,918.56M,915.74M,966.10M,846.63M,894.70M,886.58M,1.087B,943.85M,907.88M,889.16M,1.057B,943.77M,874.69M,709.56M,1.272B,886.31M,870.81M,1.243B,986.72M,740.44M,731.14M,759.45M,907.79M,866.35M,720.66M,639.03M,789.23M,719.10M,767.62M,640.10M,824.90M,1.041B,879.00M,877.40M,,,921.50M,836.60M,801.90M,820.70M,744.00M,903.00M,785.80M,760.10M,698.20M,688.50M,785.30M,820.30M,686.90M,662.30M,543.70M,510.30M,462.30M,452.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,250.08M,718.02M,355.19M,357.23M,6.307M,426.25M,160.54M,408.59M,370.13M,775.22M,362.41M,391.01M,274.70M,790.90M,449.23M,505.58M,54.36M,677.19M,377.38M,542.77M,331.65M,656.69M,456.14M,742.15M,232.01M,680.40M,346.51M,394.04M,324.20M,690.85M,342.98M,298.67M,342.70M,600.91M,558.74M,505.78M,378.97M,768.83M,615.52M,504.81M,510.84M,787.08M,487.82M,477.05M,416.62M,752.09M,568.11M,606.23M,329.40M,810.33M,478.04M,438.59M,280.72M,622.84M,428.36M,350.74M,261.18M,654.34M,483.62M,292.99M,114.94M,571.47M,494.31M,362.74M,40.57M,619.00M,495.94M,571.43M,-68.32M,663.69M,496.15M,-45.68M,148.82M,606.50M,480.55M,386.03M,195.08M,593.84M,433.54M,286.60M,79.08M,601.90M,363.95M,203.50M,217.00M,522.20M,472.70M,285.40M,-5.160B,2.798B,434.00M,372.20M,239.20M,609.80M,501.30M,147.80M,203.80M,606.10M,434.80M,258.40M,0.70M,467.40M,415.70M,287.60M,178.20M,510.00M,331.50M,223.30M,1.004B,1.238B,958.10M,916.50M,921.90M,1.255B,981.40M,893.00M,926.20M,1.227B,939.30M,889.40M,883.90M,1.102B,931.00M,931.00M,843.80M,1.095B,819.70M,806.60M,778.50M,1.075B,831.60M,769.70M,796.90M,1.073B,810.80M,804.80M,809.60M,809.60M,750.00M,754.10M,723.20M,953.50M,729.20M,740.00M
Non-Operating Interest Income,141.25M,82.30M,96.22M,228.15M,-201.22M,177.08M,71.13M,16.87M,93.22M,58.33M,80.10M,56.55M,28.46M,37.53M,46.38M,32.75M,40.17M,39.05M,39.70M,68.13M,38.65M,49.55M,24.24M,35.25M,97.02M,23.43M,40.54M,38.31M,33.01M,24.49M,29.28M,40.99M,33.09M,33.24M,35.92M,26.75M,63.59M,38.70M,34.96M,48.21M,-2.785M,87.36M,58.89M,46.39M,,,47.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,187.94M,186.64M,184.30M,183.54M,179.98M,180.07M,177.65M,169.66M,170.54M,166.90M,162.85M,162.05M,164.55M,167.20M,170.50M,164.13M,159.37M,164.06M,159.82M,160.22M,160.35M,155.82M,155.81M,155.53M,156.05M,151.05M,148.98M,147.96M,145.00M,147.80M,139.13M,137.35M,131.54M,127.59M,126.90M,136.13M,173.97M,127.13M,137.86M,171.20M,187.19M,130.13M,152.64M,147.26M,,,143.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-46.69M,-104.34M,-88.08M,44.60M,-381.20M,-2.986M,-106.51M,-152.79M,-77.32M,-108.57M,-82.76M,-105.50M,-136.08M,-129.66M,-124.12M,-131.38M,-119.20M,-125.01M,-120.11M,-92.09M,-121.70M,-106.27M,-131.57M,-120.28M,-59.02M,-127.62M,-108.44M,-109.66M,-111.99M,-123.31M,-109.85M,-96.36M,-98.45M,-94.35M,-90.98M,-109.39M,-110.38M,-88.42M,-102.90M,-122.99M,-189.97M,-42.78M,-93.75M,-100.87M,,,-95.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-57.04M,-215.01M,-25.12M,-100.42M,-204.32M,-166.45M,-85.76M,-75.94M,-138.39M,-23.22M,-203.40M,-191.70M,-2.870B,-10.13M,-1.486M,0.984M,-355.83M,-1.638B,-3.769M,2.718M,-2.822M,-153.74M,-1.554M,1.155M,-9.855M,-284.04M,3.092M,-0.872M,10.35M,7.628M,15.25M,-349.21M,5.974M,7.379M,3.791M,21.54M,1.552M,2.13M,11.57M,-15.32M,10.79M,25.02M,-71.62M,27.20M,-83.99M,6.659M,-13.98M,-17.48M,-7.336M,-4.671M,-5.982M,-9.917M,64.39M,67.30M,59.45M,41.40M,38.51M,-1.958M,31.29M,47.25M,39.31M,-30.76M,33.86M,41.08M,20.60M,68.03M,-88.48M,-61.06M,197.61M,58.70M,18.64M,64.66M,14.91M,98.12M,71.97M,55.98M,28.39M,53.59M,94.71M,29.50M,82.96M,25.50M,80.78M,40.50M,306.70M,18.70M,18.20M,31.60M,,,29.20M,17.40M,38.00M,62.30M,12.70M,10.80M,51.00M,-4.80M,1.20M,-2.30M,15.10M,-23.20M,-13.80M,-6.50M,-6.50M,-0.20M,0.80M,2.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-46.69M,-104.34M,-88.08M,44.60M,-381.20M,-2.986M,-106.51M,-152.79M,-77.32M,-108.57M,-82.76M,-105.50M,-136.08M,-129.66M,-124.12M,-131.38M,-119.20M,-125.01M,-120.11M,-92.09M,-121.70M,-106.27M,-131.57M,-120.28M,-59.02M,-127.62M,-108.44M,-109.66M,-111.99M,-123.31M,-109.85M,-96.36M,-98.45M,-94.35M,-90.98M,-109.39M,-110.38M,-88.42M,-102.90M,-122.99M,-189.97M,-42.78M,-93.75M,-100.87M,,,-95.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,146.35M,398.66M,241.99M,301.42M,-579.21M,256.81M,-31.74M,179.86M,154.41M,643.44M,76.26M,93.81M,-2.732B,651.11M,323.62M,375.19M,-420.67M,-1.086B,253.50M,453.40M,207.13M,396.68M,323.02M,623.02M,163.13M,268.74M,241.17M,283.52M,222.56M,575.17M,248.38M,-146.90M,250.22M,513.94M,471.55M,417.93M,314.32M,682.54M,524.19M,366.50M,417.38M,740.58M,322.45M,403.38M,249.28M,638.53M,458.94M,501.75M,224.95M,692.00M,374.05M,358.26M,254.87M,599.18M,391.58M,322.74M,197.64M,585.58M,447.21M,271.99M,55.83M,462.82M,437.21M,319.01M,-36.77M,592.47M,337.35M,410.42M,24.30M,595.48M,396.12M,-98.88M,-0.762M,502.75M,411.42M,269.30M,88.35M,514.62M,395.64M,191.24M,30.47M,507.00M,296.19M,118.00M,320.90M,340.40M,282.60M,108.40M,,,247.40M,193.40M,106.40M,492.60M,334.20M,-21.30M,92.50M,441.50M,273.50M,91.20M,-153.10M,276.90M,237.20M,112.50M,52.20M,384.60M,207.50M,98.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,-243.26M,29.20M,1.458M,42.77M,-516.89M,-283.01M,-280.60M,43.66M,630.12M,241.80M,-337.11M,7.763M,-966.14M,257.91M,-248.97M,139.94M,-525.52M,-367.66M,99.78M,150.47M,82.12M,161.76M,128.74M,216.97M,11.78M,24.55M,73.11M,116.54M,-79.28M,232.50M,-122.20M,-0.162M,90.19M,-119.13M,150.95M,164.25M,81.01M,184.64M,203.91M,147.68M,98.64M,280.41M,90.64M,163.05M,58.74M,168.24M,183.01M,193.00M,31.06M,230.84M,106.45M,146.06M,-1.126M,202.44M,122.90M,118.83M,93.11M,222.08M,151.85M,92.24M,-81.66M,174.78M,166.20M,106.00M,-8.994M,220.82M,125.83M,152.42M,-57.38M,228.68M,148.53M,-25.90M,-3.88M,185.30M,165.84M,108.43M,38.30M,207.93M,149.86M,82.82M,14.26M,210.80M,86.43M,45.10M,73.90M,77.80M,66.60M,48.40M,,,88.80M,67.00M,52.70M,193.40M,127.50M,47.70M,10.80M,178.40M,110.80M,36.20M,-136.60M,133.70M,92.90M,41.80M,15.70M,151.20M,76.60M,41.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,389.60M,369.46M,240.53M,258.65M,-62.32M,539.82M,248.86M,136.20M,-475.71M,401.64M,413.37M,86.05M,-1.766B,393.20M,572.59M,235.24M,104.85M,-718.23M,153.72M,302.93M,125.01M,234.92M,194.28M,406.05M,151.35M,244.18M,168.06M,166.98M,301.85M,342.67M,370.58M,-146.74M,160.03M,633.07M,320.60M,253.68M,233.31M,497.90M,320.28M,218.81M,318.74M,460.17M,231.81M,240.33M,190.54M,470.29M,275.93M,308.75M,193.89M,461.16M,267.60M,212.20M,255.99M,396.74M,268.68M,203.90M,104.52M,363.50M,295.36M,179.74M,137.49M,288.05M,271.01M,213.02M,-27.78M,371.65M,211.52M,258.00M,81.67M,366.80M,247.58M,-72.98M,3.118M,317.45M,245.58M,160.87M,50.04M,306.69M,245.77M,108.41M,16.20M,296.20M,209.76M,72.90M,247.00M,262.60M,216.00M,60.00M,-8.70M,65.10M,158.60M,126.40M,53.70M,299.20M,206.70M,-69.00M,81.70M,263.10M,162.70M,55.00M,-16.50M,143.20M,144.30M,70.70M,36.50M,233.40M,130.90M,57.30M,55.60M,204.60M,82.10M,95.30M,111.30M,203.40M,81.90M,85.50M,70.60M,209.60M,109.40M,88.70M,15.10M,-679.30M,-118.10M,-118.10M,58.30M,171.80M,88.80M,92.20M,-22.30M,185.50M,93.60M,99.80M,61.80M,171.50M,103.40M,114.60M,100.20M,100.30M,125.10M,135.50M,92.90M,175.70M,105.60M,116.50M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.33M,-1.05M,13.12M,-2.239M,-33.51M,-7.108M,-2.811M,-1.366M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.848M,,,142.92M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.40M,,,,,0.00,,,93.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.709M,,-4.709M,,,,-4.709M,,,,-4.709M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,4.58M,4.219M,4.109M,4.109M,3.577M,3.439M,3.439M,3.439M,3.403M,3.446M,3.446M,3.446M,3.529M,5.034M,5.276M,5.276M,5.276M,4.794M,4.879M,4.879M,4.88M,4.879M,4.898M,4.879M,4.423M,4.332M,4.332M,5.582M,5.582M,5.582M,5.582M,4.943M,5.887M,5.015M,5.015M,5.015M,5.015M,5.015M,5.017M,5.015M,4.965M,4.998M,4.998M,4.998M,4.998M,4.998M,4.975M,4.998M,6.321M,6.375M,6.188M,6.221M,5.161M,6.811M,7.774M,8.038M,6.21M,6.436M,6.398M,6.383M,6.037M,5.803M,5.829M,5.855M,5.855M,5.876M,5.876M,5.916M,5.916M,5.924M,5.932M,5.94M,5.948M,4.97M,6.677M,6.716M,6.735M,6.755M,8.581M,9.55M,11.97M,9.90M,9.981M,10.70M,11.50M,11.60M,11.70M,11.80M,,,12.30M,16.70M,14.80M,19.30M,18.40M,18.10M,18.60M,20.50M,19.10M,19.90M,20.00M,20.30M,20.40M,20.90M,13.60M,14.00M,14.40M,14.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
