Deferred Taxes,52.00M,41.00M,35.00M,11.00M,91.00M,35.00M,-51.00M,15.00M,-514.00M,98.00M,79.00M,28.00M,47.00M,82.00M,65.00M,57.00M,176.00M,70.00M,69.00M,62.00M,55.00M,50.00M,105.00M,2.00M,29.00M,47.00M,22.00M,9.00M,-3.00M,29.00M,33.00M,17.00M,16.00M,21.00M,19.00M,2.00M,3.00M,39.00M,20.00M,0.00,8.00M,8.00M,16.00M,8.00M,6.00M,-2.00M,-4.00M,-6.00M,1.00M,23.00M,22.00M,-23.00M,13.00M,1.00M,11.00M,-15.00M,-13.00M,-6.00M,10.00M,5.00M,-1.582M,5.578M,14.67M,10.33M,10.22M,19.49M,27.18M,12.11M,-28.07M,8.333M,10.45M,9.286M
Asset Impairment Charge,0.00,0.00,0.00,,0.00,0.00,319.00M,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,7.00M,7.00M,8.00M,9.00M,8.00M,6.00M,7.00M,7.00M,7.00M,6.00M,7.00M,9.00M,5.00M,5.00M,6.00M,7.00M,5.00M,5.00M,5.00M,5.00M,4.00M,4.00M,5.00M,7.00M,4.00M,4.00M,3.00M,3.00M,3.00M,3.00M,4.00M,3.00M,3.00M,3.00M,3.00M,4.00M,4.00M,5.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,3.00M,7.00M,2.00M,4.00M,2.00M,5.00M,8.00M,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-22.00M,-8.00M,-4.00M,7.00M,-1.00M,7.00M,-6.00M,3.00M,2.00M,-4.00M,-22.00M,2.00M,-5.00M,3.00M,-16.00M,1.00M,-25.00M,-5.00M,5.00M,2.00M,-3.00M,3.00M,10.00M,14.00M,2.00M,16.00M,1.00M,-2.00M,9.00M,4.00M,13.00M,-2.00M,-50.00M,59.00M,38.00M,14.00M,-64.00M,65.00M,31.00M,9.00M,83.00M,49.00M,125.00M,-23.00M,-170.00M,-49.00M,-9.00M,-5.00M,20.00M,-11.00M,-5.00M,7.00M,16.00M,7.00M,0.00,-2.00M,50.00M,2.00M,-1.00M,,5.599M,2.624M,-0.926M,2.703M,99.07M,3.019M,2.24M,-1.331M,-42.77M,16.59M,24.61M,1.57M
Change in Other Working Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.00M,-24.00M,63.00M,,-22.60M,22.60M,-8.766M,8.766M,-36.23M,36.23M,,,-51.33M,28.68M,28.78M,-6.129M
Changes in Working Capital,-102.00M,-116.00M,203.00M,227.00M,-116.00M,-15.00M,-31.00M,264.00M,52.00M,-201.00M,60.00M,206.00M,20.00M,-80.00M,93.00M,222.00M,-150.00M,46.00M,30.00M,224.00M,12.00M,-32.00M,27.00M,213.00M,31.00M,-56.00M,58.00M,106.00M,69.00M,-111.00M,58.00M,181.00M,-24.00M,-41.00M,56.00M,142.00M,-51.00M,-32.00M,14.00M,158.00M,-37.00M,-4.00M,-66.00M,11.00M,-21.00M,1.00M,28.00M,20.00M,5.00M,-18.00M,-17.00M,141.00M,-22.00M,32.00M,-22.00M,102.00M,-13.00M,-24.00M,28.00M,35.00M,11.40M,7.901M,5.929M,8.766M,23.77M,23.98M,19.09M,-6.835M,-51.33M,28.68M,28.78M,-6.129M
Cash from Operations,251.00M,230.00M,548.00M,420.00M,276.00M,202.00M,232.00M,490.00M,313.00M,194.00M,440.00M,432.00M,315.00M,310.00M,422.00M,585.00M,304.00M,404.00M,362.00M,528.00M,188.00M,183.00M,219.00M,322.00M,193.00M,163.00M,197.00M,205.00M,157.00M,51.00M,198.00M,292.00M,114.00M,94.00M,175.00M,231.00M,33.00M,134.00M,127.00M,229.00M,129.00M,132.00M,101.00M,124.00M,-126.00M,4.00M,56.00M,49.00M,71.00M,68.00M,72.00M,147.00M,65.00M,80.00M,42.00M,87.00M,24.00M,-2.00M,77.00M,71.00M,42.67M,44.09M,58.78M,53.46M,67.89M,89.38M,98.02M,31.70M,72.42M,58.83M,63.31M,22.44M
Net Change in Capital Expenditures,-479.00M,-207.00M,-306.00M,-164.00M,-453.00M,-255.00M,-203.00M,-203.00M,-407.00M,-211.00M,-299.00M,-285.00M,-413.00M,-281.00M,-151.00M,-166.00M,-389.00M,-146.00M,-238.00M,-168.00M,-260.00M,-217.00M,-190.00M,-190.00M,-282.00M,-78.00M,-194.00M,-83.00M,-410.00M,-71.00M,-162.00M,-184.00M,-172.00M,-127.00M,-105.00M,-123.00M,-69.00M,-85.00M,-109.00M,-50.00M,-75.00M,-34.00M,-143.00M,-214.00M,-160.00M,-125.00M,-188.00M,-230.00M,-125.00M,-169.00M,-207.00M,-244.00M,-245.00M,-258.00M,-377.00M,-328.00M,-357.00M,-354.00M,-301.00M,-271.00M,-289.69M,-226.83M,-239.62M,-220.86M,20.93M,-133.36M,-290.09M,-170.48M,425.56M,-225.17M,28.08M,-228.47M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,58.00M,135.00M,31.00M,133.00M,0.00,67.00M,33.00M,0.00,,92.00M,62.00M,,,0.00,0.00,,,,,,,,,,,,,,
Net Change in PP&E,-52.00M,-30.00M,-79.00M,-63.00M,-83.00M,-85.00M,-19.00M,-19.00M,-38.00M,-25.00M,-25.00M,-40.00M,-43.00M,-77.00M,-18.00M,-23.00M,-45.00M,-25.00M,-14.00M,-20.00M,-28.00M,-29.00M,-38.00M,-32.00M,-9.00M,-3.00M,-1.00M,-9.00M,-224.00M,-29.00M,-17.00M,-15.00M,-4.00M,-19.00M,-17.00M,-7.00M,-18.00M,-18.00M,-18.00M,-10.00M,-13.00M,-4.00M,-8.00M,51.00M,131.00M,28.00M,121.00M,-30.00M,23.00M,8.00M,-27.00M,-32.00M,71.00M,52.00M,-33.00M,-42.00M,-47.00M,-44.00M,-44.00M,-48.00M,-46.05M,-46.16M,-54.83M,-32.96M,-449.25M,-24.37M,-68.84M,-30.54M,425.56M,-225.17M,-101.00M,-99.39M
Net Divestitures (Acquisitions),,,,,,,,,,,,,,,,,,,,,0.00,2.00M,391.00M,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.47M,-80.47M,,
Total Net Change in Investments,-71.00M,214.00M,-101.00M,-2.00M,68.00M,-172.00M,-46.00M,122.00M,28.00M,50.00M,138.00M,20.00M,8.00M,-31.00M,-76.00M,76.00M,26.00M,-88.00M,-55.00M,-70.00M,-14.00M,54.00M,-105.00M,146.00M,150.00M,-60.00M,-11.00M,82.00M,-15.00M,-115.00M,11.00M,15.00M,13.00M,121.00M,-49.00M,-61.00M,33.00M,20.00M,-375.00M,-62.00M,-61.00M,25.00M,0.00,29.00M,71.00M,-61.00M,3.00M,316.00M,-99.00M,40.00M,145.00M,-8.00M,-241.00M,2.00M,-43.00M,69.00M,-24.00M,30.00M,82.00M,-154.00M,40.76M,51.55M,34.60M,-49.91M,-240.38M,-10.79M,4.685M,-5.513M,11.40M,-0.033M,-11.21M,-0.148M
Net Other Investing Changes,-2.00M,-16.00M,8.00M,-3.00M,3.00M,-7.00M,-3.00M,-8.00M,-5.00M,-1.00M,-5.00M,-2.00M,-11.00M,1.00M,-2.00M,,-8.00M,1.00M,0.00,1.00M,8.00M,-1.00M,-1.00M,-2.00M,-4.00M,-1.00M,6.00M,-1.00M,6.00M,1.00M,59.00M,-2.00M,2.00M,0.00,0.00,-1.00M,-1.00M,2.00M,,,0.00,-16.00M,-7.00M,-19.00M,-66.00M,27.00M,-104.00M,-29.00M,13.00M,-53.00M,-49.00M,-78.00M,-26.00M,-29.00M,9.00M,6.00M,-57.00M,42.00M,44.00M,44.00M,50.97M,45.92M,50.67M,32.44M,-286.34M,24.88M,68.95M,30.51M,-876.58M,63.85M,-166.66M,99.39M
Cash from Investing,-552.00M,-9.00M,-399.00M,-169.00M,-382.00M,-434.00M,-252.00M,-89.00M,-384.00M,-162.00M,-166.00M,-267.00M,-416.00M,-311.00M,-229.00M,-90.00M,-371.00M,-233.00M,-293.00M,-237.00M,-266.00M,-162.00M,95.00M,-46.00M,-136.00M,-139.00M,-199.00M,-2.00M,-419.00M,-185.00M,-92.00M,-171.00M,-157.00M,-6.00M,-154.00M,-185.00M,-37.00M,-63.00M,-484.00M,-112.00M,-136.00M,-25.00M,-150.00M,-146.00M,-20.00M,-128.00M,-156.00M,57.00M,-144.00M,-149.00M,-111.00M,-330.00M,-420.00M,-223.00M,-411.00M,-253.00M,-438.00M,-282.00M,-175.00M,-381.00M,-197.96M,-129.36M,-154.35M,-238.32M,-505.79M,-119.27M,-216.46M,-145.49M,-359.16M,-241.82M,-149.80M,-129.23M
Net Change in Long Term Debt,698.00M,142.00M,-49.00M,-133.00M,103.00M,207.00M,213.00M,-58.00M,-56.00M,-54.00M,-34.00M,-50.00M,-220.00M,-61.00M,-36.00M,-51.00M,-96.00M,-54.00M,-123.00M,-55.00M,-54.00M,-26.00M,-291.00M,11.00M,-203.00M,20.00M,-8.00M,-28.00M,-35.00M,-22.00M,-111.00M,-47.00M,-14.00M,-32.00M,5.00M,44.00M,-21.00M,-13.00M,21.00M,-194.00M,-199.00M,-11.00M,252.00M,117.00M,115.00M,-175.00M,197.00M,69.00M,-71.00M,0.00,72.00M,110.00M,252.00M,18.00M,142.00M,53.00M,112.00M,177.00M,102.00M,364.00M,144.70M,87.56M,210.98M,-21.24M,666.75M,-11.24M,-12.77M,-13.74M,-225.42M,-81.20M,222.26M,84.35M
Net Change in Short Term Debt,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,-52.00M,52.00M,0.00,-88.00M,88.00M,0.00,0.00,0.00,0.00,-39.00M,-24.00M,7.00M,97.00M,0.00,-69.00M,-38.00M,-12.00M,-10.00M,7.00M,-20.00M,10.00M,11.00M,-5.00M,-12.00M,-13.00M,-10.00M,-6.00M,3.00M,19.00M,25.00M,-11.00M,-12.00M,0.584M,3.209M,15.81M,-5.606M,16.26M,-8.13M,-5.42M,-2.71M,,,2.43M,-2.43M
Net Debt Issuance,698.00M,142.00M,-49.00M,-133.00M,103.00M,207.00M,213.00M,-58.00M,-56.00M,-54.00M,-34.00M,-50.00M,-220.00M,-61.00M,-36.00M,-51.00M,-96.00M,-54.00M,-123.00M,-55.00M,-54.00M,-26.00M,-291.00M,11.00M,-203.00M,20.00M,-8.00M,-28.00M,-87.00M,30.00M,-111.00M,-135.00M,74.00M,-32.00M,5.00M,44.00M,-21.00M,-52.00M,-3.00M,-187.00M,-102.00M,-11.00M,183.00M,79.00M,103.00M,-185.00M,204.00M,49.00M,-61.00M,11.00M,67.00M,98.00M,239.00M,8.00M,136.00M,56.00M,131.00M,202.00M,91.00M,352.00M,145.29M,90.76M,226.79M,-26.84M,683.01M,-19.37M,-18.19M,-16.45M,-225.42M,-81.20M,224.69M,81.92M
Common Stock Issuance,24.00M,0.00,27.00M,,23.00M,1.00M,24.00M,,20.00M,0.00,26.00M,2.00M,19.00M,1.00M,23.00M,2.00M,16.00M,11.00M,27.00M,30.00M,28.00M,4.00M,9.00M,0.00,6.00M,0.00,4.00M,,3.00M,0.00,4.00M,2.00M,5.00M,0.00,5.00M,0.00,4.00M,0.00,4.00M,1.00M,4.00M,0.00,116.00M,0.00,3.00M,1.00M,6.00M,310.00M,10.00M,0.00,10.00M,6.00M,15.00M,1.00M,10.00M,2.00M,167.00M,1.00M,9.00M,1.00M,8.979M,0.674M,9.424M,0.923M,5.765M,130.24M,,,-0.377M,0.00,0.35M,0.027M
Common Stock Payments,-161.00M,-125.00M,-126.00M,-130.00M,0.00,-125.00M,-126.00M,-131.00M,0.00,-130.00M,-151.00M,-109.00M,-120.00M,0.00,-1.00M,-13.00M,-77.00M,-1.00M,-163.00M,,0.00,0.00,-82.00M,,0.00,0.00,-8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Common Equity Issued (Purchased),-137.00M,-125.00M,-99.00M,-130.00M,23.00M,-124.00M,-102.00M,-131.00M,20.00M,-130.00M,-125.00M,-107.00M,-101.00M,1.00M,22.00M,-11.00M,-61.00M,10.00M,-136.00M,30.00M,28.00M,4.00M,-73.00M,0.00,6.00M,0.00,-4.00M,,-23.00M,0.00,4.00M,2.00M,5.00M,0.00,5.00M,0.00,4.00M,0.00,4.00M,1.00M,4.00M,0.00,116.00M,0.00,3.00M,1.00M,6.00M,310.00M,10.00M,0.00,10.00M,6.00M,15.00M,1.00M,10.00M,2.00M,167.00M,1.00M,9.00M,1.00M,8.979M,0.674M,9.424M,0.923M,5.765M,130.24M,,,-0.377M,0.00,0.35M,0.027M
Preferred Stock Issuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.344M,0.344M
Net Preferred Equity Issued (Purchased),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.344M,0.344M
Cash from Other Financing Activities,1.00M,-3.00M,,,,,,,12.00M,-4.00M,-4.00M,-4.00M,-19.00M,-1.00M,-1.00M,6.00M,-2.00M,-5.00M,13.00M,-8.00M,-4.00M,-4.00M,3.00M,-11.00M,-8.00M,-4.00M,1.00M,-11.00M,12.00M,-6.00M,1.00M,-9.00M,5.00M,1.00M,-6.00M,-5.00M,-12.00M,2.00M,4.00M,2.00M,50.00M,-25.00M,-4.00M,16.00M,36.00M,27.00M,23.00M,58.00M,79.00M,107.00M,104.00M,125.00M,103.00M,136.00M,227.00M,104.00M,97.00M,49.00M,0.00,-7.00M,-7.98M,-1.994M,-144.16M,135.14M,-489.36M,239.72M,151.24M,122.39M,416.29M,202.62M,38.58M,-0.496M
Cash from Financing,562.00M,14.00M,-148.00M,-263.00M,126.00M,83.00M,111.00M,-189.00M,-24.00M,-188.00M,-163.00M,-161.00M,-340.00M,-61.00M,-15.00M,-56.00M,-159.00M,-49.00M,-246.00M,-33.00M,-30.00M,-26.00M,-361.00M,0.00,-205.00M,16.00M,-11.00M,-39.00M,-98.00M,24.00M,-106.00M,-142.00M,84.00M,-31.00M,4.00M,39.00M,-29.00M,-50.00M,5.00M,-184.00M,-48.00M,-36.00M,295.00M,95.00M,142.00M,-157.00M,233.00M,417.00M,28.00M,118.00M,181.00M,229.00M,357.00M,145.00M,373.00M,162.00M,395.00M,252.00M,100.00M,346.00M,146.29M,89.44M,92.06M,109.22M,199.42M,350.59M,133.06M,105.93M,190.50M,121.42M,263.28M,81.80M
Beginning Cash,757.00M,522.00M,521.00M,533.00M,513.00M,662.00M,571.00M,359.00M,454.00M,610.00M,499.00M,495.00M,873.00M,935.00M,757.00M,318.00M,544.00M,422.00M,599.00M,341.00M,449.00M,454.00M,501.00M,225.00M,373.00M,333.00M,346.00M,182.00M,542.00M,652.00M,652.00M,673.00M,632.00M,575.00M,550.00M,465.00M,498.00M,477.00M,829.00M,896.00M,951.00M,880.00M,634.00M,561.00M,565.00M,846.00M,713.00M,190.00M,235.00M,198.00M,56.00M,10.00M,8.00M,6.00M,1.00M,5.00M,25.00M,57.00M,55.00M,19.00M,27.80M,23.63M,27.15M,102.80M,574.23M,253.52M,238.90M,246.75M,207.76M,269.32M,92.54M,117.52M
Change in Cash,261.00M,235.00M,1.00M,-12.00M,20.00M,-149.00M,91.00M,212.00M,-95.00M,-156.00M,111.00M,4.00M,-441.00M,-62.00M,178.00M,439.00M,-226.00M,122.00M,-177.00M,258.00M,-108.00M,-5.00M,-47.00M,276.00M,-148.00M,40.00M,-13.00M,164.00M,-360.00M,-110.00M,0.00,-21.00M,41.00M,57.00M,25.00M,85.00M,-33.00M,21.00M,-352.00M,-67.00M,-55.00M,71.00M,246.00M,73.00M,-4.00M,-281.00M,133.00M,523.00M,-45.00M,37.00M,142.00M,46.00M,2.00M,2.00M,4.00M,-4.00M,-19.00M,-32.00M,2.00M,36.00M,-9.006M,4.172M,-3.519M,-75.65M,-238.48M,320.70M,14.63M,-7.853M,-90.24M,-61.57M,176.79M,-24.99M
Ending Cash,1.018B,757.00M,522.00M,521.00M,533.00M,513.00M,662.00M,571.00M,359.00M,454.00M,610.00M,499.00M,495.00M,873.00M,935.00M,757.00M,318.00M,544.00M,422.00M,599.00M,341.00M,449.00M,454.00M,501.00M,225.00M,373.00M,333.00M,346.00M,182.00M,542.00M,652.00M,652.00M,673.00M,632.00M,575.00M,550.00M,465.00M,498.00M,477.00M,829.00M,896.00M,951.00M,880.00M,634.00M,561.00M,565.00M,846.00M,713.00M,190.00M,235.00M,198.00M,56.00M,10.00M,8.00M,6.00M,1.00M,6.00M,25.00M,57.00M,55.00M,19.00M,27.80M,23.63M,27.15M,103.00M,574.23M,253.52M,238.90M,,207.76M,269.32M,92.54M
Issuance of Capital Stock,24.00M,0.00,27.00M,,23.00M,1.00M,24.00M,,20.00M,0.00,26.00M,2.00M,19.00M,1.00M,23.00M,2.00M,16.00M,11.00M,27.00M,30.00M,28.00M,4.00M,9.00M,0.00,6.00M,0.00,4.00M,,3.00M,0.00,4.00M,2.00M,5.00M,0.00,5.00M,0.00,4.00M,0.00,4.00M,1.00M,4.00M,0.00,116.00M,0.00,3.00M,1.00M,6.00M,310.00M,10.00M,0.00,10.00M,6.00M,15.00M,1.00M,10.00M,2.00M,167.00M,1.00M,9.00M,1.00M,8.979M,0.674M,9.424M,0.923M,5.765M,130.24M,,,-0.377M,0.00,0.006M,0.371M
Issuance of Debt,763.00M,218.00M,0.00,,147.00M,261.00M,279.00M,,0.00,0.00,,,,,,,,,,0.00,0.00,35.00M,59.00M,248.00M,139.00M,91.00M,139.00M,214.00M,284.00M,198.00M,108.00M,0.00,189.00M,49.00M,55.00M,86.00M,38.00M,27.00M,66.00M,20.00M,-42.00M,42.00M,300.00M,159.00M,300.00M,103.00M,346.00M,147.00M,52.00M,90.00M,128.00M,154.00M,373.00M,108.00M,274.00M,145.00M,182.00M,244.00M,132.00M,382.00M,176.09M,111.36M,113.53M,142.02M,378.56M,332.44M,,,-298.97M,-57.86M,247.41M,109.42M
Debt Repayment,-65.00M,-76.00M,-49.00M,-133.00M,-44.00M,-54.00M,-66.00M,-58.00M,-56.00M,-54.00M,-34.00M,-50.00M,-220.00M,-61.00M,-36.00M,-51.00M,-96.00M,-54.00M,-123.00M,-55.00M,-54.00M,-61.00M,-350.00M,-237.00M,-342.00M,-71.00M,-147.00M,-242.00M,-371.00M,-168.00M,-219.00M,-135.00M,-115.00M,-81.00M,-50.00M,-42.00M,-59.00M,-79.00M,-69.00M,-207.00M,-60.00M,-53.00M,-117.00M,-80.00M,-197.00M,-288.00M,-142.00M,-98.00M,-113.00M,-79.00M,-61.00M,-56.00M,-134.00M,-100.00M,-138.00M,-89.00M,-51.00M,-42.00M,-41.00M,-30.00M,-30.80M,-20.59M,113.26M,-168.86M,304.45M,-351.81M,-18.19M,-16.45M,73.55M,-23.34M,-22.72M,-27.50M
Repurchase of Capital Stock,-161.00M,-125.00M,-126.00M,-130.00M,0.00,-125.00M,-126.00M,-131.00M,0.00,-130.00M,-151.00M,-109.00M,-120.00M,0.00,-1.00M,-13.00M,-77.00M,-1.00M,-163.00M,,0.00,0.00,-82.00M,,0.00,0.00,-8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Paid Supplemental Data,,-88.00M,88.00M,0.00,0.00,21.00M,-17.00M,7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Paid Supplemental Data,12.00M,83.00M,-54.00M,21.00M,13.00M,72.00M,-44.00M,18.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,,,
