Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03
Net Operating Interest Income,-7.00M,-8.00M,-14.00M,-18.00M,-16.00M,-10.00M,-10.00M,-12.00M,5.00M,-17.00M,-22.00M,-21.00M,-22.00M,-24.00M,-24.00M,-26.00M,-27.00M,-29.00M,-32.00M,-31.00M,-29.00M,-32.00M,-38.00M,-35.00M,-38.00M,-33.00M,-42.00M,-36.00M,-43.00M,-40.00M,-44.00M,-40.00M,-43.00M,-52.00M,-43.00M,-39.00M,-40.00M,-44.00M,-43.00M,-44.00M,-44.00M,-43.00M,-40.00M,-53.00M,-47.00M,-47.00M,-34.00M,-61.00M,-46.00M,-44.00M,-41.00M,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,273.00M,271.00M,277.00M,286.00M,262.00M,277.00M,261.00M,259.00M,241.00M,229.00M,231.00M,230.00M,216.00M,223.00M,213.00M,214.00M,178.00M,199.00M,186.00M,186.00M,158.00M,166.00M,177.00M,181.00M,150.00M,151.00M,141.00M,159.00M,148.00M,145.00M,125.00M,131.00M,133.00M,135.00M,129.00M,135.00M,126.00M,134.00M,121.00M,134.00M,118.00M,110.00M,89.00M,102.00M,60.00M,104.00M,99.00M,113.00M,98.00M,101.00M,95.00M,505.00M,460.00M,479.00M,461.00M,423.00M,391.00M,360.00M,315.00M,279.00M,258.62M,241.32M,216.98M,205.08M,229.64M,172.12M,156.84M,144.64M,,,,85.49M
Total Operating Expenses,348.00M,345.00M,352.00M,352.00M,342.00M,349.00M,336.00M,326.00M,314.00M,298.00M,300.00M,291.00M,282.00M,283.00M,285.00M,278.00M,243.00M,268.00M,256.00M,246.00M,207.00M,225.00M,246.00M,235.00M,210.00M,211.00M,194.00M,209.00M,200.00M,196.00M,179.00M,178.00M,-690.00M,477.00M,473.00M,471.00M,-654.00M,462.00M,436.00M,450.00M,414.00M,406.00M,375.00M,379.00M,328.00M,369.00M,355.00M,375.00M,341.00M,336.00M,327.00M,621.00M,569.00M,587.00M,565.00M,515.00M,343.00M,439.00M,389.00M,348.00M,362.34M,342.97M,274.63M,295.11M,335.66M,219.74M,199.16M,182.68M,366.31M,60.47M,75.08M,129.42M
Operating Income,227.00M,247.00M,252.00M,88.00M,220.00M,190.00M,167.00M,125.00M,170.00M,314.00M,347.00M,142.00M,244.00M,354.00M,313.00M,349.00M,330.00M,351.00M,282.00M,253.00M,169.00M,164.00M,141.00M,41.00M,115.00M,152.00M,102.00M,59.00M,44.00M,113.00M,130.00M,89.00M,83.00M,108.00M,86.00M,45.00M,55.00M,140.00M,95.00M,43.00M,232.00M,240.00M,248.00M,237.00M,207.00M,192.00M,183.00M,183.00M,182.00M,231.00M,227.00M,-13.00M,64.00M,41.00M,47.00M,-25.00M,959.00M,14.00M,40.00M,25.00M,-261.07M,-242.14M,45.09M,-193.90M,-329.63M,-67.26M,45.54M,34.45M,31.45M,22.46M,27.71M,-77.35M
Non-Operating Interest Income,11.00M,6.00M,2.00M,-1.00M,2.00M,6.00M,3.00M,2.00M,1.00M,3.00M,,2.00M,2.00M,2.00M,2.00M,1.00M,,1.00M,-2.00M,1.00M,3.00M,1.00M,-3.00M,-1.00M,-2.00M,3.00M,-4.00M,2.00M,-2.00M,2.00M,-2.00M,3.00M,,,0.00,4.00M,,,0.00,2.00M,4.00M,5.00M,9.00M,2.00M,-35.00M,20.00M,8.00M,12.00M,13.00M,14.00M,15.00M,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,18.00M,14.00M,16.00M,17.00M,18.00M,16.00M,13.00M,14.00M,-4.00M,20.00M,22.00M,23.00M,24.00M,26.00M,26.00M,27.00M,28.00M,30.00M,30.00M,32.00M,32.00M,33.00M,35.00M,34.00M,36.00M,36.00M,38.00M,38.00M,41.00M,42.00M,42.00M,43.00M,40.00M,52.00M,43.00M,43.00M,44.00M,44.00M,43.00M,46.00M,48.00M,48.00M,49.00M,55.00M,12.00M,67.00M,42.00M,73.00M,59.00M,58.00M,56.00M,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-7.00M,-8.00M,-14.00M,-18.00M,-16.00M,-10.00M,-10.00M,-12.00M,5.00M,-17.00M,-22.00M,-21.00M,-22.00M,-24.00M,-24.00M,-26.00M,-27.00M,-29.00M,-32.00M,-31.00M,-29.00M,-32.00M,-38.00M,-35.00M,-38.00M,-33.00M,-42.00M,-36.00M,-43.00M,-40.00M,-44.00M,-40.00M,-43.00M,-52.00M,-43.00M,-39.00M,-40.00M,-44.00M,-43.00M,-44.00M,-44.00M,-43.00M,-40.00M,-53.00M,-47.00M,-47.00M,-34.00M,-61.00M,-46.00M,-44.00M,-41.00M,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,0.00,15.00M,-2.00M,-12.00M,-4.00M,-112.00M,-319.00M,,,,,,,,,,,,,,0.00,0.00,242.00M,,,0.00,0.00,,,,,,,,,,,1.00M,,,,,,,,15.00M,,,13.00M,11.00M,11.00M,8.00M,8.00M,3.00M,7.00M,5.00M,5.00M,3.00M,4.00M,4.00M,3.137M,2.477M,1.81M,1.576M,-42.17M,1.405M,23.98M,1.021M,,1.822M,,1.297M
Net Interest Income,-7.00M,-8.00M,-14.00M,-18.00M,-16.00M,-10.00M,-10.00M,-12.00M,5.00M,-17.00M,-22.00M,-21.00M,-22.00M,-24.00M,-24.00M,-26.00M,-27.00M,-29.00M,-32.00M,-31.00M,-29.00M,-32.00M,-38.00M,-35.00M,-38.00M,-33.00M,-42.00M,-36.00M,-43.00M,-40.00M,-44.00M,-40.00M,-43.00M,-52.00M,-43.00M,-39.00M,-40.00M,-44.00M,-43.00M,-44.00M,-44.00M,-43.00M,-40.00M,-53.00M,-47.00M,-47.00M,-34.00M,-61.00M,-46.00M,-44.00M,-41.00M,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,220.00M,254.00M,236.00M,58.00M,200.00M,68.00M,-162.00M,113.00M,175.00M,297.00M,325.00M,121.00M,222.00M,330.00M,289.00M,323.00M,303.00M,322.00M,250.00M,222.00M,140.00M,132.00M,345.00M,6.00M,77.00M,119.00M,60.00M,23.00M,1.00M,73.00M,86.00M,49.00M,40.00M,56.00M,43.00M,6.00M,13.00M,97.00M,52.00M,-1.00M,20.00M,23.00M,36.00M,20.00M,-51.00M,-10.00M,-13.00M,-16.00M,-3.00M,46.00M,43.00M,-45.00M,30.00M,1.00M,25.00M,-47.00M,-55.00M,-4.00M,24.00M,11.00M,-0.473M,13.30M,36.51M,25.76M,29.08M,49.42M,65.45M,30.05M,27.19M,20.49M,25.03M,22.29M
Provision for Income Taxes,59.00M,67.00M,57.00M,16.00M,30.00M,18.00M,-41.00M,23.00M,-495.00M,116.00M,118.00M,39.00M,82.00M,131.00M,108.00M,116.00M,113.00M,124.00M,98.00M,85.00M,52.00M,53.00M,115.00M,2.00M,30.00M,48.00M,24.00M,9.00M,0.00,28.00M,34.00M,19.00M,17.00M,21.00M,18.00M,3.00M,5.00M,38.00M,21.00M,0.00,9.00M,8.00M,16.00M,8.00M,7.00M,-2.00M,-4.00M,-6.00M,1.00M,23.00M,22.00M,-23.00M,13.00M,1.00M,11.00M,-15.00M,-13.00M,-7.00M,11.00M,5.00M,-1.767M,5.182M,15.06M,10.57M,-131.56M,20.37M,27.49M,12.69M,-68.07M,8.333M,10.45M,9.286M
Income from Continuing Operations,161.00M,187.00M,179.00M,42.00M,170.00M,50.00M,-121.00M,90.00M,670.00M,181.00M,207.00M,82.00M,140.00M,199.00M,181.00M,207.00M,190.00M,198.00M,152.00M,137.00M,88.00M,79.00M,230.00M,4.00M,47.00M,71.00M,36.00M,14.00M,1.00M,45.00M,52.00M,30.00M,23.00M,35.00M,25.00M,3.00M,8.00M,59.00M,31.00M,-1.00M,11.00M,15.00M,20.00M,12.00M,-58.00M,-8.00M,-9.00M,-10.00M,-4.00M,23.00M,21.00M,-22.00M,17.00M,0.00,14.00M,-32.00M,-42.00M,3.00M,13.00M,6.00M,1.294M,8.116M,21.46M,15.19M,18.64M,29.04M,37.96M,17.36M,15.26M,12.16M,14.59M,7.993M
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944M,5.011M
Net Income,161.00M,187.00M,179.00M,42.00M,170.00M,50.00M,-121.00M,90.00M,670.00M,181.00M,207.00M,82.00M,140.00M,199.00M,181.00M,207.00M,190.00M,198.00M,152.00M,137.00M,88.00M,79.00M,230.00M,4.00M,47.00M,71.00M,36.00M,14.00M,1.00M,45.00M,52.00M,30.00M,23.00M,35.00M,25.00M,3.00M,8.00M,59.00M,31.00M,-1.00M,11.00M,15.00M,20.00M,12.00M,-58.00M,-8.00M,-9.00M,-10.00M,-4.00M,23.00M,21.00M,-22.00M,17.00M,0.00,14.00M,-32.00M,-42.00M,3.00M,13.00M,6.00M,1.294M,8.116M,21.46M,15.19M,18.64M,29.04M,37.96M,17.36M,15.26M,12.16M,14.59M,13.00M
Normalized Income,161.00M,187.00M,180.52M,50.69M,173.40M,132.35M,117.27M,90.00M,670.00M,181.00M,207.00M,82.00M,140.00M,199.00M,181.00M,207.00M,190.00M,198.00M,152.00M,137.00M,88.00M,79.00M,68.67M,4.00M,47.00M,71.00M,36.00M,14.00M,1.00M,45.00M,52.00M,30.00M,23.00M,35.00M,25.00M,3.00M,8.00M,58.39M,31.00M,-1.00M,11.00M,15.00M,20.00M,12.00M,-58.00M,-20.00M,-9.00M,-10.00M,-12.45M,15.85M,13.85M,-27.20M,12.20M,-1.80M,9.80M,-35.40M,-45.82M,1.20M,10.60M,3.60M,-0.5882M,6.604M,20.37M,14.25M,43.94M,28.20M,23.57M,16.75M,15.26M,11.06M,14.59M,12.23M
EBITDA,378.00M,402.00M,379.00M,199.00M,342.00M,203.00M,-34.00M,238.00M,267.00M,431.00M,456.00M,249.00M,350.00M,457.00M,412.00M,441.00M,424.00M,436.00M,361.00M,341.00M,257.00M,244.00M,459.00M,122.00M,196.00M,232.00M,172.00M,133.00M,113.00M,183.00M,194.00M,156.00M,146.00M,168.00M,148.00M,108.00M,114.00M,198.00M,152.00M,104.00M,128.00M,131.00M,143.00M,131.00M,22.00M,112.00M,77.00M,103.00M,103.00M,150.00M,142.00M,31.00M,105.00M,81.00M,86.00M,9.00M,994.00M,44.00M,67.00M,50.00M,-237.12M,-222.21M,62.73M,-177.43M,-314.12M,-53.41M,57.10M,44.86M,41.12M,29.39M,33.40M,-72.64M
Reconciled Depreciation,140.00M,134.00M,127.00M,124.00M,124.00M,119.00M,115.00M,111.00M,96.00M,114.00M,109.00M,105.00M,104.00M,101.00M,97.00M,91.00M,93.00M,84.00M,81.00M,87.00M,85.00M,79.00M,79.00M,82.00M,83.00M,77.00M,74.00M,72.00M,71.00M,68.00M,66.00M,64.00M,66.00M,60.00M,62.00M,59.00M,57.00M,57.00M,57.00M,59.00M,60.00M,60.00M,58.00M,56.00M,61.00M,55.00M,48.00M,46.00M,47.00M,46.00M,43.00M,44.00M,41.00M,40.00M,39.00M,34.00M,35.00M,30.00M,27.00M,25.00M,23.95M,19.93M,17.64M,16.47M,14.19M,13.85M,11.56M,10.40M,9.667M,6.926M,5.695M,4.712M
EBIT,238.00M,268.00M,252.00M,75.00M,218.00M,84.00M,-149.00M,127.00M,171.00M,317.00M,347.00M,144.00M,246.00M,356.00M,315.00M,350.00M,331.00M,352.00M,280.00M,254.00M,172.00M,165.00M,380.00M,40.00M,113.00M,155.00M,98.00M,61.00M,42.00M,115.00M,128.00M,92.00M,80.00M,108.00M,86.00M,49.00M,57.00M,141.00M,95.00M,45.00M,68.00M,71.00M,85.00M,75.00M,-39.00M,57.00M,29.00M,57.00M,56.00M,104.00M,99.00M,-13.00M,64.00M,41.00M,47.00M,-25.00M,959.00M,14.00M,40.00M,25.00M,-261.07M,-242.14M,45.09M,-193.90M,-329.63M,-67.26M,45.54M,34.45M,31.45M,22.46M,27.71M,-77.35M
EPS Basic from Continuing Operations,0.56,0.63,0.60,0.14,0.55,0.16,-0.39,0.28,2.04,0.56,0.63,0.25,0.51,0.61,0.56,0.64,0.60,0.63,0.48,0.44,0.29,0.27,0.79,0.01,0.16,0.25,0.13,0.05,0.0035,0.16,0.19,0.11,0.08,0.12,0.09,0.01,0.04,0.21,0.11,0.00,0.04,0.05,0.08,0.05,-0.25,-0.03,-0.04,-0.05,-0.02,0.13,0.12,-0.12,0.1044,0.00,0.08,-0.18,-0.27,0.02,0.08,0.04,0.0133,0.0533,0.14,0.10,0.1233,0.1933,0.2667,0.12,0.1478,0.0890,0.1187,0.8415
EPS Basic from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Normalized Basic EPS,0.56,0.63,0.6051,0.1685,0.5611,0.4268,0.3664,0.28,2.04,0.56,0.63,0.25,0.51,0.61,0.56,0.64,0.60,0.63,0.48,0.44,0.29,0.27,0.2403,0.01,0.16,0.25,0.13,0.05,0.0035,0.16,0.19,0.11,0.08,0.12,0.09,0.01,0.04,0.2078,0.11,0.00,0.04,0.05,0.08,0.05,-0.25,-0.0831,-0.04,-0.05,-0.0666,0.0903,0.0802,-0.1484,0.0750,-0.01,0.056,-0.1991,-0.2965,0.008,0.0652,0.024,0.0004,0.0434,0.1329,0.0938,0.2932,0.1877,0.1656,0.1158,0.1478,0.0810,0.1187,0.8358
EPS Basic,0.56,0.63,0.60,0.14,0.55,0.16,-0.39,0.28,2.04,0.56,0.63,0.25,0.51,0.61,0.56,0.64,0.60,0.63,0.48,0.44,0.29,0.27,0.79,0.01,0.16,0.25,0.13,0.05,0.0035,0.16,0.19,0.11,0.08,0.12,0.09,0.01,0.04,0.21,0.11,0.00,0.04,0.05,0.08,0.05,-0.25,-0.03,-0.04,-0.05,-0.02,0.13,0.12,-0.12,0.1044,0.00,0.08,-0.18,-0.27,0.02,0.08,0.04,0.0133,0.0533,0.14,0.10,0.1233,0.1933,0.2667,0.12,0.1478,0.0890,0.1187,0.8415
EPS Diluted from Continuing Operations,0.56,0.63,0.59,0.14,0.55,0.16,-0.39,0.28,2.03,0.55,0.62,0.24,0.50,0.58,0.53,0.61,0.56,0.58,0.44,0.40,0.26,0.24,0.68,0.01,0.14,0.21,0.11,0.05,0.0035,0.14,0.16,0.09,0.07,0.11,0.08,0.01,0.03,0.18,0.10,0.00,0.04,0.05,0.07,0.05,-0.25,-0.03,-0.04,-0.05,-0.02,0.12,0.11,-0.12,0.1044,0.00,0.08,-0.18,-0.27,0.02,0.08,0.04,0.0133,0.0467,0.1267,0.0933,0.1067,0.1733,0.24,0.1133,0.0940,0.0801,0.0979,0.1007
EPS Diluted from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Normalized Diluted EPS,0.56,0.63,0.5950,0.1683,0.5610,0.4254,0.3664,0.28,2.03,0.55,0.62,0.24,0.50,0.58,0.53,0.61,0.56,0.58,0.44,0.40,0.26,0.24,0.2109,0.01,0.14,0.21,0.11,0.05,0.0035,0.14,0.16,0.09,0.07,0.11,0.08,0.01,0.03,0.1782,0.10,0.00,0.04,0.05,0.07,0.05,-0.25,-0.0831,-0.04,-0.05,-0.0657,0.0840,0.0740,-0.1484,0.0750,-0.01,0.056,-0.1991,-0.2965,0.008,0.0652,0.024,0.0011,0.0380,0.1203,0.0875,0.2562,0.1683,0.1490,0.1093,0.0940,0.0730,0.0979,0.0951
EPS Diluted,0.56,0.63,0.59,0.14,0.55,0.16,-0.39,0.28,2.03,0.55,0.62,0.24,0.50,0.58,0.53,0.61,0.56,0.58,0.44,0.40,0.26,0.24,0.68,0.01,0.14,0.21,0.11,0.05,0.0035,0.14,0.16,0.09,0.07,0.11,0.08,0.01,0.03,0.18,0.10,0.00,0.04,0.05,0.07,0.05,-0.25,-0.03,-0.04,-0.05,-0.02,0.12,0.11,-0.12,0.1044,0.00,0.08,-0.18,-0.27,0.02,0.08,0.04,0.0133,0.0467,0.1267,0.0933,0.1067,0.1733,0.24,0.1133,0.0940,0.0801,0.0979,0.1007
Average Basic Shares Outstanding,286.10M,294.00M,300.30M,305.30M,307.20M,308.70M,315.00M,320.60M,322.40M,326.10M,330.10M,336.30M,337.60M,323.70M,323.20M,321.60M,319.60M,313.80M,316.90M,310.20M,300.10M,290.50M,293.50M,294.80M,289.87M,280.94M,280.62M,279.77M,282.61M,282.88M,282.49M,281.21M,279.92M,279.10M,278.46M,277.26M,276.42M,275.73M,275.23M,274.05M,273.26M,272.22M,251.77M,244.93M,239.42M,225.93M,225.28M,214.42M,181.17M,180.15M,179.51M,183.33M,163.64M,180.00M,175.00M,177.78M,143.96M,150.00M,162.50M,150.00M,145.48M,152.18M,153.27M,151.93M,148.91M,150.22M,142.34M,144.65M,143.46M,136.84M,113.92M,138.19M
Average Diluted Shares Outstanding,288.20M,295.90M,301.80M,306.90M,308.80M,310.30M,315.00M,322.30M,324.40M,327.80M,331.50M,338.20M,341.00M,343.20M,342.70M,341.70M,341.80M,343.50M,347.60M,346.20M,342.70M,341.10M,343.90M,297.20M,345.25M,343.74M,342.99M,308.86M,344.99M,344.79M,343.79M,342.82M,342.83M,346.25M,348.86M,279.34M,347.86M,346.93M,346.44M,274.05M,344.85M,344.17M,323.26M,274.55M,239.42M,225.93M,225.28M,214.42M,184.73M,198.78M,198.58M,183.33M,163.64M,180.00M,175.00M,177.78M,143.96M,150.00M,162.50M,150.00M,154.20M,173.91M,169.41M,162.78M,169.24M,167.56M,158.15M,153.16M,162.61M,152.95M,149.48M,138.19M
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,Restated,Restated,Restated,Restated,,,
