Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03
Total Current Assets,1.786B,1.46B,1.469B,1.521B,1.388B,1.507B,1.448B,1.32B,1.206B,1.323B,1.449B,1.469B,1.403B,2.008B,2.078B,1.774B,1.373B,1.626B,1.405B,1.511B,1.20B,1.215B,1.265B,1.356B,1.056B,1.382B,1.325B,1.286B,1.10B,1.487B,1.625B,1.664B,1.628B,1.612B,1.562B,1.549B,1.36B,1.312B,1.359B,1.435B,1.538B,1.522B,1.261B,1.024B,962.00M,970.00M,1.332B,1.064B,1.116B,1.106B,1.097B,1.00B,927.00M,620.00M,621.00M,611.00M,635.00M,591.39M,650.90M,734.99M,514.00M,586.21M,610.44M,635.93M,646.00M,647.53M,308.94M,287.52M,,246.83M,309.58M,132.88M
Other Properties,2.057B,2.104B,2.10B,2.108B,2.13B,1.049B,1.059B,1.049B,1.041B,1.017B,999.00M,992.00M,972.00M,940.00M,916.00M,895.00M,868.00M,857.00M,859.00M,848.00M,816.00M,794.00M,771.00M,717.00M,688.00M,661.00M,615.00M,595.00M,585.00M,5.737B,5.686B,5.527B,531.00M,5.293B,5.183B,5.095B,4.989B,4.943B,4.899B,4.842B,4.824B,4.799B,4.784B,4.655B,4.482B,4.544B,4.486B,,4.26B,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,,,,,,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,561.00M,559.00M,559.00M,558.00M,558.00M,557.00M,554.00M,551.00M,549.00M,544.00M,538.00M,526.00M,533.00M,519.00M,547.00M,,452.00M,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,12.82B,12.47B,12.32B,12.06B,11.95B,11.05B,10.84B,10.98B,10.79B,10.38B,10.19B,9.904B,9.624B,9.235B,8.983B,8.832B,8.679B,8.317B,8.193B,7.974B,7.817B,7.594B,7.417B,7.227B,7.208B,6.973B,6.899B,6.718B,6.652B,6.298B,6.247B,6.088B,5.965B,5.852B,5.742B,5.653B,5.547B,5.50B,5.453B,5.393B,5.373B,5.343B,5.322B,5.181B,5.015B,5.063B,5.033B,4.416B,4.712B,4.18B,4.113B,3.961B,3.776B,3.705B,3.615B,3.399B,3.217B,3.029B,2.764B,2.515B,2.274B,2.041B,1.866B,1.692B,1.502B,1.315B,1.208B,1.062B,,889.12M,742.26M,645.92M
Accumulated D&A,-3.296B,-3.204B,-3.103B,-3.004B,-2.909B,-3.038B,-2.937B,-2.838B,-2.737B,-2.635B,-2.536B,-2.446B,-2.353B,-2.282B,-2.192B,-2.11B,-2.027B,-1.957B,-1.885B,-1.813B,-1.745B,-1.688B,-1.639B,-1.575B,-1.552B,-1.489B,-1.425B,-1.368B,-1.309B,-1.272B,-1.214B,-1.155B,-1.105B,-1.053B,-1.005B,-954.00M,-906.00M,-858.00M,-810.00M,-782.00M,-735.00M,-687.00M,-635.00M,-591.00M,-545.00M,-535.00M,-516.00M,-497.00M,-466.00M,-440.00M,-409.00M,-373.00M,-338.00M,-320.00M,-299.00M,-267.00M,-239.00M,-210.44M,-185.81M,-162.95M,-144.00M,-124.24M,-109.62M,-94.68M,-81.00M,-68.30M,-56.80M,-46.93M,,-30.22M,-23.74M,-18.22M
Net PP&E,9.526B,9.267B,9.219B,9.06B,9.039B,8.008B,7.902B,8.139B,8.049B,7.742B,7.65B,7.458B,7.271B,6.953B,6.791B,6.722B,6.652B,6.36B,6.308B,6.161B,6.072B,5.906B,5.778B,5.652B,5.656B,5.484B,5.474B,5.35B,5.343B,5.026B,5.033B,4.933B,4.86B,4.799B,4.737B,4.699B,4.641B,4.642B,4.643B,4.611B,4.638B,4.656B,4.687B,4.59B,4.47B,4.528B,4.517B,3.919B,4.246B,3.74B,3.704B,3.588B,3.438B,3.385B,3.316B,3.132B,2.978B,2.818B,2.578B,2.352B,2.13B,1.916B,1.756B,1.597B,1.421B,1.247B,1.151B,1.015B,,858.90M,718.53M,627.71M
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00M,27.00M,30.00M,,35.00M,37.00M,40.00M,,46.26M,49.08M,51.74M,54.00M,56.64M,58.83M,60.59M,62.00M,64.50M,65.89M,67.17M,,,,
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00M,27.00M,30.00M,32.00M,35.00M,37.00M,40.00M,43.00M,46.26M,49.08M,51.74M,54.00M,56.64M,58.83M,60.59M,62.00M,64.50M,65.89M,67.17M,,64.48M,,
Long Term Investments,3.00M,5.00M,4.00M,3.00M,3.00M,1.00M,2.00M,2.00M,2.00M,0.00,0.00,0.00,90.00M,55.00M,30.00M,0.00,49.00M,47.00M,56.00M,98.00M,60.00M,122.00M,127.00M,97.00M,114.00M,86.00M,76.00M,98.00M,136.00M,150.00M,0.00,0.00,38.00M,29.00M,133.00M,126.00M,133.00M,219.00M,169.00M,74.00M,6.00M,5.00M,217.00M,207.00M,244.00M,305.00M,279.00M,284.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,603.00M,587.00M,544.00M,531.00M,529.00M,631.00M,588.00M,566.00M,524.00M,531.00M,545.00M,546.00M,559.00M,563.00M,559.00M,566.00M,570.00M,561.00M,548.00M,534.00M,507.00M,498.00M,487.00M,540.00M,524.00M,492.00M,493.00M,500.00M,491.00M,478.00M,474.00M,546.00M,545.00M,471.00M,476.00M,469.00M,459.00M,445.00M,419.00M,393.00M,372.00M,350.00M,345.00M,337.00M,344.00M,281.00M,340.00M,783.00M,236.00M,591.00M,528.00M,527.00M,446.00M,389.00M,332.00M,285.00M,236.00M,110.17M,102.67M,97.40M,99.00M,87.55M,84.64M,62.66M,56.00M,51.10M,39.53M,34.68M,,32.30M,30.34M,25.52M
Total Long Term Assets,10.13B,9.859B,9.767B,9.594B,9.571B,8.64B,8.492B,8.707B,8.575B,8.273B,8.195B,8.004B,7.92B,7.571B,7.38B,7.288B,7.271B,6.968B,6.912B,6.793B,6.639B,6.526B,6.392B,6.289B,6.294B,6.062B,6.043B,5.948B,5.97B,5.654B,5.507B,5.479B,5.443B,5.299B,5.346B,5.294B,5.233B,5.306B,5.231B,5.078B,5.016B,5.011B,5.249B,5.134B,5.058B,5.114B,5.136B,4.986B,4.482B,4.355B,4.259B,4.145B,3.916B,3.809B,3.685B,3.457B,3.257B,2.975B,2.730B,2.501B,2.283B,2.061B,1.900B,1.720B,1.539B,1.362B,1.256B,1.116B,,955.68M,748.86M,653.23M
Total Assets,11.92B,11.32B,11.24B,11.12B,10.96B,10.15B,9.94B,10.03B,9.781B,9.596B,9.644B,9.473B,9.323B,9.579B,9.458B,9.062B,8.644B,8.594B,8.317B,8.304B,7.839B,7.741B,7.657B,7.645B,7.35B,7.444B,7.368B,7.234B,7.07B,7.141B,7.132B,7.143B,7.071B,6.911B,6.908B,6.843B,6.593B,6.618B,6.59B,6.513B,6.554B,6.533B,6.51B,6.158B,6.02B,6.084B,6.468B,6.05B,5.598B,5.461B,5.356B,5.145B,4.843B,4.429B,4.306B,4.068B,3.892B,3.566B,3.381B,3.236B,2.797B,2.647B,2.510B,2.356B,2.185B,2.010B,1.565B,1.404B,1.379B,1.203B,1.058B,786.11M
Accounts Payable,401.00M,465.00M,504.00M,482.00M,437.00M,490.00M,417.00M,451.00M,378.00M,295.00M,294.00M,270.00M,242.00M,267.00M,341.00M,260.00M,205.00M,264.00M,266.00M,248.00M,208.00M,196.00M,210.00M,188.00M,180.00M,176.00M,176.00M,181.00M,153.00M,139.00M,174.00M,132.00M,148.00M,116.00M,102.00M,109.00M,104.00M,117.00M,115.00M,125.00M,93.00M,114.00M,99.00M,130.00M,144.00M,125.00M,118.00M,122.00M,140.00M,144.00M,146.00M,139.00M,136.00M,127.00M,132.00M,102.00M,99.00M,80.04M,79.18M,80.32M,71.00M,67.24M,60.81M,54.89M,53.00M,41.86M,32.48M,30.33M,,35.32M,26.44M,23.98M
Total Payables,401.00M,465.00M,504.00M,482.00M,437.00M,490.00M,417.00M,451.00M,378.00M,295.00M,294.00M,270.00M,242.00M,267.00M,341.00M,260.00M,205.00M,264.00M,266.00M,248.00M,208.00M,196.00M,210.00M,188.00M,180.00M,176.00M,176.00M,181.00M,153.00M,139.00M,174.00M,132.00M,148.00M,116.00M,102.00M,109.00M,104.00M,117.00M,115.00M,125.00M,93.00M,114.00M,99.00M,130.00M,144.00M,125.00M,118.00M,122.00M,140.00M,144.00M,146.00M,139.00M,136.00M,127.00M,132.00M,102.00M,99.00M,80.04M,79.18M,80.32M,71.00M,67.24M,60.81M,54.89M,53.00M,41.86M,32.48M,30.33M,,35.32M,26.44M,23.98M
Accrued Expenses,671.00M,646.00M,687.00M,687.00M,611.00M,631.00M,609.00M,628.00M,606.00M,570.00M,625.00M,620.00M,663.00M,658.00M,633.00M,609.00M,569.00M,622.00M,555.00M,552.00M,490.00M,424.00M,418.00M,473.00M,400.00M,370.00M,397.00M,373.00M,368.00M,182.00M,216.00M,221.00M,351.00M,168.00M,175.00M,182.00M,284.00M,279.00M,262.00M,253.00M,237.00M,240.00M,224.00M,216.00M,220.00M,247.00M,282.00M,265.00M,230.00M,236.00M,215.00M,194.00M,164.00M,156.00M,148.00M,151.00M,111.00M,91.52M,110.03M,104.22M,94.00M,90.92M,83.59M,75.73M,,70.11M,62.68M,53.22M,,45.23M,34.07M,26.74M
Payables and Accrued Expenses,1.072B,1.111B,1.191B,1.169B,1.048B,1.121B,1.026B,1.079B,984.00M,865.00M,919.00M,890.00M,905.00M,925.00M,974.00M,869.00M,774.00M,886.00M,821.00M,800.00M,698.00M,620.00M,628.00M,661.00M,580.00M,546.00M,573.00M,554.00M,521.00M,321.00M,390.00M,353.00M,499.00M,284.00M,277.00M,291.00M,388.00M,396.00M,377.00M,378.00M,330.00M,354.00M,323.00M,346.00M,364.00M,372.00M,400.00M,387.00M,370.00M,380.00M,361.00M,333.00M,300.00M,283.00M,280.00M,253.00M,210.00M,171.56M,189.21M,184.54M,165.00M,158.16M,144.40M,130.62M,53.00M,111.97M,95.16M,83.55M,,80.55M,60.50M,50.72M
Liability on Credit Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,344.00M,316.00M,275.00M,268.00M,309.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,344.00M,316.00M,275.00M,268.00M,309.00M,278.00M,230.00M,248.00M,196.00M,224.00M,228.00M,197.00M,189.00M,439.00M,446.00M,448.00M,448.00M,238.00M,229.00M,264.00M,265.00M,274.00M,278.00M,307.00M,469.00M,636.00M,647.00M,575.00M,394.00M,320.00M,267.00M,205.00M,286.00M,193.00M,190.00M,188.00M,183.00M,184.00M,220.00M,237.00M,384.00M,390.00M,345.00M,244.00M,272.00M,206.00M,399.00M,400.00M,460.00M,395.00M,227.00M,226.00M,175.00M,170.00M,231.00M,228.00M,158.00M,192.14M,143.91M,150.10M,149.00M,134.00M,122.14M,111.14M,97.00M,80.75M,81.23M,77.60M,,76.03M,75.85M,81.06M
Current Capital Lease Obligation,128.00M,133.00M,133.00M,135.00M,133.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,472.00M,449.00M,408.00M,403.00M,442.00M,278.00M,230.00M,248.00M,196.00M,224.00M,228.00M,197.00M,189.00M,439.00M,446.00M,448.00M,448.00M,238.00M,229.00M,264.00M,265.00M,274.00M,278.00M,307.00M,469.00M,636.00M,647.00M,575.00M,394.00M,320.00M,267.00M,205.00M,286.00M,193.00M,190.00M,188.00M,183.00M,184.00M,220.00M,237.00M,384.00M,390.00M,345.00M,244.00M,272.00M,206.00M,399.00M,400.00M,460.00M,395.00M,227.00M,226.00M,175.00M,170.00M,231.00M,228.00M,158.00M,192.14M,143.91M,150.10M,149.00M,134.00M,122.14M,111.14M,97.00M,80.75M,81.23M,77.60M,,76.03M,75.85M,81.06M
Current Deferred Revenue,1.119B,1.199B,1.29B,1.279B,1.035B,1.113B,1.193B,1.185B,966.00M,1.262B,1.351B,1.335B,1.12B,1.141B,1.193B,1.157B,1.053B,1.101B,1.136B,1.139B,973.00M,1.021B,1.028B,1.007B,825.00M,851.00M,902.00M,833.00M,693.00M,719.00M,773.00M,794.00M,627.00M,677.00M,705.00M,668.00M,514.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,1.119B,1.199B,1.29B,1.279B,1.035B,1.113B,1.193B,1.185B,966.00M,1.262B,1.351B,1.335B,1.12B,1.141B,1.193B,1.157B,1.053B,1.101B,1.136B,1.139B,973.00M,1.021B,1.028B,1.007B,825.00M,851.00M,902.00M,833.00M,693.00M,719.00M,773.00M,794.00M,627.00M,677.00M,705.00M,668.00M,514.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.00M,593.00M,557.00M,455.00M,457.00M,460.00M,469.00M,445.00M,525.00M,561.00M,480.00M,426.00M,449.00M,461.00M,465.00M,379.00M,414.00M,331.00M,316.00M,308.00M,232.87M,234.60M,219.18M,174.00M,180.60M,171.86M,166.44M,220.00M,143.48M,130.19M,115.26M,,88.15M,75.07M,67.48M
Total Current Liabilities,2.663B,2.759B,2.889B,2.851B,2.525B,2.512B,2.449B,2.512B,2.146B,2.351B,2.498B,2.422B,2.214B,2.505B,2.613B,2.474B,2.275B,2.225B,2.186B,2.203B,1.936B,1.915B,1.934B,1.975B,1.874B,2.033B,2.122B,1.962B,1.608B,1.525B,1.578B,1.479B,1.412B,1.296B,1.31B,1.271B,1.085B,1.126B,1.19B,1.172B,1.169B,1.201B,1.128B,1.059B,1.081B,1.103B,1.36B,1.267B,1.256B,1.224B,1.049B,1.024B,854.00M,867.00M,842.00M,797.00M,676.00M,596.57M,567.72M,553.82M,488.00M,472.76M,438.39M,408.20M,370.00M,336.21M,306.58M,276.41M,,244.73M,211.43M,199.26M
Non-Current Portion of Long Term Debt,1.99B,1.32B,1.217B,1.271B,1.361B,1.29B,1.128B,895.00M,1.003B,1.031B,1.077B,1.14B,1.195B,1.25B,1.30B,1.332B,1.379B,1.744B,1.803B,1.917B,1.968B,2.088B,2.108B,2.332B,2.116B,2.206B,2.173B,2.251B,2.457B,2.603B,2.626B,2.798B,2.85B,2.864B,2.893B,2.89B,2.85B,2.88B,2.896B,2.882B,2.92B,2.972B,3.063B,2.98B,2.872B,2.929B,2.936B,2.697B,2.588B,2.589B,2.756B,2.685B,2.626B,2.338B,2.287B,2.154B,2.103B,1.998B,1.844B,1.747B,1.396B,1.265B,1.186B,1.113B,1.012B,909.61M,677.09M,626.28M,,523.81M,437.20M,375.30M
Long Term Cap Lease Obligation,690.00M,739.00M,753.00M,773.00M,798.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,2.68B,2.059B,1.97B,2.044B,2.159B,1.29B,1.128B,895.00M,1.003B,1.031B,1.077B,1.14B,1.195B,1.25B,1.30B,1.332B,1.379B,1.744B,1.803B,1.917B,1.968B,2.088B,2.108B,2.332B,2.116B,2.206B,2.173B,2.251B,2.457B,2.603B,2.626B,2.798B,2.85B,2.864B,2.893B,2.89B,2.85B,2.88B,2.896B,2.882B,2.92B,2.972B,3.063B,2.98B,2.872B,2.929B,2.936B,2.697B,2.588B,2.589B,2.756B,2.685B,2.626B,2.338B,2.287B,2.154B,2.103B,1.998B,1.844B,1.747B,1.396B,1.265B,1.186B,1.113B,1.012B,909.61M,677.09M,626.28M,,523.81M,437.20M,375.30M
Long Term Deferred Tax Liabilities,1.251B,1.199B,1.158B,1.123B,1.112B,998.00M,963.00M,1.014B,999.00M,1.555B,1.457B,1.379B,1.354B,1.423B,1.341B,1.276B,1.218B,1.04B,961.00M,897.00M,832.00M,769.00M,712.00M,607.00M,605.00M,559.00M,512.00M,489.00M,481.00M,471.00M,442.00M,409.00M,392.00M,368.00M,348.00M,329.00M,327.00M,318.00M,280.00M,259.00M,259.00M,229.00M,221.00M,206.00M,197.00M,183.00M,183.00M,757.00M,192.00M,624.00M,558.00M,476.00M,411.00M,184.00M,175.00M,228.00M,202.00M,185.25M,179.71M,163.53M,159.00M,156.71M,153.61M,142.59M,133.00M,124.65M,,,,139.98M,,
Non-Current Deferred Revenue,481.00M,494.00M,470.00M,458.00M,447.00M,435.00M,413.00M,398.00M,385.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,1.732B,1.693B,1.628B,1.581B,1.559B,1.433B,1.376B,1.412B,1.384B,1.555B,1.457B,1.379B,1.354B,1.423B,1.341B,1.276B,1.218B,1.04B,961.00M,897.00M,832.00M,769.00M,712.00M,607.00M,605.00M,559.00M,512.00M,489.00M,481.00M,471.00M,442.00M,409.00M,392.00M,368.00M,348.00M,329.00M,327.00M,318.00M,280.00M,259.00M,259.00M,229.00M,221.00M,206.00M,197.00M,183.00M,183.00M,757.00M,192.00M,624.00M,558.00M,476.00M,411.00M,184.00M,175.00M,228.00M,202.00M,185.25M,179.71M,163.53M,159.00M,156.71M,153.61M,142.59M,133.00M,124.65M,101.06M,68.24M,,41.84M,32.52M,19.88M
Minority Interest Ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.45M
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,215.45M
Other Long Term Liabilities,44.00M,44.00M,52.00M,32.00M,31.00M,498.00M,506.00M,511.00M,516.00M,520.00M,532.00M,540.00M,547.00M,555.00M,560.00M,566.00M,562.00M,568.00M,574.00M,578.00M,574.00M,583.00M,588.00M,595.00M,621.00M,628.00M,629.00M,635.00M,636.00M,639.00M,645.00M,656.00M,660.00M,676.00M,667.00M,676.00M,677.00M,671.00M,668.00M,666.00M,667.00M,620.00M,614.00M,601.00M,604.00M,588.00M,611.00M,,526.00M,,,,,123.00M,84.00M,,,,,,,,,,,,,,,,,-215.45M
Total Long Term Liabilities,4.456B,3.796B,3.65B,3.657B,3.749B,3.221B,3.01B,2.818B,2.903B,3.106B,3.066B,3.059B,3.096B,3.228B,3.201B,3.174B,3.159B,3.352B,3.338B,3.392B,3.374B,3.44B,3.408B,3.534B,3.342B,3.393B,3.314B,3.375B,3.574B,3.713B,3.713B,3.863B,3.902B,3.908B,3.908B,3.895B,3.854B,3.869B,3.844B,3.807B,3.846B,3.821B,3.898B,3.787B,3.673B,3.70B,3.73B,3.454B,3.306B,3.213B,3.314B,3.161B,3.037B,2.645B,2.546B,2.382B,2.305B,2.183B,2.024B,1.911B,1.555B,1.422B,1.340B,1.255B,1.145B,1.034B,778.15M,694.52M,,565.66M,469.72M,395.17M
Total Liabilities,7.119B,6.555B,6.539B,6.508B,6.274B,5.733B,5.459B,5.33B,5.049B,5.457B,5.564B,5.481B,5.31B,5.733B,5.814B,5.648B,5.434B,5.577B,5.524B,5.595B,5.31B,5.355B,5.342B,5.509B,5.216B,5.426B,5.436B,5.337B,5.182B,5.238B,5.291B,5.342B,5.314B,5.204B,5.218B,5.166B,4.939B,4.995B,5.034B,4.979B,5.015B,5.022B,5.026B,4.846B,4.754B,4.803B,5.09B,4.721B,4.562B,4.437B,4.363B,4.185B,3.891B,3.512B,3.388B,3.179B,2.981B,2.779B,2.592B,2.464B,2.043B,1.895B,1.778B,1.663B,1.515B,1.370B,1.085B,970.94M,964.00M,810.39M,681.15M,594.43M
Total Capital Stock,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,4.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,3.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,2.00M,1.055M,1.053M,1.045M,1.00M,1.036M,1.034M,1.025M,1.00M,0.676M,0.644M,0.639M,,0.421M,0.42M,0.044M
