Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Inventories,261.00M,289.00M,278.00M,274.00M,245.00M,263.00M,231.00M,239.00M,232.00M,372.00M,376.00M,377.00M,323.00M,403.00M,377.00M,416.00M,399.00M,535.00M,569.00M,546.00M,527.00M,817.00M,842.00M,1.055B,954.00M,695.00M,683.00M,686.00M,1.259B,1.218B,1.309B,1.411B,1.423B,1.516B,1.432B,1.552B,1.452B,1.682B,1.628B,1.405B,1.438B,1.424B,1.358B,1.102B,1.308B,1.817B,1.473B,1.177B,1.25B,1.341B,980.00M,1.039B,1.005B,1.234B,1.148B,668.00M,855.00M,918.00M,687.00M,578.00M,596.00M,529.00M,463.00M,393.00M,579.00M,560.00M,449.00M,351.00M,492.00M,522.00M,531.00M,474.00M,550.00M,553.00M,479.00M,342.00M,401.00M,367.00M,242.00M,272.00M,372.70M,467.00M,428.00M,406.00M,482.00M,925.30M,826.00M,826.90M,937.90M,1.108B,993.30M,966.30M,1.272B,1.132B,910.40M,898.60M,838.80M,930.10M,926.70M,841.20M,945.60M,1.009B,957.40M,807.50M,853.40M,1.077B,938.10M,846.50M,981.70M,1.080B,946.60M,802.00M,975.40M,1.095B,876.80M,807.70M,1.346B,1.270B,927.40M,952.90M,1.033B,850.30M,900.20M,765.50M,1.386B,1.549B
Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.10M,112.60M,151.30M,,180.90M,193.40M,183.10M,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,180.00M,124.00M,138.00M,144.00M,519.00M,52.00M,59.00M,52.00M,54.00M,142.00M,124.00M,196.00M,195.00M,108.00M,111.00M,120.00M,130.00M,527.00M,632.00M,560.00M,1.269B,869.00M,871.00M,1.114B,2.306B,822.00M,750.00M,903.00M,1.056B,2.167B,1.699B,1.421B,1.554B,973.00M,807.00M,759.00M,1.002B,865.00M,1.434B,1.502B,1.263B,993.00M,990.00M,979.00M,819.00M,317.00M,474.00M,365.00M,361.00M,287.00M,285.00M,482.00M,587.00M,246.00M,313.00M,305.00M,465.00M,704.00M,470.00M,442.00M,308.00M,428.00M,274.00M,147.00M,187.00M,137.00M,101.00M,105.00M,95.00M,131.00M,272.00M,273.00M,397.00M,395.00M,361.00M,179.00M,406.00M,585.00M,556.00M,318.00M,171.60M,219.20M,250.10M,228.60M,318.00M,277.30M,199.50M,189.30M,181.50M,198.00M,141.40M,141.70M,193.90M,168.60M,184.60M,268.60M,269.30M,,,-0.10M,152.50M,,,,200.20M,179.60M,165.90M,210.50M,188.20M,234.00M,221.50M,184.40M,185.40M,185.80M,169.90M,178.90M,177.10M,152.30M,67.90M,64.40M,94.80M,57.60M,61.00M,71.60M,93.90M,92.50M
Total Current Assets,3.156B,3.398B,3.684B,3.834B,4.459B,4.501B,4.694B,5.014B,6.157B,4.083B,4.27B,4.171B,4.276B,4.893B,4.631B,4.945B,4.404B,5.597B,3.926B,4.323B,6.313B,8.865B,8.767B,7.048B,8.599B,9.257B,9.992B,11.42B,8.387B,8.157B,7.925B,8.212B,8.339B,7.479B,8.886B,9.436B,8.78B,8.839B,8.296B,8.78B,7.987B,6.926B,7.508B,7.137B,7.332B,8.166B,9.692B,7.294B,6.926B,5.269B,5.013B,5.227B,5.848B,5.255B,4.993B,4.579B,5.29B,5.463B,4.49B,4.412B,4.335B,4.078B,3.296B,3.196B,3.186B,2.538B,2.947B,2.968B,2.756B,2.474B,2.373B,2.635B,3.946B,3.927B,3.725B,4.021B,4.115B,3.059B,2.872B,2.218B,1.828B,2.054B,2.240B,1.963B,1.887B,2.354B,1.722B,1.822B,2.204B,2.074B,1.842B,2.081B,2.427B,1.988B,1.820B,2.008B,1.962B,1.867B,1.652B,1.605B,1.722B,1.704B,1.704B,1.568B,1.688B,1.810B,1.693B,1.766B,2.068B,2.239B,2.108B,1.946B,2.476B,2.295B,2.129B,2.178B,3.280B,2.513B,1.478B,1.602B,1.951B,1.570B,1.636B,1.276B,2.166B,2.308B
Land and Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.06B,,,,22.12B,,,,22.16B,,,,,,,,17.45B,,,,15.34B,,,,13.92B,,,,12.42B,,,,12.29B,,,,11.72B,,,,1.399B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,786.00M,835.00M,937.00M,1.045B,39.00M,,,,53.00M,,,,100.00M,,,,171.00M,,,,194.00M,,,,2.095B,,,,2.538B,,,,2.432B,,,,2.347B,,,,2.285B,,,,,,,,1.928B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,36.57B,35.79B,35.04B,34.49B,33.22B,32.62B,32.04B,32.91B,32.50B,47.86B,47.06B,47.25B,46.91B,48.42B,47.91B,47.69B,46.83B,48.14B,47.88B,46.96B,46.52B,46.14B,45.16B,47.06B,45.95B,43.12B,41.20B,40.26B,45.55B,44.27B,42.13B,41.59B,39.71B,40.43B,38.38B,37.03B,35.70B,33.04B,29.54B,29.10B,29.87B,29.36B,28.39B,27.69B,27.44B,28.15B,26.97B,25.85B,24.83B,25.12B,24.16B,23.16B,21.98B,22.17B,21.90B,21.11B,19.46B,18.89B,18.28B,17.84B,17.63B,17.09B,16.70B,16.35B,16.10B,16.38B,15.83B,16.92B,16.15B,16.59B,17.51B,17.04B,16.63B,16.23B,13.15B,12.15B,11.90B,11.62B,11.48B,11.13B,11.06B,11.24B,11.19B,11.07B,11.03B,13.62B,13.13B,12.81B,12.62B,12.22B,12.09B,11.85B,11.90B,11.44B,11.82B,13.08B,13.06B,14.62B,14.60B,14.55B,14.30B,14.24B,14.02B,13.86B,13.79B,13.51B,13.38B,13.24B,13.09B,12.91B,12.89B,12.56B,12.53B,11.93B,11.25B,11.11B,11.16B,9.542B,9.251B,9.198B,9.167B,8.038B,7.614B,7.131B,7.159B,6.563B
Accumulated D&A,-19.01B,-18.51B,-17.99B,-17.55B,-17.14B,-16.61B,-16.17B,-16.72B,-16.31B,-27.58B,-24.26B,-24.05B,-23.31B,-22.88B,-22.14B,-21.45B,-20.47B,-21.26B,-20.58B,-19.75B,-19.00B,-18.48B,-17.92B,-17.89B,-17.18B,-15.71B,-15.02B,-14.60B,-16.75B,-16.12B,-15.57B,-15.54B,-15.00B,-16.26B,-15.85B,-15.27B,-14.58B,-13.96B,-13.00B,-12.56B,-13.24B,-12.71B,-11.97B,-11.33B,-11.17B,-11.50B,-11.21B,-10.72B,-10.20B,-10.85B,-10.40B,-10.02B,-9.672B,-10.23B,-10.22B,-10.14B,-9.952B,-9.747B,-9.497B,-9.257B,-9.127B,-8.818B,-8.561B,-8.316B,-8.122B,-8.442B,-8.172B,-8.991B,-9.117B,-8.852B,-9.197B,-8.748B,-8.462B,-8.174B,-7.92B,-7.732B,-7.575B,-7.423B,-7.273B,-7.149B,-7.013B,-7.012B,-6.933B,-6.863B,-6.835B,-7.914B,-7.689B,-7.540B,-7.431B,-7.215B,-7.115B,-7.024B,-6.995B,-6.600B,-7.055B,-7.818B,-7.694B,-8.510B,-8.375B,-8.221B,-7.939B,-7.750B,-7.484B,-7.24B,-7.052B,-6.647B,-6.647B,-6.647B,-6.647B,-6.402B,-6.402B,-6.402B,-6.339B,-5.981B,-5.699B,-5.627B,-5.594B,-4.688B,-4.688B,-4.688B,-4.688B,-4.359B,-4.064B,-3.602B,-3.221B,-2.681B
Net PP&E,17.56B,17.28B,17.04B,16.94B,16.08B,16.01B,15.87B,16.18B,16.19B,20.28B,22.79B,23.20B,23.60B,25.54B,25.77B,26.24B,26.35B,26.88B,27.30B,27.21B,27.52B,27.67B,27.24B,29.17B,28.77B,27.41B,26.17B,25.65B,28.81B,28.14B,26.56B,26.05B,24.71B,24.17B,22.53B,21.76B,21.13B,19.08B,16.54B,16.54B,16.63B,16.65B,16.42B,16.36B,16.27B,16.66B,15.75B,15.13B,14.63B,14.27B,13.75B,13.14B,12.31B,11.94B,11.68B,10.97B,9.512B,9.143B,8.78B,8.578B,8.505B,8.274B,8.144B,8.036B,7.978B,7.942B,7.655B,7.933B,7.032B,7.741B,8.315B,8.292B,8.165B,8.052B,5.226B,4.421B,4.323B,4.198B,4.209B,3.977B,4.052B,4.228B,4.255B,4.204B,4.192B,5.707B,5.436B,5.271B,5.191B,5.010B,4.976B,4.824B,4.907B,4.844B,4.764B,5.262B,5.370B,6.109B,6.228B,6.332B,6.366B,6.494B,6.538B,6.616B,6.735B,6.865B,6.729B,6.597B,6.444B,6.506B,6.489B,6.154B,6.191B,5.949B,5.550B,5.480B,5.564B,4.854B,4.563B,4.51B,4.479B,3.680B,3.549B,3.529B,3.939B,3.882B
Goodwill,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,350.00M,375.00M,375.00M,375.00M,375.00M,375.00M,375.00M,1.473B,1.473B,1.858B,1.858B,1.858B,1.858B,1.984B,1.869B,1.869B,1.869B,1.869B,2.208B,2.208B,2.266B,2.293B,2.305B,2.383B,2.388B,2.394B,2.408B,2.045B,1.218B,1.218B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.253B,1.249B,1.249B,1.246B,977.00M,977.00M,977.00M,,977.00M,,,,977.00M,,,,977.00M,,982.00M,,982.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.00M,,977.00M,977.00M,977.00M,,977.00M,977.00M,977.00M,,977.00M,,982.00M,,978.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,360.00M,350.00M,375.00M,375.00M,375.00M,375.00M,375.00M,375.00M,1.473B,1.473B,1.858B,1.858B,1.858B,1.858B,1.984B,1.869B,1.869B,1.869B,1.869B,2.208B,2.208B,2.266B,2.293B,2.305B,2.383B,2.388B,2.394B,2.408B,2.045B,1.218B,1.218B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.225B,1.253B,1.249B,1.249B,1.246B,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,977.00M,982.00M,982.00M,982.00M,978.00M,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,,,,,,,,,,,,,,,,,,,,,,145.00M,213.00M,485.00M,,441.00M,380.00M,337.00M,443.00M,401.00M,450.00M,415.00M,384.00M,391.00M,417.00M,446.00M,443.00M,775.00M,590.00M,597.00M,913.00M,975.00M,1.013B,1.084B,1.127B,,,,,,,,1.243B,,1.301B,1.189B,1.389B,1.303B,1.305B,,1.254B,,,,1.095B,,,,1.622B,,,,1.636B,,,,1.05B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.00M,121.00M,,152.00M,182.00M,,212.00M,,,,302.00M,,,,363.00M,,,,395.00M,,,,443.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,80.00M,18.00M,21.00M,22.00M,21.00M,10.00M,18.00M,22.00M,21.00M,1.48B,25.00M,23.00M,59.00M,3.257B,3.043B,2.832B,2.653B,2.109B,2.504B,2.356B,2.371B,1.94B,2.499B,2.207B,2.319B,2.617B,2.753B,2.742B,3.126B,2.872B,2.973B,3.231B,2.941B,2.322B,2.285B,2.123B,2.167B,2.47B,2.316B,2.283B,2.409B,2.327B,2.413B,2.298B,2.292B,2.109B,2.704B,1.965B,1.873B,1.634B,1.646B,1.532B,1.43B,1.501B,1.591B,1.553B,1.544B,1.568B,1.498B,1.354B,834.00M,817.00M,643.00M,503.00M,306.00M,404.00M,554.00M,568.00M,512.00M,451.00M,239.00M,275.00M,245.00M,291.00M,298.00M,324.00M,343.00M,252.00M,278.00M,,317.80M,220.90M,252.20M,317.40M,,318.20M,356.50M,324.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,626.00M,571.00M,586.00M,557.00M,510.00M,583.00M,523.00M,495.00M,382.00M,398.00M,360.00M,330.00M,316.00M,397.00M,416.00M,415.00M,373.00M,394.00M,357.00M,356.00M,348.00M,500.00M,498.00M,534.00M,1.196B,298.00M,264.00M,362.00M,470.00M,430.00M,444.00M,444.00M,455.00M,597.00M,487.00M,479.00M,471.00M,272.00M,545.00M,535.00M,304.00M,338.00M,336.00M,333.00M,342.00M,1.422B,1.364B,1.397B,1.473B,1.535B,1.599B,1.60B,360.00M,1.68B,307.00M,227.00M,403.00M,249.00M,227.00M,1.595B,195.00M,1.589B,1.486B,1.404B,139.00M,1.35B,1.467B,1.517B,,1.984B,1.953B,1.978B,,2.043B,1.615B,1.48B,,1.56B,1.521B,1.839B,1.531B,1.436B,1.458B,1.490B,1.804B,266.10M,262.90M,259.20M,540.20M,554.60M,529.60M,473.60M,450.40M,473.40M,452.60M,460.80M,424.20M,277.00M,266.20M,259.00M,250.20M,235.30M,222.10M,218.10M,218.40M,206.30M,205.70M,220.70M,209.50M,166.60M,165.80M,167.10M,174.70M,145.20M,155.20M,154.20M,213.10M,527.10M,473.50M,471.50M,437.30M,122.10M,119.90M,108.90M,114.90M,162.70M
Total Long Term Assets,18.63B,18.23B,18.01B,17.88B,16.97B,16.97B,16.77B,17.06B,16.96B,22.52B,23.53B,23.93B,24.34B,29.57B,29.60B,29.86B,29.75B,30.86B,31.63B,31.78B,32.09B,32.11B,32.30B,34.38B,34.16B,32.64B,31.44B,30.96B,35.05B,34.06B,32.69B,32.44B,30.80B,29.86B,28.10B,27.20B,26.62B,24.65B,21.20B,21.17B,21.48B,21.51B,21.41B,21.30B,21.26B,21.41B,21.05B,19.72B,19.20B,18.67B,18.22B,17.50B,16.59B,16.37B,16.25B,15.31B,13.82B,13.39B,12.97B,12.50B,11.98B,11.66B,11.25B,10.92B,10.80B,10.67B,10.65B,11.00B,10.51B,11.15B,11.49B,11.53B,11.42B,11.36B,7.139B,6.225B,6.159B,6.01B,6.008B,5.816B,5.900B,5.885B,5.966B,6.012B,5.996B,6.292B,6.055B,5.854B,5.731B,5.564B,5.506B,5.298B,5.358B,5.317B,5.217B,5.723B,5.794B,6.386B,6.494B,6.591B,6.616B,6.730B,6.761B,6.835B,6.953B,7.072B,6.934B,6.818B,6.654B,6.673B,6.654B,6.321B,6.365B,6.094B,5.705B,5.635B,5.777B,5.381B,5.037B,4.982B,4.916B,3.802B,3.669B,3.638B,4.054B,4.044B
