Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Non-Operating Interest Income Expense,-20.83M,-21.22M,-22.35M,-22.04M,-21.58M,-21.52M,-20.64M,-20.07M,-18.33M,-17.89M,-19.30M,-18.68M,-18.14M,-18.51M,-16.54M,-19.46M,-19.38M,-18.49M,-18.22M,-18.60M,-17.00M,-18.43M,-19.50M,-18.84M,-18.64M,-18.54M,-18.04M,-18.00M,-17.49M,-19.33M,-19.31M,-17.67M,-15.34M,-19.95M,-24.18M,-20.14M,-17.06M,-21.02M,-20.52M,-20.38M,-20.91M,-19.68M,-17.91M,-17.83M,-19.36M,-19.34M,-18.19M,-19.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,2.018M,2.602M,2.414M,2.147M,1.349M,0.686M,1.419M,1.461M,1.343M,1.554M,1.121M,0.523M,-5.348M,92.27M,1.997M,1.739M,1.562M,2.057M,1.896M,1.413M,1.838M,1.937M,1.387M,1.609M,1.531M,1.255M,1.56M,1.215M,1.459M,1.611M,1.997M,1.94M,0.102M,2.228M,1.87M,1.764M,-0.862M,1.689M,2.637M,2.552M,2.67M,3.746M,5.847M,5.227M,4.135M,3.393M,2.94M,2.663M,2.161M,1.992M,1.788M,1.83M,1.994M,2.676M,2.307M,2.25M,1.99M,1.964M,1.657M,1.514M,1.044M,2.793M,2.406M,2.093M,1.721M,1.594M,1.435M,1.431M,1.44M,1.711M,1.53M,1.128M,1.568M,1.522M,1.466M,1.941M,-1.767M,2.312M,2.051M,1.96M,-1.374M,1.90M,1.60M,1.60M,,,4.60M,4.40M,4.40M,4.20M,4.40M,4.20M,6.80M,3.50M,,,3.90M,3.90M,3.90M,3.60M,3.80M,3.50M,3.00M,2.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-20.83M,-21.22M,-22.35M,-22.04M,-21.58M,-21.52M,-20.64M,-20.07M,-18.33M,-17.89M,-19.30M,-18.68M,-18.14M,-18.51M,-16.54M,-19.46M,-19.38M,-18.49M,-18.22M,-18.60M,-17.00M,-18.43M,-19.50M,-18.84M,-18.64M,-18.54M,-18.04M,-18.00M,-17.49M,-19.33M,-19.31M,-17.67M,-15.34M,-19.95M,-24.18M,-20.14M,-17.06M,-21.02M,-20.52M,-20.38M,-20.91M,-19.68M,-17.91M,-17.83M,-19.36M,-19.34M,-18.19M,-19.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,81.98M,78.69M,52.69M,58.04M,64.37M,77.23M,59.58M,53.28M,70.23M,95.14M,59.63M,51.58M,72.60M,179.20M,70.91M,51.13M,65.41M,80.66M,56.40M,52.32M,53.00M,75.54M,65.07M,71.98M,63.33M,70.75M,63.72M,52.04M,21.24M,73.98M,62.10M,60.09M,52.93M,76.77M,41.35M,45.00M,41.32M,53.30M,45.75M,42.88M,21.07M,52.71M,22.99M,32.05M,22.45M,58.18M,6.356M,54.16M,64.38M,29.95M,27.34M,9.387M,25.53M,50.29M,43.43M,51.81M,59.23M,59.74M,43.50M,38.87M,36.81M,65.63M,49.77M,48.01M,55.88M,48.00M,40.50M,38.03M,38.72M,51.19M,49.30M,41.96M,35.28M,46.13M,41.72M,43.14M,23.44M,39.05M,34.50M,46.58M,18.38M,36.30M,36.80M,33.20M,,,35.90M,38.60M,35.10M,45.30M,34.20M,34.20M,36.20M,30.50M,,,26.30M,43.00M,32.80M,31.10M,34.30M,39.30M,31.00M,21.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,15.25M,14.80M,9.709M,11.88M,14.32M,10.86M,13.06M,12.56M,37.39M,34.60M,20.49M,16.92M,27.49M,51.59M,26.31M,18.30M,22.62M,29.52M,20.91M,19.98M,19.28M,27.26M,23.32M,25.72M,23.65M,22.04M,22.66M,17.89M,6.933M,25.80M,22.82M,21.30M,18.23M,27.89M,13.74M,16.06M,16.14M,20.38M,16.01M,15.28M,6.946M,18.75M,7.04M,11.18M,8.086M,20.42M,0.747M,19.72M,23.80M,10.06M,9.793M,2.623M,9.412M,17.96M,16.20M,19.47M,21.70M,22.25M,15.17M,14.78M,12.00M,24.87M,38.53M,17.08M,18.44M,17.48M,14.74M,13.70M,12.34M,17.68M,17.85M,15.04M,10.08M,17.46M,15.60M,15.40M,5.194M,17.00M,15.41M,17.61M,7.081M,14.70M,14.00M,12.40M,,,13.00M,15.80M,11.30M,17.90M,14.40M,14.50M,13.20M,13.10M,,,10.70M,17.80M,13.90M,13.30M,13.40M,16.60M,13.40M,9.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,66.74M,63.89M,42.98M,46.16M,50.05M,66.37M,46.53M,40.72M,32.84M,60.54M,39.13M,34.67M,45.11M,127.61M,44.60M,32.82M,42.79M,51.14M,35.49M,32.34M,33.73M,48.28M,41.75M,46.26M,39.68M,48.71M,41.06M,34.15M,14.31M,48.18M,39.27M,38.79M,34.70M,48.88M,27.61M,28.94M,25.17M,32.92M,29.74M,27.60M,14.13M,33.95M,15.95M,20.87M,14.37M,37.75M,5.609M,34.44M,40.58M,19.88M,17.55M,6.764M,16.12M,32.32M,27.22M,32.34M,37.52M,37.49M,28.34M,24.10M,24.81M,40.76M,11.24M,30.93M,37.44M,30.52M,25.76M,24.33M,26.38M,33.51M,31.46M,26.92M,25.20M,28.67M,26.11M,27.74M,18.24M,22.05M,19.10M,28.98M,11.30M,21.60M,22.80M,20.80M,21.10M,27.80M,22.90M,22.80M,23.80M,27.40M,19.80M,19.70M,23.00M,17.40M,21.40M,18.90M,15.60M,25.20M,18.90M,17.80M,20.90M,22.70M,17.60M,11.80M,17.30M,16.10M,19.00M,9.30M,59.20M,-28.40M,15.70M,14.00M,14.00M,15.00M,13.10M,12.70M,1.90M,16.60M,13.80M,11.30M,13.10M,18.60M,15.00M,17.30M,12.50M,15.90M,13.60M,13.40M,2.00M,12.30M,12.10M,11.40M,9.80M,11.40M,11.00M,10.90M,9.80M,10.70M,9.40M,9.10M,8.40M,10.00M,8.60M,8.30M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,-0.755M,,0.00,1.913M,,,0.00,,-3.87M,,,,,,-1.966M,-21.53M,-0.524M,,,,,,,,,,0.00,-8.70M,-0.50M,-0.60M,-1.00M,-3.30M,,,,,,,,,,,,,,,-14.80M,,,1.80M,-63.60M,-8.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.471M,-0.473M,-0.473M,,-0.471M,-0.474M,-0.476M,,-0.475M,-0.475M,-0.475M,,-4.509M,-4.51M,-4.511M,-4.511M,-4.509M,-4.511M,-4.51M,-4.511M,-4.509M,,-4.511M,4.941M,-4.509M,-4.515M,-4.507M,4.99M,-4.50M,-4.50M,-4.60M,,,-4.60M,-4.60M,-4.70M,-4.70M,-4.70M,-2.90M,-1.50M,-1.70M,,,-1.70M,-1.70M,-1.70M,-1.70M,-1.80M,-1.80M,-1.80M,-1.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,0.473M,0.471M,0.473M,0.473M,,0.471M,0.473M,0.473M,,,,,,,,,,,,,,,,,,,,,1.736M,,0.27M,0.27M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,66.74M,63.89M,42.98M,46.16M,50.05M,66.37M,46.53M,40.72M,32.84M,60.54M,39.13M,34.67M,45.11M,127.61M,44.60M,32.82M,42.79M,51.14M,35.49M,32.34M,33.73M,48.28M,41.75M,46.26M,39.68M,48.71M,41.06M,34.15M,14.31M,48.18M,39.27M,38.79M,34.70M,48.88M,27.61M,28.94M,25.17M,32.92M,29.74M,27.60M,14.13M,33.95M,15.95M,20.87M,12.48M,37.75M,5.609M,34.44M,40.58M,19.88M,17.55M,6.764M,16.12M,32.32M,27.22M,32.34M,37.52M,37.49M,27.58M,24.10M,24.81M,42.67M,11.24M,30.93M,37.44M,30.52M,21.89M,24.33M,26.38M,33.51M,31.46M,26.92M,23.24M,7.134M,25.59M,27.74M,18.24M,22.05M,19.10M,28.98M,11.30M,21.60M,22.80M,20.80M,21.10M,19.10M,22.40M,22.20M,22.80M,24.10M,19.80M,19.70M,21.10M,17.40M,21.40M,18.90M,15.60M,25.20M,18.90M,17.80M,20.90M,22.70M,17.60M,11.80M,2.50M,16.10M,19.00M,11.10M,-4.40M,-37.00M,15.70M,14.00M,14.00M,15.00M,13.10M,12.70M,1.90M,16.60M,13.80M,11.30M,13.10M,18.60M,15.00M,17.30M,12.50M,15.90M,13.60M,13.40M,2.00M,12.30M,12.10M,11.40M,9.80M,11.40M,11.00M,10.90M,9.80M,10.70M,9.40M,9.10M,8.40M,10.00M,8.60M,8.30M
Normalized Income,64.58M,61.25M,40.40M,43.83M,48.00M,64.68M,44.20M,38.22M,30.70M,58.32M,37.14M,33.06M,43.67M,62.10M,43.34M,31.71M,41.77M,49.85M,34.30M,31.46M,32.56M,47.04M,40.87M,45.23M,38.72M,47.84M,40.06M,33.35M,13.33M,47.13M,38.01M,37.61M,34.63M,47.46M,26.36M,27.80M,25.70M,31.88M,28.02M,25.96M,12.34M,31.54M,11.90M,17.46M,9.831M,35.55M,3.015M,32.75M,39.22M,18.56M,16.40M,5.445M,14.86M,30.60M,25.78M,30.93M,36.26M,36.26M,27.26M,23.16M,24.11M,39.02M,9.794M,29.58M,36.29M,29.51M,24.85M,23.41M,25.39M,32.39M,30.48M,26.20M,24.08M,27.72M,25.19M,26.50M,19.62M,20.66M,17.87M,27.76M,12.14M,20.46M,21.81M,19.80M,21.10M,27.80M,19.97M,20.16M,20.82M,24.86M,17.16M,17.18M,18.68M,15.30M,21.40M,18.90M,13.26M,22.86M,16.56M,15.64M,18.62M,20.60M,15.80M,10.12M,17.30M,16.10M,19.00M,9.30M,59.20M,-28.40M,15.70M,14.00M,14.00M,15.00M,13.10M,12.70M,1.90M,16.60M,13.80M,11.30M,13.10M,18.60M,15.00M,,,,,,,,,,,,,,,,,,,,,
EBITDA,173.07M,170.47M,145.12M,147.31M,150.46M,163.20M,145.05M,135.19M,145.08M,172.35M,132.66M,122.68M,142.44M,248.78M,138.92M,121.11M,135.40M,147.60M,122.91M,119.16M,118.39M,138.22M,130.19M,135.61M,126.65M,129.29M,123.82M,110.70M,79.32M,132.55M,120.59M,117.09M,109.67M,135.58M,112.68M,105.20M,97.40M,112.67M,106.66M,104.62M,80.70M,110.86M,81.30M,88.97M,80.53M,114.94M,63.74M,114.15M,109.46M,94.24M,82.51M,65.40M,70.69M,109.43M,93.85M,106.61M,110.27M,118.22M,94.92M,90.17M,87.82M,127.06M,93.63M,103.98M,108.96M,107.09M,100.98M,96.94M,95.65M,107.23M,105.43M,98.39M,74.94M,102.03M,96.57M,65.72M,101.05M,68.00M,57.13M,68.20M,123.29M,56.60M,58.69M,54.00M,-1.001B,377.30M,54.00M,56.50M,51.60M,61.00M,50.20M,49.40M,47.20M,44.80M,347.20M,326.20M,40.50M,56.70M,46.10M,44.20M,46.10M,51.60M,42.90M,33.50M,281.70M,299.50M,281.60M,279.30M,215.30M,292.60M,250.90M,246.50M,262.50M,274.10M,260.50M,286.70M,275.50M,243.50M,254.20M,237.60M,227.70M,240.00M,216.90M,200.10M,195.10M,195.70M,173.50M,170.00M,220.40M,150.40M,139.10M,125.20M,132.60M,128.90M,134.30M,162.30M,162.70M,158.80M,163.00M,163.80M,170.10M,170.20M,164.10M,160.80M
Reconciled Depreciation,70.25M,70.56M,70.08M,67.23M,64.51M,64.45M,64.83M,61.84M,56.51M,59.32M,53.74M,52.42M,51.69M,51.06M,51.47M,50.52M,50.61M,48.45M,48.29M,48.24M,48.39M,44.24M,45.62M,44.79M,44.68M,40.00M,42.05M,40.66M,40.59M,39.24M,39.19M,39.33M,41.40M,38.86M,47.15M,40.06M,39.02M,38.35M,40.39M,41.36M,38.72M,38.47M,40.40M,39.09M,38.71M,37.41M,39.19M,40.74M,27.60M,46.22M,37.20M,36.86M,27.53M,43.08M,33.12M,37.46M,34.20M,40.98M,33.47M,33.50M,33.32M,45.37M,26.68M,36.14M,34.16M,38.85M,39.53M,37.85M,36.18M,35.49M,34.80M,34.52M,17.45M,32.98M,31.87M,31.15M,18.18M,31.42M,29.11M,28.62M,29.80M,30.60M,31.10M,31.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
