Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Other Properties,7.844B,7.982B,7.881B,7.795B,7.222B,7.345B,7.227B,7.131B,6.701B,7.351B,7.235B,7.117B,6.825B,6.949B,6.870B,6.780B,6.535B,6.635B,6.558B,6.449B,6.232B,6.290B,6.205B,6.115B,5.911B,5.950B,5.864B,5.782B,5.564B,,,,5.244B,,,,5.100B,,,,4.900B,,,,,1.824B,1.801B,1.776B,1.749B,1.736B,1.706B,1.676B,1.651B,1.624B,1.597B,1.568B,1.539B,1.516B,1.489B,1.462B,1.435B,1.427B,1.417B,1.393B,1.368B,1.521B,1.492B,1.465B,3.517B,1.414B,1.386B,1.360B,1.333B,1.305B,1.282B,1.257B,1.170B,1.208B,1.184B,1.158B,1.129B,1.148B,1.122B,1.092B,1.063B,1.049B,1.023B,999.40M,974.80M,956.30M,934.40M,912.60M,890.10M,874.40M,854.30M,835.20M,815.50M,803.00M,794.70M,747.50M,747.50M,,,
Construction in Progress,229.95M,,,,267.71M,,,,312.20M,,,,222.46M,,,,181.87M,,,,168.21M,,,,146.74M,,,,156.35M,,,,140.72M,,,,103.30M,,,,133.97M,,,,,,,,156.13M,,,,101.31M,,,,150.38M,,,,112.29M,,,,200.13M,,,,174.12M,,,,,,,,157.18M,,,,,,,,,,,,212.20M,,,,204.30M,,,,195.30M,,,,,,,
Gross PP&E,8.074B,7.982B,7.881B,7.795B,7.489B,7.345B,7.227B,7.131B,7.014B,7.351B,7.235B,7.117B,7.048B,6.949B,6.870B,6.780B,6.717B,6.635B,6.558B,6.449B,6.400B,6.290B,6.205B,6.115B,6.058B,5.950B,5.864B,5.782B,5.720B,5.616B,5.522B,5.437B,5.384B,5.282B,5.260B,5.208B,5.204B,5.142B,5.103B,5.061B,5.034B,4.971B,4.935B,4.839B,4.759B,4.648B,4.584B,4.537B,4.493B,4.422B,4.362B,4.317B,4.299B,4.230B,4.180B,4.126B,4.082B,4.005B,3.942B,3.896B,3.857B,3.800B,3.761B,3.717B,3.679B,3.605B,3.572B,3.540B,5.759B,3.473B,3.446B,3.418B,3.400B,3.356B,3.370B,3.346B,3.163B,3.287B,3.252B,3.222B,3.195B,3.238B,3.211B,3.179B,3.156B,3.125B,3.071B,3.028B,2.994B,2.940B,2.901B,2.864B,2.832B,2.771B,2.709B,2.665B,2.624B,2.571B,2.538B,2.458B,2.425B,1.633B,1.596B,1.563B
Accumulated D&A,-2.766B,-2.762B,-2.722B,-2.686B,-2.659B,-2.651B,-2.615B,-2.588B,-2.553B,-2.537B,-2.508B,-2.476B,-2.444B,-2.417B,-2.387B,-2.356B,-2.339B,-2.318B,-2.289B,-2.258B,-2.251B,-2.242B,-2.225B,-2.207B,-2.192B,-2.174B,-2.162B,-2.142B,-2.125B,-2.109B,-2.086B,-2.062B,-2.050B,-2.034B,-2.055B,-2.032B,-3.166B,-2.011B,-1.996B,-1.970B,-1.945B,-1.919B,-1.908B,-1.879B,-1.852B,-1.824B,-1.801B,-1.776B,-1.749B,-1.736B,-1.706B,-1.676B,-1.651B,-1.624B,-1.597B,-1.568B,-1.539B,-1.516B,-1.489B,-1.462B,-1.435B,-1.427B,-1.417B,-1.393B,-1.368B,-1.521B,-1.492B,-1.465B,-3.517B,-1.414B,-1.386B,-1.360B,-1.333B,-1.305B,-1.282B,-1.257B,-1.170B,-1.208B,-1.184B,-1.158B,-1.129B,-1.148B,-1.122B,-1.092B,-1.063B,-1.049B,-1.023B,-999.40M,-974.80M,-956.30M,-934.40M,-912.60M,-890.10M,-874.40M,-854.30M,-835.20M,-815.50M,-803.00M,-794.70M,-747.50M,-747.50M,,,
Net PP&E,5.309B,5.220B,5.158B,5.109B,4.830B,4.694B,4.612B,4.543B,4.460B,4.814B,4.727B,4.642B,4.603B,4.533B,4.483B,4.424B,4.378B,4.317B,4.269B,4.191B,4.149B,4.048B,3.980B,3.908B,3.866B,3.776B,3.702B,3.640B,3.595B,3.506B,3.436B,3.376B,3.335B,3.249B,3.205B,3.175B,2.038B,3.131B,3.107B,3.091B,3.089B,3.052B,3.027B,2.960B,2.907B,2.823B,2.783B,2.761B,2.743B,2.687B,2.656B,2.641B,2.647B,2.605B,2.583B,2.559B,2.543B,2.489B,2.453B,2.433B,2.422B,2.373B,2.344B,2.324B,2.312B,2.084B,2.079B,2.075B,2.242B,2.059B,2.060B,2.058B,2.068B,2.050B,2.087B,2.089B,1.993B,2.078B,2.069B,2.063B,2.066B,2.090B,2.089B,2.088B,2.093B,2.076B,2.048B,2.028B,2.020B,1.984B,1.967B,1.952B,1.942B,1.896B,1.854B,1.830B,1.808B,1.768B,1.743B,1.71B,1.678B,1.633B,1.596B,1.563B
Goodwill,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,82.19M,83.08M,83.08M,83.08M,83.08M,85.62M,87.13M,86.64M,87.14M,88.01M,88.60M,89.02M,89.58M,89.70M,90.14M,90.78M,91.26M,92.18M,93.20M,93.11M,93.99M,95.27M,93.95M,95.51M,97.57M,97.95M,100.29M,101.80M,101.95M,103.40M,105.30M,98.50M,,127.23M,156.24M,104.79M,106.70M,108.80M,110.90M,112.90M,115.00M,117.20M,119.30M,121.50M,122.50M,33.90M,34.90M,36.00M,37.00M,38.10M,39.10M,40.20M,41.20M,42.30M,43.40M,44.40M,45.50M,46.50M,47.60M,48.60M
Long Term Investments,147.88M,142.66M,145.46M,149.64M,151.83M,110.66M,72.79M,53.61M,54.22M,9.706M,11.71M,11.71M,11.22M,11.22M,11.22M,11.22M,10.68M,10.68M,10.68M,63.71M,69.30M,75.06M,80.86M,86.70M,92.55M,93.41M,94.28M,95.15M,96.02M,,,,97.76M,,,,0.00,,,682.25M,,,,,755.48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,649.88M,576.26M,598.84M,581.35M,530.36M,596.48M,565.61M,526.74M,513.54M,474.44M,478.76M,467.16M,447.62M,459.19M,436.48M,415.96M,480.46M,453.10M,493.15M,481.53M,542.52M,505.23M,557.68M,537.84M,512.63M,475.34M,454.90M,527.82M,494.41M,573.52M,566.73M,538.44M,519.30M,496.64M,494.53M,462.26M,1.616B,478.41M,426.86M,412.12M,381.16M,344.34M,317.75M,313.51M,328.82M,465.82M,450.00M,351.41M,338.40M,334.19M,316.52M,296.43M,292.64M,424.71M,443.29M,425.89M,456.13M,3.976B,3.884B,3.764B,3.664B,6.545B,6.440B,6.407B,3.504B,6.369B,6.332B,6.265B,6.173B,6.077B,6.000B,5.934B,5.622B,449.66M,316.95M,302.25M,41.17M,313.76M,304.53M,357.00M,277.00M,277.30M,275.60M,270.10M,265.80M,241.10M,152.60M,129.10M,281.50M,96.40M,77.90M,78.10M,73.70M,67.90M,72.40M,69.50M,69.30M,71.90M,62.00M,62.60M,59.20M,60.00M,57.30M,56.60M
Total Long Term Assets,6.904B,6.771B,6.773B,6.748B,6.428B,6.314B,6.193B,6.078B,5.979B,6.317B,6.237B,6.148B,6.102B,5.965B,5.898B,5.821B,5.848B,5.761B,5.760B,5.724B,5.748B,5.286B,5.283B,5.195B,5.129B,5.318B,5.218B,5.220B,5.132B,4.878B,4.783B,4.674B,4.703B,4.322B,4.260B,4.202B,4.214B,4.114B,4.040B,4.694B,3.979B,4.014B,3.958B,3.887B,4.604B,3.646B,3.595B,3.479B,3.450B,3.249B,3.192B,3.141B,3.140B,3.228B,3.225B,3.185B,3.199B,6.664B,6.536B,6.398B,6.286B,9.010B,8.877B,8.824B,5.910B,8.653B,8.611B,8.540B,8.513B,8.342B,8.268B,8.203B,7.903B,2.716B,2.623B,2.606B,2.150B,2.636B,2.647B,2.641B,2.565B,2.590B,2.589B,2.583B,2.585B,2.545B,2.430B,2.386B,2.528B,2.219B,2.183B,2.170B,2.153B,2.102B,2.068B,2.042B,2.018B,1.984B,1.949B,1.915B,1.878B,1.823B,1.784B,1.740B
Total Assets,13.75B,13.52B,13.54B,13.36B,13.10B,12.91B,12.88B,12.70B,12.53B,12.74B,12.69B,12.54B,12.43B,12.20B,11.98B,11.87B,11.78B,11.57B,11.44B,11.27B,11.19B,10.67B,10.62B,10.46B,10.34B,10.43B,10.24B,10.30B,10.15B,9.905B,9.822B,9.633B,9.594B,9.264B,9.241B,9.128B,9.085B,8.895B,8.880B,8.893B,8.925B,9.005B,9.009B,8.960B,9.295B,9.241B,9.182B,10.32B,10.29B,10.03B,9.958B,9.923B,9.891B,9.910B,10.02B,9.980B,9.952B,9.976B,9.807B,9.710B,9.719B,9.461B,9.274B,9.419B,9.201B,9.028B,9.003B,9.028B,8.934B,8.763B,8.684B,8.569B,8.518B,8.618B,8.521B,8.505B,2.393B,8.514B,8.543B,8.458B,8.291B,8.242B,8.117B,8.039B,8.199B,8.117B,8.163B,7.925B,7.946B,6.238B,6.023B,6.001B,5.936B,5.903B,5.772B,5.614B,5.604B,5.469B,5.357B,5.252B,5.174B,4.948B,4.866B,4.671B
Accounts Payable,220.63M,189.24M,190.41M,195.54M,214.77M,167.19M,213.83M,190.22M,193.71M,160.90M,194.76M,160.82M,143.28M,134.18M,130.16M,119.29M,138.52M,152.90M,183.09M,167.78M,186.42M,177.50M,176.38M,210.51M,212.33M,206.80M,175.04M,253.10M,212.38M,234.30M,231.87M,183.73M,216.18M,165.91M,168.19M,162.75M,202.45M,142.97M,164.54M,189.15M,159.04M,182.94M,162.84M,158.71M,183.58M,256.76M,248.17M,213.97M,202.30M,219.74M,171.94M,172.55M,165.50M,178.13M,188.24M,183.85M,183.34M,182.47M,146.02M,168.09M,153.94M,173.57M,153.07M,143.58M,132.78M,157.42M,173.76M,142.56M,134.42M,151.54M,120.74M,125.28M,119.85M,145.41M,122.85M,126.41M,71.70M,129.69M,115.82M,117.84M,117.40M,123.00M,117.60M,113.00M,107.90M,113.70M,107.00M,119.10M,148.40M,99.80M,98.30M,118.90M,107.90M,110.70M,97.40M,93.00M,94.80M,92.70M,90.70M,89.50M,97.20M,94.00M,97.60M,87.70M
Other Payables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.91M,24.90M,23.78M,,28.01M,29.59M,27.50M,27.81M,31.32M,30.83M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,220.63M,189.24M,190.41M,195.54M,214.77M,167.19M,213.83M,190.22M,193.71M,160.90M,194.76M,160.82M,143.28M,134.18M,130.16M,119.29M,138.52M,152.90M,183.09M,167.78M,186.42M,177.50M,176.38M,210.51M,212.33M,206.80M,175.04M,253.10M,212.38M,262.21M,256.77M,207.51M,216.18M,193.92M,197.78M,190.24M,230.26M,174.29M,195.37M,189.15M,159.04M,182.94M,162.84M,158.71M,183.58M,256.76M,248.17M,213.97M,202.30M,219.74M,171.94M,172.55M,165.50M,178.13M,188.24M,183.85M,183.34M,182.47M,146.02M,168.09M,153.94M,173.57M,153.07M,143.58M,132.78M,157.42M,173.76M,142.56M,134.42M,151.54M,120.74M,125.28M,119.85M,145.41M,122.85M,126.41M,71.70M,129.69M,115.82M,117.84M,117.40M,123.00M,117.60M,113.00M,107.90M,113.70M,107.00M,119.10M,148.40M,99.80M,98.30M,118.90M,107.90M,110.70M,97.40M,93.00M,94.80M,92.70M,90.70M,89.50M,97.20M,94.00M,97.60M,87.70M
Accrued Expenses,24.94M,32.34M,28.37M,33.71M,28.25M,30.28M,27.59M,29.79M,25.84M,26.48M,22.12M,27.41M,25.22M,27.12M,23.49M,27.89M,26.04M,25.91M,25.36M,25.22M,25.34M,26.05M,25.32M,28.52M,26.72M,27.23M,25.50M,26.36M,26.26M,,,,25.04M,,,,,,,,27.95M,,,,,4.183B,4.270B,4.330B,4.347B,4.387B,4.432B,4.577B,4.576B,4.540B,4.547B,4.610B,4.557B,,,,,,,,,,,,,,,,,4.715B,4.222B,4.247B,123.56M,4.143B,4.194B,4.203B,4.153B,3.986B,4.205B,4.278B,4.390B,4.367B,4.342B,4.290B,4.292B,2.850B,2.724B,2.725B,2.150B,2.656B,2.714B,2.712B,2.636B,2.506B,2.442B,2.309B,2.253B,2.177B,2.142B,2.147B
Payables and Accrued Expenses,245.57M,221.58M,218.78M,229.25M,243.03M,197.47M,241.43M,220.01M,219.55M,187.38M,216.88M,188.23M,168.50M,161.29M,153.65M,147.18M,164.56M,178.81M,208.45M,193.01M,211.76M,203.55M,201.69M,239.03M,239.05M,234.04M,200.54M,279.45M,238.64M,262.21M,256.77M,207.51M,241.22M,193.92M,197.78M,190.24M,230.26M,174.29M,195.37M,189.15M,186.99M,182.94M,162.84M,158.71M,183.58M,4.439B,4.519B,4.544B,4.550B,4.607B,4.604B,4.750B,4.741B,4.718B,4.735B,4.794B,4.741B,182.47M,146.02M,168.09M,153.94M,173.57M,153.07M,143.58M,132.78M,157.42M,173.76M,142.56M,134.42M,151.54M,120.74M,125.28M,119.85M,4.860B,4.345B,4.373B,195.26M,4.273B,4.310B,4.321B,4.270B,4.109B,4.323B,4.391B,4.497B,4.481B,4.449B,4.409B,4.440B,2.950B,2.822B,2.844B,2.258B,2.767B,2.812B,2.805B,2.731B,2.599B,2.533B,2.399B,2.350B,2.271B,2.24B,2.234B
Other Current Borrowings,185.71M,163.84M,211.89M,110.40M,73.99M,203.36M,202.86M,238.44M,117.94M,24.50M,49.79M,2.30M,,,115.98M,95.48M,103.06M,171.99M,124.54M,30.50M,118.97M,150.58M,185.18M,136.37M,105.48M,131.34M,125.79M,133.94M,83.69M,,,,68.82M,,,,,,,,339.62M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,185.71M,163.84M,211.89M,110.40M,73.99M,203.36M,202.86M,238.44M,117.94M,24.50M,49.79M,2.30M,,,115.98M,95.48M,103.06M,171.99M,124.54M,30.50M,118.97M,150.58M,185.18M,136.37M,105.48M,131.34M,125.79M,133.94M,83.69M,293.44M,314.91M,389.13M,68.82M,289.13M,239.12M,244.67M,262.24M,273.87M,311.53M,354.39M,339.62M,367.88M,443.86M,,680.97M,230.57M,221.95M,1.988B,91.78M,1.833B,1.843B,1.714B,1.745B,1.706B,1.968B,1.806B,1.764B,120.64M,126.89M,100.11M,76.61M,8.392M,14.20M,22.99M,,,,,,29.83M,50.44M,,,761.11M,1.257B,1.363B,113.16M,1.402B,1.429B,1.460B,1.341B,1.247B,1.084B,1.050B,1.028B,1.004B,1.124B,991.00M,1.021B,823.20M,761.70M,728.40M,1.381B,838.50M,693.20M,630.90M,683.10M,720.20M,694.90M,749.60M,753.20M,638.80M,666.40M,490.70M
Current Debt & Capital Lease Obligation,185.71M,163.84M,211.89M,110.40M,73.99M,203.36M,202.86M,238.44M,117.94M,24.50M,49.79M,2.30M,,,115.98M,95.48M,103.06M,171.99M,124.54M,30.50M,118.97M,150.58M,185.18M,136.37M,105.48M,131.34M,125.79M,133.94M,83.69M,293.44M,314.91M,389.13M,68.82M,289.13M,239.12M,244.67M,262.24M,273.87M,311.53M,354.39M,339.62M,367.88M,443.86M,,680.97M,230.57M,221.95M,1.988B,91.78M,1.833B,1.843B,1.714B,1.745B,1.706B,1.968B,1.806B,1.764B,120.64M,126.89M,100.11M,76.61M,8.392M,14.20M,22.99M,,,,,,29.83M,50.44M,,,761.11M,1.257B,1.363B,113.16M,1.402B,1.429B,1.460B,1.341B,1.247B,1.084B,1.050B,1.028B,1.004B,1.124B,991.00M,1.021B,823.20M,761.70M,728.40M,1.381B,838.50M,693.20M,630.90M,683.10M,720.20M,694.90M,749.60M,753.20M,638.80M,666.40M,490.70M
Other Current Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.127B,4.137B,4.125B,,4.063B,4.055B,4.035B,3.975B,3.959B,4.002B,4.008B,4.059B,4.048B,4.169B,4.154B,4.180B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10M,,,,,,,,,,,
Total Current Liabilities,431.28M,385.42M,430.68M,339.65M,317.02M,400.83M,444.28M,458.45M,337.50M,211.88M,266.67M,190.53M,168.50M,161.29M,269.64M,242.66M,267.63M,350.80M,333.00M,223.51M,330.73M,354.12M,386.87M,375.40M,344.53M,365.38M,326.33M,413.39M,322.33M,4.682B,4.708B,4.722B,310.04M,4.546B,4.492B,4.470B,4.468B,4.407B,4.508B,4.552B,4.585B,4.599B,4.775B,4.313B,5.045B,4.670B,4.741B,6.533B,4.641B,6.440B,6.448B,6.464B,6.486B,6.424B,6.703B,6.600B,6.505B,303.11M,272.91M,268.19M,230.55M,181.96M,167.27M,166.58M,132.78M,157.42M,173.76M,142.56M,134.42M,181.37M,171.17M,125.28M,119.85M,5.621B,5.601B,5.736B,308.42M,5.675B,5.738B,5.781B,5.611B,5.356B,5.406B,5.440B,5.526B,5.485B,5.573B,5.400B,5.462B,3.773B,3.584B,3.572B,3.639B,3.605B,3.505B,3.436B,3.414B,3.319B,3.228B,3.148B,3.103B,2.910B,2.906B,2.725B
