Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Total Operating Expenses,11.17B,10.73B,10.84B,10.46B,11.24B,11.49B,11.70B,11.18B,11.65B,10.67B,10.44B,9.79B,12.56B,9.559B,9.761B,9.052B,13.31B,10.27B,10.11B,9.637B,11.20B,11.73B,12.15B,11.47B,12.52B,12.16B,11.90B,11.51B,11.94B,11.84B,13.06B,14.42B,2.892B,18.58B,18.44B,17.12B,3.546B,17.36B,15.95B,16.09B,-1.679B,23.21B,14.96B,14.39B,23.22B,27.55B,18.90B,17.61B,51.65B,17.04B,24.48B,15.92B,17.12B,16.30B,16.49B,22.65B,47.14B,17.13B,16.49B,16.19B,44.46B,15.98B,15.61B,15.78B,16.32B,15.06B,14.62B,14.09B,14.06B,13.39B,13.70B,13.08B,14.18B,13.57B,13.14B,13.23B,13.48B,13.79B,12.39B,13.09B,37.24B,13.44B,13.55B,13.64B,48.74B,9.095B,9.059B,11.96B,28.14B,9.185B,8.803B,8.437B,9.153B,9.33B,8.949B,8.814B,9.698B,9.191B,8.923B,8.531B,9.005B,8.609B,8.114B,7.697B,8.393B,7.879B,7.982B,7.384B,8.596B,8.714B,8.244B,8.435B,9.01B,8.115B,8.207B,8.196B,9.708B,8.179B,7.962B,7.366B,7.595B,6.962B,,,,,,,,,,,,,,,,,,,,,,
Operating Income,2.673B,3.683B,3.561B,2.849B,5.027B,7.169B,4.922B,5.006B,2.478B,4.419B,2.682B,4.24B,7.00M,1.422B,1.137B,205.00M,572.00M,4.162B,4.286B,3.863B,5.502B,9.574B,8.726B,10.28B,9.722B,10.26B,9.237B,11.08B,12.27B,13.23B,11.62B,12.76B,9.178B,14.86B,23.56B,15.12B,9.565B,10.47B,10.50B,9.586B,7.827B,7.591B,7.86B,7.957B,11.45B,24.19B,22.54B,20.60B,-11.83B,25.09B,18.21B,23.70B,22.73B,26.52B,26.78B,15.81B,-4.741B,24.46B,20.72B,20.29B,-6.348B,17.24B,16.19B,15.58B,15.78B,12.00B,12.81B,16.12B,11.70B,10.52B,10.04B,8.305B,10.24B,15.24B,12.42B,13.92B,34.11B,6.179B,6.124B,5.234B,1.185B,3.701B,2.839B,1.875B,3.477B,1.498B,1.751B,2.807B,8.065B,2.601B,2.829B,3.204B,3.118B,2.333B,2.282B,2.325B,2.324B,2.375B,2.353B,2.146B,2.109B,1.837B,1.365B,1.723B,2.165B,1.754B,1.664B,1.721B,1.74B,2.054B,1.306B,1.784B,1.451B,1.62B,1.722B,3.278B,2.44B,1.963B,1.881B,2.322B,1.846B,1.999B,23.61B,22.24B,-51.79B,19.74B,19.93B,20.41B,-48.96B,19.60B,18.59B,17.78B,-44.51B,15.57B,16.43B,20.37B,-53.84B,20.86B,21.46B,21.65B,-58.19B,21.96B,22.78B,23.24B
Non-Operating Interest Expense,201.00M,232.00M,216.00M,181.00M,215.00M,200.00M,147.00M,204.00M,186.00M,111.00M,158.00M,146.00M,195.00M,106.00M,75.00M,77.00M,60.00M,78.00M,85.00M,88.00M,68.00M,88.00M,64.00M,66.00M,-152.00M,52.00M,85.00M,24.00M,111.00M,59.00M,50.00M,107.00M,75.00M,98.00M,45.00M,29.00M,110.00M,54.00M,40.00M,55.00M,36.00M,62.00M,343.00M,107.00M,118.00M,318.00M,107.00M,130.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-201.00M,-232.00M,-216.00M,-181.00M,-215.00M,-200.00M,-147.00M,-204.00M,-186.00M,-111.00M,-158.00M,-146.00M,-195.00M,-106.00M,-75.00M,-77.00M,-60.00M,-78.00M,-85.00M,-88.00M,-68.00M,-88.00M,-64.00M,-66.00M,152.00M,-52.00M,-85.00M,-24.00M,-111.00M,-59.00M,-50.00M,-107.00M,-75.00M,-98.00M,-45.00M,-29.00M,-110.00M,-54.00M,-40.00M,-55.00M,-36.00M,-62.00M,-343.00M,-107.00M,-118.00M,-318.00M,-107.00M,-130.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,3.942B,1.27B,1.287B,1.621B,3.309B,2.111B,1.737B,2.438B,725.00M,1.275B,1.632B,1.824B,805.00M,1.91B,1.334B,1.602B,2.116B,1.665B,2.753B,2.86B,3.408B,3.924B,5.489B,5.013B,4.842B,3.982B,3.616B,4.979B,5.538B,4.152B,14.62B,4.864B,7.938B,3.915B,3.72B,3.827B,5.872B,2.443B,2.244B,2.537B,2.415B,1.675B,1.583B,,2.465B,2.824B,2.983B,2.809B,-646.00M,3.207B,3.291B,3.049B,3.17B,3.325B,3.01B,2.663B,3.217B,3.986B,1.946B,2.576B,2.247B,1.521B,1.473B,1.542B,4.013B,1.081B,998.00M,3.592B,863.00M,775.00M,791.00M,718.00M,467.00M,836.00M,916.00M,1.103B,747.00M,327.00M,616.00M,-252.00M,1.836B,,-40.00M,-14.00M,2.237B,589.00M,557.00M,,2.611B,368.00M,533.00M,485.00M,1.006B,383.00M,586.00M,731.00M,559.00M,392.00M,583.00M,582.00M,893.00M,326.00M,217.00M,340.00M,426.00M,540.00M,348.00M,365.00M,520.00M,211.00M,223.00M,480.00M,459.00M,188.00M,285.00M,492.00M,206.00M,191.00M,419.00M,330.00M,-857.00M,225.00M,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-201.00M,-232.00M,-216.00M,-181.00M,-215.00M,-200.00M,-147.00M,-204.00M,-186.00M,-111.00M,-158.00M,-146.00M,-195.00M,-106.00M,-75.00M,-77.00M,-60.00M,-78.00M,-85.00M,-88.00M,-68.00M,-88.00M,-64.00M,-66.00M,152.00M,-52.00M,-85.00M,-24.00M,-111.00M,-59.00M,-50.00M,-107.00M,-75.00M,-98.00M,-45.00M,-29.00M,-110.00M,-54.00M,-40.00M,-55.00M,-36.00M,-62.00M,-343.00M,-107.00M,-118.00M,-318.00M,-107.00M,-130.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,6.414B,4.721B,4.632B,4.289B,8.121B,9.08B,6.512B,7.24B,3.017B,5.583B,4.156B,5.918B,617.00M,3.226B,2.396B,1.73B,2.628B,5.749B,6.954B,6.635B,8.842B,13.41B,14.15B,15.23B,14.72B,14.19B,12.77B,16.04B,17.70B,17.32B,26.19B,17.52B,17.04B,18.68B,18.62B,18.92B,15.33B,12.86B,12.71B,12.07B,10.21B,9.204B,7.517B,7.85B,13.80B,26.69B,22.43B,20.47B,20.73B,16.76B,17.93B,16.06B,15.56B,18.18B,18.20B,15.46B,17.72B,16.05B,12.76B,12.90B,13.26B,9.534B,9.48B,8.962B,9.378B,5.962B,6.748B,9.878B,5.417B,4.484B,4.281B,3.328B,3.638B,5.24B,6.872B,8.22B,8.212B,6.697B,6.706B,5.266B,3.297B,3.492B,2.684B,1.677B,5.076B,2.04B,2.258B,2.709B,9.875B,2.766B,3.16B,3.518B,3.876B,2.547B,2.652B,2.841B,2.766B,2.491B,2.674B,2.511B,2.719B,1.94B,1.437B,1.708B,2.381B,2.037B,1.764B,1.87B,2.076B,1.942B,1.278B,1.991B,1.741B,1.569B,1.787B,3.421B,2.265B,1.856B,1.869B,2.19B,760.00M,1.777B,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,684.00M,1.474B,1.241B,1.883B,1.915B,2.634B,2.526B,2.457B,-5.392B,1.498B,892.00M,1.828B,-1.407B,337.00M,715.00M,-51.00M,-202.00M,1.365B,2.692B,1.56B,2.06B,5.064B,5.034B,5.857B,6.073B,6.12B,5.793B,6.277B,7.398B,7.394B,8.537B,7.716B,7.317B,8.009B,7.721B,8.004B,5.811B,5.297B,4.96B,5.493B,4.067B,4.333B,3.571B,3.148B,5.375B,11.33B,10.53B,9.302B,8.062B,7.35B,7.668B,6.784B,5.311B,7.688B,7.844B,7.059B,7.008B,6.132B,5.119B,5.043B,4.845B,3.854B,3.69B,3.522B,2.728B,2.312B,2.578B,3.388B,1.727B,1.855B,1.652B,1.265B,1.06B,2.06B,2.587B,3.26B,3.491B,2.637B,2.706B,2.241B,1.013B,1.304B,730.00M,193.00M,1.842B,640.00M,638.00M,819.00M,4.103B,946.00M,1.195B,1.343B,1.381B,987.00M,1.082B,956.00M,1.086B,991.00M,1.044B,851.00M,819.00M,785.00M,552.00M,548.00M,881.00M,677.00M,529.00M,685.00M,706.00M,807.00M,323.00M,641.00M,621.00M,454.00M,662.00M,1.181B,710.00M,781.00M,769.00M,910.00M,325.00M,667.00M,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,5.73B,3.247B,3.391B,2.406B,6.206B,6.446B,3.986B,4.783B,8.409B,4.085B,3.264B,4.09B,2.024B,2.889B,1.681B,1.781B,2.83B,4.384B,4.262B,5.075B,6.782B,8.346B,9.117B,9.37B,8.643B,8.069B,6.975B,9.761B,10.30B,9.926B,17.65B,9.799B,9.724B,10.67B,10.90B,10.91B,9.516B,7.561B,7.746B,6.575B,6.139B,4.871B,3.946B,4.702B,8.424B,15.37B,11.90B,11.17B,12.66B,9.41B,10.26B,9.28B,10.25B,10.49B,10.36B,8.40B,10.71B,9.92B,7.64B,7.86B,8.42B,5.68B,5.79B,5.44B,6.65B,3.65B,4.17B,6.49B,3.69B,2.629B,2.629B,2.063B,2.578B,3.18B,4.285B,4.96B,4.721B,4.06B,4.00B,3.025B,2.284B,2.188B,1.954B,1.484B,3.234B,1.40B,1.62B,1.89B,5.772B,1.82B,1.965B,2.175B,2.495B,1.56B,1.57B,1.885B,1.68B,1.50B,1.63B,1.66B,1.90B,1.155B,885.00M,1.16B,1.50B,1.36B,1.235B,1.185B,1.37B,1.135B,955.00M,1.35B,1.12B,1.115B,1.125B,2.24B,1.555B,1.075B,1.10B,1.28B,435.00M,1.11B,160.00M,1.27B,1.38B,1.225B,1.20B,1.455B,1.555B,1.065B,1.15B,1.07B,1.48B,1.055B,1.115B,1.71B,1.805B,995.00M,745.00M,1.325B,1.428B,1.275B,1.35B,1.475B
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.00M,11.00M,11.00M,27.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,550.00M,,,,,,,,,,,,,,,,,0.00,,,-70.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,-40.00M,-77.00M,-261.00M,-56.00M,-206.00M,-206.00M,-36.00M,-133.00M,-29.00M,-115.00M,86.00M,-80.00M,-344.00M,-239.00M,19.00M,29.00M,-50.00M,-144.00M,-72.00M,-135.00M,-212.00M,-276.00M,-337.00M,-270.00M,-293.00M,-199.00M,-115.00M,-261.00M,-352.00M,-356.00M,-1.744B,-349.00M,-324.00M,-341.00M,-218.00M,-263.00M,-266.00M,-211.00M,-186.00M,-275.00M,-89.00M,-141.00M,4.00M,-152.00M,-604.00M,-536.00M,-225.00M,-282.00M,-283.00M,-284.00M,-188.00M,-250.00M,-324.00M,-292.00M,-253.00M,-182.00M,-331.00M,-174.00M,-199.00M,-95.00M,-281.00M,-199.00M,-142.00M,-154.00M,-120.00M,-101.00M,-100.00M,-373.00M,-101.00M,-76.00M,-17.00M,-15.00M,-149.00M,-125.00M,-83.00M,-212.00M,-157.00M,-73.00M,-110.00M,-72.00M,-77.00M,-52.00M,-7.00M,-9.00M,-136.00M,-41.00M,-22.00M,-66.00M,-227.00M,-96.00M,-98.00M,-99.00M,-93.00M,-72.00M,-80.00M,-139.00M,-57.00M,-84.00M,-86.00M,-74.00M,-44.00M,-97.00M,-38.00M,-54.00M,-63.00M,-64.00M,-58.00M,-65.00M,-48.00M,-92.00M,-57.00M,-50.00M,57.00M,-76.00M,-47.00M,-101.00M,-33.00M,-58.00M,-110.00M,-71.00M,-62.00M,-74.00M,,,,,,,,,,,,,,,,,,,,,,
