Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Inventories,18.53B,17.59B,18.84B,18.33B,18.96B,18.76B,18.48B,18.05B,16.99B,16.74B,15.30B,14.87B,15.08B,15.34B,15.88B,16.22B,16.24B,16.58B,16.66B,16.10B,16.68B,17.76B,18.18B,18.57B,16.14B,16.87B,17.20B,16.23B,14.54B,16.58B,15.16B,14.75B,15.02B,16.73B,19.05B,16.26B,12.98B,14.30B,13.44B,13.49B,11.55B,12.58B,12.44B,12.72B,11.65B,15.94B,15.86B,15.38B,11.09B,13.02B,12.90B,12.60B,10.71B,12.53B,11.83B,11.58B,9.321B,10.98B,10.58B,10.46B,9.487B,10.08B,9.958B,10.19B,8.957B,9.757B,10.04B,8.862B,8.068B,8.756B,8.666B,8.321B,7.904B,8.615B,8.395B,8.382B,8.304B,8.54B,8.499B,8.184B,8.492B,4.895B,4.787B,4.947B,8.692B,5.462B,5.119B,5.209B,5.487B,5.486B,5.136B,5.064B,5.285B,5.468B,5.355B,5.339B,5.681B,5.877B,5.897B,5.522B,5.541B,5.565B,5.469B,5.219B,5.472B,5.406B,5.491B,5.582B,5.807B,6.357B,6.149B,5.722B,6.081B,6.135B,5.753B,6.088B,6.386B,6.277B,5.708B,5.624B,5.622B,5.567B,5.151B,5.172B,4.551B,4.796B,4.702B
Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.396B,6.601B,4.559B,,4.179B,3.947B,3.28B,3.273B,3.497B,3.505B,3.379B,3.262B,3.717B,3.079B,2.87B,2.396B,2.64B,2.425B,2.206B,2.068B,1.938B,2.039B,2.138B,1.831B,2.151B,2.187B,1.872B,1.681B,2.174B,2.22B,2.122B,2.019B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,,,,,,,,,0.00,35.00M,43.00M,42.00M,52.00M,198.00M,204.00M,269.00M,439.00M,403.00M,376.00M,341.00M,206.00M,215.00M,477.00M,404.00M,233.00M,246.00M,401.00M,628.00M,,,,0.00,,,,,,,,,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.604B,4.602B,4.601B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,1.469B,1.759B,1.563B,1.553B,1.272B,1.665B,1.649B,1.456B,1.368B,1.48B,1.544B,1.519B,1.285B,2.122B,3.768B,3.368B,2.798B,4.197B,4.649B,4.298B,3.565B,4.857B,5.373B,5.011B,5.108B,5.457B,5.295B,5.482B,5.008B,5.667B,5.881B,6.42B,6.229B,7.023B,7.639B,7.38B,5.271B,5.828B,6.304B,5.329B,5.175B,5.179B,4.464B,4.019B,3.911B,,,,3.924B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.662B,2.404B,2.128B,1.733B,1.185B,1.207B,1.216B,1.637B,1.221B,1.076B,1.024B,956.00M,1.171B,1.124B,1.094B,1.175B,1.085B,1.138B,1.174B,1.204B,1.362B,1.446B,1.729B,1.689B,1.87B,1.193B,1.649B,1.544B,1.855B,1.89B,1.768B,1.64B,1.381B,1.169B,873.00M,895.00M,921.00M,1.041B,1.045B,1.044B,1.324B,1.409B,1.241B,1.302B,1.668B,1.192B,1.41B,1.169B,2.558B,1.881B
Total Current Assets,50.05B,50.01B,51.74B,51.58B,47.97B,53.98B,50.56B,48.32B,47.13B,45.75B,42.18B,43.13B,41.42B,42.94B,45.83B,44.25B,42.62B,47.23B,51.65B,50.66B,52.91B,58.60B,64.01B,61.86B,59.31B,61.30B,62.84B,62.59B,64.46B,72.14B,72.80B,76.16B,72.96B,69.38B,72.30B,72.02B,58.98B,62.63B,62.22B,61.70B,55.24B,57.32B,59.50B,64.82B,72.27B,96.02B,103.98B,97.76B,85.96B,85.25B,80.72B,78.06B,75.78B,81.75B,80.66B,78.47B,73.34B,74.73B,69.63B,68.59B,60.38B,57.94B,54.25B,52.48B,45.96B,42.96B,44.07B,45.47B,38.29B,36.54B,36.14B,35.46B,35.68B,40.33B,41.32B,42.53B,40.40B,39.45B,37.05B,32.38B,31.14B,18.05B,16.43B,16.71B,28.59B,18.08B,18.28B,20.04B,21.19B,21.69B,20.79B,21.77B,19.91B,18.58B,18.40B,18.96B,17.32B,17.50B,17.99B,18.45B,16.46B,16.45B,15.99B,15.49B,14.86B,16.23B,16.26B,16.18B,16.42B,17.14B,16.66B,15.67B,17.01B,16.17B,15.51B,16.84B,18.34B,17.31B,15.70B,16.16B,16.58B,16.03B,14.85B,15.39B,16.32B,17.36B,17.24B
Gross PP&E,486.70B,,,,477.19B,,,,477.18B,,,,,,,,447.34B,,,,446.79B,,,,434.52B,,,,409.31B,,,,394.00B,,,,373.94B,,,,305.91B,,,,270.84B,268.86B,284.40B,282.41B,280.34B,264.70B,261.66B,259.80B,259.28B,245.01B,244.39B,241.68B,240.29B,240.88B,240.00B,241.20B,242.42B,229.24B,228.20B,229.13B,229.32B,211.21B,209.52B,206.62B,204.96B,194.36B,191.11B,190.15B,187.52B,187.45B,186.27B,185.92B,187.75B,186.01B,187.44B,188.42B,189.21B,131.99B,129.05B,127.67B,182.47B,133.16B,129.98B,129.16B,127.78B,129.18B,125.70B,125.43B,126.37B,125.10B,124.04B,122.75B,122.34B,121.58B,120.40B,119.56B,116.33B,112.63B,111.62B,110.95B,111.14B,110.66B,110.55B,110.76B,110.74B,112.44B,112.69B,111.03B,112.44B,107.03B,105.24B,105.66B,107.60B,101.39B,100.14B,99.28B,99.56B,93.46B,89.72B,86.22B,77.89B,73.76B,64.87B
Accumulated D&A,-233.68B,,,,-230.09B,,,,-224.56B,,,,,,,,-195.73B,,,,-194.12B,,,,-190.87B,,,,-182.36B,,,,-179.33B,,,,-174.39B,,,,-166.79B,,,,-149.50B,-145.60B,-159.47B,-159.47B,-159.47B,-145.60B,-145.60B,-145.60B,-145.60B,-133.28B,-133.28B,-133.28B,-133.28B,-133.78B,-133.78B,-133.78B,-133.78B,-124.35B,-124.35B,-124.35B,-124.35B,-110.02B,-110.02B,-110.02B,-110.02B,-100.90B,-97.92B,-100.90B,-97.92B,-97.92B,-97.92B,-97.92B,-97.92B,-95.94B,-96.13B,-95.87B,-95.17B,-65.99B,-64.05B,-63.25B,-89.88B,-64.88B,-63.22B,-62.44B,-61.36B,-62.17B,-60.18B,-59.93B,-59.76B,-59.19B,-58.56B,-57.56B,-56.89B,-56.69B,-55.74B,-55.02B,-52.90B,-49.17B,-49.17B,-49.17B,-49.17B,-48.94B,-48.94B,-48.94B,-48.94B,-48.58B,-48.58B,-48.58B,-48.58B,-44.91B,-44.91B,-44.91B,-44.91B,-39.13B,-39.13B,-39.13B,-39.13B,-35.66B,-35.66B,-32.78B,-28.60B,-25.50B,-22.09B
Net PP&E,253.02B,250.51B,250.85B,248.56B,247.10B,249.15B,248.21B,250.35B,252.63B,255.56B,252.99B,253.15B,244.22B,251.92B,254.06B,255.26B,251.60B,250.58B,253.65B,249.50B,252.67B,251.41B,251.35B,245.90B,243.65B,240.98B,235.24B,233.73B,226.95B,220.33B,214.94B,214.60B,214.66B,209.19B,209.81B,203.73B,199.55B,195.44B,188.07B,140.82B,139.12B,132.87B,127.86B,122.22B,121.35B,123.26B,124.92B,122.94B,120.87B,119.10B,116.06B,114.20B,113.69B,111.72B,111.11B,108.40B,107.01B,107.09B,106.22B,107.42B,108.64B,104.89B,103.85B,104.78B,104.96B,101.19B,99.50B,96.60B,94.94B,93.46B,93.19B,89.25B,89.60B,89.53B,88.36B,88.01B,89.83B,90.07B,91.30B,92.55B,94.04B,66.00B,65.00B,64.42B,92.58B,68.28B,66.75B,66.73B,66.41B,67.01B,65.52B,65.49B,66.61B,65.91B,65.49B,65.18B,65.45B,64.89B,64.65B,64.54B,63.42B,63.45B,62.44B,61.78B,61.96B,61.72B,61.61B,61.82B,61.80B,63.86B,64.12B,62.45B,63.86B,62.12B,60.32B,60.75B,62.69B,62.26B,61.01B,60.14B,60.42B,57.79B,54.06B,53.43B,49.29B,48.26B,42.78B
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.00M
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.141B,7.692B,,,6.946B,6.344B,5.884B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.00M
Long Term Investments,43.16B,42.92B,42.53B,42.07B,40.79B,40.43B,39.69B,40.35B,39.16B,37.65B,37.72B,38.27B,35.10B,35.55B,34.18B,34.92B,34.24B,34.32B,34.16B,34.47B,35.24B,35.01B,35.11B,37.17B,36.33B,37.05B,35.64B,35.64B,34.72B,35.10B,33.92B,34.53B,34.33B,35.34B,35.24B,35.21B,35.34B,33.17B,32.64B,32.54B,31.66B,32.06B,30.36B,29.10B,28.56B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,16.36B,15.92B,15.60B,13.98B,10.33B,11.07B,10.34B,9.809B,9.767B,10.47B,10.13B,9.663B,9.572B,8.965B,8.401B,8.366B,8.285B,8.53B,8.798B,8.335B,8.676B,7.751B,8.11B,8.103B,7.522B,8.232B,7.888B,7.676B,7.668B,7.618B,7.987B,19.86B,9.092B,9.315B,8.851B,8.578B,8.64B,8.748B,,,7.307B,7.045B,,,,36.94B,37.85B,37.51B,35.25B,32.31B,31.54B,31.03B,29.55B,30.47B,29.24B,29.13B,27.98B,27.90B,25.97B,25.25B,26.24B,24.60B,22.88B,22.94B,23.35B,22.84B,21.54B,20.43B,19.41B,19.47B,18.90B,17.33B,17.89B,18.04B,17.98B,18.25B,18.77B,18.74B,18.26B,18.30B,19.34B,10.35B,9.804B,9.607B,18.16B,8.873B,8.184B,8.186B,8.458B,8.429B,8.606B,8.386B,9.01B,8.976B,8.508B,8.432B,8.532B,8.32B,8.519B,8.284B,7.977B,7.886B,7.673B,7.389B,7.324B,7.037B,6.686B,6.736B,6.807B,6.547B,6.445B,6.383B,6.684B,6.31B,5.909B,6.064B,6.683B,6.586B,5.903B,5.983B,6.218B,5.143B,5.388B,5.217B,3.875B,3.543B,2.937B
Total Long Term Assets,312.54B,309.35B,308.99B,304.61B,298.22B,300.65B,298.24B,300.51B,301.56B,303.68B,300.83B,301.08B,288.90B,296.44B,296.64B,298.54B,294.14B,293.43B,296.61B,292.30B,296.58B,294.17B,294.57B,291.17B,287.50B,286.26B,278.77B,277.04B,269.34B,263.05B,256.85B,268.99B,258.09B,253.85B,253.90B,247.51B,243.53B,237.36B,228.85B,181.05B,178.09B,171.98B,165.16B,157.67B,155.79B,160.20B,162.78B,160.44B,156.12B,151.41B,147.60B,145.23B,143.24B,142.19B,140.35B,137.53B,134.99B,134.99B,132.19B,132.66B,134.88B,129.50B,126.74B,127.73B,128.32B,124.03B,121.04B,117.02B,114.35B,112.93B,112.10B,106.58B,107.49B,107.58B,106.34B,106.26B,108.60B,108.80B,109.57B,110.86B,113.38B,76.35B,74.81B,74.02B,110.74B,77.15B,74.94B,74.91B,74.87B,75.44B,74.13B,73.88B,75.62B,74.89B,74.00B,73.62B,73.98B,73.21B,73.17B,72.82B,71.40B,71.34B,70.12B,69.17B,69.29B,68.76B,68.29B,68.56B,68.61B,70.41B,70.56B,68.84B,70.55B,68.42B,66.23B,66.82B,69.37B,68.85B,66.91B,66.13B,66.64B,62.94B,59.45B,58.65B,53.16B,51.80B,46.04B
Total Assets,362.60B,359.36B,360.73B,356.19B,346.20B,354.63B,348.79B,348.83B,348.69B,349.43B,343.01B,344.21B,330.31B,339.39B,342.47B,342.79B,336.76B,340.66B,348.26B,342.96B,349.49B,352.76B,358.59B,353.03B,346.81B,347.56B,341.62B,339.64B,333.80B,335.19B,329.64B,345.15B,331.05B,323.23B,326.20B,319.53B,302.51B,299.99B,291.07B,242.75B,233.32B,229.31B,224.66B,222.49B,228.05B,256.22B,266.76B,258.20B,242.08B,236.66B,228.32B,223.30B,219.02B,223.95B,221.01B,216.00B,208.34B,209.72B,201.82B,201.25B,195.26B,187.43B,180.99B,180.20B,174.28B,166.99B,165.10B,162.50B,152.64B,149.47B,148.23B,142.04B,143.17B,147.90B,147.66B,148.79B,149.00B,148.25B,146.62B,143.24B,144.52B,94.39B,91.24B,90.73B,139.34B,95.23B,93.22B,94.95B,96.06B,97.12B,94.92B,95.65B,95.53B,93.47B,92.40B,92.58B,91.30B,90.71B,91.16B,91.27B,87.86B,87.79B,86.10B,84.65B,84.14B,84.99B,84.55B,84.74B,85.03B,87.54B,87.22B,84.51B,87.56B,84.59B,81.74B,83.66B,87.71B,86.16B,82.61B,82.28B,83.22B,78.97B,74.29B,74.04B,69.48B,69.16B,63.28B
Accounts Payable,24.69B,40.54B,41.48B,42.09B,21.06B,41.71B,38.49B,37.21B,21.70B,34.70B,31.10B,32.07B,17.80B,30.03B,33.80B,32.29B,18.07B,36.68B,39.91B,38.14B,25.29B,49.27B,52.36B,52.11B,30.92B,51.26B,52.62B,53.98B,33.79B,53.52B,51.32B,59.08B,33.97B,54.57B,57.85B,57.70B,30.78B,48.25B,45.45B,46.14B,24.24B,42.64B,41.90B,38.47B,21.19B,49.09B,60.26B,53.61B,29.24B,43.52B,41.25B,38.92B,25.08B,40.22B,39.30B,39.02B,36.12B,39.06B,36.18B,35.49B,31.76B,32.11B,30.18B,30.36B,28.44B,27.73B,26.53B,27.59B,13.79B,24.39B,24.14B,23.16B,22.86B,24.63B,25.31B,25.16B,26.76B,27.65B,27.22B,25.63B,13.52B,15.41B,13.73B,13.67B,10.92B,14.27B,13.28B,13.57B,14.68B,14.97B,13.69B,13.86B,14.51B,14.27B,13.33B,13.76B,14.11B,13.56B,13.75B,13.92B,13.39B,12.83B,12.73B,12.33B,12.12B,12.63B,12.25B,12.32B,12.64B,14.13B,13.70B,12.74B,14.08B,13.06B,12.56B,13.05B,15.61B,14.08B,12.48B,12.26B,13.58B,11.08B,,,,,
Current Tax Payable,4.881B,2.458B,2.612B,2.748B,5.892B,4.161B,3.457B,3.263B,6.356B,3.338B,2.664B,2.822B,5.268B,2.755B,2.731B,2.892B,5.739B,3.674B,4.049B,4.512B,8.228B,6.469B,7.218B,8.776B,11.71B,7.60B,8.208B,10.17B,13.89B,13.05B,12.11B,14.49B,19.85B,12.97B,12.32B,12.32B,16.59B,10.44B,9.421B,9.212B,14.23B,7.87B,7.562B,8.874B,15.92B,,,,17.14B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,7.011B,,,,6.062B,,,,6.331B,,,,5.991B,,,,6.762B,,,,7.062B,,,,6.695B,,,,6.695B,,,,10.42B,,,,12.48B,,,,11.12B,,,,9.587B,,,,9.551B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,43.41B,43.00B,44.09B,44.84B,39.88B,45.88B,41.95B,40.47B,39.84B,38.04B,33.76B,34.89B,33.81B,32.78B,36.53B,35.19B,35.21B,40.36B,43.96B,42.66B,47.16B,55.74B,59.58B,60.88B,55.92B,58.86B,60.83B,64.15B,60.49B,66.56B,63.43B,73.58B,69.79B,67.54B,70.17B,70.02B,59.85B,58.69B,54.88B,55.35B,49.58B,50.52B,49.46B,47.34B,46.70B,49.09B,60.26B,53.61B,55.93B,43.52B,41.25B,38.92B,25.08B,40.22B,39.30B,39.02B,36.12B,39.06B,36.18B,35.49B,31.76B,32.11B,30.18B,30.36B,28.44B,27.73B,26.53B,27.59B,13.79B,24.39B,24.14B,23.16B,22.86B,24.63B,25.31B,25.16B,26.76B,27.65B,27.22B,25.63B,13.52B,15.41B,13.73B,13.67B,10.92B,14.27B,13.28B,13.57B,14.68B,14.97B,13.69B,13.86B,14.51B,14.27B,13.33B,13.76B,14.11B,13.56B,13.75B,13.92B,13.39B,12.83B,12.73B,12.33B,12.12B,12.63B,12.25B,12.32B,12.64B,14.13B,13.70B,12.74B,14.08B,13.06B,12.56B,13.05B,15.61B,14.08B,12.48B,12.26B,13.58B,11.08B,,,,,
Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.052B,,,,,,,,,,,,,,,,4.628B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
