Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.838B,2.838B,,,-852.00M,852.00M,,,,,,,,,,,,,,,,,,1.456B,754.00M,2.029B,1.797B,802.00M,570.00M,928.00M,454.00M,469.00M,240.00M,248.00M,1.333B,1.734B,181.00M,110.00M,768.00M,190.00M,143.00M,458.00M,287.00M,2.056B,505.00M,1.227B,1.982B,256.00M,78.00M,286.00M,234.00M,1.219B,43.00M,135.00M,125.00M,1.862B,166.00M,110.00M,55.00M,347.00M,202.00M,143.00M,27.00M,305.00M,103.00M,143.00M,115.00M,572.00M,120.00M,336.00M,331.00M,161.00M,491.00M,325.00M,118.00M,251.00M,409.00M,173.00M,149.00M,242.00M,205.00M,167.00M,438.00M,299.00M,355.00M,16.00M,184.00M
Net Change in PP&E,-6.704B,-6.285B,-6.173B,-5.199B,-6.094B,-5.204B,-4.927B,-3.349B,-4.501B,-4.913B,-3.098B,-2.89B,-3.887B,-3.404B,-4.271B,-4.601B,-6.136B,-6.401B,-7.109B,-6.844B,-8.884B,-8.198B,-8.542B,-7.328B,-8.426B,-9.098B,-8.651B,-7.494B,-10.06B,-8.026B,-8.345B,-7.843B,-8.634B,-10.32B,-4.974B,-7.051B,-7.67B,-8.653B,-4.792B,-5.756B,-6.763B,-5.49B,-5.565B,-4.673B,-5.325B,-5.142B,-4.872B,-3.979B,-4.56B,-3.935B,-3.786B,-3.106B,-4.161B,-3.715B,-3.856B,-3.73B,-2.443B,-2.738B,-1.706B,-916.00M,-2.605B,-2.267B,-2.004B,-2.356B,-3.085B,-2.833B,-3.046B,-1.605B,-1.556B,-2.703B,-2.727B,-1.658B,-2.936B,-2.35B,-1.884B,-1.741B,-554.00M,-1.53B,-805.00M,213.00M,-2.379B,-2.405B,-2.788B,-2.423B,-5.676B,-2.106B,-1.872B,-1.554B,-4.49B,-1.803B,-1.74B,-1.426B,-1.761B,-1.64B,-1.703B,-1.386B,-1.998B,-1.676B,-1.504B,-1.284B,-1.425B,-1.528B,-1.334B,-997.00M,-1.954B,-1.224B,-1.503B,-1.18B,-1.901B,-1.365B,-1.518B,-1.459B,-2.097B,-1.621B,-1.479B,-1.075B,-1.832B,-1.263B,-1.487B,-1.112B
Net Divestitures (Acquisitions),3.092B,460.00M,33.00M,107.00M,884.00M,1.491B,307.00M,1.441B,1.408B,854.00M,154.00M,687.00M,2.093B,976.00M,1.029B,177.00M,785.00M,491.00M,629.00M,484.00M,241.00M,127.00M,2.556B,1.111B,1.836B,206.00M,305.00M,360.00M,805.00M,607.00M,3.73B,2.513B,6.887B,4.246B,-1.341B,1.341B,1.654B,1.607B,-424.00M,424.00M,462.00M,172.00M,770.00M,141.00M,1.783B,2.63B,1.159B,413.00M,1.782B,749.00M,1.135B,538.00M,752.00M,2.328B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,-1.373B,-802.00M,-820.00M,-910.00M,-868.00M,-409.00M,-566.00M,-138.00M,-3.557B,-157.00M,-55.00M,-1.738B,-19.00M,-1.087B,-77.00M,-234.00M,-195.00M,-49.00M,-81.00M,-282.00M,-362.00M,-591.00M,-221.00M,-457.00M,-791.00M,-180.00M,-432.00M,-3.032B,-189.00M,-168.00M,-130.00M,-111.00M,-1.608B,1.774B,-4.189B,357.00M,-1.569B,167.00M,138.00M,165.00M,-845.00M,-1.352B,208.00M,-208.00M,341.00M,-3.081B,734.00M,-734.00M,,,,,-2.604B,-1.45B,1.45B,,,,,,,,,,,,,,,-15.00M,15.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Other Investing Changes,721.00M,477.00M,83.00M,209.00M,494.00M,215.00M,90.00M,187.00M,114.00M,1.661B,121.00M,180.00M,141.00M,280.00M,172.00M,309.00M,222.00M,302.00M,70.00M,290.00M,158.00M,1.017B,2.03B,368.00M,669.00M,130.00M,285.00M,112.00M,439.00M,95.00M,989.00M,90.00M,,,,,,,,,724.00M,386.00M,-386.00M,,574.00M,1.489B,-1.489B,,6.655B,-556.00M,-434.00M,-670.00M,2.547B,-1.151B,-867.00M,227.00M,-448.00M,-1.427B,-422.00M,-170.00M,-1.285B,-603.00M,-4.565B,775.00M,-51.00M,-502.00M,-590.00M,870.00M,-677.00M,-437.00M,-421.00M,421.00M,670.00M,-281.00M,-338.00M,649.00M,566.00M,-280.00M,54.00M,645.00M,347.00M,-287.00M,-182.00M,122.00M,17.00M,-380.00M,-44.00M,407.00M,232.00M,-336.00M,-228.00M,332.00M,-44.00M,9.00M,-318.00M,353.00M,-278.00M,-389.00M,177.00M,490.00M,-118.00M,-535.00M,221.00M,432.00M,-45.00M,-260.00M,-134.00M,276.00M,188.00M,-384.00M,-234.00M,201.00M,-37.00M,-158.00M,-39.00M,331.00M,35.00M,-218.00M,423.00M,181.00M
Cash from Investing,-4.264B,-6.15B,-6.877B,-5.793B,-5.584B,-3.907B,-5.096B,-1.859B,-6.536B,-2.555B,-2.878B,-3.761B,-1.672B,-3.235B,-3.147B,-4.349B,-5.324B,-5.657B,-6.491B,-6.352B,-8.847B,-7.645B,-4.177B,-6.306B,-6.712B,-8.942B,-8.493B,-10.05B,-9.002B,-7.492B,-3.756B,-5.351B,-2.012B,-4.296B,-10.50B,-5.353B,-7.08B,-6.879B,-5.078B,-5.167B,-6.422B,-6.284B,-4.973B,-4.74B,-2.627B,-4.104B,-4.468B,-4.30B,337.00M,-3.742B,-3.085B,-3.238B,-3.466B,-3.988B,-3.273B,-3.503B,-2.891B,-4.165B,-2.128B,-1.086B,-3.89B,-2.87B,-6.569B,-1.581B,-3.136B,-3.335B,-3.636B,-735.00M,-2.233B,-3.155B,-3.133B,-1.237B,-2.266B,-2.631B,-2.222B,-1.092B,-1.595B,-1.81B,-751.00M,858.00M,-3.022B,-2.692B,-2.97B,-2.301B,-6.433B,-2.486B,-1.916B,-1.147B,-5.634B,-2.139B,-1.968B,-1.094B,-1.83B,-1.631B,-2.021B,-1.033B,-2.169B,-2.065B,-1.327B,-794.00M,-1.681B,-2.063B,-1.113B,-565.00M,-2.076B,-1.484B,-1.637B,-904.00M,-2.274B,-1.749B,-1.752B,-1.258B,-2.179B,-1.779B,-1.518B,-744.00M,-1.693B,-1.481B,-1.064B,-931.00M
Net Change in Long Term Debt,32.00M,6.976B,43.00M,,46.00M,0.00,0.00,,0.00,0.00,0.00,60.00M,102.00M,0.00,1.00M,11.96B,-8.00M,23.00M,-3.00M,7.99B,159.00M,3.00M,0.00,5.50B,126.00M,4.00M,197.00M,5.00M,266.00M,204.00M,254.00M,124.00M,215.00M,15.00M,137.00M,69.00M,-2.868B,-2.23B,-7.00M,24.00M,-8.00M,40.00M,114.00M,11.00M,-138.00M,42.00M,-6.00M,-11.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in Short Term Debt,-692.00M,-5.018B,4.322B,2.999B,-2.318B,-1.299B,568.00M,-1.922B,1.789B,-1.589B,-1.681B,373.00M,-3.425B,1.875B,1.399B,-7.622B,4.265B,175.00M,926.00M,-4.113B,7.231B,309.00M,432.00M,-6.668B,1.789B,1.917B,5.979B,1.587B,-250.00M,-3.292B,313.00M,-527.00M,107.00M,232.00M,439.00M,743.00M,-400.00M,-32.00M,-576.00M,-121.00M,-108.00M,148.00M,-147.00M,-203.00M,-708.00M,509.00M,-405.00M,190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,-660.00M,1.958B,4.365B,2.999B,-2.272B,-1.299B,568.00M,-1.922B,1.789B,-1.589B,-1.681B,433.00M,-3.323B,1.875B,1.40B,4.341B,4.257B,198.00M,923.00M,3.877B,7.39B,312.00M,432.00M,-1.168B,1.915B,1.921B,6.176B,1.592B,16.00M,-3.088B,567.00M,-403.00M,322.00M,247.00M,576.00M,812.00M,-3.268B,-2.262B,-583.00M,-97.00M,-116.00M,188.00M,-33.00M,-192.00M,-846.00M,551.00M,-411.00M,179.00M,419.00M,-91.00M,-61.00M,331.00M,-264.00M,186.00M,206.00M,-55.00M,-487.00M,-738.00M,-286.00M,9.00M,-1.965B,-152.00M,-154.00M,320.00M,-690.00M,-636.00M,-611.00M,-187.00M,-18.00M,-478.00M,535.00M,-346.00M,1.906B,13.00M,-1.694B,-691.00M,-1.388B,-2.00M,-784.00M,-3.531B,-359.00M,101.00M,1.303B,789.00M,2.571B,-22.00M,-126.00M,-205.00M,-877.00M,-60.00M,-55.00M,84.00M,36.00M,-379.00M,26.00M,63.00M,-948.00M,-982.00M,-821.00M,46.00M,-513.00M,174.00M,395.00M,-82.00M,-544.00M,-452.00M,507.00M,-220.00M,562.00M,-127.00M,647.00M,-343.00M,415.00M,335.00M,-567.00M,-820.00M,-1.459B,124.00M,-911.00M,-91.00M
Common Stock Issuance,,,,,,,,,,,,,0.00,-1.00M,2.00M,5.00M,5.00M,,0.00,0.00,20.00M,1.00M,7.00M,2.00M,4.00M,37.00M,7.00M,2.00M,9.00M,98.00M,4.00M,82.00M,308.00M,164.00M,68.00M,384.00M,774.00M,158.00M,69.00M,42.00M,456.00M,111.00M,64.00M,121.00M,264.00M,51.00M,307.00M,131.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.00M,-195.00M,44.00M,151.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock Payments,-173.00M,0.00,0.00,-421.00M,-196.00M,-1.00M,-2.00M,-427.00M,-232.00M,-1.00M,-13.00M,-501.00M,-250.00M,0.00,-1.00M,-726.00M,-754.00M,-501.00M,-1.003B,-1.781B,-3.318B,-3.002B,-3.003B,-3.86B,-3.302B,-3.044B,-4.031B,-5.621B,-5.254B,-5.098B,-5.012B,-5.704B,-5.422B,-5.468B,-5.512B,-5.653B,-5.758B,-3.272B,-1.568B,-2.495B,-2.372B,-4.233B,-5.246B,-7.852B,-8.845B,-8.663B,-8.761B,-9.465B,-8.829B,-7.572B,-7.633B,-7.788B,-9.179B,-7.985B,-6.63B,-5.764B,-6.236B,-5.289B,-3.609B,-3.087B,-3.716B,-2.76B,-1.73B,-1.745B,-2.093B,-1.577B,-1.101B,-1.11B,-4.798B,2.369B,-2.369B,,-5.721B,2.776B,-1.406B,-1.37B,-1.691B,-661.00M,42.00M,-42.00M,-326.00M,-52.00M,-208.00M,-84.00M,-1.311B,-583.00M,-1.653B,,-1.567B,-641.00M,-748.00M,-166.00M,-480.00M,-78.00M,-191.00M,-52.00M,-423.00M,-55.00M,-129.00M,-21.00M,-88.00M,-29.00M,-55.00M,-48.00M,-169.00M,-46.00M,-61.00M,-47.00M,-187.00M,-54.00M,-49.00M,-68.00M,-208.00M,-99.00M,-91.00M,-68.00M,-111.00M,-225.00M,93.00M,-93.00M
Net Common Equity Issued (Purchased),-173.00M,0.00,0.00,-421.00M,-196.00M,-1.00M,-2.00M,-427.00M,-232.00M,-1.00M,-13.00M,-501.00M,-250.00M,-1.00M,1.00M,-721.00M,-749.00M,-501.00M,-1.003B,-1.781B,-3.298B,-3.001B,-2.996B,-3.858B,-3.298B,-3.007B,-4.024B,-5.619B,-5.245B,-5.00B,-5.008B,-5.622B,-5.114B,-5.304B,-5.444B,-5.269B,-4.984B,-3.114B,-1.499B,-2.453B,-1.916B,-4.122B,-5.182B,-7.731B,-8.581B,-8.612B,-8.454B,-9.334B,-7.75B,-7.572B,-7.633B,-7.788B,-8.006B,-7.985B,-6.63B,-5.764B,-5.295B,-5.289B,-3.609B,-3.087B,-2.756B,-2.76B,-1.73B,-1.745B,-1.659B,-1.577B,-1.101B,-1.11B,-4.499B,2.369B,-2.369B,,-5.42B,2.776B,-1.406B,-1.37B,-1.198B,-856.00M,86.00M,109.00M,22.00M,-52.00M,-208.00M,-84.00M,-804.00M,-583.00M,-1.653B,,-1.143B,-641.00M,-748.00M,-166.00M,-133.00M,-78.00M,-191.00M,-52.00M,-95.00M,-55.00M,-129.00M,-21.00M,-22.00M,-29.00M,-55.00M,-48.00M,-38.00M,-46.00M,-61.00M,-47.00M,-39.00M,-54.00M,-49.00M,-68.00M,-95.00M,-99.00M,-91.00M,-68.00M,-111.00M,-225.00M,93.00M,-93.00M
Total Common Dividends Paid,-3.716B,-3.716B,-3.715B,-3.505B,-3.502B,-3.503B,-3.502B,-3.291B,-3.289B,-3.289B,-3.289B,-3.134B,-3.133B,-3.133B,-3.133B,-3.054B,-3.054B,-3.06B,-3.066B,-2.91B,-2.924B,-2.946B,-2.966B,-2.732B,-2.75B,-2.77B,-2.794B,-2.561B,-2.592B,-2.622B,-2.657B,-2.221B,-2.247B,-2.277B,-2.308B,-2.188B,-2.212B,-2.234B,-2.066B,-1.986B,-1.992B,-1.878B,-2.172B,-1.981B,-2.018B,-1.848B,-2.208B,-1.984B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-3.716B,-3.716B,-3.715B,-3.505B,-3.502B,-3.503B,-3.502B,-3.291B,-3.289B,-3.289B,-3.289B,-3.134B,-3.133B,-3.133B,-3.133B,-3.054B,-3.054B,-3.06B,-3.066B,-2.91B,-2.924B,-2.946B,-2.966B,-2.732B,-2.75B,-2.77B,-2.794B,-2.561B,-2.592B,-2.622B,-2.657B,-2.221B,-2.247B,-2.277B,-2.308B,-2.188B,-2.212B,-2.234B,-2.066B,-1.986B,-1.992B,-1.878B,-2.172B,-1.981B,-2.018B,-1.848B,-2.208B,-1.984B,-1.903B,-1.932B,-1.961B,-1.825B,-2.092B,-1.892B,-1.926B,-1.957B,-1.859B,-1.913B,-1.884B,-1.822B,-1.776B,-1.83B,-1.791B,-1.714B,-1.702B,-1.724B,-1.917B,-1.602B,-1.562B,-1.626B,-1.577B,-1.621B,-1.607B,-1.71B,-1.546B,-1.585B,-1.60B,-1.62B,-1.56B,-1.594B,-1.58B,-1.513B,-1.483B,-1.515B,-3.154B,-1.018B,-1.027B,-1.031B,-2.895B,-1.12B,-1.101B,-1.061B,-1.036B,-1.06B,-1.07B,-1.027B,-994.00M,-1.013B,-1.022B,-1.018B,-992.00M,-974.00M,-1.105B,-1.008B,-954.00M,-966.00M,-983.00M,-976.00M,-968.00M,-969.00M,-979.00M,-916.00M,-899.00M,-916.00M,-913.00M,-917.00M,-904.00M,-956.00M,-705.00M,-832.00M
Cash from Other Financing Activities,93.00M,92.00M,-102.00M,-117.00M,469.00M,-156.00M,-308.00M,-102.00M,-105.00M,-109.00M,-76.00M,-44.00M,-40.00M,-37.00M,-43.00M,-42.00M,-41.00M,-39.00M,-48.00M,-40.00M,29.00M,-38.00M,-66.00M,-58.00M,-45.00M,-33.00M,-73.00M,-106.00M,96.00M,-150.00M,-55.00M,116.00M,-6.00M,-63.00M,111.00M,-104.00M,34.00M,-87.00M,-29.00M,-84.00M,129.00M,-216.00M,132.00M,-201.00M,42.00M,-511.00M,222.00M,-214.00M,-173.00M,-182.00M,-224.00M,,286.00M,-68.00M,-23.00M,-226.00M,-330.00M,-158.00M,-90.00M,-103.00M,-64.00M,-68.00M,-52.00M,-31.00M,-76.00M,-11.00M,-115.00M,-45.00M,3.408B,-3.38B,1.128B,-1.317B,1.696B,-4.129B,-258.00M,-16.00M,-108.00M,-7.00M,-70.00M,-42.00M,55.00M,-19.00M,-236.00M,,11.00M,-29.00M,763.00M,-829.00M,291.00M,-14.00M,-77.00M,4.00M,-9.00M,-300.00M,-31.00M,2.00M,-59.00M,-31.00M,-8.00M,14.00M,-6.00M,-9.00M,13.00M,27.00M,33.00M,-56.00M,-222.00M,-255.00M,-137.00M,0.00,44.00M,273.00M,32.00M,20.00M,9.00M,17.00M,-12.00M,308.00M,-277.00M,18.00M
