Income (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11,2007-08,2007-05,2007-02,2006-11,2006-08,2006-05,2006-02,2005-11,2005-08,2005-05,2005-02,2004-11,2004-08,2004-05,2004-02,2003-11,2003-08,2003-05,2003-02,2002-11,2002-08,2002-05,2002-02,2001-11,2001-08,2001-05,2001-02,2000-11,2000-08,2000-05,2000-02,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-11,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05,1989-02,1988-11,1988-08,1988-05,1988-02,1987-11,1987-08,1987-05,1987-02,1986-11,1986-08,1986-05,1986-02,1985-11,1985-08,1985-05,1985-02,1984-11,1984-08,1984-05,1984-02
Net Operating Interest Income,-155.00M,-151.00M,-137.00M,-136.00M,-135.00M,-131.00M,-127.00M,-147.00M,-125.00M,-124.00M,-114.00M,-125.00M,-122.00M,-119.00M,-113.00M,-97.00M,-81.00M,-74.00M,-63.00M,-68.00M,-58.00M,-47.00M,-48.00M,-47.00M,-38.00M,-30.00M,-27.00M,-24.00M,-9.00M,-18.00M,-10.00M,-9.00M,-12.00M,-7.00M,-11.00M,-12.00M,-24.00M,-23.00M,-18.00M,-19.00M,-19.00M,-15.00M,-18.00M,-21.00M,-19.00M,-10.00M,-9.00M,-4.00M,-10.00M,-15.00M,-25.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,2.701B,2.652B,2.519B,2.573B,2.483B,2.583B,2.402B,2.377B,2.408B,2.395B,2.27B,2.32B,2.16B,2.201B,2.071B,1.852B,2.007B,1.729B,1.663B,1.895B,1.525B,1.528B,1.467B,1.524B,1.515B,1.478B,1.41B,1.439B,1.418B,1.428B,1.396B,1.404B,1.251B,1.397B,,,,,,,,,,,,,,,,,1.303B,,6.904B,7.073B,6.792B,15.90B,6.322B,6.33B,6.088B,-5.945B,5.834B,2.864B,5.002B,2.024B,1.811B,1.76B,4.402B,-5.589B,4.138B,795.00M,770.00M,3.815B,762.00M,,751.00M,3.818B,822.00M,1.520B,785.00M,786.10M,760.30M,772.30M,731.30M,3.262B,796.90M,728.10M,,,,700.80M,683.00M,748.10M,632.60M,599.20M,552.40M,556.70M,555.60M,534.30M,508.40M,,469.30M,454.70M,427.20M,427.90M,409.00M,391.80M,375.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,2.701B,2.652B,2.519B,2.573B,2.483B,2.583B,2.402B,2.377B,2.408B,2.395B,2.27B,2.32B,2.16B,2.201B,2.071B,1.852B,2.007B,1.729B,1.663B,1.895B,1.525B,1.528B,1.467B,1.524B,1.515B,1.478B,1.41B,1.439B,1.418B,1.428B,1.396B,1.404B,1.251B,1.397B,4.513B,-9.412B,4.942B,6.299B,6.21B,-1.028B,5.85B,5.659B,5.504B,5.367B,5.579B,5.787B,5.972B,5.962B,5.874B,5.781B,5.259B,-244.00M,7.353B,7.503B,7.191B,5.177B,6.713B,6.716B,6.458B,6.389B,6.202B,6.734B,5.362B,5.907B,5.274B,5.102B,4.736B,6.332B,4.472B,4.001B,3.979B,6.978B,3.793B,2.573B,3.755B,6.76B,3.664B,4.236B,3.474B,1.905B,3.367B,3.325B,3.206B,5.704B,3.187B,3.085B,2.050B,7.102B,1.938B,2.888B,2.842B,2.942B,2.700B,2.305B,2.227B,3.301B,2.154B,2.071B,2.053B,160.80M,1.979B,1.922B,1.834B,2.352B,1.582B,1.564B,1.513B,1.136B,1.106B,1.078B,1.067B,1.066B,1.079B,1.060B,1.010B,997.10M,1.014B,975.50M,986.60M,968.00M,898.20M,835.00M,823.20M,,,,,,,,,,,,,,,,,,,,,,
Operating Income,411.00M,620.00M,977.00M,1.632B,915.00M,1.168B,1.071B,1.708B,858.00M,1.115B,971.00M,1.11B,1.025B,1.167B,1.264B,-68.00M,864.00M,1.137B,1.144B,-1.045B,1.038B,1.088B,1.062B,1.552B,641.00M,827.00M,795.00M,2.981B,636.00M,718.00M,742.00M,990.00M,813.00M,780.00M,2.075B,-3.044B,1.746B,1.922B,1.843B,1.983B,1.637B,1.783B,1.438B,1.553B,1.473B,2.124B,1.933B,2.053B,1.95B,2.133B,2.00B,5.767B,641.00M,839.00M,784.00M,4.579B,713.00M,790.00M,584.00M,740.00M,552.00M,-554.00M,1.062B,-2.00M,-160.00M,-76.00M,522.00M,-2.747B,621.00M,-1.298B,-1.375B,2.899B,-1.416B,317.00M,-1.38B,2.907B,-1.467B,-156.11M,-1.257B,1.932B,-1.327B,-1.255B,-1.181B,2.513B,-1.373B,-1.086B,283.90M,1.049B,167.40M,-1.084B,-963.80M,-1.066B,-1.083B,-948.70M,-929.20M,-781.00M,-979.90M,-837.10M,-805.60M,2.724B,-795.00M,-676.90M,-661.40M,-1.640B,-323.80M,-242.10M,-273.80M,125.10M,62.20M,116.50M,73.50M,94.30M,3.30M,98.90M,80.30M,114.30M,31.50M,125.70M,129.20M,115.40M,61.80M,127.90M,108.50M,-3.074B,1.284B,1.136B,1.078B,-2.451B,977.20M,943.60M,909.40M,-1.944B,798.90M,783.70M,726.00M,-1.671B,668.10M,625.50M,589.30M,-1.301B,513.70M,485.20M,439.10M,-857.90M,375.10M
Non-Operating Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00M,18.00M,27.00M,19.00M,15.00M,18.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-155.00M,-151.00M,-137.00M,-136.00M,-135.00M,-131.00M,-127.00M,-147.00M,-125.00M,-124.00M,-114.00M,-125.00M,-122.00M,-119.00M,-113.00M,-97.00M,-81.00M,-74.00M,-63.00M,-68.00M,-58.00M,-47.00M,-48.00M,-47.00M,-38.00M,-30.00M,-27.00M,-24.00M,-9.00M,-18.00M,-10.00M,-9.00M,-12.00M,-7.00M,-11.00M,-12.00M,-24.00M,-23.00M,-18.00M,-19.00M,-19.00M,-15.00M,-18.00M,-21.00M,-19.00M,-10.00M,-9.00M,-4.00M,-10.00M,-15.00M,-25.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,164.00M,103.00M,156.00M,-4.05B,151.00M,140.00M,157.00M,-203.00M,141.00M,148.00M,125.00M,475.00M,-4.00M,30.00M,-9.00M,-16.00M,-1.00M,-8.00M,3.00M,-303.00M,5.00M,5.00M,-2.00M,1.00M,-9.00M,-5.00M,-2.00M,-602.00M,-63.00M,-8.00M,-5.00M,-133.00M,-9.00M,4.00M,-1.34B,3.921B,-1.362B,-1.462B,-1.222B,-1.292B,-1.237B,-1.221B,-1.126B,-2.406B,-1.295B,-1.34B,-1.306B,-2.216B,-1.312B,-1.35B,-2.00M,-4.758B,-1.00M,1.00M,-5.00M,2.00M,-2.00M,,-11.00M,-1.00M,-4.00M,-8.00M,-6.00M,-8.00M,-16.00M,-285.00M,1.00M,-11.00M,-3.00M,-4.00M,3.00M,-15.00M,-4.00M,114.00M,2.00M,,1.00M,5.053M,-4.00M,7.50M,10.80M,5.00M,-0.30M,4.769M,-5.60M,0.30M,-3.30M,0.671M,-69.90M,-0.10M,10.50M,-219.40M,-0.30M,19.50M,-0.40M,0.40M,-0.40M,8.20M,4.50M,3.10M,40.00M,5.20M,-2.70M,-10.90M,7.50M,-2.60M,-3.80M,-1.60M,-1.30M,-1.80M,-8.00M,13.00M,-262.00M,-6.50M,-4.00M,-13.80M,-154.00M,-7.00M,-3.10M,2.70M,-4.30M,-3.40M,-2.00M,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-155.00M,-151.00M,-137.00M,-136.00M,-135.00M,-131.00M,-127.00M,-147.00M,-125.00M,-124.00M,-114.00M,-125.00M,-122.00M,-119.00M,-113.00M,-97.00M,-81.00M,-74.00M,-63.00M,-68.00M,-58.00M,-47.00M,-48.00M,-47.00M,-38.00M,-30.00M,-27.00M,-24.00M,-9.00M,-18.00M,-10.00M,-9.00M,-12.00M,-7.00M,-11.00M,-12.00M,-24.00M,-23.00M,-18.00M,-19.00M,-19.00M,-15.00M,-18.00M,-21.00M,-19.00M,-10.00M,-9.00M,-4.00M,-10.00M,-15.00M,-25.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,420.00M,572.00M,996.00M,-2.554B,931.00M,1.177B,1.101B,1.358B,874.00M,1.139B,982.00M,1.46B,899.00M,1.078B,1.142B,-181.00M,782.00M,1.055B,1.084B,-1.416B,985.00M,1.046B,1.012B,1.506B,594.00M,792.00M,766.00M,2.355B,564.00M,692.00M,727.00M,848.00M,792.00M,777.00M,724.00M,865.00M,360.00M,437.00M,603.00M,672.00M,381.00M,547.00M,294.00M,-874.00M,159.00M,774.00M,618.00M,-167.00M,628.00M,768.00M,787.00M,993.00M,629.00M,823.00M,770.00M,907.00M,683.00M,760.00M,549.00M,711.00M,514.00M,554.00M,534.00M,643.00M,334.00M,146.00M,196.00M,451.00M,237.00M,395.00M,255.00M,371.00M,194.00M,395.00M,200.00M,179.00M,159.00M,315.13M,275.00M,405.20M,187.00M,282.90M,262.80M,371.96M,121.20M,312.40M,255.40M,294.42M,63.60M,256.70M,284.80M,14.00M,106.80M,180.40M,107.80M,364.60M,52.70M,155.00M,129.90M,153.00M,110.70M,151.10M,107.20M,149.40M,57.80M,110.50M,60.90M,84.60M,20.60M,74.30M,24.00M,67.00M,-298.00M,50.60M,33.50M,50.40M,-168.70M,76.60M,82.60M,67.20M,10.80M,80.80M,59.60M,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,105.00M,12.00M,251.00M,-585.00M,192.00M,242.00M,266.00M,231.00M,-1.20B,364.00M,386.00M,440.00M,337.00M,378.00M,427.00M,-111.00M,275.00M,364.00M,392.00M,-522.00M,357.00M,383.00M,359.00M,549.00M,216.00M,292.00M,277.00M,897.00M,203.00M,254.00M,268.00M,298.00M,271.00M,280.00M,260.00M,307.00M,129.00M,154.00M,223.00M,253.00M,142.00M,202.00M,113.00M,2.00M,62.00M,281.00M,234.00M,74.00M,235.00M,289.00M,293.00M,383.00M,209.00M,312.00M,295.00M,339.00M,255.00M,289.00M,210.00M,263.00M,197.00M,200.00M,204.00M,231.00M,127.00M,55.00M,68.00M,171.00M,90.00M,150.00M,97.00M,135.00M,74.00M,150.00M,76.00M,66.00M,50.00M,121.32M,106.00M,159.50M,73.90M,111.70M,103.80M,150.63M,43.40M,129.60M,106.00M,123.66M,50.80M,106.90M,120.00M,54.40M,45.80M,76.70M,45.80M,156.80M,25.50M,65.10M,54.60M,65.80M,47.60M,65.00M,46.10M,68.70M,26.60M,50.80M,28.00M,35.50M,10.10M,36.40M,11.80M,31.20M,-104.60M,24.10M,16.30M,19.40M,-63.10M,39.20M,39.50M,24.00M,5.60M,43.80M,29.20M,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,315.00M,560.00M,745.00M,-1.969B,739.00M,935.00M,835.00M,1.127B,2.074B,775.00M,596.00M,1.02B,562.00M,700.00M,715.00M,-70.00M,507.00M,691.00M,692.00M,-894.00M,628.00M,663.00M,653.00M,957.00M,378.00M,500.00M,489.00M,1.458B,361.00M,438.00M,459.00M,550.00M,521.00M,497.00M,464.00M,558.00M,231.00M,283.00M,380.00M,419.00M,239.00M,345.00M,181.00M,-876.00M,97.00M,493.00M,384.00M,-241.00M,393.00M,479.00M,494.00M,610.00M,420.00M,511.00M,475.00M,568.00M,428.00M,471.00M,339.00M,448.00M,317.00M,354.00M,330.00M,412.00M,207.00M,91.00M,128.00M,280.00M,147.00M,245.00M,158.00M,236.00M,120.00M,245.00M,124.00M,113.00M,109.00M,193.80M,169.00M,244.70M,113.10M,171.20M,159.00M,221.33M,77.80M,182.80M,149.40M,170.76M,12.80M,149.80M,164.80M,-40.40M,61.00M,103.70M,62.00M,207.80M,27.20M,89.90M,75.30M,87.20M,63.10M,86.10M,61.10M,80.70M,31.20M,59.70M,32.90M,49.10M,10.50M,37.90M,12.20M,35.80M,-193.40M,26.50M,17.20M,31.00M,-105.60M,37.40M,43.10M,43.20M,5.20M,37.00M,30.40M,41.00M,24.80M,52.50M,48.20M,54.80M,36.50M,44.00M,52.40M,43.70M,35.90M,34.50M,52.90M,38.90M,26.30M,34.90M,31.60M,41.90M,15.60M,10.20M,8.30M,28.70M,28.10M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025M,4.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.00M,,-199.40M,-28.10M,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-15.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,315.00M,560.00M,745.00M,-1.969B,739.00M,935.00M,835.00M,1.127B,2.074B,775.00M,596.00M,1.02B,562.00M,700.00M,715.00M,-70.00M,507.00M,691.00M,692.00M,-894.00M,628.00M,663.00M,653.00M,957.00M,378.00M,500.00M,489.00M,1.458B,361.00M,438.00M,459.00M,550.00M,521.00M,497.00M,464.00M,558.00M,231.00M,283.00M,380.00M,419.00M,239.00M,345.00M,181.00M,-876.00M,97.00M,493.00M,384.00M,-241.00M,393.00M,479.00M,494.00M,610.00M,420.00M,511.00M,475.00M,568.00M,428.00M,471.00M,339.00M,448.00M,317.00M,354.00M,330.00M,412.00M,207.00M,91.00M,128.00M,280.00M,147.00M,245.00M,158.00M,236.00M,120.00M,245.00M,109.00M,113.00M,109.00M,193.80M,169.00M,244.70M,113.10M,171.20M,159.00M,221.33M,77.80M,182.80M,149.40M,170.73M,17.70M,149.80M,164.80M,-40.40M,61.00M,103.70M,62.00M,88.20M,27.20M,89.90M,75.30M,87.20M,63.10M,86.10M,61.10M,80.70M,31.20M,59.70M,32.90M,-6.80M,10.50M,37.90M,12.20M,35.80M,-193.40M,26.50M,17.20M,31.00M,-105.60M,37.40M,43.10M,43.20M,5.20M,37.00M,30.40M,41.00M,24.80M,52.50M,48.20M,54.80M,36.50M,44.00M,52.40M,38.70M,35.90M,-164.90M,24.80M,38.90M,26.30M,34.90M,31.60M,41.90M,15.60M,10.20M,8.30M,28.70M,28.10M
