Assets (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11,2007-08,2007-05,2007-02,2006-11,2006-08,2006-05,2006-02,2005-11,2005-08,2005-05,2005-02,2004-11,2004-08,2004-05,2004-02,2003-11,2003-08,2003-05,2003-02,2002-11,2002-08,2002-05,2002-02,2001-11,2001-08,2001-05,2001-02,2000-11,2000-08,2000-05,2000-02,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-11,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05,1988-05,1987-05,1986-05,1985-05,1984-05
Other Properties,78.29B,76.81B,75.26B,17.97B,58.16B,57.50B,56.33B,16.94B,54.38B,53.24B,51.54B,15.84B,49.75B,48.92B,48.12B,15.14B,46.03B,45.24B,43.99B,8.929B,42.65B,41.62B,40.87B,8.366B,40.02B,39.30B,38.17B,7.903B,38.11B,37.75B,,7.592B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,78.29B,76.81B,75.26B,59.51B,58.16B,57.50B,56.33B,55.12B,54.38B,53.24B,51.54B,50.63B,49.75B,48.92B,48.12B,47.02B,46.03B,45.24B,43.99B,42.86B,42.65B,41.62B,40.87B,40.69B,40.02B,39.30B,38.17B,38.11B,38.11B,37.75B,36.96B,36.16B,35.93B,35.40B,34.22B,33.69B,33.08B,32.72B,31.77B,31.30B,30.68B,30.23B,29.48B,29.26B,29.36B,29.01B,28.71B,29.30B,28.81B,28.38B,27.70B,27.09B,26.33B,25.90B,24.72B,24.07B,23.67B,23.24B,22.65B,22.02B,21.54B,21.20B,20.67B,20.31B,20.05B,19.61B,19.20B,19.02B,18.55B,18.38B,18.08B,17.58B,17.36B,17.08B,16.78B,16.41B,16.39B,15.35B,15.02B,14.74B,14.84B,14.48B,14.09B,13.72B,13.37B,13.20B,12.88B,12.46B,12.03B,10.33B,10.08B,11.39B,9.474B,9.263B,8.938B,8.678B,8.455B,8.295B,7.976B,7.698B,7.397B,7.235B,7.040B,6.890B,6.993B,6.954B,6.861B,6.706B,6.691B,6.588B,6.169B,6.178B,6.098B,6.109B,6.022B,5.895B,6.068B,5.907B,5.684B,5.469B,5.157B,4.882B,4.869B,4.901B,3.349B,2.712B,2.203B,1.793B,1.427B
Accumulated D&A,-31.00B,-30.31B,-29.83B,-29.08B,-28.40B,-28.11B,-27.55B,-26.97B,-26.68B,-25.95B,-25.30B,-24.64B,-24.14B,-23.61B,-23.32B,-22.73B,-23.48B,-22.96B,-22.51B,-21.99B,-22.23B,-21.72B,-21.44B,-21.14B,-20.73B,-20.18B,-19.73B,-19.62B,-19.79B,-19.40B,-19.10B,-18.92B,-19.09B,-18.69B,-18.40B,-18.14B,-17.75B,-17.45B,-17.09B,-16.92B,-16.67B,-16.30B,-15.95B,-15.84B,-15.74B,-15.40B,-15.18B,-15.83B,-15.49B,-15.16B,-14.76B,-14.45B,-14.16B,-13.92B,-13.61B,-13.30B,-13.25B,-12.97B,-12.67B,-12.37B,-12.15B,-11.86B,-11.58B,-11.27B,-11.04B,-10.79B,-10.51B,-10.32B,-10.05B,-9.834B,-9.558B,-9.274B,-9.017B,-8.756B,-8.502B,-8.312B,-8.397B,-8.142B,-7.902B,-7.659B,-7.851B,-7.609B,-7.403B,-7.161B,-6.962B,-6.928B,-6.748B,-6.529B,-6.343B,-5.486B,-5.372B,-5.918B,-5.028B,-4.880B,-4.736B,-4.562B,-4.402B,-4.274B,-4.126B,-3.982B,-3.840B,-3.701B,-3.557B,-3.441B,-3.566B,-3.487B,-3.362B,-3.230B,-3.130B,-3.006B,-2.767B,-2.767B,-2.621B,-2.528B,-2.399B,-2.271B,-2.228B,-2.103B,-1.986B,-1.902B,-1.792B,-1.671B,-1.571B,-1.470B,-1.117B,-850.60M,-650.80M,-447.00M,-314.60M
Net PP&E,47.29B,46.50B,45.43B,30.43B,29.77B,29.39B,28.78B,28.15B,27.70B,27.29B,26.24B,25.98B,25.61B,25.31B,24.80B,24.28B,22.55B,22.28B,21.48B,20.88B,20.42B,19.89B,19.42B,19.55B,19.28B,19.12B,18.44B,18.48B,18.33B,18.35B,17.87B,17.25B,16.84B,16.71B,15.82B,15.54B,15.33B,15.27B,14.68B,14.38B,14.00B,13.94B,13.54B,13.42B,13.62B,13.61B,13.53B,13.48B,13.31B,13.22B,12.94B,12.64B,12.17B,11.99B,11.12B,10.77B,10.42B,10.28B,9.98B,9.643B,9.391B,9.346B,9.092B,9.037B,9.007B,8.813B,8.685B,8.70B,8.506B,8.542B,8.522B,8.302B,8.344B,8.326B,8.282B,8.10B,7.994B,7.210B,7.117B,7.084B,6.986B,6.869B,6.688B,6.559B,6.403B,6.271B,6.133B,5.935B,5.683B,4.846B,4.712B,5.470B,4.447B,4.384B,4.202B,4.117B,4.053B,4.021B,3.849B,3.715B,3.557B,3.534B,3.484B,3.449B,3.427B,3.467B,3.499B,3.476B,3.560B,3.582B,3.402B,3.411B,3.477B,3.581B,3.623B,3.624B,3.840B,3.804B,3.698B,3.566B,3.366B,3.211B,3.298B,3.432B,2.232B,1.861B,1.552B,1.346B,1.113B
Goodwill,6.814B,6.861B,6.821B,6.884B,6.916B,6.908B,6.869B,6.973B,7.464B,7.325B,7.382B,7.154B,7.00B,6.921B,6.783B,6.747B,3.764B,3.806B,3.792B,3.81B,3.805B,2.734B,2.775B,2.79B,2.739B,2.737B,2.712B,2.755B,2.765B,2.757B,2.734B,2.387B,2.419B,2.399B,2.435B,2.326B,2.321B,2.224B,2.211B,2.20B,2.229B,2.237B,2.233B,2.229B,3.113B,3.121B,3.16B,3.165B,3.519B,3.515B,3.502B,3.497B,3.136B,2.941B,2.825B,2.825B,2.827B,2.826B,2.835B,2.835B,2.835B,2.834B,2.801B,2.802B,3.236B,1.063B,1.063B,1.063B,1.063B,1.063B,1.063B,1.063B,1.027B,1.027B,1.027B,1.052B,1.098B,499.76M,494.88M,,466.16M,439.58M,,344.00M,,,,356.27M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,416.00M,,,,480.00M,,,,529.00M,,,,1.008B,,,,207.00M,,,,,,,,,,,,,,,,,,,,,,,,,1.198B,1.071B,966.00M,919.00M,1.332B,1.256B,1.233B,1.238B,1.362B,1.305B,1.245B,1.282B,1.332B,1.281B,1.348B,1.385B,1.529B,1.457B,1.17B,1.198B,,,,412.00M,,,,,,,,,,,,501.00M,,,341.00M,,347.00M,350.00M,353.10M,,359.50M,357.80M,361.60M,370.30M,369.00M,372.90M,376.90M,380.70M,384.70M,388.60M,392.90M,397.30M,400.80M,406.70M,410.80M,415.20M,419.60M,423.70M,428.00M,432.20M,473.80M,478.40M,483.90M,487.80M,491.00M,511.90M,515.60M,521.10M,538.30M,606.10M,609.70M,588.90M,595.50M,575.30M,583.10M,593.90M,,,,,
Goodwill and Intangibles,6.814B,6.861B,6.821B,7.30B,6.916B,6.908B,6.869B,7.453B,7.464B,7.325B,7.382B,7.683B,7.00B,6.921B,6.783B,7.755B,3.764B,3.806B,3.792B,4.017B,3.805B,2.734B,2.775B,2.79B,2.739B,2.737B,2.712B,2.755B,2.765B,2.757B,2.734B,2.387B,2.419B,2.399B,2.435B,2.326B,2.321B,2.224B,2.211B,2.20B,2.229B,2.237B,2.233B,2.229B,4.311B,4.192B,4.126B,4.084B,4.851B,4.771B,4.735B,4.735B,4.498B,4.246B,4.07B,4.107B,4.159B,4.107B,4.183B,4.22B,4.364B,4.291B,3.971B,4.00B,3.236B,1.063B,1.063B,1.475B,1.063B,1.063B,1.063B,1.063B,1.027B,1.027B,1.027B,1.052B,1.098B,499.76M,494.88M,501.00M,466.16M,439.58M,341.00M,344.00M,347.00M,350.00M,353.10M,356.27M,359.50M,357.80M,361.60M,370.30M,369.00M,372.90M,376.90M,380.70M,384.70M,388.60M,392.90M,397.30M,400.80M,406.70M,410.80M,415.20M,419.60M,423.70M,428.00M,432.20M,473.80M,478.40M,483.90M,487.80M,491.00M,511.90M,515.60M,521.10M,538.30M,606.10M,609.70M,588.90M,595.50M,575.30M,583.10M,593.90M,,,,,
Other Long Term Assets,3.372B,3.39B,3.185B,3.588B,4.28B,3.556B,3.612B,3.382B,3.115B,2.785B,3.011B,2.26B,2.23B,2.068B,2.587B,1.931B,1.266B,1.135B,1.267B,1.304B,1.396B,1.145B,1.138B,1.047B,924.00M,819.00M,1.031B,1.054B,992.00M,1.047B,1.214B,1.212B,1.292B,1.176B,1.62B,1.231B,1.315B,1.205B,1.286B,1.033B,1.961B,1.986B,1.698B,1.482B,1.703B,1.748B,,827.00M,,,,,1.539B,1.636B,1.351B,1.349B,1.443B,1.537B,1.177B,1.272B,1.348B,1.267B,1.045B,1.127B,1.741B,1.779B,1.624B,1.269B,1.691B,915.00M,719.00M,782.00M,801.00M,688.00M,698.00M,739.00M,779.25M,728.70M,736.69M,657.00M,743.70M,659.80M,613.30M,603.96M,527.10M,520.60M,505.60M,514.61M,471.90M,420.00M,431.40M,559.90M,470.80M,416.70M,439.30M,473.40M,503.80M,477.50M,520.90M,451.80M,421.60M,365.80M,375.80M,366.50M,406.40M,374.50M,407.70M,444.90M,413.90M,401.40M,417.90M,358.10M,372.40M,348.10M,326.80M,244.60M,242.40M,242.00M,211.80M,204.50M,190.90M,191.70M,173.00M,167.60M,146.60M,130.60M,111.30M,130.40M,85.10M
Total Long Term Assets,57.47B,56.76B,55.44B,41.32B,40.96B,39.85B,39.26B,38.99B,38.28B,37.40B,36.63B,35.92B,34.84B,34.30B,34.17B,33.97B,27.58B,27.22B,26.54B,26.20B,25.63B,23.77B,23.34B,23.39B,22.95B,22.68B,22.18B,22.29B,22.08B,22.15B,21.81B,20.85B,20.55B,20.28B,19.88B,19.10B,18.96B,18.70B,18.18B,17.62B,18.19B,18.16B,17.47B,17.13B,19.63B,19.55B,18.97B,18.39B,18.16B,18.00B,17.68B,17.37B,18.21B,17.87B,16.54B,16.23B,16.02B,15.92B,15.34B,15.14B,15.10B,14.90B,14.11B,14.16B,13.98B,11.66B,11.37B,11.44B,11.26B,10.52B,10.30B,10.15B,10.17B,10.04B,10.01B,9.891B,9.871B,8.439B,8.349B,8.242B,8.196B,7.969B,7.643B,7.507B,7.277B,7.142B,6.992B,6.806B,6.515B,5.624B,5.505B,6.401B,5.287B,5.173B,5.018B,4.971B,4.942B,4.887B,4.763B,4.564B,4.380B,4.306B,4.270B,4.231B,4.253B,4.265B,4.334B,4.353B,4.448B,4.462B,4.304B,4.257B,4.340B,4.441B,4.465B,4.390B,4.620B,4.652B,4.519B,4.360B,4.152B,3.978B,4.054B,4.193B,2.378B,1.992B,1.663B,1.476B,1.198B
Total Assets,70.01B,69.95B,68.45B,54.40B,54.46B,53.29B,51.90B,52.33B,51.85B,50.28B,49.35B,48.55B,46.78B,46.35B,45.58B,45.96B,37.82B,38.37B,37.24B,36.53B,36.11B,32.98B,32.59B,33.07B,32.73B,33.54B,33.67B,33.57B,31.83B,31.31B,30.69B,29.90B,28.75B,28.45B,27.84B,27.38B,26.20B,26.09B,25.21B,24.90B,24.88B,24.59B,23.86B,24.24B,27.01B,26.38B,26.14B,25.63B,24.60B,24.35B,23.91B,24.00B,24.97B,24.71B,23.88B,22.69B,21.54B,21.21B,20.59B,20.40B,20.38B,20.04B,19.38B,19.13B,18.35B,16.21B,15.46B,15.38B,14.85B,14.48B,14.00B,13.81B,13.70B,13.69B,13.48B,13.39B,13.52B,12.49B,11.76B,11.53B,11.52B,11.54B,10.80B,10.65B,10.20B,10.55B,9.849B,9.686B,9.353B,8.126B,8.019B,9.044B,7.362B,7.082B,6.830B,6.699B,6.693B,6.635B,6.494B,6.433B,6.136B,6.052B,6.073B,5.992B,5.852B,5.959B,5.831B,5.793B,5.697B,5.792B,5.573B,5.463B,5.721B,5.806B,5.788B,5.672B,6.071B,6.164B,5.779B,5.675B,5.348B,5.152B,5.118B,5.293B,3.008B,2.500B,2.276B,1.900B,1.526B
Accounts Payable,3.193B,3.283B,3.179B,3.03B,3.156B,3.40B,3.066B,2.977B,3.102B,3.147B,2.938B,2.752B,2.707B,2.954B,2.851B,2.944B,2.024B,2.129B,2.049B,2.066B,2.05B,1.968B,1.973B,1.971B,1.903B,1.868B,1.879B,1.879B,1.73B,1.73B,1.643B,1.613B,1.687B,1.646B,1.563B,1.702B,1.59B,1.561B,1.423B,1.522B,1.489B,1.417B,1.311B,1.372B,1.392B,1.878B,2.05B,2.195B,2.164B,2.30B,2.018B,2.016B,1.888B,2.06B,1.875B,1.908B,1.847B,1.859B,1.705B,1.739B,1.685B,1.703B,1.481B,1.615B,1.464B,1.463B,1.136B,1.168B,1.124B,1.207B,1.089B,1.133B,1.073B,1.171B,1.147B,1.256B,1.193B,1.288B,1.102B,1.121B,1.066B,1.120B,1.034B,1.134B,996.70M,1.099B,1.032B,1.145B,1.145B,867.60M,841.80M,1.077B,832.80M,772.90M,741.70M,705.50M,683.60M,652.10M,603.40M,618.60M,546.00M,530.40M,487.20M,518.80M,494.20M,486.50M,432.40M,554.10M,440.20M,466.50M,428.80M,430.10M,453.40M,433.90M,410.80M,446.60M,460.00M,514.30M,455.60M,454.40M,428.00M,431.50M,420.70M,,,,,,
Current Tax Payable,,,,304.00M,,,,334.00M,,,,283.00M,,,,311.00M,,,,328.00M,,,,339.00M,,,,368.00M,,,,386.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.00M,153.30M,241.50M,143.50M,120.50M,145.70M,138.00M,153.90M,148.30M,135.20M,130.70M,,182.30M,174.80M,190.20M,130.80M,130.70M,117.70M,120.00M,,,,,,,,,,,,,,,,,,,,,,
Other Payables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615B,,,,1.168B,,,,1.133B,,,,1.256B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,3.193B,3.283B,3.179B,3.334B,3.156B,3.40B,3.066B,3.311B,3.102B,3.147B,2.938B,3.035B,2.707B,2.954B,2.851B,3.255B,2.024B,2.129B,2.049B,2.394B,2.05B,1.968B,1.973B,2.31B,1.903B,1.868B,1.879B,2.247B,1.73B,1.73B,1.643B,1.999B,1.687B,1.646B,1.563B,1.702B,1.59B,1.561B,1.423B,1.522B,1.489B,1.417B,1.311B,1.372B,1.392B,1.878B,2.05B,2.195B,2.164B,2.30B,2.018B,2.016B,1.888B,2.06B,1.875B,1.908B,1.847B,1.859B,1.705B,1.739B,1.685B,1.703B,1.481B,3.23B,1.464B,1.463B,1.136B,2.336B,1.124B,1.207B,1.089B,2.266B,1.073B,1.171B,1.147B,2.512B,1.193B,1.288B,1.102B,1.121B,1.066B,1.120B,1.034B,1.134B,996.70M,1.099B,1.032B,1.145B,1.319B,1.021B,1.083B,1.221B,953.30M,918.60M,879.70M,859.40M,831.90M,787.30M,734.10M,618.60M,728.30M,705.20M,677.40M,649.60M,624.90M,604.20M,552.40M,554.10M,440.20M,466.50M,428.80M,430.10M,453.40M,433.90M,410.80M,446.60M,460.00M,514.30M,455.60M,454.40M,428.00M,431.50M,420.70M,,,,,,
