Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Operating Interest Income,-20.78M,-21.57M,-22.11M,-22.02M,-21.97M,-21.84M,-20.97M,-21.17M,-21.66M,-20.74M,-20.65M,-20.70M,-20.02M,-20.31M,-20.64M,-21.07M,-20.56M,-20.28M,-20.66M,-20.44M,-19.95M,-19.87M,-19.94M,-20.04M,-20.10M,-20.80M,-20.65M,-19.49M,-19.83M,-19.40M,-17.44M,-17.20M,-17.55M,-17.45M,-17.57M,-18.96M,-19.99M,-18.74M,-17.39M,-18.99M,-18.57M,-18.60M,-18.16M,-17.48M,-19.99M,-18.54M,-17.06M,-17.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,11.53M,9.498M,12.55M,11.28M,11.14M,10.48M,9.879M,8.774M,13.87M,11.14M,11.62M,7.63M,-2.265M,12.67M,12.38M,9.947M,14.47M,11.24M,11.73M,8.217M,12.67M,8.949M,11.31M,8.494M,8.561M,9.536M,23.37M,8.316M,8.531M,11.48M,11.24M,8.088M,-19.50M,8.922M,0.913M,1.054M,52.61M,1.462M,95.49M,112.56M,3.04M,1.879M,0.872M,0.624M,-0.285M,0.986M,0.794M,1.048M,6.427M,5.92M,3.13M,2.588M,-20.14M,-51.70M,,3.818M,-10.70M,-6.545M,3.229M,11.28M,-25.27M,26.78M,18.03M,8.821M,8.499M,-11.52M,34.80M,55.57M,-78.22M,78.00M,431.00M,459.00M,198.88M,-14.00M,1.295B,53.00M,1.957B,41.79M,19.53M,-3.896M,637.00M,21.84M,47.39M,41.77M,48.28M,33.12M,52.42M,33.42M,35.82M,26.76M,40.18M,28.67M,27.32M,20.82M,37.61M,40.06M,32.52M,30.19M,40.58M,30.72M,30.42M,26.82M,25.17M,28.85M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,72.69M,60.93M,63.10M,62.37M,76.51M,61.06M,60.34M,58.12M,72.85M,60.01M,65.71M,53.07M,53.35M,57.00M,56.38M,54.30M,57.39M,54.17M,54.24M,50.78M,53.42M,50.76M,52.50M,49.47M,48.93M,49.09M,63.66M,48.40M,47.97M,50.10M,48.97M,46.73M,-222.48M,130.90M,123.26M,108.39M,-130.16M,108.18M,205.15M,218.92M,149.89M,105.29M,107.38M,100.19M,120.84M,102.57M,105.92M,100.03M,106.64M,105.76M,112.27M,102.74M,70.56M,40.04M,,95.50M,76.26M,88.59M,99.44M,96.53M,79.03M,119.85M,111.88M,93.42M,73.81M,80.43M,130.35M,142.15M,-11.30M,165.00M,518.00M,540.00M,298.42M,76.00M,1.382B,128.00M,2.082B,116.37M,96.73M,65.66M,838.20M,57.42M,83.97M,74.41M,80.91M,68.22M,88.49M,66.69M,71.46M,62.15M,77.34M,62.33M,61.17M,56.53M,69.81M,71.39M,61.96M,62.54M,73.28M,62.58M,59.98M,60.17M,58.04M,60.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,43.29M,114.16M,71.78M,58.12M,32.48M,115.23M,82.84M,50.59M,45.11M,123.71M,81.91M,53.63M,53.08M,97.93M,76.95M,43.82M,48.55M,104.66M,85.98M,42.90M,27.59M,105.72M,71.81M,48.58M,37.34M,115.56M,79.41M,59.43M,36.99M,109.28M,56.47M,39.86M,-0.431M,71.39M,34.30M,50.09M,32.17M,88.99M,-58.14M,-77.67M,38.87M,79.60M,49.47M,35.63M,23.80M,81.58M,40.53M,44.76M,23.80M,46.06M,35.69M,43.78M,29.28M,56.63M,242.64M,46.48M,42.30M,47.90M,28.14M,34.90M,43.42M,18.93M,15.41M,36.19M,-25.92M,55.91M,14.00M,30.64M,3.64M,17.00M,8.00M,55.00M,36.29M,65.00M,73.00M,68.00M,34.49M,82.57M,64.82M,79.80M,47.50M,39.94M,39.72M,59.83M,41.68M,44.04M,39.10M,55.77M,36.01M,43.88M,41.78M,59.07M,40.16M,41.78M,46.74M,58.49M,45.12M,45.64M,38.68M,46.55M,44.66M,33.61M,33.98M,37.41M,135.50M,134.60M,129.50M,140.80M,129.90M,129.00M,124.70M,114.50M,122.10M,129.60M,110.90M,120.60M,117.90M,125.60M,109.40M,112.00M,116.50M,128.20M,119.10M,132.40M,99.40M,111.60M,98.40M,102.90M,91.20M,107.90M,94.20M,101.30M,90.40M,103.10M,98.30M,117.10M,106.30M,116.90M,106.40M,121.60M,110.40M,116.90M,94.90M,105.60M
Non-Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.053M,,1.888M,,1.39M,2.038M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,20.78M,21.57M,22.11M,22.02M,21.97M,21.84M,20.97M,21.17M,21.66M,20.74M,20.65M,20.70M,20.02M,20.31M,20.64M,21.07M,20.56M,20.28M,20.66M,20.44M,19.95M,19.87M,19.94M,20.04M,20.10M,20.80M,20.65M,19.49M,19.83M,19.40M,17.44M,17.20M,11.68M,19.50M,17.57M,20.85M,16.11M,20.14M,19.43M,18.99M,18.57M,18.60M,18.16M,17.48M,19.99M,18.54M,17.06M,17.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-20.78M,-21.57M,-22.11M,-22.02M,-21.97M,-21.84M,-20.97M,-21.17M,-21.66M,-20.74M,-20.65M,-20.70M,-20.02M,-20.31M,-20.64M,-21.07M,-20.56M,-20.28M,-20.66M,-20.44M,-19.95M,-19.87M,-19.94M,-20.04M,-20.10M,-20.80M,-20.65M,-19.49M,-19.83M,-19.40M,-17.44M,-17.20M,-17.55M,-17.45M,-17.57M,-18.96M,-19.99M,-18.74M,-17.39M,-18.99M,-18.57M,-18.60M,-18.16M,-17.48M,-19.99M,-18.54M,-17.06M,-17.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,22.56M,12.79M,10.76M,10.85M,19.23M,13.06M,7.831M,9.589M,18.80M,10.41M,5.777M,6.262M,7.899M,20.94M,8.794M,7.147M,10.16M,12.40M,10.52M,6.988M,9.808M,12.25M,7.221M,7.35M,19.55M,11.56M,5.558M,7.141M,14.50M,6.298M,6.969M,10.50M,30.04M,8.095M,0.594M,3.244M,12.55M,6.992M,3.392M,2.103M,-0.232M,7.435M,1.438M,7.323M,-5.575M,4.68M,1.024M,-0.295M,3.494M,4.053M,1.622M,0.851M,-6.268M,1.34M,,3.198M,-1.287M,2.723M,1.072M,3.833M,-6.687M,4.027M,9.859M,2.81M,39.35M,-6.655M,1.373M,-16.60M,-2.17M,-2.00M,1.00M,-3.00M,11.29M,5.00M,3.00M,2.00M,18.08M,-3.357M,-0.523M,2.117M,-3.87M,8.90M,8.989M,2.983M,2.803M,7.079M,6.701M,1.773M,10.47M,2.123M,2.256M,3.389M,2.471M,3.561M,3.115M,3.342M,4.307M,4.747M,3.374M,1.944M,2.074M,3.618M,2.258M,2.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-20.78M,-21.57M,-22.11M,-22.02M,-21.97M,-21.84M,-20.97M,-21.17M,-21.66M,-20.74M,-20.65M,-20.70M,-20.02M,-20.31M,-20.64M,-21.07M,-20.56M,-20.28M,-20.66M,-20.44M,-19.95M,-19.87M,-19.94M,-20.04M,-20.10M,-20.80M,-20.65M,-19.49M,-19.83M,-19.40M,-17.44M,-17.20M,-17.55M,-17.45M,-17.57M,-18.96M,-19.99M,-18.74M,-17.39M,-18.99M,-18.57M,-18.60M,-18.16M,-17.48M,-19.99M,-18.54M,-17.06M,-17.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,45.07M,105.38M,60.43M,46.95M,29.75M,106.46M,69.70M,39.00M,42.25M,113.37M,67.04M,39.19M,40.96M,98.55M,65.11M,29.90M,38.16M,96.79M,75.83M,29.46M,17.44M,98.10M,59.09M,35.89M,36.80M,106.33M,64.32M,47.08M,31.66M,96.17M,46.01M,33.15M,12.05M,62.04M,17.32M,34.38M,24.72M,77.24M,22.61M,17.16M,20.07M,68.44M,32.74M,25.48M,-1.761M,67.72M,24.50M,26.99M,11.14M,33.49M,21.90M,29.48M,7.313M,43.18M,,34.56M,25.84M,35.71M,14.11M,24.20M,16.87M,8.297M,9.613M,24.34M,-4.87M,34.28M,,,-15.48M,-2.00M,-6.00M,34.00M,28.86M,51.00M,58.00M,52.00M,33.29M,63.40M,48.73M,65.58M,26.44M,32.59M,31.77M,46.20M,28.37M,34.70M,29.56M,41.18M,25.81M,31.86M,29.17M,46.74M,20.96M,30.75M,35.86M,47.68M,35.62M,36.21M,28.54M,34.96M,33.48M,24.44M,23.58M,27.67M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,-1.999M,15.16M,7.028M,4.316M,3.52M,3.868M,7.105M,2.894M,3.24M,22.30M,16.94M,6.183M,7.807M,15.54M,8.721M,4.367M,6.484M,23.52M,9.642M,6.111M,-17.20M,10.87M,14.39M,8.707M,9.285M,33.22M,17.68M,12.04M,10.99M,3.91M,10.57M,8.333M,-0.218M,-45.37M,-3.652M,4.888M,4.479M,10.12M,-16.63M,1.305M,-3.338M,13.73M,5.175M,6.796M,-9.135M,15.81M,6.941M,5.584M,0.84M,4.555M,3.437M,4.898M,-10.64M,10.69M,,7.607M,4.323M,9.752M,1.513M,1.134M,-0.371M,-20.89M,-3.379M,4.685M,-8.624M,-12.50M,,,-12.15M,-39.00M,-9.00M,9.00M,8.646M,17.00M,22.00M,17.00M,9.454M,21.84M,16.21M,23.50M,8.201M,10.57M,10.52M,16.70M,9.90M,12.39M,9.213M,13.12M,10.27M,10.72M,9.126M,16.36M,10.20M,11.60M,12.83M,17.47M,10.79M,12.44M,10.95M,14.23M,10.13M,8.15M,6.554M,9.406M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,47.07M,90.22M,53.40M,42.64M,26.23M,102.59M,62.59M,36.11M,39.01M,91.08M,50.10M,33.01M,33.15M,83.02M,56.39M,25.53M,31.67M,73.27M,66.19M,23.34M,34.64M,87.23M,44.70M,27.18M,27.51M,73.10M,46.64M,35.04M,20.67M,92.26M,35.44M,24.82M,12.27M,107.41M,20.98M,29.49M,20.24M,67.12M,39.24M,15.86M,23.41M,54.71M,27.57M,18.69M,7.374M,51.91M,17.56M,21.40M,10.30M,28.93M,18.46M,24.58M,17.96M,32.49M,22.67M,26.96M,21.52M,25.96M,12.59M,23.07M,17.24M,29.18M,12.99M,19.66M,3.754M,46.78M,-0.879M,-2.204M,-3.328M,37.00M,3.00M,25.00M,20.21M,34.00M,36.00M,35.00M,23.84M,41.56M,32.52M,42.08M,18.24M,22.02M,21.24M,29.50M,18.47M,22.30M,20.35M,28.05M,15.54M,21.14M,20.04M,30.38M,10.76M,19.15M,23.03M,30.21M,24.83M,23.77M,17.59M,20.73M,23.35M,16.29M,17.03M,18.26M,28.30M,16.40M,18.50M,21.30M,19.10M,15.10M,12.40M,13.40M,15.40M,16.70M,10.00M,15.80M,20.60M,17.60M,14.20M,16.90M,20.20M,19.70M,20.20M,24.60M,19.40M,13.70M,5.80M,10.20M,5.60M,17.90M,8.20M,16.50M,17.20M,22.10M,15.40M,23.70M,18.30M,19.40M,17.50M,29.60M,24.40M,22.50M,23.80M,29.30M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.067M,0.127M,11.50M,2.817M,-1.479M,-13.99M,-2.344M,3.142M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,0.063M,-0.342M,-0.244M,0.049M,-0.089M,-0.36M,-0.305M,0.031M,-0.159M,-0.442M,-0.265M,0.096M,0.059M,0.083M,-0.14M,0.199M,0.159M,0.069M,-0.11M,0.086M,0.009M,-0.345M,-0.157M,0.219M,0.092M,0.015M,-0.137M,0.153M,0.047M,-0.195M,-0.137M,0.112M,0.001M,-0.347M,-0.076M,0.252M,0.15M,0.01M,-0.028M,0.206M,0.101M,-0.229M,-0.095M,0.198M,0.071M,-0.173M,-0.04M,0.311M,,,,,,,,,,,,,,,,-0.854M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.116M,,,2.562M,,,0.868M,,,,,,,,,,,,,,,,,,,,,1.695M,1.422M,0.665M,1.394M,1.631M,1.954M,1.927M,1.952M,1.982M,1.976M,2.006M,2.026M,1.928M,1.862M,1.819M,1.789M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,47.14M,89.88M,53.16M,42.69M,26.14M,102.23M,62.29M,36.14M,38.85M,90.63M,49.83M,33.10M,33.21M,83.10M,56.25M,25.73M,31.83M,73.34M,66.08M,23.43M,34.65M,86.89M,44.54M,27.40M,27.60M,73.12M,46.50M,35.19M,20.72M,92.07M,35.30M,24.93M,12.27M,107.07M,20.90M,29.74M,20.39M,67.14M,39.21M,16.06M,23.51M,54.48M,27.48M,18.88M,7.445M,51.74M,17.52M,21.72M,10.30M,28.93M,18.46M,24.65M,18.08M,43.99M,25.49M,25.48M,7.526M,23.62M,15.74M,23.07M,9.443M,29.18M,12.99M,19.66M,3.754M,46.78M,-0.879M,-2.204M,-3.328M,37.00M,3.00M,25.00M,20.21M,34.00M,36.00M,35.00M,23.84M,41.56M,32.52M,42.08M,18.24M,22.02M,21.24M,29.50M,18.47M,22.30M,20.35M,28.05M,15.54M,21.14M,20.04M,30.38M,10.76M,19.15M,23.03M,30.21M,24.83M,23.77M,17.59M,20.73M,23.35M,16.29M,17.03M,18.26M,28.30M,16.40M,18.50M,21.30M,19.10M,15.10M,12.40M,13.40M,15.40M,16.70M,10.00M,15.80M,20.60M,17.60M,14.20M,16.90M,20.20M,19.70M,20.20M,24.60M,19.40M,13.70M,5.80M,10.20M,5.60M,17.90M,8.20M,16.50M,17.20M,22.10M,15.40M,23.70M,18.30M,19.40M,17.50M,29.60M,24.40M,22.50M,23.80M,29.30M
