Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Other Properties,17.30M,17.32M,17.42M,17.54M,17.65M,17.80M,17.91M,15.38M,15.49M,15.60M,15.71M,15.81M,15.92M,16.24M,16.36M,16.47M,16.86M,16.96M,17.06M,17.16M,17.26M,17.33M,17.42M,17.44M,17.23M,17.34M,17.63M,17.74M,17.85M,17.94M,18.71M,18.82M,18.88M,18.99M,19.10M,26.29M,19.32M,1.622B,1.612B,18.92M,1.578B,1.582B,1.566B,1.547B,1.524B,1.500B,1.480B,1.462B,1.469B,1.467B,1.446B,1.431B,1.406B,1.411B,1.401B,1.382B,1.365B,1.373B,1.355B,1.334B,1.316B,1.310B,1.290B,1.258B,1.240B,1.364B,11.76M,13.47M,1.295B,1.279B,1.261B,1.239B,1.22B,1.201B,1.181B,1.163B,1.143B,1.127B,1.111B,1.092B,1.074B,1.061B,1.042B,1.028B,1.009B,1.001B,67.86M,960.93M,942.40M,930.64M,916.11M,900.87M,886.88M,876.33M,861.07M,846.67M,830.62M,819.37M,804.42M,791.20M,775.03M,765.95M,753.09M,740.76M
Construction in Progress,552.50M,533.42M,501.55M,506.19M,480.26M,478.97M,465.41M,477.64M,452.42M,463.11M,427.29M,428.54M,405.07M,471.33M,437.31M,410.22M,396.93M,468.08M,454.76M,438.06M,401.93M,383.67M,370.90M,351.57M,327.00M,321.13M,298.59M,312.64M,298.47M,283.05M,280.15M,614.85M,591.48M,547.78M,545.65M,485.25M,416.95M,370.95M,363.98M,323.12M,289.19M,236.63M,201.16M,186.66M,207.66M,225.96M,212.31M,206.11M,257.59M,277.01M,264.58M,235.06M,210.09M,194.52M,189.14M,172.91M,149.81M,144.82M,119.20M,110.39M,152.43M,152.71M,130.94M,114.68M,96.09M,110.55M,101.94M,101.28M,96.21M,109.00M,112.00M,103.00M,96.00M,112.27M,140.10M,145.40M,136.00M,133.02M,118.11M,100.64M,92.00M,77.22M,75.92M,64.78M,59.72M,72.08M,67.86M,47.66M,51.89M,57.08M,50.34M,47.44M,42.18M,29.77M,29.44M,24.05M,20.56M,18.12M,55.95M,50.01M,46.63M,56.62M,49.19M,62.43M
Gross PP&E,6.687B,6.762B,6.721B,6.654B,6.607B,6.545B,6.493B,6.436B,6.382B,6.327B,6.273B,6.210B,6.160B,6.078B,6.008B,5.947B,5.906B,5.869B,5.811B,5.724B,5.674B,5.603B,5.545B,5.476B,5.432B,5.381B,5.325B,5.278B,5.239B,5.199B,5.150B,5.117B,5.084B,5.025B,4.960B,4.866B,4.775B,4.689B,4.602B,4.526B,4.476B,4.403B,4.335B,4.290B,4.263B,4.217B,4.168B,4.104B,4.085B,4.021B,3.948B,3.878B,3.825B,3.795B,3.753B,3.719B,3.659B,3.656B,3.608B,3.558B,3.526B,3.488B,3.437B,3.387B,3.328B,3.288B,1.922B,1.918B,3.339B,3.178B,3.155B,3.128B,3.106B,3.075B,3.041B,3.002B,2.948B,2.908B,2.870B,2.841B,2.82B,2.789B,2.768B,2.743B,2.721B,2.701B,1.788B,2.680B,2.659B,2.640B,2.622B,2.602B,2.582B,2.555B,2.539B,2.517B,2.504B,2.486B,2.471B,2.449B,2.432B,2.419B,2.393B,2.368B
Accumulated D&A,-2.156B,-2.285B,-2.270B,-2.238B,-2.211B,-2.192B,-2.162B,-2.135B,-2.098B,-2.086B,-2.059B,-2.016B,-1.988B,-1.982B,-1.963B,-1.937B,-1.914B,-1.890B,-1.877B,-1.860B,-1.841B,-1.824B,-1.805B,-1.783B,-1.767B,-1.760B,-1.738B,-1.724B,-1.703B,-1.692B,-1.677B,-1.697B,-1.678B,-1.669B,-1.653B,-1.634B,-1.614B,-1.602B,-1.586B,-1.565B,-1.559B,-1.556B,-1.540B,-1.521B,-1.505B,-1.500B,-1.480B,-1.462B,-1.469B,-1.467B,-1.446B,-1.431B,-1.406B,-1.411B,-1.401B,-1.382B,-1.365B,-1.373B,-1.355B,-1.334B,-1.316B,-1.310B,-1.290B,-1.258B,-1.240B,-1.364B,-11.76M,-13.47M,-1.295B,-1.279B,-1.261B,-1.239B,-1.22B,-1.201B,-1.181B,-1.163B,-1.143B,-1.127B,-1.111B,-1.092B,-1.074B,-1.061B,-1.042B,-1.028B,-1.009B,-1.001B,-67.86M,-960.93M,-942.40M,-930.64M,-916.11M,-900.87M,-886.88M,-876.33M,-861.07M,-846.67M,-830.62M,-819.37M,-804.42M,-791.20M,-775.03M,-765.95M,-753.09M,-740.76M
Net PP&E,4.531B,4.477B,4.451B,4.415B,4.396B,4.353B,4.331B,4.301B,4.284B,4.241B,4.214B,4.194B,4.172B,4.095B,4.045B,4.010B,3.992B,3.978B,3.934B,3.864B,3.833B,3.779B,3.740B,3.693B,3.665B,3.622B,3.587B,3.555B,3.536B,3.507B,3.473B,3.421B,3.407B,3.356B,3.307B,3.233B,3.161B,3.087B,3.016B,2.961B,2.917B,2.847B,2.794B,2.769B,2.758B,2.717B,2.688B,2.643B,2.617B,2.555B,2.502B,2.447B,2.419B,2.384B,2.352B,2.336B,2.294B,2.283B,2.253B,2.224B,2.209B,2.178B,2.147B,2.128B,2.088B,1.924B,1.911B,1.905B,2.044B,1.899B,1.894B,1.889B,1.886B,1.874B,1.860B,1.839B,1.805B,1.781B,1.759B,1.749B,1.746B,1.728B,1.726B,1.715B,1.712B,1.700B,1.720B,1.719B,1.717B,1.710B,1.706B,1.701B,1.695B,1.679B,1.677B,1.671B,1.673B,1.666B,1.666B,1.658B,1.657B,1.653B,1.640B,1.627B
Other Intangible Assets,,,,,,,,,,7.641M,7.902M,8.162M,,9.747M,10.01M,10.27M,11.59M,11.85M,12.11M,12.37M,13.70M,13.96M,14.22M,14.48M,15.80M,16.06M,16.32M,16.58M,17.91M,41.06M,18.43M,18.69M,20.02M,20.28M,20.54M,20.80M,22.12M,22.38M,22.64M,22.90M,24.23M,24.49M,24.75M,25.01M,26.33M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,,,,,,,,,,7.641M,7.902M,8.162M,,9.747M,10.01M,10.27M,11.59M,11.85M,12.11M,12.37M,13.70M,13.96M,14.22M,14.48M,15.80M,16.06M,16.32M,16.58M,17.91M,41.06M,18.43M,18.69M,20.02M,20.28M,20.54M,20.80M,22.12M,22.38M,22.64M,22.90M,24.23M,24.49M,24.75M,25.01M,26.33M,26.59M,26.85M,27.11M,29.50M,29.76M,30.02M,30.28M,30.54M,31.58M,31.58M,3.428M,31.58M,13.40M,13.70M,13.66M,13.66M,,,,,,,,,557.00M,,,,,,,,,,31.58M,,31.58M,31.58M,31.83M,31.83M,31.83M,32.06M,32.06M,32.06M,32.26M,32.26M,32.26M,32.26M,32.26M,32.44M,32.44M,32.44M,32.44M,32.44M,32.60M,32.60M,32.60M,32.60M,32.76M
Long Term Investments,98.22M,89.81M,94.50M,94.58M,101.18M,101.85M,106.56M,109.99M,115.70M,111.95M,118.88M,117.19M,125.16M,131.22M,144.80M,136.57M,140.74M,160.13M,159.47M,161.48M,165.42M,155.03M,162.92M,157.50M,159.07M,174.75M,178.30M,181.26M,160.79M,190.69M,221.40M,219.66M,199.93M,216.43M,224.99M,229.28M,229.62M,225.57M,224.74M,227.32M,195.30M,224.89M,222.36M,215.57M,198.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621M,5.621M,5.621M,,5.041M,5.041M,5.149M,,3.993M,3.993M,,4.217M,5.212M,5.204M,3.844M,4.012M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,,,,,,,,,,26.37M,25.63M,24.60M,23.48M,23.24M,22.04M,25.03M,22.54M,20.55M,18.99M,17.65M,6.317M,6.041M,6.115M,6.133M,4.811M,4.437M,4.437M,4.437M,4.437M,,,,5.621M,,,,3.965M,,,4.02M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.49M,94.95M,,93.89M,94.30M,92.24M,85.14M,100.95M,95.90M,95.30M,99.89M,98.61M,98.64M,99.62M,101.62M,102.26M,98.20M,98.04M,99.31M,96.10M,91.92M,92.43M,92.89M,87.88M,84.89M,84.99M
Other Long Term Assets,119.95M,120.68M,120.62M,121.63M,122.73M,123.75M,123.02M,117.76M,118.75M,110.27M,110.62M,110.39M,119.61M,111.06M,104.92M,89.84M,88.78M,78.00M,80.37M,66.80M,47.68M,66.19M,63.55M,61.74M,64.99M,68.12M,68.76M,71.69M,71.91M,48.32M,47.17M,39.71M,64.41M,39.48M,40.79M,41.78M,41.76M,42.40M,41.56M,41.19M,67.17M,37.84M,46.98M,44.72M,73.17M,290.30M,297.00M,302.78M,290.88M,282.59M,282.31M,281.33M,305.43M,305.61M,318.30M,332.78M,325.40M,338.82M,337.22M,332.41M,356.36M,340.73M,346.98M,348.72M,351.87M,386.35M,417.07M,431.88M,473.01M,,589.00M,543.00M,559.00M,672.38M,550.18M,422.11M,343.00M,295.78M,160.64M,154.07M,273.00M,140.27M,139.28M,129.47M,129.44M,128.50M,113.83M,104.93M,97.06M,43.15M,39.93M,37.10M,36.50M,31.25M,31.26M,31.72M,16.83M,17.89M,17.37M,16.31M,18.03M,20.61M,19.81M,19.96M
Total Long Term Assets,6.076B,5.898B,5.861B,5.812B,5.785B,5.706B,5.667B,5.624B,5.602B,5.909B,5.857B,5.821B,5.850B,5.669B,5.585B,5.543B,5.561B,5.444B,5.369B,5.279B,5.259B,5.023B,4.943B,4.868B,4.888B,5.024B,4.968B,4.932B,4.924B,4.842B,4.745B,4.667B,4.650B,4.518B,4.316B,4.253B,4.212B,4.107B,3.986B,3.941B,3.928B,3.841B,3.787B,3.750B,3.757B,3.537B,3.490B,3.446B,3.387B,3.321B,3.240B,3.147B,3.179B,3.092B,3.078B,3.053B,3.067B,3.051B,3.028B,3.008B,3.013B,2.935B,2.908B,2.891B,2.868B,2.736B,2.737B,2.771B,2.999B,2.978B,2.944B,2.941B,2.989B,3.106B,2.923B,2.730B,2.519B,2.400B,2.329B,2.286B,2.29B,2.250B,2.233B,2.221B,2.221B,2.236B,2.236B,2.240B,2.235B,2.172B,2.159B,2.156B,2.151B,2.125B,2.099B,2.095B,2.090B,2.083B,2.049B,2.049B,2.047B,2.035B,1.998B,1.977B
Total Assets,6.641B,6.502B,6.461B,6.388B,6.383B,6.289B,6.206B,6.262B,6.045B,6.367B,6.277B,6.230B,6.290B,6.129B,6.081B,6.130B,6.023B,5.938B,5.897B,5.972B,5.701B,5.498B,5.390B,5.361B,5.365B,5.591B,5.489B,5.316B,5.291B,5.208B,5.103B,4.991B,4.961B,4.827B,4.642B,4.590B,4.676B,4.574B,4.281B,4.222B,4.239B,4.117B,4.043B,4.070B,4.023B,3.851B,3.749B,3.709B,3.653B,3.613B,3.532B,3.407B,3.445B,3.311B,3.350B,3.363B,3.364B,3.301B,3.263B,3.265B,3.234B,3.126B,3.107B,3.135B,3.106B,2.948B,3.037B,3.126B,3.387B,3.411B,3.379B,3.399B,3.639B,3.949B,3.934B,4.001B,4.04B,3.172B,3.011B,2.640B,2.64B,2.556B,2.553B,2.466B,2.452B,2.500B,2.439B,2.447B,2.452B,2.359B,2.334B,2.301B,2.295B,2.270B,2.254B,2.247B,2.242B,2.222B,2.191B,2.186B,2.192B,2.166B,2.132B,2.102B
Accounts Payable,110.74M,84.29M,80.65M,83.04M,110.82M,75.65M,74.80M,68.88M,90.28M,72.15M,76.60M,63.22M,106.19M,77.90M,77.62M,60.61M,95.53M,81.05M,89.04M,65.16M,89.32M,82.90M,82.42M,72.08M,91.52M,88.84M,77.01M,65.31M,90.16M,93.41M,92.02M,71.28M,81.77M,90.09M,87.01M,64.57M,103.10M,80.89M,78.08M,53.04M,83.82M,88.14M,66.04M,53.01M,96.78M,66.20M,68.65M,58.54M,85.12M,65.80M,85.60M,43.47M,86.44M,66.45M,71.73M,51.45M,80.32M,53.20M,57.09M,52.57M,79.16M,56.12M,51.30M,35.78M,60.92M,54.30M,51.54M,86.39M,130.93M,136.00M,126.00M,160.00M,248.00M,353.47M,188.78M,224.68M,272.00M,227.02M,195.07M,127.21M,146.00M,146.35M,90.51M,95.26M,101.98M,157.68M,84.56M,89.74M,111.94M,60.87M,50.23M,25.33M,36.37M,27.13M,27.96M,23.76M,40.48M,27.12M,20.06M,18.96M,32.06M,33.90M,29.01M,20.88M
Current Tax Payable,11.50M,53.25M,31.18M,24.41M,12.01M,47.80M,28.81M,21.10M,11.08M,57.90M,19.97M,17.76M,11.35M,20.26M,12.65M,17.75M,10.76M,21.57M,15.92M,17.70M,10.37M,26.23M,27.74M,38.05M,13.30M,13.80M,9.802M,0.154M,11.71M,0.937M,5.513M,2.837M,0.505M,8.785M,22.91M,4.146M,0.00,,21.46M,40.12M,3.502M,20.53M,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,122.25M,137.54M,111.83M,107.46M,122.83M,123.45M,103.61M,89.98M,101.35M,130.06M,96.57M,80.99M,117.54M,98.16M,90.27M,78.36M,106.29M,102.61M,104.96M,82.86M,99.69M,109.13M,110.16M,110.14M,104.82M,102.64M,86.81M,65.46M,101.87M,94.35M,97.54M,74.11M,82.27M,98.87M,109.92M,68.72M,103.10M,80.89M,99.53M,93.16M,87.32M,108.67M,66.04M,53.01M,96.78M,66.20M,68.65M,58.54M,85.12M,65.80M,85.60M,43.47M,86.44M,66.45M,71.73M,51.45M,80.32M,53.20M,57.09M,52.57M,79.16M,56.12M,51.30M,35.78M,60.92M,54.30M,51.54M,86.39M,130.93M,136.00M,126.00M,160.00M,248.00M,353.47M,188.78M,224.68M,272.00M,227.02M,195.07M,127.21M,146.00M,146.35M,90.51M,95.26M,101.98M,157.68M,84.56M,89.74M,111.94M,60.87M,50.23M,25.33M,36.37M,27.13M,27.96M,23.76M,40.48M,27.12M,20.06M,18.96M,32.06M,33.90M,29.01M,20.88M
Accrued Expenses,21.00M,20.66M,23.60M,21.78M,23.62M,21.72M,23.15M,21.82M,22.38M,21.41M,22.38M,21.41M,22.38M,21.40M,22.25M,24.36M,22.29M,24.07M,22.16M,25.47M,22.63M,24.88M,22.69M,24.94M,22.76M,26.41M,23.53M,24.16M,22.31M,23.90M,22.10M,23.43M,21.80M,23.39M,22.28M,23.81M,23.94M,26.25M,21.82M,25.68M,20.06M,27.68M,17.92M,24.05M,16.73M,108.54M,95.24M,100.55M,92.30M,81.53M,84.55M,98.86M,99.77M,138.71M,151.98M,160.29M,136.85M,157.61M,117.32M,114.49M,91.43M,95.00M,106.95M,103.75M,89.22M,155.44M,189.98M,192.08M,176.44M,167.00M,183.00M,205.00M,257.00M,495.37M,808.18M,839.91M,1.13B,500.58M,455.16M,183.11M,92.00M,117.72M,146.77M,79.05M,58.39M,56.71M,61.95M,71.72M,59.08M,84.37M,60.78M,88.81M,50.03M,74.37M,59.19M,88.17M,48.84M,70.08M,45.33M,72.68M,43.72M,66.12M,41.01M,68.01M
Payables and Accrued Expenses,143.24M,158.20M,135.43M,129.23M,146.46M,145.17M,126.76M,111.80M,123.73M,151.46M,118.94M,102.39M,139.92M,119.56M,112.53M,102.72M,128.58M,126.69M,127.12M,108.33M,122.32M,134.02M,132.86M,135.08M,127.58M,129.05M,110.35M,89.62M,124.18M,118.25M,119.63M,97.55M,104.07M,122.26M,132.20M,92.53M,127.04M,107.14M,121.35M,118.84M,107.38M,136.35M,83.96M,77.06M,113.51M,174.74M,163.90M,159.08M,177.41M,147.33M,170.15M,142.33M,186.21M,205.16M,223.71M,211.74M,217.18M,210.81M,174.41M,167.07M,170.58M,151.12M,158.25M,139.53M,150.13M,209.74M,241.52M,278.48M,307.37M,303.00M,309.00M,365.00M,505.00M,848.83M,996.96M,1.065B,1.402B,727.60M,650.23M,310.33M,238.00M,264.07M,237.29M,174.31M,160.36M,214.39M,146.50M,161.46M,171.02M,145.24M,111.01M,114.14M,86.40M,101.50M,87.15M,111.93M,89.32M,97.20M,65.39M,91.64M,75.79M,100.02M,70.02M,88.89M
