Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Non Income Taxes,145.00M,144.00M,139.00M,163.00M,135.00M,150.00M,143.00M,151.00M,141.00M,137.00M,138.00M,147.00M,133.00M,133.00M,125.00M,137.00M,107.00M,89.00M,87.00M,84.00M,211.03M,32.90M,30.54M,39.54M,194.66M,32.39M,28.08M,35.87M,31.11M,28.50M,23.82M,30.60M,26.40M,26.40M,25.90M,35.51M,24.17M,20.24M,16.59M,17.70M,15.22M,17.44M,12.91M,14.49M,12.01M,14.66M,11.28M,12.28M,10.43M,12.62M,10.31M,11.26M,9.792M,12.62M,10.15M,10.84M,9.211M,12.48M,9.413M,10.89M,7.305M,11.47M,9.941M,10.74M,8.118M,11.14M,9.941M,10.89M,9.514M,13.03M,11.48M,11.95M,10.64M,12.22M,10.63M,11.08M,9.398M,11.44M,10.27M,11.94M,8.70M,12.90M,11.50M,14.00M,25.60M,13.80M,12.30M,13.00M,11.90M,13.50M,13.10M,14.00M,13.60M,14.90M,13.90M,14.70M,13.70M,15.70M,14.50M,15.00M,14.50M,12.90M,14.60M,15.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,80.00M,72.00M,76.00M,78.00M,84.00M,75.00M,70.00M,74.00M,70.00M,71.00M,68.00M,71.00M,56.00M,60.00M,68.00M,84.00M,76.00M,64.00M,66.00M,61.00M,174.51M,23.02M,22.84M,22.63M,177.29M,21.79M,23.21M,22.71M,21.59M,22.74M,23.14M,22.64M,23.18M,23.70M,23.09M,23.47M,20.48M,11.21M,10.07M,10.55M,10.37M,10.23M,10.40M,8.883M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,0.666M,0.523M,0.542M,,0.243M,0.442M,0.764M,,,,,0.898M,0.791M,1.072M,0.722M,0.985M,1.115M,1.068M,0.995M,0.912M,0.872M,0.786M,0.661M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-80.00M,-72.00M,-76.00M,-78.00M,-84.00M,-75.00M,-70.00M,-74.00M,-70.00M,-71.00M,-68.00M,-71.00M,-56.00M,-60.00M,-68.00M,-84.00M,-76.00M,-64.00M,-66.00M,-61.00M,-174.41M,-22.98M,-22.92M,-22.69M,-176.92M,-22.16M,-23.38M,-22.55M,-19.58M,-23.35M,-23.74M,-23.25M,-23.07M,-23.55M,-22.52M,-22.75M,-20.09M,-10.49M,-9.399M,-9.556M,-9.462M,-9.361M,-9.611M,-8.222M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32M,,,33.90M,34.60M,35.60M,35.30M,34.70M,34.50M,36.50M,31.90M,47.00M,34.80M,36.50M,33.70M,42.60M,49.40M,39.70M,42.60M,38.90M,32.20M,32.30M,29.40M,36.30M,31.90M,35.60M,30.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,398.00M,381.00M,361.00M,385.00M,346.00M,376.00M,358.00M,354.00M,357.00M,342.00M,344.00M,344.00M,316.00M,336.00M,338.00M,342.00M,277.00M,252.00M,274.00M,259.00M,725.18M,68.48M,67.58M,81.76M,642.13M,83.15M,73.77M,85.95M,73.09M,74.78M,66.87M,77.16M,-202.70M,160.31M,155.37M,165.61M,-115.82M,105.99M,106.00M,96.58M,100.95M,105.96M,86.13M,90.99M,54.36M,113.45M,98.42M,98.43M,104.13M,100.34M,86.49M,85.78M,92.97M,96.75M,82.10M,84.20M,77.07M,92.31M,75.07M,168.77M,-171.23M,168.55M,157.59M,144.96M,61.47M,178.26M,151.88M,148.73M,91.02M,196.40M,190.78M,166.94M,125.75M,183.54M,158.68M,144.04M,145.81M,122.82M,77.09M,97.22M,84.70M,79.60M,77.00M,87.50M,96.50M,88.50M,85.70M,82.20M,93.40M,81.70M,89.50M,80.00M,88.10M,96.10M,85.80M,87.60M,85.20M,79.60M,80.70M,75.40M,83.30M,74.90M,79.90M,74.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,216.00M,239.00M,207.00M,341.00M,249.00M,254.00M,232.00M,408.00M,250.00M,218.00M,252.00M,427.00M,306.00M,217.00M,322.00M,349.00M,85.00M,164.00M,80.00M,196.00M,731.51M,34.72M,36.21M,107.56M,619.33M,40.20M,43.21M,96.26M,70.98M,39.13M,36.51M,87.46M,48.18M,34.25M,40.22M,99.82M,44.44M,41.23M,32.21M,32.88M,20.64M,42.10M,30.94M,28.49M,25.17M,43.90M,25.72M,18.67M,15.09M,41.79M,18.88M,12.67M,3.148M,39.69M,21.06M,12.94M,9.123M,36.22M,16.94M,14.60M,12.85M,35.12M,21.82M,16.53M,17.88M,36.45M,16.38M,19.03M,17.81M,46.52M,31.49M,27.44M,24.82M,52.91M,36.96M,28.85M,-155.96M,49.39M,43.39M,38.10M,19.70M,59.60M,40.30M,38.20M,20.70M,61.30M,31.70M,33.50M,21.80M,62.50M,24.40M,34.50M,29.80M,52.40M,37.90M,41.00M,34.40M,72.60M,36.70M,40.20M,30.10M,65.50M,33.20M,43.70M,150.60M,189.40M,151.00M,161.90M,154.20M,175.90M,160.50M,176.80M,184.30M,167.60M,151.60M,169.90M,152.70M,162.10M,125.60M,137.00M,130.50M,144.10M,127.70M,128.90M,127.10M,144.60M,120.50M,126.70M,121.30M,134.40M,120.00M,121.90M,113.00M,118.70M,112.10M,127.30M,128.80M,129.80M,121.10M,135.20M,124.30M,132.60M,122.80M,129.80M
Non-Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,0.666M,0.523M,0.542M,,0.243M,0.442M,0.764M,,,,,0.898M,0.791M,1.072M,0.722M,0.985M,1.115M,1.068M,0.995M,0.912M,0.872M,0.786M,0.661M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,80.00M,72.00M,76.00M,78.00M,84.00M,75.00M,70.00M,74.00M,70.00M,71.00M,68.00M,71.00M,56.00M,60.00M,68.00M,84.00M,76.00M,64.00M,66.00M,61.00M,174.51M,23.02M,22.84M,22.63M,177.29M,21.79M,23.21M,22.71M,21.59M,22.74M,23.14M,22.64M,23.18M,23.70M,23.09M,23.47M,20.48M,11.21M,10.07M,10.55M,10.37M,10.23M,10.40M,8.883M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-80.00M,-72.00M,-76.00M,-78.00M,-84.00M,-75.00M,-70.00M,-74.00M,-70.00M,-71.00M,-68.00M,-71.00M,-56.00M,-60.00M,-68.00M,-84.00M,-76.00M,-64.00M,-66.00M,-61.00M,-174.41M,-22.98M,-22.92M,-22.69M,-176.92M,-22.16M,-23.38M,-22.55M,-19.58M,-23.35M,-23.74M,-23.25M,-23.07M,-23.55M,-22.52M,-22.75M,-20.09M,-10.49M,-9.399M,-9.556M,-9.462M,-9.361M,-9.611M,-8.222M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,120.00M,5.00M,3.00M,-6.00M,-7.00M,-16.00M,-25.00M,-24.00M,-695.00M,-15.00M,-20.00M,-14.00M,7.00M,5.00M,20.00M,51.00M,19.00M,10.00M,2.00M,13.00M,36.35M,5.743M,-0.243M,-2.852M,-577.32M,-8.703M,8.634M,8.385M,1.372M,10.84M,8.787M,13.40M,15.56M,7.601M,4.532M,3.943M,-10.58M,-1.995M,-2.864M,3.061M,-2.648M,2.633M,1.56M,0.297M,-0.178M,0.925M,0.772M,0.017M,0.20M,2.465M,1.603M,0.714M,0.217M,5.262M,2.491M,20.79M,0.938M,2.675M,1.086M,-2.336M,-2.313M,1.034M,1.431M,1.40M,0.616M,2.098M,0.726M,-0.435M,-0.897M,2.525M,-3.746M,-0.209M,0.997M,2.698M,1.781M,1.224M,177.42M,-2.678M,-1.165M,2.756M,1.70M,0.30M,-2.40M,-0.50M,-6.50M,1.80M,-4.50M,0.40M,2.60M,0.10M,0.70M,0.80M,-6.60M,-0.10M,-0.30M,-0.20M,-1.60M,-1.40M,-0.90M,-0.30M,-1.80M,0.60M,-0.90M,0.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-80.00M,-72.00M,-76.00M,-78.00M,-84.00M,-75.00M,-70.00M,-74.00M,-70.00M,-71.00M,-68.00M,-71.00M,-56.00M,-60.00M,-68.00M,-84.00M,-76.00M,-64.00M,-66.00M,-61.00M,-174.41M,-22.98M,-22.92M,-22.69M,-176.92M,-22.16M,-23.38M,-22.55M,-19.58M,-23.35M,-23.74M,-23.25M,-23.07M,-23.55M,-22.52M,-22.75M,-20.09M,-10.49M,-9.399M,-9.556M,-9.462M,-9.361M,-9.611M,-8.222M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,256.00M,172.00M,134.00M,257.00M,158.00M,163.00M,137.00M,310.00M,-515.00M,132.00M,164.00M,342.00M,257.00M,162.00M,274.00M,316.00M,28.00M,110.00M,16.00M,148.00M,593.45M,17.49M,13.04M,82.02M,-134.90M,9.343M,28.46M,82.09M,52.78M,26.61M,21.56M,77.62M,40.67M,18.30M,22.23M,81.01M,13.78M,28.74M,19.95M,26.38M,8.528M,35.38M,22.89M,20.56M,13.25M,37.68M,19.67M,12.33M,12.16M,38.76M,16.36M,9.845M,-1.171M,38.86M,18.14M,29.15M,5.136M,32.59M,12.50M,7.57M,5.572M,31.95M,17.53M,11.76M,11.84M,30.99M,10.18M,11.48M,9.281M,39.05M,17.38M,17.52M,16.01M,44.76M,28.09M,18.92M,9.827M,36.33M,31.91M,30.71M,11.70M,49.80M,28.10M,24.50M,1.00M,49.90M,13.80M,20.40M,14.70M,44.50M,7.70M,17.60M,5.20M,34.70M,20.00M,23.00M,14.80M,52.50M,17.50M,20.60M,8.10M,45.70M,12.30M,23.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,40.00M,33.00M,29.00M,41.00M,42.00M,29.00M,27.00M,72.00M,-438.00M,32.00M,44.00M,103.00M,48.00M,53.00M,172.00M,104.00M,-74.00M,56.00M,5.00M,42.00M,246.72M,4.986M,3.74M,26.55M,-10.00M,4.186M,10.53M,30.29M,23.94M,10.84M,9.546M,30.54M,11.15M,9.629M,10.71M,31.01M,5.128M,12.11M,7.564M,10.34M,1.776M,13.65M,9.134M,8.532M,4.46M,16.05M,8.379M,5.686M,3.475M,15.76M,6.829M,4.422M,-3.159M,9.199M,7.884M,12.33M,0.576M,14.11M,5.987M,4.342M,1.525M,15.63M,7.16M,6.066M,8.819M,14.03M,5.208M,5.967M,4.046M,17.24M,8.244M,7.949M,6.075M,19.83M,12.87M,9.442M,3.438M,16.63M,14.12M,13.85M,8.40M,24.80M,14.10M,14.60M,2.40M,23.70M,8.30M,11.40M,8.60M,21.10M,-0.80M,9.90M,4.60M,16.80M,11.10M,11.30M,8.20M,26.00M,9.70M,11.10M,5.40M,19.90M,5.90M,10.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,216.00M,139.00M,105.00M,216.00M,116.00M,134.00M,110.00M,238.00M,-77.00M,100.00M,120.00M,239.00M,209.00M,109.00M,102.00M,212.00M,102.00M,54.00M,11.00M,106.00M,346.73M,12.50M,9.303M,55.46M,-124.90M,5.157M,17.93M,51.81M,28.84M,15.78M,12.01M,47.08M,21.29M,12.19M,14.17M,52.06M,10.48M,16.98M,11.49M,16.05M,6.766M,21.74M,13.77M,12.04M,8.585M,21.63M,11.29M,6.644M,8.69M,23.00M,9.535M,5.423M,1.988M,29.66M,10.25M,16.82M,4.56M,18.48M,6.509M,3.228M,4.047M,16.32M,10.37M,5.692M,3.017M,16.95M,4.976M,5.518M,5.235M,21.81M,9.14M,9.569M,9.938M,24.93M,15.22M,9.476M,6.389M,19.71M,17.80M,16.86M,3.30M,25.00M,14.00M,9.90M,-1.40M,26.20M,5.50M,9.00M,6.10M,23.40M,8.50M,7.70M,0.60M,17.90M,8.90M,11.70M,6.60M,26.50M,7.80M,9.50M,2.70M,25.80M,6.40M,13.20M,-5.20M,22.80M,10.40M,12.60M,5.50M,16.00M,21.60M,13.70M,5.00M,13.80M,9.70M,19.80M,12.10M,23.20M,9.50M,9.20M,6.90M,-90.80M,0.70M,9.70M,23.60M,-2.30M,25.60M,31.80M,14.20M,29.00M,23.50M,28.50M,25.60M,36.50M,18.20M,21.30M,24.30M,26.20M,22.00M,27.10M,23.90M,19.70M,19.70M,25.00M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.093M,-0.017M,-0.057M,-0.135M,-2.008M,0.258M,-0.067M,-44.16M,-17.86M,-7.251M,-54.61M,1.655M,-0.033M,-3.15M,,0.697M,0.016M,48.36M,1.443M,,,-0.675M,-0.252M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-1.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,7.00M,11.00M,5.00M,1.00M,3.00M,-9.00M,-3.00M,6.00M,0.00,-1.00M,,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-1.123M,-1.203M,-1.203M,-1.20M,-1.20M,,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,-1.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,0.006M,-0.04M,0.013M,,0.013M,0.01M,0.016M,-0.001M,0.026M,0.013M,0.026M,0.012M,0.014M,0.014M,0.014M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.10M,0.00,0.10M,0.10M,0.10M,0.00,0.10M,0.10M,0.10M,0.00,0.10M,0.10M,0.10M,0.10M,0.10M,0.30M,0.70M,0.70M,0.70M,0.70M,1.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
