Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Restricted Cash,3.00M,,,,6.00M,,,,9.00M,,,,8.00M,,,,24.00M,1.256M,1.161M,0.91M,51.00M,1.651M,2.054M,2.179M,2.046M,1.887M,1.616M,1.838M,2.805M,3.145M,3.96M,5.68M,6.522M,5.891M,5.063M,3.636M,2.399M,,1.702M,1.338M,3.695M,3.418M,8.266M,11.26M,11.07M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,21.74M,28.59M,36.99M,36.19M,41.60M,6.125M,20.36M,35.48M,41.64M,24.14M,28.60M,25.26M,24.04M,,8.364M,4.827M,4.41M,4.504M,0.329M,2.647M,6.863M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,300.00M,250.00M,247.00M,232.00M,305.00M,284.00M,288.00M,309.00M,312.00M,287.00M,277.00M,248.00M,288.00M,275.00M,272.00M,203.00M,237.00M,95.84M,115.55M,99.45M,107.00M,80.28M,341.33M,337.17M,344.51M,111.21M,133.42M,140.04M,132.44M,114.03M,148.83M,106.38M,126.59M,95.63M,99.30M,117.51M,117.12M,,41.83M,49.02M,59.92M,59.44M,63.64M,50.11M,44.52M,74.36M,61.47M,68.63M,90.47M,92.09M,92.46M,101.44M,95.52M,157.12M,197.23M,91.69M,173.10M,11.75M,9.551M,10.45M,7.109M,10.22M,17.63M,126.97M,132.80M,68.46M,76.78M,84.90M,106.96M,62.16M,63.21M,69.76M,51.42M,4.646M,3.756M,5.907M,3.076M,71.28M,60.46M,62.92M,62.00M,71.30M,58.00M,35.50M,55.50M,55.30M,36.60M,29.30M,28.80M,31.90M,32.90M,31.50M,32.90M,37.60M,36.80M,37.20M,31.50M,34.50M,35.00M,41.10M,35.60M,39.40M,40.60M,39.30M
Total Current Assets,2.025B,1.88B,1.803B,1.998B,1.963B,1.963B,1.70B,1.981B,2.26B,2.021B,1.932B,2.098B,2.252B,2.153B,2.235B,2.323B,2.474B,562.67M,666.10M,647.71M,2.202B,587.78M,891.58M,938.99M,888.00M,533.63M,545.88M,628.09M,628.68M,604.70M,558.35M,593.61M,667.23M,564.48M,523.10M,574.29M,723.83M,,231.35M,226.03M,236.69M,290.37M,267.94M,282.90M,257.24M,253.41M,228.64M,226.20M,247.90M,306.12M,275.77M,297.94M,295.43M,397.10M,414.88M,443.18M,339.80M,274.84M,247.61M,250.29M,258.08M,262.56M,305.56M,338.22M,333.43M,351.37M,323.66M,367.74M,312.16M,360.44M,325.19M,322.36M,351.97M,360.33M,305.41M,326.52M,288.31M,270.52M,209.79M,210.65M,220.10M,227.30M,192.10M,173.70M,305.20M,196.60M,171.00M,147.30M,165.00M,224.30M,150.20M,172.70M,163.40M,190.80M,188.70M,151.00M,137.30M,185.90M,195.30M,182.00M,157.30M,185.50M,177.10M,179.40M
Other Properties,328.00M,33.71B,33.14B,32.15B,226.00M,,,,169.00M,28.14B,27.72B,27.32B,335.00M,26.43B,26.19B,25.92B,857.00M,,,,705.00M,,,,636.56M,,,,605.52M,,,,481.70M,,,,401.95M,,1.444B,389.90M,215.85M,1.384B,1.372B,1.353B,346.21M,337.50M,329.10M,320.92M,314.36M,307.87M,302.52M,297.16M,290.74M,287.24M,282.29M,300.52M,272.47M,291.38M,286.95M,280.38M,274.63M,279.71M,286.03M,279.27M,272.08M,308.15M,302.03M,295.26M,256.20M,441.04M,436.09M,426.24M,420.74M,417.74M,412.06M,405.85M,466.64M,443.29M,467.63M,461.86M,532.40M,528.10M,517.90M,729.80M,714.40M,698.40M,676.60M,662.30M,645.00M,634.50M,621.60M,600.80M,585.60M,571.30M,556.80M,544.00M,532.00M,525.70M,520.20M,507.00M,493.50M,481.50M,468.40M,459.50M
Construction in Progress,2.167B,,,,1.61B,,,,1.425B,1.976B,1.871B,1.635B,1.471B,1.572B,1.365B,1.326B,1.338B,,,,1.396B,,,,321.32M,,,,311.34M,,,,367.50M,,,,242.69M,,163.18M,143.70M,124.14M,97.96M,85.04M,83.72M,86.81M,366.28M,330.04M,323.89M,278.06M,223.63M,150.35M,118.86M,99.68M,79.70M,71.41M,67.54M,65.54M,59.15M,51.28M,51.42M,52.12M,35.96M,31.74M,33.32M,36.47M,54.85M,59.19M,56.74M,49.41M,42.46M,36.77M,34.14M,32.10M,27.59M,37.49M,34.62M,30.27M,34.96M,29.13M,26.58M,25.70M,34.90M,30.50M,29.60M,33.70M,27.20M,19.50M,22.40M,25.40M,33.20M,42.60M,41.50M,41.00M,38.10M,40.80M,40.00M,41.80M,58.90M,62.50M,60.20M,57.70M,64.80M,62.50M,53.90M
Gross PP&E,34.35B,33.71B,33.14B,32.15B,31.82B,31.36B,30.87B,30.52B,30.17B,30.12B,29.60B,28.96B,28.53B,28.00B,27.55B,27.24B,27.08B,,,,22.90B,,,,4.013B,,,,3.741B,,,,3.500B,,,2.394B,3.187B,,1.607B,1.565B,1.533B,1.482B,1.457B,1.436B,1.418B,1.346B,1.299B,1.246B,1.193B,1.108B,1.020B,973.67M,937.76M,895.40M,876.35M,895.73M,854.22M,868.47M,857.49M,845.95M,838.49M,822.62M,832.92M,826.51M,820.88M,846.61M,833.93M,816.90M,777.28M,986.04M,973.83M,977.66M,946.19M,949.64M,956.79M,947.54M,1.017B,1.116B,1.125B,1.111B,1.186B,1.705B,1.686B,1.982B,1.979B,1.962B,1.953B,1.956B,1.951B,1.954B,1.954B,1.947B,1.934B,1.933B,1.923B,1.916B,1.905B,1.893B,1.893B,1.880B,1.873B,1.841B,1.827B,1.814B
Accumulated D&A,-9.059B,-8.886B,-8.692B,-8.518B,-8.359B,-8.238B,-7.951B,-7.767B,-7.497B,-7.438B,-7.305B,-7.158B,-6.986B,-6.874B,-6.722B,-6.547B,-6.372B,,,,-5.762B,,,,-944.40M,,,,-893.76M,,,,-929.40M,,,-23.64M,-859.46M,,-400.79M,-389.90M,-379.95M,-369.04M,-361.20M,-350.44M,-344.12M,-337.50M,-329.10M,-320.92M,-314.36M,-307.87M,-302.52M,-297.16M,-290.74M,-287.24M,-282.29M,-300.52M,-272.47M,-291.38M,-286.95M,-280.38M,-274.63M,-279.71M,-286.03M,-279.27M,-272.08M,-308.15M,-302.03M,-295.26M,-256.20M,-441.04M,-436.09M,-426.24M,-420.74M,-417.74M,-412.06M,-405.85M,-466.64M,-443.29M,-467.63M,-461.86M,-532.40M,-528.10M,-517.90M,-729.80M,-714.40M,-698.40M,-676.60M,-662.30M,-645.00M,-634.50M,-621.60M,-600.80M,-585.60M,-571.30M,-556.80M,-544.00M,-532.00M,-525.70M,-520.20M,-507.00M,-493.50M,-481.50M,-468.40M,-459.50M
Net PP&E,25.29B,24.82B,24.45B,23.64B,23.46B,23.12B,22.92B,22.76B,22.67B,22.68B,22.29B,21.80B,21.55B,21.12B,20.83B,20.70B,20.71B,3.485B,3.407B,3.317B,17.13B,3.185B,3.127B,3.084B,3.069B,2.931B,2.883B,2.843B,2.847B,2.714B,2.651B,2.606B,2.570B,2.499B,2.438B,2.370B,2.327B,,1.207B,1.175B,1.153B,1.113B,1.096B,1.086B,1.074B,1.009B,969.56M,924.87M,878.37M,799.87M,717.56M,676.52M,647.01M,608.16M,594.06M,595.21M,581.75M,577.10M,570.54M,565.57M,563.85M,542.91M,546.89M,547.24M,548.79M,538.46M,531.90M,521.64M,521.08M,545.00M,537.74M,551.42M,525.44M,531.90M,544.72M,541.69M,550.65M,673.00M,657.21M,648.74M,653.30M,1.177B,1.168B,1.252B,1.264B,1.263B,1.277B,1.294B,1.306B,1.320B,1.332B,1.346B,1.348B,1.361B,1.366B,1.372B,1.373B,1.368B,1.373B,1.373B,1.379B,1.360B,1.359B,1.354B
Goodwill,3.119B,3.127B,3.127B,3.127B,3.127B,3.127B,3.127B,3.127B,3.127B,3.124B,3.124B,3.124B,3.124B,3.113B,3.113B,3.113B,3.115B,266.20M,266.20M,266.20M,1.361B,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.80M,302.18M,302.18M,299.98M,298.89M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,314.00M,316.00M,318.00M,321.00M,323.00M,326.00M,327.00M,327.00M,328.00M,524.00M,531.00M,534.00M,538.00M,541.00M,547.00M,548.00M,556.00M,,,,569.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,3.433B,3.443B,3.445B,3.448B,3.45B,3.453B,3.454B,3.454B,3.455B,3.648B,3.655B,3.658B,3.662B,3.654B,3.66B,3.661B,3.671B,266.20M,266.20M,266.20M,1.93B,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.20M,266.80M,302.18M,302.18M,299.98M,298.89M,,,,0.00,,,,,,,,,,,,,,,,,76.03M,73.21M,71.37M,70.50M,69.60M,69.57M,68.64M,68.55M,78.01M,78.46M,77.68M,66.96M,76.94M,76.85M,70.20M,63.46M,61.70M,58.94M,51.78M,51.51M,,15.18M,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,708.00M,576.00M,563.00M,538.00M,424.00M,415.00M,427.00M,411.00M,415.00M,467.00M,450.00M,441.00M,442.00M,425.00M,425.00M,420.00M,449.00M,138.06M,140.26M,140.13M,353.00M,139.64M,143.18M,142.34M,144.59M,151.82M,147.12M,153.01M,148.73M,148.97M,149.71M,154.52M,153.65M,154.29M,92.86M,88.13M,85.72M,-13.17M,9.535M,10.96M,10.66M,10.33M,10.03M,9.297M,10.31M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,63.03M,62.48M,61.98M,,117.51M,116.31M,107.77M,37.15M,27.41M,1.887M,2.188M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,,,,,,,,,,,,,,,,,,1.486M,1.487M,1.489M,,,,,1.496M,1.497M,1.499M,1.50M,1.501M,1.275M,1.276M,1.277M,1.278M,1.279M,1.28M,1.281M,1.281M,,,,2.186M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,84.00M,81.00M,79.00M,69.00M,63.00M,59.00M,63.00M,63.00M,63.00M,73.00M,70.00M,76.00M,73.00M,93.00M,73.00M,77.00M,89.00M,21.13M,22.89M,19.58M,93.00M,21.94M,15.10M,30.87M,44.35M,45.76M,49.32M,64.42M,67.17M,68.79M,70.16M,68.90M,73.26M,74.36M,73.68M,43.47M,28.13M,,29.01M,27.55M,27.96M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,0.00,0.00,0.00,0.00,6.00M,44.00M,22.00M,20.00M,0.00,,,,,,,,,12.61M,12.95M,13.15M,,13.99M,14.43M,14.85M,15.52M,15.36M,15.56M,15.98M,16.62M,17.10M,17.49M,17.38M,17.63M,17.21M,17.31M,17.68M,19.24M,,6.569M,6.727M,7.063M,298.85M,302.07M,303.57M,6.644M,13.88M,13.20M,14.31M,18.78M,23.65M,16.14M,16.20M,18.72M,77.82M,75.88M,1.671M,80.16M,101.49M,103.54M,98.41M,98.12M,101.26M,92.11M,92.60M,90.28M,60.04M,57.91M,34.56M,27.03M,9.582M,12.03M,12.64M,10.26M,7.377M,6.631M,8.118M,6.704M,33.82M,8.373M,13.83M,14.80M,12.00M,10.70M,11.60M,11.10M,12.40M,13.00M,14.00M,12.30M,9.10M,8.60M,6.90M,8.10M,8.50M,8.70M,10.10M,10.00M,,,,,,,
Other Long Term Assets,311.00M,244.00M,247.00M,307.00M,162.00M,105.00M,93.00M,83.00M,71.00M,74.00M,75.00M,215.00M,241.00M,50.00M,47.00M,54.00M,35.00M,1.46M,2.867M,22.92M,52.00M,21.18M,15.90M,15.03M,11.64M,11.14M,11.87M,12.51M,28.59M,10.64M,14.89M,13.99M,11.18M,13.14M,12.19M,10.38M,9.433M,,0.383M,0.422M,,-280.23M,-283.39M,-284.72M,10.14M,12.36M,12.33M,12.52M,13.82M,14.21M,14.46M,10.58M,10.16M,23.62M,30.37M,92.61M,193.40M,97.58M,97.84M,98.96M,100.70M,102.04M,98.28M,113.33M,120.30M,102.75M,101.65M,101.83M,147.22M,881.68M,896.94M,886.01M,912.80M,124.19M,121.57M,122.57M,130.99M,,,,,0.10M,,,-0.10M,0.10M,-0.10M,0.20M,0.10M,,,,,,,-0.20M,-0.10M,0.10M,0.10M,-0.10M,,,0.10M,
Total Long Term Assets,32.39B,31.67B,31.34B,30.61B,30.20B,29.79B,29.68B,29.50B,29.41B,29.90B,29.55B,29.30B,29.06B,28.46B,28.18B,28.22B,28.27B,4.610B,4.535B,4.481B,21.96B,4.270B,4.206B,4.191B,4.256B,4.332B,4.329B,4.335B,4.390B,4.126B,4.086B,4.071B,4.077B,4.018B,3.964B,3.861B,3.758B,-13.17M,1.964B,1.937B,1.985B,1.870B,1.858B,1.837B,1.826B,1.669B,1.644B,1.594B,1.528B,1.478B,1.384B,1.352B,1.336B,1.286B,1.282B,1.281B,1.459B,1.515B,1.523B,1.520B,1.530B,1.528B,1.532B,1.555B,1.565B,1.458B,1.460B,1.438B,1.482B,1.513B,1.524B,1.520B,1.512B,1.543B,1.572B,1.576B,1.580B,1.585B,1.587B,1.574B,1.578B,1.474B,1.479B,1.613B,1.636B,1.594B,1.618B,1.646B,1.715B,1.741B,1.759B,1.783B,1.798B,1.800B,1.824B,1.838B,1.848B,1.868B,1.896B,1.904B,1.918B,1.905B,1.912B,1.915B
Total Assets,34.42B,33.55B,33.14B,32.61B,32.17B,31.76B,31.38B,31.48B,31.67B,31.92B,31.48B,31.40B,31.31B,30.61B,30.41B,30.54B,30.74B,5.172B,5.201B,5.128B,24.16B,4.858B,5.098B,5.130B,5.144B,4.866B,4.875B,4.963B,5.019B,4.730B,4.644B,4.665B,4.745B,4.582B,4.487B,4.435B,4.482B,,2.195B,2.163B,2.222B,2.160B,2.126B,2.120B,2.083B,1.923B,1.873B,1.820B,1.776B,1.784B,1.659B,1.650B,1.631B,1.683B,1.696B,1.724B,1.799B,1.790B,1.770B,1.770B,1.788B,1.791B,1.837B,1.893B,1.898B,1.810B,1.783B,1.806B,1.794B,1.874B,1.849B,1.843B,1.864B,1.903B,1.878B,1.902B,1.869B,1.856B,1.797B,1.785B,1.798B,1.701B,1.671B,1.786B,1.941B,1.791B,1.789B,1.794B,1.880B,1.966B,1.909B,1.956B,1.961B,1.991B,2.012B,1.989B,1.986B,2.054B,2.092B,2.086B,2.075B,2.091B,2.089B,2.094B
Accounts Payable,1.361B,1.06B,1.012B,1.084B,1.132B,1.008B,940.00M,928.00M,1.071B,951.00M,901.00M,902.00M,1.096B,910.00M,814.00M,724.00M,830.00M,141.84M,145.54M,167.40M,684.00M,111.48M,115.40M,151.92M,164.42M,109.67M,119.63M,147.48M,189.99M,135.22M,127.11M,141.12M,194.64M,165.95M,170.32M,161.79M,199.82M,,87.34M,69.99M,90.47M,69.48M,61.38M,73.24M,91.89M,87.26M,80.50M,88.65M,100.53M,116.78M,81.82M,84.57M,77.98M,55.28M,51.49M,74.86M,57.02M,68.48M,69.25M,63.58M,75.28M,70.69M,77.20M,64.35M,36.73M,36.65M,33.68M,35.15M,44.01M,25.99M,33.56M,30.40M,40.72M,140.80M,125.16M,135.55M,149.15M,127.98M,95.31M,95.78M,105.30M,102.40M,81.60M,25.40M,103.30M,38.80M,52.80M,42.60M,68.70M,42.90M,43.40M,48.90M,68.10M,35.70M,36.30M,28.00M,45.40M,29.90M,46.60M,41.50M,42.80M,30.80M,38.90M,37.00M
Dividends Payable,136.00M,136.00M,136.00M,137.00M,136.00M,136.00M,134.00M,134.00M,134.00M,133.00M,134.00M,134.00M,134.00M,134.00M,133.00M,134.00M,0.00,24.46M,24.46M,24.46M,,24.36M,24.36M,24.39M,24.39M,21.91M,21.90M,21.89M,21.89M,21.89M,21.91M,21.89M,21.85M,21.85M,21.85M,21.83M,21.80M,,12.99M,12.94M,12.93M,12.93M,12.92M,10.92M,10.90M,10.89M,10.88M,10.86M,10.83M,10.83M,10.82M,10.81M,,10.60M,10.55M,10.53M,10.52M,,10.50M,10.45M,10.44M,10.38M,10.34M,10.32M,10.30M,10.29M,10.29M,10.28M,10.28M,10.27M,10.26M,10.22M,10.16M,10.15M,10.15M,10.14M,10.14M,10.13M,10.14M,10.13M,10.10M,10.10M,10.10M,10.20M,10.20M,10.20M,10.10M,10.10M,10.10M,10.00M,10.20M,10.20M,10.20M,10.20M,10.20M,10.30M,10.10M,10.10M,10.10M,10.70M,10.50M,10.50M,10.50M,10.80M
Current Tax Payable,56.00M,71.00M,56.00M,68.00M,59.00M,74.00M,11.00M,59.00M,127.00M,127.00M,124.00M,142.00M,148.00M,171.00M,157.00M,163.00M,162.00M,19.86M,18.32M,26.25M,132.00M,17.63M,19.14M,29.07M,23.49M,40.80M,47.82M,62.65M,18.24M,18.56M,13.99M,21.08M,21.87M,,,1.08M,26.40M,,25.19M,28.70M,4.718M,13.51M,6.269M,9.977M,4.792M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,1.617B,1.325B,1.252B,1.324B,1.385B,1.278B,1.174B,1.217B,1.45B,1.362B,1.31B,1.315B,1.606B,1.415B,1.179B,1.098B,1.082B,186.16M,188.33M,218.11M,1.055B,153.48M,158.89M,205.38M,212.30M,172.37M,189.36M,232.01M,230.11M,175.67M,163.01M,184.10M,238.36M,187.79M,192.16M,184.70M,248.02M,,125.52M,111.63M,108.12M,95.92M,80.57M,94.14M,107.59M,98.15M,91.39M,99.51M,111.36M,127.61M,92.64M,95.37M,77.98M,65.88M,62.04M,85.39M,67.54M,68.48M,79.74M,74.03M,85.72M,81.07M,87.54M,74.68M,47.03M,46.95M,43.97M,45.43M,54.28M,36.26M,43.82M,40.62M,50.88M,150.96M,135.30M,145.69M,159.28M,138.11M,105.44M,105.91M,115.40M,112.50M,91.70M,35.60M,113.50M,49.00M,62.90M,52.70M,78.80M,52.90M,53.60M,59.10M,78.30M,45.90M,46.50M,38.30M,55.50M,40.00M,56.70M,52.20M,53.30M,41.30M,49.40M,47.80M
