Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Total Operating Expenses,1.245B,508.00M,360.00M,-78.00M,694.00M,314.00M,133.00M,517.00M,356.00M,382.00M,435.00M,942.00M,505.00M,819.00M,1.067B,960.00M,2.757B,1.678B,1.057B,957.00M,1.403B,1.206B,1.266B,1.194B,1.427B,1.283B,1.058B,1.375B,1.387B,1.275B,1.437B,2.141B,-3.716B,3.067B,3.511B,7.109B,-16.49B,7.218B,7.178B,7.182B,5.255B,4.997B,4.436B,6.525B,-319.00M,8.493B,8.891B,8.156B,9.155B,7.204B,7.317B,6.925B,8.012B,7.64B,6.996B,6.133B,6.994B,6.267B,6.188B,1.913B,1.781B,1.785B,1.684B,1.678B,1.335B,1.768B,1.697B,1.58B,2.065B,1.601B,760.00M,820.00M,3.124B,639.00M,630.00M,636.00M,842.00M,589.00M,587.00M,481.00M,456.00M,432.00M,454.00M,456.00M,474.00M,457.00M,451.00M,440.00M,428.00M,486.00M,386.00M,418.00M,487.00M,406.00M,388.00M,433.00M,391.00M,394.00M,457.00M,395.00M,380.00M,401.00M,377.00M,385.00M,465.00M,398.00M,428.00M,430.00M,400.00M,423.00M,396.00M,520.00M,798.00M,417.00M,394.00M,409.00M,389.00M,403.00M,376.00M,410.00M,647.00M,384.00M,,,,,,,,,,,,,,,,,,,,,,
Operating Income,890.00M,1.641B,2.011B,2.736B,2.012B,2.744B,2.556B,1.984B,1.371B,550.00M,474.00M,114.00M,-23.00M,-1.174B,-1.495B,-1.665B,-3.118B,-1.79B,-121.00M,-411.00M,-183.00M,2.034B,2.96B,3.307B,2.437B,2.788B,3.267B,3.463B,3.532B,3.222B,3.124B,3.244B,2.396B,3.442B,4.506B,5.117B,-3.466B,4.693B,7.154B,3.664B,2.589B,2.307B,1.483B,2.409B,-1.243B,9.946B,10.14B,7.885B,7.836B,7.029B,8.444B,4.926B,6.657B,8.557B,9.204B,6.012B,6.808B,6.762B,5.635B,9.31B,4.084B,3.374B,7.836B,6.996B,15.63B,2.594B,5.519B,6.03B,7.781B,463.00M,1.602B,941.00M,433.00M,803.00M,1.793B,1.122B,3.298B,1.157B,1.021B,634.00M,608.00M,511.00M,321.00M,179.00M,-10.00M,178.00M,366.00M,511.00M,562.00M,532.00M,536.00M,567.00M,474.00M,502.00M,512.00M,377.00M,308.00M,362.00M,332.00M,359.00M,300.00M,284.00M,238.00M,292.00M,90.00M,200.00M,303.00M,255.00M,309.00M,181.00M,326.00M,73.00M,-118.00M,214.00M,258.00M,554.00M,635.00M,452.00M,397.00M,323.00M,-38.00M,344.00M,3.299B,3.102B,-6.827B,2.85B,2.881B,2.90B,-7.143B,2.764B,2.609B,2.491B,-6.865B,2.19B,2.339B,3.113B,-9.442B,3.988B,3.959B,3.988B,-9.724B,3.87B,4.054B,3.96B
Non-Operating Interest Expense,196.00M,184.00M,165.00M,233.00M,188.00M,186.00M,177.00M,184.00M,226.00M,251.00M,306.00M,315.00M,317.00M,335.00M,312.00M,281.00M,268.00M,240.00M,210.00M,202.00M,173.00M,149.00M,155.00M,171.00M,192.00M,151.00M,139.00M,130.00M,161.00M,161.00M,197.00M,190.00M,225.00M,230.00M,242.00M,262.00M,253.00M,264.00M,349.00M,301.00M,375.00M,336.00M,268.00M,310.00M,,,210.00M,207.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-30.00M,-184.00M,-165.00M,-233.00M,-91.00M,-186.00M,-177.00M,-184.00M,-114.00M,-251.00M,-306.00M,-315.00M,-260.00M,-335.00M,-312.00M,-281.00M,-223.00M,-240.00M,-210.00M,-202.00M,-90.00M,-149.00M,-155.00M,-171.00M,-79.00M,-151.00M,-139.00M,-130.00M,2.00M,-161.00M,-197.00M,-190.00M,-55.00M,-230.00M,-242.00M,-262.00M,-118.00M,-264.00M,-349.00M,-301.00M,-148.00M,-336.00M,-268.00M,-310.00M,,,-210.00M,-207.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,426.00M,2.036B,212.00M,184.00M,751.00M,348.00M,240.00M,-24.00M,68.00M,354.00M,-4.529B,-31.00M,275.00M,-145.00M,163.00M,-278.00M,-1.71B,289.00M,240.00M,257.00M,-48.00M,668.00M,655.00M,562.00M,200.00M,1.768B,568.00M,454.00M,88.00M,530.00M,1.018B,1.211B,195.00M,393.00M,250.00M,941.00M,6.001B,845.00M,-611.00M,627.00M,298.00M,942.00M,723.00M,-107.00M,-32.99B,933.00M,-115.00M,-110.00M,1.102B,1.353B,-7.328B,1.39B,156.00M,877.00M,1.063B,879.00M,781.00M,788.00M,685.00M,1.198B,0.00,395.00M,310.00M,322.00M,198.00M,279.00M,8.00M,33.00M,31.00M,152.00M,35.00M,43.00M,-13.00M,9.00M,61.00M,29.00M,216.00M,-87.00M,82.00M,15.00M,31.00M,4.00M,-43.00M,118.00M,-648.00M,23.00M,36.00M,161.00M,-107.00M,61.00M,206.00M,50.00M,-14.00M,45.00M,38.00M,1.149B,25.00M,46.00M,45.00M,37.00M,51.00M,32.00M,33.00M,80.00M,,,,,,,,,,,,,,,,,,31.00M,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-30.00M,-184.00M,-165.00M,-233.00M,-91.00M,-186.00M,-177.00M,-184.00M,-114.00M,-251.00M,-306.00M,-315.00M,-260.00M,-335.00M,-312.00M,-281.00M,-223.00M,-240.00M,-210.00M,-202.00M,-90.00M,-149.00M,-155.00M,-171.00M,-79.00M,-151.00M,-139.00M,-130.00M,2.00M,-161.00M,-197.00M,-190.00M,-55.00M,-230.00M,-242.00M,-262.00M,-118.00M,-264.00M,-349.00M,-301.00M,-148.00M,-336.00M,-268.00M,-310.00M,,,-210.00M,-207.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,1.286B,3.493B,2.058B,2.687B,2.672B,2.906B,2.619B,1.776B,1.325B,653.00M,-4.361B,-232.00M,-8.00M,-1.654B,-1.644B,-2.224B,-5.051B,-1.741B,-91.00M,-356.00M,-321.00M,2.553B,3.46B,3.698B,2.558B,4.405B,3.696B,3.787B,3.622B,3.591B,3.945B,4.265B,2.536B,3.605B,4.514B,5.796B,2.417B,5.274B,6.194B,3.99B,2.739B,2.913B,1.938B,1.992B,-29.67B,9.467B,9.812B,7.568B,7.324B,6.364B,3.518B,6.066B,5.917B,7.937B,8.682B,5.797B,6.621B,6.554B,5.432B,4.94B,4.275B,3.66B,3.47B,2.964B,1.678B,2.31B,1.781B,2.569B,1.121B,312.00M,657.00M,51.00M,312.00M,713.00M,1.207B,1.018B,1.38B,938.00M,888.00M,542.00M,488.00M,414.00M,184.00M,99.00M,-458.00M,108.00M,319.00M,452.00M,399.00M,466.00M,542.00M,493.00M,413.00M,435.00M,443.00M,881.00M,234.00M,291.00M,256.00M,283.00M,229.00M,234.00M,161.00M,228.00M,9.00M,122.00M,224.00M,183.00M,213.00M,89.00M,242.00M,-33.00M,-241.00M,106.00M,155.00M,431.00M,485.00M,316.00M,233.00M,153.00M,-304.00M,219.00M,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,543.00M,422.00M,461.00M,841.00M,794.00M,1.033B,965.00M,876.00M,-273.00M,217.00M,-935.00M,-831.00M,11.00M,-628.00M,-586.00M,-768.00M,-1.614B,-685.00M,73.00M,-642.00M,-297.00M,904.00M,1.395B,1.581B,1.05B,1.966B,1.63B,1.763B,1.78B,1.851B,2.225B,2.086B,1.46B,2.11B,2.214B,2.754B,1.476B,2.205B,2.011B,1.878B,1.425B,1.426B,1.063B,1.176B,1.374B,4.279B,4.356B,3.41B,2.953B,2.691B,3.217B,2.52B,2.72B,4.061B,3.496B,2.506B,2.839B,2.75B,2.301B,2.017B,1.795B,1.649B,1.457B,1.361B,692.00M,1.061B,685.00M,1.306B,563.00M,386.00M,345.00M,149.00M,184.00M,344.00M,588.00M,528.00M,650.00M,512.00M,446.00M,292.00M,238.00M,193.00M,116.00M,29.00M,-248.00M,62.00M,161.00M,209.00M,190.00M,250.00M,235.00M,266.00M,213.00M,248.00M,222.00M,186.00M,125.00M,155.00M,143.00M,172.00M,67.00M,115.00M,85.00M,101.00M,-11.00M,81.00M,101.00M,122.00M,58.00M,-10.00M,138.00M,55.00M,-64.00M,50.00M,122.00M,245.00M,248.00M,138.00M,128.00M,132.00M,-49.00M,132.00M,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,743.00M,3.071B,1.597B,1.846B,1.878B,1.873B,1.654B,900.00M,1.598B,436.00M,-3.426B,599.00M,-19.00M,-1.026B,-1.058B,-1.456B,-3.437B,-1.056B,-164.00M,286.00M,-24.00M,1.649B,2.065B,2.117B,1.508B,2.439B,2.066B,2.024B,1.842B,1.74B,1.72B,2.179B,1.076B,1.495B,2.30B,3.042B,941.00M,3.069B,4.183B,2.112B,1.314B,1.487B,875.00M,816.00M,-31.04B,5.188B,5.456B,4.158B,4.371B,3.673B,301.00M,3.546B,3.197B,3.876B,5.186B,3.291B,3.782B,3.804B,3.131B,2.923B,2.48B,2.011B,2.013B,1.603B,986.00M,1.249B,1.096B,1.263B,558.00M,-74.00M,312.00M,-98.00M,128.00M,369.00M,619.00M,490.00M,730.00M,426.00M,442.00M,250.00M,250.00M,221.00M,68.00M,70.00M,-210.00M,46.00M,158.00M,243.00M,209.00M,216.00M,307.00M,227.00M,200.00M,187.00M,221.00M,695.00M,109.00M,136.00M,113.00M,111.00M,162.00M,119.00M,76.00M,127.00M,20.00M,41.00M,123.00M,61.00M,155.00M,99.00M,104.00M,-88.00M,-177.00M,56.00M,33.00M,186.00M,237.00M,178.00M,105.00M,21.00M,-255.00M,87.00M,197.00M,190.00M,135.00M,215.00M,170.00M,130.00M,33.00M,31.00M,3.00M,-32.00M,17.00M,113.00M,8.00M,96.00M,344.00M,36.00M,110.00M,106.00M,169.00M,217.00M,231.00M,193.00M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,0.00,1.078B,33.00M,20.00M,995.00M,57.00M,-3.00M,129.00M,-401.00M,73.00M,569.00M,776.00M,2.334B,1.136B,1.119B,,,,,,,,,,,,,,,,,,,,,,-15.00M,-4.00M,7.00M,-11.00M,-48.00M,-5.00M,62.00M,13.00M,36.00M,57.00M,91.00M,53.00M,-986.00M,-42.00M,39.00M,-4.00M,24.00M,5.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00M,,,-95.00M,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,137.00M,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,-23.00M,-15.00M,-17.00M,-13.00M,-10.00M,-12.00M,-14.00M,-12.00M,-19.00M,-16.00M,-14.00M,-13.00M,-16.00M,-14.00M,-13.00M,-13.00M,-13.00M,-15.00M,-15.00M,-14.00M,-15.00M,-23.00M,-17.00M,-14.00M,-16.00M,-16.00M,-13.00M,-14.00M,-15.00M,-15.00M,-22.00M,-18.00M,-20.00M,-15.00M,-17.00M,-14.00M,-12.00M,-14.00M,-19.00M,-14.00M,-29.00M,-17.00M,-16.00M,-16.00M,-19.00M,-15.00M,-17.00M,-19.00M,-22.00M,-25.00M,-19.00M,-21.00M,-16.00M,-21.00M,-21.00M,-18.00M,-12.00M,-6.00M,-5.00M,-10.00M,-3.00M,-8.00M,-7.00M,-14.00M,,,-6.00M,-7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
