Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Inventories,1.026B,955.00M,1.089B,1.014B,1.007B,1.239B,1.093B,1.053B,1.06B,1.023B,1.019B,1.097B,1.018B,1.108B,1.15B,1.072B,1.124B,1.143B,1.277B,1.233B,1.331B,1.33B,1.291B,1.221B,1.194B,1.268B,1.134B,1.133B,965.00M,1.176B,1.178B,6.072B,4.631B,7.164B,6.986B,7.944B,5.197B,7.741B,7.119B,7.30B,4.94B,6.268B,6.181B,6.48B,5.095B,6.741B,6.757B,6.995B,4.223B,5.312B,5.245B,5.685B,5.153B,6.198B,6.435B,5.507B,3.724B,4.838B,4.87B,4.542B,3.666B,4.334B,4.665B,4.36B,3.957B,4.074B,4.163B,3.988B,3.845B,4.363B,2.58B,2.519B,2.452B,2.617B,533.00M,530.00M,357.00M,439.00M,752.00M,570.00M,515.00M,575.00M,546.00M,539.00M,540.00M,599.00M,611.00M,527.00M,500.00M,565.00M,521.00M,452.00M,472.00M,504.00M,523.00M,472.00M,505.00M,585.00M,560.00M,537.00M,527.00M,541.00M,532.00M,503.00M,538.00M,626.00M,655.00M,640.00M,664.00M,654.00M,686.00M,688.00M,686.00M,724.00M,705.00M,665.00M,704.00M,694.00M,630.00M,647.00M,584.00M,622.00M,562.00M,543.00M,507.00M,642.00M,874.00M
Prepaid Expenses,2.259B,594.00M,2.552B,528.00M,575.00M,2.308B,580.00M,894.00M,1.035B,876.00M,3.897B,2.911B,517.00M,889.00M,641.00M,735.00M,783.00M,1.644B,1.675B,1.564B,1.868B,1.688B,2.911B,2.798B,2.824B,9.001B,9.064B,8.759B,9.476B,1.686B,1.971B,3.246B,2.70B,2.785B,2.747B,2.858B,2.141B,3.246B,2.23B,2.808B,2.47B,2.814B,3.508B,2.602B,2.998B,3.483B,5.51B,3.039B,2.702B,3.17B,3.435B,4.296B,4.99B,4.661B,2.106B,1.665B,1.734B,2.413B,1.159B,1.128B,986.00M,1.094B,867.00M,733.00M,876.00M,593.00M,657.00M,664.00M,766.00M,871.00M,299.00M,210.00M,293.00M,319.00M,215.00M,166.00M,130.00M,165.00M,234.00M,171.00M,169.00M,103.00M,136.00M,255.00M,224.00M,129.00M,131.00M,157.00M,100.00M,121.00M,221.00M,137.00M,114.00M,80.00M,73.00M,84.00M,86.00M,73.00M,101.00M,98.00M,97.00M,77.00M,96.00M,113.00M,118.00M,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,748.00M,2.468B,5.00B,6.05B,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.00M,34.00M,,85.00M,159.00M,160.00M,191.00M,195.00M,123.00M,129.00M,143.00M,173.00M,159.00M,198.00M,217.00M,136.00M,129.00M,135.00M,168.00M,121.00M,112.00M,107.00M,117.00M,133.00M,119.00M,109.00M,229.00M,203.00M,204.00M,191.00M,186.00M,174.00M,165.00M,166.00M,170.00M,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.00M,167.00M,176.00M,194.00M,329.00M,369.00M,776.00M,864.00M,1.94B,1.562B,1.629B,1.605B,781.00M,,,2.382B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.00M,271.00M,317.00M,286.00M,289.00M,394.00M,455.00M,401.00M,349.00M,364.00M,364.00M,353.00M,364.00M,398.00M,368.00M,233.00M,166.00M,160.00M,67.00M,106.00M,181.00M,163.00M
Total Current Assets,16.91B,15.22B,15.80B,13.68B,13.27B,14.72B,11.61B,13.19B,16.51B,16.95B,19.88B,10.73B,8.609B,9.641B,9.259B,10.93B,8.789B,9.664B,11.94B,10.84B,15.07B,16.25B,18.84B,20.40B,19.02B,22.56B,22.60B,24.24B,23.99B,15.78B,16.91B,37.07B,30.22B,32.39B,34.68B,35.61B,34.66B,35.32B,26.67B,23.59B,21.17B,22.25B,23.07B,20.20B,20.84B,28.33B,33.52B,28.61B,24.74B,23.64B,24.38B,24.74B,25.07B,24.60B,21.74B,22.94B,19.61B,20.60B,16.75B,18.08B,15.02B,15.99B,13.78B,12.92B,11.19B,11.76B,11.58B,12.68B,10.90B,10.67B,5.059B,4.629B,6.498B,4.788B,2.202B,2.315B,2.606B,2.454B,3.191B,2.638B,2.773B,2.779B,2.495B,2.556B,2.36B,2.365B,2.428B,2.575B,2.648B,3.486B,3.39B,3.29B,3.306B,2.764B,2.755B,2.452B,2.409B,2.422B,2.554B,2.439B,2.465B,2.298B,2.342B,2.256B,2.343B,2.351B,2.412B,2.317B,2.349B,2.392B,2.525B,2.387B,2.459B,2.827B,2.799B,3.081B,3.322B,3.729B,3.331B,3.23B,2.876B,2.846B,3.062B,2.885B,2.80B,3.144B,4.611B
Other Properties,97.75B,,,,110.60B,,,,110.43B,,,,131.41B,,,,136.86B,,,,146.23B,,,,138.15B,,,,126.18B,,,25.29B,149.21B,147.00B,27.00B,147.28B,143.10B,,,2.796B,,2.775B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,97.75B,103.83B,104.38B,112.91B,110.60B,111.40B,114.48B,112.71B,110.43B,110.78B,108.86B,120.84B,131.41B,134.63B,137.93B,139.52B,136.86B,146.25B,148.24B,144.48B,146.23B,145.91B,144.94B,140.92B,138.15B,134.53B,130.26B,127.41B,126.18B,133.50B,128.45B,151.25B,149.21B,147.14B,150.22B,147.41B,143.22B,140.57B,138.32B,141.37B,141.24B,138.20B,134.25B,128.35B,126.44B,130.82B,126.35B,127.79B,125.36B,121.68B,116.71B,111.75B,113.27B,112.12B,113.22B,108.94B,76.33B,73.18B,71.44B,70.05B,69.15B,65.87B,59.37B,59.23B,58.96B,60.40B,58.92B,56.67B,54.56B,54.19B,35.58B,35.50B,33.09B,33.61B,25.06B,24.88B,24.38B,24.43B,26.14B,20.41B,22.73B,22.76B,23.19B,22.87B,22.87B,22.86B,22.07B,21.74B,21.43B,20.84B,20.32B,20.28B,20.10B,19.85B,19.57B,19.27B,19.09B,18.95B,18.89B,18.66B,18.29B,18.24B,18.27B,18.02B,18.04B,18.64B,18.70B,18.70B,18.58B,18.94B,18.80B,9.393B,18.48B,18.24B,18.06B,17.76B,17.57B,17.39B,17.16B,16.89B,16.63B,16.70B,16.56B,16.48B,15.82B,16.69B,17.28B
Accumulated D&A,-55.48B,-60.01B,-60.04B,-66.97B,-64.90B,-66.66B,-68.17B,-66.71B,-64.75B,-64.12B,-62.02B,-66.40B,-73.08B,-72.98B,-74.24B,-73.52B,-70.41B,-74.42B,-73.85B,-70.26B,-70.79B,-70.12B,-69.51B,-66.89B,-65.32B,-63.40B,-60.82B,-59.52B,-58.92B,-59.89B,-57.22B,-65.69B,-65.03B,-64.04B,-65.96B,-63.64B,-60.67B,-59.11B,-57.05B,-54.74B,-53.53B,-51.06B,-48.01B,-44.30B,-42.50B,-41.56B,-36.36B,-38.59B,-36.36B,-34.27B,-31.42B,-27.85B,-27.07B,-26.00B,-25.30B,-22.98B,-21.66B,-20.70B,-19.71B,-19.00B,-18.25B,-17.17B,-11.53B,-11.53B,-11.53B,-14.12B,-13.66B,-12.38B,-11.53B,-10.81B,-11.18B,-11.63B,-10.96B,-10.17B,-9.932B,-9.78B,-9.599B,-9.386B,-10.50B,-10.42B,-11.64B,-11.66B,-12.23B,-12.26B,-12.28B,-12.00B,-11.76B,-11.57B,-11.40B,-11.29B,-11.04B,-11.05B,-10.98B,-11.00B,-10.84B,-10.73B,-10.60B,-10.67B,-10.71B,-10.49B,-10.25B,-10.39B,-10.27B,-10.13B,-10.08B,-10.32B,-10.32B,-10.22B,-10.09B,-10.41B,-10.41B,-1.033B,-10.19B,-9.67B,-9.538B,-9.381B,-9.272B,-9.241B,-9.111B,-8.938B,-8.795B,-8.476B,-8.148B,-7.703B,-6.686B,-6.408B,-5.503B
Net PP&E,42.27B,43.81B,44.33B,45.94B,45.70B,44.74B,46.31B,46.00B,45.68B,46.67B,46.85B,54.44B,58.33B,61.65B,63.68B,66.00B,66.45B,71.83B,74.39B,74.22B,75.44B,75.79B,75.42B,74.02B,72.83B,71.13B,69.44B,67.89B,67.26B,73.61B,71.23B,85.56B,84.18B,83.09B,84.27B,83.76B,82.55B,81.46B,81.27B,86.62B,87.71B,87.14B,86.25B,84.06B,83.95B,89.26B,89.99B,89.21B,89.00B,87.41B,85.30B,83.90B,86.20B,86.13B,87.92B,85.96B,54.67B,52.48B,51.73B,51.05B,50.90B,48.70B,47.84B,47.70B,47.43B,46.28B,45.26B,44.28B,43.03B,43.38B,24.40B,23.87B,22.13B,23.44B,15.12B,15.10B,14.78B,15.04B,15.65B,9.995B,11.09B,11.10B,10.96B,10.61B,10.58B,10.86B,10.31B,10.17B,10.02B,9.548B,9.279B,9.232B,9.12B,8.849B,8.726B,8.539B,8.493B,8.281B,8.176B,8.177B,8.042B,7.852B,7.997B,7.888B,7.961B,8.314B,8.37B,8.475B,8.489B,8.532B,8.393B,8.36B,8.298B,8.57B,8.517B,8.38B,8.301B,8.152B,8.054B,7.951B,7.832B,8.228B,8.417B,8.772B,9.139B,10.28B,11.77B
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,3.33B,3.332B,3.606B,3.606B,3.63B,3.633B,3.637B,3.638B,3.635B,3.638B,3.715B,3.715B,3.777B,3.778B,29.22B,29.23B,29.35B,29.34B,29.37B,29.60B,31.53B,31.49B,31.93B,32.12B,32.23B,,,,,,,,,,,,,,,,,,2.366B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00M,11.00M,742.00M,745.00M,764.00M,792.00M,797.00M,801.00M,806.00M,808.00M,815.00M,823.00M,831.00M,835.00M,837.00M,846.00M,861.00M,873.00M,884.00M,896.00M,899.00M,907.00M,919.00M,951.00M,1.093B,1.175B,1.125B,16.44B,15.97B,15.99B,15.98B,16.09B,16.18B,16.19B,16.20B,16.17B,16.28B,16.32B,15.73B,15.56B,16.27B,3.63B,3.66B,3.142B,1.313B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00M,11.00M,4.072B,4.077B,4.37B,4.398B,4.427B,4.434B,4.443B,4.446B,4.45B,4.461B,4.546B,4.55B,4.614B,4.624B,30.08B,30.10B,30.24B,30.23B,30.27B,30.50B,32.45B,32.44B,33.02B,33.30B,33.36B,16.44B,15.97B,15.99B,15.98B,16.09B,16.18B,16.19B,16.20B,16.17B,16.28B,16.32B,15.73B,15.56B,16.27B,3.63B,3.66B,3.142B,3.679B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,8.444B,8.916B,8.748B,9.302B,9.091B,9.553B,9.435B,9.572B,9.224B,9.696B,9.681B,21.15B,20.46B,21.28B,21.38B,21.17B,20.49B,22.81B,23.90B,23.22B,24.34B,24.62B,24.94B,23.26B,23.91B,23.79B,22.58B,23.32B,23.49B,23.50B,23.37B,33.57B,32.11B,32.15B,34.02B,32.79B,31.58B,31.18B,35.96B,36.76B,35.74B,35.66B,33.55B,31.72B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Notes Receivable,219.00M,219.00M,268.00M,268.00M,335.00M,335.00M,399.00M,399.00M,461.00M,461.00M,522.00M,522.00M,581.00M,581.00M,639.00M,639.00M,696.00M,696.00M,750.00M,750.00M,804.00M,1.202B,1.272B,1.289B,1.357B,1.374B,1.44B,1.455B,1.517B,1.564B,1.597B,,1.675B,,,,2.18B,2.175B,2.394B,2.56B,2.352B,2.186B,2.038B,1.995B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,243.00M,,,,238.00M,,,,375.00M,,,,631.00M,,,,,,,,,,,,,,,,,,,1.615B,,,1.736B,2.138B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00M,15.00M,,7.00M,7.00M,5.00M,,2.00M,75.00M,83.00M,83.00M,80.00M,83.00M,103.00M,100.00M,90.00M,88.00M,85.00M,82.00M,81.00M,77.00M,79.00M,85.00M,88.00M,100.00M,110.00M,121.00M,123.00M,115.00M,128.00M,122.00M,92.00M,92.00M,94.00M,98.00M,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,2.426B,2.174B,2.111B,2.303B,1.344B,1.209B,1.188B,1.572B,1.107B,1.081B,1.076B,1.13B,1.16B,1.13B,1.086B,1.094B,1.063B,955.00M,1.02B,1.008B,888.00M,1.126B,1.173B,1.05B,943.00M,908.00M,891.00M,885.00M,886.00M,902.00M,889.00M,995.00M,972.00M,2.686B,968.00M,909.00M,905.00M,756.00M,724.00M,820.00M,708.00M,642.00M,614.00M,659.00M,33.45B,36.94B,36.55B,35.22B,33.79B,32.11B,30.69B,32.11B,21.08B,19.97B,18.96B,17.40B,16.28B,15.32B,13.00B,11.78B,10.85B,7.944B,7.721B,7.608B,7.666B,7.631B,7.565B,7.418B,7.34B,7.168B,3.727B,3.499B,3.444B,3.433B,3.421B,3.238B,3.119B,3.084B,1.35B,2.346B,1.259B,1.231B,1.223B,1.191B,1.171B,1.152B,1.128B,1.131B,1.108B,1.101B,1.077B,1.056B,1.037B,1.228B,1.185B,1.135B,955.00M,913.00M,890.00M,818.00M,807.00M,800.00M,676.00M,705.00M,633.00M,610.00M,606.00M,622.00M,630.00M,739.00M,744.00M,727.00M,716.00M,673.00M,624.00M,578.00M,507.00M,475.00M,460.00M,463.00M,548.00M,604.00M,489.00M,454.00M,460.00M,620.00M,581.00M
Total Long Term Assets,53.60B,55.12B,55.46B,57.82B,56.71B,55.83B,57.33B,57.54B,56.85B,57.91B,58.12B,77.24B,81.16B,84.64B,86.80B,88.90B,88.70B,96.28B,100.06B,99.20B,101.47B,102.73B,102.81B,99.62B,99.03B,97.20B,94.34B,93.54B,93.16B,99.59B,97.10B,125.82B,123.01B,122.30B,125.39B,124.03B,121.65B,120.02B,124.79B,131.22B,130.97B,130.17B,127.00B,123.05B,122.02B,156.28B,156.64B,154.67B,153.02B,149.79B,146.49B,148.47B,139.72B,139.12B,140.18B,136.72B,87.39B,83.77B,80.72B,78.81B,77.84B,72.82B,71.76B,71.51B,71.26B,70.19B,69.15B,67.43B,65.93B,66.82B,31.76B,31.04B,28.72B,30.56B,18.55B,18.34B,17.90B,18.13B,17.07B,12.42B,12.43B,12.41B,12.27B,11.90B,11.86B,12.10B,11.52B,11.39B,11.21B,10.73B,10.43B,10.37B,10.24B,10.16B,10.01B,9.784B,9.569B,9.317B,9.181B,9.123B,8.971B,8.744B,8.765B,8.687B,8.692B,8.924B,8.976B,9.097B,9.119B,9.271B,9.137B,9.087B,9.014B,9.243B,9.141B,8.958B,8.808B,8.627B,8.514B,8.414B,8.38B,8.832B,8.906B,9.226B,9.599B,10.90B,12.35B
