Asset Impairment Charge,,,,,,,,,414.26M,0.00,68.56M,,435.62M,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,5.114M,35.79M,,,17.62M,-16.04M,6.73M,9.307M,77.21M,-10.67M,10.67M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95M,0.064M,0.886M,,0.162M,0.193M,-0.355M,,1.954M,,0.941M,-0.941M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,6.289M,1.662M,6.584M,14.47M,14.97M,6.108M,5.18M,5.184M,7.408M,7.813M,9.915M,8.283M,2.931M,5.088M,7.357M,10.61M,2.023M,-2.913M,8.624M,5.911M,8.125M,4.615M,5.66M,3.029M,10.28M,9.329M,9.70M,17.66M,9.354M,10.53M,28.46M,-1.47M,10.51M,15.50M,14.32M,12.61M,16.91M,6.667M,2.009M,4.21M,6.03M,6.381M,7.313M,6.20M,15.62M,-19.83M,19.83M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess Tax Benefit from Stock Compensation,,,,,,,,,,,,,,,,,,5.486M,-2.049M,-3.437M,7.376M,14.35M,-4.311M,-16.04M,-9.629M,-1.936M,-5.21M,-2.138M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,26.49M,47.31M,16.78M,54.08M,21.15M,6.429M,58.16M,-25.00M,6.642M,5.101M,2.40M,2.507M,6.411M,-6.905M,12.82M,1.191M,64.79M,46.16M,52.13M,39.11M,59.73M,45.50M,-14.02M,3.166M,0.927M,0.926M,1.085M,1.563M,2.847M,2.159M,13.15M,1.113M,4.507M,-16.22M,17.20M,12.87M,4.565M,2.047M,7.839M,0.587M,50.37M,1.233M,-15.38M,14.57M,-0.002M,-72.31M,81.22M,22.29M,5.59M,12.38M,14.90M,7.021M,13.13M,15.28M,7.866M,,,,,,,,,,,,,,,,-1.364M,1.364M,,,,,,,,,-0.20M,0.10M,,,0.30M,-0.20M,-0.10M,0.10M,0.10M,-0.20M,0.20M,-0.10M,0.20M,-0.10M,0.00,-0.10M,,0.10M,-0.10M,,0.00,0.10M,0.30M,-0.30M,,,,,-0.10M,0.20M,-0.30M,,0.30M,0.20M,-0.20M,,
Change in Receivables,-46.55M,12.97M,24.99M,148.46M,-184.74M,-72.84M,25.48M,25.57M,-84.02M,5.064M,-1.249M,8.796M,-64.66M,-15.00M,-16.96M,19.59M,9.141M,4.841M,39.12M,58.59M,-52.96M,20.75M,26.54M,-40.31M,-10.44M,27.56M,-41.63M,4.106M,-65.93M,-19.04M,8.541M,21.45M,-40.11M,15.70M,-26.73M,3.902M,15.90M,3.642M,19.50M,-18.30M,-9.915M,-16.45M,20.70M,34.40M,38.81M,46.10M,-28.60M,-25.72M,-12.64M,7.724M,-10.71M,36.94M,-35.82M,-4.606M,14.72M,53.98M,-36.41M,-38.42M,5.249M,27.09M,-52.14M,14.80M,-16.72M,14.65M,-8.757M,6.49M,23.31M,-38.44M,-21.35M,4.034M,-1.08M,-0.924M,8.02M,-3.09M,15.50M,14.53M,-23.51M,-3.998M,-8.811M,1.035M,1.00M,-7.90M,3.70M,8.60M,-9.90M,-2.50M,3.60M,12.70M,-22.80M,-2.70M,5.40M,28.20M,-32.80M,1.00M,17.80M,-11.80M,-14.80M,4.20M,0.70M,6.10M,-13.60M,1.20M,9.10M,0.40M,-9.20M,0.70M,3.30M,4.40M,-14.40M,-2.50M,0.30M,7.80M,-12.30M,1.70M,13.00M,-1.10M,-7.60M
Change in Inventories,4.263M,1.186M,-1.104M,-7.201M,1.399M,7.051M,-8.068M,-4.309M,3.434M,-2.096M,-1.213M,1.209M,0.184M,1.498M,0.261M,1.101M,1.233M,2.141M,-6.336M,-0.061M,-0.296M,-1.817M,-1.522M,7.076M,3.632M,-2.562M,-6.999M,2.896M,3.522M,-5.711M,0.245M,9.048M,6.337M,-4.252M,-3.238M,8.861M,2.676M,-8.809M,-5.863M,10.32M,8.779M,-7.255M,-1.896M,18.06M,6.475M,-32.45M,-7.198M,14.85M,8.849M,-13.08M,-7.709M,17.59M,8.123M,-15.16M,-12.17M,10.83M,10.86M,-11.65M,-10.73M,10.96M,1.017M,-15.55M,1.472M,7.25M,3.619M,-11.90M,-0.304M,5.596M,4.207M,-4.308M,-3.086M,5.495M,2.706M,-6.072M,-6.618M,3.461M,3.565M,-6.29M,-3.385M,6.002M,0.50M,-3.20M,-0.20M,1.30M,0.80M,-1.30M,-2.50M,0.60M,2.20M,-3.40M,-0.50M,3.60M,1.50M,-5.40M,-0.80M,1.50M,1.50M,-1.80M,-1.80M,4.90M,0.10M,-2.40M,-3.30M,2.90M,2.60M,-4.40M,-1.20M,3.10M,0.60M,-3.20M,-1.20M,2.60M,1.20M,-2.50M,-1.10M,1.50M,
Change in Payables and Accrued Expense,25.90M,-20.16M,4.738M,-40.82M,9.273M,6.765M,36.44M,-29.49M,17.82M,-15.80M,10.59M,-15.24M,38.08M,-10.52M,6.998M,-26.27M,27.76M,-18.41M,-35.39M,-29.63M,12.60M,29.37M,-23.00M,-16.09M,-3.071M,-29.50M,37.55M,-27.88M,35.23M,12.28M,9.474M,-38.15M,18.49M,13.09M,-13.41M,-9.615M,12.76M,-8.315M,6.976M,-12.91M,22.25M,-10.64M,4.798M,-43.25M,-4.153M,-8.431M,16.50M,2.981M,34.62M,-24.54M,19.52M,-28.55M,4.443M,-13.12M,6.641M,-27.66M,21.34M,9.652M,9.112M,-13.96M,12.08M,1.602M,-0.614M,4.187M,-22.85M,4.783M,2.122M,22.99M,12.75M,-20.53M,21.22M,-6.10M,-11.44M,-5.208M,-4.325M,13.11M,15.18M,3.399M,7.957M,0.443M,-3.10M,12.20M,0.90M,-15.50M,13.40M,3.20M,-1.60M,-4.70M,-1.50M,12.10M,-4.20M,-16.90M,22.70M,0.20M,-14.80M,3.10M,16.10M,-5.60M,5.90M,-10.60M,14.20M,-6.40M,2.80M,5.60M,3.90M,2.90M,4.60M,-5.80M,0.30M,-1.20M,3.10M,-5.50M,2.20M,-0.70M,5.60M,-5.30M,-2.30M
Change in Other Current Assets,1.518M,0.925M,-3.382M,1.119M,0.83M,1.20M,-2.119M,1.023M,0.792M,0.88M,-2.946M,1.17M,0.896M,0.941M,-3.158M,1.30M,1.289M,0.847M,-2.761M,-0.192M,0.88M,-0.162M,-1.155M,1.17M,1.119M,1.186M,-3.716M,0.983M,-0.073M,2.566M,-4.209M,0.518M,1.975M,0.376M,-2.222M,1.014M,0.605M,2.009M,-1.603M,2.664M,0.668M,2.50M,-2.266M,2.201M,3.396M,-3.269M,9.83M,0.859M,-12.03M,0.769M,-3.164M,-0.481M,4.454M,2.208M,-6.568M,0.913M,0.224M,3.822M,-2.96M,0.102M,11.36M,-7.091M,-3.129M,2.112M,-5.287M,1.64M,-4.576M,-0.822M,3.659M,-1.572M,0.724M,-3.142M,2.854M,-6.576M,-2.22M,1.903M,-1.542M,-0.017M,-1.902M,1.452M,-0.30M,1.40M,-1.10M,0.80M,-0.30M,-0.60M,-2.00M,,-0.80M,-0.20M,-0.60M,0.40M,0.40M,0.10M,-0.70M,0.50M,0.00,-0.60M,-0.20M,0.70M,-2.40M,0.00,0.10M,,2.20M,-1.20M,-1.40M,0.20M,0.40M,0.40M,-0.70M,0.20M,1.60M,0.50M,-1.80M,-0.10M,-1.20M
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.918M,-1.918M,-4.577M,4.577M,-9.645M,-2.353M,-0.246M,10.96M,-76.88M,95.28M,,,-0.009M,2.599M,-0.116M,1.182M,-1.724M,0.276M,4.391M,-2.966M,-3.085M,0.943M,-2.804M,2.607M,-1.427M,2.159M,-5.129M,-0.175M,-0.407M,4.368M,-1.598M,1.02M,0.982M,0.144M,0.509M,1.178M,0.60M,0.90M,-1.40M,1.40M,1.40M,0.00,-0.60M,-0.10M,-0.30M,0.10M,-0.50M,-0.30M,2.20M,0.50M,0.40M,0.60M,-0.10M,0.10M,-0.10M,0.70M,0.20M,0.20M,-0.40M,-0.30M,-1.00M,0.70M,0.50M,0.40M,-0.60M,0.20M,0.40M,0.60M,-0.80M,2.50M,-2.80M,-0.10M,
Change in Other Working Cap,0.312M,0.478M,-0.477M,-22.13M,-3.511M,1.253M,25.67M,-0.337M,0.935M,-6.177M,-0.318M,0.419M,1.681M,0.138M,0.416M,0.23M,-0.12M,1.098M,-4.593M,1.93M,1.382M,-0.146M,0.714M,0.039M,-8.242M,-0.319M,0.189M,0.358M,0.514M,-1.795M,3.167M,0.38M,18.82M,-35.64M,24.55M,-25.23M,-4.276M,-5.434M,-1.459M,2.884M,14.86M,-10.30M,-7.123M,3.091M,11.74M,-12.75M,10.68M,-3.245M,-7.357M,-3.472M,-8.425M,-3.173M,-8.119M,0.618M,0.096M,-0.901M,2.19M,0.134M,-0.122M,-0.012M,3.494M,-0.178M,0.178M,,,,,,,,,,,,,,,,,,,-1.20M,1.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Working Capital,-14.56M,-4.598M,24.77M,79.42M,-176.75M,-56.57M,77.40M,-7.54M,-61.03M,-18.13M,4.861M,-3.643M,-23.83M,-22.95M,-12.44M,-4.048M,39.30M,-9.482M,-9.965M,30.64M,-38.40M,48.00M,1.585M,-48.11M,-17.00M,-3.631M,-14.61M,-19.54M,-26.74M,-11.69M,17.22M,-6.755M,5.509M,-10.73M,-21.05M,-21.07M,27.67M,-16.91M,17.55M,-15.34M,36.64M,-42.15M,14.21M,14.50M,58.19M,-12.72M,-3.363M,-5.698M,1.795M,-34.96M,-10.74M,33.29M,-103.80M,65.22M,2.715M,37.16M,-1.807M,-33.86M,0.43M,25.36M,-25.91M,-6.135M,-14.42M,25.23M,-36.36M,1.956M,17.75M,-8.073M,-2.154M,-20.22M,12.64M,-4.846M,1.737M,-16.58M,0.742M,34.03M,-5.33M,-6.762M,-5.632M,10.11M,-1.30M,2.20M,3.10M,-3.40M,5.40M,-1.20M,-3.10M,8.50M,-23.20M,5.90M,-0.40M,15.00M,-6.00M,-3.60M,1.90M,-6.10M,2.70M,-3.70M,4.50M,1.80M,-1.50M,-7.40M,8.30M,8.60M,-1.50M,-1.30M,5.80M,2.30M,-13.70M,-6.30M,1.90M,5.70M,-8.10M,1.50M,12.90M,-5.10M,-11.10M
Cash from Operations,262.98M,270.87M,326.65M,585.29M,316.05M,242.19M,273.90M,272.76M,179.11M,189.10M,260.57M,269.38M,139.74M,105.42M,85.18M,67.11M,164.64M,146.36M,171.21M,267.38M,293.18M,358.30M,329.57M,255.38M,257.85M,276.71M,277.28M,212.68M,196.98M,163.97M,159.36M,131.78M,126.47M,154.66M,129.49M,91.21M,117.42M,124.31M,127.08M,116.10M,196.92M,116.74M,147.85M,152.53M,209.72M,148.32M,143.71M,132.70M,133.58M,86.75M,105.95M,135.86M,1.054M,86.69M,114.35M,155.01M,117.45M,59.04M,80.06M,108.02M,57.09M,72.63M,45.73M,97.57M,35.93M,65.90M,80.26M,59.55M,55.90M,25.25M,53.48M,29.55M,35.64M,47.70M,57.50M,109.60M,45.18M,22.63M,15.77M,35.44M,32.80M,27.80M,21.80M,10.10M,23.30M,17.40M,17.50M,29.00M,1.60M,27.20M,18.80M,47.40M,22.80M,16.50M,20.10M,16.10M,10.70M,6.40M,12.40M,12.00M,11.60M,6.10M,22.40M,27.20M,11.70M,9.80M,17.40M,16.60M,1.00M,0.80M,6.90M,19.20M,1.30M,7.60M,2.80M,27.90M,5.50M
Net Change in Capital Expenditures,-167.67M,-199.20M,-225.85M,-195.65M,-246.97M,-260.23M,-231.01M,-156.26M,-177.74M,-193.48M,-184.95M,-208.38M,-130.12M,-85.63M,-67.16M,-92.24M,-135.76M,-174.75M,-249.85M,-395.24M,-514.89M,-346.37M,-279.67M,-338.70M,-351.34M,-319.34M,-263.89M,-260.17M,-258.78M,-257.87M,-222.78M,-188.55M,-222.29M,-264.77M,-201.04M,-203.17M,-199.13M,-203.98M,-218.74M,-235.40M,-185.03M,-116.34M,-132.34M,-177.50M,-258.51M,-246.49M,-179.28M,-133.16M,-140.25M,-145.03M,-152.53M,-119.40M,-132.24M,-133.72M,-147.76M,-103.12M,-171.64M,-125.66M,-74.78M,-41.07M,-97.73M,-55.32M,-66.72M,-35.71M,-36.63M,-33.98M,-30.08M,-21.32M,-16.54M,-15.46M,-30.12M,-41.06M,149.67M,-213.04M,-29.01M,-34.75M,-27.68M,-29.61M,-23.12M,-18.94M,-21.20M,-19.60M,-14.90M,-26.50M,-109.60M,-25.90M,-36.70M,-31.40M,-9.70M,-32.00M,-20.20M,-11.60M,-22.10M,-14.70M,-9.60M,-14.30M,-13.80M,-2.90M,-4.90M,-3.10M,-12.60M,-25.20M,-21.40M,-13.50M,-19.20M,-59.50M,-7.30M,-8.40M,-10.30M,-11.10M,-7.70M,-7.90M,-3.00M,-15.10M,5.20M,-33.20M,-16.80M
Sale of PPE,0.199M,0.055M,0.00,2.346M,2.825M,28.66M,0.323M,646.54M,82.73M,31.24M,1.101M,0.374M,1.351M,-0.76M,0.00,49.83M,0.273M,4.378M,-0.079M,3.081M,35.58M,4.668M,-0.863M,0.108M,308.33M,14.27M,0.42M,0.486M,36.59M,0.025M,131.44M,1.28M,321.55M,82.11M,-5.043M,5.043M,222.48M,21.03M,,,0.00,0.513M,64.60M,15.06M,0.949M,0.00,1.15M,,1.235M,0.001M,0.041M,5.784M,6.487M,322.41M,0.034M,0.541M,0.00,0.286M,0.122M,0.588M,-0.067M,0.164M,0.022M,,-18.18M,15.82M,0.758M,1.602M,1.017M,0.228M,3.443M,,0.931M,5.159M,0.301M,0.438M,0.487M,0.882M,0.258M,1.523M,-0.70M,47.60M,9.40M,,1.10M,-0.70M,0.20M,0.50M,48.90M,-0.80M,0.80M,,,,,,,,,,,,,,,-1.10M,0.00,1.10M,0.50M,0.10M,0.00,0.10M,1.40M,0.00,-0.20M,0.80M,0.10M
Net Change in PP&E,0.199M,0.055M,0.00,2.346M,2.825M,28.66M,0.323M,646.54M,82.73M,31.24M,1.101M,0.374M,1.351M,-0.76M,0.00,49.83M,0.273M,4.378M,-0.079M,3.081M,35.58M,4.668M,-0.863M,0.108M,308.33M,14.27M,0.42M,0.486M,36.59M,0.025M,131.44M,1.28M,321.55M,82.11M,-5.043M,5.043M,222.48M,21.03M,,,-0.394M,0.513M,71.07M,8.597M,559.88M,-558.93M,134.31M,-133.16M,-139.01M,-145.03M,-152.49M,-113.62M,-125.75M,188.69M,-147.72M,-102.58M,-171.64M,-125.37M,-74.66M,-40.48M,-97.80M,-55.15M,-66.70M,-35.71M,-54.82M,-18.16M,-29.32M,-19.72M,-15.52M,-15.23M,-26.68M,-41.06M,150.60M,-207.88M,-28.70M,-34.31M,-27.20M,-28.73M,-22.86M,-17.42M,-21.90M,28.00M,-5.50M,-26.50M,-108.50M,-26.60M,-36.50M,-30.90M,39.20M,-32.80M,-19.40M,-11.60M,-22.10M,-14.70M,-9.60M,-14.30M,-13.80M,-2.90M,-4.90M,-3.10M,-12.60M,-25.20M,-21.40M,-13.50M,-19.20M,-60.60M,-7.30M,-7.30M,-9.80M,-11.00M,-7.70M,-7.80M,-1.60M,-15.10M,5.00M,-32.40M,-16.70M
Net Divestitures (Acquisitions),249.10M,-3.846M,-3.303M,-1.828M,-4.397M,-9.961M,-27.49M,-35.42M,-33.66M,-9.756M,-5.884M,-7.742M,-4.308M,-6.005M,-6.519M,-11.65M,-8.275M,-10.70M,-21.34M,-5.078M,-208.18M,-22.38M,-16.29M,-5.937M,-10.12M,-4.502M,-3.00M,-1.25M,-2.375M,-2.40M,-2.088M,0.00,,,,,,,,,,,,,605.41M,-545.24M,-60.17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Other Investing Changes,,,,,,,,,,,,,,,,,,,,,0.00,0.00,19.71M,8.382M,,,,,,,,,,-54.34M,54.34M,,,-16.74M,15.94M,0.803M,,,,,-618.18M,-6.413M,-12.35M,,-18.53M,-8.766M,-12.48M,,,,11.61M,-11.61M,47.40M,-16.66M,-11.36M,-19.37M,32.69M,-6.979M,-9.568M,-16.14M,28.98M,-29.76M,-15.66M,-13.39M,-12.48M,-9.803M,-10.82M,-7.056M,-31.41M,-14.44M,-14.54M,-10.77M,-7.772M,-4.691M,-4.162M,-3.233M,32.80M,-39.90M,-2.00M,-2.40M,-6.90M,-6.30M,-3.00M,-3.40M,-5.20M,-1.70M,-3.60M,-3.30M,-2.70M,-2.50M,-3.80M,2.10M,-2.40M,8.40M,6.00M,-1.30M,-2.80M,-11.40M,-70.90M,-1.00M,-0.40M,-0.50M,-1.80M,-1.80M,-1.90M,-1.30M,-1.60M,-1.40M,-8.20M,0.10M,-0.10M,0.10M,-0.10M
Cash from Investing,81.70M,-202.09M,-228.40M,-195.13M,-248.54M,-241.54M,-258.18M,454.87M,-128.67M,-172.00M,-189.73M,-215.75M,-133.08M,-92.40M,-73.68M,-54.06M,-143.76M,-181.06M,-271.26M,-397.24M,-687.50M,-364.84M,-276.36M,-336.15M,-81.23M,-309.58M,-266.47M,-260.93M,-224.57M,-260.25M,-93.43M,-187.27M,99.26M,-237.00M,-151.75M,-198.13M,23.35M,-199.69M,-202.80M,-234.60M,-185.03M,-115.83M,-67.73M,-162.43M,-270.34M,-798.14M,-250.65M,-133.16M,-157.54M,-153.80M,-164.97M,-113.62M,-125.75M,188.69M,-136.11M,-114.19M,-124.25M,-142.04M,-86.02M,-59.85M,-65.10M,-62.13M,-76.26M,-51.86M,-25.84M,-47.92M,-44.98M,-33.11M,-28.01M,-25.04M,-37.50M,-48.12M,-68.60M,-222.32M,-43.24M,-45.08M,-34.97M,-33.42M,-27.02M,-20.66M,10.90M,-11.90M,-7.50M,-28.90M,-115.40M,-32.90M,-39.50M,-34.30M,34.00M,-34.50M,-23.00M,-14.90M,-24.80M,-17.20M,-13.40M,-12.20M,-16.20M,5.50M,1.10M,-4.40M,-15.40M,-36.60M,-92.30M,-14.50M,-19.60M,-61.10M,-9.10M,-9.10M,-11.70M,-12.30M,-9.30M,-9.20M,-9.80M,-15.00M,4.90M,-32.30M,-16.80M
